objectid,cyclevalue,id_three_zero_five_b,watername,locationvalue,watersize,sizeunit,watertype,nhdbasin,ctlakeid,classid,classname,aquatic_life_attainment_code,aquatic_life_attainment,recreational_attainment_code,recreational_attainment,fish_consumptin_attainment_code,fish_consumption_attainment,drinking_water_attainment_code,drinking_water_attainment,impaired,shape_length,shape_area
147.0,2018,CT4010-00-1-L1_01,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).",27.22,ACRES,FRESHWATER LAKE,1080205,1097.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,5686.08059259047,1185695.35583105
148.0,2018,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).",17.05,ACRES,FRESHWATER LAKE,1100004,297.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6430.24244982625,742700.976111697
149.0,2018,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River",10.68,ACRES,FRESHWATER LAKE,1100004,1891.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,4528.2745821947,465258.132340048
150.0,2018,CT4607-00-UL_pond_01,Wadsworth Falls State Park Pond (Middletown),"Small pond within Wadsworth Falls State Park (filled and drained with connection to Coginchaug River), on Route 157 between confluence of Laurel Brook to Coginchaug River and Wadsworth Brook confluence with Coginchaug River, Middletown.",1.37,ACRES,FRESHWATER LAKE,1080205,0.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,X,Water Not Classified For Drinking Supply,No,966.014095348769,59807.0779682342
151.0,2018,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",0.58,ACRES,FRESHWATER LAKE,1100003,350.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,812.441000119693,25247.1849813975
152.0,2018,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir",14.95,ACRES,FRESHWATER LAKE,1100006,1526.0,48,Inland Surface Waters Class A,X,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4392.45562251452,651122.469937405
153.0,2018,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"CT DEEP Black Rock State Park. Impoundment of Purgatory Brook (trib to Branch Brook), west of Rte 6, Watertown.",9.48,ACRES,FRESHWATER LAKE,1100005,240.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,5702.41425253143,412757.397471802
154.0,2018,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",14.3,ACRES,FRESHWATER LAKE,1100002,2689.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,3909.72429641487,622674.853422082
155.0,2018,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",9.35,ACRES,FRESHWATER LAKE,1080205,41.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,3554.73329428853,407170.603100623
156.0,2018,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock",38.42,ACRES,FRESHWATER LAKE,1100001,1942.0,50,Inland Surface Waters Class AA,X,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,7910.77393921777,1673439.31680131
157.0,2018,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",6.05,ACRES,FRESHWATER LAKE,1100002,209.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2833.01426233311,263646.824838467
158.0,2018,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1594.85,ACRES,FRESHWATER LAKE,1100005,1514.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,190484.378350977,70562246.5487131
159.0,2018,CT4013-00-1-L1_01,Millers Pond (Durham),Durham,29.87,ACRES,FRESHWATER LAKE,1080205,1869.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6859.09879914287,1301271.86320903
160.0,2018,CT3805-00-3-L5_01,Hanover Reservoir (Sprague/Canterbury),Sprague,22.85,ACRES,FRESHWATER LAKE,1100002,1149.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,7636.77733865028,995425.298468499
161.0,2018,CT3206-00-1-L2_01,"Chaffee, Lake (Ashford)",Ashford,52.15,ACRES,FRESHWATER LAKE,1100002,1491.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,10048.8438955426,2271699.66935679
162.0,2018,CT3206-12-1-L1_01,Knowlton Pond (Ashford),Ashford,110.95,ACRES,FRESHWATER LAKE,1100002,1465.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,18983.6951677781,4832929.02795286
163.0,2018,CT3800-05-1-L4_01,Big Pond (Lebanon/Windham),Lebanon,38.55,ACRES,FRESHWATER LAKE,1100002,211.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6785.53012223499,1678994.03920449
164.0,2018,CT3202-00-1-L1_01,Keach Pond (Woodstock),Woodstock,29.69,ACRES,FRESHWATER LAKE,1100002,1405.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,7086.94403544225,1293320.20234777
165.0,2018,CT6302-00-1-L1_01,Hatch Pond (Sharon),Sharon,19.82,ACRES,FRESHWATER LAKE,1100005,1171.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6511.78715882649,863370.963316917
166.0,2018,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,28.57,ACRES,FRESHWATER LAKE,1100005,449.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,5760.59840474735,1244650.9707812
167.0,2018,CT6302-01-1-L2_01,Ford Pond (Sharon),Sharon,22.9,ACRES,FRESHWATER LAKE,1100005,933.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4926.01835519446,997369.682101406
168.0,2018,CT6911-07-1-L1_01,Plymouth Lake (Plymouth),Plymouth,44.85,ACRES,FRESHWATER LAKE,1100005,2272.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6568.85633034059,1953735.3981531
169.0,2018,CT6202-00-1-L1_01,"Wangum, Lake (Canaan)",Canaan,177.88,ACRES,FRESHWATER LAKE,1100005,1543.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,16120.0697969643,7748519.16657594
170.0,2018,CT6900-40-1-L1_01,Beaver Lake (Seymour),Seymour,68.82,ACRES,FRESHWATER LAKE,1100005,158.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,15201.1471479677,2997892.3868583
171.0,2018,CT6301-08-1-L1_01,Indian Lake (Sharon/NY State Line),Sharon,195.81,ACRES,FRESHWATER LAKE,1100005,1332.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,16881.4792504132,8529639.60345401
172.0,2018,CT6900-42-1-L1_01,Upper Derby Hill Reservoir (Derby),Derby,29.93,ACRES,FRESHWATER LAKE,1100005,3305.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6386.92334107774,1303590.5514031
173.0,2018,CT6015-00-1-L1_01,Peck Pond (Sharon),Sharon,27.33,ACRES,FRESHWATER LAKE,1100005,2195.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,6446.32122546526,1190269.84042301
174.0,2018,CT4300-00-1+L2_01,West Branch Reservoir (Colebrook/Hartland),Colebrook,201.82,ACRES,FRESHWATER LAKE,1080207,3440.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,18594.3807124894,8791317.00840086
175.0,2018,CT2107-00-1-L6_01,Groton (Poquonnock) Reservoir (Groton),Groton,194.68,ACRES,FRESHWATER LAKE,1100003,1104.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,37619.5972185037,8480114.37160593
176.0,2018,CT3902-00-1-L1_01,Williams Pond (Lebanon),Lebanon,250.3,ACRES,FRESHWATER LAKE,1100003,3526.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,34166.6678539392,10902838.8335029
177.0,2018,CT2203-00-1-L2_01,"Konomoc, Lake (Waterford/Montville)",Waterford,288.66,ACRES,FRESHWATER LAKE,1100003,1511.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,37148.7687211784,12574084.7558297
178.0,2018,CT3900-11-1-L1_01,Bog Meadow Reservoir (Norwich),Norwich,91.15,ACRES,FRESHWATER LAKE,1100003,260.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,19035.802661129,3970596.34400989
179.0,2018,CT4200-00-4-L2_01,Somersville Pond (Somers),Near eastern border of Somers with Enfield; pond is south of intersection of Rte 190 and Rte 186.,40.9,ACRES,FRESHWATER LAKE,1080205,2674.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,23848.8380140944,1784766.78621252
180.0,2018,CT6005-04-1-L2_01,South Pond (Salisbury),"Northwest corner of Salisbury, at the end of Mt. Riga Road (western most lobe of lake in New York). Downstream of Riga Lake, on private property managed by Mt. Riga, Inc.",123.0,ACRES,FRESHWATER LAKE,1100005,2678.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,20511.7335995572,5357373.98799949
181.0,2018,CT4017-04-1-L1_01,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester. Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.",75.9,ACRES,FRESHWATER LAKE,1080205,2960.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,13036.8191366243,3309720.42974876
182.0,2018,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)",2.63,ACRES,FRESHWATER LAKE,1100002,519.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,1335.89294511291,114672.529054892
