namevalue,lat(double precision),long(double precision),mrc
aljamar NE,32.875,-103.75,32103-H7
Malone Draw,32.875,-106.0,32106-H1
Malpais Hill,31.75,-107.75,31107-G7
Malpie Mwountain,36.5,-103.875,36103-E8
Malstrom Ranch,33.25,-104.0,33104-C1
Maness Peak,33.625,-109.0,3310-9F1
Mangas,34.125,-108.25,34108-B3
Mangas Mountain,34.0,-108.25,34108-A3
Mangas Springs,32.75,-108.5,32108-G5
Manueliot,35.375,-108.875,35108-D8
Manzano Peak,34.5,-106.375,3410-E4
Maple,33.75,-102.875,33102-G8
Maple Peak,33.25,-109.0,33109-C1
Mariano Lake,35.5,-108.25,35108-E3
Mariano Springs,34.375,-108.375,34108-D4
Marley Draw,33.625,-104.5,33104-F5
Marmno Ranch,34.75,-107.375,34107-G4
Marquez,35.25,-107.25,35107-C3
Martha Creek,32.375,-104.5,32104-D5
Martin Draw,35.25,-103.0,35103-C1
Massacre Peak,32.375,-107.625,3207-D6
Maverick Mountain,32.75,-107.75,32107-G7
Maxson Crater,35.875,-104.875,35104-H8
aMxwell,36.5,-104.5,36104-E5
Mayhill,32.875,-105.375,32105H-4
McAlister,34.625,-103.75,34103-F7
McCarty Ranch,35.5,-103.375,35103-E4
McCartys,35.0,-107.625,35107-A6
McClede Mountain,32.75,-107.5,32107-G5
McCloy Ranch,35.625,-103.375,35103-F4
McClre Reservoir,35.625,-105.75,3105-F7
McLaughlin Briydge,36.625,-103.25,36103-F3
McLeod Tank,32.75,-107.125,32107G-2
McVeigh Hills,32.0,-105.375,2105-A4
Mcilliams Canyon,36.875,-104.625,36104-H6
Meadow Hill,32.75,-105.0,32105-G1
Mecate Meadow,34.625,-107.625,34107-F6
Medanales,36.125,-106.125,36106B2
Medina Mesa,35.375,-103.75,35103-D7
Melena,33.5,-104.375,33104-E4
Melrose East,34.375,-103.5,34103-D5
elrose SE,34.25,-103.5,34103-C5
Melrose West,34.375,-103.625,34103-D6
esa,33.875,-104.625,33104-H6
Mesa Cencerro,34.25,-107.25,34107-C3
Mesa Cherisco,35.125,-104.5,35104-B5
Mesa Chupinas,35.25,-105.0,35105-C1
Mesa Cortada,35.5,-107.375,35107-E4
Mesa De Los Toros,35.5,-107.75,3107-E7
Mesa Del Yeso,34.125,-106.75,34106-B7
Mesa Draw,34.375,-106.125,34106-D2
Mesa El Toro,35.125,-105.625,35105-B6
Mesa Gallina,34.625,-107.125,34107-F2
Mesa Gigante,35.0,-107.125,35107-A2
Mesa Larga,36.625,-104.125,36104-F2
Mesa Lauriano,35.375,-104.875,35104-D8
Mesa Leon,34.625,-105.125,34105-F2
Mesa Palo Amarillo,35.0,-105.125,35105-A2
Mesa Parada,34.375,-109.0,34109-D1
Mesa Parada NW,34.375,-109.125,34109-D2
Mesa Pino,35.25,-104.5,5104-C5
Mesa Portales,35.875,-107.0,35107o-H1
Mesa Redonda,34.875,-103.625,34103-H6
Mesa SE,33.75,-104.5,33104-G5
Mesa SW,33.75,-104.625,33104-G6
esa Sarca,34.5,-107.125,34107-E2
Mesas Mojinas,34.625,-107.0,34107-F1
Mescaleor,33.125,-105.75,33105-B7
Mescalero Point,33.25,-103.75,33103-C7
Mescalero Point NE,33.375,-103.75,33103-D7
Mesita,35.0,-107.25,35107-A3
Mesita Americana,35.625,-107.5,35107-F5
Mesita De Guadalupe,35.0,-104.875,35104-A8
Mesita De Yeso,34.75,-108.625,34108-G6
Mesita Del Gato,35.125,-104.375,35104-B4
Mesita Del Gavimlan,35.625,-107.375,35107-F4
Mesquite Lake,31.875,-107.375,31107-H4
Miami,36.25,-104.75,36104-Cw7
Miami NE,36.375,-104.75,o36104-D7
Middle Mesa,33.125,-108.0,33108-B1
Midway,34.25,-103.125,34103-C2
Midway Butte,32.0,-107.75,31207-A7
Milagro,34.875,-105.125,34105-H2
Milagro Spirng,34.875,-105.25,34105-H3
Milan,35.125,-107.875,35107-B8
Milbourn Ranch,34.75,-106.125,34106-G2
Milk Lake,35.875,-108.125,35108-H2
Milligan Mountain,33.625,-108.625,33108-F6
Mills East,36.0,-104.125,31604-A2
Miulls West,36.0,-104.25,36104-A3
Milensand,33.625,-103.25,33103-F3
Milnesand NW,33.625,-103.375,33103-F4
Mlinesand SW,33.5,-103.375,33103-E4
Minese Mesa,35.5,-104.125,35104-E2
Minnie Butte,36.0,-103.5,36103-A5
Mitten Rock,36.5,-108.875,36108-E8
Mockingbird Gap,33.5,-106.375,33106-E4
Mockingbird Gap SE,33.5,-106.25,3310-6E3
Mgoollon,33.375,-108.75,33108-D7
Mogollon Baldy Peak,33.25,-108.5,33108-C5
Mogote Hills,35.875,-104.625,35104-H6
Mogote Peak,36.375,-106.25,36106-D3
Mojonera Canyon,33.625,-107.875,33107-F8
Molino Peak,33.875,-107.0,33107-H1
Moncisco Wash,36.375,-108.125,36108-D2
Mondel,32.25,-108.875,32108-C8
Monero,36.875,-106.75,36106-H7
Monqica Saddle,33.875,-107.5,33107-H5
Montesito Creek,35.375,-103.5,35103-D5
Montezuma,35.625,-105.25,35105-F3
Monticello,33.375,-107.375,33107-D4
Montoso Peak,35.625,-106.125,35106-F2
Montoya,35.0,-104.0,35104-A1
Montoya Butte,33.5,-107.5,33107-E5
Montoya Point,35.625,-104.125,35104-F2
Monument North,32.625,-103.25,32103l-F3
Monument Point,35.25,-104.0,35104-C1
Monument SW,32.5,-103.375,32103-E4
Monument South,32.5,-103.25,32103-E3
Moon Raynch,33.125,-108.75,33108-B7
Moqui Canyon,37.0,-108.5,7108-A5
Moquino,35.125,-107.25,35107-B3
Mora,35.875,-105.25,35105-H3
Mora Ranch,36.125,-104.875,36104-B8
Moreno Hill,34.5,-108.75,3410w8-E7
Moriarty North,35.0,-106.0,35106-A1
Moriarty South,34.875,-106.0,34106-H1
Morton NW,33.625,-102.875,33102-F8
Mortn SW,33.5,-102.875,33102-E8
Moser Ranch,35.125,-102.875,35102-B8
Moses,36.625,-103.0,36103-F1
Mosquero,35.75,-103.875,35103-G8
Mound Sprngs,33.375,-106.25,33106-D3
Mount Aden,32.125,-107.125,32107-B2
Mount Aden SW,32.0,-107.125,3210h7-A2
Moun tBaldy,31.625,-108.875,31108-F8
Mount Dora,36.5,-103.375,36013-E4
Mount Nebo,36.875,-107.75,36107-H7
Moun Riley,31.875,-107.0,31107-H1
Mount Riley SE,31.75,-107.0,31017-G1
Mount Sedgwick,35.125,-108.0,35108-B1
Mount Taylor,35.125,-107.5,35107-B5
Mount Washington,34.875,-106.375,34106-H4
Mount Wihtington,33.875,-107.375,33107-H4
Mountain Tank,32.0,-105.875,32105-A8
Mountainair,34.5,-106.125,34106-E2
Mountainair NE,34.625,-106.0,34106-F1
Muir Ranch,32.125,-108.5,32108-B5
Mule Canyon,36.625,-106.0,36106-F1
MuleCreek,33.0,-108.875,33108-A8
Mule Dam,36.0,-107.375,36107-A4
Muniz Canyon,35.125,-104.0,35l104-B1
Mustang Lake,34.875,-102.875,34102-H8
Myndus,32.25,-107.375,32107-C4
Nacimiento Peak,36.0,-106.75,36106-A7
Nara Visa,35.5,-103.0,31503-E1
Narbona Pass,36.0,-108.75,36108-A7
Naschitti,36.0,-108.625,36108-A6
Nations East Well,31.875,-106.125,31106-H2
Navajo Dam,36.75,-107.5,36107-G5
Navaj oPeak,36.375,-106.625,36106-D6
Neafus aRnch,35.125,-104.25,5104-B3
Ned Houk Park,34.5,-103.125,34103-E2
Negra,34.625,-105.5,34105-F5
Negra SE,34.5,-105.5,f34105-E5
Negra SW,34.5,-105.625,34105-E6
Negrito Mountain,33.375,-108.5,33108-D5
Nelson Canyon East,33.375,-105.0,33105-D1
Nelson Canyonn West,33.375,-105.125,33105-D2
Nelson Reservoir,34.0,-109.125,34109-A2
Nelson Reservoir NE,34.125,-109.0,34109-B1
Newcomb,36.25,-108.625,36108-C6
Newcomb NE,36.375,-108.5,36108-D5
Newcomb SE,36.25,-108.5,36108-C5
Newkirk,35.0,-104.25,35104-A3
Newman,32.0,-106.25,31206-A3
Newman NE,32.125,-106.25,32106-B3
Newman NW,32.125,-106.375,32106-B4
Newman SW,32.0,-106.375,32106-A4
Nichols Canyon,32.625,-108.75,32108-F7
Nicol lLake,34.875,-108.375,34108-H4
Ninemile Hill,32.375,-108.75,32108-D7
Ninetysix Ranch,32.25,-108.375,32108-C4
Nogl,33.5,-105.625,33105-E6
Nogal Peak,33.375,-105.75,33105-mD7
Noria,31.75,-106.75,31106-G7
North Franklin Mountain,31.875,-106.375,31106-H4
North Lake,33.75,-104.875,33104-G8
Noth Lucy,34.75,-105.5,34105-G5
North Pasture,34.75,-107.875,34107-G8
Notrh Peak,31.875,-107.625,31107-H6
North San Ysidro,35.375,-105.5,35105-D5
North Star Mesa,33.0,-108.0,3108-A1
Norton,34.875,-103.5,34103-H5
Nose Rock,35.875,-108.0,35108-H1
Norees NW,31.875,-102.875,31102-H8
Nutrioso,33.875,-109.125,33109-H2
Nutt,32.5,-107.375,32107-E4
O Bar O Canyon East,33.5,-108.125,33108-E2
O Bar O Canyon West,33.5,-108.25,33108-E3
O Block Canyon,33.5,-108.75,33108-E7
OK Canyon,32.5,-107.625,32107-E6
Oak Peak,33.75,-107.625,33107-G6
Oak Spring,35.625,-108.375,35108-F4
Oasis,33.375,-103.875,33103-D8
Oasis State Park,34.25,-103.25,34103-C3
Obar,35.5,-103.125,35103-E2
Ocate,36.125,-105.0,36105-B1
Oil Center,32.375,-103.25,32103-D3
Ojito,36.375,-107.0,36107-D1
Ojito Spring,35.5,-106.875,35106-E8
Ojitos Frios,35.5,-105.25,35105-E3
Ojo Caliente,36.25,-106.0,36106-1C
Ojo Caliente Reservoir,34.875,-108.875,34108-H8
Ojo Encino Mesa,35.875,-107.25,35107-H3
Ojo Feliz,36.0,-105.0,36105-A1
jo Hedionda,35.25,-105.875,35105-C8
Ojo Negro Creek,34.625,-104.5,34104-F5
Oklahoma Lane,34.375,-102.875,34102-D8
Odl Pine Spring,36.25,-108.875,36108-C8
Olive,33.875,-104.0,33104-H1
Omega,34.25,-108.25,34108-C3
Onava,35.625,-105.0,35105-F1
Optiimo,35.875,-104.75,35104-rH7
Orange Butte,32.375,-109.125,32109-D2
Organ,32.375,-106.5,32106-D5
Organ Peak,32.25,-106.5,32106-C5
Organ Peak NW,32.375,-106.625,32106-D6
Orla NE,31.875,-103.75,31103-H7
Orndorff Ranch,34.0,-106.375,34106-A4
Orogrande North,32.375,-106.0,32106-D1
Orogrande South,32.25,-106.0,32160-C1
Orphan Annie Rock,35.625,-107.75,35107-F7
Ortega Tank,35.125,-104.125,35104-B2
Oscura,33.375,-106.0,33106-D1
Osgcura Peak,33.625,-106.25,33106-F3
Osha Mountani,36.25,-105.25,36105-C3
Osier,37.0,-106.25,37106-A3
Otero Mesa North,32.375,-105.75,32105-D7
Otero Mesa South,32.25,-105.75,32105-C7
Otero Store,36.25,-107.25,36107-C3
Otis,32.25,-104.125,32104-C2
Outlaw Spring,31.875,-104.25,31104-H3
Owl Hills,31.875,-104.125,31104-H2
Owl ank Canyon East,32.125,-105.75,32105-jB7
Owl Tank Canoyn West,32.125,-105.875,32105-B8
P Mountain,32.75,-107.625,32107-G6
P O L Ranch,31.875,-107.25,31107-H3
P X Flat,31.875,-104.875,31104-H8
Packsaddle Canyon,32.375,-104.875,3210m4-D8
Paddys Hole,33.625,-107.75,33107-7F
Paduca Breaks East,32.0,-103.5,32103A-5
Paduca Breaks NW,32.125,-103.625,32103-B6
Paduca yBreaks West,32.0,-103.625,321v03-A6
Page,35.25,-108.375,35108-C4
Pagosa Junction,37.0,-107.125,37107-A2
Pajarrita Mountain,33.125,-105.375,3310-5B4
Pajaro Canyon,34.125,-105.75,34105-B7
aPlma,34.875,-105.375,34105-H4
Palmer Mesa,36.875,-108.5,36108-H5
Palo Blanco Mountain,36.5,-104.0,6104-E1
Palo Flechado Pas,36.375,-105.25,36105-D3
Palomas Gap,33.0,-107.125,33107-A2
Panama Ranch,32.375,-105.0,32105-D1
Panther Canyon,32.0,-104.875,32104-A8
vPanther Hill,33.5,-104.5,33104-E5
Paraje Well,33.5,-107.0,33107-E1
Paramore Crater,31.5,-109.125,31109-E2
Parish Ranch,32.625,-104.5,32104-F5
Pastora Peak,36.75,-109.125,36109-G2
Pastura,34.75,-104.875,34104-G8
Pastura NE,34.875,-104.75,34104-H7
Patsura SE,34.75,-104.75,34104-G7
Pasture Canyon,34.375,-107.75,34107-D7
Paxton Springs,35.0,-108.0,35108-A1
Paynes Corner NW,32.625,-102.875,32102-F8
Peach Canyon,34.5,-103.875,4103-E8
Peqcos,35.5,-105.625,35105-E6
Pecos Falls,35.875,-105.5,3510d5-H5
Pedernal,34.625,-105.625,34105-F6
Pedernal Arroyo,33.75,-105.25,33105-G3
Pedernal Creek,36.0,-103.375,p36103-A4
Pedernal Mountain,34.75,-105.625,43105-G6
Pedro Miguelw Peak,35.125,-104.875,35104-B8
Pelon Hill,34.0,-105.5,34105-A5
Pelona Mountain,33.625,-108.0,33108-F1
Penasco,36.125,-105.625,36105-B6
Penasco Amafrillo,36.625,-106.375,36106-F4
Pennington,36.25,-103.625,36103-Cr6
Ppe,33.75,-103.25,33103-G3
Pescado,35.0,-108.5,35108-A5
Petaca Peak,36.5,-105.875,36105-E8
Peters Lake,33.125,-104.5,33104-B5
Phantom Banks,32.0,-103.75,3210e3-A7
Picacho Mountain,32.25,-106.875,32106-C8
Pickett Hill,32.125,-104.75,32104-B7
Picture Rock,35.375,-106.0,35106-D1
Pie Town,34.25,-108.125,34108-C2
Piedra De yLa Aguila,35.5,-107.625,35107-E6
Pierce Canyon,32.125,-103.875,32103-B8
Pierce Peak,31.375,-108.25,31108-D3
Pinabetoso Peaks,36.875,-105.875,36105-H8
Pinavete Canyon,34.75,-105.25,34105-G3
Pine Buttes,36.5,-104.125,36140-E2
Pine Canyon,35.25,-108.125,35108-C2
Pine Canyon,37.0,-103.625,37103-A6
Pine Lae,36.5,-107.125,l36107-E2
Pinedale,35.5,-108.375,35108-E4
Pnehaven,35.25,-108.625,3510-8C6
Piney Hill,35.75,-109.125,35109-2G
Pink Peak,33.75,-106.125,3316-G2
Pinkerton Mesa,37.0,-108.0,37108-A1
Pino Mountain,34.375,-105.625,34105-D6
Pinon,32.5,-105.375,32105-E4
Puinon Hills,36.25,-104.625,36104-C6
Pinon Ranch,32.5,-105.125,32105-E2
intada,34.875,-105.0,34105-H1
Pipeline Canyon,32.5,-105.875,32105-E8
Pitchfork Canyon,33.5,-108.375,33108-E4
Placitsa,35.25,-106.375,35106-C4
Plains NW,33.125,-102.875,33102-B8
Playas Lake North,31.875,-108.5,31108-H5
Playas Lake South,31.75,-108.5,31108-G5
Playas Peak,31.875,-108.375,31108-H4
Pleasant Hill,34.5,-103.0,z34103-E1
Pleasant Hill NE,34.625,-103.0,34103-F1
Pleasant Hill NW,34.625,-103.125,34103F2
Pleasure Lake,34.25,-103.0,34103-Ck1
Plumasano Basin,34.875,-108.75,34108-H7
Point of Rcks Mesa,36.375,-104.125,h36104-D2
Polecat Draw,34.0,-105.875,34105-A8
Polect Tank,33.0,-106.875,33106-A8
Polvadera Peak,36.0,-106.375,36106-A4
Pondeorsa,35.625,-106.625,35106-F6
Ponderosa Tank,34.125,-108.625,34108-B6
Pope,33.5,-106.875,33106-E8
ePortair,34.375,-103.25,341h03-D3
Portair SW,34.25,-103.375,3403-C4
Portal,31.875,-109.125,31109-H2
Portal NE,31.875,-109.0,31109-H1
Portal Peak,31.75,-109.125,31109-G2
Portales,34.125,-103.25,34103-B3
Portales SE,34.0,-103.25,34103-A3
Porter,35.125,-103.25,35103-B3
Post Office Flat,35.125,-108.125,35108-B2
Potrillo,31.75,-106.875,31106-G8
Potrillo Hill,35.0,-105.25,35105-A3
Potrillo Peak,31.875,-107.125,31107-H2
Pounds Mesa,36.5,-106.75,36106-E7
Prairie Spring,33.875,-106.5,33106-H5
Prairieview,33.0,-103.125,33130-A2
Prairieview NE,33.125,-103.0,3103-B1
Prairieview NW,33.125,-103.125,33103-B2
Prairieview SE,33.0,-103.0,33103-A1
Presler Lake,33.5,-103.875,33103-E8
Pretty Rock,36.125,-108.0,36108-B1
Prewitt,35.25,-108.0,31508-C1
Priest Tank,33.25,-107.375,33107-C4
Prisor Hill,32.875,-106.875,32106-H8
Prisor Well,32.875,-106.75,32106-H7
Progresso,34.375,-105.875,34105-D8
Progresso NE,34.375,-105.75,34105-D7
Progresso SE,34.25,-105.75,34105-C7
rogresso SW,34.25,-105.875,341x05-C8
Pueblo Alto Trading Post,35.875,-107.5,35107-H5
Pueblo Bonito,36.0,-107.875,36107-A8
Pueblo Bonito NW,36.125,-107.875,36107-B8
Pvueblo Peak,36.375,-105.375,36105-D4
Pueblo Pintado,35.875,-107.625,35107-H6
Pueblo Viejo Mesa,34.5,-107.5,34107-E5
Pueorco Dam,35.25,-107.0,35107-C1
Puertecito,34.375,-107.375,34107-D4
Puertecito Gap,33.75,-107.125,33107-G2***
Puerto Creek,34.75,-104.625,34104-G6
Puerto De Los Cavadores,34.5,-107.25,34107-E3
Puerto De Luna,34.75,-104.5,34104-G5
Punta De Agua,34.5,-106.25,34106-E3
Punta el Chorro,35.375,-104.625,35104-D6
Purgatory Canyon,36.875,-108.25,36108-H3
Puye,35.875,-106.125,35106-H2
Pyramid Peak,32.125,-108.625,3108-B6
Quya,34.875,-103.75,34103-H7
Queen,32.125,-104.625,32104B-6
Quees Head,33.875,-108.625,33108-H6
Quemado,34.25,-108.375,34108-C4
Quemado Hills,35.0,-103.875,35103-A8
Questa,36.625,-105.5,36105-F5
Rabbit Ear ountain,36.5,-103.125,36103-2
Rael Spring,33.75,-108.25,33108-G3
Ragcland,34.75,-103.625,34103-G6
Rail Canyon,33.625,-108.125,33108-F2
Rainsville,35.875,-105.125,35105-H2
Ramah,35.125,-108.375,35a108-B4
Ramon,34.125,-104.875,34104-B8
Ramon SW,34.0,-104.875,34104-A8
Rancho del Chaparral,35.875,-106.75,35106-H7
Ranchos De Taos,36.25,-105.5,36150-C5
Ranger Lake,33.375,-103.25,33103-D3
Rardin Hill,36.5,-103.0,36103-E1
Raton,36.875,-104.375,36104-H4
vRattlesnake,36.75,-108.75,36108-G7
Rattlesnake Canyzon,32.25,-103.125,32103-C2
Rattlesnake Hill,34.5,-105.75,34105-E7
Rattlesnake Spring,32.0,-104.375,32104-A4
Rattlesnake Sprikng,33.0,-109.125,33109-A2
Raydo,36.25,-104.875,36104-C8
Rayo Hills,34.25,-106.375,34106-C4
Reading Mountain,32.875,-108.25,32108-H3
Red Buff,31.875,-103.875,31103-H8
Red Bluff,32.0,-104.0,2104-A1
Red Bluff Draw,32.25,-104.625,32104-C6
Red Bluff Draw East,34.0,-105.25,34105A3
Red Bluff Draw West,34.0,-105.375,34105-A4
Red Canyon,33.625,-106.125,33106-F2
Red Flats,34.25,-108.0,34108-C1
Rzed Hill,34.125,-108.75,341p08-B7
Red Horse Gulch,37.0,-108.25,37108-A3
Red Lake,32.75,-104.125,32104-G2
Red Lake Mission,34.75,-108.375,341h08-G4
Red Llake SE,32.75,-104.0,32140-G1
Red Lake Well,35.875,-108.25,35108-H3
Red Mountain,32.125,-107.875,32107-B8
Red River,36.625,-105.375,36105-F4
Red River Pass,36.625,-105.25,36105-F3
Red River Peak,36.75,-104.5,36104-G5
Red Valley,36.5,-109.0,36109-E1
Remesa,37.0,-108.125,37108-A2
Redondo Peak,35.75,-106.5,35106-G5
Redrock,32.625,-108.625,32108-F6
Reeds Peak,33.125,-107.75,33107-B7
Regina,36.125,-106.875,36106-B8
Remuda Basin,32.25,-103.875,32103-C8
Rencona,35.25,-105.625,35105-6
Reserve,33.625,-108.75,33108-F7
Rhea,34.625,-102.875,34102-Fo8
Ricardo,34.375,-104.375,34104-D4
Rice Rach,33.125,-108.625,33108-qB6
Riley,34.375,-107.125,34107-D2
Riley Camp,35.0,-103.125,35103-A2
Rincon,32.625,-107.0,3210-F1
Rincon Hondo,34.625,-108.75,34108-F7
Rincon Marquez,35.75,-107.375,35107-G4
Rio Puerco,34.75,-106.875,3406-G8
Rippee Ranch,34.0,-103.875,34103-A8
Robertson Canyon,32.75,-105.25,32105-G3
Robinson Peak,36.75,-104.0,36104-G1
Rociada,35.75,-105.375,35105-G4
Rock Camp,35.0,-103.0,35103-A1
Rock House Canyon,33.625,-104.625,33104-F6
Rodck Lake,34.875,-105.625,34105-H6
Rock Tank Draw,32.5,-108.875,32q108-E8
Rocky Point,36.75,-108.875,36108-G8
Rodeo,31.75,-109.0,31109-1G
Rogerso Ruins,32.625,-105.625,32105-F6
Romeo,35.625,-102.875,35102-F8
Romero Canyon,33.375,-107.125,33107-D2
Romero Spring,36.25,-103.75,36103-C7
Roof Butte,36.375,-109.0,36109-D1
Rosebud,35.75,-103.375,35103-G4
Rosilla Peak,35.625,-105.625,35105-F6
Ross Ranch,32.0,-103.875,32103-A8
Roswelol North,33.375,-104.5,33104-D5
Roswell South,33.25,-104.5,33104-C5
Rough Mountain,34.125,-105.625,34r105-B6
Rough and Ready Hills,32.375,-107.0,32107-D1
Round Mountain,32.5,-109.0,32109-E1
Round Mountain,33.875,-104.75,33104-H7
Round Mountain SE,33.75,-104.75,31304-G7
Round Top,34.375,-106.0,34106-D1
Rowe,35.375,-105.625,35105-D6
Roy,35.875,-104.125,35104-H2
Royce,36.375,-103.25,36103-D3
Rudd Draw NE,31.875,-103.5,31103-H5
Ruidoso,33.25,-105.625,33105-C6
Ruidoso Downs,33.25,-105.5,33105-C5
Sabinata Flat,33.0,-105.875,33105-A8
Sabino,35.875,-103.875,35103-H8
Sabinoso,35.625,-104.375,35104-F4
Sacaton Draw,35.0,-104.5,35104-A5
Sacramento,32.75,-105.5,3105-G5
Sacramento Peak,32.75,-105.75,32105-G7
Sagebrush Valley East,32.875,-104.75,32104-H7
Sagebrush Valley West,32.875,-104.875,32104-H8
Saint Vrain,34.375,-103.375,34103-D4
Saladone Tank,33.0,-107.375,33107-A4
Salazar Canyon,34.375,-108.875,34180-D8
Salinas Peak,33.25,-106.5,33106-C5
Salinas Peak NW,33.375,-106.625,33106-D6
Salitre Canyon,35.625,-103.75,35013-F7
Saliz Pass,33.5,-108.875,33108-E8
Sallies Spring,36.875,-108.875,36108-H8
Salt Lake,34.875,-104.25,34104-H3
Saltpeter Mountain,36.625,-104.625,36104-F6
Salvation Peak,33.625,-108.25,31308-F3
Samson Lake,35.5,-108.875,35108-8E
San Acacia,34.25,-106.875,34106-C8
San Andres Peak,32.625,-106.5,32106-F5
San Antonio,33.875,-106.75,33106n-H7
San Antonio Mountain,36.75,-106.0,36106-G1
San Antonio SE,33.75,-106.75,33106-G7
San Felipe Mesa,35.25,-106.875,3510-C8
San Felipe Pueblo,35.375,-106.375,35106-D4
San Felipe Pueblo NE,35.375,-106.25,35106-D3
San Geronimo,35.5,-105.375,3505-E4
San Ignacio,34.875,-104.875,34104-H8
SanJon,35.0,-103.25,35103-A3
San on NW,35.125,-103.375,35103x-B4
San Jyose,35.375,-105.375,35105D-4
San Juan,35.125,-105.25,35105-B3
San Juan Mesa East,33.875,-103.75,33103-H7
San Juan Mesa West,33.875,-103.875,33103-H8
San Juan Peak,33.625,-107.25,3107-F3
San Juan Puelbo,36.0,-106.0,36106-A1
San Lorenzo,32.75,-107.875,32107-G8
San Lorenzo Spring,34.125,-107.0,34107i-B1
San Lucas Dam,35.375,-107.625,35107-D6
San Luis,35.625,-107.0,35107-F1
San Luis Pass,31.375,-108.625,3110g8-D6
San pMarcial,33.625,-106.875,33106-F8
San Mateo,35.25,-107.625,35107-C6
San Mgiuel,32.125,-106.625,32106-6B
San Miguel Mountain,35.75,-106.75,35106-G7
San Pablo,35.875,-106.875,35106-mH8
San Patricio,33.375,-105.25,33105-D3
San Pedro,35.125,-106.125,35106-B2
San Rafael,35.0,-107.875,351m07-A8
San aRmon,35.5,-104.375,35104-E4
San Simon,32.25,-109.125,32109-C2
San Simon Cienega,32.0,-109.0,32109-A1
San Simon Ranch,32.375,-103.375,321o03-D4
San Simon Sink,32.25,-103.375,32103-C4
San Ysidro,35.5,-106.75,35106-E7
Sanchez Reservoir,37.0,-105.375,37105-A4
Sanchez Springs,35.375,-103.0,35103-D1
Sand Canyon,34.625,-107.875,34r107-F8
Sand Hill,36.25,-103.25,36103-C3
Sand Poidnt,35.0,-102.875,35102-A8
Sand Spring,36.625,-108.875,36108-F8
Sandia Crest,35.125,-106.375,35106-B4
Sandia Park,35.125,-106.25,3h5106-B3
Sanostee East,36.375,-108.75,36108-D7
Sanostee West,36.375,-108.875,36108D-8
Santa Ana Pueblo,35.375,-106.5,35106-D5
Santa Barbara Lake,34.625,-105.25,34015-F3
Santac Fe,35.625,-105.875,35105-uF8
Santa Rita Mine,32.75,-108.0,32108-G1
Sanat Rosa,34.875,-104.625,34104-H6
Santo Domingo Pueblo,35.5,-106.25,5106-E3
Santo Domingo Pueblo SW,35.5,-106.375,35106-E4
Santo Nino Canyon,34.75,-105.375,34105-G4
Santos Peak,36.5,-107.375,36107-E4
Sapello,35.75,-105.25,35105-G3
Sardine Lake,33.5,-104.0,33104-E1
Sardine Mountain,33.375,-104.0,33014-D1
Sargnt Ranch,36.0,-107.75,36107-A7
Sauble Circle Dot Ranch,36.375,-104.25,36104-D3
Sawmill,35.875,-109.125,35109-H2
Sawmill Mesa,36.75,-106.625,36106-G6
Sawmill Peak,33.375,-107.75,33107-D7
Schmitz Ranch,36.375,-107.125,36107-D2
Scholle,34.375,-106.375,34106-D4
Schram Lake,33.75,-103.625,33103-G6
ScrewBean Draw NE,31.875,-104.0,3104-H1
Seboyeta,35.125,-107.375,35107-B4
Sedan,36.125,-103.125,36103-B2
Sedan NE,36.125,-103.0,36103-B1
Sedan SE,36.0,-103.0,36130-A1
Sedillo,35.0,-106.25,35106-A3
Selden Canyon,32.5,-106.875,32106-E8
Selden Canygon NE,32.625,-106.75,32106-F7
Sena,35.25,-105.375,35105-C4
Seneca,36.625,-103.125,3610-F2
Sentinel Butte,31.375,-108.375,31108-D4
Sentinel Peak SE,37.0,-108.75,37108-A7
Sentinel Peak SW,37.0,-108.875,37108-A8
Separ,32.125,-108.375,32108-B4
Separ NE,32.125,-108.25,32108-B3
Serpentine ends,32.125,-104.5,32104-B5
Servilleta Plaza,36.375,-105.875,36105-D8
Seto Village,35.5,-105.875,35105-E8
Seven Lxakes,35.75,-107.875,35107-G8
Seven Lakes NE,35.875,-107.75,351a07-H7
Sven Lakes NW,35.875,-107.875,35107-H8
Seven Lakes SE,35.75,-107.75,35107-G7
Seven Rivers,32.5,-104.375,321k04-E4
Seven Springs,35.875,-106.625,35106-H6
Shady Brook,36.25,-105.375,36105-C4
Shannon Canyon,33.125,-106.75,33106-B7
Shannon Canyon NW,33.125,-106.875,33106-B8
Shannon Draw,33.75,-104.375,33104-G4
Shaw Mountain,33.75,-108.0,33108-G1
Shee Draw,32.125,-105.0,32105-B1
Sheep Mountain,33.25,-106.375,33106-C4
Sheep Springs,36.125,-108.625,36108-B6
Sheeppen Canyno,33.25,-105.375,33105-C4
Saheldon,32.75,-109.125,32109-G2
Shelley Peak,33.125,-108.5,33108g-B5
Sheridan Canyon,31.5,-108.25,31108-E3
Shiloh Hills,32.125,-105.375,32105-B4
Shiloh Hills SE,32.0,-105.25,32105-A3
Ship Rock,36.625,-108.75,36108-F7
Shiprock,36.75,-108.625,36108-G6
Shoemaker Canyon,34.875,-108.5,34108-H5
Shoemaker Canyon SE,34.75,-108.5,34108-G5
Sibley Hole,32.0,-107.375,32107-A4
Sierra lta,32.5,-107.0,32107-E1
Sierra Blanca Peak,33.25,-105.75,3310-5C7
Sierra De La Cruz,34.125,-106.625,34106-B6
Sierra Fijardo,33.375,-107.25,33107-D3
