OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
585,2018,CT4603-00_01,Webster Brook-01,"From mouth at Mattabasset River, US to headwaters between Railroad track and Stamm Road, just US of Route 174 crossing, Newington.",3.42,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18061.2401296624
586,2018,CT4603-01_01,Rockhole Brook (Newington)-01,"Mouth at confluence Webster Brook just DS of subdivision where Stonehedge Drive dead ends at brook, US to HW US of Halleran Drive crossing and along east side of John Walllace Middle School property, Newington.",1.8,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9335.65859503603
587,2018,CT4604-00_01,Sawmill Brook (Middletown)-01,"From mouth at Mattabasset River, US to headwater above Atkin Street Pond (Highland Pond) Middletown.",4.18,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22064.6407253199
588,2018,CT4605-00_01,Allyn Brook (Durham)-01,"Mouth at confluence Coginchaug River DS (north) of Route 68 crossing, US to INLET of Allyn Millpond at confluence of Fowler and Hersig Brooks in Allyn Brook Park (Allyn Millpond is US of Route 17 crossing and completly contained in this segment), Durham.",1.1,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6015.77271435424
589,2018,CT4605-01_01,Hersig Brook (Durham)-01,"Mouth at INLET of Allyn Millpond at confluence of Fowler  Brook in Allyn Brook Park, US to HW US Johson Lane crossing, Durham. (local brook names here may cause confusion, followed basin number 4605-01)",2.7,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14098.9172244666
590,2018,CT4605-05_01,Fowler Brook (Durham)-01,"Mouth at Allyn Millpond portion of Allyn Brook, between Pickett Lane and Fowler Avenue, US to confluence with Birch Mill Brook, just US of Higganum Road crossing, Durham.",0.82,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4338.18303822411
591,2018,CT4606-00_01,Sawmill Brook (Durham)-01,"Mouth on Coginchaug River, DS of Route 147 crossing of Coginchaug River, US to AA groundwater proposed withdrawl point, near Salted Lane, Durham.",1.53,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8086.68250474883
592,2018,CT4606-00_02,Sawmill Brook (Durham)-02,"AA groundwater proposed withdrawl point, near Salted Lane, US to confluence with Asmun Brook, Durham.",0.54,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,2831.12081409115
593,2018,CT4606-00_03,Sawmill Brook (Durham)-03,"Confluence with Asmun Brook, US to confluence with unnamed tributary, US of Route 68 crossing, Durham.",0.9,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,X,UNASSESSED,No,4771.67451474686
594,2018,CT4606-00_04,Sawmill Brook (Durham)-04,"Confluence with unnamed tributary .6 mile US of Route 68 crossing (In segment_03), US (south) to HW .4 mile US of Howd Road crossing (after crossing Howd Road brook runs parallel to road to HW), Durham. (Segment includes Carey Lowe Dam pond)",2,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,10539.0792053596
595,2018,CT4607-00_01,Coginchaug River-01,"From mouth at Mattebessett River (at Cromwell border), US to downstream side of Route 3 crossing, Middletown.",1.87,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9879.71302081343
596,2018,CT4607-00_02,Coginchaug River-02,"From downstream side of Route 3 crossing, US to downstream side of Route 66 crossing (just US of Veterans Memorial Park), Middletown.",0.75,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3936.45517481913
597,2018,CT4607-00_03,Coginchaug River-03,"From downstream side of Route 66 crossing (just US of Veterans Memorial Park), US to Starr Mill Pond dam, Middletown.",0.6,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3183.58220710317
598,2018,CT4607-00_04,Coginchaug River (Middletown/Middlefield)-04,"Starr Mill Pond Inlet, Middletown, US (past Wadsworth Falls) to Strictland Road crossing, Middlefield. (Includes diversion for swimming area) ",4.19,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22145.1969815322
599,2018,CT4607-00_05,Coginchaug River (Middlefield/Durham)-05,"From Strictland Road crossing, Middlefield, US to Meeting House Hill Road crossing, Durham.",4.95,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,26114.2059381992
600,2018,CT4607-00_06,Coginchaug River-06,"From Meeting House Hill Road crossing, Durham, US to headwaters (US of Route 72 crossing, between Bluff Head and Broomstick Ledges), North Guilford.",3.59,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,18934.6463168344
601,2018,CT4607-02_01,Unnamed Tributary to Coginchaug River (Durham)-01,"Mouth on Coginchaug River, just DS of Route 77 crossing, US to HW, US of Crooked Hill Road crossing, Durham.",0.78,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,X,UNASSESSED,No,4111.04291267138
602,2018,CT4607-03_01,Chalker Brook (Durham)-01,"Mouth on Coginchaug River, DS of Route 77 crossing, US to Arrigonis Pond Number 3 outlet, Durham.",0.41,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2175.98892025227
603,2018,CT4607-05_01,Parmalee Brook (Durham)-01,"Mouth on Coginchaug River, DS of Parmelee Hill Road crossing, US to confluence with unnamed tributary, just US of Saw Mill Road crossing (water class changes from A to AA), Durham. ",1.94,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10266.2063152338
604,2018,CT4607-05_02,Parmalee Brook (Durham/North Branford)-02,"Confluence unnamed tributary, just US of Saw Mill Road crossing (water class changes from A in segment 1 to AA in this segment 2), Durham, US along Route 5 to HW just east of Blue Jay Drive and Skylark Drive, North Branford.",3.64,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,19238.5566503767
605,2018,CT4607-06_01,Cream Pot Brook (Durham)-01,"Mouth at confluence Coginchaug River, US of Coginchaug River crossing Route 68 (in Durham MEadows Wildlife Area), US to HW at unnamed pond just US of Dead Hill Road crossing (runs parallel to Route 79 in upper part of segment), Durham.",3.3,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,17282.165111288
606,2018,CT4607-08_01,Lyman Meadow Brook (Middlefield)-01,"Mouth on Coginchaug River, US of Coginchaug River crossing of Miller Road, US to outlet of South Street Pond, US of RailRoad crossinf, Middlefield.",1.43,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7557.06943561255
607,2018,CT4607-10_01,Ellen Doyle Brook (Middlefield)-01,"Mouth on Coginchaug River, DS of Strickland Road crossing, US to confluence with unnamed tributary, just downstream of Gunsight Pond, parallel to Route 147 at West Street intersection, Middlefield.",0.83,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4371.95282363302
608,2018,CT4607-11_01,Hans Brook (Middlefield)-01,"Mouth at confluence Coginchaug River just DS of Route 157 crossing (behind Cahill Construction) US to HW at Jeep Trail Pond (west side of Jackson Hill Road), Middlefield.",1.1,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5626.71032225586
609,2018,CT4607-12_01,Wadsworth Brook (Middlefield)-01,"Mouth on Coginchaug River, DS of Wallace Way crossing, US to HW parallel with Cherry Hill Road, Middlefield.",1.2,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6355.99304046651
610,2018,CT4607-13_01,Laurel Brook (Middletown)-01,"Mouth on Coginchaug River, in Wadsworth Falls State Park, parallel to swimming area, near Route 157, US to unnamed pond outlet, just US of Red Road crossing, Middletown.",1.17,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6154.16498499761
611,2018,CT4700-00_01,Salmon River (East Haddam/Colchester)-01,"Mouth at Connecticut River, East Haddam, US to headwaters at confluence of Blackledge and Jeremy Rivers, Colchester.",10.41,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,54984.6352107271
612,2018,CT4700-02_01,Day Pond Brook (Colchester)-01,"Confluence with Salmon River, US to Day Pond outlet, Colchester.",1.11,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5842.56487196141
613,2018,CT4700-03_01,Flat Brook (East Hampton)-01,"Mouth at Salmon River, DS of Route 16 crossing, US to HW, US of Daly Road crossing, East Hampton.",3.2,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16869.8751084168
614,2018,CT4700-07_01,Safstrom Brook (East Hampton)-01,"Mouth at confluence Salmon River DS of Wopowog Street crossing in Wopowog Wildlife area (trout management area in Salmon River), US HW at unnamed pond (near Edgerton Street) US of Route 16 crossing, East Hampton.",4.1,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,21663.2243754727
615,2018,CT4700-09_01,Elbow Brook (East Hampton)-01,"Confluence with Salmon River, US to HW (runs parallel to Route 196), East Hampton. ",2.28,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,12026.246157957
616,2018,CT4701-00_01,Raymond Brook (Hebron)-01,"Mouth on Jeremy River, along Airline Trail, DS of Grayville Road crossing, US to Route 85 crossing, Hebron.",2.81,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14851.4299378705
617,2018,CT4701-00_02,Raymond Brook (Hebron)-02,"Route 85 crossing, Hebron, US to HW, near Basket Shop Road at Hebron/Columbia town line.",4.15,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,21929.8483270863
618,2018,CT4702-00_01,Judd Brook (Colchester/Hebron)-01,"Mouth on Jeremy River, just US of Airline Trail crossing, Colchester/Hebron town line, US to crossing, US to confluence with unnamed tributary, just US of Route 85 crossing, Colchester.",2.44,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,12870.5864979979
619,2018,CT4703-00_01,Meadow Brook (Colchester)-01,"From mouth at confluence with jeremy River (parallel to Route 2, US of Prospect Hill Road crossing), US to Lincoln Lake outlet dam on Levy Pond (just US of Levy Road crossing), Colchester.",3.07,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16210.889281664
620,2018,CT4703-00_02,Meadow Brook (Colchester)-02,"From INLET to Levy Pond (just DS of Middletown Road (Route 16) crossing), US to HW at confluence of Cabin Brook and Nelkin Brook (adjacent  to Lakeview Court), Colchester.",0.81,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4299.56970305997
621,2018,CT4703-01_01a,Cabin Brook (Colchester)-01,"Mouth at confluence with Nelkin Brook above Meadow Brook (in marsh DS of Cabin Road crossing), US to just above storm water discharge form subdivision, near Lynn Lane and Kennedy Drive, Colchester.",0.6,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3148.2867028515
622,2018,CT4703-01_01b,Cabin Brook (Colchester)-01b,"Just above storm water discharge form subdivision, near Lynn Lane and Kennedy Drive, US under Route 2/Route 11 interchange to confluence with small tributary near exit 20 ramp, Colchester.",0.93,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4932.89863805654
623,2018,CT4703-01_02,Cabin Brook-02,"From confluence with small tributary near exit 20 ramp (US of Route 2/Route 11 interchange), US to headwaters on south side of Parum Road (Route 354), north of Dutton Swamp (US of McDonald Road crossing), Colchester.",1.02,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5410.96366535454
624,2018,CT4704-00_01,Pine Brook (Colchester)-01,"Mouth at confluence with Jeremy River, before it crosses Route 149 (Pine Brook is parallel Cato Corner Rd), US to Babcock Pond outlet (lower portion on north side of Route 16 parallel to Pinebrook Rd), Colchester.",2.5,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,13029.8788804723
625,2018,CT4705-00_01,Jeremy River (Colchester)-01,"Mouth at confluence Blackledge River, above Salmon River, US to Norton Paper Company Dam (just US of Route 149 crossing), Colchester (North Westchester).",1.17,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6199.20678766876
626,2018,CT4705-00_02,Jeremy River (Colchester/Hebron)-02,"Norton Paper Company Dam INLET (just US of Route 149 crossing), Colchester (North Westchester), US to HW at Holbrook Pond outlet dam, just US of Route 85 crossing and in Salmon River State Forest, Hebron.",9.6,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,50838.9819772907
627,2018,CT4705-01_01,Hope Valley Brook (Hebron)-01,"Mouth at confluence Jeremy River parallel to Hope Valley Road (west of intersection with Reidy Hill Road), US to HW at Holman Pond outlet dam, just US of Route 66 crossing, Hebron. (includes unnamed pond on Burrows Hill Road)",1.9,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10196.4162791911
628,2018,CT4705-05_01,Day Meadow Brook (Colchester/Hebron)-01,"Mouth at confluence with Jeremy River, .5 miles DS of River Road crossing, Colchester, US to HW just US of Old Hartford Road near Deer Run intersection, on Colchester Hebron town line, Hebron.",2.02,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10662.6901734998
629,2018,CT4706-00_01,Fawn Brook (Marlborough)-01,"Mouth on Blackledge River, just DS of Main Street crossing, Marlborough, US to confluence with West Branch Fawn Brook, parallel to Paper Mill Road, at Marlborough/Hebron town line.",2.05,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10825.1621991407
630,2018,CT4706-00_02,Fawn Brook (Marlborough/Hebron)-02,"Confluence with West Branch Fawn Brook on Marlborough/Hebron town line, just DS of Paper Mill Road crossing, US to HW at Merrow Swamp OUTLET, just US of  East Road crossing, Hebron.",6.88,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,36319.7882744465
631,2018,CT4707-00_01,Blackledge River (Colchester/Bolton)-01,"Mouth confluence Jeremy River above Salmon River (near River Road), Colchester, US to HW (near Converse Road, just off Birch Mountain Road), Bolton. Segment includes river below and above Gay City Pond.",16.35,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,86323.2319832187
632,2018,CT4707-02_01,French Brook (Bolton)-01,"From mouth at confluence with Blackledge River (segment-01) DS of French Road crossing, US to Tinker Pond outlet Dam (US of Tinker Pond Road crossing), Bolton.",1,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5257.65574239536
633,2018,CT4707-06_01,Flat Brook (Marlborough)-01,"From mouth at Blackledge River (DS of Standish Drive crossing), Marlborough, US to headwaters at Diamond Lake, Glastonbury.",2.04,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10783.5460897095
634,2018,CT4707-12_01,Lyman Brook (Marlborough)-01,"Mouth Blackledge River (just US of Blackledge River crossing South Main Street) parallel and DS Route 2 at exit 15 offramp, US to HW parallel to Jones Hollow Rd and near Avalon Lane, Marlborough.",3.82,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,20162.808182074
635,2018,CT4708-00_01,Dickinson Creek (Colchester/Marlborough)-01,"Mouth on Salmon River, just DS of Comstock Bridge crossing, Colchester, US to confluence with Fawn Hill Brook, just US of Flood Road crossing, Marlborough.",4.82,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,25468.236700854
636,2018,CT4709-00_01,Pine Brook (Haddam/East Hampton)-01,"Mouth at confluence Salmon River DS Route 151 crossing, Haddam, US to confluence Pocotopaug Creek US Upper Pine Brook Road crossing, East Hampton.",3.18,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16810.5970048428
637,2018,CT4709-00_02,Pine Brook (East Hampton)-02,"Confluence Pocotopaug Creek DS Whippoorwill Hollow Road crossing, US past Route 66 crossing to HW just US of Clark Hill Road crossing, East Hampton.",4.51,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,23823.2164136075
638,2018,CT4709-04_01,Pocotopaug Creek (East Hampton)-01,"Mouth at confluence Pine Brook (just US of Pine Brook crossing Upper Pine Brook Road AND east of Pine Brook Road), US to Old Chestnut Hill Road crossing, East Hampton.",1.74,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9173.19579870485
639,2018,CT4709-04_02,Pocotopaug Creek (East Hampton)-02,"Old Chestnut Hill Road crossing, US to Pocotopaug Lake outlet dam (just US of Route 66 crossing), East Hampton.",2.66,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14047.1355078726
640,2018,CT4709-05_01,Muddy Gutter Brook (East Hampton)-01,"Mouth at confluence Pocotopaug Creek just DS of Route 16 crossing, US to HW near Saffron Lane (west side) and Christopher Road (further away to east), East Hampton.",2.2,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,11840.8790279123
641,2018,CT4710-00_01,Moodus River (East Haddam)-01,"Mouth Salmon River DS Johnsonville Rd crossing and parallel to Cove Rd, US to Moodus Reservoir outlet dam just US of Falls Bashan Rd crossingn near Route 149 intersection, East Haddam. (See notes)",4.13,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,21827.9126930611
642,2018,CT4710-08_01,Unnamed tributary Moodus River 4710-08 (East Haddam)-01,"Mouth at confluence Moodus River DS Clark Gates Road crossing (east of Sawmill Road crossing of Moodus River), US to HW US Moodus Road crossing (parallel to Banner Road on north side), East Haddam.",1.2,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6286.1775389352
643,2018,CT4710-12_01,Unnamed tributary Moodus River 4710-12 (East Haddam)-01,"Mouth at confluence Moodus River DS Leesville Road crossing (through Machimoodus State Park), US to HW at Banner Lodge Dam outlet (west of end of Pinehurst Lane and south of Cherry Swamp Road), East Haddam.",1.7,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9097.36336440291
644,2018,CT4800-00_01,Eightmile River (Lyme)-01,"From mouth at Connecticut River, Hamburg Cove (part of Connecticut River tidal area), US to headwaters at Peck Meadow Pond outlet dam.",12.22,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,64534.703021749
645,2018,CT4800-01_01,Early Brook (East Haddam/Colchester)-01,"Confluence with Eightmile River, near Salem Road, East Haddam, US to HW, just US of Alfred Drive crossing, Colchester",3.55,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,18721.5277031103
646,2018,CT4800-06_01,Muddy brook (East Haddam)-01,"Mouth on Eightmile River, DS of Devils Hopyard Road crossing, US to outlet of Will Cone Pond, just US of Tater Hill Road crossing, East Haddam.",1.24,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6530.8015336517
647,2018,CT4800-08_01,Burnhams Brook (East Haddam)-01,"Confluence with Eightmile River, near Devils Hopyard Road, US to HW, US of Baker Road crossing, East Haddam.",2.52,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,13327.0048842084
648,2018,CT4800-15_01,Tributary-Eightmile River (Lyme)-01,"From mouth at west side of Eightmile River, just US of Macintosh Road crossing, US to headwaters, Lyme.",2.23,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,11772.5907091317
649,2018,CT4801-00_01,Harris Brook (Salem)-01,"From mouth at East Branch Eightmile River (just DS of Old Farm Road crossing), US to Salter Farm Pond outlet dam on Byron Clark Pond (just US of Salter Road crossing), Salem.",1.19,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6270.34882254913
650,2018,CT4802-00_01,"Eightmile River, East Branch (Salem)-01","From mouth at Eight Mile River (DS of Route 156 crossing), Lyme, US to to headwaters at Major Kennys Pond (just US of Witch Meadow Road crossing), Salem.",8.03,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,42377.6671094433
