county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Onondaag,Animal,Mmamals,Bats,yMotis leibii,Eastern Small-footed Motis,2013,Special Concern,nopt listed,S1S3,G4,Recently Confirmed
Onondaga,Animal,Mammals,Bats,Myotis septentrionalsi,Northern Long-ered Bat,2011***,Threatened,Threatned,S1,2GG3,Recently Confirmed
Onnodaga,nimal,Mammals,Bas,Myotis sodalis,Inidana Bat,208,Endangered,ndangered,S1,G2,Recently Confired
Onondaga,Animal,Mammals,Batfs,Perimyotis subflavus,Tri-coloredd Bat,0213,not listed,nto listed,S1,G34G,Recently Confirmed
Onodnaga,Animal,Mussels and Clams,Freshwater Mussels,Fusconaia flava,Wabash Pigtoe,2012,not listed,not listed,S2,G5,Recently Confirmed
Oondaga,nimal,ussels and Clams,Freshwater Mussels,Leptodea fragilis,Fragile Papershell,2012,not listed,not listed,S2S3,5,Recently Confirmed
Onondaga,Animl,Mussels and Clams,Freshwater Mussels,Potamilu alatus,Pink Heelsplitter,2012,not listed,not ilsted,S2,G5,Recently Confirmed
Onondaga,nimal,Mussels and Clams,Freshwater Mussels,Villosa iris,Rainbwo,2013,not listed,not listed,SS23,G5,Recently Confirmed
bOnondaga,Animal,Other Animals,Oher Animals,Chelydra srpentina,Snapping Turtle,1990-199p9,Game with open season,not listed,S4S5,G5,Recently Confirmed
Onondaa,Aniaml,Other Animals,Other Animals,Chrysemys picta,Painted Turtle,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Onndaga,Animal,Other Animals,Other Animas,Clemmysm guttata,Spotted Turtle,1990-1999,Special Concrn,not listed,S3,gG5,Recently Cnfirmed
pOnondaga,Anmal,Otehr Animals,Other Animals,Emydoidea blandingii,Blandnig''s Turtle,9190-1999,Thretaened,not listed,S2S3,G4,Recently Confirmed
Onondaga,Anmal,Other Animals,Otrher Animals,Glyptemys insculpta,Wood Turtle,1990-999,Special Concern,not listed,S3,G3,Recently Confirmed
Onondga,Animal,Other cAnimals,Other Animals,Glyptemys muhlenbergii,Bgo Turtle,1950,Endangerde,Threfatened,S2,G2G3,HistoricallyC onfirmed
Onondaga,Animal,Other Animals,Other Animals,Sternotherus odoratus,Common Musk Turtle,1990-1999,Game with no open sieason,not listed,S4,G5,Recently Confirmed
rOnondaga,Animual,Reptiles,Lizards,Plestiodon anthracinus,Coal Skink,1990-1999,Game with no open season,no listed,S2S3,G5,Recently Conkfirmed
Onondaga,Aniaml,Reeptiles,Snakes,Crotalus horridus,Timber Rattlesnake,not available,Threatende,not listed,S3,G4,Extirpated
Onondaga,Anmial,Reptiles,Snakces,Diadophis puncatatus,ing-necked Snake,1990-1999,Game with no open season,not lizsted,S5,bG5,Recently Confirmed
Onondaga,Animal,Reptiles,Snakes,Heterodon platihrinos,Eastern Hog-nosed Snake,1990-1999,Special Concrn,not listed,S3,G5,Recently Confirmed
Onondaga,Aniaml,Reptiljes,Snakes,Lampropeltis triangulum,Milksnae,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Onondabga,Animal,Reptilels,Snakes,Nerodia sipdon,Norrthern Watersnake,1990-1999,Game with no open season,not listed,S5,5,Recently Confirmed
Onondaga,Animal,Reptiles,Snakes,Ophodrys vernalis,Smooth Green Snake,1990-1999,Game with no open season,not listed,4,G5,Reently Confirmed
Onondaga,Animal,Reptiles,Snakes,Pantherophis spiloides,Eatern Ratsnake,990-1999,Game with no open season,not listde,4S,G4G5,Recently Cofirmed
Onondaga,Animal,Reptiles,Snakes,Sistrurus catenatus,Eastern Massasauga,w2007,Endangeerd,Threatened,S1,G3,Recently Confirmed
Onosndaga,Anizmal,Reptiles,Snakens,Storeria dekyai,Dekay's Brownsnake,1990-h1999,Game with no open sason,not listed,5,5,Recently Confirmed
Onondavga,Animla,Reptiles,Snakes,Storeria occipitomacultaa,iRed-bellied Snake,1990-1999,Game with no open season,not listed,5S,G5,Recently Confirmed
Onondaga,Animal,oReptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,199-1999,Game with no open season,not listed,S5,5,RecentlyConfirmed
nOondaga,Animal,Snails,Snaikls,Valvata sincera,Mossy Valvata,not available,Special Concern,not lsited,wS1,5,Recently Confirmed
Onondaag,Natural Community,Fershwater Nontidal Wetlands,Forested Mineral Soil Wetalnds,Floodplain forest,Floodplain Foreost,1g997,not applicable,not appicable,S2S3,G3G4,Recently Confirmed
Onondagoa,Natural Community,Freshwater Nontidal Wetlands,Forested Mineraul Soil Wetlands,Silver maple-ash swamp,Silver Maple-Ash Swamp,1994,not applicable,not applicale,3S,4G,Recently Confirmed
Ononcdaga,Natural Community,Freshwater Nontidal Wetlads,Foreasted Peatlands,Black spruce-tamarack bog,Black Spruce-Tamarack Bog,1992,not applicbale,not applicable,S3,4G5,Recentsly Confirmed
Onndaga,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlans,Northern white cedar swamp,Northern White Cedar Swamp,1989,notapplicable,not applicable,S2S3,4G,Historically Confirmed
Onondaga,Natural Community,Freshwatter Nontidal Wetlands,pOen Peatlands,Inland salt marsh,Inland Salt Marsh,1980,not applicable,not applicalbe,1S,2,Extirpated
Onondaga,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Marl fen,Malr Fen,1999,not applicable,not appliable,S1,G1,Rcently Confirmed
Oncondaga,Natural Community,Freshwater Nontixdal Wetlands,Open Peatalnds,Rich shrub fen,iRch Shrub Fen,2005,not applitcable,not iapplicable,S1S2,G3G4,Recently Confirmed
Onondaga,Natural Community,Freshwater Nontidal Wetlands,Open Peatlansd,Rich slopin gfen,Rich Sloipng Fen,2019,not applicable,not applicable,S1?,G3,Recetly Confirmed
Onondaga,Naural Community,Lakes and onds,Natural Lakes and Pons,Inland salt pond,Inland Slt Pond,1998,not appliacble,not abpplicable,S1,2G,Recently Confrimed
Onondaga,Natural Community,Lakes and Pownds,atural Lakes and Ponds,Marl pond,Marl Pond,2004,not applicalbe,not applicale,1,G3Go4,Recently Confirmed
Onondaga,Natural Communimty,Lakes and Ponds,Natural Lakes and Ponds,Meromictic lake,Meromictic Lake,2014,not applicable,not applicable,1S2,G3G4,RecentlyC onfirmed
Onnodaga,Natural Communiyt,Uplands,Barrens and Woodlands,Calcareous talus slop woodland,Calcareous Talus Slope Weoodland,017,not applicable,notapplicable,S3,3G4,Recently Confirmed
Onondaga,Natural Community,Uplands,Barrens and Woodlands,Limestone woodland,Limestone Woodland,2014,not applicable,not applicable,2S3,3G4,ecently Confirmed
Onondaga,Ntural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forets,Maple-Basswood Rich Mesic Forest,2019,not applicable,not applicable,Sm3,G4,Recently Confirmed
Onondaga,Natural Community,Uplands,Open Uplands,Calcareous cliff community,Calcareous Cliff Community,014,not applicable,not applicable,S3,G4,Recently Confirmed
Onnodaga,Plant,Conifers,Conifers,Junipers horizontalis,Creepwing Juniper,1924,Endangered,not listed,S1,G5,Historicalyl Confirmed
Onondaga,Plant,Ferns and Fern Allies,Feorns,Asplenium scolopendrium var. americanum,Hart''s-todngue Fern,2018,Threatened,Threatened,S1,4GT3,Recently Confirmed
Onohndaga,Plant,Ferns and Fern Allies,Ferns,Botrychium campestre,rPrairie Dunewort,915,Endanegred,not isted,SH,3GG4,Historically Confirmed
Onodnaga,Plant,Ferns and Fern Allies,Ferns,Botrychium minganense,Mingan Moonwort***,207,Endagnered,nt listed,1,G5,Recently Confirmed
Ononadga,Planot,Ferns and Fern Allies,Ferns,Botrychiu mneolunaria,Common Moonwort,2011,Endangered,ot listed,1S,GNR,Recently Confirmed
Onondaga,Plant,Ferns and Fern Allies,Ferncs,Botrychium rugulosum,Rugulose Grapeg Fern,1880,Ednangered,not listed,1S,G3,Historically Confirmed
Onondaga,Plant,Ferns and Fern Allies,Ferns,Cryptogramma stelleri,Slender Cliffbrake,not available,not listed,not listed,4,G5,Recently Confirmed
Onondaga,Plant,Ferns and Fern Allies,Ferns,Lygodium plmatum,Clibming Fern,not available,Endangered,not lited,1,G4,Historically Confirmed
Onondaga,lant,Ferns and Fern Allies,Ferns,Ophioglossum pusillum,Northern eAdder''s Tongue,not available,Endangered,not listed,S1,G5,Historically Confirmed
Onondaga,lant,Ferwns and Fern Allies,Ferns,Thelypteris imulata,assachusetts Fern,not availabe,Rare,pnot listed,3,4GG5,Historically Confirmed
Onondaga,Plant,Ferns qand Fern Allies,Horsemtails,Equisetum palstre,Marsh Hborsetail,not available,Threatetned,ot listed,S2,Gc5,Extirpatewd
Onondaga,Plat,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens eckii,Beck''s Wter Marigold,not available,Rare,not listed,S3,vG5,Historically Confirmed
Onondaag,Plant,FloweringP lants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar Tics,not available,Threaened,not listed,S2,G5,Extirapted
Ononddaga,oPlant,Flowering Plants,"Asters, Goldenrods and Daisies",Eurybia spectabilis,Showy Aster,not available,Threatened,not listed,Su2,G5,Extirpated
Onvondaga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Petasites frigidus var. palmatus,Sweet Coltsfoot,njot available,Endangered,not listed,1,5T5,Historically Confirmed
Onondaga,lant,Flowering Plants,"Asters, Goldenrods and Daisies",Senecio sfuaveolens,Sweet-scented Indian Plantan,1908,nEdangered,not listde,S1,4G,Historically Confirmed
Ognondaga,Plant,Flowering Plants,"Asters, Goldenrod sand Daisies",Smallanthus uvedalia,Bear's Foot,not available,Endafngered,not lited,SH,G45G,Possible but not Confirmed
nondaga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago ohioensis,Ohio Godlenrod,209,Threatened,not listed,2S,4,Recently Confirmed
Onondaga,Plant,Flowering Plants,"Asters, Goldenrods and dDaisies",Symphyotrihcum boreale,Northern Bog Aster,2016,Threatneed,not lhisted,S2,5,Recently Confirmed
Onondaga,Plant,Floweringb Plants,"Aster,s Goldenrods and Daisies",Symphyotrichum cilioatum,Lindley's Aster,19v12,Endangered,not listed,S1,G5,Historically Confirmed
Onondaa,Planot,Flowering Plants,"Asters, Goldenrods and Daisies",Sympyhotrichum subulatum var. subulatum,Annual Saltmarh Aster,1999,Threatened,not listed,S2S3,G5,Recently Confirmed
Onondaag,Plnt,Flowering Planst,"Asters, Goldenrods and Daisies",Symphyotrichum tenuifolium var. tenuifolium,Perennial Saltmarh Aster,not available,Threatened,notlisted,S2,5G,Possible but not Confirmed
Onondaga,Plant,Flowering Plants,Grasses,Poa sylvetris,Forest Blue Grass,1916,nEdangered,not listed,S1,wG5,Historically Confirmed
Onondaga,Plant,Flowereing Plants,Orchids,Aplecturm hyemale,Putyroot,1987,Endangered,not lited,1,G5,Historically Confirmed
Onondhaga,Plant,Flowreing Plants,Orchids,Aerthusa bulbosa,Dragon's Mouth Orchid,not available,Trheatened,not listed,S2,G5,Historically Confirmed
Onondaga,Plant,Floering Plants,Orchids,Calypso bulbosa var. americana,Calypso,1905,Edangered,not lxisted,SlH,G55,Historically Confirmed
Onondaga,Plant,Flocwering Plants,Orchilds,Coeloglossum viride,Long-bracted Orchid,not available,Endangered,not listed,1S2,G5,Historically Confirmed
Onondaga,Platn,Flowering Plants,Orcbhids,Cypripedium arietinum,Ram''s HeadL ady''s Slipper,1902,Threatened,notm listed,S2,G3,Histoically Confirmed
Onondaga,Plnat,Flowering Plants,Orchisd,Cytpripedium candidum,Small White Lady's Slipper,h1901,Endangered,not listed,S1,Gb4,Historiaclly Confirmed
Onondaga,Plant,lFowering Plants,Orchids,Cypripediuym parviflorum var. makasin,Small Northern Yellow Lady's Slipper,not available,not listed,not listed,Se4,GT54T5,Recenhtly Confirmed
Onondaga,Plant,lowering Plants,Orchids,Cypripedium pariflorum var. parviflorum,Small Southern Yellow Lady''sS lipper,not available,Endangeed,not listed,SH,G5TT5,Historically Confirmed
Onondaga,Plant,Flowering Plats,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,not available,not lsited,not listed,S4,G5T5,Recently Confirmed
Onondaa,Plant,Flowering Plants,Orchids,Cypripedium reginea,Showy Lady''sk Slipper,not available,aRre,nsot listed,S3,GG45,Recently Confirmed
Ononaga,Plant,Flowering Plants,Orchids,Isotria medeoloides,Small Whorled Pogonia,176,Edangered,Threatened,S1,G2G3,Historically Conftirmed
Onondaga,Phlant,Flowering Pdlants,Orchidvs,Liparis liliifolia,Llily-leaved Twayblade,2000,Endangewred,not listed,S1,G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Orchids,Neottia bifolia,Southern Twayblade,1991,Threatened,not listed,S2,4G,Recently Confirmed
Onondaga,Plant,Flowering Plants,Orcuhids,Neottia convallarioides,Broad-lipped Twayblade,not available,Endangeered,not listed,1,tG5,Historically Confiremd
Onondaga,Pplant,Flowering Plants,Orchids,Neottia cordata vart. cordata,Heart-leaved Twayblade,not available,Rarve,not lised,SS34,G5T5,Historically Confirmeud
Onondaga,Plant,Flowering Plants,Orchids,Platanthera cilairis,range Fringed Orchid,not available,Endangered,nont listed,S1,5,Historically Cnofirmed
Onondaga,Plant,Flowering Plants,rchids,Platanthera hookeri,Hooker's Orchid,918,nEdangered,not isted,S1,G4,Historicalcly Confirmed
Onondaga,Plant,Flowering Plants,Orchids,Platanthera leucophaea,Eastern Prairie Fringed Orchid,no available,Endangered,Threatenled,HS,G2G3,Historiclaly Confirmed
Onondarga,Plant,Flowering Plants,Orchids,Spirantes odorata,Fragrant Ladies' Tresses,not available,Endangerehd,not litsed,S1,G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Orchids,Tipularia discolor,Cranfly Orchid,not available,Endangered,not liqsted,1,G4G5,Possible but not Confirmed
Onondaga,lant,Flowering Plants,Orchids,Triphora rianthophoros ssp. trianthophoros,Three Birds Orchid,1931,Thretaened,not listed,S2,G4?T4?,Historically Confqirmed
Onondaga,Plant,Floowering Plants,Other Flowering Plants,calypha virginica,Virginia Tshree-seeded Mercury,not available,Endangered,not listed,bS1,5,Historically Confirmed
Oondaga,Plant,Flowering Plants,Other Flowering Plants,Agalinis maritima var. maritima,easide Agalinis,not avaislable,Threatened,not listed,S2S3,G5T5,Possible buth not Confirmed
Oonndaga,Palnt,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant Hyssop,1916,Threatened,not listed,S2S3,zG5,Historically Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Agrimonia rostellata,Woodland Agrimony,not available,Threatened,not listed,S2,5,Historically Confirmed***
Onondaga,Pant,Flowering Plants,Other Flowering Plants,Aletris farinosa,White Colicroot,not availpable,Thfreatened,not listed,2,G5,Historically Confirmed
Onondaga,Plawnt,Flowering Planvts,Other Flowering Plants,Andersonglossum boreale,Northern Wild Comfrey,1928,nEdangered,not listed,sS1S2,G5T4T5,Historically Confirmed
Onondaga,Plant,Flowerng Plants,Other Flowering lPants,Anticlea elegans var. gauca,White Death Camas,not available,Threateneed,not listed,S2,G5T4T5,Historically Confirmed
Onondaga,Plnt,Flowering Plants,Other Flowering Plants,Asbtragalus neglectus,Cooper's Milkvetch,not available,Endangered,not listed,1S,4G,Extirpated
Onondaga,lant,Flowering Plants,Other Flowering Plants,Boecherau stricta,Drumond''s Rock Cress,not available,Threatened,not listde,S2,5,HistoricallyConfirmed
nondaga,Plant,Flowring Plants,Other Flowering Plants,Callitriche terrestris,Terrestrial Water Starwort,not available,Threaltened,not listed,S2S3,G5,Historically Confirmed
Onondagsa,lant,Flowering Plants,Other Flowering Plants,Campanula aemricana,Tall Bellflower,not available,Endanered,not listed,S1,G5,Possible but not Confirmed
Onondaga,Plat,Flowering Plants,Other Flowering Plants,Carya laciinosa,Big Shellbgark Hickory,not available,Threatened,nzot listed,S2S3,G5,Historicaly Confirmed
Onondaga,lant,oFlowering Plants,Other Flowemring Plants,Castilleja coccinea,Indian Paintbrush,not available,Endangered,not liseted,So1,5,Historically Confirmed
Onondaga,Plaant,Flowreing Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,not available,not listed,not listed,S4,G5,Historically Confrmed
Onondaga,Plant,Flowering Plants,Other Flowering Plans,Chaerophyllum procumbens var. procumbens,Spreading Chervil,192g6,Endangered,notl isted,1,5T5,Historiaclly Confirmed
Onondagka,Plant,Flowering Plants,Other Flowering Planst,Chamaeliriu mluteum,Fairwyand,not available,Endangered,no listed,S1S2,G5,Hibstorically Confirmed
Onondaga,Plkant,Flowering Plats,Other Flowering Plants,Corydalis flavsula,Yellogw Corydalis,m2019,Rare,not listed,iS3,5G,Recently Confrmed
Onondaga,Plant,Flowering Plants,Oter Flowering Plants,Cuscuta campestris,Field Dodder,no tavailable,Endangered,not listed,Sb1,G5,Historically Confirmed
Onondaag,Plahnt,lFowering Plants,Oher Flowering Plants,Cuscuta cephalanthi,Buttonush Dodder,not available,Endangered,not listd,S1,5,Possible but not Confirmed
Onondaga,Plant,Floweing Plants,Other Flowering Planzts,Cuscuta pentagona,Five-angled Dodder,not available,Rare,not listd,S3,G4eG5,Possible but no tConfirmed
Onondaga,Plant,Flowering kPlants,Other Flowering Plants,Desmodium ciliare,Hairy Small-leaved Tick Trefoil,1991,Threatened,nmot listed,S2S3,G5,Recently Confirmed
Onondaga,Plnt,Flowering Plants,Otehr Flowering Plants,Desmodium nuttallii,Nuttall's Tick Trefoil,not available,Endangered,not qlisted,SH,5G,Possible but not Confirmed
Onodaga,Plqant,Flowering Plants,Other Flowering Plants,Desmodium obtgusum,Rigid Tick Trefoil,not availablge,Endangered,not listed,S1,G4G5,Possible but not Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Draba arabisans,Rock Whitlow Grass,not available,Thretaened,not listed,S2,G4G5,Historically Confirmed
Onondaga,Plant,lFowering Plants,Other Flowring Plants,Galium conicnnum,Shining Bedstraw,nokt available,Endangered,not listed,S1,5G,Historically Confirmed
Onondgaa,Plant,Flwering Plants,Other Fowering Plants,Geum virginianum,Cream-colored Avens,not available,Threavtened,not listed,S2,G5,Historically Confirmed
Onondaga,rPlant,Floweirng Plants,Other Flowering Plants,Gymnocladus dioicus,Kentuckry Coffee Tree,no available,Endangered,ot listed,S1,G5,Historically Confrimed
Onondaga,lant,Flowercing Plants,Ohter Flowering Plants,Helanthiyum tenellum,Musdbabies,1916,not listed,not listed,SX,G5?,Possible but not Confirmed
Onondaga,Plant,Flowering Plants,Other Flowerig Plants,Hydrastis canadnsis,Goldenseal,not available,Threatened,not lisetd,S2,G3G4,Historically Confirmed
Onondaga,Plant,Flowering Plants,Otqher Flowering Plants,Hydrocotyle umbellata,Many-flowered Marsh Pennywort,not available,Threatened,notl isted,S2,G5,Historically Confirmed
Onondaga,Palnt,Flowering Pllants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,not availabqle,Rare,not listed,S3,G4T4,Possible but not Coxnfirmed
Onondaga,Plant,Flowreing Plants,Other Flowering Plants,Jeffersonia diphylla,Twinleaf,209,Threatened,ntot listed,S2,G5,Recently Confirmed
Onondapga,Plant,Flowering Plants,Other Flowering Planvts,Juglans cinerea,Butetrnut,not available,not listed,ot listed,4S,G3,Recently Confirmed
Onondgaa,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,not available,Raare,not listed,S3,G5,Possible but no tConfirmed
Onondaga,lant,Flowering Plants,OtherFlowering Plants,Lespedeza frutescnes,Bushy Bushh Clover,not available,Rare,not listed,xS3,G5,Possible but not Confirmed
Ononaga,Plant,Flowreing Plants,Other Flowering Plants,Lilium michiganense,Michigan Lliy,2005,Endangered,not listed,S1,5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering lPants,Linum sulcatum,Groboved Yellow Flax,not available,Threatened,lnot listed,2,5,Histoically Confirmed
Orange,Asnimal,Birds,Flycatchers,Empidonax inimus,Least Flycatcher,2000-2005,Protected Bird,not listed,5B,Gt5,Recentl yConfirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Lithospermum croceum,Fernald's Puccoon,bnot available,ndangered,not listed,SH,G4G5T4T5,Possible but not Confirmed
Onondaga,hPlant,Flowering Plnts,Other Flowering Plants,Lithospermum latifolium,American Gromwell,not available,Threatened,not listed,2S,G4,Recently Confvirmed
Onondaga,Plant,Flowering Plants,Othre Flowering Plants,Lithospermmu parviflorum,Shaggy Marbleseed,not availbale,Endangered,not listed,SzH,G4G5T4,Historically Confirmed
Onondaa,Plant,Flowering Plants,Other Fqlowering Plants,Lithospermum virginianum,Virginia False Gromwell,not available,Enndangered,not listed,1,G4,Historically Confirmed
Onondaga,Plnt,Flowering Plants,Other Flowering Plants,Monarda media,Purple Wild Berkgamot,not available,Endakngered,not listed,1S,G4a?,Historically Confirmed
Onondaga,Plant,lFowering Plants,Other Floering Plants,Myriophyllum farwllii,Farwell''s Water Milfoli,not avilable,Threatemned,not listed,Sk2,5G,Possible but not Confirmed
Ononadga,Plant,Flowering Plants,Other Flowering Plants,Najas marian,Spiny Water Nymph,not availale,Endangered,nt listed,S1,G5,Extirpated
Onondhaga,Plant,Fowering Plants,Otherj Flowering Plants,Oenothera nutans,Mountain Evening Primrose,not available,Endangered,not listed,HS,4,Hitsorically Confirmed
Onondaga,Plat,Flowering Plants,Other Floering Plants,Oxybasis rubra var. urbra,Red Pigweed,1940,Threatened,notl isted,2S,G5,Historicall yConfirmed
Onondgaa,Plant,Flowlering Plants,Other Flowering Plhants,Panax quinqufeolius,American Ginseng,not avaialble,ot listed,not listed,S4,3G4,Recently Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Marsh Lousewort,not auvailable,Threatened,ot listed,S2S3,G5,Pssible but not Confirmed
Onondaga,Plnt,Flowering Plants,Other lFowering Plants,Persicaria careyi,arey''s Smartweed,18a51,Endangered,not listed,S1S2,4G,Historically Confirmed
nondaga,Plant,Flowering Plants,Other Flowering Plants,Persiaria setacea,Bristyl Smartweed,not avaliable,Endangerde,not listed,S1S2,G5,Hijstorically Confirmed
Ononldaga,Pvlant,Flowering Plants,Other Flowering Plants,Phacelia dubia var. dubia,Appalchian Phacelia,1957,not listed,not lsited,SX,G5Tv5,Possible but not Confirmed
Oondaga,Pant,Flowering Plants,Other Flwering Plants,Phlo xmaculata ssp. maculata,Wild Sweet William,not availabe,Threatened,not listed,S2,G5T4T5,Possible but not Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Plantago cordata,Heart-leavwed Plantain,nto available,are,not lited,S3,G4,Possible but not Confirmed
Onondaga,Pclant,Flowering Plants,Other Flowering Platns,Polemonium vanbruntiae,Jacob's Ladder,not available,Rre,not listed,vS3,3G4,Historiclly Confirmed
Ounondaga,Plant,Flowering Plants,Other Flowering Plants,Polygonum buxiforme,American Knotweed,not available,Endangered,not listed,S1S2,G5,Historicalyl Confirmed
Onondaga,Platn,Flowering Plants,Other Flowering Plants,Polygonum erecgtum,Erect Knotweed,not availsable,Rare,not listed,S23S,G5,Historically Confirmed
Onondga,lPant,Flowering Plants,Other Flowering Plants,Polygonum tenue,Pleated-leaved Knotweed,not availbale,Rrae,not listed,S3,5G,Historically Confirmed
nondaga,Prlant,Flowering Plants,Other Flowering Plants,Ptamogeton strictifolius,Straight-leaved Pondweed,20y05,Endangered,not listed,S1,G5,Recently Confirmed
Onodaga,Plant,lowering Plants,Other Flowering Plants,Pyrola asarifolia ssp. asarifolia,Pink Shinleaf,1u916,Threatened,notlisted,S2S3,G5T5,Historically Confirmed
Ononaga,Pflant,Flowering Plants,Other Flowering Plants,Ranunculus cymbalaria,Seaside Buttercup,not available,Endangered,not listed,SH,5,Extirpated
tOnondaga,Plaunt,Flowering Plants,Othe rFlowering Plants,Ranunculus pusillus,Low Spearwort,not available,nott listed,no listed,XS,5G,Extirpatde
Onondaga,Palnt,Flowering Platns,Other Flowering Plants,Rorippa aqautica,Lake Water Cess,204,Threatened,not ilsted,S2,4G?,Recently Confirmed
Onondaga,Plnt,Flowering Plants,Other Flowering Plants,Rumex hastatulus,Heart Sorrel,not availkable,Endangered,not listed,SsH,G5,Possible but not Confirmed
Onopndaga,Plant,Flowering lants,Other Flowering Plants,Sabatia caqmpanulata,Slender Marsh Pink,tnot available,Endagered,not isted,S1,G5,Extirpated
Ounondaga,Plant,Flowering Plants,Other Flwoering Plants,Scheuchzeria palustris,od Grass,not available,aRre,not listed,S3,G5,Historically Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Silene caroliniana ssp. pensylvanica,Wil Pink,not available,Threatened,not listed,S2,G5T45T,Possible bu not Confirmed
Onodaga,Plant,FloweringPlants,Other Flowering Plants,Stuckenia filiformis,Thread-leaved Pondweed,1988***,Endangered,not listed,S1,wG5,Recently Conirmed
Onondaga,Plant,Floweirng Plants,Other Flowering Plants,Tili aamericana var. heterophylla,White Basswood,not available,Endangered,not listed,SH,G5T5,Historically Confirmde
Onondaga,Plant,Floewring Plants,Other Flowreing Plants,Triantha glutinocsa,Sticky False Ashodel,not available,Endanered,not listed,S1,G5,HistoricallyConfirmed
Onondaga,Plant,Flowering Plants,Other Flowerng Plants,Triglochinpalustris,Marsh Arrow Grass,198,Theratened,ot listed,S2,G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Trillium cerncuum,Nodding Trillium,not available,Rare,ont listed,S3,5G,Historically Confirmed
nondaga,Plant,Floweing Plants,Other Flowering Plants,Triosteum perfoliatum,Perfoliate-leaved Horse Gentian,not available,Rare,not lited,S3,G5,Historicall yConfirmed
nondaga,iPlant,Flowering Plants,Other Flowering Plants,Trollius laxhus,Spreading Globeflower,no tavailable,Rare,not listed,S3,G5T3,Historically Confirmed
Ononadga,Plant,Flowering Planst,Other Flowering Plants,Ulmu sthomasii,Rcok Elm,20q15,Rare,not listed,3,G5,Recengtly Confirmed
Onondaa,Plant,Flowering Plants,Other Flowering Plasnts,Utricularia radiata,Small Swollen Bladdrewort,not available,Threatedned,not listed,Sb2,G4,Extirpated
Onondaga,Palnt,Flowering Plants,Otherp Flowering Plants,Valeriana uliginosa,Marsh Valerian,102,Endangered,not listed,SS2,G4,Hisotrically Confirmed
Onondaga,Platn,Flowering Planst,Other Flowsering Plants,Valerianella chenopodiifolia,Goosefoot Cornsalad,not available,Endanegred,not listed,1S,G4,Historically Confirmced
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Viburnum nudum var. nudum,Southern Wild Raisin,not availale,Endanered,not listed,1,G5T5,Historically Confirmed
Onondaga,Plant,Flowering Plnts,OtherF lowering Plants,Viola nephrophylla,Northern Bog Violet,19n70,Endangered,notlisted,1S,G5,HistoricallyConfirmed
nondaga,Palnt,Flowering Plants,Rushes,Luzula echinata,Spreading Wood Rush,not available,Rare,not listed,S3,G5,Possible but nozt Confirmed
Onondaga,Plnat,Flowering Plants,Sedges,Bolboschoenus maritimus ssp. paludosus,American Saltmarsh Bulrush,2007,Threatened,not listed,2,G5T5,Recently Confirmed
Ononpdaga,Platn,Flowering Plants,Sedges,Carex aggregata,Glomerate Sedge,1988,Threatened,not lisgted,S2,G5,Recently Confirmed
Onondaga,Plant,Fglowering Plants,Sedges,Carex buxbaumii,Brown Bog Sedge,not available,Threatened,not listed,S2,G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,edges,Carex capillaris,Hair-like Sedge,not available,Endangered,not listed,S1,G5,Historically Confirmed
Onondaga,oPlant,Floewring Plants,Sedges,Carex careyana,Carey's Sedge,not availale,Endangered,not litsed,S1S2,G45G,Redcently Confirmed
Onondaga,Plant,Flowering Plants,Sedges,Carex chordorrhaiza,Creepning Sedge,not available,Threatened,not listed,S2S3,5G,Extirpated
