objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
123.0,2020,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,"LAKE, FRESHWATER",145.49,Acres,136.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,11945.7822983171,6337717.80185501
124.0,2020,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,"LAKE, FRESHWATER",2.71,Acres,1853.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,1732.90177015924,118167.936980312
125.0,2020,CT4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol","LAKE, FRESHWATER",11.84,Acres,225.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4085.72462529309,515706.809373345
126.0,2020,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,"LAKE, FRESHWATER",68.67,Acres,1262.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8150.61640819157,2991123.20141403
127.0,2020,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion over boarder in New York.","LAKE, FRESHWATER",155.9,Acres,2421.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18898.262984158,6791215.84719876
128.0,2020,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,"LAKE, FRESHWATER",9.39,Acres,297.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4211.48706476863,409075.181713018
129.0,2020,CT4708-00-2-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.","LAKE, FRESHWATER",81.29,Acres,1538.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9240.49765441061,3541089.32178473
130.0,2020,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.","LAKE, FRESHWATER",502.28,Acres,2273.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,31556.9655710472,21879476.7085152
131.0,2020,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.","LAKE, FRESHWATER",140.58,Acres,2627.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,19689.5237317282,6123651.39992351
132.0,2020,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.","LAKE, FRESHWATER",71.91,Acres,1066.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8475.08169449154,3132387.52244891
133.0,2020,CT4700-02-1-L1_01,Day Pond (Colchester),"CT DEEP Day Pond State Park. Impoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester.","LAKE, FRESHWATER",7.35,Acres,691.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2933.5616797025,320186.260685602
134.0,2020,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir","LAKE, FRESHWATER",82.11,Acres,2234.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,14161.9521647024,3576632.83900418
135.0,2020,CT4800-04-1-L1_01,"Hayward, Lake (East Haddam)",Northeast corner of East Haddam.,"LAKE, FRESHWATER",172.41,Acres,1507.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,20347.5027973159,7510115.91466773
136.0,2020,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.","LAKE, FRESHWATER",30.96,Acres,658.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,11255.5418039513,1348373.05939525
137.0,2020,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,"LAKE, FRESHWATER",112.83,Acres,199.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,12942.4451549198,4914699.51299443
138.0,2020,CT4710-00-1-L2_01,Moodus Reservoir (East Haddam),Northeast East Haddam.,"LAKE, FRESHWATER",440.74,Acres,1902.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,61417.977921655,19198771.1550512
139.0,2020,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.","LAKE, FRESHWATER",15.24,Acres,755.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4895.55373634131,663787.196223253
140.0,2020,CT4710-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.","LAKE, FRESHWATER",265.54,Acres,127.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28316.8113276232,11567123.2354054
141.0,2020,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,"LAKE, FRESHWATER",26.4,Acres,1226.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8248.61191464011,1150062.77004756
142.0,2020,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, In Cockaaponset State Forest ans includes CT DEEP swimming area, Chester.","LAKE, FRESHWATER",52.25,Acres,2183.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11858.0551026618,2276078.93589521
143.0,2020,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.","LAKE, FRESHWATER",70.65,Acres,453.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8095.6479846412,3077679.47589754
144.0,2020,CT4800-10-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.","LAKE, FRESHWATER",29.4,Acres,2054.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5068.87985719143,1280668.80590228
145.0,2020,CT4800-16-1-L2_01,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.","LAKE, FRESHWATER",69.03,Acres,2991.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10186.4172114451,3006810.01595611
146.0,2020,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook, South of Rt 309. Includes CT DEEP State swimming area in Stratton Brook State Park, Simsbury.","LAKE, FRESHWATER",2.35,Acres,2782.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,1350.69812038641,102348.431499426
147.0,2020,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,"LAKE, FRESHWATER",120.48,Acres,1445.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14372.9769053853,5248056.37139219
148.0,2020,CT4010-00-1-L1_01,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).","LAKE, FRESHWATER",27.22,Acres,1097.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5686.08059259047,1185695.35583105
149.0,2020,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).","LAKE, FRESHWATER",17.05,Acres,297.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6430.24244982625,742700.976111697
150.0,2020,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River","LAKE, FRESHWATER",10.68,Acres,1891.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4528.2745821947,465258.132340048
151.0,2020,CT4607-00-UL_pond_01,Wadsworth Falls State Park Pond (Middletown),"Small pond within Wadsworth Falls State Park (filled and drained with connection to Coginchaug River), on Route 157 between confluence of Laurel Brook to Coginchaug River and Wadsworth Brook confluence with Coginchaug River, Middletown.","LAKE, FRESHWATER",1.37,Acres,0.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,966.014095348769,59807.0779682342
152.0,2020,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).","LAKE, FRESHWATER",0.58,Acres,350.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,812.441000119693,25247.1849813975
153.0,2020,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir","LAKE, FRESHWATER",14.95,Acres,1526.0,1100006,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4392.45562251452,651122.469937405
154.0,2020,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"CT DEEP Black Rock State Park. Impoundment of Purgatory Brook (trib to Branch Brook), west of Rte 6, Watertown.","LAKE, FRESHWATER",9.48,Acres,240.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5702.41425253143,412757.397471802
155.0,2020,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)","LAKE, FRESHWATER",14.3,Acres,2689.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3909.72429641487,622674.853422082
156.0,2020,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.","LAKE, FRESHWATER",9.35,Acres,41.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3554.73329428853,407170.603100623
157.0,2020,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock","LAKE, FRESHWATER",38.42,Acres,1942.0,1100001,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,7910.77393921777,1673439.31680131
158.0,2020,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield","LAKE, FRESHWATER",6.05,Acres,209.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2833.01426233311,263646.824838467
159.0,2020,CT6900-40-1-L1_01,Beaver Lake (Seymour),Seymour,"LAKE, FRESHWATER",68.82,Acres,158.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,15201.1471479677,2997892.3868583
160.0,2020,CT6301-08-1-L1_01,Indian Lake (Sharon/NY State Line),Sharon,"LAKE, FRESHWATER",195.81,Acres,1332.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,16881.4792504132,8529639.60345401
161.0,2020,CT6900-42-1-L1_01,Upper Derby Hill Reservoir (Derby),Derby,"LAKE, FRESHWATER",29.93,Acres,3305.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6386.92334107774,1303590.5514031
162.0,2020,CT6015-00-1-L1_01,Peck Pond (Sharon),Sharon,"LAKE, FRESHWATER",27.33,Acres,2195.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6446.32122546526,1190269.84042301
163.0,2020,CT4300-00-1+L2_01,West Branch Reservoir (Colebrook/Hartland),Colebrook,"LAKE, FRESHWATER",201.82,Acres,3440.0,1080207,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,18594.3807124894,8791317.00840086
164.0,2020,CT2107-00-1-L6_01,Groton (Poquonnock) Reservoir (Groton),"South of Route 1, crossed by I95 north and south lanes, Groton.","LAKE, FRESHWATER",194.68,Acres,1104.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,37619.5972185037,8480114.37160593
165.0,2020,CT3902-00-1-L1_01,Williams Pond (Lebanon),Lebanon,"LAKE, FRESHWATER",250.3,Acres,3526.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,34166.6678539392,10902838.8335029
166.0,2020,CT2203-00-1-L2_01,"Konomoc, Lake (Waterford/Montville)","Along east side of Route 85 (north I395), Montville/Waterford.","LAKE, FRESHWATER",288.66,Acres,1511.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,37148.7687211784,12574084.7558297
167.0,2020,CT4017-04-1-L1_01,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester. Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.","LAKE, FRESHWATER",75.9,Acres,2960.0,1080205,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,13036.8191366243,3309720.42974876
168.0,2020,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,"LAKE, FRESHWATER",277.28,Acres,575.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,21109.907842455,12078446.763889
169.0,2020,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.","LAKE, FRESHWATER",57.2,Acres,3352.0,1100002,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,14935.9782480639,2491844.77596168
170.0,2020,CT3600-00-3-L8_01,Hopeville Pond (Griswold),"CT DEEP Hopeville Pond State Park. Impoundment of Pachaug River (DS of Pachaug Pond), Griswold.","LAKE, FRESHWATER",106.6,Acres,1284.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,29443.5258515292,4643768.13889446
171.0,2020,CT3600-00-3-L3_01,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.","LAKE, FRESHWATER",37.32,Acres,143.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,12065.1074097609,1625623.78754073
172.0,2020,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,"LAKE, FRESHWATER",81.67,Acres,1829.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15715.9792035817,3557669.03731145
173.0,2020,CT4019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.","LAKE, FRESHWATER",29.74,Acres,3583.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9276.67395083096,1295495.04025224
174.0,2020,CT4302-16-1-L1_01,Highland Lake (Winchester),Southeast corner of Winchester.,"LAKE, FRESHWATER",448.18,Acres,1230.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,42660.460613205,19522854.8387813
175.0,2020,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.","LAKE, FRESHWATER",77.15,Acres,2156.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,12713.7080779591,3360761.0678375
176.0,2020,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.","LAKE, FRESHWATER",1594.85,Acres,1514.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,190484.378350977,70562246.5487131
177.0,2020,CT6302-01-1-L2_01,Ford Pond (Sharon),Sharon,"LAKE, FRESHWATER",22.9,Acres,933.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4926.01835519446,997369.682101406
178.0,2020,CT6911-07-1-L1_01,Plymouth Lake (Plymouth),Plymouth,"LAKE, FRESHWATER",44.85,Acres,2272.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6568.85633034059,1953735.3981531
179.0,2020,CT6202-00-1-L1_01,"Wangum, Lake (Canaan)",Canaan,"LAKE, FRESHWATER",177.88,Acres,1543.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,16120.0697969643,7748519.16657594
180.0,2020,CT3900-11-1-L1_01,Bog Meadow Reservoir (Norwich),Norwich,"LAKE, FRESHWATER",91.15,Acres,260.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,19035.802661129,3970596.34400989
181.0,2020,CT4200-00-4-L2_01,Somersville Pond (Somers),Near eastern border of Somers with Enfield; pond is south of intersection of Rte 190 and Rte 186.,"LAKE, FRESHWATER",40.9,Acres,2674.0,1080205,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Potential Drinking Water Supplies,Not Assessed,No,23848.8380140944,1784766.78621252
182.0,2020,CT6005-04-1-L2_01,South Pond (Salisbury),"Northwest corner of Salisbury, at the end of Mt. Riga Road (western most lobe of lake in New York). Downstream of Riga Lake, on private property managed by Mt. Riga, Inc.","LAKE, FRESHWATER",123.0,Acres,2678.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,20511.7335995572,5357373.98799949
