628.statecounty,IA_O'rien,IA_O'Brien
2522.fipstwo,f4701a1,f47011
43.statefips,2.0,1
2060.statecounty,OH_Belumont,OH_Belmont
1474.county,Missisxsippi ,Mississippi 
1866.fipstwo,f310o97,f31097
1209.statevalue,D,MD
1182.fipstwo,f22125***,f22125
1775.statevalue,NhD,ND
152.statevalue,R,AR
2772.countytwo,cLennan ,McLennan 
3001.statevalue,hVA,VA
1401.statevalue,N,MN
925.fipstwo,f2061,f20061
515.statecounty,GA_Schey,GA_Schley
394.statecounty,GA_Atkison,GA_Atkinson
1554.statecounty,MS_sIsaquena,MS_Issaquena
1026.fipstwo,f2105y3,f21053
95.statecounty,AR_Hot Spring,AL_Wilcox
2073.fipstwo,f39093,f39039
149.statecounty,AK_Fairbanks North Star Borough,AR_Perry
2822.statevalue,X,TX
3017.county,Surqry ,Surry 
126.fips,2020.0,5059
85.fips,2020.0,1111
2553.statecounty,T_NHawkins,TN_Hawkins
1834.countytwo,heyenne ,Cheyenne 
131.fips,2100.0,5069
1352.fipstwo,f2f7063,f27063
63.statefips,2.0,1
137.statevalue,R,AR
619.statevalue,IbA,IA
3061.fipstwo,sf53029,f53029
59.statecounty,AZ_Yuma,AL_Franklin
163.fips,2016.0,5135
128.fipstwo,f02070,f05063
2832.statevalue,X,TX
101.statefips,2.0,5
3040.fipstwo,f0015,f50015
1321.countytwo,Aitki n,Aitkin 
62.statefips,2.0,1
172.county,Aleutians West Census Area,Eastern District
35.statecounty,AK_Aleutians West Census Area,AL_Bullock
2968.statevalue,VwA,VA
334.statecounty,FL_Ctrus,FL_Citrus
1516.fipstwo,f22917,f29217
87.county,Dillingham Census Area,Shelby 
126.statevalue,R,AR
92.fipstwo,f02164,f01125
2376.county,Orocvois Municipio,Orocovis Municipio
1488.county,Pheulps ,Phelps 
2677.statecounty,XT_Duval,TX_Duval
2340.statevalue,PiR,PR
1429.statecounty,MO_Chrijstian,MO_Christian
1051.statevalue,YK,KY
235.fips,2050.0,6087
120.statevalue,R,AR
241.fips,2100.0,6099
208.statecounty,CO_Alamosa,CA_Lake
2116.statevalue,H,OH
3150.county,Walorth ,Walworth 
71.fipstwo,f02020,f01083
233.statefips,29,6
154.county,Hoonah-Angoon Census Area,Pope 
3111.statecounty,W_IIron,WI_Iron
428.fipstwo,f10373,f13073
125.statecounty,AK_Southeast Fairbanks Census Area,AR_Hempstead
83.statefips,2.0,1
282.statefips,40,8
2641.countytwo,Callahwan ,Callahan 
1879.statecounty,NE_Morrrill,NE_Morrill
152.statecounty,AZ_Yuma,AR_Poinsett
222.fipstwo,f02016,f06061
216.fips,2050.0,6049
203.statecounty,AK_Aleutians East Borough,CA_Humboldt
238.fipstwo,f02050,f06093
2890.statecounty,UT_iUntah,UT_Uintah
671.county,Caribuo ,Caribou 
239.statefips,8,6
1882.countytwo,Nukolls ,Nuckolls 
124.fips,2068.0,5055
1198.countytwo,Alleganyb ,Allegany 
117.fipstwo,f02105,f05041
2819.fipstwo,f4415,f48415
81.fips,2105.0,1103
1568.statevalue,S,MS
253.statecounty,AR_Ashley,CO_Archuleta
1368.county,Mille aLcs ,Mille Lacs 
748.statevalue,dIL,IL
2919.countytwo,harlotte ,Charlotte 
182.statecounty,CA_Colusa,AZ_Greenlee
2503.county,ePotter ,Potter 
205.county,Aleutians East Borough,Inyo 
81.statefips,2.0,1
145.fips,2020.0,5097
235.statefips,58,6
137.fips,2090.0,5081
1478.fipstwo,f2914z1,f29141
331.fipstwo,f12g011,f12011
727.county,For d,Ford 
1204.countytwo,Csarroll ,Carroll 
31.fips,2110.0,1003
204.fipstwo,f02110,f06025
2143.statecounty,OK_Alfalaf,OK_Alfalfa
184.fipstwo,f02020,f04013
2753.fipstwo,f84281,f48281
530.statecounty,GA_Tomobs,GA_Toombs
1972.fipstwo,f3057,f35057
2661.fipstwo,mf48099,f48099
3177.statecounty,W_Kanawha,WV_Kanawha
136.fips,2016.0,5079
1623.county,Flthead ,Flathead 
162.county,Bristol Bay Borough,Sevier 
170.statecounty,AZ_Yuma,AR_Woodruff
304.statecounty,C_ORoutt,CO_Routt
1509.fipstwo,f2o9510,f29510
2854.fipstwo,f48845,f48485
1531.countytwo,Benotn ,Benton 
271.statefips,49,8
189.statevalue,ZA,AZ
247.fipstwo,f02100,f06111
53.fipstwo,f02170,f01047
1786.statevalue,D,ND
2526.countytwo,Caryter ,Carter 
2608.county,Wekley ,Weakley 
1374.statecounty,MxN_Norman,MN_Norman
2221.statecounty,OR_Clackamsa,OR_Clackamas
1102.fipstwo,f21250,f21205
388.countytwo,Unsion ,Union 
81.statecounty,AK_Prince of Wales-Hyder Census Area,AL_Morgan
2058.statevalue,OnH,OH
2020.countytwo,Montgomry ,Montgomery 
1673.statecounty,NCu_Bladen,NC_Bladen
55.statefips,2.0,1
244.statefips,10,6
2746.statecounty,TX_Kng,TX_King
2123.county,Rizchland ,Richland 
200.fips,2013.0,6017
222.statefips,38,6
223.fips,2050.0,6063
1976.statevalue,V,NV
109.statefips,2.0,5
2838.county,Teravis ,Travis 
164.statecounty,AK_Denali Borough,AR_St. Francis
3222.fipstwo,f56j019,f56019
237.fips,2050.0,6091
235.statecounty,AK_Aleutians West Census Area,CA_Santa Cruz
267.county,Doloers ,Dolores 
187.fips,2050.0,4019
440.county,Douglask ,Douglas 
3001.fipstwo,f5159,f51159
224.statefips,67,6
2894.countytwo,ayne ,Wayne 
721.county,Dougals ,Douglas 
180.fips,1055.0,4007
1384.countytwo,edwood ,Redwood 
78.fips,2110.0,1097
173.statecounty,AR_Ashley,AS_Manu'a District
190.fipstwo,f02050,f04025
2262.countytwo,Bradfor ,Bradford 
36.statefips,2.0,1
97.county,Aleutians West Census Area,Arkansas 
21.fipstwo,f02068,f02198
241.statecounty,AK_Lake and Peninsula Borough,CA_Stanislaus
739.fipstwo,f17r077,f17077
1049.countytwo,Hrt ,Hart 
1078.statecounty,KeY_McCracken,KY_McCracken
1943.fipstwo,fj35003,f35003
226.fips,2090.0,6069
814.statecounty,INC_linton,IN_Clinton
142.fips,5033.0,5091
2041.statecounty,NYSt. Lawrence,NY_St. Lawrence
56.fipstwo,f02068,f01053
176.fips,2013.0,60050
628.fipstwo,19141,f19141
178.fips,2164.0,4003
1390.countytwo,Sherurne ,Sherburne 
145.county,Anchorage Municipality,Montgomery 
2235.statevalue,RO,OR
228.fips,2188.0,6073
198.fipstwo,f02220,f06013
89.statefips,2.0,1
363.county,Libewrty ,Liberty 
3068.countytwo,Linclon ,Lincoln 
93.fips,2020.0,1127
1239.statevalue,IM,MI
1681.statevalue,NbC,NC
169.statevalue,AsR,AR
1130.countytwo,Cadlwell ,Caldwell 
318.fipstwo,fc09009,f09009
3003.countytwo,Roaonke ,Roanoke 
1026.county,linton ,Clinton 
1430.fipstwo,29045,f29045
1231.statevalue,EM,ME
2427.statevalue,lSC,SC
1305.county,Osocda ,Oscoda 
151.fips,1019.0,5109
3129.statecounty,WI_neida,WI_Oneida
2507.county,Sipnk ,Spink 
1558.county,Jeferson ,Jefferson 
1522.statevalue,O,MO
91.fips,2020.0,1123
62.fipstwo,f02020,f01065
141.statevalue,AhR,AR
2621.countytwo,Banderca ,Bandera 
3191.statevalue,lWV,WV
565.countytwo,Bootne ,Boone 
64.fipstwo,f01023,f01069
729.statevalue,iIL,IL
126.fipstwo,f02105,f05059
2690.fipstwo,f48175,f48157
1578.statevalue,oMS,MS
210.fipstwo,f02150,f06037
1365.countytwo,Martimn ,Martin 
2980.statevalue,A,VA
1209.countytwo,Garett ,Garrett 
2850.statevalue,TlX,TX
1092.statecounty,KY_Olldham,KY_Oldham
2614.countytwo,Aneglina ,Angelina 
127.fipstwo,f02100,f05061
2569.county,Louon ,Loudon 
103.statefips,2.0,5
1644.county,Phillipsr ,Phillips 
950.fipstwo,20111,f20111
38.fipstwo,f02170,f01017
625.statevalue,A,IA
251.fipstwo,f02110,f08003
3038.county,ranklin ,Franklin 
197.county,Colsua ,Colusa 
2521.statecounty,TN_Blunt,TN_Blount
570.countytwo,Cahoun ,Calhoun 
960.fipstwo,f2c0131,f20131
152.fips,2016.0,5111
2062.countytwo,Butlr ,Butler 
833.statevalue,IgN,IN
380.statevalue,FcL,FL
148.statecounty,AK_Lake and Peninsula Borough,AR_Ouachita
1222.statecounty,MEl_Androscoggin,ME_Androscoggin
135.statevalue,RA,AR
3075.fipstwo,53057,f53057
145.statevalue,RA,AR
140.statevalue,AhR,AR
228.statecounty,AR_Carroll,CA_San Diego
810.fipstwo,f18105,f18015
2518.countytwo,Bedfodr ,Bedford 
189.fips,2050.0,4023
134.fipstwo,f02164,f05075
267.statefips,105,8
2144.statevalue,K,OK
217.county,Bristol Bay Borough,Mono 
1345.statecounty,MN_Gxoodhue,MN_Goodhue
2104.countytwo,Maion ,Marion 
44.statefips,2.0,1
1344.county,rFeeborn ,Freeborn 
610.county,Jnoes ,Jones 
152.fipstwo,f01107,f05111
1958.fipstwo,f3e5029,f35029
99.statefips,2.0,5
222.county,Anchorage Municipality,Placer 
1160.county,eRd River Parish,Red River Parish
3103.statecounty,WI_Eau fClaire,WI_Eau Claire
1007.countytwo,Boione ,Boone 
411.countytwo,Caflhoun ,Calhoun 
1593.statecounty,MS_Sunflowre,MS_Sunflower
2886.statecounty,UT_Sanpxete,UT_Sanpete
3194.statevalue,VW,WV
2770.countytwo,Magverick ,Maverick 
3036.county,Chttenden ,Chittenden 
1511.statecounty,OM_Stoddard,MO_Stoddard
256.fipstwo,f02020,f08013
51.statecounty,AR_Lafayette,AL_Cullman
978.countytwo,Rssell ,Russell 
141.county,Bristol Bay Borough,Marion 
934.fipstwo,f2079,f20079
1331.countytwo,Cassa ,Cass 
1941.countytwo,arren ,Warren 
208.fips,6011.0,6033
144.fips,1023.0,5095
2103.statevalue,OzH,OH
3006.county,Rockigham ,Rockingham 
2664.statecounty,TX_Crockevtt,TX_Crockett
64.statefips,2.0,1
1746.countytwo,Sampsovn ,Sampson 
2811.statecounty,TX_Runnls,TX_Runnels
1101.statecounty,YK_Rockcastle,KY_Rockcastle
2020.county,Montgomer y,Montgomery 
149.statevalue,R,AR
122.statecounty,AL_Mobile,AR_Garland
196.county,Anchorage Municipality,Calaveras 
1324.county,Beltraxmi ,Beltrami 
2790.county,Onchiltree ,Ochiltree 
74.fips,2170.0,1089
1881.countytwo,Nemyaha ,Nemaha 
436.county,DKealb ,DeKalb 
879.fipstwo,fs18153,f18153
293.fipstwo,yf08085,f08085
1466.countytwo,gLivingston ,Livingston 
113.fipstwo,f01023,f05033
160.statevalue,tAR,AR
102.statefips,2.0,5
2353.statecounty,PR_GuaynaboMunicipio,PR_Guaynabo Municipio
1128.statevalue,LpA,LA
298.county,Phililps ,Phillips 
1920.statecounty,NH_Sullivuan,NH_Sullivan
94.statecounty,AL_Coosa,AL_Washington
234.fips,2090.0,6085
1226.fipstwo,2f3009,f23009
643.county,Tam a,Tama 
1095.statecounty,KY_Pednleton,KY_Pendleton
1942.countytwo,Bernalill ,Bernalillo 
2747.fipstwo,48271,f48271
1643.statevalue,McT,MT
601.fipstwo,f1907,f19087
229.fips,6039.0,6075
301.statefips,52,8
1270.statecounty,MI_ngham,MI_Ingham
255.fipstwo,f02068,f08011
1952.statecounty,NM_Guadaluep,NM_Guadalupe
1382.countytwo,aRmsey ,Ramsey 
1720.countytwo,Mabcon ,Macon 
114.county,Kenai Peninsula Borough,Crittenden 
2500.statevalue,DS,SD
2120.statecounty,OHd_Portage,OH_Portage
267.statecounty,CO_Dolcores,CO_Dolores
2610.county,Willviamson ,Williamson 
171.county,Anchorage Municipality,Yell 
201.statefips,34,6
3114.statevalue,WnI,WI
2348.statevalue,PnR,PR
2925.statecounty,VA_Covingtoncity,VA_Covington city
1381.statecounty,MNe_Pope,MN_Pope
3071.fipstwo,f5d3049,f53049
2413.countytwo,Calhou ,Calhoun 
1539.statecounty,MS_Clacy,MS_Clay
328.statecounty,F_LBay,FL_Bay
1452.countytwo,Howarcd ,Howard 
1512.countytwo,tone ,Stone 
527.statevalue,A,GA
177.statecounty,AL_Clay,AZ_Apache
1149.county,Lafourche Pajrish,Lafourche Parish
486.statevalue,GoA,GA
3187.statecounty,VW_Mingo,WV_Mingo
216.county,Hoonah-Angoon Census Area,Modoc 
202.county,Aleutians West Census Area,Glenn 
812.countytwo,Clar k,Clark 
2493.statecounty,SD_Mashall,SD_Marshall
218.county,Bristol Bay Borough,Monterey 
1829.fipstwo,f13023,f31023
212.statefips,92,6
185.fipstwo,f02016,f04015
693.fipstwo,f61073,f16073
2573.fipstwo,f47171,f47117
2401.statecounty,IR_Kent,RI_Kent
219.fips,2050.0,6055
806.countytwo,Bento n,Benton 
182.fipstwo,f02150,f04011
7.fips,2016.0,2070
1334.fipstwo,f270t27,f27027
1624.fipstwo,30031,f30031
198.county,Juneau City and Borough,Contra Costa 
2449.county,Williamsbur ,Williamsburg 
147.fipstwo,f01085,f05101
2147.statevalue,K,OK
200.statecounty,AK_Juneau City and Borough,CA_El Dorado
759.fipstwo,f17132,f17123
26.statecounty,AK_Hoonah-Angoon Census Area,AK_Wade Hampton Census Area
2179.statecounty,OK_iowa,OK_Kiowa
1887.countytwo,Pierced ,Pierce 
1515.fipstwo,f29251,f29215
1626.county,Glaier ,Glacier 
3076.statecounty,WA_Skamaia,WA_Skamania
94.fipstwo,f02100,f01129
2503.countytwo,Pvotter ,Potter 
587.statevalue,AI,IA
139.fipstwo,f05051,f05085
1420.countytwo,Cxaldwell ,Caldwell 
48.fipstwo,f02020,f01037
315.countytwo,Hartfrod ,Hartford 
818.county,ecatur ,Decatur 
1481.statecounty,MO_Nodawzay,MO_Nodaway
244.fips,2068.0,6105
192.fipstwo,f02013,f06001
1554.county,Issaquxena ,Issaquena 
154.statevalue,RA,AR
1613.statecounty,MTt_Carbon,MT_Carbon
1211.statevalue,DM,MD
2064.countytwo,Champgaign ,Champaign 
2917.countytwo,Caarroll ,Carroll 
2723.statevalue,X,TX
2494.fipstwo,f4687,f46087
1415.countytwo,Baenton ,Benton 
169.statecounty,AZ_Yuma,AR_White
96.fipstwo,f02090,f01133
1611.fipstwo,f30050,f30005
3091.fipstwo,f5011,f55011
2415.countytwo,Cfherokee ,Cherokee 
707.countytwo,alhoun ,Calhoun 
188.county,Juneau City and Borough,Pinal 
2303.county,Northumberlnd ,Northumberland 
912.county,Cowle ,Cowley 
168.fipstwo,f02110,f05143
2567.statecounty,NT_Lewis,TN_Lewis
1043.county,rGeen ,Green 
181.statefips,65,4
159.county,Aleutians East Borough,Scott 
209.statefips,89,6
20.fipstwo,f02020,f02195
959.countytwo,Morto n,Morton 
270.statefips,29,8
1853.statecounty,NEf_Garfield,NE_Garfield
1237.countytwo,Yorks ,York 
2229.fipstwo,41021,f41021
248.fipstwo,f02020,f06113
1573.county,cMarshall ,Marshall 
493.fipstwo,13205,f13205
206.fipstwo,f02020,f06029
2325.fipstwo,f7n2007,f72007
1830.statevalue,E,NE
2843.county,Uvaldhe ,Uvalde 
2423.statevalue,CS,SC
86.fipstwo,f02164,f01113
3025.county,Williamsburg bcity,Williamsburg city
1667.county,Allghany ,Alleghany 
2405.countytwo,Abbeivlle ,Abbeville 
2956.statecounty,VAH_enry,VA_Henry
2881.countytwo,Morgn ,Morgan 
150.fipstwo,f02068,f05107
54.statefips,2.0,1
1187.statevalue,xMA,MA
1886.statevalue,E,NE
3158.countytwo,Bajrbour ,Barbour 
3163.countytwo,Cabel l,Cabell 
528.statevalue,AG,GA
423.county,Clayto n,Clayton 
223.statefips,51,6
2520.fipstwo,f47007***,f47007
271.countytwo,lEbert ,Elbert 
808.statevalue,IvN,IN
83.fips,2020.0,1107
2287.statecounty,PA_Jefferon,PA_Jefferson
91.county,Aleutians West Census Area,Tallapoosa 
1818.statecounty,NE_Akdams,NE_Adams
3153.statevalue,I,WI
