OBJECTID,Case_id,SN_Full,Geo_State,Prjt_Name,Ref_Num,Acq_Method,Int_Acq,Esmt_Rgts,Acc_Rgts,Esmt_exp,Acq_Fund,Fund_Year,Purpose,Pmnt_Made,Acq_Value,Width,Length_Feet,Length_Miles,Area_Acq,Deed_Sign,Recorded,County_Rec,Tax_ID,Rsts_Acq,NGO_Name,NGO_Invol,Title_Acpt,Public_Display,Source,Other_Funds,Appropriation_Reference,Administrating_Agency,Media_Links,Photo_Links,ID,SHAPE_Length,SHAPE_Area
688,9291879,NMNM   121282,NM,EL MALPAIS NCA,PROG G-202,,Fee,Exclusive,,,"LWCF;",,,"$34,000.0",$850.0,,,,40,2009/05/10 00:00:00+00,"19,01380",CIBOLA,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT",,,2009/09/22 00:00:00+00,Yes,CadNSDI,,,BLM ALBUQUERQUE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=EL%20MALPAIS,,0.0158028524561764,1.54788530569073e-05
689,9291883,NMNM   121284,NM,EL MALPAIS NCA,PROG G-202,,Fee,Exclusive,,,"LWCF;",,,"$107,000.0","$1,019.0",,,,105,2009/04/30 00:00:00+00,"19,01334",CIBOLA,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT",,,2009/09/25 00:00:00+00,Yes,CadNSDI,,,BLM ALBUQUERQUE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=EL%20MALPAIS,,0.0375518751198204,3.71463827519578e-05
690,9292719,WAOR   063496,WA,GRANDE RONDE NWSR,,,Fee,Exclusive,,,"LWCF;",,,"$975,000.0","$975,000.0",,,,986.45,2007/09/27 00:00:00+00,301942,ASOTIN,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2008/09/16 00:00:00+00,Yes,CadNSDI,,,BLM VALE DO,,,,0.164197466405196,0.000458592917767144
691,9297604,CACA   050424,CA,SAN GORGONIO WA,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,40","$27,000.0","$27,000.0",,,,40,2010/06/22 00:00:00+00,GD #2010-0282162,SAN BERNARDINO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2010/08/13 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0159371729048087,1.57390731120701e-05
692,9319072,OROR   020512,OR,ROGUE_NWSR:,SE-M-100,,Easment,Nonexclusive,,,"LWCF;",,"RECREATION,8","$6,000.0","$2,500.0",,,,7.33,1978/10/27 00:00:00+00,VOL 334 PG 1825,JOSEPHINE,,NONEXCLUSIVE,,,1979/03/01 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0681934300359286,0.000284542932869509
693,9321385,CACA   050697,CA,JENNY CREEK ACEC,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,146","$95,000.0","$95,000.0",,,,146,2009/07/17 00:00:00+00,09-0007555,SISKIYOU,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2009/09/21 00:00:00+00,Yes,CadNSDI,,,BLM REDDING FO,,,,0.0445845888935444,6.46361231874919e-05
694,9321844,OROR   020649,OR,ROGUE_NWSR,SE-M-128,,Easment,Nonexclusive,,,"LWCF;",,"RECREATION,4","$15,200.0","$12,600.0",,,,3.44,1979/01/11 00:00:00+00,VOL 336 PG 535,JOSEPHINE,,NONEXCLUSIVE,,,1979/04/11 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0683221108768706,0.000286163488568432
695,9323426,OROR   024355,OR,ROGUE_NWSR:,SE-M-148,,Easment,Nonexclusive,,,"LWCF;",,"RECREATION,111","$87,001.0","$64,000.0",,,,110.11,1979/09/27 00:00:00+00,VOL 1 PG 1501,JOSEPHINE,,NONEXCLUSIVE,,,1980/07/29 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=%22rogue%20wsr%22,,0.0348314847350427,4.93359491701797e-05
696,9323745,MTM    099053,MT,MEETEETSE SPIRES,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,300","$1,412,701.0","$1,412,701.0",,,,299.8,2009/11/10 00:00:00+00,339591,CARBON,,ALL SURFACE RIGHTS U.S.,,,2011/01/26 00:00:00+00,Yes,CadNSDI,,,BLM BILLINGS FO,,,,0.0698227015664689,0.000138449057128111
697,9324652,OROR   035440,OR,ROGUE RIVER ACQSTN,SE-M-152,,,Nonexclusive,,,"LWCF;",,,"$17,000.0","$12,500.0",VAR,UNK,,1.36,1982/08/10 00:00:00+00,VOL1PG 1426 LIS PEND,JOSEPHINE,,NONEXCLUSIVE,,,1982/11/22 00:00:00+00,Yes,CadNSDI,,,,,,,0.0168418543229357,1.74014100134604e-05
698,9330706,NMNM   123312,NM,BALL RANCH ACEC,PROJ-LXLAG5150000,,Fee,Exclusive,,,"LWCF;",,"T&E,229,ABRNIA BIGEL,T&E,229,ASTRGLS FENS","$435,000.0","$435,000.0",,,,229,2010/06/04 00:00:00+00,"BK 413, PG 13116",SANDOVAL,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/08/30 00:00:00+00,Yes,CadNSDI,,,BLM ALBUQUERQUE DO,,,,0.0460937600476953,9.17563644350613e-05
699,9330957,OROR   065988,OR,CASCADE-SISKIYOU  NM,,,Fee,Exclusive,,,"LWCF;",,,$0.00,"$736,000.0",,,,640,2011/07/07 00:00:00+00,2011-020409,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2011/08/25 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.0680495343569518,0.000283005151032366
700,9331333,UTU    087439,UT,COLORADO RIVER SRMA,LXLAJ9010000,,Fee,Exclusive,,,"LWCF;",,RECREATION,"$50,000.0","$50,000.0",,,,40,2015/07/09 00:00:00+00,509225,GRAND,,ALL SURFACE RIGHTS U.S.,,,2016/05/19 00:00:00+00,Yes,CadNSDI,,,BLM,,,,0.0164271500363979,1.6643191339826e-05
701,9331491,CACA   050913,CA,KING RANGE NCA,PROJ-B001,,Fee,Exclusive,,,"LWCF;",,WILDERNESS,"$300,000.0","$300,000.0",,,,16,2010/01/19 00:00:00+00,GD 2010-1619-4,HUMBOLDT,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT, COMPLEX RESERVAT/SEGR",,,2010/03/24 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.0127000027150059,8.20353606631067e-06
702,9333570,OROR   066035,OR,CASCADE-SISKIYOU NM,PROJ HO74,,Fee,Exclusive,,,"LWCF;",,TIMBER,"$1,873,500.0","$1,873,500.0",,,,2081.58,2012/04/23 00:00:00+00,INST #2012-013672,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT",,,2012/07/24 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.365618451069743,0.000925233559170071
703,9335761,CACA   051168,CA,KING RANGE NCA,PROJ-B001,,Fee,Exclusive,,,"LWCF;",,WILDERNESS,"$300,000.0","$300,000.0",,,,9.8,2010/06/04 00:00:00+00,2010-12195-4,HUMBOLDT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2010/07/19 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.00929985668755337,4.1461558094703e-06
704,9338851,OROR   064958,OR,CASADE-SISKIYOU NM,H-074,,Fee,Exclusive,,,"LWCF;",,,"$1,095,000.0","$1,095,000.0",,,,890.82,2008/12/01 00:00:00+00,2008-044380,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2009/09/21 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.145549507415186,0.00040104360261585
705,9339596,CACA   051344,CA,SR/SJM NM,PROJ-B018,,Fee,Exclusive,,,"LWCF;",,"RECREATION,WILDLIFE,T&E,640,BIGHORN SHP","$1,184,000.0","$945,000.0",,,,640,2010/06/15 00:00:00+00,GD #2010-0295033,RIVERSIDE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2010/07/19 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,,,0.0638250594361229,0.000252629610729939
706,9343977,MTM    099560,MT,BLACKFOOT R SRMA,,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,4142,RECREATION,4142","$4,500,000.0","$4,763,000.0",,,,4141.93,2009/12/29 00:00:00+00,"BK121,PG137",POWELL,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR",,,2010/06/24 00:00:00+00,Yes,CadNSDI,,,BLM MISSOULA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=blackfoot%20river,,0.464710723081328,0.00200541098451164
707,9345469,OROR   066148,OR,CASCADE-SISKIYOU NM,WILDKAT RANDCORE I,,Fee,Exclusive,,,"LWCF;",,,"$325,000.0","$325,000.0",,,,322.74,2011/07/07 00:00:00+00,2011-022478,JACKSON,,"ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2011/09/13 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.0640464734939749,0.000145180527235321
708,9348687,CACA   051460,CA,KING RANGE NCA,,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,320.89","$430,000.0","$430,000.0",,,,320.89,2011/07/25 00:00:00+00,GD 2011-15497-4,HUMBOLDT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/11/16 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.059608065030664,0.000132896250389432
709,9353854,CACA   051521,CA,JOHNSON CYN ACEC,PROJ-B024,,Fee,Exclusive,,,"LWCF;",,,"$1,500,000.0","$1,660,000.0",,,,520,2010/08/26 00:00:00+00,AGRMT #2010-0465416,SAN DIEGO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., PARCELS 1, ALL MINERALS, ALL SURFACE RIGHTS U.S., COVENANTS & RESTRICTIONS, PARCEL 5, ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2010/10/12 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,,,0.0693642996401857,0.000192967169726996
710,9354541,CACA   051526,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,625.14","$187,500.0","$187,500.0",,,,625.14,2010/10/20 00:00:00+00,GD #2010-0533738,RIVERSIDE,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2010/11/30 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0630014831310968,0.000246580549430819
711,9354587,WYW    178912,WY,N PLATTE RIVER SRMA,PROJ-K033,,Fee,Exclusive,,,"LWCF;",,"RECREATION,30.10","$450,000.0","$705,000.0",,,,30.1,2010/09/13 00:00:00+00,895505,NATRONA,,"ALL SURFACE RIGHTS U.S., ALL SALEABLE MINERALS, SUBJ TO EXISTNG R/W-ESMT",,,2012/03/12 00:00:00+00,Yes,CadNSDI,,,BLM CASPER FO,https://www.blm.gov/press-release/partners-celebrate-acquisition-15-miles-along-north-platte-river,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=North%20PLATTE%20RIVER,,0.0838776584850263,0.000103243373150485
712,9354951,WYW    178915,WY,N PLATTE RIVER SRMA,PROJ-K033,,Fee,Exclusive,,,"LWCF;",,"RECREATION,397.76","$2,700,000.0","$3,170,000.0",,,,397.76,2011/08/10 00:00:00+00,913513,NATRONA,,"ALL SURFACE RIGHTS U.S., ALL SALEABLE MINERALS, SUBJ TO EXISTNG R/W-ESMT",,,2012/05/01 00:00:00+00,Yes,CadNSDI,,,BLM CASPER FO,https://www.blm.gov/press-release/partners-celebrate-acquisition-15-miles-along-north-platte-river,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=North%20PLATTE%20RIVER,,0.0651907064754418,0.000227102168781823
713,9354953,CACA   051531,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,640","$192,000.0","$192,000.0",,,,640,2010/10/20 00:00:00+00,GD #2010-0533737,RIVERSIDE,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2010/11/30 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0639249030222189,0.000253328733687071
714,9356909,CACA   051548,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,320","$52,500.0","$52,500.0",,,,320,2011/02/22 00:00:00+00,GD #2011-0000623-00,INYO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2011/03/21 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0501473830298811,0.000129186755613483
715,9356910,CACA   051549,CA,CA WILDERNESS,PROJ-B022:,,Fee,Exclusive,,,"LWCF;",,"T&E,160,TORTOISE,WILDERNESS,160","$36,000.0","$36,000.0",,,,160,2011/02/22 00:00:00+00,GD #2011-0087979,SAN BERNARDINO,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR",,,2011/03/24 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0320521398894554,6.36322728822451e-05
716,9356911,CACA   051550,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,160","$36,000.0","$36,000.0",,,,160,2011/03/08 00:00:00+00,GD 2011-0105494,SAN BERNARDINO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2011/04/04 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0378083934229448,6.37154692387393e-05
717,9359534,IDI    036614,ID,BRADFORD,,,Fee,Exclusive,,,"LWCF;",,,"$712,560.0","$800,000.0",,,,200,2010/08/16 00:00:00+00,INSTR# 1370889,BONNEVILLE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2010/09/01 00:00:00+00,Yes,CadNSDI,,,BLM IDAHO FALLS DO,,,,0.0416723222694419,9.02320325340312e-05
718,9362478,CACA   051584,CA,LACKS CREEK ACEC,PROJ-B023,,Fee,Exclusive,,,"LWCF;",,,"$275,000.0","$275,000.0",,,,160,2010/09/10 00:00:00+00,GD 2010-20841-4,HUMBOLDT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT",,,2011/04/29 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,,,0.041647777255819,7.15787642217433e-05
719,9363951,CACA   051623,CA,KING RANCE NCA,PROJ-B001,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,43.40","$435,000.0","$435,000.0",,,,43.4,2011/06/17 00:00:00+00,GD-2011-13473-8,HUMBOLDT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/10/26 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.0170333452401999,1.75243452196673e-05
720,9373290,CACA   051742,CA,INTERLAKES SRMA,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,,"$66,000.0","$66,000.0",,,,80,2011/07/13 00:00:00+00,2011-0020638,SHASTA,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/09/01 00:00:00+00,Yes,CadNSDI,,,BLM REDDING FO,,,,0.0229766958712516,3.18103537567512e-05
721,9374005,CACA   051766,CA,CA WILDERNESS,,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,160","$48,000.0","$48,000.0",,,,160,2011/03/31 00:00:00+00,GD #2011-0138784,SAN BERNARDINO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/04/25 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0324822038957875,6.55414778635844e-05
722,9374428,CACA   051771,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,160.17","$89,000.0","$89,000.0",,,,160.17,2011/03/23 00:00:00+00,GD #2011-0199970,RIVERSIDE,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR",,,2011/06/08 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0762609076631635,6.31927248446673e-05
723,9374596,CACA   051787,CA,BIZZ JOHNSON TRAIL,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,RECREATION,"$12,000.0","$12,000.0",,,,4.5,2011/03/26 00:00:00+00,GD 2011-01793,LASSEN,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/06/09 00:00:00+00,Yes,CadNSDI,,,BLM EAGLE LAKE FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=BIZZ%20JOHNSON,,0.00415430068857702,5.0843130699584e-07
724,9377121,CACA   051864,CA,LACKS CREEK,PROJ-B023,,Fee,Exclusive,,,"LWCF;",,,"$300,000.0","$300,000.0",,,,162,2011/05/17 00:00:00+00,GD 2011-12572-13,HUMBOLDT,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/07/12 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,,,0.0341747376712493,7.18273353962373e-05
725,9377290,CACA   051865,CA,,PROJ-B008,,Fee,Exclusive,,,"LWCF;",,"RECREATION,9.73","$275,000.0","$275,000.0",,,,9.73,2010/08/11 00:00:00+00,20100008631,TEHAMA,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2010/08/30 00:00:00+00,Yes,CadNSDI,,,BLM REDDING FO,,,,0.00841450676482097,4.34773403610535e-06
726,9382549,CACA   052013,CA,CARRIZO PLAIN NM,,,,Exclusive,,,"LWCF;",,,"$995,000.0","$995,000.0",,,,1530,2012/03/30 00:00:00+00,DOC # 2012018308,SAN LUIS OBISPO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2013/02/21 00:00:00+00,Yes,CadNSDI,,,BLM BAKERSFIELD FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CARRIZO%20PLAINs,,0.200911878862595,0.000610650244351693
727,9384857,OROR   066369,OR,CASCADE-SISKIYOU NM,PROJ-HO74,,Fee,Exclusive,,,"LWCF;",,RECREATION,"$525,000.0","$525,000.0",,,,480,2012/02/08 00:00:00+00,INST #2012-004375,JACKSON,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT",,,2012/06/15 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.0687775678006119,0.000218400906768291
728,9387656,OROR   066387,OR,CASCADE-SISKIYOU NM,TCF PHASE I,,Fee,Exclusive,,,"LWCF;",,,"$3,000,986.0","$2,993,200.0",,,,1136,2012/07/30 00:00:00+00,2012-026398,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2012/12/13 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.137904295717686,0.000503412412377132
729,9393048,COC    074581,CO,LWR SAND CANYON-CANM,,,Fee,Exclusive,,,"LWCF;",,"CULTURAL,3.38,RECREATION,3.83",$0.00,"$350,000.0",,,,3.83,2010/12/16 00:00:00+00,RCPTN 574523,MONTEZUMA,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/02/03 00:00:00+00,Yes,CadNSDI,,,BLM TRES RIOS FO,,,,0.0109274360229703,4.11852138224566e-06
730,9396588,OROR   066469,OR,CASCADE-SISKIYOU,H-074,,Fee,Exclusive,,,"LWCF;",,,"$2,163,100.0","$2,163,100.0",,,,1618,2012/09/19 00:00:00+00,2012-031796,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2013/01/11 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.265584563734802,0.000719720383323265
731,9396945,COC    074614,CO,BANGS CANYON SRMA,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,131","$210,000.0","$210,000.0",,,,131.4,2010/12/30 00:00:00+00,RCPTN 2557898,MESA,,,,,2011/02/18 00:00:00+00,Yes,CadNSDI,,,BLM GRAND JCT FO,,,,0.0494391311610673,5.80625065426764e-05
732,9398474,OROR   066483,OR,CASCADE-SISKIYOU NM,PFT PHASE IIIA,,Fee,Exclusive,,,"LWCF;",,,"$451,500.0","$451,500.0",,,,310.81,2010/10/28 00:00:00+00,2008-044380,JACKSON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., SUBJECT TO PRIOR RIGHTS",,,2011/08/09 00:00:00+00,Yes,CadNSDI,,,BLM MEDFORD DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CASCADE-SISKIYOU,,0.0728167868273596,0.000139424981275922
733,9400019,CACA   052289,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,160","$48,000.0","$48,000.0",,,,160,2011/04/21 00:00:00+00,GD #2011-0170884,SAN BERNARDINO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2011/05/27 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0321399765498056,6.39377292409873e-05
734,9400027,CACA   052290,CA,MOJAVE TRAILS N MON,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,125","$50,250.0","$50,250.0",,,,125,2011/07/22 00:00:00+00,GD #2011-0313690,SAN BERNARDINO,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR, PAR 1-2,  5, ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S, PAR 3, ALL MINERALS, ALL SURFACE RIGHTS U.S., PAR 4, ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR, PAR 5",,,2011/09/12 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=MOJAVE%20TRAILS%20NM,,0.0540490149149878,5.00038807539955e-05
735,9400047,CACA   052291,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"T&E,556.1,TORTOISE,WILDERNESS,556.1","$163,525.0","$163,525.0",,,,556.1,2011/05/25 00:00:00+00,GD #2011-0223744,SAN BERNARDINO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S., PAR 1-6, 8, ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S, ALL MINERALS, ALL SURFACE RIGHTS U.S., PAR 8",,,2011/06/24 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.145154663994013,0.000221575826835908
736,9400051,CACA   052292,CA,CA WILDERNESS,PROJ-B022,,Fee,Exclusive,,,"LWCF;",,"WILDERNESS,430","$118,250.0","$118,250.0",,,,430,2011/08/09 00:00:00+00,GD 2011-0346576,SAN BERNARDINO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/09/12 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0642043564805896,0.000171446466292533
737,9400853,CACA   052315,CA,UPPER SAC RIVER ACEC,PROJ-B080,,Fee,Exclusive,,,"LWCF;",,,"$225,000.0","$225,000.0",,,,2.13,2011/07/12 00:00:00+00,GD 2011007816,TEHAMA,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2011/09/07 00:00:00+00,Yes,CadNSDI,,,BLM REDDING FO,,,,0.0128011892011982,7.38988995991045e-06
738,9400889,MTM    09328807,MT,MCMASTER - PHASE IV,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,320","$283,200.0","$4,500.0",,,,320,2011/02/08 00:00:00+00,"164928,BK135,PG377",BROADWATER,,,,,2012/01/30 00:00:00+00,Yes,CadNSDI,,,BLM-BUTTE FO,,,,0.0593649911658525,0.000150106991911686
739,9407443,COC    074693,CO,BANGS CANYON SRMA,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,82",$0.00,"$157,000.0",,,,81.87,2011/02/25 00:00:00+00,RCPT 2564960,MESA,,ALL MINERALS,,,2011/07/12 00:00:00+00,Yes,CadNSDI,,,BLM GRAND JCT FO,,,,0.0420209737700815,3.45727183092482e-05
740,9415069,CACA   052424,CA,PANOCHE-COALING ACEC,,,Fee,Nonexclusive,,,"LWCF;",,,"$1,098,000.0","$1,098,000.0",,,,1995,2011/08/29 00:00:00+00,2011-0118704-00,FRESNO,,ALL SURFACE RIGHTS U.S.,,,2011/10/17 00:00:00+00,Yes,CadNSDI,,,BLM CENTRAL COAST FO,,,,0.197763871119387,0.000808482457101941
741,9420017,CACA   052463,CA,CA WILDERNESS,PROJ-B022/$76125,,Fee,Exclusive,,,"LWCF;",,"T&E,320,BIGHRN SHEEP,WILDERNESS,320","$85,000.0","$85,000.0",,,,320,2011/09/16 00:00:00+00,GD 2011-0435050,SAN BERNARDINO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2011/11/16 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0495562202653295,0.000127085220659722
