License_No,License_Type,Issue_Date,License_Status,Expire_date,Legal_Name,Street1,Street2,City,State,Zip,County_Code
70048123,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,5600 WILLIAM FLYNN HWY                                      ,                                        ,GIBSONIA                                ,PA ,15044-9585,02                                      
70048124,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,19090 PERRY HWY                                             ,                                        ,MARS                                    ,PA ,16046-9404,02                                      
70048127,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,4639 CLAIRTON BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15236-2113,02                                      
70048128,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,310 CEDAR AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15212-5506,02                                      
02251401,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,SOUHEIL OBAID,2021 E CARSON ST                                            ,                                        ,PITTSBURGH                              ,PA ,15203     ,02                                      
70073059,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,GIANT EAGLE INC,GREETREE & COCHRAN RD                                       ,                                        ,PITTSBURGH                              ,PA ,15220     ,02                                      
70073061,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,2021 WHARTON AVE                                            ,                                        ,PITTSBURGH                              ,PA ,15203     ,02                                      
02265860,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,NEY ENTERPRISES INC,3616 LOUISA ST                                              ,                                        ,PITTSBURGH                              ,PA ,15213-4053,02                                      
04265340,Cig/OTP Retail,1/22/2016,Issued,2/28/2017,OM ANSH ENTERPRISE INC,1829 W LIBERTY AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15226-1211,02                                      
02243301,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,PIT STOP EXPRESS LLC,4501 OHIO RIVER BLVD                                        ,                                        ,BELLEVUE                                ,PA ,15202-3419,02                                      
02265242,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,MAHDEV CORPORATION,2373 NOBLESTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15205-4147,02                                      
02265716,Cig/OTP Retail,3/8/2016,Issued,2/28/2017,VISION GROCERIES LLC,3103 BANKSVILLE RD                                          ,                                        ,PITTSBURGH                              ,PA ,15216-2720,02                                      
70048136,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,4528 OHIO RIVER BLVD                                        ,                                        ,BELLEVUE                                ,PA ,15202-3418,02                                      
70048137,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,900 BUTLER ST                                               ,                                        ,PITTSBURGH                              ,PA ,15223-1304,02                                      
70048142,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,113 NOBLE AVE                                               ,                                        ,CRAFTON                                 ,PA ,15205-2811,02                                      
02249454,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,A TO Z CONVENIENCE STORES INC,1617 WEST ST                                                ,                                        ,HOMESTEAD                               ,PA ,15120-1823,02                                      
70073072,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,MCKNIGHT & PEEBLES RD                                       ,                                        ,PITTSBURGH                              ,PA ,15237     ,02                                      
70073074,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,910 FREEPORT RD STE 1                                       ,                                        ,PITTSBURGH                              ,PA ,15238-6178,02                                      
70073147,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,3601 SAW MILL RUN BLVD                                      ,                                        ,PITTSBURGH                              ,PA ,15227-2709,02                                      
70073148,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,GIANT EAGLE INC,800 ALLEGHENY RIVER BLVD                                    ,                                        ,VERONA                                  ,PA ,15147-1102,02                                      
70073149,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,5603 BABCOCK BLVD                                           ,                                        ,PITTSBURGH                              ,PA ,15237-2541,02                                      
70073150,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,GIANT EAGLE INC,801 MOUNT ROYAL BLVD                                        ,                                        ,PITTSBURGH                              ,PA ,15223-1227,02                                      
02175350,Cig/OTP Retail,12/24/2015,Issued,2/28/2017,MILEY TRUCK RENTAL INC,4100A STEUBENVILLE PIKE                                     ,                                        ,PITTSBURGH                              ,PA ,15205     ,02                                      
02243648,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ADI MAHA INC,600 LYSLE BLVD                                              ,                                        ,MCKEESPORT                              ,PA ,15132-2512,02                                      
02208571,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PATRICK MCTIGHE,1607 RTE 8                                                  ,                                        ,GLENSHAW                                ,PA ,15116     ,02                                      
70048152,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,4779 LIBERTY AVE                                            ,                                        ,PITTSBURGH                              ,PA ,15224-2039,02                                      
70073075,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,7000 OXFORD DR                                              ,                                        ,BETHEL PARK                             ,PA ,15102-1863,02                                      
70073151,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,2401 FERGUSON RD                                            ,                                        ,ALLISON PARK                            ,PA ,15101-3501,02                                      
02242645,Cig/OTP Retail,12/24/2015,Issued,2/28/2017,NICS TOBACCO OUTLET INC,1100 LINCOLN HWY                                            ,                                        ,NORTH VERSAILLES                        ,PA ,15137-2100,02                                      
02255508,Cig/OTP Retail,12/24/2015,Issued,2/28/2017,NICS TOBACCO OUTLET INC,1620 LINCOLN WAY                                            ,                                        ,WHITE OAK                               ,PA ,15131-1714,02                                      
02178799,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,JACKS SERVICE CENTER LLC,HARTS RUN AND DORSEYVILLE                                   ,                                        ,PITTSBURGH                              ,PA ,15238     ,02                                      
70048159,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,RT 30 & CENTRE AVE                                          ,                                        ,E PITTSBURGH                            ,PA ,15112     ,02                                      
70073090,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,1800 MCKEES ROCKS RD                                        ,                                        ,MC KEES ROCKS                           ,PA ,15136-1600,02                                      
70073096,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,9901 MOUNTAIN VIEW DR                                       ,                                        ,WEST MIFFLIN                            ,PA ,15122-2469,02                                      
02220655,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,EAST PARK NEWS,406 E OHIO ST                                               ,                                        ,PITTSBURGH                              ,PA ,15212-5515,02                                      
02222662,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PALMER DRUG STORE LLC,738 LITTLE DEER CREEK RD                                    ,                                        ,RUSSELLTON                              ,PA ,15076     ,02                                      
02223326,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ROCKS BEER & POP INC,MCKEES ROCKS PLZ                                            ,                                        ,MCKEES ROCKS                            ,PA ,15136     ,02                                      
02210493,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MCCLINTON INC,1304 FEDERAL ST                                             ,                                        ,PITTSBURGH                              ,PA ,15212-4706,02                                      
02192507,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,WILKINSBURG BEVERAGE COMPANY,601 PENN AVE                                                ,                                        ,WILKINSBURG                             ,PA ,15221-2123,02                                      
02266928,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,LAXMI OIL CORPORATION,4006 LIBERTY AVE                                            ,                                        ,PITTSBURGH                              ,PA ,15224-1423,02                                      
02226412,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,BANKSVILLE BEER INC,3040 BANKSVILLE RD                                          ,                                        ,PITTSBURGH                              ,PA ,15216-2719,02                                      
70048162,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,1001 WASHINGTON PIKE                                        ,                                        ,BRIDGEVILLE                             ,PA ,15017-2710,02                                      
70048165,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,3299 SAW MILL RUN BLVD                                      ,                                        ,PITTSBURGH                              ,PA ,15227-2317,02                                      
70048168,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,1201 AIRPORT BLVD                                           ,                                        ,PITTSBURGH                              ,PA ,15231     ,02                                      
70048176,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,SUNOCO INC R & M,1710 WASHINGTON RD                                          ,                                        ,PITTSBURGH                              ,PA ,15241     ,02                                      
70124001,Cig/OTP Retail,3/31/2016,Issued,2/28/2017,SWISHER INTERNATIONAL INC,3803 LOGANS FERRY RD APT F                                  ,                                        ,PITTSBURGH                              ,PA ,15239-3919,02                                      
02247279,Cig/OTP Retail,6/15/2016,Issued,2/28/2017,PENN MANAGEMENT INC,4068 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15224-1336,02                                      
02255710,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,CHOCOLATE & CHANCES,2 PPG PL STE 7                                              ,                                        ,PITTSBURGH                              ,PA ,15222-5402,02                                      
02260657,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,MABA USA LLC,700 FREDERICK ST                                            ,                                        ,MC KEES ROCKS                           ,PA ,15136-3222,02                                      
02249662,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,ULTRA BIZ INCORPORATED,510 STATION ST                                              ,                                        ,BRIDGEVILLE                             ,PA ,15017-2052,02                                      
70073157,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,4924 BAUM BLVD                                              ,                                        ,PITTSBURGH                              ,PA ,15213     ,02                                      
02229523,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,JOSEPH SKOVRANKO,607 GRANT AVE                                               ,                                        ,DUQUESNE                                ,PA ,15110     ,02                                      
02263659,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,PITTS DOGGN IT LLC,260 ATWOOD ST                                               ,                                        ,PITTSBURGH                              ,PA ,15213-4286,02                                      
70161003,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,2699 MOSSIDE BLVD                                           ,                                        ,MONROEVILLE                             ,PA ,15146-3314,02                                      
70161004,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,956 GREENTREE RD                                            ,                                        ,PITTSBURGH                              ,PA ,15220-3304,02                                      
02259156,Cig/OTP Retail,2/18/2016,Issued,2/28/2017,MASCARI FUEL COMPANY INC,1700 FERGUSON RD                                            ,                                        ,ALLISON PARK                            ,PA ,15101-3202,02                                      
02265694,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,MABA USA LLC,505 LINCOLN HWY                                             ,                                        ,NORTH VERSAILLES                        ,PA ,15137     ,02                                      
70073106,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,132 BEN AVON HEIGHTS RD                                     ,                                        ,PITTSBURGH                              ,PA ,15237-1202,02                                      
70073107,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,4010 MONROEVILLE BLVD                                       ,                                        ,MONROEVILLE                             ,PA ,15146-2506,02                                      
02234165,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,VINI CORPORATION,104 CLAIRTON BLVD                                           ,                                        ,PITTSBURGH                              ,PA ,15236-3826,02                                      
70073161,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,1137 WASHINGTON AVE                                         ,                                        ,CARNEGIE                                ,PA ,15106-3647,02                                      
70073163,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,408 PENN AVE                                                ,                                        ,PITTSBURGH                              ,PA ,15221-2136,02                                      
70073165,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,4000 BUTLER ST                                              ,                                        ,PITTSBURGH                              ,PA ,15201-3225,02                                      
70073166,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,10525 FRANKSTOWN RD                                         ,                                        ,PITTSBURGH                              ,PA ,15235-2919,02                                      
02228070,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SUPER STOP CONVENIENCE STORES CORPORATIO,430 KENMAWR AVE                                             ,                                        ,RANKIN                                  ,PA ,15104-1130,02                                      
70161008,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,3500 FORBES AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15213-3307,02                                      
70161011,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,RR 50 BOX &                                                 ,                                        ,CARNEGIE                                ,PA ,15106     ,02                                      
70161013,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,150 ROUTE 30                                                ,                                        ,OAKDALE                                 ,PA ,15071-4002,02                                      
02230723,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,KENNETH HOLLAND,2814 LIBERTY WAY                                            ,                                        ,MCKEESPORT                              ,PA ,15133-2716,02                                      
70161015,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,2601 FREEPORT RD                                            ,                                        ,PITTSBURGH                              ,PA ,15238-1427,02                                      
70161016,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,4010 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15224-1304,02                                      
70161017,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,100 E 7TH AVE                                               ,                                        ,TARENTUM                                ,PA ,15084-1511,02                                      
70161018,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TRI STATE PETROLEUM CORPORATION,6680 FRANKSTOWN AVE                                         ,                                        ,PITTSBURGH                              ,PA ,15206-4112,02                                      
02218511,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,LINCO DISTRIBUTING COMPANY INC,11689 PENN HILLS DR                                         ,                                        ,PITTSBURGH                              ,PA ,15235-3329,02                                      
02261400,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,DANNYS BAR & GRILL INC,1511 CENTER AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15229-1501,02                                      
02243115,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PABLA BROS INC,5136 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15224-1616,02                                      
02261245,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,5801 FORWARD AVE                                            ,                                        ,PITTSBURGH                              ,PA ,15217-2301,02                                      
70073109,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,9805 MCKNIGHT RD                                            ,                                        ,PITTSBURGH                              ,PA ,15237-6008,02                                      
70073110,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,5550 CENTRE AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15232-1206,02                                      
02238337,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,EL FUMADOR CIGARS PIPES TOBACCO INC,518 BEAVER ST                                               ,                                        ,SEWICKLEY                               ,PA ,15143-1779,02                                      
70073167,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,436 LINCOLN HWY                                             ,                                        ,E MCKEESPORT                            ,PA ,15035-1426,02                                      
02246943,Cig/OTP Retail,5/17/2016,Issued,2/28/2017,MON BEER INC,336 338 MONONGAHELA AVE                                     ,                                        ,GLASSPORT                               ,PA ,15045     ,02                                      
02223555,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,AW FOOD EXPRESS INC,1001 PITTSBURGH ST                                          ,                                        ,CHESWICK                                ,PA ,15024-1307,02                                      
02201389,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,SEVEN Z ENTERPRISES INC,RTE 50                                                      ,1025 WASHINGTON PIKE STE 12             ,BRIDGEVILLE                             ,PA ,15017-2702,02                                      
70099025,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,K MART CORPORATION,1025 WASHINGTON PIKE STE 13                                 ,                                        ,BRIDGEVILLE                             ,PA ,15017-2786,02                                      
70099040,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,K MART CORPORATION,880 BUTLER ST STE 14                                        ,                                        ,PITTSBURGH                              ,PA ,15223-1319,02                                      
02246760,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,ESSEX BEER DISTRIBUTOR INC,100 MARKET PLACE DR                                         ,                                        ,OAKDALE                                 ,PA ,15071-4009,02                                      
02231071,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CHANDAN CORPORATION,602 LIBERTY AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15222-2710,02                                      
02257753,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CARRICK BEER 4 LESS INC,2300/02 BROWNSVILLE RD                                      ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
02261702,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,3029 WASHINGTON PIKE                                        ,                                        ,BRIDGEVILLE                             ,PA ,15017-1403,02                                      
70073116,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,9003 FRANKSTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15235     ,02                                      
70073122,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,1809 MCKEES ROCKS RD                                        ,                                        ,MC KEES ROCKS                           ,PA ,15136     ,02                                      
02246031,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,USGAS INC,4215 OHIO RIVER BLVD                                        ,                                        ,PITTSBURGH                              ,PA ,15202-3848,02                                      
70073168,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,117 S 18TH ST                                               ,                                        ,PITTSBURGH                              ,PA ,15203-1829,02                                      
02245625,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,PITTSBURGH NEWS INC,120 6TH ST                                                  ,                                        ,PITTSBURGH                              ,PA ,15222-3304,02                                      
70099053,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,K MART CORPORATION,120 MALL BLVD                                               ,                                        ,MONROEVILLE                             ,PA ,15146-2210,02                                      
70099054,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,K MART CORPORATION,825 BEAVER GRADE RD STE 5                                   ,                                        ,CORAOPOLIS                              ,PA ,15108-2639,02                                      
02268523,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HARMEET SINGH ENTERPRISE INC,319 ANN ST                                                  ,                                        ,MCKEESPORT                              ,PA ,15132-3804,02                                      
02235900,Cig/OTP Retail,2/9/2016,Issued,2/28/2017,MY LE,5482 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15206     ,02                                      
70073004,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,RR 88 BOX BRIGHTWOOD RD                                     ,                                        ,BETHEL PARK                             ,PA ,15102     ,02                                      
70073011,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,6320 SHAKESPEARE ST STE 1                                   ,                                        ,PITTSBURGH                              ,PA ,15206-4096,02                                      
70073013,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,1901 MURRAY AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15217-1607,02                                      
70073031,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,MURRAY AVE & LORETTA ST                                     ,                                        ,PITTSBURGH                              ,PA ,15217     ,02                                      
02265018,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,ARTH ENERGY CORPORATION,1530 POTOMAC AVE                                            ,                                        ,PITTSBURGH                              ,PA ,15216-2110,02                                      
02265407,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ARTH ENERGY CORPORATION,1927 BROWNSVILLE RD                                         ,                                        ,PITTSBURGH                              ,PA ,15210-4201,02                                      
70073123,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,156 BEN AVON HEIGHTS RD                                     ,                                        ,PITTSBURGH                              ,PA ,15237     ,02                                      
70073126,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,430 E WATERFRONT DR                                         ,                                        ,HOMESTEAD                               ,PA ,15120-1143,02                                      
70073171,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,14 FORT COUCH RD                                            ,                                        ,PITTSBURGH                              ,PA ,15241-1006,02                                      
70073172,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,5281 LIBRARY RD                                             ,                                        ,BETHEL PARK                             ,PA ,15102-2714,02                                      
70052122,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,TARIQ KHAN,89 CLEVER ROAD                                              ,                                        ,MCKEES ROCKS                            ,PA ,15136     ,02                                      
70073173,Cig/OTP Retail,1/7/2016,Issued,2/28/2017,GIANT EAGLE INC,1540 WASHINGTON RD                                          ,                                        ,PITTSBURGH                              ,PA ,15228-1635,02                                      
70099089,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,K MART CORPORATION,1901 LINCOLN HWY STE 4                                      ,                                        ,N VERSAILLES                            ,PA ,15137-2736,02                                      
02260744,Cig/OTP Retail,3/11/2016,Issued,2/28/2017,GRAB N GO INC,7261 STEUBENVILLE PIKE                                      ,                                        ,OAKDALE                                 ,PA ,15071-3401,02                                      
02262497,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CHARLIES CONVENIENCE STORE INC,500 LOCUST ST                                               ,                                        ,MCKEESPORT                              ,PA ,15132-2908,02                                      
02249266,Cig/OTP Retail,7/20/2016,Issued,2/28/2017,WILLIAM BAKER,7300 HAMILTON AVE                                           ,                                        ,PITTSBURGH                              ,PA ,15208-1938,02                                      
02249933,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,KUDLAS SERVICE CENTER LLC,2733 S PARK RD                                              ,                                        ,BETHEL PARK                             ,PA ,15102-3805,02                                      
02255994,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,RAHIM UNITED LLC,3235 BRIGHTON RD                                            ,                                        ,PITTSBURGH                              ,PA ,15212-2339,02                                      
02247868,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,RITZLAND BEER DISTRIBUTOR LLC,10733 FRANKSTOWN RD                                         ,                                        ,PITTSBURGH                              ,PA ,15235-3040,02                                      
02264054,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,123 LINCOLN AVE                                             ,                                        ,MILLVALE                                ,PA ,15209-5611,02                                      
70190333,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,331 PENN AVE                                                ,                                        ,WILKINSBURG                             ,PA ,15221-2133,02                                      
70190334,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,THRIFT DRUG INC,1130 PERRY HWY STE 35                                       ,                                        ,PITTSBURGH                              ,PA ,15237-2145,02                                      
02255044,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,PERRY BEER & TOBACCO INC,7919 PERRY HWY                                              ,                                        ,PITTSBURGH                              ,PA ,15237-2071,02                                      
02254971,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PRASHANT LLC,3646 LIBRARY RD                                             ,                                        ,CASTLE SHANNON                          ,PA ,15234-2231,02                                      
02261787,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,KLAFTERS INC,906 5TH AVE                                                 ,                                        ,PITTSBURGH                              ,PA ,15219-4702,02                                      
02265947,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,KLAFTERS INC,3482 WILLIAM PENN HWY                                       ,                                        ,PITTSBURGH                              ,PA ,15235-5434,02                                      
70058002,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,KLAFTERS INC,5325 ROUTE 8                                                ,                                        ,GIBSONIA                                ,PA ,15044-9644,02                                      
02262664,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,PENN HILLS LUCKY BEER INC,2790 ROBINSON BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15235-1458,02                                      
02235190,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,10752 FRANKSTOWN RD                                         ,                                        ,PENN HILLS                              ,PA ,15235-3039,02                                      
02237309,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,741 MONONGAHELA AVE                                         ,                                        ,GLASSPORT                               ,PA ,15045-1624,02                                      
02239330,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,7901 SALTSBURG RD                                           ,                                        ,PLUM                                    ,PA ,15239-1923,02                                      
02239914,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,4313 WALNUT ST                                              ,                                        ,MCKEESPORT                              ,PA ,15132-6100,02                                      
02242522,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,1722 GREENSBURG AVE                                         ,                                        ,N VERSAILLES                            ,PA ,15137-1667,02                                      
02246185,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,226 CENTER RD # B                                           ,                                        ,MONROEVILLE                             ,PA ,15146-1750,02                                      
02256886,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,3810 ONEIL BLVD                                             ,                                        ,MCKEESPORT                              ,PA ,15132-1507,02                                      
02261292,Cig/OTP Retail,1/15/2016,Issued,2/28/2017,BUSCH KEARN CORPORATION,4520 BROADWAY BLVD                                          ,                                        ,MONROEVILLE                             ,PA ,15146-4745,02                                      
02265923,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,YU JIANG,228 5TH AVE                                                 ,                                        ,MCKEESPORT                              ,PA ,15132     ,02                                      
02265157,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,CORE MART INC,1300 CORAOPOLIS HEIGHTS RD # R                              ,                                        ,CORAOPOLIS                              ,PA ,15108-2921,02                                      
02264307,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,HERA HOLDINGS LP,7338 BUTLER ST                                              ,                                        ,PITTSBURGH                              ,PA ,15206-1032,02                                      
02234554,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,MAD DOG CONVENIENCE LMTD PRTNRSHP,BROADWAY ST & CENTER AVE                                    ,                                        ,PITCAIRN                                ,PA ,15140     ,02                                      
02263925,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,909 MAIN ST                                                 ,                                        ,SHARPSBURG                              ,PA ,15215-2301,02                                      
02263936,Cig/OTP Retail,1/21/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,1868 HOMEVILLE RD                                           ,                                        ,WEST MIFFLIN                            ,PA ,15122-3650,02                                      
02263974,Cig/OTP Retail,2/1/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,401 6TH ST                                                  ,                                        ,BRADDOCK                                ,PA ,15104-1635,02                                      
02264073,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,2020 SPRING GARDEN AVE                                      ,                                        ,PITTSBURGH                              ,PA ,15212-3142,02                                      
02264075,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,FAMILY DOLLAR STORES OF PA LLC,3107 LIBERTY WAY                                            ,                                        ,MCKEESPORT                              ,PA ,15133-2103,02                                      
