ID,Q1a_Service_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Promote_diversity/inclusiveness,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Are_emp_ethical-way_conduct_business,Q1l_Sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_of_streets-neighborhood,Q2b_Condition_of_sidewalks-neighborhood,Q2c_Maint_of_private_property-neighbor,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_of_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_Most_emphasis,Q3_2nd_emphasis,Q4_Condition_of_your_neighborhood,Q5_Public_safety_concern,Q6_Services/Facility_uses-past_12_mo,Q6_2nd,Q6_3rd,Q6_4th,Q6_5th,Q6_6th,Q6_7th,Q6_8th,Q6_9th,Q6_10th,Q6_11th,Q6_12th,Q6_13th,Q6_14th,Q6_15th,Q6_Other,Q7a_Quality_of_large_parks,Q7b_Recreation_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_history_museum,Q7i_Library_facilities,Q7j_Disability_access-prog/fac,Q8_Most_emphasis-programs,Q8_2nd_-_programs,Q9a_Library_services,Q9b_Condition_of_streets,Q9c_Condition/clarity_st_signs,Q9d_Local_transit_service,Q9e_Traffic_flow_streets,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maint-st/sidewalks,Q9j_Appearance_of_residential_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_svc,Q9p_Water_service,Q9q_Local_polices_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_to_prevent_crims,Q9u_Recreation_prot/svcs,Q9v_Maintenance_city_parks,Q10_Most_emphasis-city_services,Q10_2nd-city_services,Q10_3rd-city_services,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Most_emphasis-social/human_svcs,Q12_2nd-social/human_svcs,Q12_3rd-social/human_svcs,Q13_Use_to_get_information_about_city,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_receive_info,Q13a_2nd_preference,Q13a_3rd_preference,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded,Q14f_How_ell_issue_handled,Q15_City's_top_priority_next_year,Q15_2nd_priority,Q15_3rd_priority,Q15_4th_priority,Q15_5th_priority,Q18a_Years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_yr,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18_j_Have_Smart_Phone,Q18-j_Internet_access-home,Q18k_Visited_downtown_during_past_yr,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Zip,OBJECTID
387,4,4,4,4,4,2,5,4,4,4,3,4,4,4,4,2,1,2,2,4,2,C,E,2,,1,3,4,6,14,,,,,,,,,,,,4,4,9,9,9,9,9,9,9,9,Z,,9,3,3,3,2,4,4,1,3,2,3,3,4,4,4,4,4,4,4,3,9,4,J,H,E,99,,,,,,,,,99,,,5,7,8,,,,,,,,5,8,7,2,,,,,,3,6,,,,1,2,2,2,2,1,1,5,1,1,1,1,1,3,,,,,85281,386
388,4,4,5,3,5,4,4,4,4,4,4,4,5,4,5,5,3,4,5,4,4,C,E,3,,2,6,7,11,12,14,,,,,,,,,,,5,5,9,9,9,9,9,5,5,9,E,I,5,5,5,4,4,4,4,2,3,3,4,4,5,5,5,5,4,2,5,4,4,4,R,H,I,99,,,,,,,,,9,7,6,4,5,6,7,8,,,,,,5,8,,1,5,4,9,3,2,6,11,,,,5,4,2,1,2,1,1,4,1,2,2,1,1,3,,,,,85281,387
389,4,3,4,9,4,4,3,9,4,9,9,3,9,9,1,2,2,1,3,4,1,A,D,3,,2,3,11,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,4,9,Z,,4,2,2,2,2,2,3,9,1,3,3,3,3,4,3,9,4,2,4,9,9,4,B,D,E,99,,,,,,,,,99,,,4,5,7,9,10,,,,,,99,,,2,,,,,,3,10,,,,5,2,2,2,2,1,1,3,1,1,2,1,1,0,,,,,85282,388
390,2,3,2,2,3,2,3,3,3,1,1,1,2,4,3,4,5,2,4,9,5,E,A,3,,2,3,4,5,6,11,12,,,,,,,,,,4,9,9,3,3,3,9,9,3,9,E,F,3,3,4,4,3,4,4,4,4,4,4,3,4,2,4,2,2,3,9,1,4,4,T,Q,P,3,4,8,,,,,,,1,8,7,2,3,7,9,10,,,,,,7,3,9,1,4,5,5,3,3,4,8,,,,1,1,2,1,1,2,1,3,2,1,1,1,1,3,,,,,85282,389
391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4,A,D,4,,2,3,6,11,,,,,,,,,,,,,4,9,9,9,9,9,9,9,4,9,A,I,4,4,4,4,4,9,9,2,3,4,4,4,5,5,9,4,5,4,9,4,9,4,I,R,T,99,,,,,,,,,99,,,99,,,,,,,,,,1,5,9,2,,,,,,3,6,,,,1,2,2,1,1,2,1,3,1,1,2,1,1,3,,,,,85282,390
392,4,4,4,9,4,4,4,4,9,3,4,3,3,3,5,5,4,4,4,5,5,Z,,4,,2,3,,,,,,,,,,,,,,,5,9,9,9,9,9,9,9,4,9,Z,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,9,,,,,,12,,,,,4,2,1,2,2,1,1,1,1,2,2,1,1,4,,,,,85281,391
393,4,4,4,3,4,4,3,4,4,3,3,9,4,4,5,5,3,9,4,4,4,F,B,4,,2,3,4,9,10,11,12,13,,,,,,,,,5,4,4,9,4,4,9,9,4,9,I,A,5,4,4,4,3,4,4,3,4,4,3,4,9,2,2,3,9,3,9,4,4,4,N,A,D,99,,,,,,,,,99,,,2,4,6,8,9,,,,,,8,6,4,1,3,4,3,1,1,10,11,,,,1,2,2,1,2,1,2,5,2,2,1,1,1,3,,,,,85281,392
394,3,3,3,2,4,3,9,2,2,3,9,9,2,3,3,4,4,2,3,3,4,A,D,4,,2,11,14,,,,,,,,,,,,,,3,9,9,2,9,9,9,9,5,3,A,D,5,3,4,3,2,3,3,3,4,3,3,4,4,4,4,4,3,3,9,2,3,3,T,E,K,99,,,,,,,,,99,,,5,7,8,9,,,,,,,8,5,9,1,4,3,3,4,2,8,11,,,,5,4,1,2,2,1,1,4,1,1,2,1,2,3,,,,,85282,393
395,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,3,4,1,G,C,3,,3,4,11,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,Z,,9,3,3,4,4,4,3,3,4,3,4,4,4,4,9,4,4,4,4,4,3,3,Z,,,99,,,,,,,,,99,,,4,5,,,,,,,,,99,,,2,,,,,,1,6,,,,1,1,2,1,1,2,1,3,1,1,1,1,1,3,,,,,85282,394
396,4,4,4,9,5,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,F,A,4,,1,2,3,12,,,,,,,,,,,,,4,9,9,9,9,4,9,9,5,9,A,I,5,4,4,4,4,9,4,9,4,4,4,4,4,4,5,4,4,4,4,4,4,4,D,A,U,99,,,,,,,,,2,9,3,2,5,9,,,,,,,,5,2,6,2,,,,,,4,7,,,,5,4,1,1,2,1,1,4,1,1,2,1,1,3,,,,,85282,395
397,4,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,4,3,3,3,A,F,3,,2,3,4,5,7,11,12,14,,,,,,,,,4,3,3,4,3,3,3,4,4,3,I,D,4,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,A,D,N,99,,,,,,,,,99,,,5,8,,,,,,,,,8,5,,9,,,,,,4,10,,,,5,4,1,1,2,1,1,5,1,2,1,1,1,5,,,,,85283,396
398,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,1,4,4,4,Z,,9,,2,3,4,14,14,,,,,,,,,,,,4,4,4,4,4,4,3,4,4,4,E,F,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,D,I,U,99,,,,,,,,,99,,,5,8,,,,,,,,,99,,,2,,,,,,1,4,,,,4,4,2,1,2,1,1,3,1,2,2,2,1,3,,,,,85281,397
399,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,4,4,G,F,5,,3,4,7,11,12,,,,,,,,,,,,4,9,9,9,9,9,9,4,4,9,A,B,4,4,4,4,4,4,3,3,4,4,4,4,5,5,5,4,4,4,4,4,4,4,V,U,D,99,,,,,,,,,7,2,4,5,7,8,9,,,,,,,6,8,9,9,,,,,,1,4,,,,1,2,2,1,2,1,2,5,1,2,2,1,1,3,,,,,85281,398
400,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,5,4,4,F,C,4,,2,4,8,10,11,12,13,14,,,,,,,,,4,4,4,4,5,5,4,5,5,5,I,F,5,4,4,3,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,V,D,U,2,,,,,,,,,2,7,3,2,5,6,7,9,,,,,,5,9,6,1,5,5,5,5,5,10,11,,,,5,3,2,1,2,1,2,4,1,1,1,1,1,3,,,,,85283,399
401,4,4,4,2,5,3,4,3,4,4,4,5,4,4,5,5,5,5,4,5,5,E,B,4,,3,4,11,,,,,,,,,,,,,,4,4,9,9,9,4,9,9,5,9,Z,,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,R,C,N,1,,,,,,,,,9,6,3,5,7,9,10,,,,,,,99,,,2,,,,,,8,11,12,,,5,3,2,1,2,1,1,3,1,2,2,1,1,3,,,,,85282,400
402,4,4,4,3,3,9,2,3,3,2,3,2,2,2,3,2,3,2,5,5,4,F,C,3,,2,3,4,5,7,8,9,10,11,12,13,,,,,,4,4,3,3,4,2,4,5,5,3,Z,,5,3,3,3,3,4,2,2,3,4,3,3,4,4,3,4,5,4,5,4,4,4,Z,,,2,3,4,,,,,,,1,2,7,1,2,7,,,,,,,,99,,,2,,,,,,2,3,7,,,1,5,1,2,2,2,2,5,1,1,2,1,1,3,,,,,85282,401
403,4,4,5,4,4,3,3,4,9,3,3,4,3,4,3,4,2,3,3,4,4,E,A,3,,4,6,12,14,,,,,,,,,,,,,4,5,3,4,3,3,3,4,4,4,E,A,4,3,4,5,4,5,4,2,4,2,4,4,4,4,5,4,4,4,4,3,3,4,T,S,P,99,,,,,,,,,9,6,7,5,8,,,,,,,,,5,8,4,1,3,4,4,4,4,4,8,,,,5,2,1,2,2,1,1,3,1,1,1,1,1,3,,,,,85281,402
404,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,4,3,3,3,9,3,E,F,4,,2,6,10,11,14,,,,,,,,,,,,9,4,9,9,9,5,9,9,4,9,Z,,4,4,4,9,4,9,4,3,4,4,4,4,4,4,9,4,4,3,9,3,3,9,Z,,,99,,,,,,,,,99,,,2,4,5,9,,,,,,,99,,,2,,,,,,4,11,,,,5,5,1,1,2,1,1,3,1,1,2,1,1,3,,,,,85282,403
405,5,4,4,9,3,3,9,9,4,3,9,9,4,4,4,4,2,2,4,4,4,D,F,4,,2,3,5,14,,,,,,,,,,,,,4,9,9,4,9,9,9,9,2,4,C,E,2,4,3,9,4,9,2,1,4,2,4,4,4,4,4,4,4,9,4,9,4,4,G,H,U,99,,,,,,,,,6,7,9,4,5,10,,,,,,,,5,10,7,1,4,4,4,3,1,7,10,,,,5,2,1,2,2,1,1,4,1,1,2,2,1,3,,,,,85281,404
406,5,5,5,4,5,5,3,4,3,3,5,3,3,3,5,5,5,5,5,5,5,E,F,5,,1,2,3,6,,,,,,,,,,,,,5,3,3,3,3,3,9,4,5,9,F,H,5,5,5,9,3,3,4,4,4,4,4,5,5,3,5,5,5,3,5,3,3,5,V,T,G,1,6,,,,,,,,2,6,7,4,8,9,,,,,,,,99,,,1,5,5,5,5,5,1,5,,,,5,6,1,2,2,1,1,5,1,1,2,1,1,3,,,,,85282,405
407,5,4,4,3,5,3,2,4,4,3,4,3,4,2,4,4,4,3,3,4,4,E,D,4,,3,4,6,7,11,12,14,,,,,,,,,,4,4,3,3,4,3,3,4,3,9,A,C,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,Q,V,G,99,,,,,,,,,99,,,1,5,9,10,,,,,,,8,,,1,4,4,4,4,4,4,11,,,,5,1,2,1,2,2,1,5,1,1,1,1,1,4,,,,,85283,406
408,5,5,5,4,5,5,4,4,4,5,9,4,4,4,5,5,4,9,5,5,5,A,E,5,,3,4,5,10,12,,,,,,,,,,,,5,4,4,5,9,4,9,9,4,9,E,F,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,4,4,9,4,4,9,D,J,T,99,,,,,,,,,99,,,5,7,8,9,,,,,,,99,,,1,4,4,4,4,4,2,11,,,,1,5,1,2,2,1,2,5,1,1,2,1,1,3,,,,,85284,407
409,4,4,4,4,3,4,4,9,9,9,9,9,9,9,5,5,3,3,9,4,4,A,B,5,,11,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,4,9,9,Z,,9,4,4,4,2,3,9,9,4,4,4,4,4,2,9,2,4,9,9,4,9,9,P,,,99,,,,,,,,,4,8,7,99,,,,,,,,,,4,6,10,2,,,,,,9,10,,,,1,1,1,1,1,2,1,4,1,2,1,1,1,3,,,,,85281,408
410,4,5,5,4,5,4,3,3,3,4,3,3,3,3,4,4,4,5,5,5,5,A,C,5,,2,3,6,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,5,3,C,E,5,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,4,4,4,4,5,H,I,K,99,,,,,,,,,9,3,2,7,,,,,,,,,,7,8,3,1,5,5,4,5,5,8,,,,,3,3,1,2,2,1,1,1,1,1,2,1,1,3,,,,,85282,409
411,5,5,5,4,5,4,4,5,4,4,3,4,4,3,4,4,4,9,4,4,4,A,E,4,,2,11,14,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,5,4,Z,,5,4,5,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,4,H,G,T,99,,,,,,,,,3,2,5,2,5,9,,,,,,,,5,2,6,1,5,5,5,5,5,4,10,,,,5,6,2,1,2,1,2,3,1,1,1,1,1,3,,,,,85283,410
412,5,4,5,2,5,4,3,1,3,2,4,3,2,2,4,4,3,4,4,4,4,C,E,3,,2,3,7,11,,,,,,,,,,,,,5,3,3,3,3,3,3,4,4,3,Z,,4,4,3,4,4,4,3,3,3,3,3,3,4,5,4,4,3,2,3,3,4,4,Z,,,8,,,,,,,,,1,6,7,2,5,,,,,,,,,99,,,1,4,2,2,1,1,8,10,,,,5,3,2,1,2,1,1,4,1,2,1,1,1,3,,,,,85283,411
413,3,3,4,3,3,3,4,3,3,2,3,3,2,3,2,2,2,3,2,3,1,Z,,3,,2,3,4,9,10,11,,,,,,,,,,,3,9,9,9,9,9,9,9,3,9,I,E,3,3,3,3,4,3,3,3,3,2,3,3,4,4,4,4,3,4,4,3,3,3,I,J,T,99,,,,,,,,,99,,,1,7,,,,,,,,,1,7,5,2,,,,,,2,6,,,,4,2,1,1,2,1,2,3,1,1,2,1,1,4,,,,,85281,412
414,2,3,3,2,3,3,2,2,2,2,2,4,3,3,3,3,4,3,3,4,3,E,A,4,,2,3,14,,,,,,,,,,,,,,3,3,3,3,2,2,3,3,2,2,E,I,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,3,3,P,T,H,99,,,,,,,,,99,,,5,8,,,,,,,,,5,8,7,1,3,2,2,3,3,4,5,,,,3,2,1,2,2,1,1,5,1,2,1,1,1,1,,,,,85284,413
415,4,2,3,9,4,4,4,4,2,3,9,4,1,1,4,3,2,2,4,3,4,F,D,3,,2,3,4,6,7,9,10,11,12,13,,,,,,,2,4,4,9,4,4,9,5,5,9,A,B,5,3,4,3,4,4,4,4,1,3,4,3,5,5,5,4,5,5,5,4,4,3,I,V,D,99,,,,,,,,,99,,,2,3,4,5,7,8,9,,,,5,2,3,1,1,3,1,1,9,4,7,,,,5,1,1,1,2,2,1,5,1,1,1,1,1,3,,,,,85282,414
416,4,4,4,4,4,9,9,9,9,9,9,9,9,9,4,4,4,4,4,9,3,G,,3,,2,3,5,6,7,14,,,,,,,,,,,4,9,9,9,9,9,9,4,4,9,Z,,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,99,,,5,9,,,,,,,,,5,,,1,4,4,4,4,4,99,,,,,5,3,1,2,2,1,1,3,1,1,2,1,1,3,,,,,85282,415
417,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,3,3,3,4,E,F,4,,3,4,14,,,,,,,,,,,,,,4,4,4,4,4,4,4,9,4,4,Z,,4,4,4,4,4,5,4,3,3,4,4,4,5,5,5,5,4,4,4,4,4,3,V,I,H,99,,,,,,,,,2,7,4,4,5,6,,,,,,,,6,5,4,1,5,5,5,4,5,7,11,,,,3,2,2,2,2,1,2,4,1,1,1,1,1,3,,,,,85284,416
418,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,3,,99,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,Z,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,9,,,,,,99,,,,,5,6,1,2,2,1,1,3,1,1,2,1,2,3,,,,,85283,417
419,4,4,3,9,4,4,9,9,9,9,9,9,9,9,4,4,4,3,3,3,4,E,,4,,2,3,4,9,10,14,,,,,,,,,,,4,4,3,3,3,3,3,9,4,9,A,,4,4,4,9,3,3,9,9,4,4,4,4,4,4,5,4,4,9,9,2,3,3,T,Q,,99,,,,,,,,,99,,,5,9,10,,,,,,,,5,,,2,,,,,,8,9,,,,3,1,1,2,2,2,1,3,1,2,1,1,2,0,,,,,85283,418
420,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,5,4,9,4,5,5,E,C,4,,3,4,6,11,,,,,,,,,,,,,5,9,9,9,9,9,9,9,3,4,I,,3,4,4,4,4,9,4,9,4,4,4,5,5,5,5,5,4,5,9,4,9,5,Q,B,C,99,,,,,,,,,99,,,5,7,9,,,,,,,,99,,,1,5,5,5,5,5,4,11,,,,3,3,1,1,2,2,9,5,1,2,2,1,1,9,,,,,85281,419
421,4,3,3,3,4,4,3,3,3,3,3,3,2,3,4,4,3,3,4,4,3,E,C,4,,3,4,8,11,12,13,14,,,,,,,,,,4,3,3,3,3,3,3,3,3,3,A,F,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,3,3,3,4,R,T,V,99,,,,,,,,,6,7,1,1,4,7,8,9,,,,,,8,,,1,3,3,4,4,3,2,3,7,8,11,1,3,1,1,2,1,2,5,1,1,1,1,1,3,,,,,85284,420
422,4,4,4,9,4,4,3,4,3,3,4,4,3,3,4,4,4,9,4,4,4,E,G,4,,2,3,8,11,,,,,,,,,,,,,4,9,9,4,9,9,5,9,4,4,F,G,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,T,Q,O,99,,,,,,,,,2,3,,1,4,7,9,10,,,,,,9,1,4,1,2,4,4,4,4,2,6,,,,5,5,1,1,2,1,2,4,1,1,2,1,1,3,,,,,85284,421
423,4,3,5,5,2,3,4,5,5,3,9,4,3,2,4,3,1,2,1,3,4,C,E,3,,2,4,12,,,,,,,,,,,,,,5,5,4,4,9,9,9,4,5,4,J,E,4,5,3,5,3,5,3,4,4,4,4,3,4,4,3,3,4,3,4,3,3,4,L,Q,S,99,,,,,,,,,99,,,1,7,9,10,,,,,,,1,9,10,2,,,,,,8,12,,,,1,1,1,2,1,2,2,9,1,1,2,2,1,4,,,,,85281,422
424,5,4,4,3,3,3,9,9,9,9,3,3,3,9,4,3,2,9,3,4,4,C,E,2,,3,4,6,,,,,,,,,,,,,,4,9,9,4,9,9,9,4,4,4,Z,,4,4,4,9,1,4,9,2,3,1,3,3,4,4,5,4,4,4,9,9,4,4,E,J,H,99,,,,,,,,,99,,,4,7,,,,,,,,,99,,,1,4,4,4,1,1,6,,,,,5,3,1,2,2,1,2,1,1,1,2,1,1,3,,,,,85283,423
425,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,C,F,3,,2,4,9,11,12,,,,,,,,,,,,5,5,1,3,3,3,3,3,5,3,C,E,4,2,4,5,4,4,4,2,4,4,4,5,5,5,5,5,5,5,5,4,4,4,U,V,T,99,,,,,,,,,6,9,1,3,5,8,9,,,,,,,9,3,8,1,4,4,4,4,4,6,8,,,,5,2,2,1,2,1,1,4,1,2,2,1,1,3,,,,,85281,424
426,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,5,9,5,5,4,C,E,5,,2,3,11,14,,,,,,,,,,,,,5,9,9,9,4,9,9,4,4,9,A,F,4,4,4,3,4,9,4,3,4,3,4,4,5,5,5,4,5,5,5,5,4,4,N,T,J,99,,,,,,,,,99,,,5,7,9,,,,,,,,99,,,2,,,,,,1,2,,,,4,3,2,2,2,1,2,4,1,2,2,1,1,3,,,,,85284,425
427,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,3,A,C,3,,6,14,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,Z,,9,1,3,9,1,9,3,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,R,,,99,,,,,,,,,99,,,5,9,,,,,,,,,5,9,,1,5,5,5,5,5,3,8,,,,5,6,1,2,2,1,1,5,1,2,2,2,1,4,5,,,,85281,426
428,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,E,,4,,2,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,I,,2,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,A,B,E,99,,,,,,,,,7,,,5,7,9,10,,,,,,,5,7,10,2,,,,,,99,,,,,5,6,1,2,2,2,1,5,1,2,2,1,2,1,,,,,85283,427
429,4,4,4,3,2,4,4,2,2,3,4,4,4,3,4,5,4,2,4,3,2,D,G,4,,3,4,11,,,,,,,,,,,,,,4,4,4,4,9,4,4,9,4,9,A,F,3,4,4,3,1,3,4,3,3,3,4,4,5,5,4,4,3,3,9,3,4,4,D,H,Q,99,,,,,,,,,99,,,3,,,,,,,,,,3,6,8,2,,,,,,5,11,,,,3,1,1,1,2,2,1,4,2,1,1,1,1,4,,,,,85283,428
430,3,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,2,9,4,4,2,C,G,3,,2,3,4,12,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,J,E,4,3,4,3,3,4,3,3,4,4,4,4,4,1,3,4,4,4,4,4,4,4,N,T,U,8,,,,,,,,,9,3,2,3,7,9,,,,,,,,7,9,3,1,4,4,3,3,3,1,4,,,,1,1,2,2,1,2,2,5,1,1,1,2,1,3,4,,,,85283,429
431,5,5,5,4,5,5,5,5,4,4,9,9,4,3,5,5,5,9,4,4,4,E,G,5,,2,4,6,14,,,,,,,,,,,,,4,4,4,4,4,4,4,4,5,5,I,E,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N,T,U,6,7,,,,,,,,9,7,6,1,5,7,10,,,,,,,7,1,5,1,5,5,5,5,5,1,4,,,,3,3,2,2,2,1,2,4,1,1,2,1,1,1,3,,,,85284,430
432,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,4,4,4,4,3,A,F,4,,4,12,,,,,,,,,,,,,,,3,3,3,4,3,3,3,3,4,3,A,E,3,3,3,3,3,4,4,1,3,3,4,4,3,3,4,4,4,4,4,4,4,4,H,M,N,99,,,,,,,,,99,,,3,5,,,,,,,,,5,3,7,2,,,,,,2,4,,,,5,1,2,2,2,2,1,3,2,1,1,1,1,3,,,,,85283,431
433,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,5,5,5,C,F,5,,2,3,7,12,,,,,,,,,,,,,5,9,9,9,9,3,9,5,5,9,I,H,4,5,5,9,4,9,3,9,5,4,4,4,5,5,5,5,3,9,9,4,5,5,Q,T,N,99,,,,,,,,,2,6,,5,7,9,,,,,,,,6,,,2,,,,,,8,11,,,,5,3,2,2,2,1,2,5,1,2,2,1,1,3,,,,,85283,432
434,4,4,3,2,3,4,3,1,1,1,3,3,2,3,3,3,3,3,4,4,4,E,F,4,,2,3,4,7,8,11,14,,,,,,,,,,4,9,9,9,9,9,3,3,3,9,A,G,3,3,3,3,3,4,2,9,3,3,3,3,4,4,4,2,3,3,3,3,9,3,V,A,J,99,,,,,,,,,99,,,1,3,7,9,10,,,,,,10,7,9,1,3,3,2,2,2,7,11,,,,5,3,2,1,2,1,1,4,1,1,2,1,1,3,,,,,85283,433
435,4,4,4,2,4,2,4,3,4,3,4,4,4,4,4,4,2,4,2,4,3,C,E,3,,1,2,3,4,5,6,7,8,10,11,12,13,14,,,,2,5,3,2,4,4,4,5,5,5,C,A,5,4,4,4,4,5,4,2,2,2,3,2,4,5,4,4,2,2,5,2,2,2,V,U,R,8,,,,,,,,,5,4,8,1,2,4,7,8,9,,,,,2,1,8,1,4,4,4,4,4,7,8,,,,5,3,1,1,2,2,1,4,1,1,2,1,1,3,,,,,85282,434
436,4,5,4,4,5,5,4,4,4,2,3,3,4,4,5,5,4,4,5,4,4,F,G,5,,99,,,,,,,,,,,,,,,,5,4,4,5,4,4,3,9,5,4,A,I,4,5,5,4,3,4,4,4,5,4,4,4,3,4,4,4,4,3,4,4,4,5,T,E,M,99,,,,,,,,,7,5,6,1,5,8,,,,,,,,5,6,8,1,2,2,4,4,2,1,10,,,,4,1,2,1,2,2,1,5,1,1,1,1,1,3,,,,,85282,435
437,4,4,4,4,4,4,3,3,3,9,4,3,3,3,4,4,3,3,2,5,4,E,C,4,,1,2,3,4,5,7,8,12,13,,,,,,,,5,5,4,5,5,4,4,5,5,5,E,A,5,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,P,T,U,99,,,,,,,,,9,7,3,2,8,10,,,,,,,,99,,,1,4,4,4,4,4,4,6,8,,,3,1,2,2,2,2,2,3,1,1,2,1,1,3,,,,,85281,436
438,4,4,4,3,4,4,5,4,3,4,4,4,4,5,3,3,4,4,4,4,4,A,B,4,,2,3,4,11,12,,,,,,,,,,,,4,4,4,4,3,3,3,3,5,5,A,C,5,3,5,5,4,5,3,2,2,4,4,4,5,5,5,1,5,5,5,4,3,4,P,T,H,1,,,,,,,,,1,4,5,1,5,,,,,,,,,7,9,,1,4,4,4,4,4,2,9,,,,5,3,1,1,2,1,1,5,1,1,1,1,1,3,,,,,85282,437
