478.longitude,-65.63229325426207,-87.6797791725
23.xcoordinate,1385676.0310821598,1147271.2214136072
170.locationvalue,"(41.93197047, -87.69993161e9)","(41.93197047, -87.699931619)"
71.storename,NyAYAB MART,NAYAB MART
259.buffersize,***,B
424.xcoordinate,929929.8147288936,1152475.4010279817
73.address,6430 W IRVNIG PARK RD,6430 W IRVING PARK RD
453.communityareaname,DEGEWATER,EDGEWATER
301.communityareaname,AvVONDALE,AVONDALE
472.storename,"OGEIS FOOD, INC","OGIES FOOD, INC"
356.xcoordinate,804659.7890181947,1181543.403280431
392.storename,HONGKONG MARKET,HONG KONG MARKET
34.xcoordinate,1481323.8226466493,1150300.621
423.longitude,-123.11113487181154,-87.7231300289
377.longitude,-118.56512421232632,-87.7129012497
116.address,4833 W DIVEREY AVE,4833 W DIVERSEY AVE
352.buffersize,,B
480.communityareaname,LINCOLN PAKR,LINCOLN PARK
124.locationvalue,"(41.9480045058, -87.6641862307)","(41.9480045508, -87.6641862307)"
163.address,4045 W 31STST,4045 W 31ST ST
118.storename,INTERvNATIONAL FOODS NW INC,INTERNATIONAL FOODS NW INC
401.address,13355 S IDNIANA AVE,13355 S INDIANA AVE
494.communityareaname,WEST ENGEWOOD,WEST ENGLEWOOD
293.locationvalue,"(41.969575396, -87.7083728782)","(41.9699575396, -87.7083728782)"
197.storename,CETNRO MARKET,CENTRO MARKET
426.locationvalue,"(41.8861772j806, -87.6155996011)","(41.8861772806, -87.6155996011)"
221.communityareaname,ROGERS PARcK,ROGERS PARK
435.longitude,-87.13110730251923,-87.6627231456
374.buffersize,,A
414.xcoordinate,585220.4807581811,1166685.2921777351
342.xcoordinate,1721121.0131182417,1138581.761431483
360.locationvalue,"(41.7796646515,n -87.6142509361)","(41.7796646515, -87.6142509361)"
38.locationvalue,"(41.76318195, -87.644215021)","(41.763181195, -87.644215021)"
202.address,1853W  87TH ST,1853 W 87TH ST
400.locationvalue,"4(1.9282078544, -87.728158558)","(41.9282078544, -87.728158558)"
56.address,1090 S DOTY AVE W,10900 S DOTY AVE W
142.address,4650 N SHREIDAN RD,4650 N SHERIDAN RD
347.xcoordinate,918766.2609596548,1168837.7591313403
147.xcoordinate,829247.4875270448,1165598.6391106143
232.buffersize,,B
206.locationvalue,"(41.9911817543, -87.6601550832)","(41.9911817534, -87.6601550832)"
219.communityareaname,KENWOD,KENWOOD
398.buffersize,***,A
344.communityareaname,EST TOWN,WEST TOWN
143.buffersize,,A
413.storename, & G LIQUORS,A & G LIQUORS
82.buffersize,***,B
282.xcoordinate,601304.3088667307,1179510.2977121803
245.storename,LUX 2 FODO & LIQUOR,LUX 2 FOOD & LIQUOR
331.address,513 E 47TH TS,513 E 47TH ST
273.buffersize,,A
391.communityareaname,LAKE VEIW,LAKE VIEW
46.storename,Municial Foods,Municipal Foods
34.longitude,-99.14993042823636,-87.72385084
495.buffersize,***,A
220.locationvalue,"(41.994467079, -87.6583928132)","(41.9944657079, -87.6583928132)"
97.storename,PETE'S FRESyH MARKET,PETE'S FRESH MARKET
195.address,375 E 75THS T,375 E 75TH ST
441.longitude,-72.9182920088368,-87.6580219776
351.storename,"SUPER DOLLnAR AND UP 4, INC.","SUPER DOLLAR AND UP 4, INC."
382.communityareaname,SOUTHLAWNDALE,SOUTH LAWNDALE
425.storename,S &T PROVISION CO INC,S & T PROVISION CO INC
105.communityareaname,PTOWN,UPTOWN
48.xcoordinate,1467237.8982420315,1186130.2220096055
346.communityareaname,WESTx RIDGE,WEST RIDGE
290.xcoordinate,834735.9640185842,1147980.980711077
154.communityareaname,NORTH CENTRE,NORTH CENTER
394.buffersize,***,A
310.xcoordinate,1605797.1682612575,1172322.5414348007
358.address,3956  NARRAGANSETT AVE,3956 N NARRAGANSETT AVE
405.buffersize,xA,A
300.locationvalue,"(41.8170297652, -87.6068579199v)","(41.8170297652, -87.6068579199)"
47.buffersize,tB,B
85.communityareaname,BELMONT CRAGN,BELMONT CRAGIN
66.storename,SUEPR MERCADO LA CHIQUITA,SUPER MERCADO LA CHIQUITA
225.buffersize,,A
28.storename,HOLLYWOOD OTWER MKT,HOLLYWOOD TOWER MKT
321.communityareaname,BRIGHTON PRK,BRIGHTON PARK
408.storename,SERRLLI'S FOODS,SERRELLI'S FOODS
477.locationvalue,"(41.952114602, -87.6602779929)","(41.9952114602, -87.6602779929)"
17.communityareaname,SOUT DEERING,SOUTH DEERING
174.xcoordinate,873825.7497088106,1151496.512405212
