115.sex,Femael,Female
70.sex,Fekmale,Female
88.characteristic,"Total - Asian, non-Hipsanic","Total - Asian, non-Hispanic"
43.sex,Femalhe,Female
42.sex,Femalve,Female
145.sex,Mlae,Male
235.characteristic,"Total - Femalee, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
247.noteoncount,Reporting standards not met. Either therea re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.characteristic,"Total - Male, American Indian/Alask aNative, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
182.sex,ale,Male
106.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vaiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
205.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perclent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.noteoncount,Data not vailable.,Data not available.
201.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
168.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatoin (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific sIlanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
149.characteristic,"Toal - Male, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
156.characteristic,"Tota l- Male, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
8.noteoncount,Reporting standards not met. Either there are too few cases for a rebliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
274.raceethnicity,"Pacific Islander, non-Hipanic","Pacific Islander, non-Hispanic"
19.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
247.raceethnicity,"Black, non-Hiscpanic ","Black, non-Hispanic "
43.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
162.noteoncount,Reporting standards not met. Either there are too few cases for a reliableestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.sex,emale,Female
121.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estdimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
182.noteoncount,Reporting standards nt met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
106.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
250.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vaiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
100.raceethnicity,"Pacific Islander ,non-Hispanic","Pacific Islander, non-Hispanic"
185.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vraiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
218.raceethnicity,"Two or more rcaes, non-Hispanic","Two or more races, non-Hispanic"
268.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific wIslanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
276.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiicent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
215.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiicent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.noteoncount,Reporting standards not met. Either tshere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
13.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varaition (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.raceethnicity,Hipsanic,Hispanic
272.noteonearnings,Reporting standards not met. Eiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
278.sex,Femlae,Female
146.sex,Mle,Male
42.characteristic,"Total - White, non-Hispanc","Total - White, non-Hispanic"
237.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
17.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent for greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.characteristic,"Total - Male, Hihspanic","Total - Male, Hispanic"
53.raceethnicity,"Black, no-Hispanic ","Black, non-Hispanic "
5.raceethnicity,"American Indian/Alaaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
2.sex,Femael,Female
99.characteristic,"Total - Pacific Islander, non-Hipanic","Total - Pacific Islander, non-Hispanic"
67.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (VC) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.characteristic,"Total - Female, White, non-Hsipanic","Total - Female, White, non-Hispanic"
107.characteristic,"Total - American Indian/Alaska Native, non-Hisanic","Total - American Indian/Alaska Native, non-Hispanic"
286.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grceater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
127.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatino (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
215.raceethnicity,"Two or more races, non-Hispnaic","Two or more races, non-Hispanic"
118.noteonearnings,Data notavailable.,Data not available.
22.sex,Macle,Male
102.sex,eFmale,Female
254.noteoncount,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
83.raceethnicity,"Asian, non-Hispoanic","Asian, non-Hispanic"
54.raceethnicity,"Black, non-Hzispanic ","Black, non-Hispanic "
34.noteonearnings,Reporting standards not met. Etiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.raceethnicity,"White, nno-Hispanic","White, non-Hispanic"
286.noteoncount,Reporting standsards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
279.raceethnicity,"Pacific Islandper, non-Hispanic","Pacific Islander, non-Hispanic"
252.characteristic,"Total - Female, iHspanic","Total - Female, Hispanic"
164.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estiate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.noteoncount,Reporting standards not met. Eithaer there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.sex,Mael,Male
8.noteonearnings,Reporting standards not met. Eihter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.noteonearnings,Data not avaiblable.,Data not available.
54.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or geater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.noteonearnings,Reporting standards not met. Either there are too few cases for a eliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
75.characteristic,Total - Hispanxic,Total - Hispanic
90.sex,Femalke,Female
185.characteristic,"Ttoal - Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
37.noteonearnings,Reporting standards not met. Either there are too few cases for a reliableb estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cofeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.noteoncount,Reporting standards not met. Either three are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
46.raceethnicity,"White, non-Htispanic","White, non-Hispanic"
261.characteristic,"Total - Female, Aisan, non-Hispanic","Total - Female, Asian, non-Hispanic"
18.characteristic,Total - Mlae,Total - Male
259.characteristic,"Total - Female, Hsipanic","Total - Female, Hispanic"
312.sex,Femael,Female
216.noteonearnings,Rneporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
241.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
281.characteristic,"Total - Female, Pacific Islader, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
305.raceethnicity,"Tw or more races, non-Hispanic","Two or more races, non-Hispanic"
175.characteristic,"Total - Male, Asian non-Hispanic","Total - Male, Asian, non-Hispanic"
230.noteonearnings,Reporting tsandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
30.sex,Femael,Female
151.sex,Mae,Male
239.raceethnicity,"Balck, non-Hispanic ","Black, non-Hispanic "
70.characteristic,Tootal - Hispanic,Total - Hispanic
245.sex,Femae,Female
37.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
271.noteonearnings,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
105.noteoncount,Reporting standards not met.q Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.noteoncount,Reporting standards nkot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.noteonearnings,Reporting standards notm et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
265.sex,eFmale,Female
63.raceethnicity,"Blback, non-Hispanic ","Black, non-Hispanic "
191.characteristic,"Total - Male, Pacifici Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
22.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.sex,Fezmale,Female
207.raceethnicity,"American Indian/Alaska Nativje, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
47.sex,Femlae,Female
280.noteoncount,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
38.noteoncount,Reporting standards not me.t Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
243.noteonearnings,Reporting standards not met. Eitherthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
107.raceethnicity,"American Indian/Alaska Native, non-Hspanic","American Indian/Alaska Native, non-Hispanic"
178.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 inclgude Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
211.characteristic,"Total - Male, To or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
114.noteoncount,Reporting standards not met. Eitherthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
