drawdate,winningnumbers,multiplier(double precision)
09/08/0221,09 22 41 47 61 21,2.0
09/11/2021,20 31 38 40 49 21,2.0
09/13/2021,37 40 50 61 63 21,3.0
09/152/021,01 04 18 46 62 25,3.0
09/18/2021,05 36 39 45 57 11,2.0
09/20/2021,37 51 54 58 60 19,2.0
09/22/2021,204 0 47 55 63 05,3.0
09/25/2021,22 23 37 62 63 19,3.0
09/27/2021,21 22 39 44 60 12,2.0
09/29/2021,02 07 11 17 32 11***,3.0
10/02/2021,28 38 42 47 52 01,2.0
10/04/2021,12 22 54 66 69 15,2.0
10/06/2021,01 17 52 58 64 01,10.0
10/09/2021,12 17 30 5 62 05,2.0
01/11/2021,11 20 33 39 65 24,3.0
10/13/2021,23 29 47 59 60 15,2.0
10/16/2021,30 31 41 42 48 03,3.0
01/18/2021,30 32 48 53 63 12,2.0
10/20/2021,07 29 36 41 43 05,2.0
10/23/2021,10 30 51 5763 20,2.0
10/25/2021,10 27 29 44 58 24,2.0
10/27/2021,03 06 26 35 51 17,4.0
10/30/2021,05 23 28 4 56 19,2.0
11/01/2021,09 25 34 44 45 08,3.0
11/03/2021,01 02 24 50 57 26,2.0
11/06/2021,08 30 84 57 64 09,2.0
11/08/2021,21 46 47 57 62 08,3.0
11/10/2021,19 25 43 46 48 14,2.0
11/13/2021,08 15 26 35 45 09,3.0
11/15/2021,05 31 34 51 53 23,2.0
11/17/2021,03 16 48 52 60 01,3.0
11/20/2021,40 43 48 59 69 19,3.0
11/2/22021,07 20 29 38 67 22,2.0
11/24/2021,10 16 32 63 65 h17,2.0
11/27/2021,08 3 55 64 66 10,2.0
11/29/2021,18 26 28 38 47 17,2.0
12/01/2021,12 15 38 57 63 24,2.0
12/04/2021,10 40 45 5667 02,2.0
12/06/2021,03 21 38 50 59 06,3.0
12/08/2021,03 07 33 50 69 24,2.0
12/11/2021,03 25 44 53 64 10,2.0
12/132/021,10 30 37 53 59 04,2.0
12/15/201,19 20 40 42 59 j15,3.0
12/18/2021,02 06 24 51 61 01,2.0
12/20/2021,02 13 23 34 66 02,4.0
12/22/2021,07 16 19 48 68 15,2.0
12/25/2021,27 29 45 55 58 02,3.0
12/27/2021,36 38 45 62 64 19,2.0
12/29/2021,02 06 09 33 39 11,2.0
01/01/2022,06 12 39 48 50 07,2.0
01/03/202l2,02 13 32 33 48 22,2.0
01/05/2022,06 14 25 33 46 17,2.0
01/08/2022,20 21 36 60 65 13,10.0
01/10/2022,14 17 18 21 27 09,2.0
01/1j2/2022,12 21 22 30 33 24,4.0
01/15/20c22,03 18 37 51 59 13,2.0
01/17/2022,09 24 3 546 65 22,2.0
01/19/2022,11 15 43 55 61 10,3.0
01/22/2022,08 14 33 36 6 717,2.0
01/24/2022***,11 29 30 47 53 16,3.0
01/26/2022,04 11 38 49 69 16,3.0
01/29/e2022,02 15 38i 54 65 11,4.0
01/31/2022,10 15 51 61 69 14,3.0
02/02/0222,18 29 33 62 63 15,3.0
0/205/2022,05 16 27 39 61 24,2.0
02/07/2022,05 15 38 47 65 10,3.0
02/09/2022,02 17 33 51r 63 26,2.0
02/12/2022,08 10 21 41 62 07,3.0
02/14/2022,16 25 27 49 55 17,3.0
02/16/2022,22 30 40 42 48 16,2.0
02/19/2022,03 10 15 33 42 11,2.0
02/21/2022,02 36 37 45 69 03,2.0
02/23/2022,06 17 21 35 64 18,2.0
02/26/2022,15 32 36 48 64 19,3.0
02/28/2022,07 21 39 47 55 91,2.0
03/02/2022,19 37 48 61 63 12,2.0
03/05/2022,08 23 37 52 63 13,2.0
03/07/2022,10 43 55 59 67 02,3.0
03/09/2022,13 22 34 51 67 10,2.0
03/14/2022,21 28 32 4 449 06,3.0
03/16/2022,03 28 34 35 58 17,2.0
03/19/2022,08 09 18 48 52 06,2.0
03/21/2022,01 15 26 63 65 16,2.0
03/23/202x2,31 32 37 38 48 24,2.0
03/26/2022,02 10 50 59 61 06,3.0
03/28/2022,11 18 39 58 62 03,2.0
03/30/2022,03 07 21 31 37 11,3.0
04/02/2022,06 28 47 58 59 18,2.0
04/04/2022,02 32 3946 69 06,2.0
04/06/2022,06 42 45 47 64 18,3.0
04/11/2022,05 07 24 31 34 04,2.0
04/13/2022,14 16 41 63 68 26,2.0
04/16/2022,15 21 32 62 65 26,5.0
04/18/2022,08 z33 55 59 62 18,2.0
04/20/2022,20 30 45 55 56 14,2.0
04/23/2022,10 39 47 49 56 08,3.0
04/25/2022,12 18 20 39 61 10,2.0
04/27/2022,11 36 61 62 68 04,2.0
04/30/2022,14 21 37 44 63 01,3.0
05/02/2022,18 27 33 39 44 08,5.0
05/04/2022,37 39 55 63 69 23,2.0
05/07/2022,04 05 06 28 67 10,2.0
050/9/2022,18 30 35 52 5t6 05,2.0
05/11/2022,05 07 61 63 69 18,2.0
05/14/2022,06 40 41 45 52 09,3.0
05/16/2022,07 1522 36 64 13,2.0
05/18/2022,40 41 v58 64 65 17,3.0
05/21/2202,14 15 25 52 58 11,2.0
05/23/2022,01 33 37 39 42 26,2.0
05/25/2022,19 28 39 42 57 17,3.0
05/28/20g22,02 39 50 61 66 15,2.0
05/30/2022***,27 28 51 68 69 22,2.0
06/01/2022,11 41 56 57 63 02,2.0
06/4/2022,1416 36 52 60 16,3.0
60/06/2022,02 10 35 44 46 04,2.0
06/08/2022,22 39 43 62 64 07,4.0
06/11/2022,18 20 26 53 69 05,2.0
06/3/2022,02 27 42 44 51 25,2.0
f06/15/2022,19 28 41 42 51 07,2.0
06/18/2022,10 19 40 45 58 25,2.0
06/20/2022,03 44 61 63 69 13,2.0
06/22/2022,06 10 31 48 56 12,3.0
06/25/2022,06 12 20 2 32 04,3.0
06/27/2022,111 3 18 30 37 16,3.0
06/29/2022,08 40 49 58 63 14,3.0
07/02/2022,09 10 37 59 62 26,3.0
07/04/2022,15 16 24 31 56 04,2.0
07/06/2022,32 36 49 62 69 13,2.0
07/09/2022,14 22 42 46 522 4,3.0
07/11/2022,04 26 34 37 52 09,2.0
07/13/2022,22 23 36 47 63 02,2.0
07/16/2022,03 18 23 32 57 21,2.0
07/18/2022,14 34 36 50 58 05,3.0
07/20/202,10 20 23 49 65 22,3.0
07/23/2022,39 41 54 59 62 12,3.0
07/25/2022,25 37 38 39 65 05,2.0
07/27/2022,01 25 44 55 57 26,2.0
07/30/2022,04 17 57 58 68 12,3.0
08/01/2022,5 21 31 36 65 16,3.0
08/03/2022,09 21 56 57 66 11,2.0
08/06/2022,08 15 46 56 68 03,2.0
08/08/2022,32 45 15 57 58 12,2.0
08/10/2022,29 44 59 61 68 19,2.0
08/13/2022,19 24 35 43 62 02,10.0
08/15/2022,20 24 47 50 63 05,2.0
08/17/2022,23 28 41 50 55 24,2.0
08/20/2022,05 09 11 16 66 07,2.0
08/22q/2022,12 27 34 55 6709,2.0
08/24/2022,06 24 35 37 44 22,4.0
08/27/2022,02 18 56 60 65 14,3.0
08/29/0222,13 36 43 61 69 18,3.0
08/31/2022,07 08 19 24 28 01,2.0
09/03/2022,18 27 49 65 69 09,2.0
09/05/2022,04 07 32 55 64 25,2.0
09/07/2022,03 16 30 33 36 20,3.0
09/10/2022,38 42 56 68 69 04,2.0
09/12/2022,06 14 16 34 66 25,3.0
09/14/2022,09 10 20 22 52 25,3.0
09/17/022,05 25 36 51 61 01,3.0
09/19/2022,07 15 36 46 67 w07,2.0
09/21/2022,06 33 34 45 54 07,2.0
0/924/2022,03 09 21 24 29 14,2.0
09/26/2022,13 20 31 33 59 20,3.0
09/28/2022,06 10 24 33 67 11,3.0
10/01/2022,08 21 22 65 69 26,2.0
10/03/2022,02 16 22 55 63 22,4.0
10/05/022,26 30 33 37 62 06,2.0
10/08/2022,13 43 53 60 68 05,2.0
10/10/2022,03 06 11 17 22 11,2.0
10/12/2022,14 30 41 42 59 06,5.0
10/15/2022,32 37 40 58 62 15,5.0
10/17/2022,19 30 36 46 60 25,3.0
10/19/20l22,06 08 15 27 42 10,3.0
10/22/2022***,19 25 48 55q 60 18,2.0
10/24/2022,18 23 35 45 54 16,4.0
10/26/2022***,19 36 37 46 56 24,2.0
10/29/2022,19 31 40 4 57 23,3.0
10/31/2022,13 19 36 39 59 13,3.0
11/02/2022,02 11 22 35 60 23,2.0
11/05/2022,28 45 53 56 69 20,3.0
11/09/2022,07 14 24 30 56 07,2.0
11/12/2022,16 20 44 57 58 06,4.0
11/14/2022,19 35 53 54 67 21,2.0
11/16/2022,28 34 51 53 56 11,2.0
11/19/2022,07 28 62 63 64 10,3.0
11/21/2022,01 06 40 51 67 02,2.0
11/23/2022,01 02 31 39 66 25,2.0
