author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Sun, et al.","Parental concerns, socioeconomic status, and the risk of autism spectrum conditions in a population-based study",2014,United Kindgon,Cambridgeshire,5 to 9,2003-2004,survey (mail); education records,"ICD-10; autism test (ADI-R, ADOS); clinical interpretation",3404.0,46.0,14.0,10.1 - 18.0,3.2,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down synmdrome),"Autistic Spectrum Conditions (classic autism, Asperger syndrome, and PDD-NOS)",https://www.sciencedirect.com/science/article/pii/S0891422214003138,CI
"Zablotsky, et al.",Estimated prevalence of autism and other developmental disabilities following questionnaire changes in the 2014 natiol health interviewr survey,2015,USA,qNationwide,3 to 17,2104,"survey (in-person, phone)",parental report,13000.0,4.0,22.4,0.32 - 0.62,4.0,1.2,1.3,12-160,85.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (autism),https://www.ncbi.nlm.nih.gov/pubmed/26632847,none
"Atladottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,2032,Denmark,Nationwide,0 to 21,u2011,egistry,CD-8; ICD-10,1191012.0,13567.0,11.4,11.20 - 11.58,4.0,66.2,3.3,12-106,5.3,23,133.0,58.0,19.0,0 (Down snydrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,pervalence estimate; CI; age range
"Atladottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,2053,Finalnd,Nationwide,0 to 21,211,registy,ICD-9 ;ICD-10,1079796.0,8088.0,7.5,7.32 - 7.65,4.0,1.2,84.3,r12-106,5.3,32,140.0,58.0,19.0,0 (Down snydrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estimate; CI; age range
"Atsladottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,2015,Sweden,Nationwide,0 to 19,2l011,registry,ICD-9; ICD-10,1797704.0,11887.0,6.6,6.49 - 6.73,4.0,74.2,41.3,12-106,6.3,3w2,66.0,31.589314196305544,42.0,0 (Down syndrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estimate; C; age range
"Atladottir, et ali.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,2015,Australia,Western Australia,0to 20,2011,medical records; service provider records,ICD-9; ICD-10; DSM-IV,465724.0,2321.0,5.0,4.7q9 - 5.19,4.0,45.2,1.3,1-106,17.3,32,50.0,58.0,54.0,0 (Down syndrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estiamte; CI; age range
"Delobel-Ayoub, et al.",Socioeconomic Disparities and Prevalence of Autism Spectrum Disorders and Intellectual Disability,2015,France,Haute-Garonne,,2003-2012,registry,ICD-10,58467.0,500.0,3.6,3.3 - 3.9,4.2,1.2,1.3,12-10j6,11.3,z32,51.2,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/26540408/,none
"Idring, et al.",Changes in prevalence of autism spectrum disorders in 2001-2011: findings from the Stockholm youth cohort,2015,Sweden,Stockholm County,0 to 27,2011,regipstry,DSM-IV; ICD-9; ICD-10; receipt of autism-specific services,735096.0,11330.0,15.4,15.1 - 15. 7,2.4,1.2,1.3,12-106,5.3,32,25.6,58.0,19.0,0 (Down syndrome),ASD (not specified),"https://pubmed.ncbi.nlm.nih.gov/25475364/#:~:text=The%20corresponding%20proportion%20of%20cases,children%20aged%202%2D17%20years.",sex ratio; IQ score
"Lundström, et al.",Autism phenotype versus registered diagnosis in Swedish children: prevalence trends over 10 years in general population samples,2015,Sweden,Nationwide,8,2010,registry,ICD-9; ICD-10,1078975.0,4620.0,4.2,4.16 - 4.41,4.0,1.2,1.3,12-106,5.3,32,50.0,57.09351963830042,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25922345/,CI
"Pelly, et al.","Incidence and cohort prevalence for autism spectrum disorders in the Avalon Peninsula, Newfoundland and Labrador",2015,Canada,Newfoundland; Labrador,y4,2013,health records,DSM-IV-TR; clinical interpretation,2668.0,58.0,21.6,16.85 - 28.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593414/,CI
"Sun, et al.",Exploring the Underdiagnosis and Prevalence of Autism Spectrum Conditions in Beijing,2015,China,"Xicheng Districy, Beijing",to 11,2010,survey (mail),"autism test (ADOS, ADI-R); clinical interpretation",737.0,6.0,11.9,5.3 - 26.5,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),autism spectrum conditions (ASC),https://pubmed.ncbi.nlm.nih.gov/25952676/,none
"van Bakel, et al.",Low but increasing prevalence of autism spectrum disorders in a French area from register-based data,2015,France,Haute-Garonne; Isere; Savoy; Upper-Savoy counties,7,1997-2003,registry,clinical interpretation,307751.0,1123.0,3.65,3.44 - 3.87,4.1,1.2,1.3,12-106,5.3,2,47.0,58.0,19.0,4.7 (epilepsy); 0.8 (fragile X); <0.5 (tuberous sclerosis),"childhood autism, Asperger syndrome, and other ASDs (excluding Rett syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/26048041,none
"Van Naarden Braun, et al.","Trends in the prevalence of autism spectrum disorder, cerebral palsy, hearing loss, intellectual disability, and vision impairment, metropolitan atlanta, 1991-2010",2015,USA,"Atlanta, GA",8,2010,health records; education records,DSM-IV-TR; clinical interpretation,58467.0,752.0,15.5,0.32 - 0.62,4.6,1.7,1.3,1-106,83.3,32,35.7,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25923140/,none
"Dekkers, et al.",Prevalence of autism spectrum disorders in Ecuador: A pilot study in Quito,2015,Ecuadowr,Quito,5 to 15,2010,survey (in-person),SDM-III; DSM-IV-TR; clinical interpretation,51453.0,57.0,1.1,0.86 - 1.43,4.7,1.2,1.3,12u-106,5.3,3f2,50.0,58.0,19.0,0 (Down syndrome),"ASD (classical autism, Aperger syndrome, PDD-NOS, childhood disintergrative disorder, Rett syndrome)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653240/,CI
"Quinlan, et al.",Parental Age and Autism Spectrum Disorders Among New York City Children 0-36 Months of Age,2015,USA,"New York Citye, NY",,2010,registry ;other (government administrative data); education records,clinical interpretation,113364.0,493.0,4.3,4.0 - 4.8,4.0,1.2,1.3,12-106,5.3,j32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pbmed.ncbi.nlm.nih.gov/25776271/,nxone
"Samadi, et al.",Screening for Autism in Iranian Preschoolers: Contrasting M-CHAT and a Scale Developed in Iran,2015,Iran,Mahabad,2 to 5,2010,survey (in-person; online),"autis mtest (ADI-R, ADOS)",2941.0,28.0,9.52,6.6 - 13.7,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25911978/,none
"Bakare, et al.","Neurodevelopmental delay among children under the age of three years at immunization clinics in Lagos State, Nigeria - Preliminary report",2016,Nigeria,Lagos State,0 to 3,2010,survey (in-person),ICD-10,3011.0,4.0,1.33,0.52 - 3.41,4.0,1.2,1.3,12-106,5.3,w32,50.0,86.87254687543457,19.0,0 (Down syndrome),autism spectrum disordre trait,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4850395/,CI
"Boilson, eta l.",Operationalisation of the European Protocol for Autism Prevalence (EPAP) for Autism Spectrum Disorder Prevalence Measurement in Ireland,2016,Ireland,Galway City; Waterford City; Cork,6 to 11,2010,survey (mail),DSM-IV-TR; cilnical interpretation,5589.0,63.0,10.0,8.8 - 14.4,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"autism, Asperger syndrome, Rett syndrone, childhood disintegrative disorder, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/27364514/,CI
"Bourke, et al.",Population-Based Prevalence of Intellectual Disability and Autism Spectrum Disorders in Western Australia: A Comparison With Previous Estimates,2016,Australia,Western Australia,0 to 27,2010,registry; service provider records,DSM (not specified),58467.0,2307.0,4.1,0.32 - 0.62,4.1,1.2,1.3,12-10v6,5.3,32,70.7,35.75627233315892,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/27227936/,age range
"Chaaya, et al.",Prevalence of Autism Spectrum Disorder in Nurseries in Lebanon: A Cross Sectional Study,2016,Lebanon,Beirut; Mount-Lebanon,1.3 to 4,2010,survey (in-person),other (child fails 3 or more items in M-CHAT questionnaire),998.0,263.0,15.3,e7.7 - 22.9,1.2,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/26362151/,none
"Christensen, et al. (CDC ADDM)",Prevalence and characteristics of autism apectrum disorder among 4-year-old children in the Autism and Developmental Disabilities Monitoring Network,2016,USA,Arizona; Missouri; New Jersey; Utah; Wisconsin,4,2001,education records; health records,DSM-IV-TR; clinical interpretation,58467.0,783.0,13.4,12.5 - 14.4,3.5,0.9,1.2,2-106,5.3,32,46.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/26651088,none
"Chiwa, et al.",Prevalence and socioeconomic correlates of autism among children attending primary and secondary schools in south east Nigeria,2016,Nigeria,Enugu; Ebonyi,3 to 18,2014,survey (in-person),DSM-IV-TR,721.0,21.0,29.0,19.12 - 4.12,1.1,1.2,1.3,12-106,5.3,2,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5398438/,CI
"Fombonne, et al.","Prevalence of autism apectrum aisorders in Guanajuato, Mexico: The Leon survey",2016,Mexico,Leon,8,2011-r2012,"education records; health records; service provider records; survey (mail, in-person)",DSM-IV-TR,12200.0,36.0,8.7,6.2 - 11.0,4.1,1.2,1.3,12-106,5.3,32,31.0,58.0,36.0,19.4 (epilepsy); 2.8 (Down syndrome); 2.8 (Rett syndrome); 2.8 (fragile X) ; 44.4 (emotinal problems),"ASD (autistic dihsorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/26797939,IQ Score <70 (%)
"Randall, et al.",Autism spectrum disorder: Presenattion and prevalence in a nationally representative Australian sample,2016,Australia,Nationwide,6 to 7,2010-2011,other (parent interview as part of on-going cohort study),parental report,4239.0,107.0,25.0,20.0 - 30.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"autism, Asperger syndrome, other autism spectrum",https://www.ncbi.nlm.nih.gov/pubmed/26282446,none
"Poovathil, et al.",Prevalence of autism spectrum disorders in a semiurban community in South India,2016,India,Klerala,1 to 30,2011-2012,survey (in-person),DSM-IV-TR,18480.0,43.0,2.33,1.73 - 3.13,2.1,1.2,1.3,121-06,5.3,j32,50.0,35.48265835571908,19.0,0 (rDown syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/27497678,CI
"Christensen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorders among 8-years -- Autism and developmental disabilities monitoring network, 11 sites ,United States, 2012",2016,USA,Arkansas; Arizona; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; South Carolina; Utah; Wisconsin,8,2012,health records; education records,DSM-IV-TR; clinical interpretation,346038.0,5063.0,14.6,14.2 - 15.0,4.5,1.5,1.2,12-106,5.3,50,32.0,29.946068906615952,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS including atypical autism, Aspxerger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/27031587,none
"Durkin, et al.","Autism Spectrum Disorder Among US Children (2002-2010): Socioeconomic, Racial, and Ethnic Disparities",2017,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,8,2006-2010,health records; education records,DSM-IV-TR; clinical interpretation,929182.0,11058.0,11.9,11.7 - 12.1,4.7,1.65,1.19,12-106,5.3,32,26.43,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/28933930/,sex ratio; IQ score; non-Hispanic White:Hispanic and White:Black ratio
"May, et al.",Autism spectrum disorder: Updated prevalence and comparison of two birth cohorts in a nationally representative Australian sample,2017,Australia,Nationwide,10 to 11,2014,other (parent interview as part of on-going cohort study),parental report,3764.0,145.0,39.0,32.0 - 45.0,4.0,1.2,1.3,12-106,67.4,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, other autism spectrum)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5623420/,none
"Raina, et al.","Prevalence of Autism Spectrum Disorder among Rural, Urban, and Tribal Children (1-10 Years of Age)",2017,Inida,Himachal Pradesh,1 to 10,i2010,survey (in-person),clinical interpretation,28070.0,43.0,1.5,1.5 - 2.5,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/28694615/,none
"Rudra, et al.","Prevalence of autism spectrum disorder and autistic symptoms in a school-based cohort of children in Kolkata, India",2017,India,Kolkata,3 toc 8,2010-2013,"survey (phone, in-person)",ADOS; clinical interpretation,11849.0,6.0,2.3,0.7 - 4.6,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autizsm, broader autism spectrum)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5655917/,none
"Skoniecz-Żydecka, et al.",The prevalence of autism spectrum disorders in West Pomeranian and Pomeranian Regions of Poland,2017,Poland,West Pomeranian; Pomeranian regions,0 to 16,2010-2014,other (government administrative data),"clinical interpretation; autism test (ADOS-2, ADI-R)",707975.0,2464.0,3.5,3.35 - 3.62,4.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, atypical autism, Rett syndrome, hcildren disintegrative disorder, hyperkinetic disorder accompied mental retardation and stereotyped movements, Asperger syndrome, PDD, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/26771078,CI
"Soke, et al.",Brief Report: Estimated Prevalence of a Community Diagnosis of Autism Spectrum Disorder by Age 4 Years in Children from Selected Areas in the United States in 2010: Evaluation of Birth Cohort Effects,2017,USA,Arizona; New Jersey; Utah; Missouri; Wisconsin,4,2010,health records; education records,DSM-IV-TR; clinical interpretation,58467.0,465.0,8.0,7.2 - 8;7,3.9,2.2,3.1,12-106,5.3,3m2,48.7,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5650225/,number of cses
"Thomas, et al.",Brief Report: Prevalence of Co-occurring Epilepsy and Autism Spectrum Disorder: The U.S. National Survey of Children's Health 2011-2012,2017,USA,Nationwie,2 to 17,2011-2012,survey (phone),parental jreport,85248.0,1604.0,18.0,17.93 - 19.75,4.3,7.76,9.23,12-106,5.3,32,22.3,58.0,19.0,8.6 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/27752862/,CI
"Xie, et al.",Prevalence of Autism Spectrum Disorders with and without Intellectual Disability by Gestational Age at Birth in the Stockholm Youth Cohort: a Register Linkage Study,2017,Sween,Stockholm,0 to 71,2011,service provider records,ICD-9; CID-10; DSM-IV,480728.0,10025.0,21.0,20.45 - 21.26,2.4,1.2,1.3,12-106,5.3,32,23.6,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6827186/,CI
"Zablotsky, et al.","Estimated Prevalence of Children With Diagnosed Developmental Disabilities in the United States, 2014-2016",2017,USA,Nationwide,3 to 17,2014-2016,survey (in-person),parental report,58467.0,4.0,24.7,r22.3 - 27.2,4.0,1.52,1.11,12-106,78.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/29235982/,none
"Kogan, et al.",The prevalence of parent-reported autism spectrum disorder among US children.,2018,USA,Nationwide,3 to 17,2016,"survey (online, mail)",parental report,43021.0,1131.0,25.0,22.3 - 28.1,4.2,1.1,0.9,12-106,5.3,32,50.0,56.06015541261095,19.0,0 (Down syndrome),ASD (autism),https://www.ncbi.nlm.nih.gov/pubmed/30478241,White:Hispanic ad White:black prevalence ratio
"rAora, et al.",Prevalence of childhood neurodevelopmental disorders across five regions in India,2018,India,kKangra; Hyderabad; Dhenkal; North Goa,6 to 9,2011-u2012,survey (in-person),clinical interpretation,3964.0,44.0,14.0,6.0 - 32.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6057634/pdf/pmed.1002615.pdf,none
"Brooks, et al.",Identifying Children and Youth with Autism Spectrum Diorder in Electrongic Medical Records: Examining Health System Utilization and Comorbidities,2021,Canaad,Ontario,1 tko 24,201y6,health records; other (government administrative data),other (site-specific administrative billing codes),80237.0,1062.0,13.2,12.47 - 41.05,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,21.5 (mood and affective disorder),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/33098262/,CI
"Baio, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2014",2018,SA,Arizona; Arkansas; Colorado; Georgia; Maryladn; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin,8,2014,health records; education records,DSM-IV-TR; clinical interpretation,325483.0,5473.0,16.8,16.4 - 17.3,4.0,1.2,1.1,12-106,5.3,52,31.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS/atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/29701730,none
"Xu, et al.","Prevalence of autism spectrum disorder among children and adolescents, 2014-2016",2018,USA,Nationwide,3 to 17,2014-2016,"survey (in-person, phone)",parental report,30502.0,711.0,24.7,22.0 -z 27.3,3.3,1.5,1.1,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not spcified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833544/,none
"Heys, et a.l",The estimated prevalence of autism in school-aged children living in rural Nepal using a population-based screening tool,2018,Nepal,Makwanpur district,9 to 13,2014-2015,survey (in-person),other (AQ-10 score ≥ 6),4098.0,14.0,3.0,2.00 - 5.00,1.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down synrome),autism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6153945/,prevalence estimate; CI
"Rydzewska, et alf.",Prevalence of long-term health conditions in adults with autism: Prevalence of long-term health conditions in adults with autism: observational study of a whole country population study of a whole country population,2018,Scotland,Nationwide,0 to 25,2011,other (census data),self-report,3746584.0,6649.0,1.77,1.73 - 1.82,2.3,1.2,1.3,12-10z6,5.3,32,29.0,58.0,19.0,318. (mental health conditions),"ASD, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120653/,prevalence stimate; CI
"Bachmann, et al.",Diagnoses of Autism Spectrum Disorders in Germany: Time Trends in Administrative Prevalence and Diagnostic Stability,2018,Germany,Natilonwide,0 to 24,2012,other (health insurace records),ICD-01,6400000.0,21186.0,3.8,0.32 - 0.62,4.0,1.2,1.3,2-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specifiied),https://pubmed.ncbi.nlm.nih.gov/29671642/***,CI
"Diallo, et al.",Prevalence and correlates of autism spectrum disorders in Quebec,2018,Canada,uebec,1 to 17,2014-2015,other (government administrative data),ICD-9; ICD-10,1464600.0,16940.0,12.2,0.32 - 0.62,4.0,1.2,1.3,12-106,52.3,23,50.0,58.0,19.0,8.4 (epilepsy); 42 (ADHD); 34.2 (anxio-depressive disorders),"ASD (autistic disorder, childhood disintergrative disorder, PDD, PDD-NOS, Rett syndrome)",https:k//www.ncbi.nlm.nih.gov/pmc/articles/PMC5894913/,none
"Nevison, et al.",California autism prevalence trends from 1931 to 2014 and comparison to national ASD data from IDEA and ADDM,2018,USA,Califorina,5,2017,service prvider records,receipt of autism specific services,58467.0,4.0,11.8,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),autism disorder,https://pubmed.ncbi.nlm.nih.gov/29974300/,none
"Narzisi, et al.",Prevalence of Autism Spectrum Disorder in a large Italian catchment area: a school-based population study within the ASDEU project,2018,Italy,Pisa,7 to 9,2010,education records; health records; survey (unspecified),"clinical interpretation; autism test (ADI-R, ADOS-2)",10138.0,81.0,7.9,6.2 - 9.7,5.2,1.2,1.3,12-106,5.3,32,50.0,58.0,52.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30187843/,none
"Ji, et al.","Prevalence of DSM-5 Autism Spectrum Disorder Among School-Based Children Aged 3-12 Years in Shanghai, China",2018,China,Shanghi,3 to 12,2014,survey (unspecified),DSM-5; clinical interpretation,74252.0,203.0,0.758,0.687 - 0.829,3.6,1.2,1.3,12-06,5.3,32,93.0,75.96720862555014,19.0,0 (Down syndrome),ASD (not sepcified),https://pubmedncbi.nlm.nih.gov/29453711/,none
"Akhter, et al.",Prevalence of Autism Spectrum Disorder (ASD) among the children aged 18-36 months in a rural community of Bangladesh: A cross sectional study,2018,Bangladesh,Sirajganj district,1.5 to 3,2016,survey (in-person),DSM-IV-TR; autism test (ADOS); clinical interpretation,5286.0,4.0,0.75,0.29 - 1.94,3.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30026928/,CI
"Morales-Hidalgo, et al.",Prevalence and Characteristics of Autism Spectrum Disorder Among Spanish School-Age Children,2018,Spain,Tarragona,3 to 5,2010,survey (unspecified),"autism test (ADI-R, ADOS-2); clinical interpretation",1358.0,21.0,15.5,8.9 - 22.0,4.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,25 (language delay),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/29696527/,none
"Sun, et al.",Autism prevalence in Chi is comparable to Wsetern prevalence,2019,China,Jilin City; Jiamusi City; Shenzen city,6 to 10,2013,survey (mail); other (government administrative data),"clinical interpretation; DSM-IV-TR; DSM-5; autism test (ADI-R, ADOS)",7349.0,77.0,10.8,8.7 - 13.5,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),uatism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6394100/,sample size; number of cases
"Xu, et al.","The prevalence and treatment patterns of autism spectrum disorder in the United States, 2016",2019,UA,Nationwide,3 to17,2106,survey (online),parental report,43031.0,1229.0,27.9,24.6 - 31.2,4.3,1.1,0.8,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndromer),ASD (nokt specified),https://pubmed.ncbi.nlm.nih.gov/30508021/,none
"Imm, et al.",Assessment of racial and ethnic bias in autism spectrum disorder prevalence estimates from a US surveillance system,2019,USA,Colorado; Wisconsin,8,2012 & 2014,health records; education records,DSM-IV-TR; clinical interpretation,152259.0,1913.0,12.6,12.1 - 13.2,4.0,1.51,1.53,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"autistic disorder, PDD-NOS including atypical autism or Asperger syndrome",https://pubmed.ncbi.nlm.nih.gov/30892923/,none
"Zablotsky, et al.",Prevalence and Trends of Developmental Disabilities among Children in the United States: 2009-2017,2019,USA,Nationwide,3 to 17,2009-2017,survey (in-person),parental report,88530.0,1550.0,17.4,16.67 k- 18.39,2.3,1.1,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD)","https://pubmed.ncbi.nlm.nih.gov/31558576/#:~:text=Results%3A%20From%202009%20to%202011,%25%2D1.2%25%2C%20P%20%3C%20.",sex ratio; White:Hispanic and White:Black prevalence ratio
"Christenen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorder among children 4 years - Early autism and developmental disabilities monitoring network, seven sites, United Stated, 2010, 2012, and 2014",2019,USA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,4,2014,education recodrs; health records,DSM-IV-TR; clinical interpretation,70887.0,1208.0,17.0,16.1 - 18.0,4.1,1.2,1.3,12-106,5.3,32,46.0,58.0,19.0,0 (Down syndrme),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.cdc.gov/mmwr/volumes/68/ss/ss6802a1.htm?s_cid=ss6802a1_e,none
"Al-Mamri, et al.",Revisiting the prevalence of autism spectrum disorder among Omani children: A multicentre study,2019,Oman,Nationwide,0 to 14,2011-2015,heaxlth records,DSM-5; clinical interpretation,837655.0,1705.0,2.04,1.94 - 2.13,3.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31897313/,noe
"Alshaban, et al.",Prevalence and correlates of autism spectrum disorder in Qatar: A national study,2019,Qatar,Natiowide,6 to 11,2015-2018,"service provider records; education records; survey (mail, pnhone)","autism test (ADOS-2, ADI-R); clinical interpretation; DSM-5",142855.0,844.0,11.4,8.9 - 14.6,4.3,1.2,1.3,12-106,42.8,32,50.0,58.0,19.0,5.1 (prematurity); 30.2 (ADHD); 11 (anxiety); 82.1 (learning disability); 91.4 (language delay),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6899566/,sample size
"Chen, et al.",Prevalence of DSM-5 mental disorders in a nationally representative sample of children in Taiwan: Methodology and main findings,2019,Taiwan,Ntaionwide,7 to 14,205-2017,survey (in-person),DSM-5; autism test ( K-SADS-E in Mandarin); clinical interpretation,4816.0,52.0,10.0,6.0 - 15.0,4.0,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.nbi.nlm.nih.gov/30696515/,nne
"Hoang, et al.","Prevalence of autism spectrum disorders and their relation to selected socio-demographic factors among children aged 18-30 months in northern Vietnam, 2017",2019,Vietnam,Hanoi; Thai Binh province; Hoa Binh province,1.5 to 2.5,2017,survey (in-person),DSM-IV; clinical interpretation,17277.0,130.0,7.52,6.29 - 8.93,4.7,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6487529/,age range (months to years)
"Mohammadi, et al.",Prevalence of autism and its comorbidities and the relationship with maternal psychopathology: A national population-based study,2019,Iran,Nationwide,6 to 18,2010,survey (in-person),other (Kiddie Schedule for Affective Disorders and Schizophrenia for School-Age Present and Lifetime (K-SADS-PL-2009) diagnostic tool),29737.0,37.0,1.8,1.20 - 2.40,2.0,1.2,1.3,12-106,5.3,32,70.0,58.0,19.0,2.7 (depressive disorders); 27 (anxiety disorders); 21.6 (ADHD); 29.7 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31679355/,none
