OBJECTID,Potential_Treatment_Area_Name,FIAT_Planning_Area_Name,Treatment_Purpose_Need,Total_Acres_Potential_Treament_,Treatment_Type,Treatment_Within_Ongoing_Projec,Priority_for_Implementation,FIAT_Assessment_Area,Priority_Ranking,SHAPE_Length,SHAPE_Area
357,Orejana West Invasive Annual Grass Treatment,Orejana West,Invasives,124800.41,"Restoration; Fuels",Yes,High,Western Great Basin,1,126498.292468804,-505049322.652769
358,Beaty Butte Invasive Annual Grass Treatment,Beaty Butte,Invasives,401507.16,"Restoration; Fuels",No,Moderate,Western Great Basin,2,388426.205095799,-1624841853.8195
359,South Warner Invasive Annual Grass Treatment,South Warner,Invasives,37519.781,Restoration, ,Moderate,Western Great Basin,2,51215.9206212823,-151837165.131869
360,Gravelly Invasive Annual Grass Treatment,Gravelly,Invasives,32297.436,Restoration, ,Moderate,Western Great Basin,2,73258.1030680945,-130703081.617578
361,Clover Flat Invasive Annual Grass Treatment,Clover Flat,Invasives,31530.951,Restoration, ,High,Western Great Basin,1,52710.0204289745,-127601234.020941
362,South Warner Existing Conifer Treatments,South Warner,Encroachment,8561.415,"Restoration; Fuels",Yes,High,Western Great Basin,1,42789.6901601447,-34646594.4742557
363,South Warner Second Priority Fuel Break,South Warner,Sagebrush_Protection_Enhance,342.698,Fuels,Yes,Moderate,Western Great Basin,2,59187.0746253493,-1386807.34372207
364,Gravelly First Priority Fuel Break,Gravelly,Invasives_Encroachment,229.30031,Fuels, ,High,Western Great Basin,1,46886.8468913044,-927926.018318195
365,Beaty Butte Sagebrush Planting Treatment,Beaty Butte,Invasives_Encroachment,14931.659,"Restoration; Fuels", ,High,Western Great Basin,1,80394.191567404,-60426283.7022507
366,Gravelly Invasive Annual Grass Treatment,Gravelly,Sagebrush_Protection_Enhance,907.19067,Restoration, ,Moderate,Western Great Basin,2,9408.96547394579,-3671270.40625311
367,Hart Mountain Sagebrush Mowing Treatment,Hart Mountain,Sagebrush_Protection_Enhance,11227.749,Restoration,No,Moderate,Western Great Basin,2,29817.0027105492,-45437088.9070899
368,Hart Mountain Existing Conifer Treatments,Hart Mountain,Encroachment,2341.7603,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,34330.6219181253,-9476767.13055275
369,Hart Mountain New/Planned Conifer Treatment,Hart Mountain,Encroachment,20256.803,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,130995.476324883,-81976370.5380056
370,Sheldon Existing Conifer Treatments,Sheldon,Encroachment,2390.2095,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,47451.7077794795,-9672834.74590718
371,Sheldon New/Planned Conifer Treatment,Sheldon,Encroachment,1257.1509,"Restoration; Fuels",No,Moderate,Western Great Basin,2,16387.7529864318,-5087509.22262271
372,Hart Mountain Second Priority Fuel Breaks,Hart Mountain,Invasives_SagebrushPE,1345.4725,Fuels,No,Moderate,Western Great Basin,2,264854.49230334,-5444934.37351505
373,Hart Mountain First Priority Fuel Breaks,Hart Mountain,Invasives_SagebrushPE,430.74756,Fuels,No,High,Western Great Basin,1,84701.0098770718,-1743173.56871609
374,Sheldon First Priority Fuel Breaks,Sheldon,Invasives_SagebrushPE,1643.2734,Fuels,No,High,Western Great Basin,1,323523.318276999,-6650091.5598449
375,Sheldon Second Priority Fuel Breaks,Sheldon,Invasives_SagebrushPE,784.4259,Fuels,No,Moderate,Western Great Basin,2,150584.720004165,-3174458.98702498
376,Vya East Existing Conifer Treatments,Vya,Encroachment_SagebrushPE,1725.3264,"Restoration; Fuels",Yes,High,Western Great Basin,1,73012.3359123425,-6982148.27909733
377,Vya Calcutta Existing Conifer Treatments,Vya,Encroachment_SagebrushPE,863.21515,"Restoration; Fuels",Yes,High,Western Great Basin,1,18461.6111046559,-3493307.75902764
378,Massacre Board Corral Existing Conifer Treatments,Massacre,Encroachment_SagebrushPE,472.59103,"Restoration; Fuels",Yes,High,Western Great Basin,1,16339.0158229794,-1912508.11733006
379,Vya North Cowhead New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,1787.8467,"Restoration; Fuels",Yes,High,Western Great Basin,1,73212.0339811887,-7235158.9061662
380,Vya Crooks Lake New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,976.98615,"Restoration; Fuels",Yes,High,Western Great Basin,1,126790.533134945,-3953722.73190117
381,Vya Horse Lake New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,855.56317,"Restoration; Fuels",Yes,High,Western Great Basin,1,23974.2563000329,-3462341.33993149
382,Vya South Larkspur New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,1712.3458,"Restoration; Fuels",Yes,High,Western Great Basin,1,119639.314542487,-6929617.76533677
383,Bull Creek New/Planned Conifer Treatment,Bull Creek,Encroachment_SagebrushPE,3322.2007,"Restoration; Fuels",Yes,High,Western Great Basin,1,21002.7167459759,-13444469.0298414
384,Duck Flat Upper Tuledad New/Planned Conifer Treatment,Duck Flat,Encroachment_SagebrushPE,2312.8276,"Restoration; Fuels",No,High,Western Great Basin,1,22326.6952156493,-9359681.15944177
385,Vya Horse Creek New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,679.29071,"Restoration; Fuels",Yes,High,Western Great Basin,1,22701.7172974291,-2748992.05754076
386,Massacre Rim New/Planned Conifer Treatment,Massacre,Encroachment_SagebrushPE,302.09409,"Restoration; Fuels",Yes,High,Western Great Basin,1,12517.6709373606,-1222531.44803793
387,Vya Powerline Nevada Cowhead New/Planned Conifer Treatment,Vya,Encroachment_SagebrushPE,147.65977,"Restoration; Fuels",Yes,High,Western Great Basin,1,5876.08477058036,-597557.914833313
388,Bull Creek Home Camp Existing Conifer Treatments,Bull Creek,Encroachment_SagebrushPE,1367.5847,"Restoration; Fuels",Yes,High,Western Great Basin,1,18527.3356547761,-5534418.81278991
389,Duck Flat Bud Brown Existing Conifer Treatments,Duck Flat,Encroachment_SagebrushPE,408.17673,"Restoration; Fuels",Yes,High,Western Great Basin,1,11636.5637801434,-1651832.62722907
390,Duck Flat Express Canyon Existing Conifer Treatments,Duck Flat,Encroachment_SagebrushPE,450.32803,"Restoration; Fuels",Yes,High,Western Great Basin,1,8115.13475617476,-1822412.89009611
391,Duck Flat Starvation Canyon Existing Conifer Treatments,Duck Flat,Encroachment_SagebrushPE,120.42066,"Restoration; Fuels",Yes,High,Western Great Basin,1,4335.92766792509,-487325.121946066
392,Duck Flat Cottonwood Canyon Existing Conifer Treatments,Duck Flat,Encroachment_SagebrushPE,636.9245,"Restoration; Fuels",Yes,High,Western Great Basin,1,10820.2337270094,-2577541.95462243
393,Duck Flat Dodge Bitterbrush Existing Conifer Treatments,Duck Flat,Encroachment_SagebrushPE,544.46643,"Restoration; Fuels",Yes,High,Western Great Basin,1,6728.43097463689,-2203377.36097698
394,Vya Rock Creek New/Planned Conifer Treatment,Vya,Encroachment,656.37555,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,36581.8661416615,-2656257.53252018
395,Vya Big Bally Aspen New/Planned Conifer Treatment,Vya,Encroachment,135.89114,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,6539.48188234717,-549931.974663692
396,Bull Creek Table Lakes Existing Conifer Treatments,Bull Creek,Encroachment,2234.2368,"Restoration; Fuels",Yes,High,Western Great Basin,1,59125.5678630361,-9041636.08426577
397,Duck Flat New/Planned Conifer Treatment,Duck Flat,Encroachment,17075.965,"Restoration; Fuels",Yes,High,Western Great Basin,1,112966.657390382,-69103979.4912706
398,Bull Creek New/Planned Conifer Treatment,Bull Creek,Encroachment,14341.348,"Restoration; Fuels",Yes,High,Western Great Basin,1,73571.998544231,-58037374.765794
399,Massacre Low Sagebrush New/Planned Conifer Treatment,Massacre,Encroachment,3203.7937,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,41082.2689400731,-12965293.17657
400,Massacre Spring New/Planned Conifer Treatment,Massacre,Encroachment,33804.531,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,82821.340851107,-136802078.694348
401,Madeline Plains New/Planned Conifer Treatment,Madeline Plains,Encroachment,15004.305,"Restoration; Fuels",No,Moderate,Western Great Basin,2,130957.055972879,-60720266.0947026
402,Cold Springs New/Planned Conifer Treatment,Cold Springs,Encroachment,41253.465,"Restoration; Fuels",No,Moderate,Western Great Basin,2,210537.307296129,-166946856.983718
403,Cold Springs Existing Conifer Treatments,Cold Springs,Encroachment,8500.5059,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,83193.7187323137,-34400325.2469656
404,Horse Lake Outside of Leks New/Planned Conifer Treatment,Horse Lake,Encroachment,20396.424,"Restoration; Fuels",No,Moderate,Western Great Basin,2,181338.252671519,-82541402.4987395
405,Horse Lake Lek New/Planned Conifer Treatment,Horse Lake,Encroachment,19791.559,"Restoration; Fuels",No,High,Western Great Basin,1,64110.0731040715,-80093601.6576167
406,Horse Lake Existing Conifer Treatments,Horse Lake,Encroachment,4530.6299,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,63412.5626092546,-18334806.7049702
407,Horse Lake New/Planned Conifer Treatment,Horse Lake,Encroachment,992.03088,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,18234.4416365415,-4014606.49713958
408,Duck Flat New/Planned Conifer Treatment,Duck Flat,Encroachment,53827.387,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,143452.41425747,-217831704.859998
409,Shinn New/Planned Conifer Treatment,Shinn,Encroachment,36777.113,"Restoration; Fuels",No,Moderate,Western Great Basin,2,94438.8360692088,-148831690.964713
410,Madeline Plains Existing Conifer Treatments,Madeline Plains,Encroachment,1552.9703,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,23083.6883901399,-6284647.97836234
411,Vya Mosquito Valley Existing Conifer Treatments,Vya,Encroachment,81.140533,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,7495.32164088441,-328364.083490099
412,Madeline Plains Connectivity Second Priority New/Planned Conifer Treatment,Madeline Plains Connectivity,Encroachment,15453.048,"Restoration; Fuels",No,Moderate,Western Great Basin,2,36832.7790410402,-62536264.2922866
413,Shinn Rush Fire Sagebrush Planting Treatment,Shinn,Sagebrush_Protection_Enhance,26377.83,Restoration,Yes,Low,Western Great Basin,3,378704.660931823,-106747290.448374
414,Shinn Conservation Easment Sagebrush Planting Treatment,Shinn,Invasives_SagebrushPE,10320.389,Restoration,Yes,Moderate,Western Great Basin,2,25915.1572691908,-41765132.216462
415,Shinn Skedaddle Ranch Road Sagebrush Planting Treatment,Shinn,Invasives_SagebrushPE,5159.5649,Restoration,No,Moderate,Western Great Basin,2,43329.7406831307,-20880017.5580242
416,Shinn Smoke Creek Road Green Stripping and Sagebrush Planting Treatment,Shinn,Invasives_SagebrushPE,17672.861,"Restoration; Fuels",No,Moderate,Western Great Basin,2,52864.7128294268,-71519531.4171501
417,Wall Canyon Lost Fire  Active ESR Treatments,Wall Canyon,Sagebrush_Protection_Enhance,1539.364,Restoration,Yes,Moderate,Western Great Basin,2,39411.5211370793,-6229585.35169353
418,High Rock Lost Fire  Active ESR Treatments,High Rock,Sagebrush_Protection_Enhance,381.30774,Restoration,Yes,Moderate,Western Great Basin,2,6428.979429074,-1543097.69281825
419,Wall Canyon Invasive Annual Grass Treatment,Wall Canyon,Invasives_SagebrushPE,54993.371,Fuels, ,High,Western Great Basin,1,96176.2413504896,-222550269.957877
420,Bull Creek Invasive Annual Grass Treatment,Bull Creek,Invasives_SagebrushPE,32235.287,"Restoration; Fuels", ,High,Western Great Basin,1,50153.1241362363,-130451576.526682
421,Madeline Plains Connectivity First Priority New/Planned Conifer Treatment,Madeline Plains Connectivity,Encroachment,26927.236,"Restoration; Fuels", ,High,Western Great Basin,1,76259.018468394,-108970660.785854
422,Shinn Invasive Annual Grass Treatment,Shinn,Invasives_SagebrushPE,54119.664,Restoration, ,High,Western Great Basin,1,59796.3160562128,-219014504.409614
423,Horse Lake Invasive Annual Grass Treatment,Horse Lake,Invasives_SagebrushPE,26430.363,Restoration,No,Moderate,Western Great Basin,2,49496.3698582585,-106959885.612388
424,Madeline Plains New/Planned Conifer Treatment,Madeline Plains,Encroachment,2647.7034,Fuels, ,High,Western Great Basin,1,20081.9839391287,-10714875.8020661
425,Cold Springs Dry Creek and Dry Cow  Active ESR Treatments,Cold Springs,Sagebrush_Protection_Enhance,5484.564,Restoration, ,High,Western Great Basin,1,35364.7952054805,-22195242.0906632
426,Shaffer Mountain Connectivity Invasive Annual Grass Treatment,Shaffer Mountain Connectivity,Invasives_SagebrushPE,15577.903,"Restoration; Fuels", ,Moderate,Western Great Basin,2,44862.5892477863,-63041538.9904897
427,Massacre Spring New/Planned Conifer Treatment,Massacre,Encroachment,2816.5122,"Restoration; Fuels",Yes,Low,Western Great Basin,3,33961.2813001248,-11398020.9562889
428,Vya New/Planned Conifer Treatment,Vya,Encroachment,14665.375,Fuels,Yes,High,Western Great Basin,1,49049.343776957,-59348666.9331472
429,Bull Creek First Priority Fuel Break/Greenstripping,Bull Creek, ,183.632,Fuels, ,High,Western Great Basin,1,11632.5673743121,-743132.357456507
430,Madeline Plains Second Priority Fuel Break/Greenstripping,Madeline Plains, ,342.67017,Fuels, ,Moderate,Western Great Basin,2,21498.8493371131,-1386736.97775015
431,Madeline Plains Third Priority Fuel Break/Greenstripping,Madeline Plains, ,443.89883,Fuels, ,Low,Western Great Basin,3,27813.084250712,-1796394.79927569
432,Cold Springs Second Priority Fuel Break/Greenstripping,Cold Springs, ,830.44739,Fuels, ,Moderate,Western Great Basin,2,51985.8804736386,-3360701.29780551
433,Cold Springs First Priority Fuel Break/Greenstripping,Cold Springs, ,378.35754,Fuels, ,High,Western Great Basin,1,23674.0979678835,-1531158.67012318
434,Shaffer Mountain Connectivity First Priority Fuel Break/Greenstripping,Shaffer Mountain Connectivity, ,480.60297,Fuels, ,High,Western Great Basin,1,30095.8998053122,-1944828.61224838
435,Vya First Priority Fuel Break/Greenstripping,Vya, ,2730.2734,Fuels, ,High,Western Great Basin,1,170531.830448295,-11048535.7877958
436,Vya Second Priority Fuel Break/Greenstripping,Vya, ,3026.2915,Fuels, ,Moderate,Western Great Basin,2,186859.694048207,-12246678.8189854
437,Massacre First Priority Fuel Break/Greenstripping,Massacre, ,1308.7915,Fuels, ,High,Western Great Basin,1,81875.6761499837,-5296022.92423989
438,High Rock First Priority Fuel Break/Greenstripping,High Rock, ,1489.0154,Fuels, ,High,Western Great Basin,1,92809.1499299037,-6025684.31459411
439,High Rock Second Priority Fuel Break/Greenstripping,High Rock, ,5342.6113,Fuels, ,Moderate,Western Great Basin,2,331731.992908229,-21619470.663386
440,Wall Canyon Second Priority Fuel Break/Greenstripping,Wall Canyon, ,1522.2169,Fuels, ,Moderate,Western Great Basin,2,94437.4666394781,-6159817.145336
441,Wall Canyon First Priority Fuel Break/Greenstripping,Wall Canyon, ,3215.198,Fuels, ,High,Western Great Basin,1,199395.503700082,-13010761.6506866
442,Bull Creek Second Priority Fuel Break/Greenstripping,Bull Creek, ,1015.4869,Fuels, ,Moderate,Western Great Basin,2,63550.5081656551,-4109369.30015795
443,Duck Flat Second Priority Fuel Break/Greenstripping,Duck Flat, ,2218.6467,Fuels, ,Moderate,Western Great Basin,2,137536.870676751,-8978079.69693075
444,Duck Flat First Priority Fuel Break/Greenstripping,Duck Flat, ,799.34198,Fuels, ,High,Western Great Basin,1,49877.3093087696,-3234508.59241653
445,Madeline Plains Connectivity First Priority Fuel Break/Greenstripping,Madeline Plains Connectivity, ,395.10092,Fuels, ,High,Western Great Basin,1,24742.0006322841,-1598813.35423922
446,Madeline Plains Connectivity Second Priority Fuel Break/Greenstripping,Madeline Plains Connectivity, ,906.94092,Fuels, ,Moderate,Western Great Basin,2,56611.5990097203,-3670194.35866658
447,Shinn First Priority Fuel Break/Greenstripping,Shinn, ,3252.9033,Fuels, ,High,Western Great Basin,1,202304.156670927,-13163628.8308694
448,Shinn Second Priority Fuel Break/Greenstripping,Shinn, ,3414.28,Fuels, ,Moderate,Western Great Basin,2,212415.807360576,-13816565.3602765
449,Horse Lake First Priority Fuel Break/Greenstripping,Horse Lake, ,1089.7723,Fuels, ,High,Western Great Basin,1,67785.2940395091,-4409870.85718414
450,Horse Lake Second Priority Fuel Break/Greenstripping,Horse Lake, ,1702.7378,Fuels, ,Moderate,Western Great Basin,2,106241.21526191,-6890362.60854589
451,Massacre Second Priority Fuel Break/Greenstripping,Massacre, ,2301.311,Fuels, ,Moderate,Western Great Basin,2,143285.012195241,-9312995.14725849
452,Madeline Plains Connectivity Third Priority Fuel Break/Greenstripping,Madeline Plains Connectivity, ,856.38074,Fuels, ,Low,Western Great Basin,3,53520.5412067529,-3465614.46442314
453,Shaffer Mountain Connectivity Second Priority Fuel Break/Greenstripping,Shaffer Mountain Connectivity, ,381.27524,Fuels, ,Moderate,Western Great Basin,2,23941.5299668195,-1542938.31206249
454,Shinn Third Priority Fuel Break/Greenstripping,Shinn, ,717.08618,Fuels, ,Low,Western Great Basin,3,44848.9728387048,-2901917.13209529
455,Frenchglen First Priority New/Planned Conifer Treatment,Frenchglen,Encroachment,103668.57,"Restoration; Fuels",Yes,High,Western Great Basin,1,242656.230235204,-419531816.309195
456,Roaring Springs Invasive Annual Grass Treatment,Roaring Springs,Invasives,13891.923,Restoration,No,High,Western Great Basin,1,45326.3932660475,-56218615.8958887
457,Frenchglen Fuel Break/Green Stripping,Frenchglen,Sagebrush_Protection_Enhance,3072.7988,Fuels,No,High,Western Great Basin,1,407222.844658331,-12435174.2003198
458,Orejana East Fuel Break/Green Stripping,Orejana East,Sagebrush_Protection_Enhance,3378.834,Fuels,No,High,Western Great Basin,1,448224.330441694,-13673655.8781625
459,Pueblo Fuel Break/Green Stripping,Pueblo,Sagebrush_Protection_Enhance,2672.1018,Fuels,No,High,Western Great Basin,1,353866.312711136,-10813612.0130598
460,Trout Creek West Fuel Break/Green Stripping,Trout Creek West,Sagebrush_Protection_Enhance,1908.835,Fuels,No,High,Western Great Basin,1,251984.621078497,-7724780.52616592
461,Frenchglen Existing Conifer Treatments,Frenchglen,Encroachment,13079.157,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,94133.0760234838,-52929467.2561033
462,Frenchglen Second Priority New/Planned Conifer Treatment,Frenchglen,Encroachment,10087.312,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,43914.1947466253,-40821903.4743656
463,Orejana East Miller  Active ESR Treatments,Orejana East,Sagebrush_Protection_Enhance,8494.1162,Restoration,No,High,Western Great Basin,1,188834.760596854,-34374467.0780012
464,Pueblo/Roaring Springs  Active ESR Treatments,Roaring Springs,Sagebrush_Protection_Enhance,8527.3867,Restoration,No,High,Western Great Basin,1,95376.4345247306,-34509110.9147266
465,Trout Creek West  Active ESR Treatments,Trout Creek West,Sagebrush_Protection_Enhance,35899.84,Restoration,Yes,Moderate,Western Great Basin,2,212584.237005457,-145281501.704074
466,Orejana East Miller Homestead Sagebrush Planting Treatment,Orejana East,Invasives_SagebrushPE,150221.02,Restoration,Yes,High,Western Great Basin,1,154078.785332631,-607922892.097808
467,Pueblo Fire Sagebrush Planting Treatment,Pueblo, ,22412.137, , ,Moderate,Western Great Basin,2,46960.3078875657,-90698697.7030837
468,Trout Creek West Fuel Break/Green Stripping,Trout Creek West,Sagebrush_Protection_Enhance,1106.5103,Fuels,No,Moderate,Western Great Basin,2,146444.404273538,-4477887.87440839
469,Roaring Springs Fuel Break/Green Stripping,Roaring Springs,Sagebrush_Protection_Enhance,1119.7465,Fuels,No,High,Western Great Basin,1,148006.985961624,-4531452.68521759
470,Pueblo Fuel Break/Green Stripping,Pueblo,Sagebrush_Protection_Enhance,1087.4347,Fuels,No,Moderate,Western Great Basin,2,143803.920246817,-4400691.63008326
471,Frenchglen Fuel Break/Green Stripping,Frenchglen,Sagebrush_Protection_Enhance,961.74017,Fuels,No,Moderate,Western Great Basin,2,128457.074060606,-3892024.12377297
472,Orejana East Fuel Break/Green Stripping,Orejana East,Sagebrush_Protection_Enhance,2010.8231,Fuels,No,Low,Western Great Basin,3,268841.863398917,-8137512.27842783
473,Orejana East Fuel Break/Green Stripping,Orejana East,Sagebrush_Protection_Enhance,1265.8365,Fuels,No,Moderate,Western Great Basin,2,168813.842974205,-5122658.78319196
474,Frenchglen Second Priority Outside PPA New/Planned Conifer Treatment,Frenchglen,Encroachment,85789.055,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,102782.382803391,-347175990.152762
475,Trout Creek East Holloway  Active ESR Treatments,Trout Creek East,Sagebrush_Protection_Enhance,53511.543,Restoration,Yes,High,Western Great Basin,1,422045.886120452,-216553530.486315
476,Trout Creek East Long Draw  Active ESR Treatments,Trout Creek East,Sagebrush_Protection_Enhance,17548.754,Restoration,Yes,Moderate,Western Great Basin,2,133318.383860957,-71017284.0607226
477,Trout Creek East Second Priority Fuel Break/Green Stripping,Trout Creek East,Sagebrush_Protection_Enhance,2033.542,Fuels,No,Moderate,Western Great Basin,2,432069.362241763,-8229306.85530362
478,Trout Creek East First Priority Fuel Break/Green Stripping,Trout Creek East,Sagebrush_Protection_Enhance,703.4765,Fuels,No,High,Western Great Basin,1,149561.98402377,-2846828.0972587
479,Virginia Ranges New/Planned Conifer Treatment,Virginia Ranges,Invasives_Encroachment_Sagebrush,3515.7405,"Restoration; Fuels",Yes,High,Western Great Basin,1,39918.7310335439,-14227697.1921851
480,Virginia Ranges Winnemucca Ranch New/Planned Conifer Treatment,Virginia Ranges,Encroachment_SagebrushPE,4827.6782,"Restoration; Fuels",Yes,High,Western Great Basin,1,31791.777433678,-19536921.4122022
481,Virginia Ranges First Priority Fuel Breaks,Virginia Ranges, ,3746.7222, , ,High,Western Great Basin,1,78881.318259122,-15162446.8561582
482,Massacre Sagebrush Planting Treatment,Massacre,Sagebrush_Protection_Enhance,3847.1438, ,Yes,High,Western Great Basin,1,42169.4910445687,-15568838.1259751
483,High Rock Sagebrush Planting Treatment,High Rock,Sagebrush_Protection_Enhance,3217.7739, ,Yes,High,Western Great Basin,1,20423.6185141258,-13021870.7447696
484,Wall Canyon Sagebrush Planting Treatment,Wall Canyon,Sagebrush_Protection_Enhance,3699.2446,Restoration,Yes,High,Western Great Basin,1,17642.1975861366,-14970314.4918886
485,Vya Sagebrush Planting Treatment,Vya, ,3536.2241, ,Yes,High,Western Great Basin,1,47691.4684780994,-14310591.6485623
486,Black Rock East Sagebrush Planting Treatment,Black Rock,Sagebrush_Protection_Enhance,56360.824,Restoration,No,High,Western Great Basin,1,76065.4863765482,-228084165.789455
487,Black Rock West Sagebrush Planting Treatment,Black Rock ,Sagebrush_Protection_Enhance,15446.004,Restoration,No,High,Western Great Basin,1,31855.3981913873,-62507758.942973
488,Orejana East Invasive Annual Grass Treatment,Orejana East,Invasives_SagebrushPE,150221.02,Restoration,Yes,High,Western Great Basin,1,154078.785332631,-607922892.097808
489,Beulah Conifer 1st Priority,Beulah,Encroachment,363920.09, , ,High,Northern Great Basin,1,328945.558052945,-1472732177.9069
490,Beulah Conifer 1st Priority,Beulah,Encroachment,4430.8691, , ,High,Northern Great Basin,1,34761.1946639557,-17931088.9703493
491,Beulah Conifer 2nd Priority,Beulah,Encroachment,45476.949, , ,Moderate,Northern Great Basin,2,269893.680959596,-184038658.659432
492,Beulah Restoration 1st Priority,Beulah,Sagebrush_Protection_Enhance,3941.3215, , ,High,Northern Great Basin,1,43530.5357757468,-15949959.6859521
493,Beulah Restoration 2nd Priority,Beulah,Sagebrush_Protection_Enhance,980.39679, , ,Moderate,Northern Great Basin,2,30507.3642520229,-3967524.46271533
494,Beulah Restoration 3rd Priority,Beulah,Sagebrush_Protection_Enhance,9237.2568, , ,Low,Northern Great Basin,3,71480.5788953721,-37381844.977656
495,Curlew Confer 1st Priority,Curlew,Encroachment,113433.5, , ,High,Northern Great Basin,1,239100.974638321,-459048981.450714
496,Curlew Confer 2nd Priority,Curlew,Encroachment,22230.096, , ,Moderate,Northern Great Basin,2,48037.672489783,-89961984.9850104
497,Curlew Fuels 3rd Priority,Curlew,Sagebrush_Protection_Enhance,22760.51, , ,Low,Northern Great Basin,3,154127.21491865,-92108494.4586226
498,Curlew Fuels 3rd Priority,Curlew,Sagebrush_Protection_Enhance,3958.3042, , ,Low,Northern Great Basin,3,41923.6998557503,-16018685.676119
499,Curlew Restoration 2nd Priority,Curlew,Sagebrush_Protection_Enhance,2059.1982, , ,Moderate,Northern Great Basin,2,12835.7620181268,-8333277.27094598
500,Curlew Restoration 3rd Priority,Curlew,Sagebrush_Protection_Enhance,8055.2627, , ,Low,Northern Great Basin,3,31726.4289797998,-32598483.8821385
501,Greater Owyhee Annuals 1st Priority,Greater Owyhee,Invasives,146290.66, , ,High,Northern Great Basin,1,135678.861195866,-592017194.293745
502,Greater Owyhee Annuals 1st Priority,Greater Owyhee,Invasives,18727.516, , ,High,Northern Great Basin,1,32358.513626452,-75787553.3327335
503,Greater Owyhee Fuel Breaks 1st Priority,Greater Owyhee,Sagebrush_Protection_Enhance,3440.2944, , ,High,Northern Great Basin,1,309072.247062077,-13922374.6396756
504,Greater Owyhee Fuels 3rd Priority,Greater Owyhee,Sagebrush_Protection_Enhance,63710.746, , ,Low,Northern Great Basin,3,136777.64882533,-257828193.781517
505,Greater Owyhee Restoration 2nd Priority,Greater Owyhee,Sagebrush_Protection_Enhance,24606, , ,Moderate,Northern Great Basin,2,40822.3295226415,-99576933.1323701
506,Jim Sage Annual 1st Priority,Jim Sage,Invasives,33771.059, , ,High,Northern Great Basin,1,171079.237719943,-136666595.971892
507,Jim Sage Conifer 1st Priority,Jim Sage,Encroachment,24430.148, , ,High,Northern Great Basin,1,442920.389334612,-98865281.6979317
508,Jim Sage Fuel Breaks 1st Priority,Jim Sage,Sagebrush_Protection_Enhance,18774.469, , ,High,Northern Great Basin,1,203935.988643048,-75977562.3859217
509,Jim Sage Fuel Breaks 2nd Priority,Jim Sage,Sagebrush_Protection_Enhance,29144.385, , ,Moderate,Northern Great Basin,2,327655.936823872,-117943117.621917
510,Mainstem Malheur Conifer 1st Priority,Mainstem Malheur,Encroachment,175480.09, , ,High,Northern Great Basin,1,176720.437614974,-710142645.939302
511,Mainstem Malheur Conifer 2nd Priority,Mainstem Malheur,Encroachment,78696.289, , ,Moderate,Northern Great Basin,2,195449.29316463,-318472520.750579
512,Mainstem Malheur restoration 1st Priority,Mainstem Malheur,Sagebrush_Protection_Enhance,37690.531, , ,High,Northern Great Basin,1,144705.394570651,-152528146.885169
513,Mainstem Malheur restoration 2nd Priority,Mainstem Malheur,Sagebrush_Protection_Enhance,17037.434, , ,Moderate,Northern Great Basin,2,45630.4173732638,-68948036.8739634
514,North Fork Adobe Sagebrush Augmentation 1st,North Fork,Sagebrush_Protection_Enhance,3522.998, , ,High,Northern Great Basin,1,27107.4863105725,-14257064.4544965
515,North Fork Coal Mine Canyon Restoration 1st,North Fork,Sagebrush_Protection_Enhance,18393.139, , ,High,Northern Great Basin,1,34793.7854206396,-74434377.0533866
516,North Fork Dinner Station Restoration 1st,North Fork,Sagebrush_Protection_Enhance,22243.543, , ,High,Northern Great Basin,1,40346.1588754161,-90016407.1083037
517,North Fork Indian Creek Sagebrush Augmentation 2nd,North Fork,Sagebrush_Protection_Enhance,48742.238, , ,Moderate,Northern Great Basin,2,66622.5502929938,-197252800.102718
518,North Fork Red House Sagebrush Augmentation 2nd,North Fork,Sagebrush_Protection_Enhance,6626.0273, , ,Moderate,Northern Great Basin,2,22541.4437466872,-26814576.8824596
519,North Fork Restore Moderate 3rd ,North Fork,Sagebrush_Protection_Enhance,52768.551, , ,Low,Northern Great Basin,3,91362.636075653,-213546704.118833
520,North Fork Saval Sage Restoration 1st,North Fork,Sagebrush_Protection_Enhance,120621.66, , ,High,Northern Great Basin,1,85600.7835918382,-488138451.57093
