fullstreetname,streetname,streettype,postdirection
HOTALING PL,HOTALING,PL,NORTH
HOUSTON ST,HOUSTON,ST,NORTH
HOWARD CT,HOWARD,CT,NORTH
HOWARD RD,HOWARD,RD,NORTH
HOWARD ST,HOWARD,ST,NORTH
HOWTH ST,HOWTH,ST,NORTH
HUBBELL ST,HUBBELL,ST,NORTH
HUDSON AVE,HUDSON,AVE,NORTH
HUGO ST,HUGO,ST,NORTH
HULBERT ALY,HULBERT,ALY,NORTH
HUMBOLDT ST,HUMBOLDT,ST,NORTH
HUNT ST,HUNT,ST,NORTH
HUNTER RD,HUNTER,RD,NORTH
HUNTER ST,HUNTER,ST,NORTH
HUNTERS POINT BLVD,HUNTERS POINT,BLVD,NORTH
HUNTERS POINT EXPY,HUNTERS POINT,EXPY,NORTH
HUNTINGTON DR,HUNTINGTON,DR,NORTH
HURON AVE,HURON,AVE,NORTH
HUSSEY ST,HUSSEY,ST,NORTH
HUTCHINS CT,HUTCHINS,CT,NORTH
HWY 1 NORTHBOUND,HWY 1 NORTHBOUND,ST,NORTH
HWY 1 SOUTHBOUND,HWY 1 SOUTHBOUND,ST,NORTH
HWY 1 TO HWY 101 NORTHBOUND RAMP,HWY 1 TO HWY 101 NORTHBOUND,RAMP,NORTH
HWY 1 TO HWY 101 SOUTHBOUND RAMP,HWY 1 TO HWY 101 SOUTHBOUND,RAMP,NORTH
HWY 101 N OFF RAMP,HWY 101 N OFF,RAMP,NORTH
HWY 101 N ON RAMP,HWY 101 N ON,RAMP,NORTH
HWY 101 NORTHBOUND,HWY 101 NORTHBOUND,ST,NORTH
HWY 101 NORTHBOUND RAMP,HWY 101 NORTHBOUND,RAMP,NORTH
HWY 101 S OFF RAMP,HWY 101 S OFF,RAMP,NORTH
HWY 101 S ON RAMP,HWY 101 S ON,RAMP,NORTH
HWY 101 SOUTHBOUND,HWY 101 SOUTHBOUND,ST,NORTH
HWY 101 SOUTHBOUND RAMP,HWY 101 SOUTHBOUND,RAMP,NORTH
HWY 101 TO HWY 1 RAMP,HWY 101 TO HWY 1,RAMP,NORTH
HWY 101 TO I-280 RAMP,HWY 101 TO I-280,RAMP,NORTH
HWY 101 TO I-80 RAMP,HWY 101 TO I-80,RAMP,NORTH
HYDE ST,HYDE,ST,NORTH
I ST,I,ST,NORTH
I-280 N OFF RAMP,I-280 N OFF,RAMP,NORTH
I-280 N ON RAMP,I-280 N ON,RAMP,NORTH
I-280 NORTHBOUND,I-280 NORTHBOUND,ST,NORTH
I-280 S OFF RAMP,I-280 S OFF,RAMP,NORTH
I-280 S ON RAMP,I-280 S ON,RAMP,NORTH
I-280 SOUTHBOUND,I-280 SOUTHBOUND,ST,NORTH
JUANITA WAY,JUANITA,WAY,NORTH
I-280 TO HWY 101 RAMP,I-280 TO HWY 101,RAMP,NORTH
I-80 E OFF RAMP,I-80 E OFF,RAMP,NORTH
I-80 E ON RAMP,I-80 E ON,RAMP,NORTH
I-80 EASTBOUND,I-80 EASTBOUND,ST,NORTH
I-80 TO HWY 101 RAMP,I-80 TO HWY 101,RAMP,NORTH
I-80 W OFF RAMP,I-80 W OFF,RAMP,NORTH
I-80 W ON RAMP,I-80 W ON,RAMP,NORTH
I-80 WESTBOUND,I-80 WESTBOUND,ST,NORTH
ICEHOUSE ALY,ICEHOUSE,ALY,NORTH
IDORA AVE,IDORA,AVE,NORTH
IGNACIO AVE,IGNACIO,AVE,NORTH
ILLINOIS ST,ILLINOIS,ST,NORTH
ILS LN,ILS,LN,NORTH
IMPERIAL ALY,IMPERIAL,ALY,NORTH
INA CT,INA,CT,NORTH
INCA LN,INCA,LN,NORTH
INCINERATOR RD,INCINERATOR,RD,NORTH
INDIA ST,INDIA,ST,NORTH
INDIANA ST,INDIANA,ST,NORTH
INDUSTRIAL ST,INDUSTRIAL,ST,NORTH
INDUSTRIAL ST OFF RAMP,INDUSTRIAL ST OFF,RAMP,NORTH
INDUSTRIAL ST ON RAMP,INDUSTRIAL ST ON,RAMP,NORTH
INFANTRY TER,INFANTRY,TER,NORTH
INGALLS ST,INGALLS,ST,NORTH
INGERSON AVE,INGERSON,AVE,NORTH
INGLESIDE PATH,INGLESIDE,PATH,NORTH
INNES AVE,INNES,AVE,NORTH
PHILLIPS LN,PHILLIPS,LN,NORTH
INVERNESS DR,INVERNESS,DR,NORTH
IOWA ST,IOWA,ST,NORTH
IRIS AVE,IRIS,AVE,NORTH
IRON ALY,IRON,ALY,NORTH
BRUTON ST,BRUTON,ST,NORTH
IRVING ST,IRVING,ST,NORTH
IRWIN ST,IRWIN,ST,NORTH
ISADORA DUNCAN LN,ISADORA DUNCAN,LN,NORTH
ISIS ST,ISIS,ST,NORTH
ISLAIS ST,ISLAIS,ST,NORTH
ISOLA WAY,ISOLA,WAY,NORTH
ISSLEIB AVE,ISSLEIB,AVE,NORTH
ITALY AVE,ITALY,AVE,NORTH
IVY ST,IVY,ST,NORTH
J ST,J,ST,NORTH
JACK BALESTRERI WAY,JACK BALESTRERI,WAY,NORTH
JACK KEROUAC ALY,JACK KEROUAC,ALY,NORTH
JACK LONDON ALY,JACK LONDON,ALY,NORTH
JACK MICHELINE ALY,JACK MICHELINE,ALY,NORTH
JACKSON ST,JACKSON,ST,NORTH
JADE PL,JADE,PL,NORTH
JAKEY CT,JAKEY,CT,NORTH
JAMES PL,JAMES,PL,NORTH
JAMESTOWN AVE,JAMESTOWN,AVE,NORTH
JANSEN ST,JANSEN,ST,NORTH
JARBOE AVE,JARBOE,AVE,NORTH
JASON CT,JASON,CT,NORTH
JASPER PL,JASPER,PL,NORTH
JAUSS ST,JAUSS,ST,NORTH
JAVA ST,JAVA,ST,NORTH
JEAN WAY,JEAN,WAY,NORTH
JEFFERSON ST,JEFFERSON,ST,NORTH
JENNIFER PL,JENNIFER,PL,NORTH
JENNINGS CT,JENNINGS,CT,NORTH
JENNINGS ST,JENNINGS,ST,NORTH
JEROME ALY,JEROME,ALY,NORTH
JERROLD AVE,JERROLD,AVE,NORTH
JERSEY ST,JERSEY,ST,NORTH
JESSIE ST,JESSIE,ST,NORTH
JESSIE EAST ST,JESSIE EAST,ST,NORTH
JESSIE WEST ST,JESSIE WEST,ST,NORTH
JEWETT ST,JEWETT,ST,NORTH
JOHN ST,JOHN,ST,NORTH
JOHN F KENNEDY DR,JOHN F KENNEDY,DR,NORTH
JOHN F SHELLEY DR,JOHN F SHELLEY,DR,NORTH
JOHN MAHER ST,JOHN MAHER,ST,NORTH
JOHN MUIR DR,JOHN MUIR,DR,NORTH
JOHNSTONE DR,JOHNSTONE,DR,NORTH
JOICE ST,JOICE,ST,NORTH
JONES ST,JONES,ST,NORTH
JOOST AVE,JOOST,AVE,NORTH
JORDAN AVE,JORDAN,AVE,NORTH
JOSE SARRIA CT,JOSE SARRIA,CT,NORTH
JOSEPHA AVE,JOSEPHA,AVE,NORTH
JOSIAH AVE,JOSIAH,AVE,NORTH
JOY ST,JOY,ST,NORTH
JUAN BAUTISTA CIR,JUAN BAUTISTA,CIR,NORTH
JUDAH ST,JUDAH,ST,NORTH
JUDSON AVE,JUDSON,AVE,NORTH
JULES AVE,JULES,AVE,NORTH
JULIA ST,JULIA,ST,NORTH
JULIAN AVE,JULIAN,AVE,NORTH
JULIUS ST,JULIUS,ST,NORTH
JUNIOR TER,JUNIOR,TER,NORTH
JUNIPER ST,JUNIPER,ST,NORTH
JUNIPERO SERRA BLVD,JUNIPERO SERRA,BLVD,NORTH
JUNIPERO SERRA BLVD OFF RAMP,JUNIPERO SERRA BLVD OFF,RAMP,NORTH
JUNIPERO SERRA BLVD ON RAMP,JUNIPERO SERRA BLVD ON,RAMP,NORTH
JURI ST,JURI,ST,NORTH
JUSTIN DR,JUSTIN,DR,NORTH
KALMANOVITZ ST,KALMANOVITZ,ST,NORTH
KAMILLE CT,KAMILLE,CT,NORTH
KANSAS ST,KANSAS,ST,NORTH
KAPLAN LN,KAPLAN,LN,NORTH
KAREN CT,KAREN,CT,NORTH
KATE ST,KATE,ST,NORTH
KEARNY LN,KEARNY,LN,NORTH
KEARNY ST,KEARNY,ST,NORTH
KEITH ST,KEITH,ST,NORTH
KELLOCH AVE,KELLOCH,AVE,NORTH
KEMPTON AVE,KEMPTON,AVE,NORTH
KENDALL DR,KENDALL,DR,NORTH
MRS. JACKSON WAY,MRS. JACKSON,WAY,NORTH
KENNETH REXROTH PL,KENNETH REXROTH,PL,NORTH
KENNY ALY,KENNY,ALY,NORTH
KENSINGTON WAY,KENSINGTON,WAY,NORTH
KENT ST,KENT,ST,NORTH
KENWOOD WAY,KENWOOD,WAY,NORTH
KEPPLER CT,KEPPLER,CT,NORTH
KERN ST,KERN,ST,NORTH
KEY AVE,KEY,AVE,NORTH
KEYES ALY,KEYES,ALY,NORTH
KEYES AVE,KEYES,AVE,NORTH
KEYSTONE WAY,KEYSTONE,WAY,NORTH
KEZAR DR,KEZAR,DR,NORTH
KIMBALL PL,KIMBALL,PL,NORTH
KING ST,KING,ST,NORTH
KINGSTON ST,KINGSTON,ST,NORTH
KINZEY ST,KINZEY,ST,NORTH
KIRKHAM ST,KIRKHAM,ST,NORTH
KIRKWOOD AVE,KIRKWOOD,AVE,NORTH
KISKA RD,KISKA,RD,NORTH
KISSLING ST,KISSLING,ST,NORTH
KITTREDGE TER,KITTREDGE,TER,NORTH
KNOCKASH HL,KNOCKASH,HL,NORTH
KNOLLVIEW WAY,KNOLLVIEW,WAY,NORTH
KNOTT CT,KNOTT,CT,NORTH
KOBBE AVE,KOBBE,AVE,NORTH
KOHLER PL,KOHLER,PL,NORTH
KORET WAY,KORET,WAY,NORTH
KRAMER PL,KRAMER,PL,NORTH
KRAUSGRILL PL,KRAUSGRILL,PL,NORTH
KRONQUIST CT,KRONQUIST,CT,NORTH
LA AVANZADA,LA AVANZADA,ST,NORTH
LA BICA WAY,LA BICA,WAY,NORTH
LA FERRERA TER,LA FERRERA,TER,NORTH
LA GRANDE AVE,LA GRANDE,AVE,NORTH
LA PLAYA,LA PLAYA,ST,NORTH
LA SALLE AVE,LA SALLE,AVE,NORTH
LAFAYETTE ST,LAFAYETTE,ST,NORTH
LAGUNA ST,LAGUNA,ST,NORTH
LAGUNA HONDA BLVD,LAGUNA HONDA,BLVD,NORTH
LAGUNITAS DR,LAGUNITAS,DR,NORTH
LAIDLEY ST,LAIDLEY,ST,NORTH
LAKE ST,LAKE,ST,NORTH
LAKE FOREST CT,LAKE FOREST,CT,NORTH
LAKE MERCED BLVD,LAKE MERCED,BLVD,NORTH
LAKE MERCED HILL,LAKE MERCED HILL,ST,NORTH
LAKESHORE DR,LAKESHORE,DR,NORTH
LAKESHORE PLZ,LAKESHORE,PLZ,NORTH
LAKEVIEW AVE,LAKEVIEW,AVE,NORTH
LAKEWOOD AVE,LAKEWOOD,AVE,NORTH
LAMARTINE ST,LAMARTINE,ST,NORTH
LAMSON LN,LAMSON,LN,NORTH
LANCASTER LN,LANCASTER,LN,NORTH
LANDERS ST,LANDERS,ST,NORTH
LANE ST,LANE,ST,NORTH
LANGDON CT,LANGDON,CT,NORTH
LANGTON ST,LANGTON,ST,NORTH
LANSDALE AVE,LANSDALE,AVE,NORTH
KELHAM ST,KELHAM,ST,NORTH
HARMONIA ST,HARMONIA,ST,NORTH
LANSING ST,LANSING,ST,NORTH
LAPHAM WAY,LAPHAM,WAY,NORTH
LAPIDGE ST,LAPIDGE,ST,NORTH
LAPU-LAPU ST,LAPU-LAPU,ST,NORTH
LARCH ST,LARCH,ST,NORTH
LARKIN ST,LARKIN,ST,NORTH
LAS VILLAS CT,LAS VILLAS,CT,NORTH
LASKIE ST,LASKIE,ST,NORTH
LASSEN ALY,LASSEN,ALY,NORTH
LATHROP AVE,LATHROP,AVE,NORTH
LATONA ST,LATONA,ST,NORTH
LAURA ST,LAURA,ST,NORTH
LAUREL ST,LAUREL,ST,NORTH
LAUREN CT,LAUREN,CT,NORTH
LAUSSAT ST,LAUSSAT,ST,NORTH
LAWRENCE AVE,LAWRENCE,AVE,NORTH
LAWTON ST,LAWTON,ST,NORTH
LE CONTE AVE,LE CONTE,AVE,NORTH
LE CONTE CIR,LE CONTE,CIR,NORTH
LEAVENWORTH ST,LEAVENWORTH,ST,NORTH
LEDYARD ST,LEDYARD,ST,NORTH
LEE AVE,LEE,AVE,NORTH
LEESE ST,LEESE,ST,NORTH
LEGION CT,LEGION,CT,NORTH
LEGION OF HONOR DR,LEGION OF HONOR,DR,NORTH
LEIDESDORFF ST,LEIDESDORFF,ST,NORTH
LELAND AVE,LELAND,AVE,NORTH
LENDRUM CT,LENDRUM,CT,NORTH
LENOX WAY,LENOX,WAY,NORTH
LEO ST,LEO,ST,NORTH
LEONA TER,LEONA,TER,NORTH
LEROY PL,LEROY,PL,NORTH
LESSING ST,LESSING,ST,NORTH
LESTER CT,LESTER,CT,NORTH
LETTERMAN DR,LETTERMAN,DR,NORTH
LETTERMAN HOSPITAL ACCESS,LETTERMAN HOSPITAL ACCESS,ST,NORTH
BURROWS DR,BURROWS,DR,NORTH
LEVANT ST,LEVANT,ST,NORTH
LEXINGTON ST,LEXINGTON,ST,NORTH
LIBERTY ST,LIBERTY,ST,NORTH
LICK PL,LICK,PL,NORTH
LIEBIG ST,LIEBIG,ST,NORTH
LIGGETT AVE,LIGGETT,AVE,NORTH
LILAC ST,LILAC,ST,NORTH
LILLIAN ST,LILLIAN,ST,NORTH
LILY ST,LILY,ST,NORTH
LINARES AVE,LINARES,AVE,NORTH
LINCOLN BLVD,LINCOLN,BLVD,NORTH
LINCOLN CT,LINCOLN,CT,NORTH
LINCOLN WAY,LINCOLN,WAY,NORTH
LINDA ST,LINDA,ST,NORTH
LINDA VISTA STPS,LINDA VISTA,STPS,NORTH
LINDEN ST,LINDEN,ST,NORTH
LINDSAY CIR,LINDSAY,CIR,NORTH
LIPPARD AVE,LIPPARD,AVE,NORTH
LISBON ST,LISBON,ST,NORTH
LITTLEFIELD TER,LITTLEFIELD,TER,NORTH
LIVINGSTON ST,LIVINGSTON,ST,NORTH
LLOYD ST,LLOYD,ST,NORTH
LOBOS ST,LOBOS,ST,NORTH
LOCKSLEY AVE,LOCKSLEY,AVE,NORTH
LOCKWOOD ST,LOCKWOOD,ST,NORTH
LOCUST ST,LOCUST,ST,NORTH
LOEHR ST,LOEHR,ST,NORTH
LOIS LN,LOIS,LN,NORTH
LOMA VISTA TER,LOMA VISTA,TER,NORTH
LOMBARD ST,LOMBARD,ST,NORTH
LOMITA AVE,LOMITA,AVE,NORTH
LONDON ST,LONDON,ST,NORTH
LONE MOUNTAIN TER,LONE MOUNTAIN,TER,NORTH
LONG AVE,LONG,AVE,NORTH
LONG BRIDGE ST,LONG BRIDGE,ST,NORTH
LONGVIEW CT,LONGVIEW,CT,NORTH
LOOMIS ST,LOOMIS,ST,NORTH
LOPEZ AVE,LOPEZ,AVE,NORTH
LORAINE CT,LORAINE,CT,NORTH
LORI LN,LORI,LN,NORTH
LOS PALMOS DR,LOS PALMOS,DR,NORTH
LOTTIE BENNETT LN,LOTTIE BENNETT,LN,NORTH
LOUISBURG ST,LOUISBURG,ST,NORTH
LOUISIANA ST,LOUISIANA,ST,NORTH
LOWELL ST,LOWELL,ST,NORTH
LOWER TER,LOWER,TER,NORTH
LOWER FORT MASON ST,LOWER FORT MASON,ST,NORTH
LOYOLA TER,LOYOLA,TER,NORTH
LUCERNE ST,LUCERNE,ST,NORTH
LUCKY ST,LUCKY,ST,NORTH
LUCY ST,LUCY,ST,NORTH
LUDLOW ALY,LUDLOW,ALY,NORTH
LULU ALY,LULU,ALY,NORTH
LUNADO CT,LUNADO,CT,NORTH
LUNADO WAY,LUNADO,WAY,NORTH
LUNDEEN ST,LUNDEEN,ST,NORTH
LUNDYS LN,LUNDYS,LN,NORTH
LUPINE AVE,LUPINE,AVE,NORTH
LURLINE ST,LURLINE,ST,NORTH
LURMONT TER,LURMONT,TER,NORTH
LUSK ST,LUSK,ST,NORTH
LYDIA AVE,LYDIA,AVE,NORTH
LYELL ST,LYELL,ST,NORTH
LYNCH ST,LYNCH,ST,NORTH
LYNDHURST DR,LYNDHURST,DR,NORTH
LYON ST,LYON,ST,NORTH
LYSETTE ST,LYSETTE,ST,NORTH
MABEL ALY,MABEL,ALY,NORTH
MABINI ST,MABINI,ST,NORTH
MABREY CT,MABREY,CT,NORTH
MACALLA CT,MACALLA,CT,NORTH
MACALLA RD,MACALLA,RD,NORTH
MACARTHUR AVE,MACARTHUR,AVE,NORTH
MACEDONIA ST,MACEDONIA,ST,NORTH
MACONDRAY LN,MACONDRAY,LN,NORTH
MADDUX AVE,MADDUX,AVE,NORTH
MADERA ST,MADERA,ST,NORTH
MADISON ST,MADISON,ST,NORTH
MADRID ST,MADRID,ST,NORTH
MADRONE AVE,MADRONE,AVE,NORTH
MAGELLAN AVE,MAGELLAN,AVE,NORTH
MAGNOLIA ST,MAGNOLIA,ST,NORTH
MAHAN ST,MAHAN,ST,NORTH
MAIDEN LN,MAIDEN,LN,NORTH
MAIN DR,MAIN,DR,NORTH
MAIN ST,MAIN,ST,NORTH
MAJESTIC AVE,MAJESTIC,AVE,NORTH
MALDEN ALY,MALDEN,ALY,NORTH
MALLORCA WAY,MALLORCA,WAY,NORTH
MALTA DR,MALTA,DR,NORTH
MALVINA PL,MALVINA,PL,NORTH
MANCHESTER ST,MANCHESTER,ST,NORTH
MANDALAY LN,MANDALAY,LN,NORTH
MANGELS AVE,MANGELS,AVE,NORTH
MANOR DR,MANOR,DR,NORTH
MANSEAU ST,MANSEAU,ST,NORTH
MANSELL ST,MANSELL,ST,NORTH
MANSFIELD ST,MANSFIELD,ST,NORTH
MANZANITA AVE,MANZANITA,AVE,NORTH
MAPLE ST,MAPLE,ST,NORTH
MARCELA AVE,MARCELA,AVE,NORTH
MARCY PL,MARCY,PL,NORTH
MARENGO ST,MARENGO,ST,NORTH
MARGARET AVE,MARGARET,AVE,NORTH
MARGRAVE PL,MARGRAVE,PL,NORTH
MARIETTA DR,MARIETTA,DR,NORTH
MARIN ST,MARIN,ST,NORTH
MARINA BLVD,MARINA,BLVD,NORTH
MARINA GREEN DR,MARINA GREEN,DR,NORTH
MARINE DR,MARINE,DR,NORTH
MARINER DR,MARINER,DR,NORTH
MARION PL,MARION,PL,NORTH
MARIPOSA ST,MARIPOSA,ST,NORTH
MARIST CT,MARIST,CT,NORTH
MARK LN,MARK,LN,NORTH
MARK TWAIN PL,MARK TWAIN,PL,NORTH
MARKET ST,MARKET,ST,NORTH
MARLIN CT,MARLIN,CT,NORTH
MARNE AVE,MARNE,AVE,NORTH
MARS ST,MARS,ST,NORTH
MARSHALL ST,MARSHALL,ST,NORTH
MARSILY ST,MARSILY,ST,NORTH
MARSTON AVE,MARSTON,AVE,NORTH
MARTHA AVE,MARTHA,AVE,NORTH
MARTIN LUTHER KING JR DR,MARTIN LUTHER KING JR,DR,NORTH
MARTINEZ ST,MARTINEZ,ST,NORTH
MARVEL CT,MARVEL,CT,NORTH
MARVIEW WAY,MARVIEW,WAY,NORTH
MARY ST,MARY,ST,NORTH
MARY TERESA ST,MARY TERESA,ST,NORTH
MARYLAND ST,MARYLAND,ST,NORTH
MASON CT,MASON,CT,NORTH
MASON ST,MASON,ST,NORTH
MASONIC AVE,MASONIC,AVE,NORTH
MASSACHUSETTS ST,MASSACHUSETTS,ST,NORTH
MASSASOIT ST,MASSASOIT,ST,NORTH
MATEO ST,MATEO,ST,NORTH
MATTHEW CT,MATTHEW,CT,NORTH
MAULDIN ST,MAULDIN,ST,NORTH
MAXWELL CT,MAXWELL,CT,NORTH
MAYFAIR DR,MAYFAIR,DR,NORTH
MAYFLOWER ST,MAYFLOWER,ST,NORTH
MAYNARD ST,MAYNARD,ST,NORTH
MAYWOOD DR,MAYWOOD,DR,NORTH
MCALLISTER ST,MCALLISTER,ST,NORTH
MCCANN ST,MCCANN,ST,NORTH
MCCARTHY AVE,MCCARTHY,AVE,NORTH
MCCOPPIN ST,MCCOPPIN,ST,NORTH
MCCORMICK ST,MCCORMICK,ST,NORTH
MCDONALD ST,MCDONALD,ST,NORTH
MCDOWELL AVE,MCDOWELL,AVE,NORTH
MCKINLEY AVE,MCKINLEY,AVE,NORTH
MCKINNON AVE,MCKINNON,AVE,NORTH
MCLAREN AVE,MCLAREN,AVE,NORTH
MCLAREN LODGE ACCESS RD,MCLAREN LODGE ACCESS,RD,NORTH
MCLEA CT,MCLEA,CT,NORTH
MCNAIR CT,MCNAIR,CT,NORTH
MCRAE LN,MCRAE,LN,NORTH
MCRAE ST,MCRAE,ST,NORTH
MEACHAM PL,MEACHAM,PL,NORTH
MEADE AVE,MEADE,AVE,NORTH
MEADOWBROOK DR,MEADOWBROOK,DR,NORTH
MEDA AVE,MEDA,AVE,NORTH
MEDAU PL,MEDAU,PL,NORTH
MEDICAL CENTER WAY,MEDICAL CENTER,WAY,NORTH
MEGAN DR,MEGAN,DR,NORTH
MELBA AVE,MELBA,AVE,NORTH
MELRA CT,MELRA,CT,NORTH
MELROSE AVE,MELROSE,AVE,NORTH
MENDELL ST,MENDELL,ST,NORTH
MENDOSA AVE,MENDOSA,AVE,NORTH
MENOHER LN,MENOHER,LN,NORTH
MERCATO CT,MERCATO,CT,NORTH
MERCED AVE,MERCED,AVE,NORTH
MERCEDES WAY,MERCEDES,WAY,NORTH
MERCHANT RD,MERCHANT,RD,NORTH
MERCHANT ST,MERCHANT,ST,NORTH
MERCURY ST,MERCURY,ST,NORTH
MERLIN ST,MERLIN,ST,NORTH
MERRIAM LN,MERRIAM,LN,NORTH
MERRIE WAY,MERRIE,WAY,NORTH
MERRILL ST,MERRILL,ST,NORTH
MERRIMAC ST,MERRIMAC,ST,NORTH
MERRITT ST,MERRITT,ST,NORTH
MERSEY ST,MERSEY,ST,NORTH
MESA AVE,MESA,AVE,NORTH
MESA ST,MESA,ST,NORTH
METSON RD,METSON,RD,NORTH
MICHIGAN ST,MICHIGAN,ST,NORTH
MIDCREST WAY,MIDCREST,WAY,NORTH
MIDDLE POINT RD,MIDDLE POINT,RD,NORTH
MIDDLE WEST DR,MIDDLE WEST,DR,NORTH
MIDDLEFIELD DR,MIDDLEFIELD,DR,NORTH
MIDWAY ST,MIDWAY,ST,NORTH
MIGUEL ST,MIGUEL,ST,NORTH
MILAN TER,MILAN,TER,NORTH
MILES CT,MILES,CT,NORTH
MILES ST,MILES,ST,NORTH
MILEY ST,MILEY,ST,NORTH
MILL ST,MILL,ST,NORTH
MILLER PL,MILLER,PL,NORTH
MILLER RD,MILLER,RD,NORTH
MILLWRIGHT COTTAGE ACCESS RD,MILLWRIGHT COTTAGE ACCESS,RD,NORTH
MILTON ST,MILTON,ST,NORTH
MINERVA ST,MINERVA,ST,NORTH
MINNA ST,MINNA,ST,NORTH
MINNESOTA ST,MINNESOTA,ST,NORTH
MINT PLZ,MINT,PLZ,NORTH
MINT ST,MINT,ST,NORTH
MIRABEL AVE,MIRABEL,AVE,NORTH
MIRALOMA DR,MIRALOMA,DR,NORTH
MIRAMAR AVE,MIRAMAR,AVE,NORTH
MIRANDO WAY,MIRANDO,WAY,NORTH
MISSION ST,MISSION,ST,NORTH
BLOSSOM LN,BLOSSOM,LN,NORTH
SIXTH ST,SIXTH,ST,NORTH
MISSION BAY CIR,MISSION BAY,CIR,NORTH
MISSION BAY DR,MISSION BAY,DR,NORTH
IRONWOOD WAY,IRONWOOD,WAY,NORTH
CATALINA ST,CATALINA,ST,NORTH
MISSION ROCK ST,MISSION ROCK,ST,NORTH
MISSISSIPPI ST,MISSISSIPPI,ST,NORTH
MISSOURI ST,MISSOURI,ST,NORTH
MISTRAL ST,MISTRAL,ST,NORTH
MIZPAH ST,MIZPAH,ST,NORTH
MODOC AVE,MODOC,AVE,NORTH
MOFFITT ST,MOFFITT,ST,NORTH
MOJAVE ST,MOJAVE,ST,NORTH
MOLIMO DR,MOLIMO,DR,NORTH
MONCADA WAY,MONCADA,WAY,NORTH
MONETA CT,MONETA,CT,NORTH
MONETA WAY,MONETA,WAY,NORTH
MONO ST,MONO,ST,NORTH
MONTAGUE PL,MONTAGUE,PL,NORTH
MONTALVO AVE,MONTALVO,AVE,NORTH
MONTANA ST,MONTANA,ST,NORTH
MONTCALM ST,MONTCALM,ST,NORTH
PARK ST,PARK,ST,NORTH
MONTCLAIR TER,MONTCLAIR,TER,NORTH
MONTE VISTA DR,MONTE VISTA,DR,NORTH
MONTECITO AVE,MONTECITO,AVE,NORTH
MONTEREY BLVD,MONTEREY,BLVD,NORTH
MONTEZUMA ST,MONTEZUMA,ST,NORTH
MONTGOMERY ST,MONTGOMERY,ST,NORTH
MONTICELLO ST,MONTICELLO,ST,NORTH
MONUMENT WAY,MONUMENT,WAY,NORTH
MOORE LN,MOORE,LN,NORTH
MOORE PL,MOORE,PL,NORTH
MORAGA AVE,MORAGA,AVE,NORTH
MORAGA ST,MORAGA,ST,NORTH
MORELAND ST,MORELAND,ST,NORTH
MORGAN ALY,MORGAN,ALY,NORTH
MORNINGSIDE DR,MORNINGSIDE,DR,NORTH
MORRELL PL,MORRELL,PL,NORTH
MORRELL ST,MORRELL,ST,NORTH
MORRIS ST,MORRIS,ST,NORTH
MORSE ST,MORSE,ST,NORTH
MORTON ST,MORTON,ST,NORTH
MOSCOW ST,MOSCOW,ST,NORTH
MOSS ST,MOSS,ST,NORTH
MOULTON ST,MOULTON,ST,NORTH
MOULTRIE ST,MOULTRIE,ST,NORTH
MOUNT LN,MOUNT,LN,NORTH
MOUNT VERNON AVE,MOUNT VERNON,AVE,NORTH
MOUNTAIN SPRING AVE,MOUNTAIN SPRING,AVE,NORTH
MOUNTVIEW CT,MOUNTVIEW,CT,NORTH
MUIR CT,MUIR,CT,NORTH
MUIR LOOP,MUIR,LOOP,NORTH
MULFORD ALY,MULFORD,ALY,NORTH
MULLEN AVE,MULLEN,AVE,NORTH
MUNICH ST,MUNICH,ST,NORTH
MURRAY LN,MURRAY,LN,NORTH
MURRAY ST,MURRAY,ST,NORTH
MUSEUM WAY,MUSEUM,WAY,NORTH
MUSIC CONCOURSE DR,MUSIC CONCOURSE,DR,NORTH
MUSIC CONCOURSE ACCESS RD,MUSIC CONCOURSE ACCESS,RD,NORTH
MYRA WAY,MYRA,WAY,NORTH
MYRTLE ST,MYRTLE,ST,NORTH
NADELL CT,NADELL,CT,NORTH
NAGLEE AVE,NAGLEE,AVE,NORTH
NAHUA AVE,NAHUA,AVE,NORTH
NANCY PELOSI DR,NANCY PELOSI,DR,NORTH
NANTUCKET AVE,NANTUCKET,AVE,NORTH
NAPIER LN,NAPIER,LN,NORTH
NAPLES ST,NAPLES,ST,NORTH
NAPOLEON ST,NAPOLEON,ST,NORTH
NATICK ST,NATICK,ST,NORTH
NATOMA ST,NATOMA,ST,NORTH
NAUMAN RD,NAUMAN,RD,NORTH
NAUTILUS DR,NAUTILUS,DR,NORTH
NAVAJO AVE,NAVAJO,AVE,NORTH
NAVY RD,NAVY,RD,NORTH
NAYLOR ST,NAYLOR,ST,NORTH
NEBRASKA ST,NEBRASKA,ST,NORTH
NELLIE ST,NELLIE,ST,NORTH
NELSON AVE,NELSON,AVE,NORTH
NELSON RISING LN,NELSON RISING,LN,NORTH
NEPTUNE ST,NEPTUNE,ST,NORTH
NEVADA ST,NEVADA,ST,NORTH
NEW MONTGOMERY ST,NEW MONTGOMERY,ST,NORTH
NEWBURG ST,NEWBURG,ST,NORTH
NEWCOMB AVE,NEWCOMB,AVE,NORTH
NEWELL ST,NEWELL,ST,NORTH
NEWHALL ST,NEWHALL,ST,NORTH
NEWMAN ST,NEWMAN,ST,NORTH
NEWTON ST,NEWTON,ST,NORTH
NEY ST,NEY,ST,NORTH
NIAGARA AVE,NIAGARA,AVE,NORTH
