449.countyname,ROEGRS,ROGERS
25.code,01C024,05I006
349.phone,(405)v 348-6100,(405) 348-6100
438.mailingaddress,"Hwy 2 N. Cobb Dr.
Moyers, OK 74557
(34.42314288200049, -95.68617072399967)","Hwy 2 N. Cobb Dr.
Moyers, OK 74557
(34.42314288200049, -95.68610772399967)"
405.mailingaddress,"210 N J Street
Quinton, OK 74561
(35.1259209590004, -95.3670294479997)","210 N J Street
Quinton, OK 74561
(35.12592095900044, -95.3670294479997)"
396.phone,(91) 387-2434,(918) 387-2434
79.phone,(918) 772-25x01,(918) 772-2501
446.districtname,CATOOSqA,CATOOSA
406.countyname,PITTSsBURG,PITTSBURG
493.fax,(58)0 568-2219,(580) 568-2219
466.boardpresident,Mike Hiyde,Mike Hyde
281.code,46I302,46I032
407.boardpresident,Cihester Mason,Chester Mason
415.fax,(58) 332-3116,(580) 332-3116
426.fax,(40i5) 997-3181,(405) 997-3181
530.websiteurl,htttp://www.smps.k12.ok.us,http://www.smps.k12.ok.us
300.websiteurl,http://Butner.k12.ok.uis,http://Butner.k12.ok.us
387.fax,918) 757-2338,(918) 757-2338
53.fax,(580) 646-3499,(405) 262-3215
185.code,03I001,30I001
359.websiteurl,http://wwws.twinhills.k12.ok.us,http://www.twinhills.k12.ok.us
384.code,u58I023,58I023
324.superintendent,Kevi nStacy,Kevin Stacy
230.mailingaddress,"1201 West Blai rAvenue
Wilburton, OK 74578
(34.92479593000047, -95.32375780999968)","1201 West Blair Avenue
Wilburton, OK 74578
(34.92479593000047, -95.32375780999968)"
216.districtname,LBACKWELL,BLACKWELL
265.countyname,LVE,LOVE
31.phone,(918) 696-7768,(580) 886-3516
263.websiteurl,htt://www.coyle.k12.ok.us,http://www.coyle.k12.ok.us
150.countyname,ELIS,ELLIS
5.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","Rural Route 1, Box 1795
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)"
168.websiteurl,http://www.midldeberg.k12.ok.us,http://www.middleberg.k12.ok.us
