OBJECTID,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION,SHAPEAREA,SHAPELEN,S_USAEcosys_BaileysEcoregionAREA
1686,34347.57,1687,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00281179868906697,0.332170411568144,26032340
1687,8712.549,1688,1795,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.000339491460006198,0.0952449502666124,3147730
1688,4395.521,1689,1796,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section,0.000122409484312974,0.0463787621309928,1088145.2
1689,2713.669,1690,1797,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section,5.22921632588285e-05,0.0311750984005978,465034.56
1690,903949.5,1691,147,-222L,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,North Central U.S. Driftless and Escarpment Section,4.78290022014155,9.54379177543045,42900000000
1691,7203.311,1692,1798,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.000306484263947033,0.0792242814962812,2848917
1692,4372.135,1693,1799,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,8.4516073284186e-05,0.0482673636413175,753195.56
1693,21868.422,1694,1800,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,0.00125238176224305,0.231180260911294,11170366
1694,834739.43,1695,11,M261D,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Southern Cascades Section,1.76429318826373,8.20940559589806,16400000000
1695,36732.289,1696,127,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.00811525097364063,0.391427069393095,73359736
1696,1240281.7,1697,159,-222K,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Southwestern Great Lakes Morainal Section,5.13763087035293,13.1583366736122,46400000000
1697,2350.142,1698,1801,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,3.7517770727865e-05,0.0245132180369653,334762.18
1698,2145.504,1699,1802,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,2.94121595370745e-05,0.0220134323863285,262453.09
1699,835926.75,1700,51,-342D,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Snake River Basalts Section,2.96425488749713,9.35747901350988,26600000000
1700,1947.834,1701,1803,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,3.088537048093e-05,0.0213294440346374,275625.37
1701,2881.442,1702,1804,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,6.24386383655905e-05,0.0293683154315521,557489.18
1702,2582.951,1703,1805,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,4.3555709021317e-05,0.0281787045356595,388958.56
1703,2312.206,1704,1806,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section,3.70394023458355e-05,0.0248530359724473,330973.5
1704,5084.777,1705,1807,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00014378537903549,0.0499422205066758,1334937.6
1705,29175.908,1706,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00297837871709346,0.295145275578078,27717318
1706,24316.514,1707,1808,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00163474948819824,0.266764971011196,15191362
1707,449750.37,1708,60,M334A,DRY DOMAIN,Temperate Steppe Regime Mountains,Black Hills Coniferous Forest Province,Black Hills Section,1.0701345967681,4.60770585062169,9510000000
1708,1391384,1709,3,-263A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Coastal Steppe-Mixed Forest-Redwood Forest Province,Northern California Coast Section,1.27871187272879,13.5262820330264,12200000000
1709,11646.018,1710,1809,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.000512133796771078,0.124372028860752,4766056
1710,900928.93,1711,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.3668873441601,9.79718388869518,3430000000
1711,21868.463,1712,1810,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00156438383879716,0.226010886352749,14578416
1712,40447.164,1713,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00382038408081442,0.426693029733825,35613188
1713,726184.56,1714,12,M261G,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Modoc Plateau Section,2.72915283164269,7.44184723617199,25300000000
1714,6747.021,1715,1811,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.000240028331161006,0.0707241591252761,2240720.7
1715,1171393,1716,128,-221F,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Western Glaciated Allegheny Plateau Section,3.26605085669468,12.3660444404952,30500000000
1716,2107723.5,1717,132,M221A,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Northern Ridge & Valley Section,8.6689792125464,21.7506649438082,83200000000
1717,432154.59,1718,161,M331J,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Wind River Mountain Section,0.861017521896045,4.52745380536051,7780000000
1718,560717.81,1719,149,-212G,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Unglaciated Allegheny Plateau Section,1.64747433881626,6.37169342133291,15200000000
1719,100289.78,1720,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00499161721314643,1.15462107978906,46803496
1720,6085.036,1721,1812,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,8.37714009201175e-05,0.0643860614131749,762082.37
1721,50948.285,1722,1813,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.00342033512194283,0.557548421219405,31135814
1722,1023463.1,1723,153,-342F,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Central Basin and Hills Section,4.44858850300917,10.8024879028327,40600000000
1723,18997.203,1724,1814,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.000563262425170676,0.208619498251848,5125454
1724,2419.55,1725,1815,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,3.87996391183845e-05,0.0264014964387293,353084.43
1725,2845.812,1726,1816,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,5.9871913678525e-05,0.0309709106069979,544919.12
1726,5921.971,1727,1817,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,7.54027276594065e-05,0.0629036125299873,686431.06
1727,60134.148,1728,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.00453751189631205,0.692159451904413,42582104
1728,2533.973,1729,1818,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,4.3416994820527e-05,0.0275491247008463,395337.9
1729,2807.627,1730,1819,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,4.35774027354595e-05,0.0281681801731422,397028.06
1730,767487.12,1731,168,M261B,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Northern California Coast Ranges Section,1.72596122249335,7.27625583639021,16400000000
1731,11404.759,1732,1820,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section,0.000628772868940951,0.115459794769436,5900864
1732,58312.035,1733,151,-221D,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Northern Appalacian Piedmont Section,0.0154390727197302,0.606224661358114,144984928
1733,8458.456,1734,1821,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.000342515824766526,0.0949848723191707,3130093
1734,1015004.6,1735,46,-342G,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Greater Green River Basin Section,5.50754466065194,10.6553219754098,50900000000
1735,4572.549,1736,1822,-263A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Coastal Steppe-Mixed Forest-Redwood Forest Province,Northern California Coast Section,0.000108670150657208,0.0496845636455886,1016930.1
1736,26782.061,1737,127,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.00253034072108035,0.250975313926436,23200654
1737,1068300,1738,131,M221B,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Allegheny Mountains Section,2.58519885768788,10.736253456211,24700000000
1738,1563705.1,1739,129,-221E,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Southern Unglaciated Allegheny Plateau Section,8.55092660465511,16.3114101212963,81500000000
1739,3205.546,1740,1823,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,6.4314705026793e-05,0.0332568529012861,590171
1740,2499.346,1741,1824,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,3.8607679715803e-05,0.0262239015751519,354302.34
1741,3299.345,1742,1825,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,7.6097485623107e-05,0.0331046791526749,698466.43
1742,1480703.5,1743,31,-341E,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Lahontan Basin Section,6.94208200995162,14.7060856003984,66200000000
1743,1411108.8,1744,118,-251D,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Loess Plains Section,9.95565277327055,14.6617351827353,93400000000
1744,1637308.7,1745,9,M261F,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Sierra Nevada Foothills Section,2.35443562436134,15.7177671327611,23000000000
1745,1117916,1746,69,-332C,DRY DOMAIN,Temperate Steppe Division,Great Plains Steppe Province,Nebraska Sand Hills Section,5.2757317943037,12.4288400132507,48400000000
1746,7021.52,1747,1827,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.000303072496355957,0.0733212160633565,2796990.5
1747,11250.461,1748,1829,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.000470861663167799,0.122136972268596,4347498.5
1748,1771317.3,1749,8,-262A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Dry Steppe Province,Great Valley Section,5.0921060559814,17.1733266905849,49900000000
1749,15216.895,1750,1830,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.000901780817307544,0.157316324560099,8331224
1750,16669.293,1751,1831,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section,0.00134961756710444,0.176682524498525,12477233
1751,356141.84,1752,47,-342E,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Bear Lake Section,0.85790587626818,3.54213714845584,7910000000
1752,553675.75,1753,164,M261C,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Northern California Interior Coast Ranges Section,0.73554887379865,5.11905481620426,7030000000
1753,1407323.6,1754,59,M331I,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Northern Parks and Ranges Section,4.95329495045817,13.8208465064863,46700000000
1754,2264051,1755,108,-251C,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Dissected Till Plains Section,18.7036050985564,23.7513667987403,176000000000
1755,1539912.8,1756,117,-222H,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,"Central Till Plains, Beech-Maple Section",7.42945886533718,16.418020706854,70200000000
1756,1015884.3,1757,50,-341G,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Northeastern Great Basin Section,3.5144614398812,10.4500603851363,33000000000
1757,2047371.2,1758,122,M221D,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Blue Ridge Mountains Section,5.44314818273833,20.6862835208611,54300000000
1758,1436129.5,1759,10,M261E,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Sierra Nevada Section,4.84965945645715,13.8602297440062,47100000000
1759,1598071.2,1760,71,-331H,DRY DOMAIN,Temperate Steppe Division,Great Plains-Palouse Dry Steppe Province,Central High Plains Section,6.42714363518102,16.3590646466399,60400000000
1760,12864.647,1761,1845,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000780776852936098,0.127392388793793,7453309.5
1761,4958.93,1762,1846,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000157884233421019,0.0504124002340644,1510857.3
1762,1336005.5,1763,33,M341A,DRY DOMAIN,Temperate Desert Regime Mountains,Nevada-Utah Mountains-Semi-Desert-Coniferous Forest-Alpine Meadow Province,Central Great Basin Mountains Section,6.61146003687213,13.4651037738799,63300000000
1763,5600.447,1764,1847,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000138933725850145,0.0566818996953249,1330389.1
1764,1819143.5,1765,87,-332E,DRY DOMAIN,Temperate Steppe Division,Great Plains Steppe Province,South-Central Great Plains Section,15.8989318319291,18.1471850904453,153000000000
1765,678177,1766,45,M331E,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Uinta Mountains Section,2.05740355281698,7.5697437425726,19300000000
1766,92606.023,1767,134,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00868244839450113,0.903409485446606,83487592
1767,2868550.5,1768,102,-231A,HUMID TEMPERATE DOMAIN,Subtropical Division,Southeastern Mixed Forest Province,Southern Appalachian Piedmont Section,18.7435100622162,28.7976371449416,190000000000
1768,897189.62,1769,58,M331H,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,North-Central Highlands Section,3.29832972243563,8.95966732285159,31400000000
1769,18231.492,1770,1848,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000961674154188143,0.19338138297774,9255125
1770,3759.132,1771,1849,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,9.16425755827145e-05,0.0374089088134315,881679.75
1771,1175706.1,1772,70,-331C,DRY DOMAIN,Temperate Steppe Division,Great Plains-Palouse Dry Steppe Province,Central High Tablelands Section,7.0027314760601,12.0555570830057,66500000000
1772,696889.06,1773,88,-251G,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Loess Plains Section,2.59229652278466,7.04663383783276,24400000000
1773,838498.37,1774,32,-341D,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Mono Section,2.67162767350976,8.1927981396289,26000000000
1774,6146.935,1775,1850,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000158860064297591,0.0602279360788243,1531467
1775,3973.607,1776,1851,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000111382973673581,0.041266822303845,1074031.5
1776,4953.361,1777,1852,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000131556427642233,0.0502622087483047,1272513.3
1777,4354.879,1778,1853,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,9.56964527835895e-05,0.0409288915833377,925834.75
1778,3986.857,1779,1854,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section,7.4769129761214e-05,0.0374025775608879,857005.75
1779,76791,1780,1855,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section,0.0171658415215581,0.733138274339505,196935424
1780,4009.848,1781,1856,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000119526219278325,0.0423534267073088,1159287.3
1781,13617.62,1782,1857,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000568924333760597,0.136721939036809,5518450
1782,9768.954,1783,1858,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000272528295523961,0.0954220878754084,2643473.5
1783,3188.005,1784,1859,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,7.49744697036285e-05,0.0321468415925769,727286.62
1784,26461.676,1785,1860,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00124992016853925,0.274714883611814,12134036
1785,379947.96,1786,44,-341C,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Uinta Basin Section,0.966519643039353,4.16588990664761,9140000000
1786,173560.7,1787,1864,M423A,HUMID TROPICAL DOMAIN,Rainforest Regime Mountains,Hawaiian Islands Province,Hawaiian Islands Section,0.126915128537652,1.61873836800141,1450000000
1787,32306.984,1788,134,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00237595269120194,0.333212748376256,23092978
1788,4644.531,1789,1869,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000121974076020939,0.0474018963379572,1186460.1
1789,5970.716,1790,1870,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000140385433846957,0.0575200997556659,1365406.2
1790,2758.768,1791,1871,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,5.3557238200211e-05,0.0281653424380873,520876.71
1791,4835.598,1792,1872,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000114400333188922,0.0504827288199101,1112809.7
1792,5379.589,1793,1873,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000126738724508332,0.052312987321511,1232758.2
1793,12800.521,1794,1874,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000718010340017076,0.129414063836648,6986845.5
1794,4500.43,1795,1876,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000119418366773503,0.0470437337409061,1159343
1795,921459.37,1796,126,-222F,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,"Interior Low Plateau, Bluegrass Section",4.15727786878036,9.26524768061692,40200000000
1796,23630.568,1797,1878,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00136197672908121,0.234039108425829,13266822
1797,8041.417,1798,1880,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000249625951211176,0.0837734848136101,2428319.2
1798,711303.81,1799,43,M341B,DRY DOMAIN,Temperate Desert Regime Mountains,Nevada-Utah Mountains-Semi-Desert-Coniferous Forest-Alpine Meadow Province,Tavaputs Plateau Section,1.90676389982294,7.57144032488333,18100000000
1799,11473.943,1800,1881,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000586769738949015,0.114750250170755,5717806
1800,7087.645,1801,1882,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000135832634069776,0.0709639643417746,1320579.7
1801,9918.167,1802,1883,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000357987585738013,0.0963769967305565,3489379.2
1802,5271.583,1803,1884,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000121857817724726,0.0496155177559714,1187842.6
1803,2843.8,1804,1885,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,5.09069850380445e-05,0.028786734684036,496269.53
1804,200981.84,1805,4,-261A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Coastal Chapparral Forest and Shrub Province,Central California Coast Section,0.103894557017152,2.06548031609562,1010000000
1805,4975.397,1806,1887,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000127198390494949,0.0515559645032597,1240612.5
1806,2987.408,1807,1888,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,5.96389077838735e-05,0.0295128526197652,581476.75
1807,5585.869,1808,1889,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000144901340717023,0.0538016737738472,1412912.2
1808,2810.851,1809,1890,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,5.4113345461208e-05,0.0286567289669643,527599.81
1809,2245.092,1810,1892,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,3.76790637548965e-05,0.0233043151302193,367543.68
1810,2159.658,1811,1893,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,3.35614911710035e-05,0.0226554267380361,327412.5
1811,6167.155,1812,1894,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000198776017667153,0.0621887776962237,1939526.1
1812,3510.713,1813,1895,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,9.0074241112858e-05,0.0348086613599827,879919.5
1813,14568.933,1814,1897,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000455377145241627,0.142758898596458,4447290.5
1814,7455.216,1815,1898,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000181238803593107,0.0706179878302301,1770530.5
1815,6586.22,1816,1899,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.000210307543172053,0.0679893883181176,2055428.1
1816,37877.723,1817,134,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00244440046010802,0.380186449982498,23936256
1817,2607.131,1818,1900,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,4.8786577582648e-05,0.0261254801361845,477238.71
1818,4410.217,1819,1901,-232A,HUMID TEMPERATE DOMAIN,Subtropical Division,Outer Coastal Plain Mixed Forest Province,Middle Atlantic Coastal Plain Section,0.00010889195092371,0.0449244388843234,1065447.1
1819,818193.81,1820,148,-222G,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,"Central Till Plains, Oak-Hickory Section",4.291252963924,8.61115716332874,41400000000
