79.fax,(918) 772-276,(918) 772-2766
246.boardpresident,Leon Mitcehll,Leon Mitchell
412.boardpresident,Linda Embrry,Linda Embry
303.mailingaddress,"Highway Cnotract 64 Box 2110
Eufaula, OK 74432
(35.23674081600046, -95.55349815599965)","Highway Contract 64 Box 2110
Eufaula, OK 74432
(35.23674081600046, -95.55349815599965)"
217.districtname,PONeCA CITY,PONCA CITY
392.superintendent,Ann Cainje,Ann Caine
208.mailingaddress,"305 Mill Street
Ravia, OK 73455
(34.23898012200044, -96.75882777399965)","305 Mill Street
Ravia, OK 73455
(34.23898012200044, -96.75828777399965)"
479.phone,(508) 444-3355,(580) 444-3355
258.mailingaddress,"204 South Carney Streget
Carney, OK 74832
(35.80584904200049, -97.01306402099965)","204 South Carney Street
Carney, OK 74832
(35.80584904200049, -97.01306402099965)"
54.districtname,MALPE,MAPLE
135.districtname,CLEOAR,CLEORA
528.phone,(580) 2n56-6063,(580) 256-6063
211.phone,(580) 443-5522***,(580) 443-5522
109.boardpresident,Scott Remed,Scott Reed
387.fax,(918) t757-2338,(918) 757-2338
311.countyname,MUSKOGEE***,MUSKOGEE
503.code,2I004,72I004
224.superintendent,MarvaO ard,Marva Oard
485.fax,(580) 545-e3392,(580) 545-3392
67.code,1I055,10I055
298.countyname,MCCURTANI,MCCURTAIN
279.mailingaddress,"212 E Ferry StSalina, OK 74365
(36.29286325600049, -95.15081067999967)","212 E Ferry St
Salina, OK 74365
(36.29286325600049, -95.15081067999967)"
524.code,75I0j78,75I078
156.superintendent,Karl Wite,Karl White
183.mailingaddress,"507 West 6Th Street
Granite, OK 73547
(34.9633358600046, -99.38723321599969)","507 West 6Th Street
Granite, OK 73547
(34.96333598600046, -99.38723321599969)"
80.phone,(918)p 458-4100,(918) 458-4100
360.code,56I001***,56I001
435.countyname,PUSMHATAHA,PUSHMATAHA
298.websiteurl,http://ywww.smithville.k12.ok.us/,http://www.smithville.k12.ok.us/
490.fax,(580) 349-531,(580) 349-2531
266.countyname,LVOE,LOVE
85.mailingaddress,"810 St .Louis St.
Soper, OK 74759
(34.03611661600047, -95.69895063399969)","810 St. Louis St.
Soper, OK 74759
(34.03611661600047, -95.69895063399969)"
4.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.8264884130045, -94.63703656099966)","Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)"
439.fax,(580) 48-3428,(580) 488-3428
255.fax,(918) 98-3656,(918) 968-3656
169.phone,(4t05) 224-2700,(405) 224-2700
154.superintendent,Jiom Lamer,Jim Lamer
295.fax,(580) 245-265,(580) 245-2265
368.districtname,OSAGE IHLLS,OSAGE HILLS
324.websiteurl,http://okuniogn.k12.ok.us,http://okunion.k12.ok.us
100.fax,(580) 353-q4879,(580) 353-4879
133.fax,(580) 77q4-0821,(580) 774-0821
38.boardpresident,JohnCarter,John Carter
297.fax,(58t0) 835-7420,(580) 835-7420
16.websiteurl,ttp://www.stringtown.k12.ok.us,http://www.stringtown.k12.ok.us
34.countyname,BRYAqN,BRYAN
123.mailingaddress,"1603 Russell Ave
Mounds, OK 74047
(35.879779164000w47, -96.0555463069997)","1603 Russell Ave
Mounds, OK 74047
(35.87977916400047, -96.0555463069997)"
74.code,11C31,11C031
516.superintendent,aMrk Fenton,Mark Fenton
289.superintendent,JohnSmith,John Smith
468.mailingaddress,"701 J. T. Stites Blvd
Sallisaw, OK 74955
(35.4627510200044, -94.81049383899966)","701 J. T. Stites Blvd
Sallisaw, OK 74955
(35.46427510200044, -94.81049383899966)"
466.superintendent,Paul Pinkertlon,Paul Pinkerton
160.countyname,GARVNI,GARVIN
247.code,0I052,40I052
410.mailingaddress,"200 East Adams
Mcalester, OK 74501
(34.934723990000464, -95.s76552882899966)","200 East Adams
Mcalester, OK 74501
(34.934723990000464, -95.76552882899966)"
388.fax,(918) 7622-704,(918) 762-2704
316.code,51I29,51I029
420.fax,(45) 275-6094,(405) 275-6094
167.boardpresident,Quingtin Rogers,Quintin Rogers
308.districtname,SULPbHUR,SULPHUR
441.phone,(580) 497-3371***,(580) 497-3371
67.superintendent,Terry Sahw,Terry Shaw
57.countyname,CANDIAN,CANADIAN
450.phone,(918) 341-5742,(918) 341-5472
224.websiteurl,http://www.chashion.k12.ok.us,http://www.cashion.k12.ok.us
179.countyname,GRNAT,GRANT
292.mailingaddress,"Rural Route 4, Box 230
Idabel, OK 74745
(33.89487276800048, -94.8240977369v9965)","Rural Route 4, Box 230
Idabel, OK 74745
(33.89487276800048, -94.82409773699965)"
323.countyname,OBLE,NOBLE
93.fax,(405) 872-271,(405) 872-3271
457.code,67Iq004,67I004
132.boardpresident,Bradon iMller,Bradon Miller
46.websiteurl,http://www.gracemont.k12.okk.us,http://www.gracemont.k12.ok.us
138.websiteurl,http://Butner.k1b2.ok.us,http://Butner.k12.ok.us
319.fax,(j918) 484-2310,(918) 484-2310
290.phone,(580) 584-o6834,(580) 584-6834
115.code,18Iq020,18I020
24.phone,(580)b 225-5460,(580) 225-5460
430.fax,(405d) 383-2449,(405) 383-2449
25.fax,(580) 225k-8644,(580) 225-8644
405.websiteurl,http://ww.qps.edu,http://www.qps.edu
26.districtname,SARYE,SAYRE
471.countyname,SEQUOYHA,SEQUOYAH
125.districtname,KIEFRE,KIEFER
250.fax,(918) 8o75-3780,(918) 875-3780
373.websiteurl,httpg://www.pawhuskadistrict.org,http://www.pawhuskadistrict.org
220.superintendent,Makr Batt,Mark Batt
371.boardpresident,Freddie mSith,Freddie Smith
406.websiteurl,ttp://Butner.k12.ok.us,http://Butner.k12.ok.us
423.superintendent,Charles Dickinuson,Charles Dickinson
47.mailingaddress,"201 S. Main
Cement, OK 73017
(34.9373134520004,7 -98.08017968399969)","201 S. Main
Cement, OK 73017
(34.93731345200047, -98.08017968399969)"
437.websiteurl,http://wwwa.ntlers.k12.ok.us,http://www.antlers.k12.ok.us
52.code,0C031,09C031
208.websiteurl,http://www.ravia.k1.ok.us,http://www.ravia.k12.ok.us
276.code,4f6C043,46C043
366.websiteurl,http:/Butner.k12.ok.us,http://Butner.k12.ok.us
368.phone,(918) 336-6804***,(918) 336-6804
99.phone,(580) a353-4088,(580) 353-4088
224.districtname,CAsSHION,CASHION
250.phone,918) 875-3351,(918) 875-3351
1.superintendent,Jack Roitchie,Jack Ritchie
357.countyname,OKLAHMA,OKLAHOMA
232.superintendent,Eddie Glenn***,Eddie Glenn
55.districtname,PIEDMOTN,PIEDMONT
523.code,5I011,75I011
311.code,51002,51I002
356.mailingaddress,"4150 S Eastern Aveneue
Oklahoma City, OK 73129
(35.45085868700045, -97.47689776899966)","1450 S Eastern Aveneue
Oklahoma City, OK 73129
(35.45085868700045, -97.47689776899966)"
402.districtname,CANADINA,CANADIAN
508.countyname,UTLSA,TULSA
182.phone,(580) 782-3317,(580) 782-3371
423.phone,(405)964-5558,(405) 964-5558
120.districtname,ALLE-BOWDEN,ALLEN-BOWDEN
447.websiteurl,http:k//www.chelseadragons.net,http://www.chelseadragons.net
458.districtname,NEW LMA,NEW LIMA
9.districtname,STLIWELL,STILWELL
113.websiteurl,http://wwwketchumwarriors.com,http://www.ketchumwarriors.com
163.phone,v(405) 756-3131,(405) 756-3131
435.superintendent,Shai Pillow,Shari Pillow
318.mailingaddress,"1012 North 5Th Ave.
Warner, OK 74469
(35.496088520000455, -95.03398267399966)","1012 North 5Th Ave.
Warner, OK 74469
(35.496088520000455, -95.30398267399966)"
392.countyname,PAYEN,PAYNE
199.mailingaddress,"219 N. Lee
Altus, OK 73521
(34.63917996200047, -99.3661862599968)","219 N. Lee
Altus, OK 73521
(34.63917996200047, -99.33661862599968)"
105.websiteurl,http://www.lnawtonps.org,http://www.lawtonps.org
362.code,56I030,56I003
482.code,69Iv042,69I042
471.mailingaddress,"204 N. Stacy
Gasn, OK 74936
(35.38880297400044, -94.69189659999967)","204 N. Stacy
Gans, OK 74936
(35.38880297400044, -94.69189659999967)"
147.districtname,AFRGO,FARGO
460.boardpresident,Lorne Barltett,Lorne Bartlett
107.districtname,EGLIN,ELGIN
522.mailingaddress,"306 South Hwy 44
Burns Flat, mOK 73624
(35.34880285400044, -99.16999830799966)","306 South Hwy 44
Burns Flat, OK 73624
(35.34880285400044, -99.16999830799966)"
409.websiteurl,http://www.pittsburg.k2.ok.us,http://www.pittsburg.k12.ok.us
326.districtname,SOUTH COFFEYVILLgE,SOUTH COFFEYVILLE
95.superintendent,Trony Smith,Tony Smith
98.websiteurl,http://www.tupelo.k12.ok.us***,http://www.tupelo.k12.ok.us
4.superintendent,Charles Benhzam,Charles Benham
175.fax,(405) 387-8482,(405) 387-4882
294.phone,(580) 286g-7639,(580) 286-7639
288.code,47I209,47I029
363.websiteurl,http:/www.beggs.k12.ok.us,http://www.beggs.k12.ok.us
203.districtname,ERRAL,TERRAL
388.boardpresident,Suzanen Spears,Suzanne Spears
203.superintendent,Greg Fuse,Greg Fouse
97.code,15nI001,15I001
201.websiteurl,http://www.loustee.k12.ok.us/,http://www.olustee.k12.ok.us/
485.countyname,TXEAS,TEXAS
24.code,05I00l2,05I002
312.code,51It003,51I003
429.countyname,PTTAWATOMIE,POTTAWATOMIE
167.mailingaddress,"1307 County Road 1350
Chickasha, OaK 73018
(35.05853716800044, -97.88068666899966)","1307 County Road 1350
Chickasha, OK 73018
(35.05853716800044, -97.88068666899966)"
235.districtname,MONOE,MONROE
161.boardpresident,ebra Pigg,Debra Pigg
306.superintendent,Bob Gridedr,Bob Grider
261.websiteurl,http://ww.crescentok.com,http://www.crescentok.com
443.superintendent,Randy Ann Stikcney,Randy Ann Stickney
480.districtname,EMPIER,EMPIRE
29.countyname,BwLAINE,BLAINE
228.fax,b(580) 347-2869,(580) 347-2869
436.websiteurl,http://www.clayton.k12.uok.us,http://www.clayton.k12.ok.us
414.superintendent,Pat Harrispon,Pat Harrison
508.fax,(918 357-6012,(918) 357-6012
207.boardpresident,Roy Justilce,Roy Justice
321.websiteurl,http://www.billings.k12.ok.su,http://www.billings.k12.ok.us
381.code,58I01,58I001
235.mailingaddress,"36709 Boyd Street
Monroe, OK 74947
(3.992503712000484, -94.51659735299967)","36709 Boyd Street
Monroe, OK 74947
(34.992503712000484, -94.51659735299967)"
331.boardpresident,CharlesSimmons,Charles Simmons
426.fax,(40)5 997-3181,(405) 997-3181
57.superintendent,Craig bMcvay,Craig Mcvay
105.superintendent,Tom Demighan,Tom Deighan
153.mailingaddress,"300 Colorado Avenue
Enid, OK 73701
(36.436558559000446, -97.86824n034099965)","300 Colorado Avenue
Enid, OK 73701
(36.436558559000446, -97.86824034099965)"
201.districtname,LUSTEE,OLUSTEE
264.boardpresident,Betty Sue Tow***,Betty Sue Tow
229.websiteurl,http://www.snyder.k12.ok.s,http://www.snyder.k12.ok.us
16.districtname,SRINGTOWN,STRINGTOWN
371.phone,(918)y 245-0289,(918) 245-0289
426.mailingaddress,"100 East Main
Earlsboro, OK 74840
(35.26789303500044, -9n6.80351995499967)","100 East Main
Earlsboro, OK 74840
(35.26789303500044, -96.80351995499967)"
282.websiteurl,htp://www.byars.k12.ok.us,http://www.byars.k12.ok.us
198.superintendent,Keivn Cansler,Kevin Cansler
486.superintendent,Dougla sMelton,Douglas Melton
103.boardpresident,Joe oiner,Joe Joiner
21.boardpresident,aAron Stockton,Aaron Stockton
398.mailingaddress,"485 Frink Rd
Mcalester, OK 74501
(34.877590401000475, -95.7893178679997)","485 Frink Rd
Mcalester, OK 74501
(34.877590401000475, -95.7893176879997)"
321.superintendent,Rodey Vollmer,Rodney Vollmer
327.code,54C09,54C029
112.mailingaddress,"27355 South 4340 Road
Vinita, OK 74301
(36.621587262000446, -95.2696890699969)","27355 South 4340 Road
Vinita, OK 74301
(36.621587262000446, -95.26964890699969)"
310.countyname,MUSKOEE,MUSKOGEE
172.boardpresident,Jack Grrett,Jack Garrett
37.code,07I400,07I040
323.fax,(580 724-3004,(580) 724-3004
2.mailingaddress,"Rural Route 6, Box 2840Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","Rural Route 6, Box 2840
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)"
254.countyname,LIgNCOLN,LINCOLN
47.superintendent,Daniel Pitman,Daniel Pittman
337.mailingaddress,"1508 Nw 106Th
Oklahoma City, OK 73114
(35.57878779300046, -97.5399490399965)","1508 Nw 106Th
Oklahoma City, OK 73114
(35.57878779300046, -97.53998490399965)"
457.phone,(580) 25-3244,(580) 925-3244
216.code,3I045,36I045
237.districtname,AFNSHAWE,FANSHAWE
44.code,08I56,08I056
389.countyname,AWNEE,PAWNEE
161.countyname,ARVIN,GARVIN
390.superintendent,Kristaj Burden,Krista Burden
502.code,720I03,72I003
264.districtname,GREENIVLLE,GREENVILLE
369.phone,(918) 336-6892***,(918) 336-6892
425.districtname,MACMB,MACOMB
517.districtname,COAPN,COPAN
77.code,11Cw066,11C066
525.districtname,LVA,ALVA
338.superintendent,Umit Alpsalan,Umit Alpaslan
393.code,6I0056,60I056
384.boardpresident,Harleoy Turner,Harley Turner
186.code,30I0v04,30I004
243.superintendent,Gant Ralls,Grant Ralls
184.countyname,HlARMON,HARMON
465.phone,(918) 775-4458***,(918) 775-4458
29.boardpresident,Dwght Mcgee,Dwight Mcgee
160.districtname,TSRATFORD,STRATFORD
502.superintendent,Jxarod Mendenhall,Jarod Mendenhall
208.superintendent,Daivd Duncan,David Duncan
193.fax,(405) 45-23052,(405) 452-3052
336.fax,(40)5 475-5561,(405) 475-5561
24.boardpresident,Jackie Cranes,Jackie Carnes
276.districtname,SAGE,OSAGE
451.code,66I00s7,66I007
62.mailingaddress,"800 M Street Ne
Ardmore, OK 73401
(34.1792238300046, -97.11194599199968)","800 M Street Ne
Ardmore, OK 73401
(34.17922386300046, -97.11194599199968)"
449.code,66oI005,66I005
495.code,7I1249,71I249
448.websiteurl,http://www.oologah.k12.o.us,http://www.oologah.k12.ok.us
39.code,0I7072,07I072
334.websiteurl,qhttp://www.crutchoesd.org,http://www.crutchoesd.org
75.websiteurl,http://www.grandviewchargers.org***,http://www.grandviewchargers.org
424.superintendent,Jebrry M. Johnson,Jerry M. Johnson
246.superintendent,Jerr yCarpenter,Jerry Carpenter
213.districtname,WAPANUCA,WAPANUCKA
367.districtname,EWAR,DEWAR
10.boardpresident,aDle Winkler,Dale Winkler
432.fax,(918) 563-4303,(918) 563-4330
284.phone,(450) 344-6375,(405) 344-6375
143.fax,(91)8 868-2707,(918) 868-2707
292.superintendent,Toni Bsutler,Toni Butler
309.websiteurl,http://www.davs.k12.ok.us,http://www.davis.k12.ok.us
250.mailingaddress,"100 Blocker Street
Arkoma, OK 74901
(35.35438026600476, -94.4326979979997)","100 Blocker Street
Arkoma, OK 74901
(35.354380266000476, -94.4326979979997)"
141.countyname,ELAWARE,DELAWARE
96.boardpresident,Philli Magby,Phillip Magby
129.countyname,CRmEEK,CREEK
22.code,0t4I123,04I123
523.phone,q(580) 472-3295,(580) 472-3295
433.fax,(918) 569-454,(918) 569-4154
494.districtname,FREqDERICK,FREDERICK
393.phone,(405) 574-5703,(405) 547-5703
217.fax,(580) 767-9596,(580) 767-9569
129.fax,(918) 227-8347***,(918) 227-8347
229.mailingaddress,"718 &quot;E&quot; Street
Snyder, OK 73566
(34.65522266000045, -98.59448603599965)","718 &quot;E&quot; Street
Snyder, OK 73566
(34.65522266000045, -98.95448603599965)"
302.superintendent,John Waker,John Walker
294.superintendent,Doug Borwn,Doug Brown
69.code,1l0I077,10I077
70.districtname,LWOREY,LOWREY
85.superintendent,Scott Van Worath,Scott Van Worth
393.mailingaddress,"103 Sw 2Nd
Perkins, OK 7409
(35.97380103000046, -97.03628480399965)","103 Sw 2Nd
Perkins, OK 74059
(35.97380103000046, -97.03628480399965)"
456.districtname,BOWLES,BOWLEGS
380.fax,(918) 78-5015,(918) 787-5015
209.districtname,MILL CEREK,MILL CREEK
20.countyname,EAVER,BEAVER
455.superintendent,gSammy Mcelvany,Sammy Mcelvany
334.mailingaddress,"2401 North Air Depot Boulevard
Oklahmoa City, OK 73141
(35.49435039400049, -97.40638389499969)","2401 North Air Depot Boulevard
Oklahoma City, OK 73141
(35.49435039400049, -97.40638389499969)"
148.mailingaddress,"103 W. Haskell
Arnett, OK h73832
(36.13474917300044, -99.77132968999967)","103 W. Haskell
Arnett, OK 73832
(36.13474917300044, -99.77132968999967)"
329.mailingaddress,"10Th &amp; Elm
Paden, OK 74860
(35.4883035990006, -96.58291685899968)","10Th &amp; Elm
Paden, OK 74860
(35.48830359900046, -96.58291685899968)"
145.districtname,SEILIG,SEILING
326.superintendent,Clemo Hiaddox,Clemo Haddox
330.districtname,OKExMAH,OKEMAH
435.code,64I00x1,64I001
53.boardpresident,Deforest Tiallbear,Deforest Tallbear
84.websiteurl,http://www.forttowsn.k12.ok.us,http://www.forttowson.k12.ok.us
452.fax,(918) 66-3910,(918) 266-3910
27.mailingaddress,"319 S. Pine St.
Erick, OK 73645
(35.21258147500047, -99.86410381699966)","319 S. Pine St.
Erick, OK 73645
(35.21258417500047, -99.86410381699966)"
247.boardpresident,Wayne Burentt,Wayne Burnett
72.code,11021,11C021
145.fax,(580) 922-80o19,(580) 922-8019
264.superintendent,Jason Midikff,Jason Midkiff
288.fax,(405) 85-2985,(405) 485-2985
429.superintendent,Terry Grhissom,Terry Grissom
306.websiteurl,http://midwa.k12.ok.us/,http://midway.k12.ok.us/
87.superintendent,rD. Ira Harris,Dr. Ira Harris
58.fax,(405) 483u-5599,(405) 483-5599
344.phone,(405) 605-5656,(405) 605-5566
135.superintendent,Tgim Carson,Tim Carson
58.mailingaddress,"105 W. Divisinon
Union City, OK 73090
(35.39179861100047, -97.9416992299997)","105 W. Division
Union City, OK 73090
(35.39179861100047, -97.9416992299997)"
357.phone,(4f05) 789-3801,(405) 789-3801
337.fax,(405) 752-633,(405) 752-6833
368.mailingaddress,"225 Country Road 2706
Bartlesville, OK 74003
(36.73325600800074, -96.00903493899966)","225 Country Road 2706
Bartlesville, OK 74003
(36.73325600800047, -96.00903493899966)"
138.code,2C1034,21C034
74.fax,(98) 598-3833,(918) 598-3833
518.superintendent,David Wilkidns,David Wilkins
468.districtname,SALLSAW,SALLISAW
256.boardpresident,arc Chapman,Marc Chapman
141.websiteurl,http://www.aknsasps.com,http://www.kansasps.com
337.phone,(405) 751-1747,(405) 751-1774
391.phone,(918) 372-45q67,(918) 372-4567
315.mailingaddress,"202 Wst Broadway Street
Muskogee, OK 74401
(35.74903208900048, -95.36978070999965)","202 West Broadway Street
Muskogee, OK 74401
(35.74903208900048, -95.36978070999965)"
154.websiteurl,http://iwww.garber.k12.ok.us/,http://www.garber.k12.ok.us/
78.districtname,KYS,KEYS
329.superintendent,Le eNorthcutt,Lee Northcutt
423.countyname,OTTAWATOMIE,POTTAWATOMIE
144.countyname,DEEY,DEWEY
184.superintendent,Jenifer Mcqueen,Jennifer Mcqueen
300.websiteurl,ttp://Butner.k12.ok.us,http://Butner.k12.ok.us
392.fax,(405) 533-n6311,(405) 533-6311
145.websiteurl,htp://www.seiling.k12.ok.us,http://www.seiling.k12.ok.us
435.websiteurl,htptp://www.rattan.k12.ok.us,http://www.rattan.k12.ok.us
309.superintendent,Mike Matin,Mike Martin
500.countyname,rTULSA,TULSA
424.districtname,bBETHEL,BETHEL
13.mailingaddress,"600 N Main
Helena, OK 73741
(36.54808954600048, -98.26707575099965)","600 N. Main
Helena, OK 73741
(36.54808954600048, -98.26707575099965)"
240.fax,(918) 436-237,(918) 436-2437
293.superintendent,Harvey Bruley,Harvey Brumley
73.boardpresident,Lea lArnall,Lea Arnall
429.websiteurl,http://wwwa.sher.k12.ok.us,http://www.asher.k12.ok.us
376.mailingaddress,"105 W. Third
Wynona, OK 74084
(36.54816002000485, -96.32703095999966)","105 W. Third
Wynona, OK 74084
(36.548160502000485, -96.32703095999966)"
496.mailingaddress,"23810 Wset Highway 51
Sand Springs, OK 74063
(36.13171115400047, -96.25825396699969)","23810 West Highway 51
Sand Springs, OK 74063
(36.13171115400047, -96.25825396699969)"
365.districtname,SCULTER,SCHULTER
309.fax,(580) 69-3507,(580) 369-3507
192.code,32I00t1,32I001
274.mailingaddress,"100 Lake Avenute
Spavinaw, OK 73466
(36.380337574000464, -95.0519889309997)","100 Lake Avenute
Spavinaw, OK 74366
(36.380337574000464, -95.0519889309997)"
36.code,07I050,07I005
165.fax,(405) 665t-5425,(405) 665-5425
464.websiteurl,http://www.mcps.tk12.ok.us,http://www.mcps.k12.ok.us
200.phone,(580) 6332219,(580) 633-2219
36.superintendent,Ryichard Thomas,Richard Thomas
407.mailingaddress,"Bnod &amp; E Street
Crowder, OK 74430
(35.123801089000494, -95.66969663799966)","Bond &amp; E Street
Crowder, OK 74430
(35.123801089000494, -95.66969663799966)"
63.mailingaddress,"16624 Us Hwy 77
Springer, OK 73485
(34.31230053100046, -97.14295729299965)","16624 Us Hwy 77
Springer, OK 73458
(34.31230053100046, -97.14295729299965)"
342.code,55E011***,55E011
150.phone,(580) d938-2586,(580) 938-2586
257.superintendent,Andy kEvans,Andy Evans
432.mailingaddress,"206 S Texas venue
Albion, OK 74521
(34.66270041500047, -95.0996970919997)","206 S Texas Avenue
Albion, OK 74521
(34.66270041500047, -95.0996970919997)"
292.countyname,MCCURTAIgN,MCCURTAIN
32.fax,(58) 920-7988,(580) 920-7988
278.countyname,MAYSE,MAYES
91.countyname,CLEVELANvD,CLEVELAND
47.phone,(405)489-3216,(405) 489-3216
363.code,56I040,56I004
121.countyname,REEK,CREEK
295.districtname,HAWORTcH,HAWORTH
332.districtname,GRHAM-DUSTIN,GRAHAM-DUSTIN
31.websiteurl,http://www.canton.k12.ok.s/,http://www.canton.k12.ok.us/
271.districtname,CIMeARRON,CIMARRON
518.fax,(918) 534-g0149,(918) 534-0149
188.mailingaddress,"Jct Hwy 2 &amp; 31
Kinta, OK 74552
(35.118943372000444 ,-95.24569796599968)","Jct Hwy 2 &amp; 31
Kinta, OK 74552
(35.118943372000444, -95.24569796599968)"
138.boardpresident,Kvein Kendrick,Kevin Kendrick
443.phone,(850) 473-2221,(580) 473-2221
270.mailingaddress,"408 East Broadway Street
Fairview, OK 73737
(36.26905261000048, -98.47588420599965)","408 East Broadway Street
Fairview, OK 73737
(36.26902561000048, -98.47588420599965)"
527.districtname,FREEDoOM,FREEDOM
207.superintendent,David Herrno,David Herron
230.code,39I01,39I001
257.fax,v(405) 567-3095,(405) 567-3095
299.countyname,MCURTAIN,MCCURTAIN
307.phone,(918) 657-523,(918) 657-2523
236.fax,9(18) 653-2525,(918) 653-2525
529.phone,(580) 94-5388,(580) 994-5388
435.mailingaddress,"423 West Main
Rattan,c OK 74562
(34.29025088800046, -95.23929777299969)","423 West Main
Rattan, OK 74562
(34.29025088800046, -95.23929777299969)"
384.websiteurl,htp://www.miami.k12.ok.us,http://www.miami.k12.ok.us
60.countyname,CNADIAN,CANADIAN
285.districtname,WASHINTGON,WASHINGTON
475.phone,(50) 439-2467,(580) 439-2467
212.countyname,vJOHNSTON,JOHNSTON
430.code,63I15,63I115
468.boardpresident,Jaon Ely,Jason Ely
35.phone,(58)0 296-2624,(580) 296-2624
316.websiteurl,http://www.hilldale.k12.ok.us***,http://www.hilldale.k12.ok.us
491.countyname,EXAS,TEXAS
287.districtname,UPRCELL,PURCELL
398.code,6w1C029,61C029
520.fax,(918) 337-3463,(918) 337-3643
416.phone,(58) 265-4241,(580) 265-4241
289.phone,(580 286-3961,(580) 286-3961
263.websiteurl,http://www.coyle.k12.ok.su,http://www.coyle.k12.ok.us
54.phone,(405v) 262-5647,(405) 262-5647
173.superintendent,Jim Washurn,Jim Washburn
183.superintendent,Gary ightingale,Gary Nightingale
458.countyname,SEIMNOLE,SEMINOLE
34.districtname,ACHtILLE,ACHILLE
509.boardpresident,atricia Lawson,Patricia Lawson
347.fax,(05) 277-3498,(405) 277-3498
12.phone,(5w80) 596-3391,(580) 596-3391
164.phone,(405) 238-6e453,(405) 238-6453
124.code,91I017,19I017
185.countyname,ARPER,HARPER
380.code,58C01s0,58C010
462.phone,(05) 944-5530,(405) 944-5530
171.countyname,RGADY,GRADY
250.countyname,LE FLORvE,LE FLORE
497.phone,(91)8 828-7727,(918) 828-7727
3.fax,(918) 6963654,(918) 696-3654
153.superintendent,Royhdon Tilley,Roydon Tilley
223.mailingaddress,"604 East Oklahoma Street
Henenssey, OK 73742
(36.10937236700045, -97.89249068399965)","604 East Oklahoma Street
Hennessey, OK 73742
(36.10937236700045, -97.89249068399965)"
134.mailingaddress,"2130 W. Gary Blvd
Clinton, OK 73601
(35.506218782000474, -98.9863891559996j9)","2130 W. Gary Blvd
Clinton, OK 73601
(35.506218782000474, -98.98638915599969)"
138.fax,(918) 422-5917,(918) 422-5971
180.phone,580) 532-4242,(580) 532-4242
367.code,56I0j08,56I008
275.websiteurl,http://www.wickliffeschool.coam,http://www.wickliffeschool.com
266.mailingaddress,"22069 State Hwy.32Burneyville, OK 73430
(33.94040414500046, -97.31895046399967)","22069 State Hwy.32
Burneyville, OK 73430
(33.94040414500046, -97.31895046399967)"
329.websiteurl,http://www.paden.k21.ok.us,http://www.paden.k12.ok.us
332.fax,(198) 652-2422,(918) 652-2422
449.countyname,ROERS,ROGERS
100.phone,(580) 353g-4870,(580) 353-4870
172.districtname,NINNEAKH,NINNEKAH
435.phone,(580) 587-b2546,(580) 587-2546
362.countyname,OKMLGEE,OKMULGEE
379.websiteurl,http://wwwwoodland.k12.ok.us/,http://www.woodland.k12.ok.us/
281.phone,v(918) 476-8376,(918) 476-8376
298.superintendent,Delbertz Mcbroom,Delbert Mcbroom
314.code,51I08,51I008
504.boardpresident,Chck Forbes,Chuck Forbes
150.countyname,LELIS,ELLIS
367.superintendent,ToddB een,Todd Been
8.code,01I011***,01I011
461.countyname,SEMINOEL,SEMINOLE
349.districtname,DEER hCREEK,DEER CREEK
483.mailingaddress,"107 E 5Th Spt.
Optima, OK 73945
(36.861055947000466, -101.20984803999966)","107 E 5Th St.
Optima, OK 73945
(36.861055947000466, -101.20984803999966)"
24.fax,(580) 225-5496,(580) 225-5469
336.mailingaddress,"1260 N Kelley Ave.
Okc, OK 73131
(35.59772044300047, -97.49585627399966)","12600 N Kelley Ave.
Okc, OK 73131
(35.59772044300047, -97.49585627399966)"
100.superintendent,Hwoard Hampton,Howard Hampton
203.mailingaddress,"340 Apache Avenue
Terral, OK 73569
(33.896827128000475, -97.9404313119997)","340 Apache Avenue
Terral, OK 73569
(33.896821728000475, -97.9404313119997)"
448.mailingaddress,"1070 0South Hwy 169
Oologah, OK 74053
(36.45811960900045, -95.70727352499966)","10700 South Hwy 169
Oologah, OK 74053
(36.45811960900045, -95.70727352499966)"
250.websiteurl,htts://sites.google.com/site/arkomak12/,https://sites.google.com/site/arkomak12/
480.fax,(580 )252-4231,(580) 252-4231
448.superintendent,Rob Armtsrong,Rob Armstrong
184.code,29I66,29I066
167.websiteurl,http://www.fiend.k12.ok.us,http://www.friend.k12.ok.us
257.countyname,ILNCOLN,LINCOLN
273.boardpresident,Manuel Floores,Manuel Flores
376.code,5I030,57I030
489.boardpresident,Tim Luncefod,Tim Lunceford
223.fax,(4i05) 853-4439,(405) 853-4439
352.countyname,OKLAHMA,OKLAHOMA
111.boardpresident,oRger Fisher,Roger Fisher
460.superintendent,Kyle Wilsofn,Kyle Wilson
183.countyname,GRxEER,GREER
474.fax,(91) 775-8557,(918) 775-8557
25.phone,(580) 225-0175***,(580) 225-0175
128.fax,(918) 247-6m120,(918) 247-6120
463.countyname,SEQUYOAH,SEQUOYAH
