agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
30700,INTERSTATE OIL COMPACT COMM.,230,Interst Oil Comp Fund Of Ok,"TITLE 52, SEC. 207",2011,7,$1245106.69
30700,INTERSTATE OIL COMPACT COMM.,426,Oil uSetlmt Fund-Stripper Well,"TITLE 62, SEC 7.5",2011,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,200,OSBI Revolving Fund,"TITLE 74, SEC. 150.19 A",2011,7,$3408114.07
30800,STATE BUREAU OF INVESTIGATION,210,Automated Fngrprt Id Sys. Fd.,"TITLE 74, SEC. 150.25",2011,7,$1795573.74
30800,STATE BUREAU OF INVESTIGATION,215,Firearms Laboratory Improvemnt,"TITLE 74, SECTION 150.32",2011,7,$.00
30800,STATE BUREAU OF INVESTIGATION,220,Forensic Science Impr Rev Fund,"TITLE 74, SECTION 150.35",2011,7,$472385.50
30800,STATE BUREAU OF INVESTIGATION,230,Ok Crim Justice Res Rev Fund,,2011,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,400,Federal bGrant Funds,"TITLE 62, SEC. 34.48",2011,7,$615.19
30800,STATE BUREAU OF INVESTIGATION,490,American Recov. & Reinv. Act,,2011,7,$2.32
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,200,Disaster Relief Matching Fund,"TITLE 63, SEC. 683.24",2011,7,$645182.37
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,320,Individual & Family Grants,"TITLE 62, SECTION 34.9",2011,7,$0.0o0
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,400,Spec Fed Matching Fund,"TITLE 63, SEC. 683.17",2011,7,$322601.96
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,410,US DOT Matching Funds - Cem,"TITLE 27A, SEC 4-2-102 AND TITLE 62, CH 1, SEC 34.9 AND 34.48",2011,7,$0.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,424,St Emerg Fund: Disatser Match,"TITLE 62, SEC. 139.47",2011,7,$175231.20
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,425,Odd Federal Year: CCA Oper,"TITLE 63, SEC. 683.17",2011,7,$353523.22
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,440,Even Federal Year: Oper,"ITLE 63, SEC. 683.17",2011,7,$155664.63
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,470,Fed Disaster Assist Fed Funds,"TITLE 63, SEC. 683.17",2011,7,$9087.96
31000,STATE FIRE MARHSAL,200,State Fire Marshal Revolvg Fnd,"TITLE 74, SEC. 324.20B",2011,7,$686467.72
31000,STATE FIRE MARSHAL,210,Firefighter Training Rev Fund,,2011,7,$94472.08
31000,STATE FIRE MRASHAL,400,Homeland Security Federal Fund,,2011,7,$-49.15
31500,FIREFIGHTERS PENS. & RET. SYST.,200,Firefigthters Pens & Ret Fund,"TITLE 11, SEC. 49-122.1",2011,7,$490195.37
32000,DEPARTMENT OF WILDLIFE CONSERVATION,200,Wildlife Conservation Fund,"TITLE 29, SEC. 3-302",2011,7,$1133224.98
32000,DEPARTMENT OF WILDLIFE CONSERVATION,205,Wildlife Diversity Fund,"TITLE 29, SEC. 3-310",2011,7,$759320.02
32000,DEPARTMENT OF WILDLIFE CONSERVATION,210,Wildlife Land Acquisition Fund,"lTITLE 29, SEC. 4-132",2011,7,$2680517.26
32000,DEPARTMENT OF WILDLIFE CONSERVATION,215,Wildlife Heritage Fund,"TITLE 29, SEC. 4-134",2011,7,$2185064.45
32000,DEPARTMENT OF WILDLIFE CONSERVATION,220,Wildlife Land Fund,TITLE 29 SEC 4-141,2011,7,$4724547.58
32600,OFFICE OF DISABILITY CONCERNS,200,Office Of Handicapped Concerns,"TITLE 74, SEC. 9.33",2011,7,$15.66
32600,OFFICE OF DISABILITY CONCERNS,400,Client Assistance Fed Fnuds,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$19.423
34000,STATE DEPARTMENT OF HEALTH,200,Primary Hlth Care Dvlpment Rev,,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,202,Kidney Health Revolving Fund,"TITLE 63, SEC. 1-2603",2011,7,$625107.75
34000,STATE DEPARTMENT OF HEALTH,203,Genetic Counseling Licen. Rev,"TITLE 63, SECTION 1-570",2011,7,$6328.50
34000,STATE DEPARTMENT OF HEALTH,205,Plumbing Licene Law Rev Fund,"TITLE 59, SEC. 1018",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,207,Alternatives to Abortion Servi,"TITLE 63, SECTION 1-740.12",2011,7,$87154.83
34000,STATE DEPARTMENT OF HEALTH,210,Public Health Special Fund,"TITLE 63, SEC. 1-107",2011,7,$5937443.88
34000,TATE DEPARTMENT OF HEALTH,211,Nursing Facil Adm Penalty,"TITLE 63, SECTION 1-108.1B",2011,7,$199014.58
34000,STATE DEPARTMENT OF HEALTH,212,Home Health Care Revolving Fd,"TITLE 63, SEC. 1-1971",2011,7,$268392.87
34000,STATE DEPARTMENT OF HEALTH,215,Okla Inspectors Revlving Fund,"TITLE 59, SEC. 1042",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,217,Home Inspec Lic Act Revol Fund,"TITLE 59, SECTION 858-662",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,218,Fire Extinguisher Ind Rev Fund,***,2011,7,$43719.89
34000,STATE DEPARTMENT OF HEALTH,222,Oklahoma Organ Donor Education,"TITLE 63, SECTION 2220.3",2011,7,$369200.15
34000,STATE DEPARTMENT OF HEALTH,225,Breast Cancer Ac Revolving Fd,"TITLE 63, SECTION 1-557",2011,7,1$50765.12
34000,STATE EDPARTMENT OF HEALTH,228,OK Leukemia and Lymphoma,"TITLE 68, SECTION 2368.15",2011,7,$41220.00
34000,STATE DEPARTMENT OF HEALTH,229,MS Society Revolving Fund,,2011,7,$4489.00
34000,STATE DEPARTMENT OF HEALTH,230,Lic Marital & Fam Therpst Fnd,"TITLE 59, SECTION 1925.17",2011,7,$192413.m67
34000,STATE DEPARTMENT OF HEALTH,233,"OK Prev Birth Def, Pre Birth &","ITLE 47, SECTION 1104.14",2011,7,$92.00
34000,STATE DEPARTMENT OF HEALTH,236,Trauma Care Assistance Revolv,"TITLE 63, SETION 1-2530.9",2011,7,$18353286.24
34000,STATE DEPARTMENT OF HEALTH,245,Electrical Revolving Fund,"TITLE 59, SEC. 1694",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,250,Regional Guidance Centers,"TITLE 63, SEC. 1-208.1 (B)",2011,7,$2640.98
34000,STATE DEPARMENT OF HEALTH,255,Lic. Prof. Counselors Rev. Fd.,"TITLE 59, SEC. 1918",2011,7,$451041.38
34000,STATE DEPATRMENT OF HEALTH,257,Lic Behavrl Practnr Revl Fund,"TITLE 59, SECTION 1946",2011,7,$71893.82
34000,SATE DEPARTMENT OF HEALTH,264,Health Dept Media Campaign Fnd,TITLE 63 SECTION 1-107.3,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,265,Child Abuse Prevention Fund,"TITE 63, SEC. 1-227.8",2011,7,$274664.75
34000,STATE DEPARTMENT OF HEALTtH,266,Children First Fund,,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,267,EMP Death Benefit Revolv tFund,,2011,7,$92820.00
34000,STATE DEPARTMENT OF HEALTH,268,Okla Emerg Resp Syst Stab & Im,,2011,7,$2124813.78
34000,STATE DEPARTMENT OF HEALTH,270,Okla Barber Licensing Rev Fund,"TITLE 59, SEC. 61.3",2011,7,$103564.17
34000,STATE DEPARTMENT OF HEALTH,275,Okla Mech Licensing Rev Fund,"TITLE 59, SEC. 1850.13",2011,7,$0.00
34000,STATE DEPATRMENT OF HEALTH,280,Alarm Industry Revolving Fund,"TITLE 59, SEC. 1800.14",2011,7,$1035959.84
34000,STATE DEPARTMENT OF HEALTH,284,Dental Loan Repayment Revolvin,,2011,7,$33205.35
34000,STATE DEPARTMENT OF HELTH,285,OK Ins Disaster & Emer Med ev,"TITLE 63, SEC. 1-2523",2011,7,$265838.49
34000,STATE DEPARTMENT OF HEALTH,290,Ok Safe Kids Asso Rev Fund,"TITLE 47, SEC1 135.5.B.13",2011,7,$860.00
34000,STATE DEPARTMENT OF HEALTH,295,Ok State Ath Comm Revolving Fd,"TITLE 3Ai, SECTION 616",2011,7,$144380.53
34000,STATE DEPnARTMENT OF HEALTH,300,Tobacco Settlement Fund,"TITLE 62, SECTION 50",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,340,CMIA Programs Disbursing Fund,"TITE 62, SECTIONS 34.9 AND 34.48",2011,7,$11883.66
34000,STATE DEPARTMENT OF HEALTH,400,Federal unds,"TITLE 63, SEC. 1-108",2011,7,$6609459.51
34000,STATE DEPARTMENT OF HEALTH,490,AmericanR ecov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$236328.38
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,200,Medical Examiner Special Fund,"TITLE 63, SEC. 954",2011,7,$443188.04
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,215,Toxicology Laboratory Fund,SB 1589 2004 LEGISLATURE,2011,7,$13770.82
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,400,Fderal Funds,"TITLE 62, SEC. 34.48",2011,7,$73097.61
34300,ST. BD. OF EXAMINERS OF PERFUSIONISTS,200,Perfusionists Licensure Fund,"TITEL 59, SECTION 2058",2011,7,$72973.33
34500,DEPARTMENT OF TRANSPORTATION,210,Railroad Mainten Rev Fund,"TITLE 66, SEC. 309",2011,7,$9362211.13
34500,DEPARTMENT OF TRANSPORTATION,211,Okla Tourism And Passenger Rai,"TITLES 66, SECTION 325",2011,7,$8036384.73
34500,DEPARTMENT OF TRANSPORTATION,220,Highway Construction Materials,"TITLE 69, SECTION 1936",2011,7,$184382.64
34500,DEPATMENT OF TRANSPORTATION,225,Public Transit Revolving Fund,"TITLE 69, SEC. 4031 (1990)",2011,7,$602051.51
34500,DEPARTMENT OF TRANSOPRTATION,230,County Road Mach & Equip Fuqnd,"TITLE 69, SEC. 636.1",2011,7,$7059215.37
34500,DEPARTMElNT OF TRANSPORTATION,235,County Road Improvement Fund,"TITLE 69, SEC. 690",2011,7,$3952035.87
34500,DEPARTMENT OF TRANSPORTATION,250,Cty Bridge And Road Imprv Fund,"REPEALED BY LAWS 2010, SB 2173, C. 256, § 13, EMERG. EFF. JULY 1, 2010.",2011,7,$4874165.98
34500,DEPARTMENT OF TRANSPORTATION,265,Weigh Station Imprv Rev Fnd,"SB 141,v SECTION 3E",2011,7,$22309021.07
34500,DEPARTMENT OF TRANSPORTATION,270,Income Tax Checkoff Revolv Fnd,"TITLE 68, SECTION 2368.6",2011,7,$21032.00
34500,DEPARTMENT OF TRANSPORTATION,275,Rebldg Ok Access & Drvr Safety,HB 1078 SECTION 1A,2011,7,$36843130.85
34500,DEPARTMENT OF TRANSPORTATION,280,High Priority State Bridge Rev,TITLE 69 SECTION 506,2011,7,$1381612.98
34500,DEPARTMENT OF TRANSPORTATION,285,CO Improve for Roads & Bridges,TITLE 69 SECTION 507,2011,7,$194943855.80
34500,DEPARTMENT OF TRANSPORTATION,290,State Transportation Fund,TITLE 69 SECTION 1501.1,2011,7,h$9000000.00
34500,DEPARTMENT OF TRANSPORTATION,310,Const & Maintenance Fund,"TITLE 69, SEC. 1501",2011,7,$52079143.83
34500,DEPARTMENT OF TRANSPORTATION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$43774720.93
34500,DEPARTMENT OF TRANSPORTATION,400,County Bridge Revolving Fund,"TITLE 69, SEC. 664",2011,7,$2010640.38
34500,DEPARTMENT OF TRANSPORTATION,490,American Recov. & Reinv. cAt,,2011,7,$115673.70
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,200,Ok Space Industry Devl Auth Fd,"TITLE 74, SECTION 5208.1",2011,7,$1433843.43
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,210,OK Spaceport Mgmt,"TITLE 74, SECTION 5208.2",2011,7,$230874.30
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,215,Aerospace Industrial Park Fund,,2011,7,$113138.56
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,400,Federal Fund - NASA,"TITLE 62, SEC 34.48, 34.9",2011,7,$0.42
35000,HIySTORICAL SOCIETY,200,Revolving Fund,"TITLE 53, SEC. 1.10",2011,7,$8593.52
35000,HISTORICAL SOCIETY,210,Cherkee Strip Museum Wing Rev,"TITLE 62, SECTION 7.5",2011,7,$46618.63
35000,HISTORICAL SOCIETY,220,Capitol Improvement Revolv Fnd,"TITLE 53, SECTION 1.10A",2011,7,$16588.69
35000,gHISTORICAL SOCIETY,225,OK Hist Soc Cap Imprv&Op Revl,,2011,7,$423486.55
35000,HISTORICAL SOCIETY,230,Centennial Cmmission Rev. Fd.,"TITLE 73, SECTION 98.5",2011,7,$3502.00
35000,HISTORICAL SOCIETY,240,1921 Toulsa Race Riot Cm Rev Fd,"HB 2468, SECTION 4",2011,7,c$0.00
35000,HISTORICAL SOCIETY,250,Commissioning of Art in Public,"TITLE 74, CH 110A, SEC 9030.6",2011,7,$495164.75
35000,ISTORICAL SOCIETY,260,Atr in Public Places Administr,"TITLE 74, CH 110A, SEC 9030.7",2011,7,$267o183.66
35000,HISTORICAL SOCIETY,400,Fed Gr 69-1-Restor Histor Site,"TITLE 62, SEC. 34.48",2011,7,$46272.79
35300,OKLA. HORSE RACING COM.,200,Equine Drug Testing Rev. Fund,"TITLE 3A, SECTION 204.1 B",2011,7,$-17357.01
35300,OKLA. HORSE RACING COMM.,205,Breeding DevelopmentA dministr,"TITLE 3A, CHAPTER 2, SECTION 208.3",2011,7,$11.55
35300,OKLA. HORSE RACING COMM.,210,Law Enforcement Revolving Fnd,"TITLE 62, SEC 34.h9",2011,7,$136005.63
35300,OKLA. HORSE RACING COMM.,215,Gamng Regulation Revolving Fd,"TITLE 3A, CH 2, SEC 282",2011,7,$1261477.72
35300,OKLA. HORSE RACING COMM.,220,Oklahoma Quarter Horse Revolvi,TITLE 47 SECTION 1104.12,2011,7,$8380.00
35500,OKLA. HUMAN RIGHTS COMM.,440,Federal Funds,"TILE 62, SEC 34.48, 34.9",2011,7,$361014.29
35900,ENERGY RESOURCES BOARD,200,Energy Resources Revolving Fun,"TITLE 52, SEC. 288.7.A",2011,7,$9775350.45
36000,OKLA. INDIAN AFFAIRS COMMISSION,200,Ok. Indian Affairs Commission,"TITLE 74, SEC. 1205",2011,7,$7463.58
36900,WORKERS CMOPENSATION COURT,200,Adm Of Worker's Comp Rev Fund,"TITLE 85, SEC. 95",2011,7,$175384.29
37000,OK. INDUSTRIAL FINANCE AUTH.,200,Indust Development Loan Fund,"TITLE 74, SEC. 860 A",2011,7,$2181783.41
37000,OK. INDUSTRIAL FINANCE AUTH.,805,Indust Fin Auth Bond Redem Fnd,"TITLE 74, SECTION 860 E",2011,7,$10b867.12
37000,OK. INDUSTRIAL FINANCE AUTH.,810,Indus Finance Auth Inter Fund,"TITLE 74, SEC. 860D",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,200,Ins Commissioner Rev Fund,"TITLE 36, SEC. 435.23",2011,7,$6790835.20
38500,OKLAHOMA INSURANCE DEPARTMENT,205,Private Grant Fund,,2011,7,$0.00***
38500,OKLAHOMA INSURANCE DEPARTMENT,215,KFF Grant Fund,,2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,220,Bail Bondsmen Revolving Fund,"TITLE 59, SEC. 1337",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,225,Real Estate Appraisers Bd,"TzITLE 59, SEC 858-730 (1991)",2011,7,$38939231
38500,OKLAHOMA INSURANCE DEPARTMENT,230,Insurance Dept Anti - Fraud,"TITLE 36, CH. 1, ART. 3, SEC. 307.5",2011,7,$0.00
38500,OKLAHOMA INSURANCE DEPARTMENT,235,Captive Ins. Regul & Supervisi,"TITLE 36, SECTION 6470.24",2011,7,q$0.00
38500,OKLAHOMA INSURANCE DEARTMENT,410,Federal Grant Fund,"TITLE 62, SEC 34.48 & 34.9",2011,7,$5451.69
39000,COMPSOURCE OKLAHOMA,200,State Insurance Fund,"TITLE 85, SECTION 375",2011,7,$757570.33
40000,OFFICE OF JUVENILE AFFAIRS,200,OJA Revolving Fund,"TITLE 62, SECTOIN 34.9",2011,7,$969349.48
40000,OFFgICE OF JUVENILE AFFAIRS,202,Health Insur Portability,"HB 2487, SECTION 9",2011,7,$g0.00
40000,OFFICE OF JUVENILE AFFAIRS,205,Parental Responsibility Fund,"TITLE 62, SEC. 34.9",2011,7,z$268534.07
40000,OFFICE OF JUVENILE AFFAIRS,210,Santa Claus Commission Rev Fd,"TITLE 62, SECTION 155; TITLE 10, SECTION 361",2011,7,$87793.53
40000,OFFICE OF JUVENILE AFFAIRS,400,Delinquency Prevention Fund,"TITLE 62, SECTIO 34.48 & 34.9",2011,7,$516069.16
40000,OFFICE OF JUVENILE AFFAIRS,405,Fed Grant Fund-Pass Through,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$44826.73
40000,OFFICE OF JUVENILE AFFAIRS,410,Fed Grant Fund - Reimbursement,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$2782849.70
40000,OFFICE OF JUVENILE AFFAIRS,415,Juv Acct Inct Blk Grant Fund,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$1077207.48
40500,DEPARTMENT OF LABOR,200,Dept. Of Labor Revolving Fund,"TITLE 40, SECTpION 141.19",2011,7,$433793.31
40500,DEPARTMENT OF LABOR,205,Worker's Comp Enforcemt Fund,"TITLE 85, SEC. 63.1 C",2011,7,$0.00
40500,DEPARTMENT OF LABOR,210,Safety Standards Revolvin Fun,,2011,7,$0.00
40500,DEPARTMENT OF LABOR,215,Safety Consult & Reg Fund,"REPEALED BY SB 878, 2011",2011,7,$245600.23
40500,DEPARTMENT OF sLABOR,216,Elevator Safety Revolving Fund,"TITLE 59, CH 56A, SEC 3025",2011,7,$0.00
40500,DEPARTMENT OF LABOR,410,Federal Fund,"TITLE 62, SEC. 34.48",2011,7,$637310.83
41000,COMM. OF THE LAND OFFICE,200,Revolving Fund,"TITLE 64, SEC. 1011",2011,7,$29174.37
41000,COMM. OF THE LAND OFFICE,400,Grants,"TITLE 62, SEC. 34.48,34.9",2011,7,$0.00
41500,COUNCIL ON LAW ENFC. kED. & TRNG.,205,Firearms Instructor Rev. Fund,"21 O.S., SEC. 1290.14F",2011,7,$21913.48
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,210,Peace Officer Revolving Fund,,2011,7,$3140.17
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,215,Cleet Training Center Rev Fund,"TITLE 70, SECTION 3311.6",2011,7,$277214.97
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,220,CLEET Private Security Revl Fd,,2011,7,$36429.94
41500,COUNCIL ON LAW ENFC. ED. & TRNG.,499,Surplus Property Fund,,2011,7,k$0.00
41600,OK. LAW ENFORCE. RET. SYSTEM,200,Ok Law Enf Ret Rev Fund,"TITLE 47, SEC. 2-301 AND TITLE 62, SEC. 7.5",2011,7,$373805.32
42000,LANGSTON UNIVERSITY,290,Educ & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$472348.27
42000,LANGSTON UNIVERSITY,295,Capitol Improvements Rev Fund,,2011,7,$66785.59
42000,LANGSTON UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2011,7,$0.00
42000,LANGSTON UNIVERITY,430,Agency Relartionship Fund,"TITLE 62, SEC. 41.8",2011,7,$1130214.76
42000,LANGSTON UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$c0.00
42000,LANGSTON UNIVERSITY,475,Rev Bond Fd/Cap Ilmprovements,"TITLE 70, ESC. 4001",2011,7,$4192.97
42000,LANGSTON UNIVERSITY,479,Capital Bond Projects,,2011,7,$23109.58
42000,LANGSTON UNIVERSITY,480,ODFA Rev Bonds Series 1999 A,"SENATE CONCURRENT RESOLUTION NO. 12, 1997",2011,7,$0.00
42000,LANGSTON UNIVERSITY,486,Stadium Revenue Bon dFund,"TITLE 70, SECTION 4002.1",2011,7,$0.00***
42000,LANGSTON UNIVERSITY,490,American ecov. & Reinv. Act,,2011,7,$c0.00
42000,LANGSTON UNIVESITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$123286.27
42000,LANGSTON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE70, SEC. 3904",2011,7,$781353.49
42100,OKLAHOMA STATE SENATE,200,State Senate Revolving Fund,"TITLE 62, SECTION 159.1",2011,7,$2872.68
42200,OK. HOUSE OF REPRESENTATIVES,200,House Of Rep Revolving Fund,"TITLE 62, SECTION 159.2",2011,7,$262238.51
42300,LEGISLATIVE SERVICE BUREAU,200,Revolving und,"TITLE 62, SEC. 34.9, 34.49",2011,7,$662453.81
42300,ELGISLATIVE SERVICE BUREAU,205,Criminal Code Revolving Fund,"TITLE 62, SECTION 34.9",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,210,Ok Crim Justice Res Ctr Rev Fd,"ITLE 22, SEC. 1517",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,405,OCJRC - VAWA Fed Fund,"TITLE 22, SEC. 1517",2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,406,OCJRC - SAC Fed Fund,,2011,7,$0.00
42300,LEGISLATIVE SERVICE BUREAU,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
43000,DEPARTMENT OF LIBRARIES,200,Revolvidng Fund,"TITLE 65, SEC. 3-107",2011,7,$1036218.62
43000,DEPARTMENT OF LIBRARIES,400,Federal Library Funds,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$788361.12
43000,DEPARTMENT OF LIBRARIES,405,Federal Pass Through Funds,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$4191.29
43000,DEPARTMENT OF LIBRARIES,410,Fed GrtF unds Special Projects,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$10128.97
43000,DEPARTMENT OF LIBRARIES,415,Fed Grt Librarians 21stCentur,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$18770.79
43000,DEPARTMENT OF LIBRARIES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2011,7,$8907.50
43500,OKLAHOMA LOTTERY COMMISSION,200,Ok Education Lottery Rev Fund,"TITLE 3A, CH 7, SEC 713",2011,7,$1019414.09
43500,OKLAHOMA LOTTERY COMMISSION,205,Fidelity Revolving Fund,"ITLE 3A, CH 7, SEC 719",2011,7,$10104.48
44400,"LP GAS RESEARCH, MARKETING, & SAFETY",205,Lp GasRes Mrkt & Sfty Rev Fnd,"TITLE 52, CH 8, SEC 42.26",2011,7,$881930.19
44400,"LP GAS RESEARCH, MARKETING, & SAFETY",215,Lp Gas Res Mrkt & Sfty Reimbur,"O.S .52, SEC 420.29",2011,7,$388899.77
44500,LIQUEFIED PETROLEUM GAS BD,200,Liquified Petroleum Gas Fund,"TTILE 52, CH 8, SEC 420.11",2011,7,$508885.03
44600,MARGINALLY PROD. OIL & GAS WELLS,200,Revolving Fund,"TITLE 52, SEC 705",2011,7,$669499j.65
44800,BD OF LIC ALCOHOL & DRUG COUNS,200,Revolving Fund,"TITLE 59, CH 43B, SEC 1883",2011,7,$8424.15
45000,BD. OF MED. LICENSURE & SUPV.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$3098874.30
45000,BD. OF MED. LICENSURE & SUPV.,210,Allied Prof. Peer Assist. Fund,,2011,7,$200000.00
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,200,Dept Of Mental Health Rev Fund,"TITLE 43A, SEC. 2-303",2011,7,$959128.13
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,202,Health Insur Portability,"HB 2487, SECTION 8 & 15",2011,7,0.29
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,220,Drug Abuse Ed & Treatment Fund,"TITLE 63, SECTION 2-50l3.2",2011,7,$222478.30
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,230,Capital Outlay Fund,"TITLE 43A, SEC. 2-107",2011,7,$332249.73
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,240,Group Housing Loan Rev. Fund,"TITLE 62, SEC 34.9",2011,7,$63933.53
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,245,Comm-Based Substance Abuse Rev,"TITLE 43A, SE.C 2-311",2011,7,$509303.88
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,250,Prevention of Youth Access to,,2011,7,$31891.89
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,260,MAC Disallowance Fund,***,2011,7,$1477735.31
45200,MENTAL HEALTH AND SUBSTANCE ABUSE ESRV.,300,Tobacco Settlement Fund,"TITLE 62, SECTIxON 50",2011,7,$0.00
45200,MENTAL HEALTH AND SUBSTANCE ABUSyE SERV.,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.48 ADN 34.9",2011,7,$103784.43
45200,MENTAL HEALToH AND SUBSTANCE ABUSE SERV.,405,Fed Library Fund Title Iv-A,"TITLE 62, SEC. 41.8 AND TITLE 43A, SEC. 2-105",2011,7,$0.00
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,410,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2011,7,$1099390.13
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,440,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2011,7,$27169z.17
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,442,Interagency Reimbursement Fund,"TITLE 43A, SEC. 2-310",2011,7,3$83198.48
45200,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,490,American Recov. & Reinv .Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$0.00
46100,ROGERS STATE UNIVERSITY,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$6963512.96
46100,ROGERS STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1429204.52
46100,ROGERS STATEUNIVERSITY,430,Agency Relationship Fund,"TTILE 62, SEC. 41.8",2011,7,$819139.32
46100,ROGERS STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
46100,ROGERS STATE UNIVERSITY,460,Donation Fund For Cap Improve,"TITLE 70, SECTION 3305F",2011,7,$153.97
46100,ROGERS STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$0.00
46100,ROGERS STATE UNIVERSITY,480,2007 Student Facility Rev Bond,,2011,7,$0.00
46100,ROGERS STATE UNIVERSITY,490,American Recov. & einv. Act,,2011,7,0.00
47000,MURRAY STATE COLLEGE,290,Edu & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$5756551.32
47000,MURRAY STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$740410.41
47000,MURRAY STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41d.8",2011,7,$87507.35
47000,MURRAY STATE COLLEGE,444,Auxiliary Travel & Payrll,"TITLE 62, SEC. 7.5",2011,7,$30.00
47000,MURRAY STATE COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$.10
47000,MURRAY STATE COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
