OBJECTID,FISH_TYPE,MGMT_AREA,COMMENT,STREAM_NO,STREAM,LAKE_NO,LAKE,SHAPE_Length,SHAPE_Area
448,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,2790,Strong Pond,2787.74409073352,101116.715512874
449,Trout,William 'Doc' Skerlick Trout Management,In Westport from Dorr's Mill Dam to the Merritt Parkway,1515,Saugatuck River,3015,Unnamed lake with dam,1306.61507972375,98332.1583174294
450,Trout,William 'Doc' Skerlick Trout Management,In Westport from Dorr's Mill Dam to the Merritt Parkway,1515,Saugatuck River,2578,Shallow Pond,1358.2041381041,36395.5954560049
451,Trout,William 'Doc' Skerlick Trout Management,In Westport from Dorr's Mill Dam to the Merritt Parkway,1515,Saugatuck River,3016,Unnamed lake with dam,5261.67756436341,138416.625071386
452,Trout,William 'Doc' Skerlick Trout Management,In Westport from Dorr's Mill Dam to the Merritt Parkway,1515,Saugatuck River,0, ,1547.35034203662,30139.2860946832
453,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,40188.2610619186,4698380.2796808
454,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,1324,Hydraulic Pond,537.889868600675,12257.4729415849
455,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,1324,Hydraulic Pond,423.232483530551,7715.3119501246
456,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,1324,Hydraulic Pond,815.257731942527,19727.677619688
457,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,740.167887104654,29686.9898884151
458,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1319.99720713471,87216.8289837633
459,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,0, ,1357.77684870007,34543.5932309838
460,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,0, ,6088.62678267443,121472.092157693
461,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,2242.77349356468,358022.091493384
462,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,3030,Upper Mianus River Dam,3749.86007266959,658176.132206104
463,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,420.340011106397,7848.83180396247
464,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,40929.0988196727,15161518.2060801
465,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,0, ,17866.1597921285,366611.615858218
466,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,2886.23984881828,132149.133448257
467,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1684.42575947443,81037.7445083542
468,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,2653.68686245472,256108.830613699
469,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1367.68522417825,76353.8706771778
470,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,15291.6143306862,1163176.92571107
471,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1446.30049425424,132542.635319995
472,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1439.93279348062,34882.9999839225
473,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,3461.88846314629,493743.979242398
474,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,156.54612545871,1396.21299102967
475,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,7621.67210106578,623138.023539618
476,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,5359.75034842951,899698.877197385
477,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1923.96593056086,96314.8963917304
478,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,129.485986891476,1068.21207798072
479,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,266.420313407029,3473.32757514742
480,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,851.606436879293,31904.2323797516
481,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,661.757228946067,14470.1905593347
482,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1337.67916507764,55723.4927652188
483,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,473.52318013246,8411.82578795208
484,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,3250.43420992364,98542.6585615693
485,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,122.449065485448,700.584672792648
486,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,229.556223888088,2700.65697642097
487,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,113.0812451943,887.197161421077
488,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,124.972554072125,1105.78371666673
489,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,121.451136942503,972.573250290428
490,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1333.81669820098,65893.3280223902
491,Trout,Sea Run Trout/TMA,From Merrybrook Road upstream approximately 1 mile to dam as indicated by signs.,1081,Mianus River,0, ,345.136701939351,5401.75727855012
492,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,716.945235086308,25332.1936143331
493,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,745.22132647714,25291.1571095681
494,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,4962.77806872771,798050.630334604
495,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1270.29650214169,30107.9776665956
496,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,4099.22684529871,460927.56761467
497,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1313.59239146327,43268.5110407988
498,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,1255.7723782274,47819.8105958652
499,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,3581.37029208125,678357.066780304
500,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,512.335256083203,18538.6578632352
501,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,2660.43594312563,52719.6065929901
502,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,0, ,2415.43614535756,310361.353688139
503,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,1834,Mianus Pond,14280.4602849462,2246941.75917925
504,Trout,Farmington River Trout Management Area,Avon-Burlington-Avon. From base of Lower Collinsville Dam downstream about 3 miles to Rt 4 bridge.,577,Farmington River,0, ,29813.6419561596,2165106.2457043
505,Trout,Trophy Trout Stream,From Goodwin dam (Hartland) downstream to Route 177 Bridge in Unionville,1866,West Branch Farmington River,0, ,61221.9511768825,3409318.55168003
506,Trout,West Branch-Farmington River Trout Management Area,Barkhamsted-New Hartford. About 1 mile upstream of Rt. 318 bridge downstream to Rt. 219 bridge.,1866,West Branch Farmington River,0, ,54642.3372540424,3317549.27059094
507,Bass,Bass Management Area (Stanley Tract Area),From Dawn Hill Road (Sharon) to Skiff Mountain Road in Kent (approximately 6 miles).,823,Housatonic River,0, ,47914.8160618691,4315953.36362857
508,Trout and Bass,Bull's Bridge Trout Management Area / Bass Management Area,From Bull's Bridge Impoundment Dam (Kent) to Gaylordsville Bridge (Rt 7) New Milford plus Ten Mile R,823,Housatonic River,0, ,38836.9121266283,2761207.99876879
509,Trout and Bass,Bull's Bridge Trout Management Area / Bass Management Area,From Bull's Bridge Impoundment Dam (Kent) to Gaylordsville Bridge (Rt 7) New Milford plus Ten Mile R,1734,Tenmile River,0, ,6682.25660824571,264220.378042255
510,Trout,Sea Run Trout/TMA,From Merrybrook Road upstream approximately 1 mile to dam as indicated by signs.,1081,Mianus River,0, ,5233.92402377157,98461.477432423
511,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,0, ,7957.36355290873,154067.313234315
512,Bass and Northern Pike,Bass / Northern Pike Management Lake,Mansfield Hollow Dam,1181,Natchaug River,1763,Mansfield Hollow Dam,41766.3200103534,14339912.9170069
513,Bass and Northern Pike,Bass / Northern Pike Management Lake,Mansfield Hollow Dam,1181,Natchaug River,1763,Mansfield Hollow Dam,17967.0784296367,4368809.97978398
514,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,961.351385681696,31421.5627607535
515,Trout,Trout Park Trophy Trout Stream,Within Natchaug State Forest (Eastford),1181,Natchaug River,0, ,5507.43284653776,228474.34061464
516,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,19486.4144982455,365501.125542297
517,Trout,Trout Management Area,From King St. Bristol - Rt 177 Plainville.  Also Coppermine Bk. from Pequabuck R. - Artisan St.,1302,Pequabuck River,0, ,33742.8158895407,981436.176947011
518,Trout,Trophy Trout Stream,Whitney Ave. (Trumbull) through Trumbull Basin State Park to Daniels Farm Road bridge.,1303,Pequonnock River,0, ,11770.6743427291,246132.118673106
519,Trout,Deep Brook Wild Trout Management Area (Class 1),"About 1 mile of Pootatuck R., 1/2 mile up/downstream of Confluence with Deep Brook.",1368,Pootatuck River,0, ,13356.0359103421,226634.535268365
520,Trout,Wild Trout Management Area (Class 3),From East Street below the gorge in N. Granby to the confluence of the Farmington River.,517,East Branch Salmon Brook,0, ,11382.0311882729,210526.795670699
521,Trout,Trout Management Area/Trout Park,From confluence of Blackledge and Jeremy Rivers downstream to Rte. 16,1500,Salmon River,0, ,1335.60068440908,26853.1485712026
522,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1928.48950598236,37059.0512194005
523,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,28308.8168808065,2937597.7946592
524,Trout,Trout Management Area/Trout Park,From confluence of Blackledge and Jeremy Rivers downstream to Rte. 16,1500,Salmon River,0, ,5083.01823555877,143433.928365438
525,Trout,William 'Doc' Skerlick Trout Management,In Westport from Dorr's Mill Dam to the Merritt Parkway,1515,Saugatuck River,1596,Lee Pond,8057.02902256539,315402.126090698
526,Trout,Sea Run Trout Stream,Tidal area downstream of Wood Dam (Westport),1515,Saugatuck River,1324,Hydraulic Pond,4540.64363035802,129078.670435245
527,Trout,Cole Wilde Trout Management Area,In Tolland and Willington from mouth of Roaring Brook downstream to Route 74 bridge.,1930,Willimantic River,0, ,28482.2364493333,1016253.67928002
528,Trout,Trout Management Area,From Barstow Rd. (Lebanon) downstream to bridge at intersection of Fitchville and Schwartz Rd.,1970,Yantic River,0, ,226.985623313731,3242.64774572821
529,Trout,Trout Management Area,From Barstow Rd. (Lebanon) downstream to bridge at intersection of Fitchville and Schwartz Rd.,1970,Yantic River,0, ,22540.2013450355,667991.768690976
530,Trout,Trout Management Area,From I-84 in Vernon downstream to I-84 at Laurel Marsh on Manchester/East Hartford line.,796,Hockanum River,0, ,1357.79224795451,86363.8051503297
531,Trout,Housatonic River Trout Management Area,From bridge crossing at Rt. 112 & 7 (Salisbury/Canaan) to bridge at Rtes. 4/7 (Cornwall/Sharon).,823,Housatonic River,0, ,101231.927609551,8696866.71504221
532,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,2430,Riverbank Pond,842.230837376491,18069.3965713525
533,Trout,Sea Run Trout/TMA,From Merrybrook Road upstream approximately 1 mile to dam as indicated by signs.,1081,Mianus River,2430,Riverbank Pond,687.478078849873,20887.7044353307
534,Trout,Sea Run Trout/TMA,From Merrybrook Road upstream approximately 1 mile to dam as indicated by signs.,1081,Mianus River,0, ,6257.77201300985,132125.671537603
535,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,0, ,24529.441854405,651573.225618729
536,Trout,Trout Management Area,From Rte. 14 bridge to confluence with Quinebaug River.,1133,Moosup River,0, ,30769.5898263092,1205483.9624181
537,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Bogue Road, Torrington, downstream to the Thomaston Dam (Upper Section).",1182,Naugatuck River,0, ,26233.9334777826,1023518.51022012
538,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,20095.860844393,1105663.00830383
539,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Prospect Street, Naugatuck, downstream to Pines Bridge Road, Beacon Falls (Lower section).",1182,Naugatuck River,0, ,7911.66321395932,652999.71219246
540,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,15787.8431715175,1401908.00539871
541,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,34158.8483685148,2142337.39574642
542,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Prospect Street, Naugatuck, downstream to Pines Bridge Road, Beacon Falls (Lower section).",1182,Naugatuck River,0, ,64230.538459055,3750880.55773161
543,Trout,Trophy Trout Stream,"Entire river in Windham, Scotland, Sprague, and Norwich",1567,Shetucket River,0, ,78627.5323976233,8677121.77712707
544,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Scotland Dam, Scotland, downstream to the Occum Dam, Norwich.",1567,Shetucket River,0, ,1359.19208119262,101373.462825518
545,Trout,Trophy Trout Stream,"Entire river in Windham, Scotland, Sprague, and Norwich",1567,Shetucket River,2837,Taftville Pond,27379.922037792,5066301.17907513
546,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Scotland Dam, Scotland, downstream to the Occum Dam, Norwich.",1567,Shetucket River,2837,Taftville Pond,1591.75339004233,109915.808369071
547,Trout,Trophy Trout Stream,"Entire river in Windham, Scotland, Sprague, and Norwich",1567,Shetucket River,2837,Taftville Pond,423.353485773479,11821.0552330653
548,Atlantic Salmon,Atlantic Salmon Broodstock Fishing,"From Scotland Dam, Scotland, downstream to the Occum Dam, Norwich.",1567,Shetucket River,2837,Taftville Pond,453.435436027014,12314.9044464762
549,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,1602.38046151255,44928.3694834117
550,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,116,Bargh Reservoir,43073.5727537914,6727579.33746722
551,Trout,Sea Run Trout Stream,Entire river upstream of Mianus Pond Dam (just above Boston Post Road),1081,Mianus River,116,Bargh Reservoir,18284.3933825606,288398.452714583
552,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,36040.4618640949,18061284.0193015
