265.characteristic,"Total - Female, Blakc, non-Hispanic ","Total - Female, Black, non-Hispanic "
320.raceethnicity,"American Indian/Alaska Native, non-yHispanic","American Indian/Alaska Native, non-Hispanic"
326.sex,Feamle,Female
158.characteristic,"Total - Mjale, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
254.raceethnicity,"Blac, non-Hispanic ","Black, non-Hispanic "
147.raceethnicity,"White,n on-Hispanic","White, non-Hispanic"
168.sex,Mae,Male
258.characteristic,"Total - Female, Black, non-Hispnaic ","Total - Female, Black, non-Hispanic "
269.raceethnicity,Hiispanic,Hispanic
93.noteoncount,Data for 2000 through 2002 includje Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
199.sex,ale,Male
196.sex,Mael,Male
92.raceethnicity,"Asian, non-Hispawnic","Asian, non-Hispanic"
233.characteristic,"Total - Male, Two or more racies, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
41.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) si 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
291.sex,Femae,Female
279.raceethnicity,Hispainc,Hispanic
33.characteristic,otal - Female,Total - Female
259.raceethnicity,"Blaxck, non-Hispanic ","Black, non-Hispanic "
336.sex,Femael,Female
291.noteonpercent,Data for 2000 through 2002 includ ePacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
191.noteoncount,Data for 2000 through 2002 include Pavcific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
244.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or tghe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
324.sex,Feale,Female
251.noteoncount,Reporting standards not met Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
70.characteristic,"Total - Black, knon-Hispanic ","Total - Black, non-Hispanic "
63.characteristic,"Totla - Black, non-Hispanic ","Total - Black, non-Hispanic "
172.noteoncount,Reporting standards not met. Either there are too few cases fo a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
185.sex,Mael,Male
8.sex,Femaple,Female
52.sex,Femae,Female
72.sex,Femael,Female
51.sex,Fiemale,Female
238.sex,Mae,Male
203.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varoiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
233.noteonpercent,Reporting standards not met. Either there are too few csaes for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
15.characteristic,Total -M ale,Total - Male
197.characteristic,"Total - Male, Pacific Isljander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
148.characteristic,"Total - Male, White,x non-Hispanic","Total - Male, White, non-Hispanic"
64.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
267.raceethnicity,Hispanc,Hispanic
128.noteoncount,Data not availale.,Data not available.
224.noteonpercent,Reporting standards not met. Either there are too few cases fo a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
24.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
63.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) xis 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.sex,aMle,Male
172.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 ipercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
212.sex,Mcale,Male
241.noteoncount,Reporting satndards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
95.characteristic,"Totale - Asian, non-Hispanic","Total - Asian, non-Hispanic"
91.noteoncount,Data for 2000 through 2002 include Pacific Islandes.,Data for 2000 through 2002 include Pacific Islanders.
310.sex,emale,Female
325.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
240.characteristic,"Total - Female, White, non-Huispanic","Total - Female, White, non-Hispanic"
321.noteoncount,Reporting stanadards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.noteoncount,Reoporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
280.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaterg.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
306.raceethnicity,"Piacific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
156.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) iss 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
185.noteonpercent,Data for 2000 through 2002 includ ePacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
160.characteristic,"Total - Mae, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
200.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5y0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
241.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vraiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
269.characteristic,"Totacl - Female, Hispanic","Total - Female, Hispanic"
314.raceethnicity,"American Indian/Alaskaa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
10.sex,Femael,Female
31.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 eprcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
17.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaotion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
188.characteristic,"Total  -Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
119.characteristic,"Total a- American Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
88.sex,Feale,Female
245.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varition (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
252.characteristic,"Total - Female,s White, non-Hispanic","Total - Female, White, non-Hispanic"
334.raceethnicity,"Two or more races, on-Hispanic","Two or more races, non-Hispanic"
103.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimateor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
31.sex,Fmale,Female
267.sex,Fmeale,Female
196.characteristic,"Total - Male, Asian ,non-Hispanic","Total - Male, Asian, non-Hispanic"
140.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
156.raceethnicity,Black non-Hispanic ,"Black, non-Hispanic "
145.noteoncount,Reporting standards not met.Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
205.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
116.sex,Femael,Female
131.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grceater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
267.noteoncount,Reporting standards not met. Either there are too few cases fogr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
308.characteristic,"Total - Female, Pacific Islader, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
116.raceethnicity,"Americna Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
286.characteristic,"Tohtal - Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
274.sex,emale,Female
62.sex,Feale,Female
4.sex,Femalve,Female
246.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
169.raceethnicity,Hispnic,Hispanic
171.raceethnicity,Hispainc,Hispanic
132.characteristic,"Toatl - Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
84.raceethnicity,Hiqspanic,Hispanic
205.noteoncount,Reporting standards not met. Either there are too ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
136.sex,Foemale,Female
296.characteristic,"Total - Female ,Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
162.raceethnicity,"Black, non-Hispani ","Black, non-Hispanic "
13.characteristic,otal ,Total 
80.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or graeter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
243.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.noteonpercent,Reporting standards not met. Either there are too few cases for  areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.raceethnicity,"Two okr more races, non-Hispanic","Two or more races, non-Hispanic"
306.sex,Feamle,Female
234.characteristic,"Total - Male, Two or more races, no-nHispanic","Total - Male, Two or more races, non-Hispanic"
150.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (VC) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.characteristic,"Total - Female, Hspanic","Total - Female, Hispanic"
255.sex,Femlae,Female
327.sex,Femalze,Female
303.noteoncount,Reporting standards not met.Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
53.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatin (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
318.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
255.noteoncount,Reportin gstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
109.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
12.raceethnicity,"American Indian/Alaska Native, nonH-ispanic","American Indian/Alaska Native, non-Hispanic"
194.noteoncount,Data for 2000 through 2002 includ Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
195.characteristic,"otal - Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
67.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
204.characteristic,"Total - Male, Pacific Islanderi, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
151.sex,Mael,Male
82.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or teh coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.raceethnicity,"Pacific Islander, on-Hispanic","Pacific Islander, non-Hispanic"
219.noteoncount,Reporting standgards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
155.characteristic,"Total - Male, Black, non-Hispanicn ","Total - Male, Black, non-Hispanic "
109.raceethnicity,"Pacific Isladner, non-Hispanic","Pacific Islander, non-Hispanic"
62.raceethnicity,"Black, non-Hispnaic ","Black, non-Hispanic "
163.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.characteristic,"Total - Female,s Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
323.noteonpercent,Data nota vailable.,Data not available.
14.noteonpercent,Reporting standards nt met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
167.sex,ale,Male
115.characteristic,"Total - American IndianA/laska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
132.sex,Feale,Female
321.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
175.sex,ale,Male
202.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
207.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
287.raceethnicity,"Asian, non-Hisanic","Asian, non-Hispanic"
148.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estiate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
3.sex,Femael,Female
163.raceethnicity,"Balck, non-Hispanic ","Black, non-Hispanic "
123.noteoncount,Reporting standards not met. Eiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
231.noteonpercent,Reporting sandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
240.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatpion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.raceethnicity,"Asian, non-Hispnic","Asian, non-Hispanic"
330.raceethnicity,"Two or more races, non-Hispanci","Two or more races, non-Hispanic"
227.raceethnicity,"Two or more races, npon-Hispanic","Two or more races, non-Hispanic"
220.raceethnicity,"American Indian/Alaska Native,f non-Hispanic","American Indian/Alaska Native, non-Hispanic"
168.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation p(CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.noteonpercent,Data for 2000 through 2002 includePacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
324.noteonpercent,Data not availabe.,Data not available.
177.noteoncount,Reporting standards not met Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
122.noteonpercent,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
99.noteonpercent,Data not availabl.e,Data not available.
76.raceethnicity,Hispanaic,Hispanic
275.sex,Fyemale,Female
