402.street,Ogden tS,Ogden St
813.locationvalue,"(41.85249, -87.633916)","(41.885249, -87.633916)"
751.street,fDamen Ave,Damen Ave
58.street,Central ark Ave,Central Park Ave
383.dateofcount,11/1/2006,11/15/2006
972.street,Mnroe St,Monroe St
96.vehiclevolumebyeachdirectionoftraffic,South ound: 11600/ Oneway South Bound,South Bound: 11600/ Oneway South Bound
735.locationvalue,"(41.879007, -87.662108)","(41.879007, -87.626108)"
435.vehiclevolumebyeachdirectionoftraffic,North Bound: 5700 / Soutbh Bound: 6200,North Bound: 5700 / South Bound: 6200
67.dateofcount,z10/09/2006,10/09/2006
1264.locationvalue,"(4.952978, -87.781878)","(41.952978, -87.781878)"
1215.dateofcount,0/05/2006,10/05/2006
543.street,9nd St,92nd St
928.trafficvolumecountlocationaddress,929 North,299 North
415.dateofcount,10/3s1/2006,10/31/2006
50.locationvalue,"(41.699096, -87.677y7)","(41.699096, -87.6777)"
1266.trafficvolumecountlocationaddress,3u026 South,3026 South
486.street,Asmhland Ave,Ashland Ave
823.locationvalue,"(4.1837991, -87.650405)","(41.837991, -87.650405)"
1021.dateofcount,10/3/12006,10/31/2006
427.dateofcount,102/3/2006,10/23/2006
1005.street,55jth St,55th St
863.street,Carnal St,Canal St
594.trafficvolumecountlocationaddress,15 Wewst,15 West
1055.vehiclevolumebyeachdirectionoftraffic,North Bound: 18700 / South Bound: 1700,North Bound: 18700 / South Bound: 17900
690.street,wCottage Grove Ave,Cottage Grove Ave
1260.trafficvolumecountlocationaddress,12 North,112 North
373.dateofcount,j10/25/2006,10/25/2006
557.dateofcount,08/17j/2006,08/17/2006
263.street,Mlilwaukee Ave,Milwaukee Ave
724.locationvalue,"(41.982866,- 87.724368)","(41.982866, -87.724368)"
798.trafficvolumecountlocationaddress,2603 South,6203 South
985.vehiclevolumebyeachdirectionoftraffic,East Bound: 10800 / West Bound: k10500,East Bound: 10800 / West Bound: 10500
718.street,Western ve,Western Ave
213.street,Racine Axve,Racine Ave
437.trafficvolumecountlocationaddress,35 South,350 South
921.street,Clairk St,Clark St
818.trafficvolumecountlocationaddress,2458 Wetst,2458 West
494.dateofcount,08/9/2006,08/29/2006
922.vehiclevolumebyeachdirectionoftraffic,South Bound: 6300/ Oneway South Bvound,South Bound: 6300/ Oneway South Bound
1258.locationvalue,"(1.772, -87.654299)","(41.772, -87.654299)"
1191.locationvalue,"(41.947284, -78.651946)","(41.947284, -87.651946)"
861.trafficvolumecountlocationaddress,5831 Nrth,5831 North
1276.vehiclevolumebyeachdirectionoftraffic,North Bound: 10800 / South Buond: 10500,North Bound: 10800 / South Bound: 10500
18.dateofcount,09/26/206,09/26/2006
887.street,Cicer Ave,Cicero Ave
1105.locationvalue,"4(1.876934, -87.666676)","(41.876934, -87.666676)"
464.street,DesPlaines St,Des Plaines St
331.street,Michiganr Ave,Michigan Ave
220.street,87tnh Street,87th Street
517.trafficvolumecountlocationaddress,3283 Wesqt,3283 West
533.locationvalue,"(41.875611, -87s.630673)","(41.875611, -87.630673)"
575.vehiclevolumebyeachdirectionoftraffic,Eastm Bound: 17100 / West Bound: 16600,East Bound: 17100 / West Bound: 16600
114.dateofcount,0p8/15/2006,08/15/2006
183.locationvalue,"(41.939398, -87.96701)","(41.939398, -87.696701)"
871.locationvalue,"4(1.876982, -87.657007)","(41.876982, -87.657007)"
166.trafficvolumecountlocationaddress,50c50 North,5050 North
89.street,Diveresy Ave,Diversey Ave
528.locationvalue,"(41.737542, -87.666475)","(41.735742, -87.666475)"
113.street,95ith St,95th St
595.vehiclevolumebyeachdirectionoftraffic,East Bound: 5900 / / Oneway East Bound***,East Bound: 5900 / / Oneway East Bound
63.street,Harrisokn St,Harrison St
497.dateofcount,0/06/2006,09/06/2006
226.trafficvolumecountlocationaddress,1425 Wesot,1425 West
442.dateofcount,10/1t7/2006,10/17/2006
485.dateofcount,08/24/2060,08/24/2006
787.dateofcount,10/k02/2006,10/02/2006
1136.street,Belmoent Ave,Belmont Ave
1059.dateofcount,0/12/2006,10/12/2006
369.vehiclevolumebyeachdirectionoftraffic,Norath Bound: 14100 / / Oneway North Bound ,North Bound: 14100 / / Oneway North Bound 
887.trafficvolumecountlocationaddress,62v10 South,6210 South
574.dateofcount,10/17/2060,10/17/2006
219.trafficvolumecountlocationaddress,2653p North,2653 North
1124.trafficvolumecountlocationaddress,3300 West***,3300 West
1111.street,Cicro Ave,Cicero Ave
588.street,35ht St,35th St
173.locationvalue,"(41.884466, -87.63r4637)","(41.884466, -87.634637)"
1175.street,PulaskiRd,Pulaski Rd
512.locationvalue,"(41.888302, -87.623450)","(41.888302, -87.623405)"
986.vehiclevolumebyeachdirectionoftraffic,East Bound: 14900 / West Bound: 1r4000,East Bound: 14900 / West Bound: 14000
802.dateofcount,09/06/2060,09/06/2006
535.street,Well sSt,Wells St
92.street,75th t,75th St
8.street,Ashladn Ave,Ashland Ave
68.street,Dr MartinL uther King Jr Dr,Dr Martin Luther King Jr Dr
1081.locationvalue,"(41.699963, -87.681451)","(41.699963, -87.681415)"
20.trafficvolumecountlocationaddress,161 Eats,161 East
464.vehiclevolumebyeachdirectionoftraffic,South aBound: 6300/ Oneway South Bound,South Bound: 6300/ Oneway South Bound
289.dateofcount,05/0y8/2006,05/08/2006
59.dateofcount,03/28/k2006,03/28/2006
141.vehiclevolumebyeachdirectionoftraffic,North Bound:l 25800 / South Bound: 22100,North Bound: 25800 / South Bound: 22100
1145.trafficvolumecountlocationaddress,66 0West,660 West
871.trafficvolumecountlocationaddress,324 Sotuh,324 South
453.trafficvolumecountlocationaddress,524 South,5424 South
832.locationvalue,"(4j1.869368, -87.620509)","(41.869368, -87.620509)"
437.dateofcount,10/24/200l6,10/24/2006
1147.vehiclevolumebyeachdirectionoftraffic,Esat Bound: 8100 / West Bound: 8600,East Bound: 8100 / West Bound: 8600
239.trafficvolumecountlocationaddress,752 South,725 South
298.vehiclevolumebyeachdirectionoftraffic,East ound: 1600 / West Bound: 1300,East Bound: 1600 / West Bound: 1300
1256.street,Halsted tS,Halsted St
877.vehiclevolumebyeachdirectionoftraffic,East Bound: 4300 / West Bonud: 4100,East Bound: 4300 / West Bound: 4100
532.vehiclevolumebyeachdirectionoftraffic,East Bound: 2100 / Wset Bound: 26400,East Bound: 2100 / West Bound: 26400
321.vehiclevolumebyeachdirectionoftraffic,East Bouwnd: 11200 / West Bound: 12100,East Bound: 11200 / West Bound: 12100
797.dateofcount,09/19/2060,09/19/2006
188.dateofcount,09/2/12006,09/21/2006
192.street,31ts St,31st St
1270.street,31sqt St,31st St
260.street,87th  tS,87th  St
168.trafficvolumecountlocationaddress,742d West,742 West
389.vehiclevolumebyeachdirectionoftraffic,East Bound: 6600 / West Bound: a6800,East Bound: 6600 / West Bound: 6800
689.street,Randfolph St,Randolph St
970.vehiclevolumebyeachdirectionoftraffic,EastBound: 15900 / West Bound: 13900,East Bound: 15900 / West Bound: 13900
2.trafficvolumecountlocationaddress,320 Eaqst,320 East
311.locationvalue,"(41.915365, -87.7949n84)","(41.915365, -87.794984)"
694.locationvalue,"(41.939165, -87.72o1399)","(41.939165, -87.721399)"
600.locationvalue,"(41.98864,7 -87.806885)","(41.988647, -87.806885)"
61.street,StateSt,State St
52.dateofcount,1012/2006,10/12/2006
206.trafficvolumecountlocationaddress,3311z South,3311 South
707.locationvalue,"(41.942963, -87.756176)","(41.924963, -87.756176)"
167.trafficvolumecountlocationaddress,8216 Souht,8216 South
990.dateofcount,9/19/2006,09/19/2006
215.trafficvolumecountlocationaddress,5816 Nortth,5816 North
669.dateofcount,08/7/2006,08/17/2006
540.locationvalue,"(41.94619n, -87.822945)","(41.94619, -87.822945)"
763.vehiclevolumebyeachdirectionoftraffic,North Bouund: 6800 / South Bound: 6300,North Bound: 6800 / South Bound: 6300
562.trafficvolumecountlocationaddress,5v665 West,5665 West
577.street,151th St,115th St
471.locationvalue,"b(41.866196, -87.723436)","(41.866196, -87.723436)"
224.locationvalue,"(41.792242, -8.78702)","(41.792242, -87.78702)"
633.vehiclevolumebyeachdirectionoftraffic,East Bond: 8600 / West Bound: 8200,East Bound: 8600 / West Bound: 8200
1052.street,Harrison t,Harrison St
739.vehiclevolumebyeachdirectionoftraffic,North Bound: 8900 / South oBund: 8100,North Bound: 8900 / South Bound: 8100
1204.vehiclevolumebyeachdirectionoftraffic,North Bound: 30700 / outh Bound: 26000,North Bound: 30700 / South Bound: 26000
278.street,yMilwaukee Ave,Milwaukee Ave
197.trafficvolumecountlocationaddress,45 Wets,45 West
346.dateofcount,10/17/200a6,10/17/2006
926.vehiclevolumebyeachdirectionoftraffic,Norrth Bound: 54200 / South Bound: 48900,North Bound: 54200 / South Bound: 48900
1012.street,Deyvon Ave,Devon Ave
642.street,Luongwood Dr,Longwood Dr
875.street,pEast River Rd,East River Rd
981.locationvalue,"(41924561, -87.720455)","(41.924561, -87.720455)"
868.dateofcount,04/27/r2006,04/27/2006
509.vehiclevolumebyeachdirectionoftraffic,North Bound: 6300 / Suth Bound: 6200,North Bound: 6300 / South Bound: 6200
206.street,MichiganA ve,Michigan Ave
43.street,Arcehr Ave,Archer Ave
559.vehiclevolumebyeachdirectionoftraffic,Est Bound: 10500 / West Bound: 11700,East Bound: 10500 / West Bound: 11700
595.street,Warren Bltvd,Warren Blvd
354.vehiclevolumebyeachdirectionoftraffic,North Bowund: 52400 / South Bound: 59200,North Bound: 52400 / South Bound: 59200
922.dateofcount,100/3/2006,10/03/2006
1053.vehiclevolumebyeachdirectionoftraffic,North Bound: 10500 / South Bouond: 10000,North Bound: 10500 / South Bound: 10000
341.dateofcount,0921/2006,09/21/2006
1064.dateofcount,0r3/23/2006,03/23/2006
62.vehiclevolumebyeachdirectionoftraffic,Souht Bound: 20700/ Oneway South Bound ,South Bound: 20700/ Oneway South Bound 
589.vehiclevolumebyeachdirectionoftraffic,East Bound: 630 / West Bound: 6400,East Bound: 6300 / West Bound: 6400
902.street,AshlandAve,Ashland Ave
743.locationvalue,"(41.w744631, -87.658435)","(41.744631, -87.658435)"
523.street,Dr Martin Luther Kin gJr Dr,Dr Martin Luther King Jr Dr
990.locationvalue,"(41.889784, -87629599)","(41.889784, -87.629599)"
511.vehiclevolumebyeachdirectionoftraffic,North Bound: 15400 / Southk Bound: 16400,North Bound: 15400 / South Bound: 16400
1086.street,5st St,51st St
592.locationvalue,"(41.8767z35, -87.628733)","(41.876735, -87.628733)"
479.street,Augusat Blvd,Augusta Blvd
592.street,Plyomuth CT,Plymouth CT
400.street,Clyoburn Ave,Clybourn Ave
971.dateofcount,0g5/02/2006,05/02/2006
527.vehiclevolumebyeachdirectionoftraffic,Est Bound: 5500 / West Bound: 5600,East Bound: 5500 / West Bound: 5600
202.dateofcount,03/28/u2006,03/28/2006
205.dateofcount,08/1/42006,08/14/2006
1012.trafficvolumecountlocationaddress,52e15 West,5215 West
583.street,Armitge Ave,Armitage Ave
43.locationvalue,"(41.815505, -877.01939)","(41.815505, -87.701939)"
341.street,Divisio nSt,Division St
584.locationvalue,"(41.972386, -87.65403)","(41.972386, -87.654903)"
198.trafficvolumecountlocationaddress,3335 Wets,3335 West
479.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / eWst Bound: 4800,East Bound: 3800 / West Bound: 4800
622.vehiclevolumebyeachdirectionoftraffic,East Bound: 7900 / Webst Bound: 7600,East Bound: 7900 / West Bound: 7600
590.street,Rcine Ave,Racine Ave
782.dateofcount,1/012/2006,10/12/2006
823.vehiclevolumebyeachdirectionoftraffic,Esat Bound: 4800 / West Bound: 5200,East Bound: 4800 / West Bound: 5200
310.street,55th t,55th St
181.trafficvolumecountlocationaddress,541 3South,5413 South
309.vehiclevolumebyeachdirectionoftraffic,East Bound: 8300 / West Bound: g8000,East Bound: 8300 / West Bound: 8000
725.trafficvolumecountlocationaddress,9532 Soutoh,9532 South
426.trafficvolumecountlocationaddress,890 Wets,890 West
564.vehiclevolumebyeachdirectionoftraffic,East Bound: 22300 / West Bound: 1980,East Bound: 22300 / West Bound: 19800
528.trafficvolumecountlocationaddress,17g20 West,1720 West
241.street,Lake Shoer Dr,Lake Shore Dr
305.trafficvolumecountlocationaddress,352 South,5352 South
941.locationvalue,"(4.838528, -87.662425)","(41.838528, -87.662425)"
259.locationvalue,"(41.823602, -87.63485)9","(41.823602, -87.634859)"
345.trafficvolumecountlocationaddress,4r0 West,40 West
596.locationvalue,"(4.83206, -87.675321)","(41.83206, -87.675321)"
378.locationvalue,"(41872254, -87.705864)","(41.872254, -87.705864)"
1265.trafficvolumecountlocationaddress,3900 Wet,3900 West
77.dateofcount,0/927/2006,09/27/2006
1122.locationvalue,"(41.895151, -87.73779)","(41.895151, -87.737793)"
647.trafficvolumecountlocationaddress,857 Wesat,857 West
1150.street,California Aev,California Ave
124.street,Wcaker Dr,Wacker Dr
541.vehiclevolumebyeachdirectionoftraffic,North Bound: 3200 / South Bound: 100,North Bound: 3200 / South Bound: 1800
639.trafficvolumecountlocationaddress,2822 Welst,2822 West
484.locationvalue,"(41.70725, -87.626548)","(41.707125, -87.626548)"
1172.street,Blroadway,Broadway
40.dateofcount,08/10w/2006,08/10/2006
344.street,Halted St,Halsted St
630.dateofcount,09/2/02006,09/20/2006
1165.dateofcount,0502/2006,05/02/2006
583.dateofcount,08/0v9/2006,08/09/2006
825.dateofcount,10/162006,10/16/2006
978.vehiclevolumebyeachdirectionoftraffic,North Bound: 36100 /x South Bound: 34800,North Bound: 36100 / South Bound: 34800
35.street,43qrd St,43rd St
725.dateofcount,3/08/2006,03/08/2006
820.trafficvolumecountlocationaddress,723 North,3723 North
496.dateofcount,01/23/2006,10/23/2006
796.trafficvolumecountlocationaddress,91 South,901 South
322.locationvalue,"(41.844102, -87.753004)","(41.844102, -87.735004)"
423.trafficvolumecountlocationaddress,1139 Weust,1139 West
203.trafficvolumecountlocationaddress,2370 West,2307 West
100.locationvalue,"(41.99453, -87.663898)","(41.994513, -87.663898)"
399.vehiclevolumebyeachdirectionoftraffic,North Boudn: 9800 / South Bound: 10100,North Bound: 9800 / South Bound: 10100
563.vehiclevolumebyeachdirectionoftraffic,North Bound: 1680 0/ South Bound: 17600,North Bound: 16800 / South Bound: 17600
61.vehiclevolumebyeachdirectionoftraffic,North Bound: 9300 / South Bound: 1110h0,North Bound: 9300 / South Bound: 11100
495.vehiclevolumebyeachdirectionoftraffic,East Bound: 6700  /West Bound: 5900,East Bound: 6700 / West Bound: 5900
441.trafficvolumecountlocationaddress,4740 Scouth,4740 South
689.trafficvolumecountlocationaddress,102 East,120 East
390.street,Garfield Bflvd,Garfield Blvd
962.dateofcount,11y/14/2006,11/14/2006
511.dateofcount,081/6/2006,08/16/2006
1272.trafficvolumecountlocationaddress,80 North,806 North
772.trafficvolumecountlocationaddress,6445 eWst,6445 West
778.vehiclevolumebyeachdirectionoftraffic,East Bound: 6500 / West Bonud: 9200,East Bound: 6500 / West Bound: 9200
1254.vehiclevolumebyeachdirectionoftraffic,ast Bound: 6200 / West Bound: 6600,East Bound: 6200 / West Bound: 6600
81.street,Divesrey Ave,Diversey Ave
475.street,ivision St,Division St
365.vehiclevolumebyeachdirectionoftraffic,North Bound: 12500 / / Oneway North hBound,North Bound: 12500 / / Oneway North Bound
1022.trafficvolumecountlocationaddress,233 West,1233 West
354.street,Lake Shogre Dr,Lake Shore Dr
386.vehiclevolumebyeachdirectionoftraffic,North Bound: 4400 / South Boudn: 5200,North Bound: 4400 / South Bound: 5200
277.locationvalue,"(41.713772, -87.5362)","(41.713772, -87.54362)"
1186.locationvalue,"(41.739248, -87.54x536)","(41.739248, -87.54536)"
363.locationvalue,"(41.985494, -y87.657453)","(41.985494, -87.657453)"
421.locationvalue,"(41.903778, -87.639621)","(41.903778, -87.639261)"
187.dateofcount,10/26/206,10/26/2006
151.dateofcount,0/301/2006,03/01/2006
960.vehiclevolumebyeachdirectionoftraffic,East Bound: 8100 / West Boudn: 9200,East Bound: 8100 / West Bound: 9200
578.street,Augusta lvd,Augusta Blvd
721.locationvalue,"(41.881592, -87.63087q5)","(41.881592, -87.630875)"
638.street,Wacke rDr,Wacker Dr
198.locationvalue,"(41.910066, -87.71082s9)","(41.910066, -87.710829)"
609.street,79tjh St,79th St
330.vehiclevolumebyeachdirectionoftraffic,Nrth Bound: 9800 / South Bound: 8600,North Bound: 9800 / South Bound: 8600
506.trafficvolumecountlocationaddress,700 Soutvh,700 South
803.street,Ashland Ae,Ashland Ave
658.dateofcount,0/330/2006,03/30/2006
880.trafficvolumecountlocationaddress,2532a West,2532 West
378.dateofcount,10/10/20v06,10/10/2006
56.dateofcount,30/23/2006,03/23/2006
767.locationvalue,"4(1.798563, -87.654979)","(41.798563, -87.654979)"
349.dateofcount,9/26/2006,09/26/2006
148.trafficvolumecountlocationaddress,230 South,2350 South
941.trafficvolumecountlocationaddress,30v27 South,3027 South
1258.trafficvolumecountlocationaddress,6710South,6710 South
141.locationvalue,"(41.778752, -87.58508)","(41.778752, -87.585085)"
373.street,Autin Ave,Austin Ave
819.locationvalue,"(41.997773, j-87.805489)","(41.997773, -87.805489)"
672.vehiclevolumebyeachdirectionoftraffic,North Bound: 6500 / South Bound:7 900,North Bound: 6500 / South Bound: 7900
868.vehiclevolumebyeachdirectionoftraffic,East Bounzd: 6900 / West Bound: 7800,East Bound: 6900 / West Bound: 7800
706.street,38rd St,83rd St
675.dateofcount,1026/2006,10/26/2006
294.street,Wntworth Ave,Wentworth Ave
1067.vehiclevolumebyeachdirectionoftraffic,East oBund: 4200 / West Bound: 4100,East Bound: 4200 / West Bound: 4100
815.vehiclevolumebyeachdirectionoftraffic,Norh Bound: 11600 / South Bound: 11500,North Bound: 11600 / South Bound: 11500
22.locationvalue,"(41.810689, -87.59685)5","(41.810689, -87.596855)"
195.trafficvolumecountlocationaddress,229 West,2029 West
985.trafficvolumecountlocationaddress,87 East,817 East
1265.dateofcount,09/14/206,09/14/2006
652.vehiclevolumebyeachdirectionoftraffic,East Buond: 13200 / / Oneway East Bound,East Bound: 13200 / / Oneway East Bound
6.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Boud: 3500,East Bound: 3400 / West Bound: 3500
499.dateofcount,12/20/y2006,12/20/2006
644.vehiclevolumebyeachdirectionoftraffic,East Bond: 5500 / West Bound: 4700,East Bound: 5500 / West Bound: 4700
775.street,Harriyson St,Harrison St
970.locationvalue,"(41.954295,n -87.668734)","(41.954295, -87.668734)"
917.vehiclevolumebyeachdirectionoftraffic,North Bound: 6700 /g South Bound: 9900,North Bound: 6700 / South Bound: 9900
544.dateofcount,05/092006,05/09/2006
315.trafficvolumecountlocationaddress,9401 Syouth,9401 South
759.street,Pulaski gRd,Pulaski Rd
829.dateofcount,8/17/2006,08/17/2006
1226.street,State tS,State St
1191.vehiclevolumebyeachdirectionoftraffic,East Bound :8500 / West Bound: 7900,East Bound: 8500 / West Bound: 7900
176.vehiclevolumebyeachdirectionoftraffic,North Bound: 11300 / Sotuh Bound: 12300,North Bound: 11300 / South Bound: 12300
921.locationvalue,"(41.853467, -87.30093)","(41.853467, -87.630093)"
975.street,Kedzi Ave,Kedzie Ave
296.dateofcount,03/28/200i6,03/28/2006
919.trafficvolumecountlocationaddress,1418 Weost,1418 West
525.locationvalue,"(41.894073, -8.656489)","(41.894073, -87.656489)"
1059.vehiclevolumebyeachdirectionoftraffic,North Bound: 8200 / Soth Bound: 7300,North Bound: 8200 / South Bound: 7300
1153.locationvalue,"(41.873925, -87f.62919)","(41.873925, -87.62919)"
1056.trafficvolumecountlocationaddress,3234l West,3234 West
413.trafficvolumecountlocationaddress,646 Wets,646 West
269.street,Fulelrton Ave,Fullerton Ave
