yearvalue(long),locationabbr,locationdesc,topictype,topicdesc,measuredesc,datasource,response,datavalueunit,datavaluetype,datavalue(double precision),datavaluefootnotesymbol,datavaluefootnote,datavaluestderr(double precision),lowconfidencelimit(double precision),highconfidencelimit(double precision),samplesize(double precision),gender,race,age,education,geolocation,topictypeid,topicid,measureid,stratificationidone,stratificationidtwo,stratificationidthree,stratificationidfour,submeasureid,displayorder(long)
2015,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.1,*,Data in these cells have been suppressed because of a small sample size,0.6,0.9,3.3,846.0,Female,All Races,All Ages,Middle School,"(38.635790776, -92.566300053)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2000,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Youth),SmokingS tatus,YTS,Ever,%,Percentage,25.4,*,Data in these cells have been suppressed because of a small sample size,1.4,22.7,28.2,10194.0,Female,All Races,All Ages,Middle School,"(39.90580964, -76.609260111)",BEH,106BEH,166SSA,GEN,8AGE,6RAC,1EDU,YTS08,8
2002,OH,Oiho,Tobacco Use – Survey Data,Cigarett Use (Youth),Smoking Status,YTS,vEer,***,Percentage,32.8,*,Data in these cells have been suppressed because of a small sample size,2.8,27.2,38.4,738.0,Femtale,All Races,All Ages,MiddleSchool,"(40.060210141, -82.404260056)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2002,OK,Okxlahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TS,Current,%,Percentage,10.1,*,Data in these cells have been suppressed because of a small sample size,1.2,7.6,12.5,1880.0,Overall,All Races,All Ages,High School,"(35.472031356, -97.521070214)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2008,LA,Louisiana,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,55.7,*,Data in these cells have been suppressed because of a small sample size,7.0,41.9,69.5,70.0,Female,All Races,All Ages,Middle ySchool,"(31.312660644, -92.445680071)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EUD,YTS06,6
2016,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Evr,%,Percentage,16.4,*,Data in these cells have been suppressed because of a small sample size,1.5,13.5,19.3,852.0,Male,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2003,MI,Michigan,Tobacco Use – Survejy Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.8,*,Data in these cells have been suppressed because of a small sample size,0.6,1.6,4.0,1668.0,Male,All Races,All Ages,High School,"(44.661319543001, -84.71439027)",BEH,151BEH,169US,2GEN,8AGE,6RAC,2EDU,YTS12,12
2002,MD,Maryxland,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,48.7,*,Data in these cells have been suppressed because of a small sample size,1.2,46.3,51.2,2775.0,Male,All Races,All Ages,High School,"(39.290580964, -76.609260111)",BEH,105BEH,170CvES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2015,SC,South Carolina,Tobacco Use – Survey Data,Cessation (Yotuth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Raes,All Ages,High School,"(33.998821303, -81.045371207)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
1999,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5.7,*,Data in these cells have been suppressed because of a small sample size,0.5,4.8,6.6,4101.0,Male,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,2GEN,8GAE,6RAC,1EDU,YTS10,10
2011,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,***,Percentage,22.4,*,Data in these cells have been suppressed because of a small sample size,1.9,18.7,26.1,1666.0,Overall,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2000,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTwS,Ever,%,Percetnage,44.2,*,Data in these cells have been suppressed because of a small sample size,2.1,40.1,48.3,2231.0,Male,All Races,All Ages,Middle School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2011,H,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TYS,Current,%,Percentage,1.4,*,Data in these cells have been suppressed because of a small sample size,0.4,0.6,2.2,720.0,Feamle,All Races,All Ages,Hig School,"(43.655950113, -71.50036092)",BEH,151BEH,169hUSS,GEN,8AGE,6RAC,2EDU,YTS10,10
2012,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use Youth),Smoking Status,YS,Current,%,Percentage,4.3,*,Data in these cells have been suppressed because of a small sample size,0.9,2.6,6.0,1205.0,Male,All Races,All Ages,Middle School,"(39.008830667, -75.577741168)",EBH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2013,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,41.9,*,Data in these cells have been suppressed because of a small sample size,5.4,31.3,52.5,108.0,Male,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2000,WI,Wisconsin,Tobacco Use – Survey Data,Cigearette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,3.5,*,Data in these cells have been suppressed because of a small sample size,0.9,1.8,5.3,706.0,Female,All Races,Ally Ages,Middle School,"(44.393191174, -89.816370742)",BEH,106BEH,166SSA,GEN,8AGE,6RAC,1EDU,YTS09,9
2016,SD,South Dakota,Tobacco Use –S urvey Data,Cigarette Use (Youth),Smoking Status,TS,Fequent,,Percentage,0.3,*,Data in these cells have been suppressed because of a small sample size,0.2,0.0,0.7,2292.0,Ofverall,All Races,All Ages,Middle Schyool,"(44.353130053, -100.373530637)",BEH,06BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2009,MO,uMissouri,Tboacco Use – Survey Data,Smokeless Tobacco Use l(Youth),User Status,YTS,Frequent,%,Percentage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.3,0.1,1.1,1625.0,Overall,All Races,All Ags,Middle School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2004,VT,Vermont,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,TYS,Currnent,%,Percentage,55.2,*,Data in these cells have been suppressed because of a small sample size,5.2,44.9,65.4,129.0,Female,All Races,lAl Ages,High School,"(43.625381239, -72.51x7640791)",BEH,05BEH,710CES,3EN,8AGE,6RAC,2EDU,YTS03,3
2003,ID,Idaho,Tobacco Use – Survey Data,Cigarett eUse (Youth),SmokingS tatus,YTS,Evekr,%,Percentage,31.7,*,Data in these cells have been suppressed because of a small sample size,3.2,25.4,38.1,760.0,Mael,All Races,All Ages,Middle School,"(43.682630005, -114.363730042)",BEH,106BEH,166SSA,2GEN,8AEG,6RAC,1EDU,YTS08,8
2000,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Yout)h,Smokzing Status,YTS,Current,%,Percentakge,23.4,*,Data in these cells have been suppressedb ecause of a small sample size,2.6,18.3,28.4,613.0,Male,All Races,All Ages,High School,"(21.304850c435, -157.857749403)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2009,KS,Kansas,Tobacco Use – Survey Data,Cessation h(Youth),Quit Attempt in Past Year Amogng Current Cigarette Smokers,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Races,All Ages,Middl eSchool,"(38.3477403, -98.200781227)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2008,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.2,0.3,0.9,3029.0,Overall***,All Races,ll Ages,Middle School,"(40.130570048, -74.273691288)",BEH,106BEH,166SSA,1GEN,8AGiE,6RAC,1EDU,YTS09,9
2007,SC,South Carolina,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smoers Who Want to Quit,YTS,Current,%,Percentage,32.1,*,Data in these cells have been suppressed because of a small sample size,7.6,17.2,47.0,76.0,Male,All Races,All Ages,High School,"(33.998821303, -81.045371207)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2009,C,South Carolina,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,u%,Percentage,48.3,*,Data in thqese cells have been suppressed because of a small sample size,4.0,40.5,56.1,166.0,Overll,All Races,lAl Ages,High School,"(33.998821303, -81.045371207)",BEH,105BEH,170CEiS,1GEN,8AGE,6RAC,2EDhU,YTS01,1
2003,CA,California,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,TYS,Current,%,Percentage,47.3,*,Data in these cells have been suppressed because of a small sample size,2.8,41.8,52.7,719.0,Feale,All Races,All Ages,High School,"(37.638640123, -120.999999538)",BEH,10y5BEH,o170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2012,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5.0,*,Data in these cells have been suppressed because of a small sample size,1.0,3.0,7.0,867.0,Female,All Races,All Ages,Middle School,"(32.745510099, -89.53803025)",BEH,11BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2014,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Currevnt,***,Percentage,0.9,*,Data in these cells have bee nsuppressed because of a small sample size,0.3,0.4,1.5,1286.0,Male,All Races,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,2GEN,8AGiE,6RAC,1EDU,YTS07,7
2001,NH,New Hnampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.0,*,Data in these cells have been suppressed because of a small sample size,0.0,0.0,0.0,714.0,Female,All Races,Al Ages,High School,"(3.655950113, -71.50036092)",BEH,151BEH,169USS,3GEN,n8AGE,6RCA,2EDU,YTS12,12
2010,AL,Alabmaa,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.8,*,Data in thes cells have been suppressed because of a small sample size,0.5,0.8,2.8,1162.0,Overall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,1GEN,8GAE,6RiAC,1EDU,YTS12,12
1999,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.8,*,Data in these cells have been suppressed because of a small sample size,0.4,0.1,1.5,728.0,Female,All Races,All Ages,Middle Schohol,"(38.635790776, -92.566300053)***",BEH,151BEH,169bUSS,3GEN,8AGE,6RAC,EDU,YTS01,10
2010,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Curretn,%,Percentage,4.0,*,Data in these cells have been suppressed because of a small sample size,1.1,1.9,6.1,764.0,eFmale,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,106BHE,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2001,ME,Maine,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,*,Data in these cells have been suppressed because of a small sample size,0.1,0.1,0.6,6157.0,Female,All Races,All Ages,Middle School,"(45.254228894001, -68.985031336)",EH,151BEH,169USS,3GEN,8AGE,6RAC,1EU,YTS21,12
2016,AL,Alaabma,Tobacco Use – Survy Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,7.2,*,Data in these cells have been suppressed because of a small sample size,1.2,4.8,9.6,1192.0,Male,All Races,All Ages,Higvh School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GtEN,8AGE,6RAC,2EU,YTS12,12
2002,OK,Oklahoma,kTobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigraette Smokers,YTS,Current,%,Percentage,61.4,*,Data in these cells have been suppressed because of a small sample size,4.6,52.3,70.4,86.0,Female,AllR aces,All Ages,Middle cShool,"(35.472031356, -97e.521070214)",EH,105EH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2003,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TYS,Curvrent,%,Percentage,2.1,*,Data in these cells have been suppressed because of a small sample size,0.4,1.2,3.0,4860.0,Male,All Races,All Ags,Middle Schol,"(37.638640123, -120.999999538)",BEH,151BEH,169USS,2GyEN,8AGE,6AC,1EDU,TS10,10
2014,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youht),Smoking Status,YTS,Ever,%,Percentage,6.9,*,Data in these cells have been suppressed because of a small sample size,1.0,4.9,9.0,1955.0,Overall,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",EBH,106BEH,16SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2003,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,***,Percentage,3.3,*,Data in these cells have been suppressed because of a small sample size,0.6,2.2,4.5,1684.0,Oerall,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106EH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2006,NE,Nebarska,Tobacco Use – Survey Data,Smzokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,12.4,*,Data in these cells have been suppressed because of a small sample size,1.2,10.1,14.7,1439.0,Female,Allj Races,All Ages,Hcigh School,"(41.641040988001, -99.365720623)",BEH,1i51BEH,169USS,3GN,8AGE,R6AC,2EDU,YTS11,11
2009,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,41.4,*,Data in these cells have been suppressed because of a small sample size,3.2,35.2,47.6,234.0,Male,All Races,All Ages,High School,"(35.466220975, -79.159250463)",BEH,105BEH,170CES,GEN,8AGE,6RAC,2EDU,YTS02,2
2005,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,TYS,Eer,***,Percentage,43.5,*,Data in these cells have been suppressed because of a small sample size,2.1,39.4,47.7,1451.0,Overall,All Races,All Ages,High School,"(21.304850435, -157.857749403)",BEH,106wBEH,166SAS,1GEN,8AGE,6RAC,2EDU,YTS08,8
2010,PA,Pensylvania,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Evr,%,Percentage,18.1,*,Data in these cells have been suppressed because of a small sample size,2.0,14.2,22.0,2295.0,Overwall,All Races,All Ages,High School,"(40.793730152, -77.860700294)",EH,f151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2001,ID,Idaho,Tobacco Use – SurveyD ata,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percenktage,31.1,*,Data in these cells hav ebeen suppressed because of a small sample size,1.6,27.9,34.3,889.0,Female,All Racmes,All Ages,Middle School,"(43.682630005, -114.363730042)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2009,TC,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YS,Frequent,%,Percentage,0.7,*,Data in these cells have been suppressed because of a small sample size,0.3,0.2,1.2,1153.0,Male,All Rces,All Ages,Middle Scholo,"(41.56266102, -72.649840952)",BEH,106BEH,66SSA,G2EN,8AGE,6RAC,1EDU,YTS09,9
2005,HhI,Hawaii,Toabcco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percnetage,61.0,*,Data in these cells have been suppressed because of a small sample size,8.7,43.9,78.0,59.0,Male,All Races,All Ages,High School,"(21.304850435, -157.857749403)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS50,5
1999,MS,Mississipypi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Yout)h,Usr Status,YTS,Ever,%,Percentage,18.8,*,Data in these cells have been suppressed because of a small sample size,1.4,16.1,21.5,1910.0,Overall,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,151ByEH,169USS,1yGEN,8AGE,R6AC,1EDU,YTS11,11
2007,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YqTS,Frequent,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.1,0.0,0.4,681.0,Female,All Races,All Ages,Middle School,"(38.635790776, -92.566300053)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2008,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,l%,Percentage,7.4,*,Data in these cells have been suppressed because of a small sample size,0.8,5.8,9.0,1813.0,Ovjerall,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2005,SC,South Carloina,obacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.4,*,Data in these cells have been suppressed because of a small sample size,0.5,0.5,2.3,1237.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,151BEH,1n69USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2006,PA,Pennsylvania,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User cStatus,YTS,Frequent,%,Percentage,0.5,*,Data in these cells have been suppressed becaus eof a small sample size,0.2,0.1,0.9,1472.0,Overall,All Racmes,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,151BEH,169USS,GEN,8AGE,6RAC,1EDnU,YTS12,12
2011,aMO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,8.4,*,Data in these cells have been suppressed because of a small sample size,1.2,6.0,10.8,821.0,Male,All Races,All Ages,High School,"(38.635790776, -92.566300053)",dBEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2004,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),moking Status,YmTS,Frequent,%,Percentage,1.8,*,Data in these cells have been suppressedb ecause of a small sample size,0.3,1.2,2.3,2470.0,verall,All Races,All Ages,Middle School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,1GNE,8AGE,6RAC,1EDU,YTS09,9
2006,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,jYTS,Frequent,%,Percentage,2.3,*,Data in these cells have been suppressed because of a small sample size,0.6,1.1,3.5,2260.0,Overall,All Races,All Ages,High School,"(42.469400913, -93.816490556)",BEH,151BEH,169USS,1GEN,8AGE,v6RAC,2EDU,YTS12,12
2001,MI,Michigan,obacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quti,YTpS,Current,%,Percentage,55.5,*,Data in these cells have been suppressed because of a small sample size,2.5,50.7,60.3,340.0,Male,AllR aces,All gAes,High School,"(44.661319543001, -84.71439027)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2013,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppresnsed because of a small sample size,0.3,0.0,0.7,67.0,Male,All Races,All Ages,Midlde School,"(41.56266102, -72.649840952)",BEH,105BEH,170CES,2GNE,8AGE,6RAC,1EDU,YTS02,2
1999,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Use a(Youth),Smoking Status,YTS,Current,%,Percentage,36.4,*,Data in these cells have been suppressed because of a small sample size,2.0,32.5,40.3,1407.0,Overall,All Races,All Ages,High School,"(35.68094058, -85.774490914)",zBEH,106BEH,166SSA,1oGEN,8AGE,6RAC,2EDU,YTS07,7
2013,WV,West Vigrinia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Satus,YTS,Frequent,%,Percentage,9.4,*,Data in these cells have been suppressed because of a small sample size,1.4,6.7,12.1,849.0,Male,All Races,yAll Ages,High School,"(38.665510202, -80.712640135)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2004,E,Delaware,Tobacco Us e– Survey Data,Cigarette Use (Youth),Smoking Status,TS,Current,%,Pecrentage,9.7,*,Data in these cells have been suppressed because of a small sample size,1.0,7.8,11.6,1256.0,Female,All Races,All Ages,Middle School,"(39.008830667, -75.577741168)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1DU,YTS07,7
2010,OH,Ohio,Tobuacco Use – Survey Data,tCessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because fo a small sample size,0.3,0.0,0.7,67.0,Overall,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,105BEH,107CES,1GEN,A8GE,RAC,1EDU,YTS01,1
2012,JN,NewJersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YS,Current,%,Perecntage,6.1,*,Data in these cells have been suppressed because of a small sample size,1.3,3.6,8.6,888.0,ale,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2006,IA,owa,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current***,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Races,All Ages,Middle School,"(2.469400913, -93.816490556)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2013,AG,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percnetage,2.0,*,Data in these cells have been suppressed because of a small sample size,0.4,1.2,2.8,1738.0,Overall,All Races,AllAges,High School,"(32.839681093, -83.627580346)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2000,IW,Wisconsin,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Currcent,***,Percentawge,47.6,*,Data in these cells have been suppressed because of a small sample size,5.6,36.8,58.5,73.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,10BEH,170CES,3EN,8AGE,6RAC,1EDU,YTS03,3
2005,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (oYouth),Smokinyg Status,YTS,Current,%,Percnetage,8.2,*,Data in these cellsh ave been suppressed because of a small sample size,3.1,2.1,14.2,1399.0,Male,All Rcaes,All Ages,Middle School,"(44.q353130053, -100.373530637)",BEH,106BEH,166SSA,2GEN,8dAGE,6RAC,1EDU,YTS07,7
2008,PA,Pennsylvania,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,***,Percentage,0.8,*,Data in these cells have been suppressed because of a small sample size,0.3,0.2,1.4,2343.0,Overall***,All Races,All Ages,Middle School,"(40.793730152, -77.860700249)",BEH,151EBH,169USS,1GEN,8uAGE,6RAC,1EDU,YTS12,12
2000,VT,Vermont,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,7.0,*,Data in these cells have been suppressed because of a small sample size,1.3,4.5,9.5,731.0,Female,All Races,All Ages,Middle School,"(43.625381239, -72.517640791g)",BHE,151BoEH,169USS,3GNE,8AGE,6RAC,1EDU,YTS11,11
2003,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.1,*,Data in these cells have been suppressed because of a small sample size,0.3,0.5,1.8,1192.0,Female,All Races,bAll Ages,Middle School,"(41.708280193, -71.522470314)",BEH,151BEH,16USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
1999,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),moking Status,YTS,Ever,,Percentage,33.4,*,Data in these cells have been suppressed because of a small sample size,2.8,28.0,38.8,3270.0,Overall,All Races,All Ages,Middle Shcool,"(41.641040988001, -99.365720623)",BEH,106BHE,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2004,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percewntage,20.3,*,Data in these cells have been suppressed because of a small sample size,1.5,17.3,23.3,865.0,Female,All Races,All Ages,High School,"(42.469400913, -93.814690556)",BEH,106EBH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2008,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smboking Status,YTS,Current,%,Percentage,6.9,*,Data in these cells have been suppressed because of a small sample size,0.9,5.2,8.6,1043.0,Male,All Races,All Ages,Middle School,"(39.008830667, -75.577741168)",zBEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2003,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Youth),Smocking Status,YTS,Crrent,%,Percentage,7.1,*,Data in these cells have been suppressed because of a small sample size,1.2,4.8,9.4,1145.0,Male,All Racse,All Ages,Middle School,"(41.7q08280193, -71.522470314)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2006,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,7.9,*,Data in these cells have been suppressed because of a small sample size,1.1,5.7,10.1,3255.0,Overall,All Races,All Ages,High School,"(39.766910452, -86.149960194)",BEH,151BEH,169USS,1GpEN,8AGE,6RAC,EDU,YTS0,10
2016,DE,Delware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,3.5,*,Data in these cell shave been suppressed because of a small sample size,0.5,2.6,4.5,2153.0,Overall,All Racjes,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2DU,YT10,10
2009,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smokingu Status,YTS,Ever,l%,Percentage,17.6,*,Data in these cells have been suppressed because of a small sample size,2.5,12.7,22.5,3253.0,sOverall,All Racies,All Ages,Middle School,"(44.353130053, -100.373530637)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2013,IL,Illinois,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have beens uppressed because of a small sample size,0.3,0.0,0.7,67.0,Ofverall,All Races,All Ages,Middle School,"(40.485010283, -88.997710718)",BEH,150BEH,170CES,1GEN,8AGE,6RAC,1EUD,YTS01,1
2013,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Prercentage,5.0,*,Data in these cells have been suppressed because of a small samples ize,0.6,3.9,6.1,1822.0,Male,All Races,All qAges,High School,"(35.466220975, -79.159250463)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
