1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
744.statevalue,Califronia,California
328.facilityname,Children's Hospital ofr Orange County,Children's Hospital of Orange County
341.operativeprocedure,Cardiac surgry,Cardiac surgery
1374.statevalue,Califorina,California
541.statevalue,Claifornia,California
607.county,Sacrapmento,Sacramento
1156.hai,"Healthcare Associated Ifection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
225.operativeprocedure,pApendix surgery,Appendix surgery
693.facilityname,Northridge Hospital eMdical Center,Northridge Hospital Medical Center
374.facilityname,Desert eRgional Medical Center,Desert Regional Medical Center
607.operativeprocedure,olon surgery,Colon surgery
16.statevalue,alifornia,California
1125.facilityname,Keck Hospital ofw USC,Keck Hospital of USC
1234.county,Los Angees,Los Angeles
1316.statevalue,Claifornia,California
1225.county,Oraneg,Orange
348.statevalue,Califonia,California
1082.facilityname,Glendale Adventit Medical Center,Glendale Adventist Medical Center
856.county,Los Angelefs,Los Angeles
1269.hai,"Healthcare Associatedz Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
758.operativeprocedure,Exploratory abdozmial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
564.facilityname,Kaewah Delta Medical Center,Kaweah Delta Medical Center
298.county,Avlameda,Alameda
1212.county,Cotnra Costa,Contra Costa
1116.hai,"Healthcare Associated Infection, Surgical Site Infctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1183.statevalue,Californiga,California
221.hai,"Healthcare Associated Infection,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1458.facilityname,Palomar Medical Cehnter,Palomar Medical Center
1306.facilityname,Kern Medcial Center,Kern Medical Center
754.statevalue,Califonria,California
651.facilityname,"Kaiser Foundation Hospitalk, Baldwin Park","Kaiser Foundation Hospital, Baldwin Park"
831.hai,"Healthcare Associated Infection, Surgical Site Inections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
339.facilityname,Pomona Valley Hospital MedicalCenter,Pomona Valley Hospital Medical Center
107.hai,"Healthcare Associated Infection, Surgical Site Infections(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1155.statevalue,Califorxnia,California
812.statevalue,Califronia,California
386.statevalue,Califorenia,California
726.hai,"Healthcare Associated Infection, uSrgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1335.county,SanD iego,San Diego
319.statevalue,Californa,California
597.hai,"Healthcamre Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
750.facilityname,University ofp California Irvine Medical Center,University of California Irvine Medical Center
695.facilityname,O'Connor Hospital***,O'Connor Hospital
385.statevalue,Califorina,California
197.facilityname,Riverside University Healh System - Medical Center,Riverside University Health System - Medical Center
6.hai,"Healthcare Associated Infection, Surgical Site Infetcions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
194.facilityname,Rdeout Memorial Hospital,Rideout Memorial Hospital
1256.statevalue,Californlia,California
766.county,LosA ngeles,Los Angeles
1249.statevalue,Caliornia,California
856.hai,"Healthcare Associated Infectinon, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
10.statevalue,Califorznia,California
1227.county,Los Arngeles,Los Angeles
816.facilityname,"Kaiser Foundtaion Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
263.facilityname,Tulare Regional Maedical Center,Tulare Regional Medical Center
1254.operativeprocedure,Rectalsurgery,Rectal surgery
325.facilityname,Cedars-Sinai Medical Ceter,Cedars-Sinai Medical Center
1027.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)I","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1176.county,Rivrside,Riverside
728.statevalue,jCalifornia,California
489.facilityname,Santa Monica - UCLA Medical Center and Orhopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
1345.facilityname,Arroswhead Regional Medical Center,Arrowhead Regional Medical Center
430.statevalue,Californiea,California
1462.hai,"Healthcare Associated Infection, Surgical Site Infections (SSIg)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
843.facilityname,Lucivle Packard Children's Hospital Stanford,Lucile Packard Children's Hospital Stanford
971.statevalue,Caliofrnia,California
1434.operativeprocedure,Thoracic srgery,Thoracic surgery
80.statevalue,Californai,California
1077.operativeprocedure,Open redquction of fracture,Open reduction of fracture
1121.hai,"Healthcae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
292.county,Los Aangeles,Los Angeles
513.hai,"Healthcare Associated Infection, Ssurgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
516.county,Tulaer,Tulare
642.hai,"Healthcare Associaed Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
683.county,Los Asngeles,Los Angeles
1160.county,Los Angeels,Los Angeles
71.facilityname,Henry Mayo Newhalnl Hospital,Henry Mayo Newhall Hospital
1443.facilityname,"Kaiser Foundation Hospial, Vacaville","Kaiser Foundation Hospital, Vacaville"
799.statevalue,Calfiornia,California
87.hai,"Healthcare Associatwed Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1093.statevalue,Califoronia,California
373.county,Kren,Kern
735.facilityname,"St. oJseph Hospital, Orange","St. Joseph Hospital, Orange"
906.operativeprocedure,Gallbladdre surgery,Gallbladder surgery
157.operativeprocedure,pAppendix surgery,Appendix surgery
1478.hai,"Healthcare Associated Infection,k Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1262.operativeprocedure,Rectal sugrery,Rectal surgery
740.county,Amadocr,Amador
1220.hai,"Healthcare Associated Infection, Surgical Site nIfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1391.facilityname,Shriners Hospitals for Children Norther nCalifornia,Shriners Hospitals for Children Northern California
66.hai,"Healthcrae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
241.county,ake,Lake
1294.county,Ornage,Orange
383.county,Sisiyou,Siskiyou
706.operativeprocedure,Exploratory abdomial surgery (laparoomy),Exploratory abdomial surgery (laparotomy)
1221.statevalue,alifornia,California
166.operativeprocedure,Appendix srugery,Appendix surgery
9.operativeprocedure,Appendix usrgery,Appendix surgery
325.hai,"HealthcareAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
30.hai,"Healthcare Associated Infection, Surgical Site Infectionsu (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
78.facilityname,Huntington Memorial Hospiital,Huntington Memorial Hospital
489.hai,"Healthcare Associated Infection, Surgical Site Infecitons (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1171.county,an Bernardino,San Bernardino
545.county,Riversde,Riverside
1003.county,Los Angeels,Los Angeles
138.county,Caalveras,Calaveras
1485.hai,"Healthcae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
425.statevalue,Caelifornia,California
420.facilityname,"Kaiser Founadtion Hospital, San Diego","Kaiser Foundation Hospital, San Diego"
759.county,Satn Francisco,San Francisco
238.hai,"Healthcare Associated Infection, Surgical Site Infections SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
877.facilityname,Riverside University Health System - Medical Centber,Riverside University Health System - Medical Center
323.operativeprocedure,"Biel duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
337.statevalue,Califonia,California
926.statevalue,Caliofrnia,California
524.facilityname,Victor Valley Global Mediecal Center,Victor Valley Global Medical Center
1359.statevalue,Claifornia,California
62.county,Los Angles,Los Angeles
521.operativeprocedure,Cesarean sectjion,Cesarean section
1175.statevalue,alifornia,California
365.hai,"Healthcare Associated Infection, Surgical Site Ifections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
949.operativeprocedure,Kidnehy transplant,Kidney transplant
1378.county,Lo sAngeles,Los Angeles
312.statevalue,Cralifornia,California
309.county,Huamboldt,Humboldt
663.statevalue,Czalifornia,California
508.hai,"Healthcare Associatd Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1472.hai,"Healthcare Associated Infection, Surgical SiteI nfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1273.hai,"Healthcare Associated Infection, Surgical Site Infetions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
750.operativeprocedure,Expolratory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1315.statevalue,Californai,California
169.operativeprocedure,Appendix surgeryy,Appendix surgery
1222.facilityname,UCSF zMedical Center,UCSF Medical Center
193.statevalue,Califorhnia,California
1418.county,Rvierside,Riverside
1465.county,Sanat Clara,Santa Clara
1483.facilityname,"St. Mary Medical Cyenter, Long Beach","St. Mary Medical Center, Long Beach"
953.county,Lfos Angeles,Los Angeles
295.statevalue,Cbalifornia,California
148.county,Sacarmento,Sacramento
927.facilityname,Cedars-Sinai Mepdical Center,Cedars-Sinai Medical Center
399.county,Los Anglees,Los Angeles
664.facilityname,"Kaiser Founadtion Hospital, Santa Clara","Kaiser Foundation Hospital, Santa Clara"
383.operativeprocedure,Cesarean sectoin,Cesarean section
526.facilityname,Whittier Hospital MedicalC enter,Whittier Hospital Medical Center
669.statevalue,Californwia,California
623.facilityname,entinela Hospital Medical Center,Centinela Hospital Medical Center
394.facilityname,Grosmont Hospital,Grossmont Hospital
385.hai,"Healthcare AssociatedInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
366.statevalue,alifornia,California
547.county,Oraneg,Orange
1325.operativeprocedure,Small bwoel surgery,Small bowel surgery
1454.county,zStanislaus,Stanislaus
753.facilityname,Valleycawre Medical Center,Valleycare Medical Center
1103.county,San Bernrdino,San Bernardino
1215.hai,"Heaclthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
615.operativeprocedure,Exploratry abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1198.operativeprocedure,Open redution of fracture,Open reduction of fracture
1169.facilityname,Providence Tarzana Medical eCnter,Providence Tarzana Medical Center
661.operativeprocedure,Exploratory abdomiaol surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
881.statevalue,Califonria,California
191.operativeprocedure,Appendix surgery***,Appendix surgery
1242.statevalue,Clifornia,California
19.statevalue,Califonia,California
1196.statevalue,alifornia,California
962.hai,"Healthcrae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
279.hai,"Heatlhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
712.hai,"Healthcare Associated Infection, Surgical Site Ifnections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
828.statevalue,Calfiornia,California
360.statevalue,Californuia,California
357.county,Los Angles,Los Angeles
81.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
161.facilityname,vNorthbay Vacavalley Hospital,Northbay Vacavalley Hospital
761.county,Los Aneles,Los Angeles
834.statevalue,Californai,California
119.county,Los Anglees,Los Angeles
741.statevalue,Californai,California
172.county,Los Angeels,Los Angeles
433.statevalue,Caliornia,California
348.hai,"Healthcare Associated Infection, Surgical Site Infetions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
688.county,San Maeto,San Mateo
509.facilityname,"St. Mary Medical Cenetr, Long Beach","St. Mary Medical Center, Long Beach"
486.hai,"Healthcare Associated Infectio, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
703.operativeprocedure,Exploratory abdomial surgery l(aparotomy),Exploratory abdomial surgery (laparotomy)
1008.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)I","Healthcare Associated Infection, Surgical Site Infections (SSI)"
69.statevalue,Caliornia,California
1054.statevalue,Callifornia,California
12.facilityname,Barstw Community Hospital,Barstow Community Hospital
1387.operativeprocedure,Spinal fuison,Spinal fusion
1187.operativeprocedure,Open reduciton of fracture,Open reduction of fracture
1334.facilityname,"Sutter Medical Center, Sacraemnto","Sutter Medical Center, Sacramento"
342.county,Los Angelexs,Los Angeles
1219.statevalue,Calfornia,California
1115.facilityname,"Kaiser Fonudation Hospital, Santa Clara","Kaiser Foundation Hospital, Santa Clara"
620.statevalue,Caliofrnia,California
1105.facilityname,"Kaiser Foundation Hospital, Orange County, Irvtine","Kaiser Foundation Hospital, Orange County, Irvine"
826.county,Sonozma,Sonoma
308.operativeprocedure,"Bile duct, liver or pxancreatic surgery","Bile duct, liver or pancreatic surgery"
267.statevalue,aClifornia,California
580.operativeprocedure,Clon surgery,Colon surgery
343.statevalue,Califrnia,California
20.hai,"Healthcrae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
918.facilityname,Ventura County Medical eCnter - Santa Paula Hospital,Ventura County Medical Center - Santa Paula Hospital
702.hai,"Healthcare Associasted Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
258.facilityname,Sutter Solano Medical Cenetr,Sutter Solano Medical Center
1327.hai,"Healthcare Associated Infection, Surgical Site Infections (SSI)***","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1124.hai,"Healthcare Associated Infection, Surgical Site Infectons (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1451.hai,"Healthcare Associated Infection, Surical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
171.operativeprocedure,Appndix surgery,Appendix surgery
182.statevalue,Caliofrnia,California
445.statevalue,Calwifornia,California
504.county,Laek,Lake
1343.operativeprocedure,Smlal bowel surgery,Small bowel surgery
1099.facilityname,"Kaiser Fotundation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
611.statevalue,Cealifornia,California
121.hai,"Healthcare Associated Infection, Surgical iSte Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
717.statevalue,Califorgnia,California
1491.operativeprocedure,Thoracic surgerry,Thoracic surgery
1255.facilityname,Northridgev Hospital Medical Center,Northridge Hospital Medical Center
541.county,resno,Fresno
180.statevalue,dCalifornia,California
283.facilityname,Woodland Memoiral Hospital,Woodland Memorial Hospital
42.county,Stanidslaus,Stanislaus
268.hai,"Healthcaree Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1291.statevalue,Caliofrnia,California
672.operativeprocedure,Exploratory abdomials urgery (laparotomy),Exploratory abdomial surgery (laparotomy)
820.county,Placre,Placer
1284.county,Orajnge,Orange
832.county,Ornge,Orange
60.facilityname,George L Mee Memorial Hospital,George L. Mee Memorial Hospital
782.county,Los Angelse,Los Angeles
959.operativeprocedure,nee prosthesis,Knee prosthesis
696.statevalue,Callifornia,California
441.facilityname,Memoial Hospital Los Banos,Memorial Hospital Los Banos
571.county,anta Clara,Santa Clara
998.hai,"Healthcare Associated Infection, Surgmical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
476.hai,"Healthcare AssociatedInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
385.facilityname,Fountain Valley Regional Hospital & Medical Cennter,Fountain Valley Regional Hospital & Medical Center
1486.operativeprocedure,Tdhoracic surgery,Thoracic surgery
823.operativeprocedure,Gallbladdr surgery,Gallbladder surgery
79.facilityname,John F. Kennedy Memorial Hnospital,John F. Kennedy Memorial Hospital
1146.statevalue,alifornia,California
1312.statevalue,Califonria,California
965.facilityname,Rady Children's Hospital - San Deigo,Rady Children's Hospital - San Diego
201.facilityname,Saint Frnacis Medical Center,Saint Francis Medical Center
705.county,Humboltd,Humboldt
158.operativeprocedure,Appenqdix surgery,Appendix surgery
21.county,Oramnge,Orange
375.county,iSan Bernardino,San Bernardino
391.statevalue,Californai,California
1082.operativeprocedure,Open reduction of fractuer,Open reduction of fracture
508.facilityname,"St. Mary Medical Centerr, Apple Valley","St. Mary Medical Center, Apple Valley"
378.statevalue,Caleifornia,California
911.hai,"Healthare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1395.statevalue,alifornia,California
1429.hai,"Healthcare Associated Infection, Surgical Site Infectinos (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
440.statevalue,Californai,California
1189.statevalue,Califorina,California
26.operativeprocedure,Appedix surgery,Appendix surgery
1085.county,San Dicego,San Diego
478.operativeprocedure,Cesarean secqtion,Cesarean section
311.hai,"Healthcare Associatd Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
111.operativeprocedure,Appendixs urgery,Appendix surgery
162.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
898.hai,"Healthcar Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1028.statevalue,Californa,California
319.facilityname,UCSF Medical Centre,UCSF Medical Center
513.facilityname,Sutter Santa Rosa Regional Hoqspital,Sutter Santa Rosa Regional Hospital
1367.county,San Deigo,San Diego
1069.hai,"Healhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
129.statevalue,Californai,California
912.county,Mendocio,Mendocino
1031.statevalue,Cailifornia,California
940.operativeprocedure,Hip prostesis,Hip prosthesis
46.statevalue,Californa,California
687.hai,"Healtchare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
274.operativeprocedure,Appenidx surgery,Appendix surgery
1296.county,Playcer,Placer
31.facilityname,Community Hospital of Huntngton Park,Community Hospital of Huntington Park
543.facilityname,Earl & Loraine Millxer Children's Hospital,Earl & Loraine Miller Children's Hospital
1258.hai,"Hsealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
441.operativeprocedure,Ceasrean section,Cesarean section
398.county,Orzange,Orange
1155.operativeprocedure,Open rdeuction of fracture,Open reduction of fracture
509.hai,"Healthcare Associated Infection, Surgical Site Ifnections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
746.hai,"eHalthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
893.county,Neavda,Nevada
1131.county,San oaquin,San Joaquin
632.hai,"Halthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
479.hai,"Healthcare sAsociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1295.facilityname,"Kaiser Foundation Hospital, Orange Cuonty, Irvine","Kaiser Foundation Hospital, Orange County, Irvine"
71.county,Los Angieles,Los Angeles
272.hai,"Healthcare Associated Infection, Surgical Site Infections (SIS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
499.county,Rierside,Riverside
277.operativeprocedure,Appendix surgrey,Appendix surgery
97.hai,"Healthcare Associated Infection, Surgical Site Infetions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
199.operativeprocedure,Appendix surgeyr,Appendix surgery
603.facilityname,Sutte rRoseville Hospital,Sutter Roseville Hospital
1244.facilityname,"vKaiser Foundation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
173.facilityname,alo Verde Hospital,Palo Verde Hospital
895.operativeprocedure,Gallmbladder surgery,Gallbladder surgery
668.hai,"Healthcare Associated Infekction, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1169.county,Lo sAngeles,Los Angeles
90.hai,"Heajlthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
361.facilityname,Barstow Cosmmunity Hospital,Barstow Community Hospital
1223.facilityname,Ukiah Valley Medcial Center,Ukiah Valley Medical Center
307.hai,"Healthcare Associated Infectaion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
559.county,Sa Diego,San Diego
621.county,San Frncisco,San Francisco
483.county,Losx Angeles,Los Angeles
1245.statevalue,Calfiornia,California
481.hai,"Healthcare Associated Infecztion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1426.statevalue,Califrnia,California
194.statevalue,Calfornia,California
270.county,Los iAngeles,Los Angeles
1403.hai,"Healthcare Associated Infection, Surgical Site Infectios (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
771.operativeprocedure,Gallbladder sugrery,Gallbladder surgery
1289.facilityname,"Kaier Foundation Hospital, Baldwin Park","Kaiser Foundation Hospital, Baldwin Park"
1320.operativeprocedure,Small bowe surgery,Small bowel surgery
900.facilityname,St. Joseph's Medical CenterOf Stockton,St. Joseph's Medical Center Of Stockton
1486.statevalue,Californai,California
347.operativeprocedure,Cardiacb surgery,Cardiac surgery
181.facilityname,Pomerado Hosfpital,Pomerado Hospital
1086.hai,"Healthcare Awssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
540.county,Freson,Fresno
82.hai,"Healthcare Associated Infection, Surgical Sit Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1189.operativeprocedure,Open reduction of frnacture,Open reduction of fracture
1089.county,Aloameda,Alameda
1235.statevalue,Califoria,California
97.facilityname,"aiser Foundation Hospital, Redwood City","Kaiser Foundation Hospital, Redwood City"
680.county,Santat Clara,Santa Clara
1213.statevalue,uCalifornia,California
344.hai,"Healthcare Associated Infection, Surgical Site Infections p(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
32.facilityname,Commnuity Hospital of San Bernardino,Community Hospital of San Bernardino
1.operativeprocedure,Apepndix surgery,Appendix surgery
1115.county,SantaC lara,Santa Clara
75.statevalue,alifornia,California
1365.statevalue,Califoria,California
1179.county,Fesno,Fresno
1385.county,Los Angaeles,Los Angeles
510.operativeprocedure,Cesarean secion,Cesarean section
476.statevalue,Clifornia,California
1150.hai,"Healthcare Associated Infection, Surzgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
557.operativeprocedure,Colwon surgery,Colon surgery
1308.hai,"Healthcare Associated Infection, Surgical Site Inections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
586.hai,"Healthcare Ajssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1197.facilityname,Shriners Hospitatls for Children Northern California,Shriners Hospitals for Children Northern California
245.county,Oraneg,Orange
734.county,eThama,Tehama
181.hai,"HealthcareAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1019.county,SantaB arbara,Santa Barbara
913.facilityname,University of California Davis Medical Cneter,University of California Davis Medical Center
1431.operativeprocedure,Thorbacic surgery,Thoracic surgery
864.statevalue,Californai,California
715.county,Keorn,Kern
831.statevalue,aClifornia,California
1465.statevalue,Caliifornia,California
1450.statevalue,Caliyfornia,California
1281.statevalue,Califorina,California
1078.operativeprocedure,Open redhuction of fracture,Open reduction of fracture
381.facilityname,Emanuel Medica lCenter,Emanuel Medical Center
439.county,lE Dorado,El Dorado
655.operativeprocedure,Exploratory abdomial surgery l(aparotomy),Exploratory abdomial surgery (laparotomy)
355.facilityname,Alta Bates Summit Medical Cente - Alta Bates Campus,Alta Bates Summit Medical Center - Alta Bates Campus
82.statevalue,Caliornia,California
1297.hai,"Healthcare Associated Infetion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1019.hai,"Healthcare Associated Infection, Surgical Site Infections S(SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
206.operativeprocedure,gAppendix surgery,Appendix surgery
1102.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1186.county,Keren,Kern
1084.county,Satna Clara,Santa Clara
254.county,aSnta Cruz,Santa Cruz
590.county,San Bernaridno,San Bernardino
1003.hai,"Healthcare Associated Infjection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
681.facilityname,Mad River Community Hopsital,Mad River Community Hospital
565.facilityname,Kern Medcal Center,Kern Medical Center
718.statevalue,Califoria,California
968.hai,"Healthcare Associated Infectino, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
13.statevalue,lCalifornia,California
1321.county,Riversde,Riverside
1263.operativeprocedure,Rekctal surgery,Rectal surgery
1396.hai,"Healthcare Associated Infection, Surgical Site Infetions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
306.hai,"Healthcare Associated Infection, Surgical Sit Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1387.facilityname,Santa Clara Valley Medcal Center,Santa Clara Valley Medical Center
1020.statevalue,zCalifornia,California
585.hai,"Healthcare Assciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
300.statevalue,Califxornia,California
231.hai,"Healthcare Associated Infection, SurgicalSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1417.county,Venetura,Ventura
1462.operativeprocedure,Thoracic sugrery,Thoracic surgery
586.operativeprocedure,Colon surgeqry,Colon surgery
1191.operativeprocedure,Open reduction of fgracture,Open reduction of fracture
861.hai,"Healthcare AssociatedInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
231.statevalue,aClifornia,California
1409.facilityname,California Pacific Medical Center - California West Campusw Hospital,California Pacific Medical Center - California West Campus Hospital
1027.statevalue,Caifornia,California
1313.facilityname,Mercy San Juan MedicalC enter,Mercy San Juan Medical Center
996.hai,"Healthcare Assofciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1351.statevalue,Califrnia,California
709.facilityname,Riverside University Health System- Medical Center,Riverside University Health System - Medical Center
1375.operativeprocedure,pinal fusion,Spinal fusion
651.statevalue,Califbornia,California
1103.hai,"Healthcare Associated Infection, Surgcial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
200.operativeprocedure,ppendix surgery,Appendix surgery
281.statevalue,Califnornia,California
721.hai,"Healthcare Associated Infection, SurgicalS ite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
574.facilityname,Northba yVacavalley Hospital,Northbay Vacavalley Hospital
472.facilityname,Redwood Memorial Hosptal,Redwood Memorial Hospital
271.statevalue,Calidfornia,California
212.facilityname,Santa Clara Valley edical Center,Santa Clara Valley Medical Center
1420.hai,"Healthcare Associated Infection, Surgical SiteInfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
99.facilityname,"Kaiser Foundation Hospital, Rosseville","Kaiser Foundation Hospital, Roseville"
47.county,Riversied,Riverside
1318.operativeprocedure,Small bowel surgetry,Small bowel surgery
446.statevalue,Califkornia,California
579.statevalue,Calfiornia,California
495.hai,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
162.facilityname,Norhtern Inyo Hospital,Northern Inyo Hospital
122.facilityname,Lodi Memorial Hopital,Lodi Memorial Hospital
1114.county,aMrin,Marin
971.hai,"Healthcare Associated Infectin, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
600.operativeprocedure,Coln surgery,Colon surgery
421.statevalue,Cailfornia,California
