225.sex,Feale,Female
226.noteoncount,Reporting standards not met .Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
171.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
167.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
141.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
269.noteonearnings,Reporting standards not met. Either there are too few cases fo ra reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
257.noteonearnings,Reporting standards not met. Ether there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
308.raceethnicity,"Two or more races, onn-Hispanic","Two or more races, non-Hispanic"
43.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
177.characteristic,Total ,"Total - Male, Asian, non-Hispanic"
268.sex,Fqemale,Female
191.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
49.sex,Feamle,Female
295.sex,Feamle,Female
273.noteonearnings,Reporting standards not met. Either there are too few caseps for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
143.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
294.sex,Femael,Female
30.sex,Femalse,Female
149.characteristic,Total - Hispanic,"Total - Male, Black, non-Hispanic "
172.raceethnicity,"Asian, non-Hispzanic","Asian, non-Hispanic"
304.sex,Femlae,Female
276.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatiorn (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
87.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
108.sex,Femael,Female
206.raceethnicity,"American IndianAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
137.noteoncount,Reporting standards not met. Either there are too few cases for  areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
135.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is5 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
144.characteristic,Total - Male,"Total - Male, Black, non-Hispanic "
298.raceethnicity,"Aemrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
131.characteristic,Total ,"Total - Male, White, non-Hispanic"
11.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varikation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
81.characteristic,Total ,"Total - Asian, non-Hispanic"
52.sex,Fetmale,Female
153.characteristic,Total ,"Total - Male, Black, non-Hispanic "
239.sex,Fmemale,Female
190.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent orn greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
242.noteoncount,Reporting standards not met. Either there are too few cases fr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
63.sex,eFmale,Female
172.sex,ale,Male
118.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
285.noteoncount,Reporting standards not met. Either there are too few cases foqr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
195.characteristic,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
242.sex,Femae,Female
26.raceethnicity,"American Indian/Alsaka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
259.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinet of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
163.sex,Mael,Male
124.noteonearnings,Reporting standards not met. Either there are too few cases for a relialbe estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
84.characteristic,Total - Male,"Total - Asian, non-Hispanic"
239.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
195.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 prcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
233.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estqimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
142.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
256.noteonearnings,Reporting standards not met. Eithre there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.sex,Mael,Male
133.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estfimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
127.sex,Fmemale,Female
101.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
129.characteristic,Total ,"Total - Two or more races, non-Hispanic"
263.sex,eFmale,Female
128.raceethnicity,"Two or more races,e non-Hispanic","Two or more races, non-Hispanic"
156.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the ocefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
94.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
12.sex,yFemale,Female
88.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
256.sex,Fecmale,Female
161.noteonearnings,Reporting standards not met. Eiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
130.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ouf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
234.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (VC) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
64.characteristic,Total ,"Total - Black, non-Hispanic "
5.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vayriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
87.characteristic,Total - Female,"Total - Asian, non-Hispanic"
281.raceethnicity,"Pacific Islander, nno-Hispanic","Pacific Islander, non-Hispanic"
230.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estirmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
150.noteoncount,Reporting standards bnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
304.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
275.noteoncount,Data notavailable.,Data not available.
271.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islnaders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
112.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) s 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
259.sex,Femle,Female
201.sex,Mle,Male
181.characteristic,Total - Male,"Total - Male, Asian, non-Hispanic"
206.sex,Maqle,Male
292.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
27.noteonearnings,Reporting standardss not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
148.characteristic,Total - Male,"Total - Male, Black, non-Hispanic "
255.sex,Fedmale,Female
111.sex,emale,Female
38.sex,Femae,Female
134.noteoncount,Reporting standards not met. Either there aretoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
205.noteonearnings,Reporting fstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
29.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient f variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
255.raceethnicity,Hispagnic,Hispanic
298.sex,eFmale,Female
102.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
92.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
293.sex,Fmale,Female
117.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or geater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.sex,Fqemale,Female
215.sex,aMle,Male
91.sex,Femael,Female
302.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.raceethnicity,"Two or more qraces, non-Hispanic","Two or more races, non-Hispanic"
44.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffricient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
105.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 qpercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
35.sex,Femae,Female
199.noteoncount,Reporting standards not mpet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
175.raceethnicity,"Asan, non-Hispanic","Asian, non-Hispanic"
309.sex,Femlae,Female
244.raceethnicity,"Black, nonH-ispanic ","Black, non-Hispanic "
213.raceethnicity,"Two or more races, non-Hispsanic","Two or more races, non-Hispanic"
173.characteristic,Total - Male,"Total - Male, Asian, non-Hispanic"
246.sex,Femael,Female
78.characteristic,Total ,Total - Hispanic
86.characteristic,Total ,"Total - Asian, non-Hispanic"
134.characteristic,Total - Female,"Total - Male, White, non-Hispanic"
83.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
189.sex,Mkale,Male
228.noteonearnings,Reporting standards not met. Eithr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
53.sex,Femael,Female
285.raceethnicity,"Pacific Islander, nonH-ispanic","Pacific Islander, non-Hispanic"
161.characteristic,Total ,"Total - Male, Hispanic"
217.raceethnicity,"Two or more races, nonH-ispanic","Two or more races, non-Hispanic"
172.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
100.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
245.noteonearnings,Reporting standards not met. Either there are too few cases for a relable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
202.noteoncount,Reporting standards not met. Eiter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
50.characteristic,Total - Male,"Total - White, non-Hispanic"
220.noteonearnings,Reporting standards not met. Either there are too few caes for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
21.sex,Mael,Male
260.noteonearnings,Reporting standards not met. Either there rae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
282.raceethnicity,"Pacific Islander, onon-Hispanic","Pacific Islander, non-Hispanic"
117.characteristic,"Total - White, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
311.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or qthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
132.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
294.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatre.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
18.sex,Mle,Male
179.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
243.raceethnicity,"Black, non-Hgispanic ","Black, non-Hispanic "
282.noteonearnings,Reporting standards not met. Either themre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
307.raceethnicity,"wTo or more races, non-Hispanic","Two or more races, non-Hispanic"
205.raceethnicity,"AmericanIndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
10.sex,Femae,Female
203.raceethnicity,"American Indian/Alaska Native, nonHispanic","American Indian/Alaska Native, non-Hispanic"
68.sex,Feamle,Female
112.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
279.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.raceethnicity,"White, on-Hispanic","White, non-Hispanic"
11.sex,Femlae,Female
295.raceethnicity,"American Indianl/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
218.sex,Mae,Male
184.sex,ale,Male
289.sex,Femdale,Female
70.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or thme coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
278.raceethnicity,"Pacific Islaner, non-Hispanic","Pacific Islander, non-Hispanic"
205.sex,Mlae,Male
169.noteoncount,Reportin standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
295.noteonearnings,Reporting standards not et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
234.raceethnicity,"White, non-Hispabnic","White, non-Hispanic"
208.sex,Mae,Male
207.sex,ale,Male
193.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
92.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
287.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or graeter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
267.raceethnicity,"Aesian, non-Hispanic","Asian, non-Hispanic"
113.raceethnicity,"American Indian/Alska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
90.sex,Femael,Female
284.sex,Femael,Female
292.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percentz or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
60.characteristic,"Total - Male, American Indian/Alaska Native, non-Hispanic","Total - Black, non-Hispanic "
163.characteristic,Total - Male,"Total - Male, Hispanic"
33.noteonearnings,Reporting standards not met .Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
204.sex,Mmale,Male
166.characteristic,Total - Male,"Total - Male, Hispanic"
184.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
216.sex,ale,Male
82.characteristic,Total - Male,"Total - Asian, non-Hispanic"
259.raceethnicity,Hisapnic,Hispanic
266.raceethnicity,"Asian, non-Hipanic","Asian, non-Hispanic"
252.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficien tof variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
65.noteoncount,Reporting standards not met. Either there are too few cases for a reliakble estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,Total ,"Total - White, non-Hispanic"
257.raceethnicity,lHispanic,Hispanic
98.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
135.sex,Mae,Male
246.raceethnicity,"Black, non-Hispxanic ","Black, non-Hispanic "
258.raceethnicity,Hifspanic,Hispanic
28.noteoncount,Reporting standards not met. Either there are too few casesy for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
158.characteristic,Total ,"Total - Male, Hispanic"
114.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estiamte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.sex,Mael,Male
116.noteonearnings,Reporting standards not met. Either there arxe too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
90.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
60.noteonearnings,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
145.characteristic,Total - Male,"Total - Male, Black, non-Hispanic "
246.noteonearnings,Reporting standarsd not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.sex,aMle,Male
230.sex,Fmale,Female
197.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) isf 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
6.sex,Fmeale,Female
253.sex,emale,Female
267.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CfV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
74.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
49.raceethnicity,"Wnhite, non-Hispanic","White, non-Hispanic"
124.characteristic,Total ,"Total - Two or more races, non-Hispanic"
273.sex,Feale,Female
85.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
7.noteonearnings,Reporting standards no tmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
21.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
147.characteristic,Total - Female,"Total - Male, Black, non-Hispanic "
97.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
271.raceethnicity,"Asian, non-Hipanic","Asian, non-Hispanic"
160.sex,ale,Male
88.characteristic,Total ,"Total - Asian, non-Hispanic"
75.noteoncount,Reporting standards not met. Either thtere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
265.raceethnicity,"Asian, nonH-ispanic","Asian, non-Hispanic"
119.characteristic,"Total - White, non-Hispanic","Total - Two or more races, non-Hispanic"
101.sex,eFmale,Female
121.noteonearnings,Reporting standards not met. Either there are too few cases for a relwiable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
