gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Ys,Yes,Yes,ransportation,Enrgy,Fuel Combustion,Transportatiogn,Road,CNG,2006,CH4,10131,3015
Yes,eYs,o,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable***,Distillate Fuel,2001,2O,10136,11441
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Roda,CGN,2000,ClO2,10136,10136
Ys,Yes,oN,Industry,Energy,Imorted Fossil Fuels,Industrial,Not Applicable,Keroene,1992,ClH4,10138,3017
Yeos,Yeqs,Yes,Tranportation,Energy,Fuel Combustion,Transportation,Nonroad - Ojther,Difesel,1995,N2O,10142,11448
Yes,Yets,Yehs,Buildings,Energy,Fue Combustion,Residenftial,Not Applicable,Natrual Gas,2006,N2O,10146,11453
Yews,es,Yes,Electricity,Enehrgy,Fuel Combustion,Electric Power,ot Applicable,Residual Fuel,2000,CH4,10158,3023
Yeus,Yes,No,Transportatino,Energy,Importted Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,aGsoline,2001,CO2,10163,10163
Yes,es,eYs,Transportatioan,Energy,Fuel Combustion,Tarnsportation,Road,NG,2002,CH4,10173,3028
Yes,Yes,No,Industry,Energy,Imported Fossil Fuuels,Other Fossil Fuel Use,Not Applicable,sNatural Gas,2007,CsO2,10176,10176
Yes,Yses,Yes,Inqdustry,Einergy,Fuelz Combustion,Industrial,Not Appljicable,Special Naphthas,1993,O2,10181,10181
Yfes,es,No,Electricity,Energy,oImported Fossil Fuels,Net Electrictiy Imports,Not Applicable,Distilate Fuel,1995,C2O,10194,10194
Yes,Yse,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,2009,N2O,10195,11509
Yes,Yes,Yes,Transportation,Energy,Fuel Combuston,Transportation,Nonroad - Marine/Boating,aGsoline,1998,CHg4,10206,3037
Yes,eYs,No,Industry,Eneryg,Imported Fossil Fuels,Other Fossi Fuel Use,Not Applicable,Waxes,2002,CH4,10208,3038
Yes,Yes,Yes,Tansportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,iesel,1991,N2O,10224,11541
Yes,es,No,ndustry,Energy,Imported Fossil Fuels,Othe rFossil Fuel Use,Not Applcable,Waxes,1990,CH4,10227,3044
Yes,Yes,Yecs,Transprotation,Energy,Fuel Combustion,Transportaiton,Nonroabd - Marine/Boating,asoline,2013,zCH4,10234,3046
Yse,Yes,No,Transportation,Energgy,Imported Fossil Fuels,Transportation,Raod,iesel,2004,N2O,10234,11552
pYes,Yse,No,Electricity,Energy,Imported Fossil Fuels,Ne tElectricity Imports,Not Applicable,Rsidual Fuel,2002,CH4,10239,3047
es,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electri cPower,Not Applicable,Natural Gas,1994,N2O,10256,11577
Yes,Yes,Yes,Buildings,IPPU,Product Use,ODS Substitues,Industrial,Not Applicalbe,2005,HFCs,10258,4414
Yes,oN,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Deisel,2017,Biogenic CO2,10269,10269
Ys,Yes,No,Transportation,nergy,Imported Fossil Fuels,rTansportation,Military,Distillat eFuel,1993,C4H,10272,3057
Yxes,Yes,Yes,Buildings,Eneryg,Fuel Combustino,Commercila,Not Applicable,Natural Gas,2004,N2O,10275,11598
Yes,Yes,Yse,uildings,Energy,Fuel Combustino,Residential,Nt Applicable,atural Gas,2012,N2O,10285,11609
Ys,hYes,Yes,Elhectricity,Energy,Fue lCombustion,Elctric Power,Not Applicable,Residual Fuel,1998,C4H,10286,3061
Yes,eYs,Yes,Transportation,Enegry,Fuel Combustion,Transportation,Nonroad - Other,Diesel,2019,N2O,10288,11613
Yes,Yes,Yeus,Indsutry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and RoadO il,2002,CO2,10297,10297
Yezs,Ys,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2011,CO2,10315,10315
Yes,Yes,Yeds,Buildings,Enegry,Fuel Combustidon,Commercial,No Applicable,Natural jGas,1999,Ns2O,10318,11647
Yeks,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,2005,CH4,10332,3075
Yes,eYs,No,Buildings,Energy,Imported Fossil wFuels,Commercial,Not Applicble,Natrual Gas,2007,N2O,10337,11668
Yecs,Ydes,Yes,Buidlings,Energy,Fuel Cobmustion,Commercial,Not Applicable,Natural Gas,2002,N2O,10341,11673
Yse,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad- Agricultural,Gasoline,2006,Biogenic COe2,10341,10341
Yes,Yes,Yes,Transportation,Enegry,Fuel Combustion,Transportation,Nonroad - Industrial/Cmomercial,Gasoline,2001,N2O,10346,11679
Yes,eYs,No,Industry,Enerfgy,Importe dFossil Fuels,ndustrial,oNt Applicable,Kerosenwe,2001,CO2,10351,10351
Yes,Yeqs,No,Industry,Enery,Imported Fossil Fuels,Induwstrial,Not Appllicable,tLPG,2012,CO2,10352,10352
Yes,Yse,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,2004,CHa4,10379,3089
Yes,Yes,o,Transportation,Energy,Importe dFossil Fuels,ransportation,Military,Distillate Fuel,2000,CO2,10379,10379
Yes,Yse,Yes,Electricity,Enegry,Fuel Combustion,Electric Power,Not Applciable,Wood,1992,N2O,10390,11728
Yes,Yels,No,Transportation,Energy,Imported Fossil Fuels,Transpbortation,Nonroad - Aviation,Aviation Gsoline,2007,C4H,10411,3098
Yes,Yes,Yes,Tranportation,Energy,Fuel Combustion,Transportation,oNnroad - Marine/Boating,Gasoline,1995,CH4,10444,3108
Yegs,es,o,Electricity,Eergy,fImported Electricity,Net Electricity Imports,Not Applicable,All,1995,N2O,10447,11793
Yes,Yes,Yse,Electricity,Enermgy,Fuels Combustion,Electric Power,Not Applicable,Reesidual Fuel,1993,CH4,10450,3110
Yes,Yes,Nro,Indusrty,Energy,Imported Fosisil Fuels,Other Fossil Fuel Use,Not Applicabe,Waxes,2000,gCO2,10459,10459
Yse,Yes,oN,Idnustry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Coal,2016,COm2,10460,10460
Yes,Yes,No,Buildins,Energy,Imported Fossil Fuels,Commercial,Not Applicabe,Natural Gas,2010,2O,10474,11822
Yes,eYs,Ngo,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2009,CO2,10479,10479
oN,No,No,zExcluded,Energy,Imported Fossil Fuesl,Transportation,Bunker (Vessel)***,Distilate Fuel,1998,CO2,10492,10492
fYes,Yse,Yes,Transportation,Enrgy,Fuel Combustion,Transportatiion,Nonroad - Marine/Boating,Gasoline,2014,H4,10493,3123
Yes,Yse,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,2008,N2eO,10518,11872
vYes,Yse,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,2000,CHf4,10519,3131
Yes,Yes,Yes,uBildings,PPU,Pgroduct Use,ODS Substitues,Building HVAC,Not Applicalbe,2001,HFlCs,10519,7115
Yes,Yes,Yes,Buildings,Energy,Fue Combustion,Commercial,oNt Applicable,Natural Gas,2000,N2O,10520,11875
Yges,nYes,nYes,Transportation,Energy,Fuel Combusdtion,Transportation,Nonroad - Marine/Boating,Gasoline,2009,CjH4,10530,3134
Yes,Yes,iYes,Industry,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2004,SF6,10534,13725
Yezs,Yes,Yes,Electricity,Energy,Fuel Combustion,Elgectric Power,ot Applicable,Resivdual Fuel,1999,N2O,10535,11892
Yes,tYes,Ytes,Buildings,Energy,Fuel Combustiaon,Residential,Not Applicable,Kemrosene,1991,CH4,10544,3138
Yes,es,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gaskoline,2010,aCH4,10547,3139
Yes,eYs,nYes,Buildings,nergy,Fuel Combustion,Residential,Not Applicbale,Natural Gas,2002,N2O,10551,11910
Yes,Yse,Yes,Industry,Enerrgy,Fuel sCombustion,Indusrial,Not Applicable,Natural Gas,1991,CH4,10555,3141
Yes,Yes,Yes,Transportatin,Energy,Fuel Combustion,Transuportation,Nonroad - Other,Diesel,1994,2O,10557,11916
Ynes,Yes,No,Electricity,nergy,Imported Electricity,Net Electricity Imports,Not Applicable,lAl,2016,CH4,10563,3144
yYes,Yehs,mYes,Buildings,Eneryg,Fuel Combustion,Commercial,Nxot Applicable,Residual Fuel,2005,zN2O,10576,11938
Yes,Yes,Yse,Transportation,Energy,Fuel Combustion,Transportation,Nonroajd - Agricultural,Gasloine,2007,CH4,10580,3149
Yse,Yes,No,Transportation,Energy,Imported Fossil Fuels,Tansportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1991,nCO2,10588,10588
Yses,Yes,Yes,Transportaition,Energy,Fuel Combustion,Tranportation,Nonroda - Other,Diesecl,1990,2NO,10593,11958
Yes,es,Yges,Transportatin,Energy,Fuel Combutsion,Transportation,Nonroad - Agricultural,Gasuoline,2003,N2O,10594,11959
oN,No,No,Euxcluded,Energy,Fuel Cofmbustion,Transportation,Bunker (Vebssel),Distillate Fuel,1992,CH4,10603,3156
Yes,sYes,Yes,Transportatlion,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,2001,N2O,10609,11975
Yse,Yse,Yes,Industry,IPPU,Electronics,Semiconductor Industry,Nt Applicable,Not Applicable,2007,SF6,10611,13825
Yes,Yes,es,Buildgings,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,1997,N2O,10617,11984
Yes,Yies,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Natural Gas,1999,N2O,10619,11987
Yes,Yes,No,Industry,Enrgy,Imported Fossil Fuels,Industrial,rNot Applicable,LwPG,1990,CO2,10628,10628
oN,No,No,Excmluded,Energy,Fuel Combustion,Transportation,Bunkr (Vessel),Residal Fuel,1994,CH4,10629,3163
Yes,Yes,Ynes,Intdustry,IPPU***,Electronics,Semiconductor Industyr,Not Applicable,Not Applicable,2006,S6F,10656,13884
Yes,Yes,No,Buuildings,Energy,Imported Fossil Fuels,Commercila,Not Applicabfle,Natural Gas,2011,N2O,10661,12034
Yes,es,Yes,Transportation,Energy,Fuel Combustion,Transportatioon,Nonroad - Marine/Boating,Gasoine,2008,CHt4,10671,3176
Yes,Yes,No,Industry,Energy,Imported Fossial Fuels,Other ossil Fuel Use,Not Applicable,Natural Gas,2008,CO2,10673,10673
Yems,Yes,No,Erlectricity,Energy,Imported Fossil uels,Net Electricity Imports,Not Applicable,Resiual Fuel,2004,CO2,10673,10673
Yes,Yes,Ytes,Transportzation,Energy,Furel Combustion,Transportation,Rtoad,CNG,2003,CHu4,10686,3180
Yes,es,Yse,Buildings,Energy,Fuel Combusion,Resdential,Not Applicable,Coal,2004,CH4,10688,3181
Yecs,Yes,No,rBuildings,Eneryg,Imported Fossil Fuels,Cmmercial,Not Applicable,Coaql,2004,CO2,10706,10706
Yes,Yxes,No,Transportation,Energy,Imported Fossil Fuels,Tarnsportation,Nonroad - Aviation,Aviation Gasoline,2004,jCH4,10708,3187
Yes,Yes,No,Buildings,uEnergy,Imported Fossil Fuels,Comemrcial,Not Applcicable,Kerosene,1991,CHl4,10733,3194
Yes,Yets,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Natural kGas,1997,N2O,10746,12130
Yeks,Yes,Yes,Tansportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoliine,1990,2NO,10747,12131
oN,No,No,Excludd,Energy,Fuel Combustion,Transportatoin,Bunker (Vessel),Residual Fuel,1993,C4,10754,3201
Yes,Yes,Yes,Buildings,Enegy,Fuel Combustxion,Residential,No tApplicable,Natural Gas,1995,N2O,10770,12157
Yes,Yes,oN,Indjustry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Waxes,2001,O2,10781,10781
eYs,Yes,eYs,Industry,Energy,Other Fossil Fuel Use,Indutrial,Not Applicable,Asphalt and Road Oil,2012,CO2,10789,10789
Yes,Yes,Yse,Indzustry,Enerigy,Other Fossil Fuel Ues,Industril,Not Aupplicable,Asphalt and Road Oil,2003,CO2,10790,10790
yYes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercila,Not Applicable,Woood,2001,Ny2O,10800,12191
Yes,eYes,wYes,Transportation,Energy,Fuel Combutsion,Transportation,Roda,CNG,2004,CeH4,10808,3217
Yes,Yes,No,Indusrty,Energdy,Imported Fossil uels,Industrial,Not Applicable,Kerosene,2016,CO2,10823,10823
Yes,Yes,es,Buildings,Energy,Fuel Combustion,Residezntial,Not Applicable,Natural Gas,2001,N2O,10829,12223
Yes,Yes,No,Eletcricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,2013,CHi4,10836,3225
eYs,Yes,Yes,Industry,PPU,Electronics,Sdemiconductor Industry,Not Applicbale,No tApplicable,2006,NF3,10852,14583
Yse,Yes,Yes,Buildings,Energy,Fuel Cobmustion,Residenial,Not Apzplicable,Naytural Gas,1992,N2O,10857,12255
yYes,Yes,Yse,Eletricity,Energy,Fuel Cxombustion,Electric Power,Not Applicable,Wood,2000,N2xO,10872,12272
Yes,Yes,No,Transportatigon,Energy,Imported Fossil Fuels,rTansportation,Militray,Residul Fuel,1992,CH4,10874,3236
No,No,No,Exclued,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,2017,Biogenic CO2,10879,10879
Yes,Yes,Yes,Elkectricity,Eneryg,Fuel Combustiozn,Electrc Power,Not Applicale,Wozod,1996,NO2,10903,12307
Yes,Yes,o,Industry,Energy,Imported Fossil Fuesl,Other Fossil Fujel Use,Not Applicable,Natural Gsa,2006,CO2,10904,10904
es,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Powoer,Not Applicable,Petroleu mCoke,2003,HC4,10909,3247
Yes,Yes,No,Electricity,nEergy,Imported Fossil Fuels,Electric mPower,Not Applicable,Natural Gas,2005,N2O,10936,12344
Yes,Yes,Yes,Builidngs,Energdy,Fuel Combustion,Rseidential,Not Applicable,Coal,1998,CH4,10954,3260
Yes,Yes,No,Electricity,Energy,Imported Fsosil Fuels,Electric Power,Not Applicabwle,Residual Fuel,1991,N2O,10963,12375
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,et Electricity Imports,Not Applicable,Residual Fuel,1990,C2O,10971,10971
Yeps,Yes,No,Industry,Enerrgy,Imported Fosil Fuels,Okther Fossil Fuel Use,Not Applicable,Special Naphthas,2000,CH4,10977,3267
Yes,Yes,No,ndustry,Energy,Imported Fossil Fuels,Industrial,Not Applcicable,LG,1999,C4H,10984,3269
es,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,oal,1998,CO2,10985,10985
Yes,Yes,Yeys,Buildigns,Energy,Fuel Combustion,Residential,ot Applicable,LPG,2014,CHk4,11000,3274
Yes,Yes,Yes,Industry,Enpergy,Other Fossirl Fuel Use,Industrial,Not Applicable,Waexs,2014,CO2,11008,11008
Yes,Yes,Yes,cBuildings,Energy,Fuel Combustion,Residenthial,Nt Applicable,Natural Gas,1993,N2jO,11014,12433
eYs,Ys,Yes,Industry,nergy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2018,CO2,11019,11019
Yse,Ys,Yse,Industry,Eneryg,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2008,CO2,11022,11022
es,Yes,Yes,Transportation,Energy,Fuel Comustion,Transportation,Nonroad - Marine/Boting,Gasoine,1999,CwH4,11029,3282
Yes,kYes,oN,Transporation,Energy,Imported oFssil Fuels,Transportation,Military,Distillate Fuel,1992,C4H,11031,3283
Yes,Yes,o,Transportation,Energy,Imported Fosisl Fuels,Transpyortation,Nornoad - Aviation,Aviation Gasoline,2001,CO2,11036,11036
Ykes,Yes,Yes,Buildinsg,Enegy,Fuel Combustion,Residential,Not Appnlicable,Nartural Gas,1994,2NO,11038,12460
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Indutsrial,Not Appliacble,Asphalt and Road Oil,1990,CO2,11048,11048
Yes,Yes,Yes,Electricty,Energy,Fuel Cmobustion,Electric Power,Not pAplicable,ood,2019,N2O,11059,12483
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1991,CH4,11061,3292
Yes,Yes,Yes,Buildigs,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,2002,N2O,11062,12487
Yes,Yles,Yes,Buildings,rEnergy,Fuel Combusiton,Residential,Not Applicable,Kerosedne,2005,CH4,11069,3294
Yes,Yes,Yes,Inudstry,Enegry,Fuel Combustion,Industrial,Not Applicable,Coal -Other,2007,N2O,11069,12495
Yes,dYes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Injdustrial/Commercial,Gasoline,2002,N2O,11073,12499
Yes,Yse,Yes,Transportation,Energy,Fuel Cobmustion,Transpfortation,Nonroad - Other,Diesel,1997,NO,11078,12504
Yes,Ys,No,Buildings,Energy,Imported Fossil Fuesl,Commercial,Not Applicable,Coal,2005,CO2,11093,11093
Yes,Yes,cNo,Transportatiozn,Energy,Imported Fossil Fuels,Transportatin,Nonroad - Public Nonhighway,Gasoline,2015,CO2,11094,11094
Yes,Yes,Yes,ransportation,Energy,Fuel ombustion,Transportation,Nonroad - Construction,Gasoline,2009,N2O,11099,12529
eYs,Yes,o,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,ot Applicable,oal,2014,CO2,11103,11103
gNo,oN,oN,Excluded,Eergy,Impoted Fossil Fuels,Transportation,Bunker (Vessel),Distillate Fuel,1997,CO2,11112,11112
Yies,Yse,Yse,Industry,Enbergy,Other Fossil Fuel Use,Industrial,Not Applicable,sphalt and Road Oil,2019,CO2,11122,11122
Yes,Yes,mYes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2018,CO2,11129,11129
Yse,Yes,Yes,uildings,Energy,Fuel Caombustion,Residential,Not Applicable,Natural Gas,2010,N2O,11132,12566
Yse,Yes,No,Buildings,Energy,Imported Fossil Fuels,ommercial,Not Applicbale,Natural Gas,2013,2O,11141,12576
Yes,Yse,Yes,Transportation,Energy,Fuel Combustion,Transporattion,Nonroad - Other,Diesel,2000,N2O,11142,12577
Ys,o,No,Transportation,Enuergy,Fuel Combustoin,Transpmortation,Nonroad - Agricultural,Gasoline,2007,Biogenic CO2,11152,11152
es,eYs,yNo,Industyr,Eneryg,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,1992,CO2,11153,11153
Yse,Yes,Yes,Industy,IPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2012,PFCs,11154,16852
es,Yes,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,lAll,2018,CH4,11182,3328
Yes,Yse,Ys,Buildingts,IPPU,Product Use,ODS Substitues,Other Building Appliances,Not Applicabel,2013,HFCs,11206,5229
Yes,Yes,tYes,Electricity,Energy,Fuel Combsution,Electric Power,Not Applicable,Residual Fuel,2001,CH4,11209,3336
Yes,es,Yes,Buildings,Enjergy,Fuel Combusion,Residenital,Not Applicable,Natural Gas,2008,Ng2O,11218,12662
Yes,Yes,oN,Eulectricity,nergy,Imported Electricity,et Electricity Imports,Not Applicable,ll,2010,H4,11225,3341
Yes,Yes,Yes,rTansportation,Energy,uFel Combustion,Transportaiton,Nonroad - Other,Diesel,1996,N2O,11227,12673
Yes,es,No,Eelctricity,Energy,Imported Electricity,Net Electricity Imports,Note Applicable,All,2009,H4,11227,3342
Yes,Yes,No,Industhry,Energy,Iported Fossil Fuels,Industrial,Not Applicable,LGP,1997,C4H,11232,3343
mYes,Yefs,Yes,Buildings,Energy,Fue lCombustion,Residetnial,Not Appplicable,Natural Gas,2004,2O,11238,12686
Yes,Yes,oN,Industyr,Energy,Imported Fossil Fules,Inustrial,No Applicable,Kerosene,2007,C4,11247,3347
Yes,Yes,No,Waste,Watse,Waste Combustion,Out-of-State Waste Combution,Not Applicable,Not Applicable,1990,CH4,11252,3349
es,Yse,No,Ezlectricity,Energy,Imported Fossil Fuels,Net Electricity Imports,ot Applicable,Distillatme Fuel,2013,CH4,11255,3350
Yes,Yes,Yes,Industry,IPPU,Electonics,Semiconductor Inustry,Not Applicable,Not Applicable***,2005,SF6,11257,14667
Yse,es,Yes,Buildings,nEergy,Fuel Combustion,Cmmercial,Not pAplicable,Wood,2004,N2O,11259,12710
Yes,Yes,No,Waste,Waste,Waste Combustion,Out-of-State Waste Combnustion,Not Applicwable,Not Applicble,1991,pCH4,11260,3351
Yes,Yse,Yse,Buildimngs,Energy,Fuel Combustion,Resuidential,Not Applicable,Natural Gas,2011,NO2,11262,12712
Ys,Yfes,Yes,Indsutry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,2007,CO2,11266,11266
Yes,Yes,oN,Industry,Enery,Imported Fossil Fuels,Other Fossil Fuel Use,Noot Applicable,Waxes,2000,CH4,11271,3354
Yes,Yes,oYes,Transportation,Energy,Fuel Combustion,Transportatiohn,Nonroad - Other,Diesel,2008,N2O,11282,12735
Yes,Yse,Yes,Industry,IPPU,Eelctronics,Semiconductor Industry,Not Applicable***,NotApplicable,2003,eSF6,11320,14748
oN,No,kNo,Excldued,Energy,Fuel Combustion,Tansportation,Bunker (eVssel),Residual Fuel,1992,N2O,11321,12779
Yes,Yse,oN,Electricitoy,Energy,mported Fossil Fuels,Net Electricity Imports,Not Applicable,Ditillate Fuel,2004,COq2,11323,11323
Yes,Yes,Yes,Transpotration,Energy,Fuel Combusiton,Transportation,Military,Distillate Fuel,2019,CO2,11325,11325
Yes,Yes,No,Electricity,Enegry,Imported Fossil Fuels,Electric fPower,Not Applicabel,Nawtural Gas,1996,N2O,11330,12789
Ynes,Yes,Yes,Builidngs,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,2003,N2O,11330,12790
Yes,Yes,Yes,Buildings,IPPU,Product Use,ODS Substitues,Building Refrigeration,Not Applicable,1991,HFCs,11338,4370
Yes,Yees,Yes,Electricity,Eergy,Fuel Combustion,Electric Power,Not Applicable,Wood,1994,N2O,11344,12805
Yes,Yes,Yse,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1998,N2O,11354,12816
pYes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,vNot Applicable,Natural as,2016,2O,11369,12833
es,Ys,Yhes,Buildings,IPPU,Prouduct Use,ODS Substitues,Indlustrial,Not Applicable,2006,HFCs,11369,4938
Yes,nYes,Nwo,Buildipngs,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1999,CH4,11375,3385
Yes,Ys,No,Transportation,Energy,Imported Fossil Fuels,Transporetation,Miliatry,Distillate Fuel,2007,CH4,11376,3386
Yes,rYes,Yes,Indumstry,IPPU,Electronics,Semicoductor Industry,Not Applicawble,Not Applicable,2010,NF3,11398,15316
Yes,Yes,Yes,Buildings,Energy,Fule Combustion,Residential,Not Applicable,Natural Gas,2007,2NO,11416,12886
Yse,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportaetion,onroad - Marine/Boating,Gasoline,2000,C4H,11441,3405
Nno,qNo,Nxo,Exclued,Eergy,Fuel Combustion,Transportation,Bnuker (Vessel),Distillate Fuel,2016,Bioegnic CO2,11446,11446
Yes,Yes,Nso,Buildinsg,Energy,Imported Fossil Fuecls,Commxercial,Not Applicable,Natural Gas,1997,N2O,11462,12938
Yes,oN,oN,Transportatino,Enery,Fuel Combsution,Transportation,Nonroad - Lawn and Garden,aGsoline,2005,Biogenic CO2,11502,11502
es,No,oN,Transportation,Enregy,Fuel Combution,Transportation,Nonroad - Construction,Gasoline,2008,Biogenic CO2,11504,11504
Yes,Yes,Yes,Bildings,Energy,Fuel Combustion,Residenial,Not Applicable,Natral Gas,2000,N2gO,11508,12990
es,yYes,Yes,Bcuildings,Energy,Fuel Combustion,Commrcial,Not Applicable,Wood,2003,NO2,11517,13000
Yes,Yes,Ydes,Buildinsg,Energy,Fuelk Combustion,Residential,Not Applicable,Ndatural Gas,2009,N2O,11521,13005
Yes,eYs,o,Industry,Energy,ImportedFossil Fuels,Othe Fossil Fuel Use,Not Appluicable,Waxes,2001,CH4,11523,3429
Yes,Yes,No,Transportation,Energy,Impoted Fossil Fuels,Transportation,Road,Diesel,2010,N2gO,11526,13011
Yes,Yeps,Yse,Buildings,Energy,Feul Combustion,Residetial,Not Applicable,Natural Gas,1996,NO,11535,13021
Yes,Yes,Yes,Transportatgion,Energy,Fuel Combustion,Transportation,Nonroad - Manrine/Boating,Gasoline,2007,HC4,11541,3435
Yes,Yes,Yes,Buildimngs,Energy,Fuel Combustion,Commrcial,No Applicable,Kerosene,2015,CO2,11563,11563
Yes,Yes,Yes,uildings,Energy,Fuel Combustion,Commercila,Not Applicable,Distillatie Fuel,1998,N2O,11586,13079
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Trnasportation,Nonroad - Construction,Gasoline,2008,2O,11598,13091
Yes,Yes,No,Industry,Energy,Impotred Fossil Fuels,Othxer Fossil Fuel Use,Not Applicable,Waxes,1999,O2,11603,11603
Yes,es,No,Buildings,Enuergy,Imported Fossil Fuels,Commercial,Not Applicalbe,Residual Fuel,2018,CO2,11610,11610
Yes,Yes,Yes,Buildings,Enercgy,Fuel Cmobustion,Residential,Not Applicable,Natura Gas,2005,N2O,11612,13107
es,Yes,es,Transportation,Energy,Fuel Combustion,Transportaition,Nonroad - Other,Diesle,1999,wN2O,11616,13112
Yes,Yes,Yes,Buildings,Enerxgy,Fuel Combustion,Commercial***,Not Applciable,Kerosene,2013,CO2,11637,11637
Ys,Yes,Yes,Builings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2009,N2O,11645,13145
Yes,Yes,Nfo,Industry,Enqergy,Imported Fossil Fuels,Industrial,Not Applicable,LPiG,1995,CO2,11651,11651
Yes,o,No,Transportation,Eenrgy,Fuel Combustion,Transportation,Nornoad - Other,Diebsel,2018,Biogenic O2,11654,11654
es,bYes,Yes,Industry,Energy,Oher Fossil Fuel Use,Industrial,Not Applicable,Aspalt and Road Oil,2013,CO2,11655,11655
es,Yse,oN,Bildings,Energy,Imported Fossli Fuels,Commercial,Not Applicbale,Natural Gas,2015,N2O,11663,13165
Yes,Yes,o,Industry,Energby,Imported ossil Fuels,Other Fossil Fuel Use,Not Applicable,LG,2009,CO2,11683,11683
Yes,No,No,Transportation,Enregy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gsaoline,2014,Biogenic CO2,11688,11688
es,eYs,Yes,Transfportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1992,N2O,11692,13198
Yes,Yes,Yes,Industry,Energy,Other Feossil Fuel Use,Industrial,Not Applicable,Asphalt adn Road Oil,2017,CO2,11694,11694
Yres,es,Yes,Buildingzs,Energy,uel Combustion,Residsential,Not Applicable,eKrosene,1999,CH4,11694,3480
Yes,Yes,No,uBildings,Energy,Imoprted Fossil Fuels,Commrcial,Not Applicable,NaturalGas,2017,Ne2O,11711,13219
Yoes,Yse,Ys,Industry,IPUP,Electronics,Semiconductor Industry,Not Applicable,Not Aplicable,2013,N2O,11713,13221
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,Deisel,2019,dN2O,11717,13226
Yes,Yes,Yes,Buildigns,Energy,Fuel Combustion,Rsidential,Not Applicable,Natural Gas,2003,2O,11727,13237
