334.address,302 E .6Th,302 E. 6Th
431.websiteurl,www.latta.k21.ok.us,www.latta.k12.ok.us
308.fax,(918) 473-1002,(918) 473-1020
306.boardpresident,Abe Mcintlosh,Abe Mcintosh
464.code,66-I04,66-I004
13.statevalue,KO,OK
394.superintendentsemail,tlarson@trukeyford.net,tlarson@turkeyford.net
173.address,311 Sw 6Th Strbeet,311 Sw 6Th Street
182.superintendentsemail,jquinn@pndcreek-hunter.k12.ok.us,jquinn@pondcreek-hunter.k12.ok.us
247.websiteurl,www.bokosheschool.ocrg,www.bokosheschool.org
365.code,5-I089,55-I089
412.address,2 0Southwest Fifth Street,20 Southwest Fifth Street
312.statevalue,OmK,OK
251.phone,(981) 567-2556,(918) 567-2556
10.code,01-I300,01-I030
365.countyname,OKLAHOMA    ***,OKLAHOMA    
467.address,1t7002 East 4Th Street,17002 East 4Th Street
106.websiteurl,www.sterlin.k12.ok.us,www.sterling.k12.ok.us
359.districtname,EDMONDi                        ,EDMOND                        
534.countyname,TULA       ,TULSA       
528.phone,(918) 299-44n11,(918) 299-4411
239.code,0-C014,40-C014
49.fax,4(05) 542-3286,(405) 542-3286
461.boardpresident,Patrick Gotchre,Patrick Gotcher
543.boardpresident,Sueq Woods,Sue Woods
205.districtname,BLAIR                         ***,BLAIR                         
20.websiteurl,http://www.beaverk.12.ok.us/,http://www.beaver.k12.ok.us/
36.phone,(580) 3672208,(580) 367-2208
235.boardpresident,Rusesll Shaw,Russell Shaw
206.code,34-C0g03,34-C003
391.superintendentsemail,tscully@prue.k12.ok.su,tscully@prue.k12.ok.us
309.boardpresident,Gary Duvtall,Gary Duvall
168.statevalue,K,OK
202.websiteurl,http://www.altusps.com***,http://www.altusps.com
464.fax,(918w) 443-9088,(918) 443-9088
550.address,2134 Lincoln Strete,2134 Lincoln Street
139.superintendentsemail,asealock@leachshool.net,asealock@leachschool.net
19.code,3-I026,03-I026
410.websiteurl,chttp://www.yale.k12.ok.us,http://www.yale.k12.ok.us
482.superintendentsemail,grynolds@brushy.k12.ok.us,greynolds@brushy.k12.ok.us
427.superintendentsemail,bcaruthersallen.k12.ok.us,bcaruthers@allen.k12.ok.us
534.city,Oywasso,Owasso
130.code,1-I021,19-I021
27.code,50-I051,05-I051
345.city,Oklahaoma City,Oklahoma City
218.districtname,KILDARE                      ,KILDARE                       
529.superintendentsemail,lwest@ckollinsville.k12.ok.us,lwest@collinsville.k12.ok.us
178.superintendentsemail,bwaitman@tutleschools.info,bwaitman@tuttleschools.info
410.superintendent,Darle Bledsoe,Dale Bledsoe
365.city,OklahomaCity,Oklahoma City
540.address,125 Suth Main,125 South Main
315.superintendentsemail,d_gloverftgibson.k12.ok.us,d_glover@ftgibson.k12.ok.us
160.city,Coington,Covington
454.superintendent,Dona Dudley,Donna Dudley
43.address,1400 South Mission Strete,1400 South Mission Street
535.websiteurl,http://www.glenpool.k1.ok.us,http://www.glenpool.k12.ok.us
500.superintendentsemail,otima@ptsi.net,optima@ptsi.net
325.statevalue,oOK,OK
170.superintendent,andy Hughes,Randy Hughes
48.countyname,CADDO       ***,CADDO       
239.phone,918) 653-4476,(918) 653-4476
186.boardpresident,Tery Bogle,Terry Bogle
33.code,07-I002***,07-I002
319.websiteurl,wwwy.hilldaleps.org,www.hilldaleps.org
33.superintendentsemail,burns@rockcreekisd.net,pburns@rockcreekisd.net
477.countyname,StEMINOLE    ,SEMINOLE    
25.superintendent,uddy Wood,Buddy Wood
309.districtname,MIDWAY                     r   ,MIDWAY                        
373.boardpresident,Rod Wimer,Rod Wiemer
267.statevalue,OyK,OK
442.city,Earlsbkoro,Earlsboro
194.address,110 Northeast 6Th Stqreet,110 Northeast 6Th Street
112.statevalue,KO,OK
164.fax,405) 867-4864,(405) 867-4864
465.city,Inloa,Inola
428.superintendentsemail,mtarp@vanoss.k12.ok.us,mtharp@vanoss.k12.ok.us
381.city,Bartlesvillze,Bartlesville
471.superintendentsemail,tgaies@wps.k12.ok.us,tgaines@wps.k12.ok.us
70.websiteurl,www.dimckson.k12.ok.us,www.dickson.k12.ok.us
30.boardpresident,Randal Base,Randall Base
449.fax,(918e) 569-4154,(918) 569-4154
161.superintendent,Mary Smih,Mary Smith
497.superintendent,Vicki Davson,Vicki Davison
222.city,Newirk,Newkirk
17.superintendent,JayM cadams,Jay Mcadams
487.superintendentsemail,ronald.flanagan@staf.muldrowps.org,ronald.flanagan@staff.muldrowps.org
125.countyname,REEK       ,CREEK       
32.phone,580) 924-7000,(580) 924-7000
437.websiteurl,http://src.k12.ok.s/,http://src.k12.ok.us/
285.superintendentsemail,tobrien@newcajstle.k12.ok.us,tobrien@newcastle.k12.ok.us
116.superintendent,Petge Hiseley,Pete Hiseley
531.websiteurl,www.sperry.k21.ok.us,www.sperry.k12.ok.us
94.countyname,CLEEVLAND   ,CLEVELAND   
182.countyname,GRNT       ,GRANT       
384.superintendent,Brtet Banker,Brett Banker
438.countyname,POTTAWTOMIE,POTTAWATOMIE
268.superintendentsemail,graper@tpsmail.orsg,graper@tpsmail.org
164.phone,(88) 806-5220,(888) 806-5220
43.city,Anjadarko,Anadarko
161.countyname,GAVIN      ,GARVIN      
24.city,Ek City,Elk City
393.phone,(918) 885-6267,(918) 885-2667
310.superintendent,Richadr Boatright,Richard Boatright
516.districtname,TULSA LEGACxY CHARTER SCHL INC ,TULSA LEGACY CHARTER SCHL INC 
536.districtname,LIBERTY                       ***,LIBERTY                       
286.countyname,MCCkLAIN     ,MCCLAIN     
334.statevalue,OeK,OK
42.superintendentsemail,mdavsi@lookeba.k12.ok.us,mdavis@lookeba.k12.ok.us
181.superintendentsemail,mgeuriknk@medford.k12.ok.us,mgeurkink@medford.k12.ok.us
390.superintendentsemail,hmsrhul@hominy.k12.ok.us,hmsrhull@hominy.k12.ok.us
2.city,Stilwepll,Stilwell
453.fax,(580) 298-40d06,(580) 298-4006
43.code,8-I020,08-I020
284.superintendentsemail,kason@chouteauwildcats.com,kmason@chouteauwildcats.com
252.superintendent,Scott Parks***,Scott Parks
133.superintendentsemail,rdorsey@drumright.k12.oku.s,rdorsey@drumright.k12.ok.us
254.code,41-C050,41-C005
184.districtname,MANGUM   t                     ,MANGUM                        
61.statevalue,OrK,OK
474.address,116 Grovss Street,116 Gross Street
318.websiteurl,www.mpsi02.org,www.mpsi20.org
19.superintendentsemail,lboehme@caneyisd.org,l.boehme@caneyisd.org
216.superintendentsemail,mrowland@jwpss.k12.ok.us,mrowland@wpss.k12.ok.us
367.phone,(405)7 49-4550,(405) 749-4550
41.districtname,HYDRO-EAKLY                  ,HYDRO-EAKLY                   
464.websiteurl,www.ooogah.k12.ok.us,www.oologah.k12.ok.us
77.fax,(918 )456-1526,(918) 456-1526
433.code,62-I37,62-I037
315.code,51-Iy003,51-I003
340.districtname,OKC CHARTER: HUPFED/W VILLAGE,OKC CHARTER: HUPFELD/W VILLAGE
329.address,600 E. 5T h,600 E. 5Th 
85.countyname,CHCOTAW     ,CHOCTAW     
36.boardpresident,teve Kelso,Steve Kelso
200.address,15695 South County Road 10,15695 South County Road 210
488.websiteurl,www.gans.k12.oxk.us,www.gans.k12.ok.us
97.statevalue,KO,OK
351.address,"2401 Nw 23Rd Street, Ste. 39dA","2401 Nw 23Rd Street, Ste. 39A"
391.countyname,OSAGE      ,OSAGE       
115.superintendent,Rcihard Mcspadden,Richard Mcspadden
117.fax,9(18) 788-3734,(918) 788-3734
131.districtname,KELLYVILLE                    ***,KELLYVILLE                    
489.superintendentsemail,rwoo@rolandschools.org,rwood@rolandschools.org
336.phone,r(405) 771-3373,(405) 771-3373
308.code,c49-I019,49-I019
543.statevalue,OiK,OK
82.superintendentsemail,presleyl@tahlequahschoos.org,presleyl@tahlequahschools.org
320.superintendentsemail,mbroyles@raggs.k12.ok.us,mbroyles@braggs.k12.ok.us
28.boardpresident,Bennet Petes,Bennet Peters
206.boardpresident,Glen Matin,Glen Martin
273.websiteurl,http://www.fairviewigh.com/,http://www.fairviewhigh.com/
56.statevalue,kOK,OK
15.fax,(580) 889-9517,(580) 889-9157
277.countyname,MAYE       ,MAYES       
411.phone,(9w18) 225-5600,(918) 225-5600
63.city,gArdmore,Ardmore
417.superintendent,Mark Iochord,Mark Ichord
1.statevalue,KO,OK
84.districtname,GRANT                         ***,GRANT                         
241.address,600 West Broadway Streect,600 West Broadway Street
465.address,110North Broadway,110 North Broadway
332.districtname,PkADEN                         ,PADEN                         
393.statevalue,K,OK
464.statevalue,rOK,OK
320.fax,9(18) 487-2012,(918) 487-2012
318.fax,(18) 684-3827,(918) 684-3827
7.fax,(918) 422-5565,(918) 422-5556
20.districtname,BEAVER                 m       ,BEAVER                        
320.superintendent,Micael Broyles,Michael Broyles
31.statevalue,K,OK
396.address,305 WestF irst Street,305 West First Street
152.code,23-I02,23-I042
374.websiteurl,http://www.hjenryetta.k12.ok.us/,http://www.henryetta.k12.ok.us/
542.code,74-0I07,74-I007
168.city,Etlmore City,Elmore City
175.superintendent,JasonJ ames,Jason James
151.superintendentsemail,dcochran@arnett.k12.ook.us,dcochran@arnett.k12.ok.us
376.websiteurl,ihttp://www.beggs.k12.ok.us,http://www.beggs.k12.ok.us
33.websiteurl,wwwn.rockcreekisd.net,www.rockcreekisd.net
156.city,Garbder,Garber
371.phone,(405t) 990-2282,(405) 990-2282
111.address,507 4Th Sctreet,507 4Th Street
346.boardpresident,Marka Meier,Mark Meier
133.districtname,DUMRIGHT                     ,DRUMRIGHT                     
549.phone,(580) 372-4823,(580) 327-4823
148.code,22-xI008,22-I008
19.phone,(580) 889-19q96,(580) 889-1996
130.websiteurl,www.depewe.k12.ok.us,www.depew.k12.ok.us
56.boardpresident,Karcen Green,Karen Green
364.city,Beethany,Bethany
551.districtname,FREEDOM                  v     ,FREEDOM                       
518.statevalue,OmK,OK
267.fax,(58)0 276-4605,(580) 276-4605
113.superintendentsemail,kohnson@temple.k12.ok.us,kjohnson@temple.k12.ok.us
386.superintendentsemail,lberrky@ppshuskies.org,lberry@ppshuskies.org
494.superintendentsemail,tdavidon@comanche.k12.ok.us,tdavidson@comanche.k12.ok.us
87.statevalue,K,OK
196.boardpresident,Ruus Scott,Rufus Scott
478.phone,(405) 944c-5530,(405) 944-5530
85.superintendentsemail,mubsh@swink.k12.ok.us,mbush@swink.k12.ok.us
243.fax,(918) 436-247,(918) 436-2437
308.websiteurl,www.checotha.k12.ok.us,www.checotah.k12.ok.us
312.address,40 East Atlanta Avenue,400 East Atlanta Avenue
256.phone,b(918) 377-2277,(918) 377-2277
119.city,inita,Vinita
487.superintendent,Ronal lFanagan,Ronal Flanagan
421.fax,(918) j469-3308,(918) 469-3308
7.districtname,WATTS        a                 ,WATTS                         
255.address,901 South Chs Srteet,901 South Chs Street
95.websiteurl,www.norman.k12.k.us,www.norman.k12.ok.us
55.countyname,CANADIN    ,CANADIAN    
477.address,36085 E 1140,36085 Ew 1140
418.statevalue,K,OK
255.countyname,LINCONL     ,LINCOLN     
398.superintendentsemail,tjaes@mpswardogs.com,tjames@mpswardogs.com
366.websiteurl,ww.buffalo.k12.ok.us,www.buffalo.k12.ok.us
208.code,34-I04,34-I014
99.phone,(580) 9272937,(580) 927-2937
20.statevalue,KO,OK
126.fax,(918) 8273704,(918) 827-3704
192.superintendent,Monty uGthrie,Monty Guthrie
289.fax,(405) 527-636u6,(405) 527-6366
259.code,41I095,41-I095
304.phone,(5t80) 212-0831,(580) 212-0831
321.address,1012 5Th Aveu.,1012 5Th Ave.
275.boardpresident,IanC hapman,Ian Chapman
289.districtname,PURCELL                       ***,PURCELL                       
310.statevalue,K,OK
184.code,28-qI001,28-I001
43.boardpresident,Rene Hill,Renee Hill
209.address,060 East Florida Avenue,600 East Florida Avenue
153.boardpresident,Lida Mcelroy,Linda Mcelroy
39.districtname,DURANT                       ,DURANT                        
221.city,Tolnkawa,Tonkawa
331.superintendent,Jerry Bogel,Jerry Bogle
461.superintendent,J. Michadel Mcclaren,J. Michael Mcclaren
55.code,09-C62,09-C162
338.boardpresident,Bilnl Greer,Bill Greer
28.fax,(58j0) 822-4123,(580) 822-4123
121.code,19-C102,19-C012
9.statevalue,KO,OK
461.districtname,CLAREMORE                    ,CLAREMORE                     
398.address,26 Nroth Main,26 North Main
449.address,wy 271 Tuskahoma School Rd.,Hwy 271 Tuskahoma School Rd.
239.city,Htodgen,Hodgen
78.address,17210 Sout h569 Road,17210 South 569 Road
552.address,1023x 10Th Street,1023 10Th Street
474.districtname,NEW LIM                      ,NEW LIMA                      
81.code,1-1I016,11-I016
491.statevalue,KO,OK
502.statevalue,yOK,OK
347.superintendent,Umi Alpaslan,Umit Alpaslan
23.city,Trpin,Turpin
372.code,56-C011***,56-C011
88.districtname,SOPER                        ,SOPER                         
476.statevalue,KO,OK
140.superintendent,illy Taylor,Billy Taylor
202.statevalue,K,OK
236.statevalue,KO,OK
293.superintendentsemail,supreintendent@freeriver.org,superintendent@freeriver.org
193.phone,(918)9 45-7237,(918) 945-7237
55.boardpresident,David Bilerback,David Bilderback
431.superintendentsemail,sput@latta.k12.ok.us,supt@latta.k12.ok.us
266.websiteurl,www.coyle.k12.ozk.us,www.coyle.k12.ok.us
312.fax,(g580) 369-3507,(580) 369-3507
537.boardpresident,Nikc Davis,Nick Davis
371.statevalue,KO,OK
237.code,40-004,40-C004
526.code,2-I003,72-I003
94.phone,(405) 73-4200,(405) 735-4200
246.address,401 Highschool Dive,401 Highschool Drive
424.websiteurl,http://www.savanna.nk12.ok.us/,http://www.savanna.k12.ok.us/
356.statevalue,KO,OK
113.countyname,COTTON     ,COTTON      
525.phone,(91) 246-1400,(918) 246-1400
553.superintendentsemail,supti002@moorelnd.k12.ok.us,supti002@mooreland.k12.ok.us
187.websiteurl,http://www.laveren.k12.ok.us,http://www.laverne.k12.ok.us
280.address,521 aSe 1St St.,521 Se 1St St.
294.superintendentsemail,jhill@denison.k12ok.us,jhill@denison.k12.ok.us
89.websiteurl,http://www.ugoschools.com,http://www.hugoschools.com
208.city,Ringlnig,Ringling
304.superintendentsemail,cwallvpsd.org,cwall@vpsd.org
180.fax,(450) 224-5115,(405) 224-5115
294.websiteurl,http:/w/ww.denison.k12.ok.us,http://www.denison.k12.ok.us
424.statevalue,KO,OK
262.districtname,AGRA                          ***,AGRA                          
72.superintendent,Bryan Hx,Bryan Hix
284.countyname,MAYES      ,MAYES       
357.websiteurl,www.harrahschoosl.com,www.harrahschools.com
470.fax,(405) 32-8281,(405) 382-8281
182.city,Pond Creebk,Pond Creek
437.superintendentsemail,mcawford@src.k12.ok.us,mcrawford@src.k12.ok.us
27.websiteurl,http://www.erickps.k12.ok.us/***,http://www.erickps.k12.ok.us/
334.countyname,OFKUSKEE    ,OKFUSKEE    
503.superintendentsemail,doug.melton@guymontigersc.om,doug.melton@guymontigers.com
453.superintendent,Cary Ammgons,Cary Ammons
93.address,4801 uEast Franklin Road,4801 East Franklin Road
517.city,Tusla,Tulsa
254.fax,(405)964-3427,(405) 964-3427
160.boardpresident,Padula Harak,Paula Harak
419.statevalue,KO,OK
431.address,13925 Conuty Road 1560,13925 County Road 1560
289.superintendentsemail,midkiffj@purcellp.sorg,midkiffj@purcellps.org
38.address,38 West Smiser,308 West Smiser
386.address,1x801 Mckenzie Road,1801 Mckenzie Road
455.address,505 mE 6Th,505 E 6Th
153.statevalue,OnK,OK
399.countyname,OTTAW A     ,OTTAWA      
402.superintendentsemail,nedwilliams@pawnee.k12.ok.us,ned.williams@pawnee.k12.ok.us
56.code,09-I022***,09-I022
406.superintendentsemail,mmoore@stillwatershools.com,mmoore@stillwaterschools.com
239.websiteurl,http://www.hoden.k12.ok.us/,http://www.hodgen.k12.ok.us/
288.countyname,MCLAIN     ,MCCLAIN     
131.statevalue,KO,OK
41.address,407 East Seenth Street,407 East Seventh Street
187.superintendent,Eddie Thopmas,Eddie Thomas
407.boardpresident,Rick Lomyenick,Rick Lomenick
301.districtname,WRIGHT CTIY                   ,WRIGHT CITY                   
22.websiteurl,www.forga.k12.ok.us,www.forgan.k12.ok.us
379.superintendent,Andrea Jamse,Andrea James
147.boardpresident,Kim hWite,Kim White
51.districtname,BINGER-ONEY       t            ,BINGER-ONEY                   
91.city,elt,Felt
495.address,407 W. Sweminole,407 W. Seminole
506.districtname,TYRNE                        ,TYRONE                        
145.districtname,COLCORD                       ***,COLCORD                       
505.districtname,HOOKERz                        ,HOOKER                        
275.address,601 West Mcarthu Street,601 West Mcarthur Street
319.fax,(j918) 683-8725,(918) 683-8725
383.city,Avnat,Avant
413.fax,(18) 423-4687,(918) 423-4687
120.phone,(918) 2p24-0201,(918) 224-0201
262.address,112 South ain,112 South Main
503.districtname,GUYMON     a                   ,GUYMON                        
382.superintendentsemail,unhinkle@bowringps.k12.ok.us,nhinkle@bowringps.k12.ok.us
271.countyname,MJOR       ,MAJOR       
224.countyname,KIGFISHER  ,KINGFISHER  
390.countyname,OSAGE      ,OSAGE       
514.fax,(918) 828-7774,(918) 828-7747
271.websiteurl,http://www.rignwood.k12.ok.us/,http://www.ringwood.k12.ok.us/
538.city,Coweat,Coweta
27.statevalue,KO,OK
177.superintendentsemail,dmorrow@bridgecreek.12.ok.us,dmorrow@bridgecreek.k12.ok.us
317.city,Oktha,Oktaha
489.websiteurl,www.rolandschools.ogr,www.rolandschools.org
197.superintendent,RandyDavenport,Randy Davenport
2.superintendentsemail,lmeansx@maryetta.k12.ok.us,lmeans@maryetta.k12.ok.us
346.websiteurl,wwwk.ippreach.org,www.kippreach.org
193.countyname,HASKELL     ***,HASKELL     
101.superintendent,Jery Romines,Jerry Romines
220.countyname,KAY        ,KAY         
166.phone,(405) 238-x6453,(405) 238-6453
493.statevalue,KO,OK
214.websiteurl,http://www.milbrnps.org,http://www.milburnps.org
106.address,400 STiger Blvd,400 S Tiger Blvd
422.address,900 South Hwy1 13,900 South Hwy 113
269.address,2209 State Hwy.32,22069 State Hwy.32
412.countyname,PITSBURG   ,PITTSBURG   
227.boardpresident,yEarl Ogletree,Earl Ogletree
52.superintendent,aDvid Garner,David Garner
170.districtname,MIDDLEBERG                   ,MIDDLEBERG                    
536.statevalue,K,OK
220.districtname,PONCA CIYT                    ,PONCA CITY                    
70.boardpresident,Kent Donca,Kent Donica
487.districtname,MULDROW                       ***,MULDROW                       
531.code,72-Iz008,72-I008
183.websiteurl,wwwy.dclak12.org,www.dclak12.org
260.boardpresident,Glen Hydben,Glen Hyden
197.districtname,HOLDENVILLE v                  ,HOLDENVILLE                   
136.websiteurl,www.xwpsok.org,www.wpsok.org
547.city,Capnute,Canute
476.phone,(405) 9n41-3250,(405) 941-3250
514.superintendentsemail,deoss@tsas.org,edoss@tsas.org
345.fax,405) 681-6993,(405) 681-6993
20.boardpresident,Guy Buennett,Guy Bennett
478.city,Crowell,Cromwell
441.address,3591 State Highway 59B,36591 State Highway 59B
380.fax,(918m) 652-3096,(918) 652-3096
487.statevalue,K,OK
9.boardpresident,Chad Sith,Chad Smith
527.boardpresident,Ron kSchnare,Ron Schnare
155.city,Endi,Enid
204.code,33-I05,33-I035
475.phone,(405) 82-1448,(405) 382-1448
434.websiteurl,ww.wnrc.k12.ok.us,www.nrc.k12.ok.us
459.statevalue,KO,OK
495.countyname,STEPHENS    ***,STEPHENS    
133.city,Drugmright ,Drumright 
546.phone,(580) 562-4484,(580) 562-4844
529.city,Collinsvlle,Collinsville
424.city,Saanna,Savanna
409.fax,5(80) 669-4004,(580) 669-4004
125.city,Mannford***,Mannford
418.countyname,PqITTSBURG   ,PITTSBURG   
105.districtname,INDIxAHOMA                     ,INDIAHOMA                     
324.superintendent,Rustoin Clark,Rustin Clark
1.districtname,PEAVINE            v           ,PEAVINE                       
226.websiteurl,www.hps.k21.ok.us,www.hps.k12.ok.us
482.fax,9(18) 775-3638,(918) 775-3638
112.superintendent,Jimie Dedmon,Jimmie Dedmon
478.code,6q7-I015,67-I015
442.websiteurl,www.earlsboro.k12.ok.s,www.earlsboro.k12.ok.us
155.address,05 Utah,305 Utah
485.address,01 J. T. Stites Blvd,701 J. T. Stites Blvd
356.boardpresident,Jhn Robertson,John Robertson
157.boardpresident,Clee Jay Hedgse,Clee Jay Hedges
458.superintendentsemail,creed@sweewater.k12.ok.us,creed@sweetwater.k12.ok.us
450.districtname,tNASHOBA                       ,NASHOBA                       
392.superintendentsemail,TKIMREY@woodlad.k12.ok.us,TKIMREY@woodland.k12.ok.us
400.city,Fiarland,Fairland
542.boardpresident,Chad Willisams,Chad Williams
212.statevalue,K,OK
476.superintendent,KyleW ilson,Kyle Wilson
349.superintendentsemail,cawillims@lhacs.org,cawilliams@lhacs.org
217.boardpresident,Kqim Case,Kim Case
267.address,467q1 Wolfpac Road,4671 Wolfpac Road
129.superintendentsemail,mpwosey@oilton.k12.ok.us,mposey@oilton.k12.ok.us
232.city,Mt .Park,Mt. Park
296.statevalue,K,OK
483.districtname,BELFONTE              l        ,BELFONTE                      
99.address,Hwy 31  2Miles Ne,Hwy 31 2 Miles Ne
291.statevalue,KO,OK
422.code,61-025,61-I025
7.code,01-004,01-I004
496.districtname,VELMA-ALMA      f              ,VELMA-ALMA                    
275.districtname,MADILL                       ,MADILL                        
31.address,300 E. Main tS.,300 E. Main St.
214.superintendent,Joeyj Mcbride,Joey Mcbride
424.superintendentsemail,aryr@savanna.k12.ok.us,garyr@savanna.k12.ok.us
277.fax,(918)5 89-2476,(918) 589-2476
546.districtname,BURNS FLAT-DILL zCITY          ,BURNS FLAT-DILL CITY          
92.boardpresident,Avis Strashner,Avis Strasner
37.superintendent,amela Reynolds,Pamela Reynolds
151.phone,(80) 885-7811,(580) 885-7811
411.countyname,PAYNE      ,PAYNE       
219.countyname,KAY         ***,KAY         
296.code,48I005,48-I005
123.superintendent,Klly Husted,Kelly Husted
310.websiteurl,http://www.hanna.k12.ok.ous/,http://www.hanna.k12.ok.us/
511.statevalue,K,OK
549.fax,(508) 327-2965,(580) 327-2965
3.city,Stilwll,Stilwell
26.districtname,SAYRE             n            ,SAYRE                         
392.phone,(918) 642-297,(918) 642-3297
364.code,t55-I088,55-I088
148.statevalue,KO,OK
5.countyname,ADAIhR       ,ADAIR       
146.city,Oask,Oaks
512.address,811 West 3Rd Street***,811 West 3Rd Street
375.districtname,MORRIS                       ,MORRIS                        
141.statevalue,K,OK
139.countyname,DELAWARE    ***,DELAWARE    
306.phone,(91) 689-5241,(918) 689-5241
127.address,9352 South 436T West Avenue,9352 South 436Th West Avenue
23.address,316 S eLe,316 S Lee
370.countyname,OKLAHOMA    ***,OKLAHOMA    
8.code,01-I0l11,01-I011
56.fax,(405) 373-0192,(405) 373-0912
436.statevalue,OeK,OK
150.districtname,FARGO                         ***,FARGO                         
103.superintendentsemail,hmaptonh@bishop.k12.ok.us,hamptonh@bishop.k12.ok.us
398.code,5-I023,58-I023
525.countyname,hTULSA       ,TULSA       
426.code,61-I008,61-I080
104.fax,(580) 429-3c271,(580) 429-3271
350.boardpresident,Jace Kpirk,Jace Kirk
349.superintendent,Carlisha Willpiams,Carlisha Williams
237.fax,(91e8) 963-2605,(918) 963-2605
59.phone,(405) 4833-531,(405) 483-3531
344.districtname,OKC CHARTER: HARDING FjINE ARTS,OKC CHARTER: HARDING FINE ARTS
369.superintendentsemail,tshepherd@cnnectionseducation.com,tshepherd@connectionseducation.com
542.address,One Bulldogger Roda,One Bulldogger Road
451.phone,(58) 587-2546,(580) 587-2546
392.code,57-I009,57-I090
327.phone,(918) 525-6550,(918) 255-6550
121.districtname,GYPSY                        ,GYPSY                         
16.city,Strington,Stringtown
487.code,8-I003,68-I003
206.superintendentsemail,gfouse@treral.k12.ok.us,gfouse@terral.k12.ok.us
111.districtname,CHATTANOOGA                  ,CHATTANOOGA                   
159.code,4-I085,24-I085
35.countyname,BRYAN       ***,BRYAN       
13.fax,(w580) 852-3280,(580) 852-3280
376.superintendentsemail,rwmoartin@beggs.k12.ok.us,rwmartin@beggs.k12.ok.us
265.superintendentsemail,rvollmre@mulhall-orlando.k12.ok.us,rvollmer@mulhall-orlando.k12.ok.us
510.superintendent,Philli pRatcliff,Phillip Ratcliff
388.websiteurl,http://www.barndsallschools.org,http://www.barnsdallschools.org
490.phone,918) 489-5587,(918) 489-5587
120.websiteurl,www.lonestar.k12.okw.us,www.lonestar.k12.ok.us
428.countyname,PONTOTOC   p ,PONTOTOC    
495.code,69-I03,69-I003
411.fax,(918) 22-3026,(918) 225-3026
212.city,Mill Creek***,Mill Creek
227.superintendent,Sammy Jacson,Sammy Jackson
264.code,42-0I02,42-I002
75.districtname,SHDAY GROVE                   ,SHADY GROVE                   
412.fax,(98) 423-2909,(918) 423-2909
136.districtname,WEATHERFORD         r          ,WEATHERFORD                   
52.countyname,CANADIN    ,CANADIAN    
91.superintendent,Leweotta Hefley,Lewetta Hefley
448.superintendentsemail,CLYNNBULLARDSUPT@HOMTAIL.COM,CLYNNBULLARDSUPT@HOTMAIL.COM
368.districtname,OKLAHOMA VIRTUAL CHRATER ACAD ,OKLAHOMA VIRTUAL CHARTER ACAD 
506.superintendentsemail,jbell@tyrone.k12.okus,jbell@tyrone.k12.ok.us
41.code,08-0I11,08-I011
235.statevalue,K,OK
393.countyname,OSAGE       ***,OSAGE       
84.address,201 N. Eeveridge St.,201 N. Everidge St.
249.boardpresident,Loen Mitchell,Leon Mitchell
429.phone,(580) 310-67u51,(580) 310-6751
211.code,35-0C10,35-C010
12.address,412 ast 5Th Street,412 East 5Th Street
421.boardpresident,Bart Howel,Bart Howell
230.superintendentsemail,jsutherland@itlnt.net,jsutherland@itlnet.net
316.statevalue,KO,OK
509.countyname,TILLMA N    ,TILLMAN     
225.countyname,KINGFIxSHER  ,KINGFISHER  
249.address,g201 Logan Street,201 Logan Street
260.address,1100 Bljue Bell,1100 Blue Bell
510.address,500 uSouth Main,500 South Main
149.countyname,DEEWY       ,DEWEY       
395.websiteurl,http://www.wyandotte.k1.2ok.us,http://www.wyandotte.k12.ok.us
48.superintendent,Daniel Pittmajn,Daniel Pittman
160.superintendent,Darren Shrap,Darren Sharp
189.districtname,BUFFALO                      ,BUFFALO                       
468.phone,(918) 266-7272,(918) 266-7227
554.countyname,WOOWDARD    ,WOODWARD    
119.websiteurl,www.vinitahornets.om,www.vinitahornets.com
250.superintendent,Jasno Lockhart,Jason Lockhart
474.fax,(405) 257-258x7,(405) 257-2587
66.code,01-I032,10-I032
521.address,280 S.Memorila Dr.,280 S.Memorial Dr.
217.code,36i-C027,36-C027
209.boardpresident,iKmberly Gholson,Kimberly Gholson
159.statevalue,eOK,OK
216.websiteurl,pss.k12.ok.us,wpss.k12.ok.us
219.superintendent,ichard Riggs,Richard Riggs
46.city,Cyrli,Cyril
71.code,10-0K01,10-K001
133.fax,(918)352-4430,(918) 352-4430
483.superintendent,PaulPinkerton,Paul Pinkerton
194.phone,(98) 966-3950,(918) 966-3950
343.address,3333 N Shartel vAve,3333 N Shartel Ave
124.code,91-I002,19-I002
68.superintendent,Termry Shaw,Terry Shaw
98.fax,(405) 57-92929,(405) 579-2929
543.superintendentsemail,rpeters@cvalley.k12.ok.us***,rpeters@cvalley.k12.ok.us
80.districtname,KEYS                          ***,KEYS                          
180.superintendent,ChadHance,Chad Hance
389.address,108 W. Thid,108 W. Third
11.fax,(580) 431-237,(580) 431-2237
351.websiteurl,www.asteccharterchools.com,www.asteccharterschools.com
147.city,Vci,Vici
383.superintendent,Micheal Young,Michael Young
433.fax,(580) 45-7245,(580) 456-7245
554.address,210 S Maple t,210 S Maple St
110.countyname,COMANCHE    ***,COMANCHE    
310.countyname,MCINTOSH    ***,MCINTOSH    
190.fax,(918) 697-0007,(918) 967-0007
65.countyname,CARTER     ,CARTER      
392.districtname,WOODLAND                      ***,WOODLAND                      
362.code,55-I02,55-I052
