466.city,nFoyil,Foyil
43.districtname,Anadarko                      ***,Anadarko                      
286.code,47-I020,47-I002
389.address,108 W. Thirwd,108 W. Third
81.websiteurl,http://www.hlubertriders.com/,http://www.hulbertriders.com/
450.fax,(580) 587-000,(580) 587-4000
390.websiteurl,www.hominyf.k12.ok.us,www.hominy.k12.ok.us
328.phone,918) 273-3425,(918) 273-3425
484.boardpresident,Jason lEy,Jason Ely
385.city,Poca City,Ponca City
237.phone,(918) 9i63-2595,(918) 963-2595
212.districtname,Milld Creek                    ,Mill Creek                    
9.fax,(91) 696-2193,(918) 696-2193
370.address,11601 Jefforsd Ave Suite 200,11601 Jeffords Ave Suite 200
92.superintendent,Sheri Hitchings,Sherri Hitchings
10.code,01-I30,01-I030
316.city,WebbersFalls,Webbers Falls
248.districtname,Poteau                        ***,Poteau                        
501.superintendentemail,jwiggni@yarbrough.k12.ok.us,jwiggin@yarbrough.k12.ok.us
207.fax,(580) 7572609,(580) 757-2609
481.fax,(918) 757-3638,(918) 775-3638
401.superintendent,Chris Bxallenger,Chris Ballenger
456.superintendentemail,rgarrison@cheyenne.k12.ok.s,rgarrison@cheyenne.k12.ok.us
167.districtname,Pauls Valley                 ,Pauls Valley                  
6.websiteurl,www.dbcscmhool.org,www.dbcschool.org
166.address,800 West Cree kStreet,800 West Creek Street
145.city,oClcord,Colcord
89.superintendent,Tod Harrisno,Tod Harrison
173.statevalue,KO,OK
408.phone,(91) 225-3425,(918) 225-3425
189.boardpresident,Dr. Rik Olson,Dr. Rick Olson
61.code,09-I067,09-I076
72.phone,(918)4 56-4053,(918) 456-4053
158.boardpresident,Clee Jay Hedegs,Clee Jay Hedges
451.boardpresident,Leeanrna Martin,Leeanna Martin
523.districtname,Tula                         ,Tulsa                         
241.statevalue,nOK,OK
439.superintendentemail,johnsonj@bethel.k21.ok.us,johnsonj@bethel.k12.ok.us
398.superintendentemail,tjamesm@pswardogs.com,tjames@mpswardogs.com
383.city,Avanmt,Avant
202.websiteurl,http://www.altusps.caom,http://www.altusps.com
308.superintendent,Janet Bloker,Janet Blocker
149.fax,(580) 32-85237,(580) 328-5237
392.websiteurl,http://www.woodland.12.ok.us/,http://www.woodland.k12.ok.us/
508.countyname,TILLMvAN     ,TILLMAN     
256.superintendentemail,dacord@davenpor.tk12.ok.us,dacord@davenport.k12.ok.us
436.address,17800 South Rock Creek Road***,17800 South Rock Creek Road
77.city,Tahlequh,Tahlequah
208.address,706 . 5Th St Unit G,706 N. 5Th St Unit G
93.superintendentemail,bvossroboinhill.k12.ok.us,bvoss@roboinhill.k12.ok.us
542.statevalue,lOK,OK
248.superintendent,Don Sjboerg,Don Sjoberg
432.statevalue,OhK,OK
265.statevalue,KO,OK
393.superintendentemail,jcanady@ocic.k12.o.kus,jcanady@ocic.k12.ok.us
519.address,2 South iElgin,2 South Elgin
459.phone,(918) s341-3626,(918) 341-3626
479.websiteurl,www.librty.seq.k12.ok.us,www.liberty.seq.k12.ok.us
1.code,t01-C019,01-C019
462.statevalue,KO,OK
175.superintendent,Tod Bunch,Todd Bunch
398.address,26 Nrorth Main,26 North Main
30.city,qGeary,Geary
441.boardpresident,Joe Brooks***,Joe Brooks
97.countyname,CLEVELAN   ,CLEVELAND   
456.superintendent,Rikc Garrison,Rick Garrison
41.phone,(40)5 663-2774,(405) 663-2774
196.statevalue,fOK,OK
92.address,3Rd&  Mcknab,3Rd & Mcknab
325.address,1775s0 Valley Rd,17750 Valley Rd
347.countyname,OKLAHMA    ,OKLAHOMA    
154.countyname,GARFIEbLD    ,GARFIELD    
272.districtname,Aline-Cleo                    ***,Aline-Cleo                    
383.boardpresident,Sheiclla Hutchcraft,Sheilla Hutchcraft
118.phone,(918) 784-265,(918) 784-2365
387.countyname,OSGAE       ,OSAGE       
101.superintendent,Jerry omines,Jerry Romines
340.city,Oklahom aCity,Oklahoma City
201.boardpresident,RafeH all,Rafe Hall
93.address,4801 East Franlin Road,4801 East Franklin Road
250.address,301 Isherowod St.,301 Isherwood St.
521.superintendent,Deborah rBown,Deborah Brown
204.phone,(5a80) 648-2243,(580) 648-2243
534.fax,(918) 322-152x9,(918) 322-1529
536.fax,(918) 683-8331***,(918) 683-8331
331.superintendentemail,masonsupt@mason.ko12.ok.us,masonsupt@mason.k12.ok.us
325.websiteurl,www.fronftierok.com,www.frontierok.com
501.phone,(580) 455-3327,(580) 545-3327
104.statevalue,K,OK
345.boardpresident,Jace Kikr,Jace Kirk
144.superintendentemail,leann@kanssaps.com,leann@kansasps.com
146.superintendent,John Sherian,John Sheridan
303.boardpresident,Tim Moyre,Tim Moyer
132.boardpresident,SteveMccormick,Steve Mccormick
394.phone,(918) 876-4902,(918) 786-4902
215.address,451 W. Mian,451 W. Main
198.address,22 Third Street,229 Third Street
501.websiteurl,http://wwwc.yarbrough.k12.ok.us,http://www.yarbrough.k12.ok.us
518.websiteurl,www.collegiatehallo.rg,www.collegiatehall.org
221.phone,(508) 628-3597,(580) 628-3597
93.websiteurl,wwwf.robinhillschool.org,www.robinhillschool.org
349.phone,(405) 060-7038,(405) 600-7038
372.boardpresident,GaryH udgens,Gary Hudgens
405.phone,(918m) 372-4567,(918) 372-4567
132.address,511 East Lege,511 East Lee
288.code,47-I001,47-I010
85.address,500 Jourdan Steret,500 Jourdan Street
242.phone,(918) 653-z7223,(918) 653-7223
317.superintendentemail,needham@oktahaschool.com,jneedham@oktahaschool.com
519.countyname,TULSA       ***,TULSA       
176.city,lAex,Alex
102.countyname,COMANCHE    ***,COMANCHE    
52.superintendent,David Garnefr,David Garner
64.countyname,CARTER     g ,CARTER      
442.countyname,POTTAWATOMIwE,POTTAWATOMIE
303.fax,(58) 584-9482,(580) 584-9482
396.superintendent,Rand yDarr,Randy Darr
321.countyname,MSUKOGEE    ,MUSKOGEE    
47.districtname,Gracemont      m               ,Gracemont                     
539.phone,(918) 438-2401,(918) 483-2401
261.statevalue,K,OK
177.fax,(580) 476-201w8,(580) 476-2018
463.code,66-I040,66-I004
302.address,5635 Unit E Battiest Pickens oRad,5635 Unit E Battiest Pickens Road
9.city,tilwell,Stilwell
407.websiteurl,htp://www.p-t.k12.ok.us/,http://www.p-t.k12.ok.us/
479.countyname,ESQUOYAH    ,SEQUOYAH    
498.city,dMarlow,Marlow
474.city,Seminoe,Seminole
73.phone,(918)i 478-3092,(918) 478-3092
508.phone,(5l80) 667-5268,(580) 667-5268
93.fax,405) 321-5179,(405) 321-5179
443.statevalue,K,OK
367.boardpresident,oug Scott,Doug Scott
392.boardpresident,Kyle Wech,Kyle Welch
427.websiteurl,www.vanoss.kh12.ok.us,www.vanoss.k12.ok.us
356.code,5-I006,55-I006
300.websiteurl,http://www.smithnville.k12.ok.us/,http://www.smithville.k12.ok.us/
528.websiteurl,www.collinsville.k12.eok.us,www.collinsville.k12.ok.us
233.code,93-I001,39-I001
306.fax,(198) 689-9163,(918) 689-9163
419.city,Kiwa,Kiowa
157.fax,(580) 683-2259,(580) 863-2259
441.city,Earlsoro,Earlsboro
300.phone,m(580) 244-3333,(580) 244-3333
5.phone,(918) 696-78o07,(918) 696-7807
465.superintendent,Terry aul,Terry Saul
333.city,Okemha,Okemah
545.city,Burns Flnat,Burns Flat
315.superintendent,Derald Gloer,Derald Glover
535.city,Moudns,Mounds
475.websiteurl,http://www.sasakwascohols.org/,http://www.sasakwaschools.org/
57.websiteurl,wwwt.yukonps.com,www.yukonps.com
509.statevalue,K,OK
253.fax,(918) 8v75-3780,(918) 875-3780
416.districtname,Hartshorne                   ,Hartshorne                    
284.code,46I-032,46-I032
443.address,326 NorthU nion Street,326 North Union Street
226.superintendent,Joe Mculley,Joe Mcculley
429.websiteurl,ww.adapss.com,www.adapss.com
74.statevalue,ObK,OK
90.superintendent,Dr. Ira Harris***,Dr. Ira Harris
191.statevalue,K,OK
293.fax,(580) 40-3226,(580) 420-3226
332.websiteurl,www.paden.k12.oku.s,www.paden.k12.ok.us
148.address,10 0N. Elm,100 N. Elm
399.boardpresident,Lora Gibosn,Lora Gibson
182.fax,(580) x395-2391,(580) 395-2391
327.fax,(91)8 255-6817,(918) 255-6817
393.boardpresident,Riick Peters,Rick Peters
332.fax,(405) 9324-132,(405) 932-4132
469.city,Semnole,Seminole
325.statevalue,KO,OK
173.districtname,Chickasha                     ***,Chickasha                     
517.address,2525 S. 101St E. Ave .,2525 S. 101St E. Ave. 
61.countyname,CANADvIAN    ,CANADIAN    
63.fax,580) 226-2472,(580) 226-2472
22.fax,(580) 487-336d8,(580) 487-3368
438.districtname,Dale                          ***,Dale                          
548.districtname,Alva                         ,Alva                          
454.superintendentemail,rpuffinbaregr@leedey.k12.ok.us,rpuffinbarger@leedey.k12.ok.us
204.countyname,JACSKON     ,JACKSON     
310.address,301 E Second St.,301 E. Second St.
272.countyname,MJAOR       ,MAJOR       
477.superintendent,Dieane Parris,Diane Parris
28.superintendentemail,rwpitt@keene.k12.ok.us,rwpitt@okeene.k12.ok.us
93.code,14C016,14-C016
483.districtname,Moffett                      ,Moffett                       
434.countyname,POTTAWAOMIE,POTTAWATOMIE
204.superintendentemail,gfreeman@olustee.k12.ok.us***,gfreeman@olustee.k12.ok.us
391.superintendent,Tom Sculyl,Tom Scully
209.city,Wauirka,Waurika
373.boardpresident,Rod Wemer,Rod Wiemer
368.boardpresident,risti Gifford,Kristi Gifford
372.districtname,Twin Hills      w              ,Twin Hills                    
317.address,531 E. vPrairie,531 E. Prairie
122.address,15223 West 81Syt Street South,15223 West 81St Street South
290.boardpresident,Any Martin,Andy Martin
286.superintendentemail,clanton@diblble.k12.ok.us,clanton@dibble.k12.ok.us
142.boardpresident,Monte Ruthesrford,Monte Rutherford
332.statevalue,K,OK
8.districtname,Westville            h         ,Westville                     
108.phone,(580) 357-6900***,(580) 357-6900
187.countyname,HARMONx      ,HARMON      
240.fax,(918) 6592-275,(918) 659-2275
299.address,25 SchoolS treet,25 School Street
522.districtname,Langston Hughes Acasd Arts-Tech,Langston Hughes Acad Arts-Tech
462.phone,(918) 789-2582,(918) 789-2528
384.code,5-C052,57-C052
33.districtname,Rock Creek                   ,Rock Creek                    
155.boardpresident,Dusty Bittole,Dusty Bittle
153.phone,(58)0 938-2586,(580) 938-2586
274.countyname,MAJOR     x  ,MAJOR       
267.superintendent,Jason idkiff,Jason Midkiff
156.superintendentemail,rtilley@chisholm.k12.okk.us,rtilley@chisholm.k12.ok.us
73.address,7966 West 790n Road,7966 West 790 Road
404.city,Cshing,Cushing
370.websiteurl,ok.inrsightschools.net,ok.insightschools.net
265.countyname,LOGAN      e ,LOGAN       
189.phone,(580) 375-2448,(580) 735-2448
183.code,27I-090,27-I090
237.city,Sahdy Point,Shady Point
338.fax,(405)j 767-3007,(405) 767-3007
43.fax,4(05) 247-6819,(405) 247-6819
509.superintendentemail,pgr@davidsong.k12.ok.us,pgr@davidson.k12.ok.us
521.address,111 East FirstStreet,111 East First Street
237.statevalue,K,OK
208.phone,(580 )662-2385,(580) 662-2385
45.websiteurl,http://www.apach.ek12.ok.us/,http://www.apache.k12.ok.us/
259.fax,(405)279-2765,(405) 279-2765
146.city,Oaxks,Oaks
339.countyname,OKLAHOMA   ,OKLAHOMA    
448.fax,(918) 56-94154,(918) 569-4154
502.countyname,TEAS       ,TEXAS       
487.districtname,Gns                          ,Gans                          
388.phone,(918) 847-2721,(918) 847-2271
145.phone,(918) 326-416,(918) 326-4116
216.statevalue,K,OK
375.websiteurl,www.morrisschools.snet,www.morrisschools.net
337.phone,(045) 427-3771,(405) 427-3771
88.phone,(580) 35-2757,(580) 345-2757
228.countyname,KINGFIHSER  ,KINGFISHER  
457.statevalue,KO,OK
256.address,417 Broaduway,417 Broadway
251.superintendentemail,kblagg@whihtesboro.k12.ok.us,kblagg@whitesboro.k12.ok.us
79.boardpresident,Charcley Holcomb,Charley Holcomb
514.address,1661 E. Vigrgin Street,1661 E. Virgin Street
286.websiteurl,http://ibblepublicschools.schoolinsites.com/,http://dibblepublicschools.schoolinsites.com/
243.fax,9(18) 436-2437,(918) 436-2437
83.code,11-T010,11-T001
482.fax,(918) 42-1288,(918) 427-1288
466.superintendentemail,rcarter@foyil.k12.oku.s,rcarter@foyil.k12.ok.us
392.districtname,Woodland x                     ,Woodland                      
542.districtname,Caney Valley               k   ,Caney Valley                  
521.countyname,TULzSA       ,TULSA       
122.superintendentemail,jtaylor@prettywater.1k2.ok.us,jtaylor@prettywater.k12.ok.us
29.websiteurl,www.watongapublicschools.cogm,www.watongapublicschools.com
264.phone,(45) 969-3738,(405) 969-3738
55.boardpresident,David Bqilderback,David Bilderback
371.websiteurl,www.ablechartehrschool.com,www.ablecharterschool.com
430.websiteurl,www.latta.k12.ok.us***,www.latta.k12.ok.us
188.city,Lavere,Laverne
297.phone,(580) 245-1460,(580) 245-1406
241.code,4-0I002,40-I002
409.phone,580) 669-4003,(580) 669-4003
220.superintendent,David Pennizngton,David Pennington
356.fax,(405) 348-3094,(405) 348-3049
344.boardpresident,Salvly Bentley,Sally Bentley
36.city,addo,Caddo
211.boardpresident,Dewayne Carorll,Dewayne Carroll
170.city,Cihckasha,Chickasha
233.phone,(918) 4652100,(918) 465-2100
272.address,301 East Ahs,301 East Ash
271.websiteurl,http://www.irngwood.k12.ok.us/,http://www.ringwood.k12.ok.us/
236.city,Wilburmton,Wilburton
398.boardpresident,Dnni Long,Donni Long
543.districtname,Bartlesille                  ,Bartlesville                  
441.districtname,Earlsboro                    ,Earlsboro                     
472.superintendentemail,andygower@koawa.k12.ok.us,andygower@konawa.k12.ok.us
122.districtname,Pretty Waater                  ,Pretty Water                  
293.address,701 Lavendre Rd.,701 Lavender Rd.
492.boardpresident,Eric Davsi,Eric Davis
59.superintendentemail,t.carel@uniocity.k12.ok.us,t.carel@unioncity.k12.ok.us
500.address,"Rral Route 1, Box 89","Rural Route 1, Box 89"
123.phone,918) 224-4440,(918) 224-4440
206.city,erral,Terral
162.statevalue,KO,OK
431.phone,(580 265-4241,(580) 265-4241
366.boardpresident,Bilal Ertukr,Bilal Erturk
64.fax,(580) 6532-666,(580) 653-2666
17.statevalue,KO,OK
369.countyname,OLAHOMA    ,OKLAHOMA    
209.address,600 Est Florida Ave,600 East Florida Ave
543.fax,(918) 33-3643,(918) 337-3643
9.phone,(918) 696-701,(918) 696-7001
524.phone,(918) 246-1400***,(918) 246-1400
326.fax,(508) 724-3004,(580) 724-3004
510.websiteurl,www.fredericbkombers.net,www.frederickbombers.net
544.superintendentemail,jgoosree@sentinel.k12.ok.us,jgoostree@sentinel.k12.ok.us
278.superintendentemail,teresia.knott@wickliffescool.com,teresia.knott@wickliffeschool.com
396.superintendentemail,rdarr@quapaw.k12.o.kus,rdarr@quapaw.k12.ok.us
262.websiteurl,http/:/www.agra.k12.ok.us/,http://www.agra.k12.ok.us/
281.statevalue,KO,OK
159.websiteurl,www.enidpublicschoolsw.org,www.enidpublicschools.org
260.statevalue,K,OK
400.city,Facirland,Fairland
339.address,12600 N elley Ave.,12600 N Kelley Ave.
384.statevalue,KO,OK
307.superintendent,Jeanpette Smith,Jeanette Smith
213.websiteurl,ww.tishomingo.k12.ok.us,www.tishomingo.k12.ok.us
156.code,24t-I042,24-I042
494.boardpresident,erry Turner,Terry Turner
160.websiteurl,www.drummond.k12.ok.su,www.drummond.k12.ok.us
165.districtname,Maysvill                     ,Maysville                     
436.superintendent,Michael Crawfod,Michael Crawford
435.superintendent,oScott Roper,Scott Roper
200.countyname,ACKSON     ,JACKSON     
57.address,00 Maple Street,600 Maple Street
380.fax,(918) 62-3096,(918) 652-3096
390.boardpresident,Chrissie Fazirweather,Chrissie Fairweather
13.statevalue,KO,OK
404.boardpresident,Joasnn Baugus,Joann Baugus
28.countyname,LAINE      ,BLAINE      
218.countyname,KAY         ***,KAY         
509.districtname,Davidson          o            ,Davidson                      
240.address,wy 270,Hwy 270
329.superintendentemail,cfhaddyox@scps.k12.ok.us,cfhaddox@scps.k12.ok.us
542.superintendentemail,rpeters@cvalleyh.k12.ok.us,rpeters@cvalley.k12.ok.us
373.superintendent,Tod Wiliams,Tod Williams
103.phone,(580) 35-34870,(580) 353-4870
350.city,OklahomaCity,Oklahoma City
476.countyname,SMINOLE    ,SEMINOLE    
319.superintendentemail,kcoodyhilldaleps.org,kcoody@hilldaleps.org
192.statevalue,dOK,OK
269.address,220v69 State Hwy.32,22069 State Hwy.32
457.superintendentemail,creed@sweetwater.k1a2.ok.us,creed@sweetwater.k12.ok.us
275.districtname,Mdaill                        ,Madill                        
483.boardpresident,Sylvester arolina,Sylvester Carolina
288.websiteurl,www.wayne.1k2.ok.us,www.wayne.k12.ok.us
497.superintendentemail,bnewton@central.k21.ok.us,bnewton@central.k12.ok.us
207.boardpresident,Timmmy Good,Timmy Good
350.boardpresident,Jace irk,Jace Kirk
63.phone,(580) 262-7650,(580) 226-7650
326.websiteurl,www.morrkisonps.com,www.morrisonps.com
239.phone,(91) 653-4476,(918) 653-4476
446.countyname,POTTAWAzTOMIE,POTTAWATOMIE
451.superintendentemail,rerwin@clayton.k12.o.kus,rerwin@clayton.k12.ok.us
126.statevalue,KO,OK
180.fax,(405)4 53-7246,(405) 453-7246
38.countyname,RYAN       ,BRYAN       
134.superintendent,James dEelen,James Edelen
364.address,6721 Northwest4 2Nd Street,6721 Northwest 42Nd Street
436.superintendentemail,cmrawford@src.k12.ok.us,mcrawford@src.k12.ok.us
437.statevalue,K,OK
127.websiteurl,http://waww.olive.k12.ok.us,http://www.olive.k12.ok.us
216.superintendentemail,mrowalnd@wpss.k12.ok.us,mrowland@wpss.k12.ok.us
367.countyname,OKLAHMA    ,OKLAHOMA    
312.address,400 East Atlant Ave,400 East Atlanta Ave
148.districtname,Seiling                       ***,Seiling                       
266.city,Colye,Coyle
205.superintendentemail,jsmith@blairpschool.org,jsmith@blairschool.org
57.countyname,ANADIAN    ,CANADIAN    
199.address,8837 Fourth tSreet,8837 Fourth Street
506.address,326 East Eage Blvd,326 East Eagle Blvd
473.superintendentemail,gxturpin@newlima.k12.ok.us,gturpin@newlima.k12.ok.us
210.superintendentemail,amnnsvilleschool@yahoo.com,mannsvilleschool@yahoo.com
142.code,2-I001,21-I001
262.districtname,Agra                         ,Agra                          
100.boardpresident,Troacy Penney,Tracy Penney
20.city,Beavr,Beaver
2.superintendentemail,lmeans@maryetta.1k2.ok.us,lmeans@maryetta.k12.ok.us
344.fax,(405) 6010-904,(405) 601-0904
362.fax,(405) 739-16s15,(405) 739-1615
186.code,8-I003,28-I003
401.code,5j9-C002,59-C002
458.code,65g-I066,65-I066
164.code,25-I050,25-I005
25.superintendentemail,wood@elklcityschools.com,wood@elkcityschools.com
247.statevalue,KO,OK
378.city,Schultre,Schulter
280.superintendent,Don Raleihg,Don Raleigh
405.superintendentemail,beamsk@irpley.k12.ok.us,beamsk@ripley.k12.ok.us
15.city,sLane,Lane
515.code,72-E0d06,72-E006
37.websiteurl,uhttp://www.benningtonisd.org/,http://www.benningtonisd.org/
533.websiteurl,http://www.owassops.og,http://www.owassops.org
319.city,Muskogee***,Muskogee
215.code,35-I35,35-I035
514.statevalue,OiK,OK
510.fax,(580) 335-23j24,(580) 335-2324
199.fax,(91e8) 546-2329,(918) 546-2329
219.superintendentemail,rrigg@sblackwell.k12.ok.us,rriggs@blackwell.k12.ok.us
89.code,12-If039,12-I039
89.websiteurl,http://www.hugoschobols.com,http://www.hugoschools.com
469.address,61 N. Timmons,617 N. Timmons
122.code,1-9C034,19-C034
526.code,72I004,72-I004
419.address,406 East 8Teh Street,406 East 8Th Street
29.address,1012 N. Weigle,1021 N. Weigle
248.countyname,E FLORE    ,LE FLORE    
349.boardpresident,Micahel Owens,Michael Owens
239.superintendent,Ward Bronw,Ward Brown
56.superintendentemail,james.white@piedmontschhools.org,james.white@piedmontschools.org
186.statevalue,OrK,OK
225.superintendent,Jason Sternbergecr,Jason Sternberger
63.statevalue,KO,OK
501.districtname,Yarbroug h                    ,Yarbrough                     
184.superintendent,Jajmes Lewis,James Lewis
414.fax,(981) 423-3068,(918) 423-3068
477.address,Hwy 56 An dYahola,Hwy 56 And Yahola
518.superintendent,Nikhil Kawlar,Nikhil Kawlra
408.fax,(198) 225-5256,(918) 225-5256
366.websiteurl,www.dbcscthool.org,www.dbcschool.org
119.code,1p8-I065,18-I065
40.phone,580) 931-0691,(580) 931-0691
109.countyname,OMANCHE    ,COMANCHE    
142.countyname,DELAWRAE    ,DELAWARE    
505.code,70-I05q3,70-I053
376.city,eggs,Beggs
420.websiteurl,www.qpse.du,www.qps.edu
23.statevalue,OkK,OK
268.websiteurl,http://tohackerville.opsrc.net,http://thackerville.opsrc.net
418.superintendent,Rogrer Hemphill,Roger Hemphill
232.phone,(580) 56-2773,(580) 569-2773
17.boardpresident,Keith Cochrlan,Keith Cochran
268.superintendent,Grge Raper,Greg Raper
334.countyname,KOFUSKEE    ,OKFUSKEE    
65.address,1140 Sousth Plainview Road,1140 South Plainview Road
83.superintendentemail,leroy-qualls@cehrokee.org,leroy-qualls@cherokee.org
245.fax,(918)q 654-7387,(918) 654-7387
458.districtname,Hammon                        ***,Hammon                        
508.boardpresident,Jerry Sotll,Jerry Stoll
16.address,304 Highcland St.,304 Highland St.
14.boardpresident,Troy Gamon,Troy Gammon
105.statevalue,OuK,OK
166.superintendent,Dna Chapman,Dan Chapman
356.city,Edmeond,Edmond
71.statevalue,OwK,OK
76.address,10821 West Hicklory Ave.,10821 West Hickory Ave.
232.code,38-004,38-I004
274.superintendent,Seve Walker,Steve Walker
14.superintendentemail,bwakler@harmonyps.org,bwalker@harmonyps.org
382.districtname,Bowring                       ***,Bowring                       
250.fax,(918) 567-507,(918) 567-3507
209.phone,(580) 22i8-3373,(580) 228-3373
433.phone,(405) 2753-473,(405) 275-3473
81.superintendent,aMrilyn Dewoody,Marilyn Dewoody
58.websiteurl,www.elrenpos.org,www.elrenops.org
203.fax,(580) 633-236,(580) 633-2316
260.districtname,Prague                       ,Prague                        
369.websiteurl,www.connectionseducatio.ncom/okca,www.connectionseducation.com/okca
428.statevalue,KO,OK
542.fax,(918) 563-2600,(918) 536-2600
343.address,3333 N Shartel Ave***,3333 N Shartel Ave
499.address,10 E 5Th St.,107 E 5Th St.
550.districtname,Freedom    a                   ,Freedom                       
326.superintendent,Jay Vrnon,Jay Vernon
255.statevalue,K,OK
192.address,309 Norhtwest E Street,309 Northwest E Street
354.superintendent,Sheldonr Buxton,Sheldon Buxton
26.districtname,Sayre                        z ,Sayre                         
392.code,57-090,57-I090
143.superintendentemail,scoaly@rigerunners.net,scoaly@ridgerunners.net
105.fax,(u580) 246-3372,(580) 246-3372
54.superintendentemail,cgarrison@darlington.k12.ok.uis,cgarrison@darlington.k12.ok.us
285.address,101 North Man Street,101 North Main Street
329.districtname,South oCffeyville             ,South Coffeyville             
367.fax,(f405) 749-4540,(405) 749-4540
272.city,Alne,Aline
39.websiteurl,www.durantised.org,www.durantisd.org
38.statevalue,KO,OK
505.websiteurl,tyrne@tyrone.k12.ok.us,tyrone@tyrone.k12.ok.us
262.code,41-I34,41-I134
163.districtname,Stratford   r                  ,Stratford                     
212.address,602 Soth Chickasaw Ave,602 South Chickasaw Ave
547.address,606 East sThird St,606 East Third St
189.superintendent,Martin Admas,Martin Adams
459.address,14902 East School Roda,14902 East School Road
30.code,06q-I080,06-I080
307.phone,(198) 689-2152,(918) 689-2152
188.statevalue,OnK,OK
336.phone,(405) 717-3373,(405) 771-3373
85.boardpresident,Darreldl Stowers,Darrell Stowers
20.boardpresident,Guy Bkennett,Guy Bennett
95.address,13s1 South Flood Ave,131 South Flood Ave
446.superintendent,Jerry cMcormick,Jerry Mccormick
487.code,68-I04,68-I004
226.statevalue,KO,OK
422.fax,(918) 33-43295,(918) 334-3295
543.phone,(918) 36-8600,(918) 336-8600
319.boardpresident,Mark Grandstff,Mark Grandstaff
554.city,Fort Supjply,Fort Supply
248.websiteurl,ww.poteau.k12.ok.us,www.poteau.k12.ok.us
209.superintendent,Roxe Terry,Roxie Terry
469.code,67-0I01,67-I001
14.city,Aotka,Atoka
416.boardpresident,Randdy Wilcox,Randy Wilcox
137.statevalue,OcK,OK
408.websiteurl,www.cushing.k12.ok.us***,www.cushing.k12.ok.us
258.websiteurl,www.stoud.k12.ok.us,www.stroud.k12.ok.us
74.superintendent,Lind aClinkenbeard,Linda Clinkenbeard
316.superintendent,DixieS wearingen,Dixie Swearingen
422.code,6-1I028,61-I028
268.superintendentemail,grapr@tpsmail.org,graper@tpsmail.org
552.fax,(580) 94-5900,(580) 994-5900
531.superintendent,Kitris Hartzler,Kirtis Hartzler
45.address,522 Eats Floyd Street,522 East Floyd Street
256.statevalue,KO,OK
26.city,ayre,Sayre
365.websiteurl,ww.okcps.org,www.okcps.org
435.boardpresident,Jerry Skaggs***,Jerry Skaggs
524.city,dSand Springs,Sand Springs
225.phone,(405) 375-4149,(405) 375-4194
101.address,200 South7Th,200 South 7Th
84.websiteurl,www.dbcschool.oorg,www.dbcschool.org
165.address,600 Firs tStreet,600 First Street
428.city,da,Ada
214.address,200 North 8Th Sbtreet,200 North 8Th Street
470.city,zWewoka,Wewoka
109.websiteurl,www.dbcshool.org,www.dbcschool.org
34.websiteurl,http://wkww.achilleisd.org/,http://www.achilleisd.org/
518.countyname,TULSA      ,TULSA       
92.districtname,Keyes    g                     ,Keyes                         
466.statevalue,OpK,OK
148.code,22-I080,22-I008
187.websiteurl,www.hllis.k12.ok.us,www.hollis.k12.ok.us
539.code,73-I635,73-I365
540.boardpresident,Jmes Carver,James Carver
141.superintendentemail,charlene@moseleyscahool.com,charlene@moseleyschool.com
444.superintendentemail,terryg@asher.k21.ok.us,terryg@asher.k12.ok.us
169.websiteurl,www.ecphs.k12e.ok.us,www.ecphs.k12.ok.us
157.code,2-4I047,24-I047
129.code,19-020,19-I020
37.districtname,Bennington                    ***,Bennington                    
486.superintendentemail,ronald.fmlanagan@staff.muldrowps.org,ronald.flanagan@staff.muldrowps.org
425.boardpresident,Angi eNelson,Angie Nelson
328.districtname,Nowata  j                      ,Nowata                        
460.countyname,ROGRS      ,ROGERS      
326.phone,(80) 724-3341,(580) 724-3341
271.superintendent,Wade lDetrick,Wade Detrick
146.districtname,Oaks-Mission             x     ,Oaks-Mission                  
44.city,Caregie,Carnegie
260.boardpresident,xGlen Hyden,Glen Hyden
271.boardpresident,Denns Burnett,Dennis Burnett
443.countyname,POTTAWATOMEI,POTTAWATOMIE
489.websiteurl,wwuw.gore.k12.ok.us,www.gore.k12.ok.us
341.phone,(405) 524-9672,(405) 524-9762
237.websiteurl,cwww.spk12.org,www.spk12.org
553.websiteurl,www.smpes.k12.ok.us,www.smps.k12.ok.us
136.districtname,Weatherford                 m  ,Weatherford                   
181.boardpresident,Deann Mitteylstaedt,Deann Mittelstaedt
214.phone,(580) 434-5522,(580) 443-5522
298.address,604 East Lucsa Street,604 East Lucas Street
390.districtname,Hominy                   p     ,Hominy                        
524.address,11 est Broadway,11 West Broadway
147.websiteurl,ww.vicischools.k12.ok.us,www.vicischools.k12.ok.us
118.districtname,Bluejacket            k        ,Bluejacket                    
230.websiteurl,lonewolfschool.chom,lonewolfschool.com
259.countyname,INCOLN     ,LINCOLN     
541.fax,(918) 54-0149,(918) 534-0149
468.statevalue,KO,OK
166.statevalue,K,OK
254.superintendentemail,tgates@whiterock.k21.ok.us,tgates@whiterock.k12.ok.us
25.districtname,Elk City                     ,Elk City                      
536.phone,(918) 682b-2548,(918) 682-2548
350.websiteurl,hwww.dbcschool.org,www.dbcschool.org
453.boardpresident,EddieNapier,Eddie Napier
545.boardpresident,Jimmy Pieyrcey,Jimmy Piercey
344.statevalue,OqK,OK
406.superintendent,GayWashington,Gay Washington
384.superintendent,Brett anker,Brett Banker
