objectid(long),statefp(long),countyfp(long),tractce(long),blkgrpce(long),geoid(long),namelsad,mtfcc,funcstat,aland(long),awater(long),intptlat(double precision),intptlon(double precision),block_group,percent_pop_below_two_zero_zero_fpl(double precision),pop_below_two_zero_zero_fpl(long),population(long),percent_population_below_two_zero_zero_fpl(double precision),namevalue,percentminority(double precision),le_percent(double precision),shape_length(double precision),shape_area(double precision)
223,9,9,141900,2,90091419002,Block Group 2,G5030,S,182178,2644,41.3180782,-72.9063379,"Block Group 2, Census Tract 1419, New Haven County, Connecticut",0.307,271,883,30.7,New Haven,52.3216308,2.87206266,5889.06626566113,-1989362.32908665
224,9,9,141900,4,90091419004,Block Group 4,G5030,S,180017,0,41.3219134,-72.9134004,"Block Group 4, Census Tract 1419, New Haven County, Connecticut",0.415,451,1088,41.5,New Haven,40.90073529,0.0,6765.31214611824,-1937639.05831205
225,9,9,141800,3,90091418003,Block Group 3,G5030,S,263950,0,41.3239499,-72.9256925,"Block Group 3, Census Tract 1418, New Haven County, Connecticut",0.522,486,931,52.2,New Haven,83.12883436,6.91489362,7200.42370191682,-2841064.03734249
226,9,9,141800,4,90091418004,Block Group 4,G5030,S,320738,0,41.3305262,-72.9235872,"Block Group 4, Census Tract 1418, New Haven County, Connecticut",0.394,406,1030,39.4,New Haven,70.06633499,15.86206897,8318.32894407607,-3452322.06011043
227,4,9,141900,1,90091419001,Block Group 1,G5030,S,179504,0,41.3226841,-72.9159473,"Block Group 1, Census Tract 1419, New Haven County, Connecticut",0.38,372,978,38.0,New Haven,31.59509202,2.3255814,6637.26895453907,-1932114.15780391
228,9,9,142100,1,90091421001,Block Group 1,G5030,S,610090,0,41.3117584,-72.9113578,"Block Group 1, Census Tract 1421, New Haven County, Connecticut",0.556,835,1503,55.6,New Haven,66.26746507,7.92079208,13331.2239388922,-6566831.71789624
229,9,9,361402,1,90093614021,Block Group 1,G5030,S,616779,0,41.3156378,-72.9250299,"Block Group 1, Census Tract 3614.02, New Haven County, Connecticut",0.344,96,279,34.4,New Haven,46.34721131,6.61764706,13783.4418833142,-6638801.92243619
230,9,9,140300,1,90091403001,Block Group 1,G5030,S,127642,0,41.2941134,-72.9327903,"Block Group 1, Census Tract 1403, New Haven County, Connecticut",0.63,471,748,63.0,New Haven,93.97905759,19.92031873,5225.89466360576,-1373892.11765986
231,9,9,140400,1,90091404001,Block Group 1,G5030,S,430060,27091,41.2875065,-72.9360848,"Block Group 1, Census Tract 1404, New Haven County, Connecticut",0.637,835,1311,63.7,New Haven,86.35682159,32.73195876,11224.7517673744,-4920637.85298301
232,9,9,140500,1,90091405001,Block Group 1,G5030,S,206129,0,41.2954,-72.937246,"Block Group 1, Census Tract 1405, New Haven County, Connecticut",0.482,462,959,48.2,New Haven,88.9468196,24.73498233,7565.69755782878,-2218724.7309343
233,12,9,140500,2,90091405002,Block Group 2,G5030,S,466617,56738,41.2931785,-72.9458432,"Block Group 2, Census Tract 1405, New Haven County, Connecticut",0.762,1115,1463,76.2,New Haven,93.16473001,23.58722359,14999.8207392639,-5633245.26246537
234,9,9,140900,3,90091409003,Block Group 3,G5030,S,283340,0,41.3148243,-72.9520041,"Block Group 3, Census Tract 1409, New Haven County, Connecticut",0.695,1014,1458,69.5,New Haven,87.95098707,4.38247012,7612.72143368412,-3049748.1188709
235,9,9,140900,4,90091409004,Block Group 4,G5030,S,121529,0,41.3179697,-72.9501878,"Block Group 4, Census Tract 1409, New Haven County, Connecticut",0.678,612,902,67.8,New Haven,44.12416851,15.53133515,4697.24138783338,-1308101.54420218
236,9,9,140900,5,90091409005,Block Group 5,G5030,S,312175,0,41.3202601,-72.9548878,"Block Group 5, Census Tract 1409, New Haven County, Connecticut",0.303,238,785,30.3,New Haven,60.0,0.0,8403.61641933361,-3360149.6340562
237,9,9,141200,1,90091412001,Block Group 1,G5030,S,416440,0,41.3371151,-72.9708027,"Block Group 1, Census Tract 1412, New Haven County, Connecticut",0.367,237,646,36.7,New Haven,84.05572755,0.0,13563.8815705146,-4482411.8541976
238,9,9,141200,2,90091412002,Block Group 2,G5030,S,548072,18034,41.3358145,-72.974421,"Block Group 2, Census Tract 1412, New Haven County, Connecticut",0.822,1007,1225,82.2,New Haven,91.34693878,9.72644377,13492.653102819,-6093348.74440741
239,9,9,141300,2,90091413002,Block Group 2,G5030,S,261867,0,41.3255145,-72.952747,"Block Group 2, Census Tract 1413, New Haven County, Connecticut",0.581,179,308,58.1,New Haven,78.24675325,9.5890411,6687.25317558743,-2818650.11865167
240,9,9,142300,3,90091423003,Block Group 3,G5030,S,117727,0,41.3051761,-72.897588,"Block Group 3, Census Tract 1423, New Haven County, Connecticut",0.589,1058,1797,58.9,New Haven,97.27323317,56.98729583,4766.88648640357,-1267181.72766993
241,12,9,142300,4,90091423004,Block Group 4,G5030,S,133086,0,41.3075207,-72.8980071,"Block Group 4, Census Tract 1423, New Haven County, Connecticut",0.497,555,1116,49.7,New Haven,100.0,45.19774011,4945.91350936125,-1432500.05663701
242,9,9,142300,1,90091423001,Block Group 1,G5030,S,258407,43127,41.3061378,-72.9046356,"Block Group 1, Census Tract 1423, New Haven County, Connecticut",0.589,415,704,58.9,New Haven,82.67045455,19.93464052,7384.53145526132,-3245611.59103387
243,9,9,142400,1,90091424001,Block Group 1,G5030,S,577545,36612,41.3229991,-72.9033443,"Block Group 1, Census Tract 1424, New Haven County, Connecticut",0.432,649,1502,43.2,New Haven,94.34087883,7.8891258,18758.2232443525,-6610570.08909154
244,9,9,142400,4,90091424004,Block Group 4,G5030,S,278075,0,41.3117917,-72.904352,"Block Group 4, Census Tract 1424, New Haven County, Connecticut",0.704,629,893,70.4,New Haven,89.81380066,53.67965368,8069.29703931962,-2993097.61486335
245,9,9,142500,1,90091425001,Block Group 1,G5030,S,1122990,58583,41.3254825,-72.8977426,"Block Group 1, Census Tract 1425, New Haven County, Connecticut",0.719,799,1112,71.9,New Haven,68.31168831,23.50119904,19938.9926938921,-12718041.0064033
246,11,9,142500,2,90091425002,Block Group 2,G5030,S,178744,0,41.318139,-72.8903261,"Block Group 2, Census Tract 1425, New Haven County, Connecticut",0.494,314,635,49.4,New Haven,100.0,29.16666667,5509.35735262165,-1923940.94103233
247,9,9,142500,3,90091425003,Block Group 3,G5030,S,245730,218251,41.3144667,-72.8881753,"Block Group 3, Census Tract 1425, New Haven County, Connecticut",0.336,666,1982,33.6,New Haven,71.49344097,4.6969697,12384.9929116404,-4994146.58293092
248,9,9,140700,1,90091407001,Block Group 1,G5030,S,98689,0,41.3116479,-72.9416202,"Block Group 1, Census Tract 1407, New Haven County, Connecticut",0.603,414,686,60.3,New Haven,75.94752187,7.09459459,4531.15930930721,-1062241.84118981
249,9,9,140300,2,90091403002,Block Group 2,G5030,S,577446,0,41.3006584,-72.9327733,"Block Group 2, Census Tract 1403, New Haven County, Connecticut",0.705,1092,1550,70.5,New Haven,78.1971831,12.59445844,13263.6728412373,-6215434.96045894
250,9,9,142603,2,90091426032,Block Group 2,G5030,S,730094,0,41.3130516,-72.8762151,"Block Group 2, Census Tract 1426.03, New Haven County, Connecticut",0.64,1255,1961,64.0,New Haven,84.03875574,10.01642036,15736.4081173661,-7858506.25001376
251,9,9,142000,3,90091420003,Block Group 3,G5030,S,326559,0,41.3148966,-72.9192909,"Block Group 3, Census Tract 1420, New Haven County, Connecticut",0.476,468,984,47.6,New Haven,50.55499495,2.90964778,9141.25027069315,-3514971.52013289
252,10,9,141200,3,90091412003,Block Group 3,G5030,S,349203,0,41.3291035,-72.9725993,"Block Group 3, Census Tract 1412, New Haven County, Connecticut",0.46,626,1362,46.0,New Haven,62.62848752,10.19332162,9476.80293264647,-3758697.02638392
253,9,9,141600,4,90091416004,Block Group 4,G5030,S,358393,0,41.3183513,-72.9312108,"Block Group 4, Census Tract 1416, New Haven County, Connecticut",0.645,899,1394,64.5,New Haven,85.61501042,0.0,9177.7353204773,-3857640.26134581
254,9,9,142300,2,90091423002,Block Group 2,G5030,S,502958,200676,41.3038069,-72.8953371,"Block Group 2, Census Tract 1423, New Haven County, Connecticut",0.545,1005,1843,54.5,New Haven,81.06348345,9.53002611,14894.9876118776,-7573691.74198301
255,7,9,142400,3,90091424003,Block Group 3,G5030,S,228596,0,41.310116,-72.8998951,"Block Group 3, Census Tract 1424, New Haven County, Connecticut",0.819,2017,2462,81.9,New Haven,89.75708502,35.0449294,6927.44098052591,-2460533.10309214
256,9,9,361401,1,90093614011,Block Group 1,G5030,S,212210,0,41.3081142,-72.9290588,"Block Group 1, Census Tract 3614.01, New Haven County, Connecticut",0.436,174,399,43.6,New Haven,45.27712724,4.80769231,8332.29184357483,-2284163.38729336
257,9,9,141500,1,90091415001,Block Group 1,G5030,S,113675,0,41.3317561,-72.9265857,"Block Group 1, Census Tract 1415, New Haven County, Connecticut",0.539,363,673,53.9,New Haven,96.87964339,0.0,5288.16922807438,-1223553.56430248
258,9,9,142000,1,90091420001,Block Group 1,G5030,S,120095,0,41.3160927,-72.9130976,"Block Group 1, Census Tract 1420, New Haven County, Connecticut",0.519,570,1099,51.9,New Haven,31.66515014,3.69068541,4760.75128437083,-1292654.56439867
259,9,9,141300,1,90091413001,Block Group 1,G5030,S,989269,0,41.3430449,-72.9555418,"Block Group 1, Census Tract 1413, New Haven County, Connecticut",0.706,1266,1792,70.6,New Haven,95.98214286,5.47169811,23168.2461627402,-10648094.5006899
260,9,9,361402,2,90093614022,Block Group 2,G5030,S,154585,0,41.3105071,-72.9262208,"Block Group 2, Census Tract 3614.02, New Haven County, Connecticut",1.0,7,7,100.0,New Haven,46.61246612,0.0,5444.84220053935,-1663885.0182791
261,6,9,361401,2,90093614012,Block Group 2,G5030,S,85894,0,41.3073966,-72.9348625,"Block Group 2, Census Tract 3614.01, New Haven County, Connecticut",0.499,537,1076,49.9,New Haven,57.30735164,1.98300283,4239.5825689275,-924539.886367612
262,9,9,140700,5,90091407005,Block Group 5,G5030,S,173772,0,41.3129785,-72.9365219,"Block Group 5, Census Tract 1407, New Haven County, Connecticut",0.661,876,1326,66.1,New Haven,78.05429864,0.0,5993.07127017538,-1870418.41242211
263,9,9,361401,3,90093614013,Block Group 3,G5030,S,127191,0,41.3104323,-72.9325761,"Block Group 3, Census Tract 3614.01, New Haven County, Connecticut",0.68,479,704,68.0,New Haven,41.24909223,9.38416422,4754.56919379666,-1369027.85704898
264,9,9,140600,4,90091406004,Block Group 4,G5030,S,170829,0,41.3036459,-72.9434192,"Block Group 4, Census Tract 1406, New Haven County, Connecticut",0.722,1258,1743,72.2,New Haven,87.83706254,20.71307301,6271.81878519704,-1838730.39630205
265,9,9,141500,3,90091415003,Block Group 3,G5030,S,182766,0,41.3321113,-72.9294553,"Block Group 3, Census Tract 1415, New Haven County, Connecticut",0.966,1370,1418,96.6,New Haven,100.0,12.17948718,5872.09576773144,-1967227.53348034
266,9,9,150300,4,90091503004,Block Group 4,G5030,S,330073,0,41.2013568,-73.0974294,"Block Group 4, Census Tract 1503, New Haven County, Connecticut",0.415,233,562,41.5,Milford,35.05338078,0.0,8657.67553567476,-3552861.81211173
267,7,9,150400,2,90091504002,Block Group 2,G5030,S,318227,0,41.1949554,-73.0844199,"Block Group 2, Census Tract 1504, New Haven County, Connecticut",0.321,323,1005,32.1,Milford,16.31840796,6.22317597,12954.048339441,-3425345.66778021
268,9,11,705102,4,90117051024,Block Group 4,G5030,S,425518,0,41.3796825,-71.8355564,"Block Group 4, Census Tract 7051.02, New London County, Connecticut",0.327,178,545,32.7,Stonington,23.85321101,6.91823899,10050.2517647017,-4580102.83817
269,9,11,705102,3,90117051023,Block Group 3,G5030,S,6847083,0,41.3748095,-71.8663725,"Block Group 3, Census Tract 7051.02, New London County, Connecticut",0.411,861,2096,41.1,Stonington,17.84351145,1.0940919,63978.5254788165,-73699081.9661108
270,9,9,175600,3,90091756003,Block Group 3,G5030,S,399367,0,41.4794071,-72.8335493,"Block Group 3, Census Tract 1756, New Haven County, Connecticut",0.393,201,512,39.3,Wallingford,15.8203125,4.6875,9833.83207117013,-4298586.2233003
271,9,9,175200,2,90091752002,Block Group 2,G5030,S,326948,0,41.4537463,-72.8257091,"Block Group 2, Census Tract 1752, New Haven County, Connecticut",0.352,456,1297,35.2,Wallingford,17.88743254,5.6726094,9301.95970997758,-3519116.4013756
272,6,9,175300,2,90091753002,Block Group 2,G5030,S,777457,0,41.4373681,-72.8199636,"Block Group 2, Census Tract 1753, New Haven County, Connecticut",0.342,195,571,34.2,Wallingford,22.94220665,0.0,13595.9401668672,-8368173.5894548
273,9,7,680100,4,90076801004,Block Group 4,G5030,S,2118194,12217456,41.2755088,-72.4420418,"Block Group 4, Census Tract 6801, Middlesex County, Connecticut",0.359,380,1058,35.9,Westbrook,12.57088847,4.51612903,56890.1266134304,-154305203.407457
274,9,7,550100,3,90075501003,Block Group 3,G5030,S,7307761,0,41.5770831,-72.541728,"Block Group 3, Census Tract 5501, Middlesex County, Connecticut",0.304,192,631,30.4,East Hampton,20.76069731,0.0,42015.8593722641,-78657162.5533663
275,9,7,550202,2,90075502022,Block Group 2,G5030,S,3281179,51320,41.5722716,-72.5134182,"Block Group 2, Census Tract 5502.02, Middlesex County, Connecticut",0.313,354,1130,31.3,East Hampton,7.72495756,1.63170163,31672.935706139,-35869403.0290896
276,9,11,714103,3,90117141033,Block Group 3,G5030,S,21166037,29719,41.5680252,-72.4168542,"Block Group 3, Census Tract 7141.03, New London County, Connecticut",0.33,501,1516,33.0,Colchester,11.87335092,0.0,66514.2073021065,-228140748.293554
277,5,11,716101,1,90117161011,Block Group 1,G5030,S,5133784,310447,41.3304053,-72.2390428,"Block Group 1, Census Tract 7161.01, New London County, Connecticut",0.334,292,873,33.4,East Lyme,43.1702544,1.79372197,41144.0189252442,-58599797.1945326
278,9,11,870704,2,90118707042,Block Group 2,G5030,S,2192413,2874813,41.3167494,-72.1998779,"Block Group 2, Census Tract 8707.04, New London County, Connecticut",0.31,566,1827,31.0,East Lyme,7.91020844,0.0,34039.7084113226,-54541893.2291635
279,9,11,707100,3,90117071003,Block Group 3,G5030,S,32335535,144011,41.4410202,-71.8336941,"Block Group 3, Census Tract 7071, New London County, Connecticut",0.328,446,1361,32.8,North Stonington,9.18442322,0.0,97525.8368511776,-349594634.618623
280,9,7,630100,3,90076301003,Block Group 3,G5030,S,1489418,42191,41.3552652,-72.4001725,"Block Group 3, Census Tract 6301, Middlesex County, Connecticut",0.305,235,770,30.5,Essex,31.42857143,0.0,19105.3588831356,-16485619.2819536
281,9,7,590100,2,90075901002,Block Group 2,G5030,S,16591399,51223,41.4836708,-72.6067226,"Block Group 2, Census Tract 5901, Middlesex County, Connecticut",0.356,522,1466,35.6,Haddam,16.84856753,0.0,61479.5907744455,-179133098.427525
282,9,7,640100,3,90076401003,Block Group 3,G5030,S,4475113,0,41.3727497,-72.5579429,"Block Group 3, Census Tract 6401, Middlesex County, Connecticut",0.429,249,580,42.9,Killingworth,2.93103448,0.0,32206.915824963,-48168283.5526709
283,9,11,700100,3,90117001003,Block Group 3,G5030,S,22557667,1440963,41.499864,-72.0490143,"Block Group 3, Census Tract 7001, New London County, Connecticut",0.4,578,1444,40.0,Preston,15.72022161,3.20121951,87590.4492988851,-258309449.79576
284,9,7,670200,4,90076702004,Block Group 4,G5030,S,1351530,16079,41.2922673,-72.3817351,"Block Group 4, Census Tract 6702, Middlesex County, Connecticut",0.366,348,952,36.6,Old Saybrook,28.78151261,14.51247166,20348.8370856034,-14720510.9051027
285,9,7,560200,2,90075602002,Block Group 2,G5030,S,1249644,368925,41.576277,-72.6419295,"Block Group 2, Census Tract 5602, Middlesex County, Connecticut",0.381,217,569,38.1,Portland,1.58172232,0.0,18942.7593707292,-17421491.891288
286,9,7,541100,1,90075411001,Block Group 1,G5030,S,1289800,126325,41.569545,-72.6582464,"Block Group 1, Census Tract 5411, Middlesex County, Connecticut",0.53,583,1099,53.0,Middletown,49.49954504,6.16302187,24474.0835097592,-15242523.4015886
287,9,7,541100,2,90075411002,Block Group 2,G5030,S,270862,0,41.5628371,-72.6580094,"Block Group 2, Census Tract 5411, Middlesex County, Connecticut",0.547,577,1055,54.7,Middletown,71.41560799,0.0,9112.74121126253,-2915425.40394758
288,9,7,541500,1,90075415001,Block Group 1,G5030,S,866380,0,41.5566057,-72.6593539,"Block Group 1, Census Tract 5415, Middlesex County, Connecticut",0.3,251,838,30.0,Middletown,41.37022398,1.33928571,14234.7040532027,-9325281.58380473
289,9,7,680200,2,90076802002,Block Group 2,G5030,S,21876344,1847103,41.5324305,-72.5839088,"Block Group 2, Census Tract 6802, Middlesex County, Connecticut",0.303,393,1295,30.3,Middletown,56.21621622,0.0,72067.6600794735,-255347459.862588
290,9,7,541402,1,90075414021,Block Group 1,G5030,S,2506116,116595,41.553415,-72.6750275,"Block Group 1, Census Tract 5414.02, Middlesex County, Connecticut",0.372,763,2053,37.2,Middletown,41.6481069,0.0,29594.3129092898,-28229557.0607499
291,9,7,541700,1,90075417001,Block Group 1,G5030,S,1026261,134564,41.5533268,-72.637226,"Block Group 1, Census Tract 5417, Middlesex County, Connecticut",0.469,551,1176,46.9,Middletown,61.13945578,0.0,15171.9204252349,-12494540.0100481
292,9,7,541700,2,90075417002,Block Group 2,G5030,S,853015,0,41.5535276,-72.6473481,"Block Group 2, Census Tract 5417, Middlesex County, Connecticut",0.609,950,1560,60.9,Middletown,27.9680901,4.38413361,14737.4276259737,-9181421.17170763
293,9,7,680200,4,90076802004,Block Group 4,G5030,S,1051057,210634,41.5536446,-72.6259717,"Block Group 4, Census Tract 6802, Middlesex County, Connecticut",1.0,85,85,100.0,Middletown,42.37288136,0.0,22942.9085487892,-13580232.7668628
294,9,7,541600,1,90075416001,Block Group 1,G5030,S,656375,200773,41.5622182,-72.6485347,"Block Group 1, Census Tract 5416, Middlesex County, Connecticut",0.652,791,1214,65.2,Middletown,42.22048475,10.47040971,15526.8073657343,-9225966.42290347
295,9,7,541200,1,90075412001,Block Group 1,G5030,S,2368433,148520,41.5843482,-72.6692149,"Block Group 1, Census Tract 5412, Middlesex County, Connecticut",0.69,934,1353,69.0,Middletown,39.02439024,16.1961367,38293.8788954969,-27091253.5577616
296,5,13,535100,6,90135351006,Block Group 6,G5030,S,3050951,0,41.9328044,-72.4577578,"Block Group 6, Census Tract 5351, Tolland County, Connecticut",0.318,352,1107,31.8,Ellington,15.71815718,0.0,33670.119130361,-32840536.6184404
297,9,13,535100,3,90135351003,Block Group 3,G5030,S,8633192,0,41.9104509,-72.4884403,"Block Group 3, Census Tract 5351, Tolland County, Connecticut",0.363,361,994,36.3,Ellington,14.78873239,0.0,46145.4205738086,-92927396.3226895
298,6,13,890100,1,90138901001,Block Group 1,G5030,S,3150798,0,41.9669753,-72.3060031,"Block Group 1, Census Tract 8901, Tolland County, Connecticut",0.34,713,2095,34.0,Stafford,5.72792363,0.0,28094.9553241012,-33915581.3437408
299,9,13,530301,2,90135303012,Block Group 2,G5030,S,1083248,0,41.865773,-72.4742074,"Block Group 2, Census Tract 5303.01, Tolland County, Connecticut",0.583,669,1147,58.3,Vernon,40.19180471,0.0,15147.4039640101,-11659919.0873532
300,9,13,530200,3,90135302003,Block Group 3,G5030,S,1248770,0,41.8587055,-72.4565845,"Block Group 3, Census Tract 5302, Tolland County, Connecticut",0.516,1011,1958,51.6,Vernon,24.6680286,1.49253731,16516.3690578962,-13441581.0621449
301,9,13,530500,1,90135305001,Block Group 1,G5030,S,1988721,54521,41.824173,-72.4828452,"Block Group 1, Census Tract 5305, Tolland County, Connecticut",0.43,333,775,43.0,Vernon,8.77419355,9.20245399,30533.7445466759,-21992986.9639736
302,9,13,530400,2,90135304002,Block Group 2,G5030,S,1585463,0,41.8498016,-72.4429332,"Block Group 2, Census Tract 5304, Tolland County, Connecticut",0.377,598,1586,37.7,Vernon,30.20176545,7.82396088,20758.4804509023,-17065656.1042454
303,9,13,530200,1,90135302001,Block Group 1,G5030,S,724750,0,41.864292,-72.445713,"Block Group 1, Census Tract 5302, Tolland County, Connecticut",0.656,695,1059,65.6,Vernon,52.12464589,0.0,14423.9648042058,-7801108.83852676
304,9,13,530301,3,90135303013,Block Group 3,G5030,S,1336187,0,41.8578689,-72.4758535,"Block Group 3, Census Tract 5303.01, Tolland County, Connecticut",0.303,488,1608,30.3,Vernon,23.94278607,0.0,16572.6212958172,-14382505.2463046
305,9,13,530200,4,90135302004,Block Group 4,G5030,S,800936,0,41.8648898,-72.4583006,"Block Group 4, Census Tract 5302, Tolland County, Connecticut",0.469,737,1570,46.9,Vernon,29.49044586,8.28651685,13405.9517588421,-8621154.03331676
306,9,13,530200,2,90135302002,Block Group 2,G5030,S,423954,0,41.8692929,-72.4558322,"Block Group 2, Census Tract 5302, Tolland County, Connecticut",0.395,864,2190,39.5,Vernon,34.42044954,0.0,10349.0348989856,-4563393.62247436
307,9,13,840100,3,90138401003,Block Group 3,G5030,S,4911819,0,41.8432518,-72.2907839,"Block Group 3, Census Tract 8401, Tolland County, Connecticut",0.42,582,1385,42.0,Willington,30.68592058,13.10679612,33274.1774032235,-52869934.0257912
308,9,13,840100,2,90138401002,Block Group 2,G5030,S,18432030,61920,41.8579724,-72.2480994,"Block Group 2, Census Tract 8401, Tolland County, Connecticut",0.507,669,1320,50.7,Willington,17.51287712,2.29681979,56266.8875492739,-199065957.821678
309,9,15,905100,5,90159051005,Block Group 5,G5030,S,4401591,75657,41.7920881,-71.9063836,"Block Group 5, Census Tract 9051, Windham County, Connecticut",0.358,544,1521,35.8,Brooklyn,20.90729783,0.0,39013.0886027269,-48191896.4211767
310,9,5,253600,2,90052536002,Block Group 2,G5030,S,6153044,321551,41.5984726,-73.4381647,"Block Group 2, Census Tract 2536, Litchfield County, Connecticut",0.412,529,1285,41.2,New Milford,14.0077821,3.70942813,53676.7745514542,-69689388.1520421
311,10,5,253100,1,90052531001,Block Group 1,G5030,S,3760341,0,41.5915727,-73.4100097,"Block Group 1, Census Tract 2531, Litchfield County, Connecticut",0.419,1102,2628,41.9,New Milford,20.99630996,2.02286719,33398.9880687597,-40474488.2233557
312,9,5,260200,1,90052602001,Block Group 1,G5030,S,4520786,1090,42.0401097,-73.3328833,"Block Group 1, Census Tract 2602, Litchfield County, Connecticut",0.414,417,1007,41.4,North Canaan,22.0,0.0,39623.0085431223,-48674977.3518551
313,9,5,262100,2,90052621002,Block Group 2,G5030,S,6815332,51370,41.8790257,-73.4616297,"Block Group 2, Census Tract 2621, Litchfield County, Connecticut",0.448,304,679,44.8,Sharon,18.75901876,0.0,47188.9064271428,-73912523.9876789
314,9,5,349200,2,90053492002,Block Group 2,G5030,S,1104237,34441,41.6726893,-73.0730944,"Block Group 2, Census Tract 3492, Litchfield County, Connecticut",0.328,400,1218,32.8,Thomaston,5.58292282,0.0,28762.8194154734,-12256240.4787326
315,9,5,360400,2,90053604002,Block Group 2,G5030,S,457182,28308,41.5860781,-73.0863928,"Block Group 2, Census Tract 3604, Litchfield County, Connecticut",0.323,323,1001,32.3,Watertown,9.19080919,0.0,14059.4687245182,-5225581.87976018
316,9,15,900200,4,90159002004,Block Group 4,G5030,S,2447604,0,41.9758414,-71.8936686,"Block Group 4, Census Tract 9002, Windham County, Connecticut",0.431,337,781,43.1,Thompson,5.50576184,0.0,24404.8733846145,-26346360.2363561
317,13,11,693400,3,90116934003,Block Group 3,G5030,S,1922960,0,41.3433314,-72.1201716,"Block Group 3, Census Tract 6934, New London County, Connecticut",0.503,626,1244,50.3,Waterford,25.64308682,5.75815739,22591.6419632149,-20698017.5979338
318,9,9,140400,2,90091404002,Block Group 2,G5030,S,456571,445042,41.2818444,-72.9307961,"Block Group 2, Census Tract 1404, New Haven County, Connecticut",0.513,1076,2099,51.3,New Haven,78.37065269,17.36292428,17827.8633685574,-9704685.42167159
