4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
411.typeofchangefulltext,PSAP was addeds ince the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
6446.psapname,Illinois State Polce District 20,Illinois State Police District 20
5673.datelastmodified,03/04/0204,03/04/2004
5891.typeofchangefulltext,No Changes have been maed.,No Changes have been made.
3109.psapname,Dillingham Deparment Of Public Safety,Dillingham Department Of Public Safety
8016.typeofchangefulltext,N oChanges have been made.,No Changes have been made.
1595.datelastmodified,0/09/2015,10/09/2015
6778.city,Cleveland Heighst,Cleveland Heights
4135.datelastmodified,03/042/004,03/04/2004
5900.county,tNewton,Newton
1345.county,Seeca,Seneca
5670.geocodecitylevel,"La Verne, CA
(34.111558, -171.765873)","La Verne, CA
(34.111558, -117.765873)"
445.county,Turmbull,Trumbull
4515.county,Jacekson,Jackson
3926.geocodecitylevel,"Bker City, OR
(44.774509, -117.83098)","Baker City, OR
(44.774509, -117.83098)"
5027.geocodecitylevel,"Scottsdale, AZ
(33.494909, 111.926061)","Scottsdale, AZ
(33.494909, -111.926061)"
6009.statevalue,D,ND
5667.psapname,Miner Polcie Department,Miner Police Department
1815.geocodecitylevel,"Seneca,l SC
(34.685218, -82.949834)","Seneca, SC
(34.685218, -82.949834)"
2074.psapname,Durant Communicatiotns,Durant Communications
5717.county,Cochixse,Cochise
8473.statevalue,jPA,PA
7315.datelastmodified,0822/2016,08/22/2016
3937.city,os Angeles,Los Angeles
809.typeofchangefulltext,No Changes hve been made.,No Changes have been made.
5159.city,Mcmihnnville,Mcminnville
1543.datelastmodified,03/04/2004***,03/04/2004
1843.psapname,Integrated Incideint Management Center,Integrated Incident Management Center
7282.datelastmodified,03/04/2004***,03/04/2004
3301.datelastmodified,03/04/2l004,03/04/2004
3012.datelastmodified,12/192013,12/19/2013
772.city,Aalon,Avalon
2354.county,Montgomeruy,Montgomery
7502.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in futre filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
6881.geocodecitylevel,"Kelly, NC
x(34.469339, -78.329025)","Kelly, NC
(34.469339, -78.329025)"
6321.statevalue,aOH,OH
4178.psapname,Jefferosn County Sheriffs Department,Jefferson County Sheriffs Department
2847.datelastmodified,0/04/2004,03/04/2004
4924.statevalue,IeL,IL
6984.psapname,Santa Clagra Police Department,Santa Clara Police Department
5586.typeofchangefulltext,No Changesh ave been made.,No Changes have been made.
1928.county,Middleesex,Middlesex
2955.city,Cadillca,Cadillac
204.geocodecitylevel,"Ruston, LA
(32.32435, -92.639039)","Ruston, LA
(32.532435, -92.639039)"
6620.city,Ft Psayne,Ft Payne
7959.psapname,Clinton County Commnuications,Clinton County Communications
6834.city,bEagle River,Eagle River
765.geocodecitylevel,"rAcadia, LA
(32.554822, -92.921521)","Arcadia, LA
(32.554822, -92.921521)"
4041.geocodecitylevel,"Lamr, CO
(38.086092, -102.618982)","Lamar, CO
(38.086092, -102.618982)"
4820.psapname,Lexington Citye Hall,Lexington City Hall
355.city,arsaw,Warsaw
3442.geocodecitylevel,"NJ
(40.10465,5 -74.386686)","NJ
(40.104655, -74.386686)"
3528.statevalue,tRI,RI
3127.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since hte original posting.","PSAP Name, State, County or City text has been modified since the original posting."
3315.geocodecitylevel,"Waukesha, WI
(43.018205, -88.235085)","Waukesha, WI
(43.012805, -88.235085)"
906.datelastmodified,03/04/004,03/04/2004
7956.psapname,Medfield Police Deparment,Medfield Police Department
4410.city,Ameican Falls,American Falls
5438.county,Fairfielnd,Fairfield
4748.psapname,Washington State Patrol Vancouer,Washington State Patrol Vancouver
5412.statevalue,HO,OH
2883.statevalue,N,MN
3181.city,ridgewater,Bridgewater
6522.datelastmodified,0/04/2004,03/04/2004
1975.county,lDuplin,Duplin
1444.typeofchangefulltext,PSAP was added since the originla posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
4548.datelastmodified,03/04/20m04,03/04/2004
536.city,Chathm,Chatham
2425.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in futue filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
3109.datelastmodified,b08/13/2013,08/13/2013
517.datelastmodified,9/29/2008,09/29/2008
2585.datelastmodified,08/15/2l007,08/15/2007
4911.typeofchangefulltext,No Changes hve been made.,No Changes have been made.
8016.city,Ft Atkinsno,Ft Atkinson
1790.psapname,San Marcnos Police Department,San Marcos Police Department
3947.city,Inglesie,Ingleside
3128.geocodecitylevel,"West Lsiberty, KY
(37.921779, -83.259923)","West Liberty, KY
(37.921779, -83.259923)"
2736.city,uckley,Buckley
5297.datelastmodified,03/04/200q4,03/04/2004
7780.statevalue,uOH,OH
8471.county,Buena Visat,Buena Vista
8107.datelastmodified,03/04/004,03/04/2004
3768.statevalue,AC,CA
5955.statevalue,IjL,IL
1260.typeofchangefulltext,No Chapnges have been made.,No Changes have been made.
7199.typeofchangefulltext,No Changes have eben made.,No Changes have been made.
7030.geocodecitylevel,"West Helena, AR
(34.54392,9 -90.643643)","West Helena, AR
(34.543929, -90.643643)"
3685.geocodecitylevel,"Filmore, UT
(38.96675, -112.323686)","Fillmore, UT
(38.96675, -112.323686)"
7607.datelastmodified,03/04s/2004,03/04/2004
6147.city,Mt Sterlinpg,Mt Sterling
1661.statevalue,NuC,NC
7691.county,fIowa,Iowa
6785.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3242.statevalue,NI,IN
3948.geocodecitylevel,"Parker, AZ
(3.150308, -114.289161)","Parker, AZ
(34.150308, -114.289161)"
468.datelastmodified,03/04/204,03/04/2004
80.statevalue,RA,AR
2343.county,Larwence,Lawrence
4638.county,Gaton,Gaston
2423.psapname,Mills County l911 Communications Center,Mills County 911 Communications Center
1503.datelastmodified,0/04/2004,03/04/2004
272.psapname,Randoleph County Communications,Randolph County Communications
2076.statevalue,NI,IN
3816.typeofchangefulltext,Nao Changes have been made.,No Changes have been made.
8410.typeofchangefulltext,No Changes have been maed.,No Changes have been made.
6926.geocodecitylevel,"Benton, IL
(37.996489, -88.918751)","Benton, IL
(37.996849, -88.918751)"
7925.psapname,Castl eRock Police Department,Castle Rock Police Department
2755.city,Woodstonw,Woodstown
7815.statevalue,A,PA
6974.psapname,Thomas County Sqheriffs Office,Thomas County Sheriffs Office
2430.psapname,Sublette Ceounty,Sublette County
7784.county,airfield,Fairfield
431.typeofchangefulltext,No Changes have been mdae.,No Changes have been made.
2866.typeofchangefulltext,No Changems have been made.,No Changes have been made.
5729.city,Faytteville,Fayetteville
7565.typeofchangefulltext,No Changegs have been made.,No Changes have been made.
7641.geocodecitylevel,"Alma, CO
(39.284706, -106.60344)","Alma, CO
(39.284706, -106.06344)"
7610.statevalue,jIL,IL
6750.datelastmodified,03/04/2040,03/04/2004
2644.statevalue,C,NC
7003.psapname,Middletown PoliceDepartment,Middletown Police Department
617.county,Hgighlands,Highlands
4955.city,Bnton,Benton
5759.statevalue,NT,TN
5401.statevalue,O,CO
502.geocodecitylevel,"Geneva, IL(
41.887556, -88.305095)","Geneva, IL
(41.887556, -88.305095)"
1780.county,oYrk,York
5180.city,enilworth,Kenilworth
8457.datelastmodified,12/60/2004,12/06/2004
4474.city,Saguachue,Saguache
3158.typeofchangefulltext,No Changes have been mdae.,No Changes have been made.
1697.datelastmodified,01/11/2011***,01/11/2011
2727.statevalue,uNE,NE
2877.statevalue,JN,NJ
2613.city,Hernanod,Hernando
2651.psapname,Cameron Paris Sheriff,Cameron Parish Sheriff
1535.psapname,Carbogn County Sheriffs Office,Carbon County Sheriffs Office
2818.datelastmodified,03/04/200i4,03/04/2004
8005.geocodecitylevel,"Shirley, A
(42.544612, -71.650011)","Shirley, MA
(42.544612, -71.650011)"
1146.geocodecitylevel,"Marshall, TX
(32.545002, -94.c363315)","Marshall, TX
(32.545002, -94.363315)"
8120.statevalue,AM,MA
1218.statevalue,A,LA
3958.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the orignal posting.","PSAP Name, State, County or City text has been modified since the original posting."
921.city,Newm London,New London
2414.psapname,Quinaul tNation Police Department,Quinault Nation Police Department
5171.county,Homles,Holmes
371.datelastmodified,7/26/2017,07/26/2017
2049.statevalue,ArL,AL
7114.psapname,ork County 9-1-1 Alternate Psap,York County 9-1-1 Alternate Psap
3581.datelastmodified,1/09/2004,11/09/2004
2542.typeofchangefulltext,No Changes have been ade.,No Changes have been made.
6502.county,Kyleberg,Kleberg
2414.datelastmodified,0w3/04/2004,03/04/2004
6397.geocodecitylevel,"Eaton, CO
(40.526025, -014.712092)","Eaton, CO
(40.526025, -104.712092)"
3111.county,rFairfield,Fairfield
2160.county,West eFliciana,West Feliciana
5824.typeofchangefulltext,rphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6949.statevalue,H,OH
1530.county,Jakcson,Jackson
2796.county,Sa Diego,San Diego
4239.datelastmodified,01/09/2k008,01/09/2008
2909.county,Nvaajo,Navajo
4164.city,Bouldevr,Boulder
788.datelastmodified,0/04/2004,03/04/2004
3583.geocodecitylevel,"Elko, NV
(40.835734, -1157.59456)","Elko, NV
(40.835734, -115.759456)"
7021.county,oRckland,Rockland
1305.typeofchangefulltext,oN Changes have been made.,No Changes have been made.
5250.geocodecitylevel,"Lame Deer, MT
(45.623442, -106.666395)","Lame Deer, MT
(45.623424, -106.666395)"
3916.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the ooriginal posting.","PSAP Name, State, County or City text has been modified since the original posting."
7300.psapname,Alles Ambulance Service,Allens Ambulance Service
967.typeofchangefulltext,No Changes have been mae.,No Changes have been made.
4571.statevalue,A,CA
1034.city,Mfiflintown,Mifflintown
2069.typeofchangefulltext,No Changes nhave been made.,No Changes have been made.
1798.psapname,Queen Anne's Emergency Servyices,Queen Anne's Emergency Services
3780.geocodecitylevel,"Cyrstal Falls, MI
(46.097784, -88.334795)","Crystal Falls, MI
(46.097784, -88.334795)"
3341.geocodecitylevel,"Syracuse, NY
(43.047945, -d76.147448)","Syracuse, NY
(43.047945, -76.147448)"
325.county,Frankiln,Franklin
5387.geocodecitylevel,"Irvington, NY
41.036778, -73.863966)","Irvington, NY
(41.036778, -73.863966)"
1118.psapname,Dixon County Sheriffs Dpartment,Dixon County Sheriffs Department
2399.county,Waycne,Wayne
184.statevalue,gIL,IL
8096.datelastmodified,03/40/2004,03/04/2004
6828.city,Greneville,Greenville
4283.geocodecitylevel,"Albuquerque, NM
(35.084248, 106.649241)","Albuquerque, NM
(35.084248, -106.649241)"
6293.psapname,Johnston Comm Center-starc Armroy,Johnston Comm Center-starc Armory
4010.city,St. Paqul,St. Paul
1119.geocodecitylevel,"Avalon, CA
(33.343548, -118.3219)","Avalon, CA
(33.343548, -118.32219)"
204.psapname,Lincoln Parish Sherinffs Office,Lincoln Parish Sheriffs Office
5957.typeofchangefulltext,PSAP was added since the original posting of the FCC Regisrty.,PSAP was added since the original posting of the FCC Registry.
3190.geocodecitylevel,"Greenup, KY
(38.573167, -82.830708)","Greenup, KY
(38.573176, -82.830708)"
5022.datelastmodified,03/04/204,03/04/2004
2846.typeofchangefulltext,No Changes hav ebeen made.,No Changes have been made.
8377.psapname,San Jacinto Count ySheriffs Office,San Jacinto County Sheriffs Office
5481.county,Couok,Cook
7462.geocodecitylevel,"Windsor, NC
(35.998416, 7-6.946373)","Windsor, NC
(35.998416, -76.946373)"
4304.city,Deyr,Dyer
2394.city,Norythville,Northville
7422.county,Chittneden,Chittenden
3032.county,Matauska-susitna Borough,Matanuska-susitna Borough
6727.datelastmodified,01e/03/2017,01/03/2017
6858.datelastmodified,0304/2004,03/04/2004
1849.city,Westmorelnad,Westmoreland
1332.datelastmodified,3/04/2004,03/04/2004
8363.psapname,Donalsonville Ploice Department,Donalsonville Police Department
2756.city,Countyr Club Hills,Country Club Hills
5675.county,Apaache,Apache
637.datelastmodified,1/005/2017,10/05/2017
2577.city,Cinton,Clinton
7550.psapname,D cFire And Emergency Medical Services,Dc Fire And Emergency Medical Services
2648.statevalue,tMN,MN
8328.datelastmodified,03/a04/2004,03/04/2004
3721.statevalue,LA,AL
8237.statevalue,L,FL
936.datelastmodified,03/h04/2004,03/04/2004
5259.county,Daktoa,Dakota
2571.county,oNrfolk,Norfolk
7489.county,Oyrange,Orange
6020.county,Elmre,Elmore
3446.geocodecitylevel,"Norflok City, VA
(36.846164, -76.285913)","Norfolk City, VA
(36.846164, -76.285913)"
6127.geocodecitylevel,"Columbus, OH
(39.962649, p-82.996216)","Columbus, OH
(39.962649, -82.996216)"
5274.typeofchangefulltext,"PSAP Namee, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7792.datelastmodified,03/04g/2004,03/04/2004
4.statevalue,LI,IL
1363.psapname,Kaornes County Sheriffs Office,Karnes County Sheriffs Office
2828.county,arrant,Tarrant
2917.city,kAlbany,Albany
2429.psapname,Norh Carolina State Highway Patrol Communications-guilford,North Carolina State Highway Patrol Communications-guilford
1352.geocodecitylevel,"Mercd, CA
(37.306968, -120.481971)","Merced, CA
(37.306968, -120.481971)"
6858.statevalue,HO,OH
4563.geocodecitylevel,"BlueI sland, IL
(41.660814, -87.682734)","Blue Island, IL
(41.660814, -87.682734)"
7202.county,Ajvery,Avery
4371.datelastmodified,0/30/2017,08/30/2017
1593.geocodecitylevel,"Fremont,d OH
(41.35058, -83.121454)","Fremont, OH
(41.35058, -83.121454)"
7750.typeofchangefulltext,Orophaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6026.geocodecitylevel,"WA
(475.17368, -120.467672)","WA
(47.517368, -120.467672)"
5404.statevalue,tIA,IA
4709.datelastmodified,03/04/2040,03/04/2004
7036.county,Wytrhe,Wythe
2691.geocodecitylevel,"Kilgore, T
(32.385785, -94.868573)","Kilgore, TX
(32.385785, -94.868573)"
857.datelastmodified,013/1/2017,01/31/2017
5889.city,dgewater,Edgewater
2747.datelastmodified,03/0/2004,03/04/2004
444.statevalue,K,OK
3979.city,Susanivlle,Susanville
372.city,Albsuquerque,Albuquerque
4807.psapname,Gatlinoburg Police Department,Gatlinburg Police Department
2479.county,Stanilaus,Stanislaus
2392.psapname,Ellitot County 9-1-1,Elliott County 9-1-1
2104.city,Wetsford,Westford
6898.geocodecitylevel,"St Pul, MN
(44.943719, -93.094281)","St Paul, MN
(44.943719, -93.094281)"
4087.psapname,Anrdew County,Andrew County
6237.psapname,andalia Police,Vandalia Police
6119.county,Shiawsasee,Shiawassee
92.psapname,Webster County Law Enforcement Cnter-ft Dodge,Webster County Law Enforcement Center-ft Dodge
5889.psapname,Edgeewater Police Department,Edgewater Police Department
5099.psapname,Norwalk Police Depvartment,Norwalk Police Department
2625.county,Sandowval,Sandoval
3467.geocodecitylevel,"Grand Island, EN
(40.920027, -98.351412)","Grand Island, NE
(40.920027, -98.351412)"
1256.statevalue,A,CA
4780.typeofchangefulltext,No Changes haveb een made.,No Changes have been made.
5739.datelastmodified,0/04/2004,03/04/2004
6068.datelastmodified,03/04/2040,03/04/2004
1828.psapname,Arkasnas State Police Troop A,Arkansas State Police Troop A
208.county,Wane,Wayne
1445.geocodecitylevel,"Deerfield Beach, FL
(26.32058n4, -80.099781)","Deerfield Beach, FL
(26.320584, -80.099781)"
2410.psapname,uAburn Police Department,Auburn Police Department
6131.datelastmodified,03/4/2004,03/04/2004
3235.county,Talladecga,Talladega
3673.geocodecitylevel,"George West, TX
(28.326448, -98.11384m4)","George West, TX
(28.326448, -98.113844)"
3015.county,Newprt,Newport
7773.psapname,North entral Ems,North Central Ems
7669.psapname,Washingto nPolice Department,Washington Police Department
1192.statevalue,CN,NC
6539.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usingn these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3473.county,Jeffegrson,Jefferson
6908.city,Refuio,Refugio
8497.county,aTylor,Taylor
6636.datelastmodified,01/2a3/2009,01/23/2009
6566.city,Amarilol,Amarillo
2226.geocodecitylevel,"Belleville, IL
(38.512629, 8-9.984229)","Belleville, IL
(38.512629, -89.984229)"
4613.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Rerfrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
7809.city,Delawaer,Delaware
8494.datelastmodified,05/0/32013,05/03/2013
3492.city,Knoxvile,Knoxville
711.statevalue,NI,IN
6063.city,Wyoing,Wyoming
2157.psapname,Hood Cunty Sheriffs Department,Hood County Sheriffs Department
8517.geocodecitylevel,"zSavannah, TN
(35.224562, -88.246449)","Savannah, TN
(35.224562, -88.246449)"
2871.datelastmodified,1213/2016,12/13/2016
3759.datelastmodified,30/04/2004,03/04/2004
6286.datelastmodified,03/04/2004***,03/04/2004
820.statevalue,TC,CT
4897.geocodecitylevel,"Deming, NM
(322.70498, -107.753862)","Deming, NM
(32.270498, -107.753862)"
2698.statevalue,I,MI
324.psapname,Webster Count y9-1-1,Webster County 9-1-1
587.city,Brohdead,Brodhead
317.geocodecitylevel,"Morris Plains, NJ
(40.839082a, -74.477138)","Morris Plains, NJ
(40.839082, -74.477138)"
1755.datelastmodified,1/19/2009,11/19/2009
6017.statevalue,AW,WA
6875.datelastmodified,0304/2004,03/04/2004
8143.geocodecitylevel,"Sidney, MT
(47.71148, -104.59663)","Sidney, MT
(47.71148, -104.159663)"
7324.datelastmodified,03/0/42004,03/04/2004
4678.geocodecitylevel,"Chicago, IL
(41.83229, -87.632398)","Chicago, IL
(41.883229, -87.632398)"
4385.typeofchangefulltext,Secondary PSAP associated with a Priamry PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
5571.typeofchangefulltext,Orphaned PSAP no longer considereda primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4540.typeofchangefulltext,No Changes have been mad.,No Changes have been made.
3098.city,Monmouthh Junction,Monmouth Junction
3770.county,Pokl,Polk
6063.psapname,Wyoming Police Deparmtent,Wyoming Police Department
4797.psapname,ity Of Covington,City Of Covington
6391.county,jWalworth,Walworth
1706.datelastmodified,0/19/2016,08/19/2016
8191.typeofchangefulltext,No Changes haev been made.,No Changes have been made.
8372.datelastmodified,03/04/h2004,03/04/2004
5388.typeofchangefulltext,No hanges have been made.,No Changes have been made.
3625.county,ayne,Wayne
34.geocodecitylevel,"Woodhaven, MI
(n42.138557, -83.244281)","Woodhaven, MI
(42.138557, -83.244281)"
719.datelastmodified,09/19/2w005,09/19/2005
6682.typeofchangefulltext,Orphaned PSAP no longer considere da primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
945.city,Lake Zuricoh,Lake Zurich
2856.psapname,West Frankiln County Central Dispatch,West Franklin County Central Dispatch
3471.typeofchangefulltext,"PSAfP Name, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
3795.datelastmodified,03/0/2004,03/04/2004
5692.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in fuure filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1513.statevalue,iMI,MI
4664.county,Hambeln,Hamblen
1229.datelastmodified,04/01/2001,04/01/2010
2015.statevalue,CdO,CO
7874.geocodecitylevel,"Gainesville, FL
(2q9.651958, -82.325024)","Gainesville, FL
(29.651958, -82.325024)"
4338.geocodecitylevel,"Whitehall, WI
(44.367378, -91.3167a17)","Whitehall, WI
(44.367378, -91.316717)"
5936.psapname,Mrris Township Police Department,Morris Township Police Department
1373.statevalue,X,TX
2441.statevalue,MoA,MA
1864.psapname,Heebr Springs Police Department,Heber Springs Police Department
6644.county,Provideqnce,Providence
1266.city,Chbbuck,Chubbuck
3794.city,Buxrke,Burke
7462.psapname,Bertie CountySheriffs Office,Bertie County Sheriffs Office
5592.geocodecitylevel,"Newport, KY
(39.09166,2 -84.495641)","Newport, KY
(39.091662, -84.495641)"
314.geocodecitylevel,"Walsenburg, CpO
(37.624695, -104.781409)","Walsenburg, CO
(37.624695, -104.781409)"
2860.statevalue,XT,TX
3032.city,Warsilla,Wasilla
2040.county,Calhmoun,Calhoun
3904.typeofchangefulltext,"PSAP Name, Stte, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1608.psapname,Central Fall Police Department,Central Falls Police Department
4305.city,Niagara Flals,Niagara Falls
3176.city,Raine,Racine
818.statevalue,pMA,MA
3189.city,Westren Springs,Western Springs
7495.county,Worecster,Worcester
4096.typeofchangefulltext,NoC hanges have been made.,No Changes have been made.
5825.psapname,Colbert Count E9-1-1 Center,Colbert County E9-1-1 Center
601.datelastmodified,03/40/2004,03/04/2004
221.datelastmodified,0/304/2004,03/04/2004
7113.geocodecitylevel,"Marshfiel,d MA
(42.091912, -70.710266)","Marshfield, MA
(42.091912, -70.710266)"
262.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Priary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
2824.typeofchangefulltext,Orphaned PSAP no longer considered a primary ciall taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
522.statevalue,HO,OH
1929.geocodecitylevel,"Colby, KS
(39.397065,- 101.04584)","Colby, KS
(39.397065, -101.04584)"
595.typeofchangefulltext,"PSAP Name, State, County or City tex has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
5683.county,ePike,Pike
3896.psapname,Brewster Ploice,Brewster Police
5081.datelastmodified,030/4/2004,03/04/2004
5662.geocodecitylevel,"Memphis, TN
(35.143378, -90.05213)","Memphis, TN
(35.143378, -90.052136)"
3163.statevalue,RO,OR
6575.datelastmodified,03/0/2004,03/04/2004
2405.typeofchangefulltext,o Changes have been made.,No Changes have been made.
3334.county,Hrdin,Hardin
1639.geocodecitylevel,"Widnsor Locks, CT
(41.924953, -72.627177)","Windsor Locks, CT
(41.924953, -72.627177)"
3327.geocodecitylevel,"Canby, OR
(54.262264, -122.692129)","Canby, OR
(45.262264, -122.692129)"
5855.psapname,Tempe Plice Department,Tempe Police Department
8284.psapname,PictureR ock Fire Department,Picture Rock Fire Department
2187.datelastmodified,0z7/28/2017,07/28/2017
2720.datelastmodified,03/04/204,03/04/2004
5693.statevalue,S,MS
1326.geocodecitylevel,"Ft Worth,TX
(32.739977, -97.340038)","Ft Worth, TX
(32.739977, -97.340038)"
1869.datelastmodified,03/04/204,03/04/2004
3459.statevalue,OeK,OK
6339.psapname,Ohio State ighway Patrol- Portage,Ohio State Highway Patrol- Portage
2599.statevalue,A,MA
5269.statevalue,J,NJ
8.geocodecitylevel,"wego, NY
(42.103237, -76.263163)","Owego, NY
(42.103237, -76.263163)"
6827.psapname,Piedmont Triad International Airport Police epartment,Piedmont Triad International Airport Police Department
8324.psapname,South Chicago Heigts Police Department,South Chicago Heights Police Department
6190.county,ivingston,Livingston
7455.geocodecitylevel,"Rochester, NY
(43.155078, -77.612547)","Rochester, NY
(43.155708, -77.612547)"
6949.county,Lanke,Lake
3688.psapname,Clyde Police Depatment,Clyde Police Department
6955.psapname,Westoverj Hills Police Department,Westover Hills Police Department
7561.typeofchangefulltext,Orphaned PSAP no longer considered a pirmary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
991.geocodecitylevel,"Port Angees, WA
(48.128465, -123.474065)","Port Angeles, WA
(48.128465, -123.474065)"
7293.datelastmodified,03/0f4/2004,03/04/2004
4047.county,Mddlesex,Middlesex
4888.statevalue,NsE,NE
275.datelastmodified,11/5/2011,11/25/2011
5490.county,ent,Kent
7462.city,Wbindsor,Windsor
7886.county,Fotrest,Forest
2748.typeofchangefulltext,No Changes zhave been made.,No Changes have been made.
5327.psapname,Love County Sheriff Depratment,Love County Sheriff Department
4405.datelastmodified,03/04u/2004,03/04/2004
1172.psapname,Augcusta Police Department,Augusta Police Department
2694.statevalue,X,TX
6933.city,Kalamaoo,Kalamazoo
5762.county,iGla,Gila
1900.city,Cortlnad,Cortland
7701.city,Washington ourthouse,Washington Courthouse
2142.city,Washignton,Washington
1128.statevalue,YN,NY
2240.statevalue,N,IN
6500.county,NewHanover,New Hanover
7.county,Cook***,Cook
1389.statevalue,A,CA
8296.county,Sckhuyler,Schuyler
6986.statevalue,O,CO
1771.statevalue,AM,MA
5290.psapname,Glendale Police Deaprtment,Glendale Police Department
22.geocodecitylevel,"Yaphank, NY
(40.837128g, -72.912138)","Yaphank, NY
(40.837128, -72.912138)"
2724.psapname,High Point Police-fire Communicatins,High Point Police-fire Communications
4344.statevalue,K,OK
7900.datelastmodified,03/042/004,03/04/2004
881.typeofchangefulltext,No Changes have bee made.,No Changes have been made.
2897.psapname,Parmer County Sheriff's ffice,Parmer County Sheriff's Office
1992.city,Saelm,Salem
4154.psapname,Unc Wilmington Univerity Police,Unc Wilmington University Police
4784.statevalue,IrL,IL
6047.statevalue,JN,NJ
8231.city,Ashlajnd,Ashland
5772.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refraing from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
166.datelastmodified,12/19/0213,12/19/2013
6512.typeofchangefulltext,o Changes have been made.,No Changes have been made.
7948.psapname,Middlesex County Sheriffs Offilce,Middlesex County Sheriffs Office
4911.statevalue,IsN,IN
2936.datelastmodified,10/08/208,10/08/2008
608.datelastmodified,03/04/2004***,03/04/2004
4379.statevalue,LI,IL
3670.geocodecitylevel,"Azusa, A
(34.133484, -117.907543)","Azusa, CA
(34.133484, -117.907543)"
6040.county,uyahoga,Cuyahoga
6651.statevalue,R,OR
1688.city,Asrcadia,Arcadia
6406.city,Betel,Bethel
6859.city,Bostno,Boston
8078.psapname,Dearrborn County Communications,Dearborn County Communications
339.psapname,SenecaEtsb,Seneca Etsb
3470.geocodecitylevel,"Gallupt, NM
(35.519123, -108.739769)","Gallup, NM
(35.519123, -108.739769)"
4026.geocodecitylevel,"Deer Lode, MT
(46.397734, -112.729053)","Deer Lodge, MT
(46.397734, -112.729053)"
7138.typeofchangefulltext,"PSAP Nmae, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2481.psapname,Western Missouri 9-1-1 Dispatch Cener,Western Missouri 9-1-1 Dispatch Center
3033.county,antucket,Nantucket
5484.psapname,City Of Homweood Fire Department,City Of Homewood Fire Department
6435.psapname,Yellow Medicine Conuty Psap,Yellow Medicine County Psap
5043.county,Montageu,Montague
1174.datelastmodified,10/17/20m07,10/17/2007
6030.typeofchangefulltext,Secondary PSAP associated with a Primeary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
6130.psapname,Romulus Police Duepartment,Romulus Police Department
6236.city,Ekl Point,Elk Point
7092.geocodecitylevel,"Truro, AM
(41.999059, -70.053653)","Truro, MA
(41.999059, -70.053653)"
4568.datelastmodified,0p8/22/2016,08/22/2016
3286.typeofchangefulltext,PSAP was added sinc the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
232.psapname,Leisville Police Department,Lewisville Police Department
