243.co,40-I16,40-I016
414.website,http://www.haywod.k12.ok.us,http://www.haywood.k12.ok.us
81.statevalue,KO,OK
554.boardpresident,wJohn Hix,John Hix
280.website,http://www.adair.k1.ok.us,http://www.adair.k12.ok.us
336.city,OklahomaCity,Oklahoma City
156.superintendent,Brenht Koontz,Brent Koontz
486.address,71 W Shawntel Smith Blvd,715 W Shawntel Smith Blvd
167.boardpresident,Eulenes Teakell,Eulene Teakell
92.superintendentemail,bvoss@roboixnhill.k12.ok.us,bvoss@roboinhill.k12.ok.us
424.website,www.pittsburg.k12.o.kus,www.pittsburg.k12.ok.us
334.superintendent,Rex Tret,Rex Trent
550.website,ww.freedom.k12.ok.us,www.freedom.k12.ok.us
277.address,11176 East470,11176 East 470
193.superintendentemail,james.eberts@keota.kx12.ok.us,james.eberts@keota.k12.ok.us
463.statevalue,cOK,OK
409.city,ale,Yale
53.superintendent,Larzry York,Larry York
226.website,www.acshionps.org,www.cashionps.org
493.distname,COMANCHE                      ***,COMANCHE                      
553.address,210 S Mapel St,210 S Maple St
364.distname,OKLAHOMA YOUTH ACADEMY   h     ,OKLAHOMA YOUTH ACADEMY        
368.statevalue,K,OK
137.superintendent,Kenny Gufthrie,Kenny Guthrie
357.coname,OKLAHOMA    ***,OKLAHOMA    
194.phone,(405w) 379-2273,(405) 379-2273
404.website,ww.ripley.k12.ok.us,www.ripley.k12.ok.us
351.coname,OfKLAHOMA    ,OKLAHOMA    
43.distname,ANADARKO                     ,ANADARKO                      
486.coname,SEQtUOYAH    ,SEQUOYAH    
552.city,Mooreladn,Mooreland
29.distname,WATONGA                      ,WATONGA                       
92.co,41-C016,14-C016
383.statevalue,uOK,OK
80.statevalue,OdK,OK
271.fax,(580) 8832220,(580) 883-2220
387.boardpresident,Billy Molkes,Billy Moles
470.address,300 W 01Th,300 W 10Th
111.co,17-0I01,17-I001
491.phone,(580) x439-2467,(580) 439-2467
179.boardpresident,Keega nDoke,Keegan Doke
311.address,400East Atlanta Avenue,400 East Atlanta Avenue
56.coname,CANADIAN    ***,CANADIAN    
228.phone,(580) 76-5691,(580) 726-5691
142.superintendentemail,scoalyr@idgerunners.net,scoaly@ridgerunners.net
43.fax,4(05) 247-6819,(405) 247-6819
348.superintendent,Chris Brnewster,Chris Brewster
507.phone,(580) 423-7433***,(580) 423-7433
501.boardpresident,Mike jJohnson,Mike Johnson
176.superintendent,David Muorrow,David Morrow
424.city,Ptitsburg,Pittsburg
477.phone,(405)y 944-5530,(405) 944-5530
30.address,110 Southwest Embree Drvie,110 Southwest Embree Drive
527.phone,(9y18) 299-4411,(918) 299-4411
16.website,www.stringtown.12.ok.us,www.stringtown.k12.ok.us
525.coname,TULSA       ***,TULSA       
148.coname,DEWEY       ***,DEWEY       
12.superintendent,Donna Andetrson,Donna Anderson
413.statevalue,OnK,OK
204.co,33-I045,33-I054
221.website,wtww.newkirk.k12.ok.us,www.newkirk.k12.ok.us
286.city,Washingtoun,Washington
425.coname,PITTSBURG   ***,PITTSBURG   
344.coname,OKLAHOMA  x  ,OKLAHOMA    
277.coname,MAYE       ,MAYES       
66.city,Lone Groev,Lone Grove
240.phone,(91c8) 962-2463,(918) 962-2463
38.superintendent,Gerald Pakrs,Gerald Parks
393.address,23900 S u670 Rd,23900 S 670 Rd
513.co,n72-E004,72-E004
162.boardpresident,Lindseyb Meiwes,Lindsey Meiwes
487.website,www.ans.k12.ok.us,www.gans.k12.ok.us
127.distname,KIEFER                        ***,KIEFER                        
522.superintendentemail,rclark@lhmatt.com,rclark@lhatt.com
180.city,Maedford,Medford
48.fax,(405) 489-321z9,(405) 489-3219
535.boardpresident,Steve Suttevr,Steve Sutter
175.superintendent,Mike eZurline,Mike Zurline
65.city,Arudmore,Ardmore
77.distname,RGAND VIEW                    ,GRAND VIEW                    
10.city,unch,Bunch
47.website,www.graecmont.k12.ok.us,www.gracemont.k12.ok.us
529.distname,SKIATOO                      ,SKIATOOK                      
105.phone,(580) 365-4037,(580) 365-4307
545.superintendent,on Hughes,Ron Hughes
288.website,http://www.purcellp.sorg,http://www.purcellps.org
2.fax,(918)h 696-6746,(918) 696-6746
149.phone,(580) 98-2298,(580) 698-2298
488.website,www.rolandschooels.org,www.rolandschools.org
278.coname,MAYES      s ,MAYES       
283.phone,(918) 47s6-8376,(918) 476-8376
139.city,alina,Salina
49.statevalue,OtK,OK
41.superintendent,Bill Derrydberry,Bill Derryberry
352.co,55-I003***,55-I003
498.website,http//www.braydoyle.k12.ok.us/,http://www.braydoyle.k12.ok.us/
475.coname,SEMINOEL    ,SEMINOLE    
110.superintendentemail,jbrown@chatty.k12.yok.us,jbrown@chatty.k12.ok.us
27.co,05-I0s51,05-I051
318.fax,(91) 683-8725,(918) 683-8725
314.superintendent,Deraldx Glover,Derald Glover
332.coname,OKFUSEE    ,OKFUSKEE    
249.coname,LE LFORE    ,LE FLORE    
412.website,www.booksheschool.org,www.bokosheschool.org
287.boardpresident,Tommy Blackwod,Tommy Blackwood
485.phone,(918) 737-5798,(918) 773-5798
523.coname,TULSA    l   ,TULSA       
418.website,www.haileyville.k12.ok.s,www.haileyville.k12.ok.us
88.superintendentemail,edakle@hugoschools.com,edalke@hugoschools.com
105.statevalue,K,OK
538.city,Wgaoner,Wagoner
203.co,33-qI035,33-I035
182.coname,GRAN T      ,GRANT       
5.boardpresident,Randy Mccarvter,Randy Mccarter
433.fax,(045) 273-7368,(405) 273-7368
84.co,2-C021,12-C021
215.fax,(580 937-4801,(580) 937-4801
115.city,Kemtchum,Ketchum
221.city,Newkikr,Newkirk
346.co,55-E16,55-E016
48.distname,CEMENT                     i   ,CEMENT                        
58.address,100 Souht Bickford Avenue,100 South Bickford Avenue
200.city,eDuke,Duke
156.website,www.ppv.pk12.ok.us,www.ppv.k12.ok.us
71.website,www.ringlingk.12.ok.us,www.ringling.k12.ok.us
29.fax,(580c) 623-7370,(580) 623-7370
259.statevalue,OiK,OK
81.address,316 Rider Lcane,316 Rider Lane
49.co,c08-I161,08-I161
449.website,www.nashboa.k12.ok.us,www.nashoba.k12.ok.us
296.address,300 North Malpe Street,300 North Maple Street
171.distname,CHICKASHA                    ,CHICKASHA                     
294.website,wwwh.ollycreek.org,www.hollycreek.org
205.co,34C-003,34-C003
484.superintendent,Scot Farmer,Scott Farmer
164.website,www.lindsay.k12.ok.sus,www.lindsay.k12.ok.us
58.superintendentemail,cmcvay@elrnops.org,cmcvay@elrenops.org
360.superintendentemail,rcobb@mipd-del.net,rcobb@mid-del.net
419.co,61-I0w14,61-I014
326.superintendentemail,kjstacy@okunion.k12.ok.us,kstacy@okunion.k12.ok.us
113.superintendent,Danny Mccuistno,Danny Mccuiston
526.co,72-Ib004,72-I004
135.city,Weatherfodr,Weatherford
455.fax,(580) 655-6422,(580) 655-4622
121.co,9-C034,19-C034
327.superintendent,Leon Ashlosck,Leon Ashlock
438.address,300 Smithd Avenue,300 Smith Avenue
116.phone,(918 )788-3129,(918) 788-3129
296.boardpresident,Vic Marsmh,Vic Marsh
356.superintendentemail,cjohnson@joneshs.k1.2ok.us,cjohnson@joneshs.k12.ok.us
517.fax,(405) 70-6715,(405) 470-6715
51.distname,BINGER-ONEY                   ***,BINGER-ONEY                   
337.website,http://www.icmshokc.com,http://www.icmsokc.com
488.fax,(918) 47-1785,(918) 427-1785
430.distname,LATTA                        ,LATTA                         
338.city,Oc,Okc
309.fax,(918) 6572424,(918) 657-2424
137.address,451358 East 295R oad,451358 East 295 Road
114.distname,WHITE OAK                     ***,WHITE OAK                     
326.address,"Rural Route 1, Box h377-7","Rural Route 1, Box 377-7"
33.address,200 East Steakley Sreet,200 East Steakley Street
398.fax,(918) 2574-846,(918) 257-4846
235.superintendent,Brad Corcosran,Brad Corcoran
126.statevalue,KO,OK
523.superintendent,Deborah vGist,Deborah Gist
391.website,http://www.wootdland.k12.ok.us/,http://www.woodland.k12.ok.us/
111.phone,(580) 87-2568,(580) 875-2568
387.city,Barndsall,Barnsdall
79.address,26106 East 83 Road,26106 East 863 Road
445.superintendentemail,dr.haroldhayes@wanette.k12o.k.us,dr.haroldhayes@wanette.k12.ok.us
325.superintendentemail,jayvernon@bmorrisonps.com,jayvernon@morrisonps.com
492.superintendentemail,melonie.hau@duncanps.ovrg,melonie.hau@duncanps.org
345.superintendentemail,alp@doveschlools.org,alp@doveschools.org
323.co,m52-I002,52-I002
58.city,E Reno,El Reno
44.superintendentemail,mbatt@carnoegie.k12.ok.us,mbatt@carnegie.k12.ok.us
246.boardpresident,Max Caruver,Max Carver
548.coname,WODOS       ,WOODS       
241.website,http://heavenerschools.ogr,http://heavenerschools.org
265.boardpresident,Gaye Pfeiffcer,Gaye Pfeiffer
76.superintendentemail,jcox@epggs.k12.ok.us,jcox@peggs.k12.ok.us
422.website,www.crwder.k12.ok.us,www.crowder.k12.ok.us
253.superintendentemail,jturner@arqkoma.k12.ok.us,jturner@arkoma.k12.ok.us
177.fax,(405) 38b1-4008,(405) 381-4008
9.fax,(w918) 696-2193,(918) 696-2193
529.coname,TULSA       ***,TULSA       
369.distname,INSIGHT SCHzOOL OF OKLAHOMA    ,INSIGHT SCHOOL OF OKLAHOMA    
303.distname,(ILC) SOUTHEASTEsRN OKLAHOMA   ,(ILC) SOUTHEASTERN OKLAHOMA   
147.statevalue,K,OK
527.co,72I005,72-I005
387.distname,BARNrSDALL                     ,BARNSDALL                     
469.boardpresident,Jack Cadenhbead,Jack Cadenhead
94.address,131 gSouth Flood Avenue,131 South Flood Avenue
239.superintendentemail,wmcgowen@fanshawe.kj12.ok.us,wmcgowen@fanshawe.k12.ok.us
88.superintendent,Erl Dalke,Earl Dalke
6.superintendentemail,Michae.lWolfe@greasy.k12.ok.us,Michael.Wolfe@greasy.k12.ok.us
537.boardpresident,Marty Kilgroe,Marty Kilgore
319.phone,(918) 487-526b5,(918) 487-5265
123.statevalue,K,OK
547.superintendent,Brad Overotn,Brad Overton
473.website,htpt://www.newlima.k12.ok.us/,http://www.newlima.k12.ok.us/
21.city,Balrko,Balko
250.website,wjww.talihina.k12.ok.us,www.talihina.k12.ok.us
273.co,44-I048,44-I084
399.website,http://www.fairlandowsl.com/,http://www.fairlandowls.com/
90.co,13-Iz010,13-I010
450.address,402 West Main,420 West Main
513.superintendentemail,edoss@tsas.org***,edoss@tsas.org
320.superintendent,David Viwnson,David Vinson
17.city,toka,Atoka
497.boardpresident,Jerry Howlell,Jerry Howell
538.co,73I-019,73-I019
464.boardpresident,JimmyHall,Jimmy Hall
398.co,58-026,58-I026
26.boardpresident,Vicki Hjinkle,Vicki Hinkle
510.fax,(80) 335-2324,(580) 335-2324
313.phone,(918) o482-5221,(918) 482-5221
510.coname,TILLMAN     ***,TILLMAN     
113.co,17-I3u33,17-I333
409.distname,YALE                        o  ,YALE                          
542.superintendentemail,rpeters@vcalley.k12.ok.us,rpeters@cvalley.k12.ok.us
243.website,www.lfeloreps.k12.ok.us,www.lefloreps.k12.ok.us
66.co,10-I023,10-I032
209.city,eMannsville,Mannsville
145.statevalue,aOK,OK
154.website,www.chisolm.k12.ok.us,www.chisholm.k12.ok.us
30.distname,GEARY                        ,GEARY                         
449.boardpresident,Beetty Fuller,Betty Fuller
257.fax,(045) 356-2838,(405) 356-2838
304.statevalue,OpK,OK
512.boardpresident,Alfrde Shasteen,Alfred Shasteen
519.statevalue,KO,OK
5.address,"Ruyral Route 1, Box 1795","Rural Route 1, Box 1795"
49.address,70 N. Broadway,708 N. Broadway
77.city,Tahlequvah,Tahlequah
42.coname,eCADDO       ,CADDO       
244.superintendentemail,caughja@ycameronps.org,caughja@cameronps.org
503.website,wxww.hardesty.k12.ok.us,www.hardesty.k12.ok.us
305.boardpresident,AbeMcintosh,Abe Mcintosh
369.fax,(405) r200-1742,(405) 200-1742
478.co,67-K0y01,67-K001
278.co,46-C0e43,46-C043
273.superintendent,Rocky Burhfield,Rocky Burchfield
249.superintendent,Rahel Pugh,Rachel Pugh
56.superintendent,James Whitye,James White
286.distname,WASHINGToON                    ,WASHINGTON                    
63.coname,CARTE R     ,CARTER      
332.superintendentemail,tdean@okemahk12.cmo,tdean@okemahk12.com
218.co,3-I045,36-I045
87.co,12-Ix004,12-I004
509.city,Davdson,Davidson
209.distname,MANNSVILLE                   ,MANNSVILLE                    
267.website,http://greenvgille.k12.ok.us,http://greenville.k12.ok.us
129.coname,CREEK       ***,CREEK       
493.website,www.cyomanche.k12.ok.us,www.comanche.k12.ok.us
151.superintendent,Randy oHlley,Randy Holley
79.superintendent,Bryan Hx,Bryan Hix
211.address,620 South Chickasaw Avenue,602 South Chickasaw Avenue
84.coname,HCOCTAW     ,CHOCTAW     
230.address,"Ruarl Route 2, Box 88","Rural Route 2, Box 88"
290.address,1941 Folrest Grove Road,1941 Forest Grove Road
335.phone,(405) 77-13373,(405) 771-3373
454.superintendent,Rusty Pufmfinbarger,Rusty Puffinbarger
184.coname,GREER      ,GREER       
277.distname,WICKLIFFE                    ,WICKLIFFE                     
101.boardpresident,Brend Parker,Brenda Parker
286.fax,(40)5 288-6214,(405) 288-6214
81.coname,HEROKEE    ,CHEROKEE    
124.fax,(918) 86i5-3405,(918) 865-3405
453.co,64-kI022,64-I022
287.fax,(405) 4497095,(405) 449-7095
16.address,304 Highlnd St.,304 Highland St.
266.phone,(405) 466-2224,(405) 466-2242
277.co,46-C05,46-C035
298.superintendentemail,barmstrong@eaglnetownisd.org,barmstrong@eagletownisd.org
150.fax,(580) 885o-7307,(580) 885-7307
45.coname,CADDO       ***,CADDO       
248.superintendent,DonS joberg,Don Sjoberg
415.co,61-0E20,61-E020
192.distname,MCCURTAIN              q       ,MCCURTAIN                     
534.coname,TULSA       ***,TULSA       
301.statevalue,OuK,OK
311.distname,DAVIS                        ,DAVIS                         
316.address,531 E. Pjrairie,531 E. Prairie
426.superintendent,Bmill Caruthers,Bill Caruthers
340.distname,OKC CHARTER: DVOE SCIENCE ACAD,OKC CHARTER: DOVE SCIENCE ACAD
244.city,Cmeron,Cameron
166.fax,(b405) 665-5425,(405) 665-5425
316.website,http://www.oktahachool.com/,http://www.oktahaschool.com/
180.website,wwwmedford.k12.ok.us,www.medford.k12.ok.us
485.boardpresident,Jamfes Simmons,James Simmons
362.website,http://www.bethanyschools.com***,http://www.bethanyschools.com
488.phone,(918) 427-4z601,(918) 427-4601
345.address,4901y N Lincoln Blvd,4901 N Lincoln Blvd
217.city,Poknca City,Ponca City
483.city,Moxffett,Moffett
497.fax,(580) 685-8006,(580) 658-8006
514.boardpresident,DonP arker,Don Parker
464.co,6w6-I005,66-I005
123.address,420o North Main,420 North Main
441.fax,(405) 997-381,(405) 997-3181
12.coname,AFLALFA     ,ALFALFA     
365.boardpresident,Mary Pointre,Mary Pointer
413.phone,(91)8 423-6393,(918) 423-6393
464.fax,(198) 543-8754,(918) 543-8754
154.phone,(580) 23-75512,(580) 237-5512
343.statevalue,KO,OK
450.boardpresident,Johnny Cogill,Johnny Corgill
515.superintendentemail,cwilliams@tulsalegacy.ovrg,cwilliams@tulsalegacy.org
66.boardpresident,Draryl Howard,Darryl Howard
384.boardpresident,Joyq Neal,Joy Neal
449.coname,PUbSHMATAHA  ,PUSHMATAHA  
187.coname,HAREPR      ,HARPER      
505.website,tyronetyrone.k12.ok.us,tyrone@tyrone.k12.ok.us
305.superintendent,DannyW illiams,Danny Williams
181.boardpresident,Micahm Barr,Micah Barr
220.co,36-087,36-I087
41.coname,CADO       ,CADDO       
421.statevalue,K,OK
534.boardpresident,wMichael Cain,Michael Cain
133.address,214 N. 12Th Steet,214 N. 12Th Street
44.statevalue,K,OK
371.boardpresident,Gary Hudgjens,Gary Hudgens
101.website,www.flowermoun.k12.ok.us,www.flowermound.k12.ok.us
74.phone,(91b8) 458-5444,(918) 458-5444
100.distname,TUPELO                        ***,TUPELO                        
21.address,1 Bison Drie,1 Bison Drive
118.address,114 South Scraper Street***,114 South Scraper Street
65.co,10-I072,10-I027
184.superintendentemail,ralhoun@granite.k12.ok.us,rcalhoun@granite.k12.ok.us
552.superintendent,Terry Kllner,Terry Kellner
331.fax,(405) r932-4132,(405) 932-4132
170.superintendentemail,msparks@pioneerk8.k12.ok.yus,msparks@pioneerk8.k12.ok.us
441.phone,(405) 997a-5616,(405) 997-5616
464.statevalue,OjK,OK
543.website,www.bsp-ok.org,www.bps-ok.org
52.distname,RIVERSID E                    ,RIVERSIDE                     
93.address,5100 Southeast 4Th Street,1500 Southeast 4Th Street
540.superintendent,Chrisf Smith,Chris Smith
305.co,49-C106,49-C016
515.website,www.tulsalegacyl.org,www.tulsalegacy.org
168.fax,(f405) 222-5416,(405) 222-5416
69.co,10-I047,10-I074
539.address,12 5South Main,125 South Main
465.superintendentemail,terry.sual@sequoyaheagles.net,terry.saul@sequoyaheagles.net
197.boardpresident,James iSmmons,James Simmons
330.fax,(918) 62c3-0884,(918) 623-0884
494.boardpresident,Mark O'nyeal,Mark O'neal
38.superintendentemail,gparks@caleraisd.k12y.ok.us,gparks@caleraisd.k12.ok.us
279.website,www.pryorschovols.org,www.pryorschools.org
397.fax,(918) 542-2136,(918) 542-1236
189.distname,WHITEFILED                    ,WHITEFIELD                    
47.statevalue,K,OK
41.website,www.hydroeakly.k12.ko.us,www.hydroeakly.k12.ok.us
377.fax,(918) 652-874,(918) 652-8474
501.city,Goodwell***,Goodwell
79.website,www.tenkiller.k1.ok.us,www.tenkiller.k12.ok.us
274.co,4-4I092,44-I092
173.fax,(405) 224-096,(405) 224-4096
314.distname,FORT GISBON                   ,FORT GIBSON                   
13.superintendent,Marck Newton,Mark Newton
373.phone,(918) 652-6532,(918) 652-6523
506.website,www.goodwell.1k2.ok.us,www.goodwell.k12.ok.us
365.superintendent,Gran Ralls,Grant Ralls
224.address,602 West Chisholom Drive,602 West Chisholm Drive
214.address,451 W.m Main,451 W. Main
110.statevalue,K,OK
41.co,08-Iw011,08-I011
80.superintendent,hVol Woods,Vol Woods
414.city,calester,Mcalester
505.superintendentemail,jbell@tyrone.k12.ok.s,jbell@tyrone.k12.ok.us
134.fax,(580 )661-3589,(580) 661-3589
121.superintendentemail,jtalyor@prettywater.k12.ok.us,jtaylor@prettywater.k12.ok.us
410.boardpresident,NedW illiams,Ned Williams
60.superintendentemail,mcdnaiels@mustangps.org,mcdaniels@mustangps.org
537.website,www.cowetaps.cmo,www.cowetaps.com
204.superintendentemail,jsmith@blairschool.orng,jsmith@blairschool.org
201.boardpresident,Stephen arnett,Stephen Barnett
147.coname,EWEY       ,DEWEY       
99.coname,COAL       t ,COAL        
224.co,3i7-I007,37-I007
147.fax,580) 922-8019,(580) 922-8019
69.superintendent,BrentP helps,Brent Phelps
254.coname,LINCLN     ,LINCOLN     
364.coname,OKLAHOMA   w ,OKLAHOMA    
124.phone,(918) 865-0462,(918) 865-4062
549.distname,WAYNOKA                       ***,WAYNOKA                       
389.fax,(918) 885-258,(918) 885-2538
40.fax,(580) 31-0120,(580) 931-0120
297.superintendent,Crai gWall,Craig Wall
489.co,6-8I006,68-I006
478.fax,()-,() -
183.superintendentemail,ty.harmn@mangum.k12.ok.us,ty.harman@mangum.k12.ok.us
479.superintendentemail,jransom@lbierty.seq.k12.ok.us,jransom@liberty.seq.k12.ok.us
345.phone,(405j) 605-5566,(405) 605-5566
255.boardpresident,Joseph rIby,Joseph Irby
549.boardpresident,Marinad Zook,Marinda Zook
418.statevalue,K,OK
544.boardpresident,Rusty Shiemlds,Rusty Shields
60.address,906 South Heighs Drive,906 South Heights Drive
528.superintendentemail,lwest@collinsille.k12.ok.us,lwest@collinsville.k12.ok.us
170.co,26-C31,26-C131
12.boardpresident,Kory Littmlefield,Kory Littlefield
201.website,htp://www.altusps.com,http://www.altusps.com
551.address,1023 10ThS treet,1023 10Th Street
402.superintendent,Aaon Espolt,Aaron Espolt
215.city,Wapancuka,Wapanucka
396.address,217 Commerce Slt,217 Commerce St
548.phone,(580)3 27-4823,(580) 327-4823
487.co,68-Ir004,68-I004
57.superintendentemail,jaso.simeroth@yukonps.com,jason.simeroth@yukonps.com
223.distname,LOMEGA                       ,LOMEGA                        
350.fax,(405) c587-8105,(405) 587-8105
302.website,www.bbid.org,www.bbisd.org
379.coname,OKMULGEE   c ,OKMULGEE    
477.city,Crowmell,Cromwell
59.superintendentemail,t.carel@unioncty.k12.ok.us,t.carel@unioncity.k12.ok.us
513.distname,TULSA CHARTER: SCLH ARTS/SCI. ,TULSA CHARTER: SCHL ARTS/SCI. 
199.address,1y5695 South County Road 210,15695 South County Road 210
86.address,250 W. 3Rd St.,205 W. 3Rd St.
430.coname,PONTOTpOC    ,PONTOTOC    
257.superintendent,kDwayne Danker,Dwayne Danker
315.superintendent,Dixie Svwearingen,Dixie Swearingen
234.phone,(918) 522-4g426,(918) 522-4426
525.boardpresident,Cheryl Kely,Cheryl Kelly
541.co,74I007,74-I007
76.website,peggspanthersc.om,peggspanthers.com
532.distname,BERoRYHILL                     ,BERRYHILL                     
506.co,0-I060,70-I060
48.phone,(405) 4h89-3216,(405) 489-3216
88.city,Huugo,Hugo
14.fax,(580) 889-4613,(580) 889-4631
446.statevalue,K,OK
477.coname,SEMINOLEc    ,SEMINOLE    
68.co,10-I055***,10-I055
200.distname,DUKE                f          ,DUKE                          
250.boardpresident,Stqeven Ramsey,Steven Ramsey
425.statevalue,KO,OK
135.distname,WEATERFORD                   ,WEATHERFORD                   
353.co,5-5I004,55-I004
219.co,36-vI071,36-I071
286.phone,(405) 2p88-6190,(405) 288-6190
448.boardpresident,Lucjretia Mcgee,Lucretia Mcgee
263.city,Guthre,Guthrie
294.fax,(580) 42u0-7022,(580) 420-7022
292.phone,(580) 42-03232,(580) 420-3232
297.city,Vcalliant,Valliant
461.coname,ROERS      ,ROGERS      
338.superintendent,Janet Grigug,Janet Grigg
549.coname,WOOD S      ,WOODS       
522.fax,(91) 794-6682,(918) 794-6682
91.co,13-I0x11,13-I011
209.website,www.mannsvilleschool.om,www.mannsvilleschool.com
333.distname,WELEETKA                     ,WELEETKA                      
525.website,http://www.baschools.rog/,http://www.baschools.org/
84.boardpresident,Darell Stowers,Darrell Stowers
479.city,uldrow,Muldrow
441.distname,EARLSBOOR                     ,EARLSBORO                     
332.co,4-I026,54-I026
443.city,hawnee,Shawnee
142.website,wlww.ridgerunners.net,www.ridgerunners.net
303.website,www.bokoheschool.org,www.bokosheschool.org
38.co,07-I084,07-I048
19.website,ww.caneyisd.org,www.caneyisd.org
402.website,thtp://www.clevelandtigers.com/,http://www.clevelandtigers.com/
203.superintendent,Gaylene Fhreeman,Gaylene Freeman
104.address,307 Chbeahtah,307 Chebahtah
123.coname,CREEK       ***,CREEK       
174.address,209 South 2Nd Stqreet,209 South 2Nd Street
17.website,www.atoka.torg,www.atoka.org
369.city,Midywest City,Midwest City
354.distname,DEER CREEK                    ***,DEER CREEK                    
321.address,40 N 4Th St.,410 N 4Th St.
461.address,2000 Soth Cherokee Street,2000 South Cherokee Street
458.fax,(5r80) 473-2464,(580) 473-2464
122.city,uTlsa,Tulsa
36.phone,(580) 367e-2208,(580) 367-2208
135.coname,xCUSTER      ,CUSTER      
170.distname,PIONEER                      ,PIONEER                       
33.statevalue,K,OK
350.coname,OKLAHOMA    ***,OKLAHOMA    
450.statevalue,K,OK
118.boardpresident,Jadra Mayer-Ward,Jandra Mayer-Ward
533.superintendent,Cmlark Ogilvie,Clark Ogilvie
448.superintendentemail,hsimcoapp@gmail.com,simcoapp@gmail.com
356.statevalue,KO,OK
229.website,lonewovlfschool.com,lonewolfschool.com
305.statevalue,KO,OK
27.statevalue,OjK,OK
461.fax,(918) 266-8647***,(918) 266-8647
294.co,48-072,48-C072
119.coname,CREEK       ***,CREEK       
283.city,Choutau,Chouteau
174.superintendentemail,jjames@alexk12.ok.us,jjames@alex.k12.ok.us
492.fax,(580) 52-2453,(580) 252-2453
73.co,11-Ca014,11-C014
480.city,Marble ity,Marble City
440.city,Macob,Macomb
342.coname,OKLAHOMA    ***,OKLAHOMA    
433.superintendentemail,bmoody@nrac.k12.ok.us,bmoody@nrc.k12.ok.us
483.coname,SEQUYAH    ,SEQUOYAH    
60.superintendent,Sean Mcdnaiel,Sean Mcdaniel
12.fax,(580) 96-2319,(580) 596-2319
18.distname,TUSHKA                       ,TUSHKA                        
359.distname,sWESTERN HEIGHTS               ,WESTERN HEIGHTS               
206.superintendentemail,mchapaman@ryan.k12ok.us,mchapaman@ryan.k12.ok.us
543.statevalue,OfK,OK
199.distname,NAVAJOb                        ,NAVAJO                        
10.co,01o-I030,01-I030
515.city,ulsa,Tulsa
152.coname,GARtFIELD    ,GARFIELD    
539.superintendent,Mar kFenton,Mark Fenton
347.superintendent,Lenihsa Broadway,Lenisha Broadway
30.boardpresident,Crysstal Briscoe,Crystal Briscoe
210.superintendent,Daid Duncan,David Duncan
322.city,dPerry,Perry
459.distname,JSTUS-TIAWAH                 ,JUSTUS-TIAWAH                 
378.distname,WILSON                        ***,WILSON                        
299.distname,SMITHVILLE                   ,SMITHVILLE                    
372.boardpresident,Rod Wievmer,Rod Wiemer
344.city,Oklahoma ity,Oklahoma City
268.co,34-I004,43-I004
538.coname,WAGONRE     ,WAGONER     
237.city,Mtonroe,Monroe
279.phone,(91) 825-1255,(918) 825-1255
95.co,1h4-I040,14-I040
507.co,70-nI061,70-I061
424.boardpresident,Lorain Parent,Loraine Parent
78.city,Tahelquah,Tahlequah
502.city,Guaymon,Guymon
124.website,http://www.manford.k12.ok.us/,http://www.mannford.k12.ok.us/
396.website,thtp://www.commercetigers.net,http://www.commercetigers.net
243.statevalue,K,OK
165.distname,AULS VALLEY                  ,PAULS VALLEY                  
61.boardpresident,Jikmmy Percival,Jimmy Percival
397.co,58-I03,58-I023
534.address,461 E 16Th St,461 E 146Th St
479.superintendent,Jef Ransom,Jeff Ransom
361.city,Oklahma City,Oklahoma City
554.coname,WOODWAR D   ,WOODWARD    
291.website,www.bokosehschool.org,www.bokosheschool.org
262.fax,(918) 37d5-2263,(918) 375-2263
235.superintendentemail,bad.corcoran@panolabearcats.org,brad.corcoran@panolabearcats.org
334.boardpresident,Ken Keolsey,Ken Kelsey
416.phone,(918) 2w97-2534,(918) 297-2534
257.coname,LINCOL N    ,LINCOLN     
393.city,xWyandotte,Wyandotte
11.coname,ALFALF A    ,ALFALFA     
167.distname,ELMORE CITY-PEjRNELL           ,ELMORE CITY-PERNELL           
275.website,wwjw.madillok.com,www.madillok.com
65.superintendentemail,kstricke@plainview.k12.ok.us,kstricker@plainview.k12.ok.us
143.address,700 N. oWod Ave.,700 N. Wood Ave.
463.distname,OOLOGAH-TALAAL                ,OOLOGAH-TALALA                
427.fax,(580o) 759-8916,(580) 759-8916
456.distname,CHEYENNE                    g  ,CHEYENNE                      
224.boardpresident,Daana Golbek,Dana Golbek
477.fax,(405) 944-5746***,(405) 944-5746
342.fax,(405) 609-1677***,(405) 609-1677
297.fax,(580) 933-7289***,(580) 933-7289
444.coname,POTTWATOMIE,POTTAWATOMIE
251.superintendent,Kaie Blagg,Katie Blagg
477.statevalue,OeK,OK
322.phone,(5c80) 336-4511,(580) 336-4511
4.superintendent,Chajrles Benham,Charles Benham
443.website,htp://www.shawnee.k12.ok.us/,http://www.shawnee.k12.ok.us/
321.phone,(918) 484-5b121,(918) 484-5121
38.phone,(580) 434-5700***,(580) 434-5700
375.co,5-6I004,56-I004
109.phone,(580) 429-3663,(580) 492-3663
9.co,01-I02v5,01-I025
148.address,500 eWst Ruble,500 West Ruble
63.superintendent,Kim Holxland,Kim Holland
86.superintendentemail,supt@fortowson.k12.ok.us,supt@forttowson.k12.ok.us
514.co,72-E00g5,72-E005
195.city,xWetumka,Wetumka
290.fax,(580) 286s-3974,(580) 286-3974
150.boardpresident,ocky West,Rocky West
