3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
4193.personpremise,OVERLOOK TERRCE,OVERLOOK TERRACE
90.activity_date,2020/05/050 3:59:59+00,2020/05/05 03:59:59+00
1566.activity_date,2020/04/27 03l:59:59+00,2020/04/27 03:59:59+00
1856.activity_type_desc,FIEDL,FIELD
3053.activity_type_desc,FILED,FIELD
524.personpremise,APARTMENT OMPLEX,APARTMENT COMPLEX
2978.personpremise,CIRLCE K #4703232,CIRCLE K #4703232
3646.address_one,10301 WESPTORT RD,10301 WESTPORT RD
2140.activity_date,202q0/08/13 03:59:59+00,2020/08/13 03:59:59+00
4124.activity_type_desc,qFIELD,FIELD
714.personpremise,CAROLINA EWSTERN WEAR,CAROLINA WESTERN WEAR
1048.personpremise,LOUISVILLE BOAT CLUB / MAIN KITCHdEN,LOUISVILLE BOAT CLUB / MAIN KITCHEN
3716.personpremise,TOTAL QUALITY LOGSTICS,TOTAL QUALITY LOGISTICS
386.address_one,2443 BARDSTON ROAD,2443 BARDSTOWN ROAD
1417.activity_type_desc,FEILD,FIELD
2983.address_one,3015 WILSqON AVE,3015 WILSON AVE
1203.personpremise,KEMPERe & KEMPER (STE 101),KEMPER & KEMPER (STE 101)
792.personpremise,KROGERr L-346,KROGER L-346
3331.request_date,2020/0p8/29 03:59:59+00,2020/08/29 03:59:59+00
653.request_date,2020/05/20 03:595:9+00,2020/05/20 03:59:59+00
958.request_date,2020/05/2 003:59:59+00,2020/05/20 03:59:59+00
2381.activity_type_desc,FIEeLD,FIELD
1304.address_one,6902 GREE NMANOR DR,6902 GREEN MANOR DR
1141.request_date,2020/04/13 03:9:59+00,2020/04/13 03:59:59+00
1019.request_date,2020/04/28 03:59:59+00***,2020/04/28 03:59:59+00
1294.activity_type_desc,FcIELD,FIELD
392.personpremise,FURNITURE nHOME DECOR,FURNITURE HOME DECOR
2411.request_date,2020/11/1 605:00:00+00,2020/11/16 05:00:00+00
1082.request_date,2020/07/22 03:59:59+0l0,2020/07/22 03:59:59+00
16.personpremise,DARE T CARE,DARE TO CARE
2408.personpremise,AZELNUT FARM,HAZELNUT FARM
3164.request_date,2020/10/28 03:5y9:59+00,2020/10/28 03:59:59+00
390.activity_type_desc,FILD,FIELD
1982.activity_date,2020/07/31 y03:59:59+00,2020/07/31 03:59:59+00
4599.request_date,202/07/16 03:59:59+00,2020/07/16 03:59:59+00
4709.activity_type_desc,FIEDL,FIELD
2647.personpremise,RLLY'S,RALLY'S
2898.address_one,t240 MASONIC HOME DR,240 MASONIC HOME DR
170.activity_date,2020/04/13 30:59:59+00,2020/04/13 03:59:59+00
4511.activity_type_desc,FIELcD,FIELD
838.activity_date,202/07/14 03:59:59+00,2020/07/14 03:59:59+00
1581.address_one,4045 qSUMMIT PLAZA DR,4045 SUMMIT PLAZA DR
647.address_one,3814 FRANKFOTR AVE,3814 FRANKFORT AVE
3342.personpremise,IMPELLIZZEiRI'S,IMPELLIZZERI'S
4103.personpremise,MCsDONALD'S,MCDONALD'S
174.activity_type_desc,FIEDL,FIELD
2228.personpremise,TACO BELtL,TACO BELL
2464.address_one,4840l DIXIE HWY,4840 DIXIE HWY
2165.address_one,3317 BARDSTOWyN RD,3317 BARDSTOWN RD
462.request_date,2020/05/19 r03:59:59+00,2020/05/19 03:59:59+00
1028.activity_date,2020/05/12 3:59:59+00,2020/05/12 03:59:59+00
2952.address_one,10512 NATIONAL TURNPbIKE,10512 NATIONAL TURNPIKE
1278.address_one,5139 DIXIE HIGHWAY,5319 DIXIE HIGHWAY
1403.personpremise,CIRCLE K #473246,CIRCLE K #4703246
2845.address_one,9080 TAYLORSVILLEk RD,9080 TAYLORSVILLE RD
104.activity_type_desc,FIEDL,FIELD
4112.address_one,2210 HOLIDAY MANOR uCENTER,2210 HOLIDAY MANOR CENTER
4372.request_date,2021/01/22 05:00:00+0,2021/01/22 05:00:00+00
4162.activity_type_desc,FILED,FIELD
1519.request_date,202/007/13 03:59:59+00,2020/07/13 03:59:59+00
1633.activity_type_desc,FxIELD,FIELD
2870.activity_date,2020/08/20 03:59:95+00,2020/08/20 03:59:59+00
1480.activity_type_desc,FIED,FIELD
3705.address_one,4730 zCRITTENDEN DR,4730 CRITTENDEN DR
113.activity_type_desc,FIEmLD,FIELD
1946.personpremise,T-MOBInLE,T-MOBILE
3281.request_date,2020/08/07 0359:59+00,2020/08/07 03:59:59+00
4011.activity_date,2021/04/16 03:595:9+00,2021/04/16 03:59:59+00
3068.personpremise,BANDIDO'S TAQUERIA MXEICANA,BANDIDO'S TAQUERIA MEXICANA
118.personpremise,COVER ALL CAuFE,COVER ALL CAFE
2371.request_date,2020/08/04 03:59:59p+00,2020/08/04 03:59:59+00
1649.activity_date,2020/08/0o5 03:59:59+00,2020/08/05 03:59:59+00
2977.request_date,2020/12/29w 05:00:00+00,2020/12/29 05:00:00+00
3089.activity_type_desc,FILED,FIELD
3283.personpremise,RCmS,RCS
4159.activity_date,2020/11g/24 05:00:00+00,2020/11/24 05:00:00+00
2280.address_one,2600 GARLADN AVE,2600 GARLAND AVE
68.personpremise,KlINGFISH #2,KINGFISH #2
3762.request_date,2020/12/0705:00:00+00,2020/12/07 05:00:00+00
2039.activity_type_desc,pFIELD,FIELD
1143.personpremise,RODOE,RODEO
3354.activity_type_desc,FIEDL,FIELD
3099.activity_date,2020/09/25 03:59a:59+00,2020/09/25 03:59:59+00
1756.activity_date,2020/07/14 03:59:59+00***,2020/07/14 03:59:59+00
2122.personpremise,LOUISVILLE OVERSTOCK FRUNITURE,LOUISVILLE OVERSTOCK FURNITURE
3324.request_date,2002/11/13 05:00:00+00,2020/11/13 05:00:00+00
2842.activity_type_desc,FIEDL,FIELD
2294.activity_date,2020/10/26 03:v59:59+00,2020/10/26 03:59:59+00
3904.activity_type_desc,IFELD,FIELD
2315.activity_date,2020/12/04 5:00:00+00,2020/12/04 05:00:00+00
92.activity_date,2020/05/0z5 03:59:59+00,2020/05/05 03:59:59+00
4285.address_one,2051 S HURSTBOUqRNE LN,2051 S HURSTBOURNE LN
1133.personpremise,J-TOWN BING HALL,J-TOWN BINGO HALL
1078.address_one,4030 HELBYVILLE RD,4030 SHELBYVILLE RD
3683.personpremise,ANSWORTH,AINSWORTH
1374.address_one,1500 BARDSTWON RD,1500 BARDSTOWN RD
157.request_date,2020/0/29 03:59:59+00,2020/06/29 03:59:59+00
1317.activity_date,2020/04/29 03:59:59o+00,2020/04/29 03:59:59+00
977.activity_date,2020/05/19 03:59:h59+00,2020/05/19 03:59:59+00
1996.request_date,2020/08/17 30:59:59+00,2020/08/17 03:59:59+00
2108.address_one,3985S  7TH ST,3985 S 7TH ST
1624.activity_type_desc,FbIELD,FIELD
2236.activity_type_desc,IELD,FIELD
1964.request_date,2020/04/170 3:59:59+00,2020/04/17 03:59:59+00
3508.address_one,1700 CRAGO CT,1700 CARGO CT
2494.activity_date,2020/8/05 03:59:59+00,2020/08/05 03:59:59+00
2174.address_one,10407 TAYLORrSVILLE RD,10407 TAYLORSVILLE RD
3776.activity_type_desc,FIEDL,FIELD
4380.activity_type_desc,FELD,FIELD
749.activity_date,202005/19 03:59:59+00,2020/05/19 03:59:59+00
4051.personpremise,GRIDN BURGER,GRIND BURGER
3.request_date,2020/04/02 03:59:59+t00,2020/04/02 03:59:59+00
2614.personpremise,NAVE,NAIVE
269.activity_date,2020r/05/19 03:59:59+00,2020/05/19 03:59:59+00
2629.activity_type_desc,FzIELD,FIELD
2660.request_date,2020/7/25 03:59:59+00,2020/07/25 03:59:59+00
3276.activity_date,202/008/01 03:59:59+00,2020/08/01 03:59:59+00
3130.activity_date,2200/07/16 03:59:59+00,2020/07/16 03:59:59+00
273.activity_date,2020/06/23 30:59:59+00,2020/06/23 03:59:59+00
411.address_one,9812 LIN NSTATION RD,9812 LINN STATION RD
1720.request_date,2020/04/160 3:59:59+00,2020/04/16 03:59:59+00
2723.activity_type_desc,FIwELD,FIELD
1786.personpremise,AL WATAN ESTAURANT,AL WATAN RESTAURANT
3727.activity_type_desc,FbIELD,FIELD
3334.activity_type_desc,FnIELD,FIELD
3951.activity_date,2020/11b/09 05:00:00+00,2020/11/09 05:00:00+00
3171.address_one,130 W BROADWAY,2130 W BROADWAY
3198.request_date,2020/083/1 03:59:59+00,2020/08/31 03:59:59+00
3362.request_date,2020/08/12 03:59:59+00,2020/08/21 03:59:59+00
991.activity_date,2e020/04/08 03:59:59+00,2020/04/08 03:59:59+00
3662.request_date,2020/07/27 03:59:59+0,2020/07/27 03:59:59+00
3737.activity_type_desc,FILED,FIELD
2777.request_date,202008/17 03:59:59+00,2020/08/17 03:59:59+00
3167.personpremise,PLANET FITESS,PLANET FITNESS
397.request_date,2020/05/14 03:59:59+0,2020/05/14 03:59:59+00
4701.address_one,1500 BARDSzTOWN RD,1500 BARDSTOWN RD
4399.request_date,2021/05/17 035:9:59+00,2021/05/17 03:59:59+00
1365.address_one,11250 PRETSON HWY,11250 PRESTON HWY
2529.address_one,3340 BARDSTOaWN RD,3340 BARDSTOWN RD
4235.activity_type_desc,FEILD,FIELD
4288.request_date,2021/02j/04 05:00:00+00,2021/02/04 05:00:00+00
3190.address_one,10608 MANSLCIK RD,10608 MANSLICK RD
2229.request_date,2020/11/30 05:000:0+00,2020/11/30 05:00:00+00
4629.activity_date,2020/8/12 03:59:59+00,2020/08/12 03:59:59+00
3372.activity_date,2020/10/07 03:59e:59+00,2020/10/07 03:59:59+00
1482.activity_date,2020/04/28 03:59:g59+00,2020/04/28 03:59:59+00
2296.activity_type_desc,FImELD,FIELD
3511.request_date,2020/0/821 03:59:59+00,2020/08/21 03:59:59+00
4581.address_one,972 DIXIE HWY,9725 DIXIE HWY
2573.activity_date,2020/10/0f7 03:59:59+00,2020/10/07 03:59:59+00
4009.address_one,2902 S7TH ST,2902 S 7TH ST
386.personpremise,ANIL SALON,NAIL SALON
2287.address_one,1567 S SHLEBY ST,1567 S SHELBY ST
976.activity_type_desc,IELD,FIELD
407.activity_type_desc,IELD,FIELD
1923.activity_type_desc,vFIELD,FIELD
752.activity_date,2020/b04/20 03:59:59+00,2020/04/20 03:59:59+00
1235.activity_type_desc,FIELwD,FIELD
1671.request_date,2020/10/06 03:95:59+00,2020/10/06 03:59:59+00
3772.activity_type_desc,FIElLD,FIELD
1950.address_one,8113 NEW LAGRANGE RD,8131 NEW LAGRANGE RD
3286.personpremise,SHIVEY PUBLICWORKS,SHIVEY PUBLIC WORKS
2784.personpremise,LA FITESS,LA FITNESS
3298.personpremise,SPEEDWAY #9645***,SPEEDWAY #9645
3929.activity_date,2020/07/13 03:59:59+00***,2020/07/13 03:59:59+00
1050.personpremise,SPiEEDWAY #9783,SPEEDWAY #9783
4050.address_one,410 W BROADWAY,3410 W BROADWAY
3917.request_date,2020/05y/08 03:59:59+00,2020/05/08 03:59:59+00
842.personpremise,AERICAN METALS SUPPLY,AMERICAN METALS SUPPLY
3459.activity_type_desc,FEILD,FIELD
3690.personpremise,PEN STATION,PENN STATION
323.address_one,9003GALENE DR,9003 GALENE DR
1232.activity_type_desc,FIsELD,FIELD
635.address_one,5801 RIVE RRD,5801 RIVER RD
1432.request_date,2020/0/28 03:59:59+00,2020/04/28 03:59:59+00
2006.address_one,98 2EASTERN PKWY,982 EASTERN PKWY
314.personpremise,COLES' PLACE,COLE'S PLACE
3778.request_date,2021/05/18 03:5y9:59+00,2021/05/18 03:59:59+00
4192.activity_date,2020/4/27 03:59:59+00,2020/04/27 03:59:59+00
4670.activity_date,2021/01g/15 05:00:00+00,2021/01/15 05:00:00+00
1465.personpremise,UKNNOWN,UNKNOWN
1034.request_date,2020/05/13 035:9:59+00,2020/05/13 03:59:59+00
1215.activity_date,2020/06/16 0359:59+00,2020/06/16 03:59:59+00
3693.activity_date,2020/2/11 05:00:00+00,2020/12/11 05:00:00+00
1262.request_date,2020/04/21 03:59:59+0,2020/04/21 03:59:59+00
2710.activity_date,2020/11/1p8 05:00:00+00,2020/11/18 05:00:00+00
3022.address_one,6201 GLOBAL DISTRIBUTInON WAY,6201 GLOBAL DISTRIBUTION WAY
4073.request_date,2021/02/h02 05:00:00+00,2021/02/02 05:00:00+00
1771.personpremise,WALMAR #5418,WALMART #5418
3195.activity_date,2020/08/24 0g3:59:59+00,2020/08/24 03:59:59+00
2559.activity_date,2020/08/02 03:59:59+00,2020/08/20 03:59:59+00
3985.personpremise,JEFFERSON COUNTY CLEnRK'S OFFICE,JEFFERSON COUNTY CLERK'S OFFICE
4387.activity_date,2021/01/20 05:00:0000,2021/01/20 05:00:00+00
2629.activity_date,2020/10/23 0359:59+00,2020/10/23 03:59:59+00
4096.personpremise,BROWNIES THESHED GRILL & BAR,BROWNIES THE SHED GRILL & BAR
2134.activity_date,2020/12z/03 05:00:00+00,2020/12/03 05:00:00+00
4381.activity_type_desc,IFELD,FIELD
3989.address_one,1001E  WASHINGTON ST,1001 E WASHINGTON ST
1006.personpremise,HE OAKS AT ST ANDREWS,THE OAKS AT ST ANDREWS
3497.address_one,9070 DIIE HWY STE A,9070 DIXIE HWY STE A
3056.personpremise,CHEDDAR BOXC AFE,CHEDDAR BOX CAFE
2625.request_date,2020/10/20 03:59:5+900,2020/10/20 03:59:59+00
348.activity_date,2020/04/3 03:59:59+00,2020/04/30 03:59:59+00
1401.address_one,4b107 BROWNS LN,4107 BROWNS LN
1260.activity_type_desc,FIEDL,FIELD
2477.address_one,68r01 DIXIE HWY (SLEEP OUTFITTERS),6801 DIXIE HWY (SLEEP OUTFITTERS)
2945.activity_type_desc,FILED,FIELD
1819.personpremise,APNHANDLERS,PANHANDLERS
753.activity_type_desc,FIEDL,FIELD
184.activity_date,2020/04/25 03:59:59p+00,2020/04/25 03:59:59+00
4056.request_date,202005/26 03:59:59+00,2020/05/26 03:59:59+00
2069.personpremise,WEmNDYS,WENDYS
2864.address_one,110 W ASHLAND AVE,1102 W ASHLAND AVE
4519.address_one,5431 JOHNSONTWON RD,5431 JOHNSONTOWN RD
927.activity_type_desc,uFIELD,FIELD
3441.activity_date,2020/08/10 03:595:9+00,2020/08/10 03:59:59+00
3947.activity_type_desc,FILED,FIELD
582.request_date,2020/04/24 03:59:c59+00,2020/04/24 03:59:59+00
1615.request_date,202/04/22 03:59:59+00,2020/04/22 03:59:59+00
1284.address_one,7004 INTERNATIONAL DR,7040 INTERNATIONAL DR
119.request_date,2020/07/03 03:95:59+00,2020/07/03 03:59:59+00
1024.activity_date,2020/05/06 0:359:59+00,2020/05/06 03:59:59+00
3277.request_date,2020/07/31 3:59:59+00,2020/07/31 03:59:59+00
1235.activity_date,020/07/04 03:59:59+00,2020/07/04 03:59:59+00
2231.personpremise,WALrMART #5418,WALMART #5418
4119.address_one,4118 SUMIT PLAZA DR,4118 SUMMIT PLAZA DR
2141.personpremise,MEIJER #64,MEIJER #164
1274.activity_date,2020/0/506 03:59:59+00,2020/05/06 03:59:59+00
2404.activity_type_desc,FIEDL,FIELD
18.address_one,4443 CANERUN RD,4443 CANE RUN RD
3493.activity_type_desc,FlIELD,FIELD
3445.personpremise,KOCK FITER OC,KOCK FITER CO
606.activity_type_desc,hFIELD,FIELD
288.personpremise,CASPIAN RGILL,CASPIAN GRILL
3206.activity_type_desc,FIiELD,FIELD
2064.address_one,660 0TERRY RD,6600 TERRY RD
3851.request_date,2020/04/27 0:59:59+00,2020/04/27 03:59:59+00
4607.request_date,2021/01/04 05:00:w00+00,2021/01/04 05:00:00+00
1078.request_date,2020/07/20 03:95:59+00,2020/07/20 03:59:59+00
4464.personpremise,MANHfATTAN GRILL,MANHATTAN GRILL
4293.activity_date,2c021/04/01 03:59:59+00,2021/04/01 03:59:59+00
2144.personpremise,PUROFIRST DIcSASTER SERVICES,PUROFIRST DISASTER SERVICES
2284.request_date,2020/11/02 50:00:00+00,2020/11/02 05:00:00+00
4526.request_date,2021/01/04 05:00:00+0r0,2021/01/04 05:00:00+00
3358.request_date,020/09/11 03:59:59+00,2020/09/11 03:59:59+00
4480.personpremise,WENDSY,WENDYS
2810.request_date,2020/1/109 05:00:00+00,2020/11/09 05:00:00+00
2695.personpremise,PETERSON DUMESNIL HsOUSE,PETERSON DUMESNIL HOUSE
2146.address_one,45o45 OUTER LOOP,4545 OUTER LOOP
2207.activity_type_desc,IELD,FIELD
1205.activity_type_desc,IELD,FIELD
1289.activity_type_desc,FELD,FIELD
523.request_date,2020/04/16 0359:59+00,2020/04/16 03:59:59+00
2485.personpremise,ROGER L-332,KROGER L-332
88.personpremise,PARKWAY PRODUE,PARKWAY PRODUCE
2837.personpremise,ATTRESS FIRM,MATTRESS FIRM
1117.address_one,8401 AIR COMMERC EDR,8401 AIR COMMERCE DR
3665.activity_type_desc,IELD,FIELD
3581.activity_type_desc,FEILD,FIELD
1879.activity_type_desc,IFELD,FIELD
880.personpremise,FRISCqH'S BIG BOY #153,FRISCH'S BIG BOY #153
2582.request_date,2200/07/28 03:59:59+00,2020/07/28 03:59:59+00
137.request_date,2020/04/1 03:59:59+00,2020/04/16 03:59:59+00
2881.personpremise,CIRCLE  K#4703311,CIRCLE K #4703311
1699.personpremise,TUESDAYMORNING,TUESDAY MORNING
3576.address_one,2000 FERN VALLY RD,2000 FERN VALLEY RD
968.personpremise,EMW WOMEN'S SURGICAL CENTRE,EMW WOMEN'S SURGICAL CENTER
829.address_one,617l S HURSTBOURNE PKWY,617 S HURSTBOURNE PKWY
4662.activity_type_desc,IELD,FIELD
339.activity_date,2020k/04/14 03:59:59+00,2020/04/14 03:59:59+00
3390.activity_date,2020/11/19 05:00:0000,2020/11/19 05:00:00+00
337.request_date,2020/04/07 03:u59:59+00,2020/04/07 03:59:59+00
3299.request_date,20200/8/12 03:59:59+00,2020/08/12 03:59:59+00
1230.request_date,202/06/30 03:59:59+00,2020/06/30 03:59:59+00
704.activity_type_desc,FELD,FIELD
2684.personpremise,DENN'S,DENNY'S
3212.activity_date,2020/1028 03:59:59+00,2020/10/28 03:59:59+00
1989.address_one,4919- DIXIE HWY,4919-F DIXIE HWY
2388.activity_date,202/010/02 03:59:59+00,2020/10/02 03:59:59+00
3889.address_one,7609 STRAWBERRY LN,6709 STRAWBERRY LN
3908.activity_type_desc,IELD,FIELD
2845.personpremise,KROGER L-3a79,KROGER L-379
631.personpremise,SPEEDWAY #9612***,SPEEDWAY #9612
1338.request_date,202/04/20 03:59:59+00,2020/04/20 03:59:59+00
2170.activity_date,220/11/17 05:00:00+00,2020/11/17 05:00:00+00
590.activity_date,2020/05/08 03:59:59+00***,2020/05/08 03:59:59+00
3047.personpremise,CARNIVAL IN PARKING LOuT,CARNIVAL IN PARKING LOT
4265.activity_type_desc,FhIELD,FIELD
3834.address_one,000 HUNTING RD,6000 HUNTING RD
1937.address_one,4108 OUTER LOP,4108 OUTER LOOP
3269.activity_date,020/12/09 05:00:00+00,2020/12/09 05:00:00+00
2934.request_date,2020/1104 05:00:00+00,2020/11/04 05:00:00+00
828.activity_type_desc,IFELD,FIELD
1904.personpremise,SMOOTHE KING,SMOOTHIE KING
739.request_date,2020/05/04a 03:59:59+00,2020/05/04 03:59:59+00
732.request_date,2020/0/23 03:59:59+00,2020/04/23 03:59:59+00
4691.activity_date,2201/05/04 03:59:59+00,2021/05/04 03:59:59+00
2804.activity_date,202011/23 05:00:00+00,2020/11/23 05:00:00+00
3378.activity_type_desc,rFIELD,FIELD
2990.activity_date,2020/10/290 3:59:59+00,2020/10/29 03:59:59+00
3339.address_one,200 E CHESNUT ST,200 E CHESTNUT ST
3105.activity_type_desc,FILED,FIELD
410.activity_date,2020/05/12 03n:59:59+00,2020/05/12 03:59:59+00
2793.request_date,2020/09/18i 03:59:59+00,2020/09/18 03:59:59+00
4496.request_date,2020/10/23 03:59:59+0f0,2020/10/23 03:59:59+00
661.activity_type_desc,gFIELD,FIELD
1184.activity_date,200/05/15 03:59:59+00,2020/05/15 03:59:59+00
2154.address_one,1015 REEEVS RD,1015 REEVES RD
3051.request_date,2020/07/31 03:59:590+0,2020/07/31 03:59:59+00
3.personpremise,WEST EN TOKEN CLUB,WEST END TOKEN CLUB
3004.activity_type_desc,FEILD,FIELD
4041.activity_type_desc,FIEDL,FIELD
254.personpremise,651V INYL,651 VINYL
352.request_date,202/007/13 03:59:59+00,2020/07/13 03:59:59+00
3236.address_one,3165 S2ND ST,3165 S 2ND ST
2031.personpremise,OLLIE'S BARGAIN OUTLvET,OLLIE'S BARGAIN OUTLET
2358.address_one,10501DIXIE HWY,10501 DIXIE HWY
2330.request_date,2020/08f/04 03:59:59+00,2020/08/04 03:59:59+00
222.personpremise,BRAgDY CORPORATION,BRADY CORPORATION
3831.address_one,942 BkAXTER AVE,942 BAXTER AVE
4491.request_date,2020/10/14 03:y59:59+00,2020/10/14 03:59:59+00
273.personpremise,GAME XCHANGE,GAME X CHANGE
2536.activity_date,2021/01/13 05:0:00+00,2021/01/13 05:00:00+00
3131.activity_type_desc,FzIELD,FIELD
3651.activity_date,2020/07/21 03:59:95+00,2020/07/21 03:59:59+00
4136.address_one,1821 W JEFFERSON ST***,1821 W JEFFERSON ST
1239.activity_date,2020/07/16 03:95:59+00,2020/07/16 03:59:59+00
4039.activity_type_desc,FIELpD,FIELD
976.personpremise,EXCEUTIVE STRIKE & SPARE,EXECUTIVE STRIKE & SPARE
535.address_one,4400 SHELBYVILLERD,4400 SHELBYVILLE RD
1833.personpremise,SHORTY'S FOODM ART #4,SHORTY'S FOOD MART #4
4336.personpremise,MAxNHATTAN PROJECT,MANHATTAN PROJECT
4029.address_one,5769 PRSTON HWY,5769 PRESTON HWY
620.activity_date,202/005/19 03:59:59+00,2020/05/19 03:59:59+00
2890.activity_type_desc,FIELeD,FIELD
3389.activity_type_desc,FIEDL,FIELD
2420.request_date,2020/07/20 03:5959+00,2020/07/20 03:59:59+00
4522.activity_type_desc,FhIELD,FIELD
4286.activity_type_desc,FEILD,FIELD
509.address_one,3050 HUNSIzNGER LANE,3050 HUNSINGER LANE
391.activity_type_desc,IFELD,FIELD
1315.activity_date,2020/04/29 0:59:59+00,2020/04/29 03:59:59+00
308.activity_date,2020/07/14t 03:59:59+00,2020/07/14 03:59:59+00
2496.activity_date,2020/08/10 03:59:95+00,2020/08/10 03:59:59+00
4362.activity_date,2021/02/04 05:000:0+00,2021/02/04 05:00:00+00
4498.activity_date,2020/11/03 05:0:00+00,2020/11/03 05:00:00+00
577.activity_type_desc,IELD,FIELD
561.activity_type_desc,FIEDL,FIELD
4333.activity_type_desc,FIEnLD,FIELD
39.request_date,2020/05/12 03:59:59+00***,2020/05/12 03:59:59+00
2378.activity_date,2020/08/180 3:59:59+00,2020/08/18 03:59:59+00
3420.request_date,2020/0/803 03:59:59+00,2020/08/03 03:59:59+00
1982.personpremise,OO,ZOO
4531.personpremise,MAX OmRIENT,MAX ORIENT
2040.activity_date,2020/07/16 03:59:5900,2020/07/16 03:59:59+00
4507.request_date,2020/11/19 05:00:00+0y0,2020/11/19 05:00:00+00
4470.request_date,2021/05/03 03:5959+00,2021/05/03 03:59:59+00
4048.address_one,7113 LOWERSw HUNTERS TRACE,7113 LOWERS HUNTERS TRACE
2495.activity_date,200/08/24 03:59:59+00,2020/08/24 03:59:59+00
2189.request_date,2020/09/03 03:59:59+00***,2020/09/03 03:59:59+00
3126.personpremise,MUSSEL & BrURGER BAR II,MUSSEL & BURGER BAR II
622.address_one,7100I NTERNATIONAL DR,7100 INTERNATIONAL DR
566.personpremise,WENYDS,WENDYS
3601.request_date,2021/03/08 05k:00:00+00,2021/03/08 05:00:00+00
2457.activity_date,2020/08/n28 03:59:59+00,2020/08/28 03:59:59+00
3193.activity_type_desc,hFIELD,FIELD
4499.personpremise,DAIRY QUEEN #131,DAIRY QUEEN #311
1651.request_date,2020/08/03 03:59:5900,2020/08/03 03:59:59+00
1016.address_one,187k1 BERRY BLVD,1871 BERRY BLVD
81.address_one,10617 NATIONAL PKE,10617 NATIONAL TPKE
2789.activity_type_desc,pFIELD,FIELD
3419.personpremise,FbRANKFORT AVENUE BEER DEPOT,FRANKFORT AVENUE BEER DEPOT
1794.activity_date,2020/04/20 0359:59+00,2020/04/20 03:59:59+00
2928.address_one,8325 PRESTlON HWY,8325 PRESTON HWY
3252.activity_date,2020/1119 05:00:00+00,2020/11/19 05:00:00+00
2972.address_one,4201 TONE CENTER DR,4201 TOWNE CENTER DR
684.request_date,2020/04/17 03:5:959+00,2020/04/17 03:59:59+00
3014.activity_date,202010/12 03:59:59+00,2020/10/12 03:59:59+00
4645.activity_date,220/12/09 05:00:00+00,2020/12/09 05:00:00+00
4280.request_date,2020/12/03 05:00:00+b00,2020/12/03 05:00:00+00
970.activity_date,20200/6/10 03:59:59+00,2020/06/10 03:59:59+00
30.request_date,2s020/04/29 03:59:59+00,2020/04/29 03:59:59+00
4355.activity_date,2020/12/29 05:m00:00+00,2020/12/29 05:00:00+00
2048.request_date,2020/0/21 03:59:59+00,2020/07/21 03:59:59+00
3335.address_one,91b25 GALENE DR,9125 GALENE DR
2073.activity_type_desc,FIEwLD,FIELD
1358.activity_type_desc,FIELgD,FIELD
3423.address_one,514 BARDSTOWN RD,1514 BARDSTOWN RD
803.activity_date,2020/06/17 0:59:59+00,2020/06/17 03:59:59+00
1835.request_date,2020/07/24 03:59:5b9+00,2020/07/24 03:59:59+00
3728.address_one,3044 WILaSON AVE,3044 WILSON AVE
2706.address_one,1224 OLD FERN VALLE RD STE 130,1224 OLD FERN VALLEY RD STE 130
585.activity_type_desc,FIED,FIELD
108.activity_date,2020/05/2 003:59:59+00,2020/05/20 03:59:59+00
4231.personpremise,CsABELA'S,CABELA'S
1557.request_date,2020/7/14 03:59:59+00,2020/07/14 03:59:59+00
690.request_date,202m0/04/22 03:59:59+00,2020/04/22 03:59:59+00
1949.activity_date,20d20/04/10 03:59:59+00,2020/04/10 03:59:59+00
2713.request_date,2020/11/0p9 05:00:00+00,2020/11/09 05:00:00+00
1217.request_date,2020/07n/13 03:59:59+00,2020/07/13 03:59:59+00
1060.request_date,2020/06/09 03:59:5k9+00,2020/06/09 03:59:59+00
615.personpremise,CIRCLE K y#4703243,CIRCLE K #4703243
2707.address_one,8514PRESTON HWY,8514 PRESTON HWY
2398.personpremise,AFRICAN AMERICAN HERITAGE CENTR,AFRICAN AMERICAN HERITAGE CENTER
3630.request_date,2p020/11/23 05:00:00+00,2020/11/23 05:00:00+00
88.activity_date,20w20/05/05 03:59:59+00,2020/05/05 03:59:59+00
2084.request_date,2020/0w8/07 03:59:59+00,2020/08/07 03:59:59+00
4655.activity_date,2020/12/2z2 05:00:00+00,2020/12/22 05:00:00+00
3023.personpremise,GET  DOO,GET A DOO
3547.address_one,7900 SELBYVILLE RD,7900 SHELBYVILLE RD
3217.activity_date,2p020/07/24 03:59:59+00,2020/07/24 03:59:59+00
3602.activity_type_desc,FELD,FIELD
348.personpremise,AwSPIRATIONS FITNESS INSTITUTION,ASPIRATIONS FITNESS INSTITUTION
623.activity_type_desc,FILD,FIELD
4248.address_one,4501 NIDIAN TRAIL,4501 INDIAN TRAIL
3062.activity_type_desc,IELD,FIELD
2961.address_one,491 5DIXIE HWY,4915 DIXIE HWY
2348.activity_date,2020/0804 03:59:59+00,2020/08/04 03:59:59+00
4360.activity_date,2021/01/27 05:00:0+000,2021/01/27 05:00:00+00
4433.activity_type_desc,IFELD,FIELD
870.activity_date,2020/05/02 3:59:59+00,2020/05/02 03:59:59+00
3192.address_one,2333 MONTtGOMERY ST,2333 MONTGOMERY ST
975.activity_date,2020/07/51 03:59:59+00,2020/07/15 03:59:59+00
1067.address_one,4001 KRESGE WAYw STE 320,4001 KRESGE WAY STE 320
4220.request_date,2020/11/1p3 05:00:00+00,2020/11/13 05:00:00+00
3066.personpremise,POST OFICE,POST OFFICE
