namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
00 St Charles Ave Apt 404,800 St Charles Ave Apt 404,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 115:9:59 PM,"(29.9456630370914, -90.0714864953681)",3680457.63,527932.56
1115 Margaret Pl Unit 102,1115 Margaret Pl Unit 10c2,Short Term Rental Commercial Owner,2.0,4.0,07/30/2p023 11:59:59 PM,"(29.9411362671399, -90.0722872149893)",3680222.17,526283.67
1618 Frenchmen St,1618 FrenchmenSt,Short Term Rental Commercial Owner,4.0,8.0,08/2e4/2023 11:59:59 PM,"(29.9739590350124, -90.0586924522606)",3684394.85,538266.87
800 St Charles Ave Apt 305,800 St Charles Ave Apt 3g05,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.9456737905422, -90.0714662624026)",3680463.98,527937.85
1236 Henriette Delille St,1236 Henriette Delille St,Short Term Rental Residential Owner,1.0,2.0,03/01/2203 12:00:00 AM,"(29.9657865825501, -90.0650258878918)",3682422.61,535272.81
600 Canal St Apt 302,600 Canal St Apt 302,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524566144287, -90.068491628911)1",3681378.79,530413.41
1918 Conti St,1i918 Conti St,Short Term RentalResidential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9630545795353, -90.0779204558067)",3678350.8,534234.39
804 N Braod St Apt B,804 N Broad St Apt B,Short Term Rental Commercial Owner,1.0,2.0,10/20/2023 11:y59:59 PM,"(29.9713414245159, -90.0819948031365)",3677027.83,537233.69
101 Fourth St Unit B,1017 Fourth St Unit B,Short Term Rental Residential Owner,1.0,2.0,03/01/202r3 12:00:00 AM,"(29.9262860552078, -9.00810785277268)",3677496.98,520853.06
806 N Broad St Apt A,806 N Broad St Apt A,Shot Term Rental Commercial Owner,1.0,2.0,10/20/2023 11:59:59 PM,"(29.9713781187727, -90.0819957957977)",3677027.37,537247.03
804 N Broad St Apt A,804 N Broad St Apt A,Short Term Rental CommercialOwner,1.0,2.0,10/20/2023 11:59:59 PM,"(29.9713600062909, -90.0820228704092)",3677018.87,537240.35
316 Oljivier St,316 Oliiver St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9528339899058, -90.049703229899)",3687326.84,530616.8
4401 Wellington Ave,4401 Wellington Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(30.0023769772542, -90.0807562837651)",3677296.58,548523.71
1523 DesireS t,1523 Desiref St,Short Term RentalResidential Owner,1.0,2.0,03g/01/2023 12:00:00 AM,"(29.9713918f332861, -90.0390056858094)",3690638.12,537403.21
516 Mandeville St,1516 Mandeville St,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00AM,"(29.9731257790408, -90.0548556272197)",3685612.95,537977.4
00 Canal St Apt 403,600 Canal StA pt 403,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9525490720934, -90.0685241559798)",3681368.48,530414.19
512 Verbena St,2512 eVrbena St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.999823271035, -90.0519771009371)",3686415.72,547695.8
ONE11 HOTEL,111 IBERVILL EST,4701 - HOTELS (EXC CASNIO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9520196603249, -90.0649236154977)",3682510.40828,530267.007105
3340 Louisiana Avenue Prkwy,3340 Louisiana Avenue Prkwy,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9448690014058, -90.0992938877704)",3671654.54,527547.91
3201 Bienville Ave,3201 Bienville Ave,Short Term Rejntal Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9706195788767, -90.0904481909188)",3674354.3,536942.07
2618 Magazine St Unit B,2618 Magazine St Unit B,Short Term Rental Residential Owner,2.0,4.0,08/31/2023 12:08:52 PM,"(29.9267043185051, -90.0812390281224)",3677444.48,521004.6
3613 N Miro St,613 N Miro St,Short Term Rnetal Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9777069643569, -90.0349473107098)",3691896.99,539714.16
2229 Dauphine St,2229 Dauphin eSt,Short Term Rental Residential Owner,2.0,4.0,03/01/20z23 12:00:00 AM,"(29.9657288195215, -90.0556629070774)",3685387.36,535284.74
631 Washington Ave,631 Wsahington Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:0 0AM,"(29.922658591045, -90.07f96563895889)",3677961.87,519538.91
4629 Eastern St,4629t Eastern St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(30.0061663970156, -90.046565553081)",3688102.64,550021.6
312 Cherokee tS,312 Cherokee St,Short Term Rental Residentia lOwner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9374238794557, -90.1315656290846)",3661462.83,524731.95
4143 Palmyra St,4143e Palmyra St,Short Term Renal Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9737747176437, -9.01033864339519)",3670245.65,538045.2
3512 Bienville Ave,3512 Bienville Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/223 12:00:00 AM,"(29.9529606272473, -90.0649484702871)",3682498.75,530609.09
2054 Royal St,2054 Royal St,Short Term Rental Commercial Owner,2.0,4.0,10/19/2023 11:59:59 PM,"(29.9644227076392, -90.0581208480114)",3684614.41,534801.12
1501 Camp St,1510 Camp St,Short Term Rental Residential Owner,1.0,2.0,11/02/2023 12:50:12 PM,"(28.098890706870,6 -101.517799134252)",-1.0,-1.0
4715 Freret St,715 Freret St,Short Term Rental Commercial Owner,1.0,2.0,10/16/2023 11:59:59 PM,"(29.9350591603153, -901069155407958)",3669279.03,523954.77
HOLIDAY INN EXPRESS,7049 BULLARD AEV,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:e00:00 AM,"(30.0484801958181, -89.9620466020469)",3714667.98623,565718.719714
TULANE HOTEL GROUP INC,3900 TULANE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/023 12:00:00 AM,"(29.j9674293694511, -90.1040851984859)",3670049.17703,535735.410695
900 Bartholomew St Unit 411,900 Bartholomew St Unit 411,Short Terqm Rental Commercial Owner,2.0,4.0,11/16/2022 11:59:59 PM,"(29.9636717965218, -90.036261070554)",3691538.85,534605.75
339 Carondelet St Apt 3A,339 Carondelet St Apt 3A,Short Term Rental Commercial Owner,1.0,2.0,02/23/2023 11:59:59 PM,"(29.951077855278, -90.071611598851)***",3680396.33,529901.15
CAMRBIA NEW ORLEANS DOWNTOWN,632 TCHOUPITOULAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9468191087104, -90.0671848212897)",3681815.26069,528367.977216
900 Bartholomew St Unit 406,900 Bartholaomew St Unit 406,Short Term Rental Commercial Owner,2.0,4.0,03/06/2023 11:59:59 PM,"(29.9636411834197, -90.0361572675411)",3691571.84,534594.99
1026 Clouet St,1026 Clouet St,Short Term Rental Residentiasl Owner,2.0,4.0,08/29/2023 07:45:18 AM,"(29.9669941515134, -90.0445q150757299)",3688911.82,535784.39
1715 Ursulines Ave,1715 Ursulines Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/203 12:00:00 AM,"29.9677458196698, -90.0709496889427)",3680539.16,535964.55
3914 Marais St,3914 Marais St,Short TermR ental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9665722287156, -90.0357288858v805)",3691695.41,535662.36
135 N Roadway St,135 N Roadway St,Short Term Rental Cojmmercial Owner,1.0,2.0,10/17/2023 11:59:59 PM,"(30.0255195195738, -90.1155712738614)",3666187.99,556820.52
929 Hagan St,929 Hagan St,Short Term Rental Residential Oner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.97709582w20909, -90.0875255573913)",3675254.02,539307.13
100a4 Pleasant St,1004 Plaesant St,Short Term Rental Residntial Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9228190693581, -90.086z9331168859)",3675656.27,519572.12
818 Bordeaux St,818 Bordeaux St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9198589113052, -90.106201802603)2",3669564.28,518429.82
1439 Eutrpe St,1439 Euterpe St,Short Term Rental Residential Owner,1.0,2.0,03/01/203 12:00:00 AM,"(29.9367801836335, -90.0747742993464)",3679451.91,524690.98
1331 Desire St,1331 Desire St,Short Term Rental Residential Owner,1.0,2.0,08/31/2023 02:36:21 PM,"(29.993968874548, -90.0395495570875)",3690474.12,536675.83
1737 Josephine St,1737 Josephine St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9365521404031, -90.0810408656061)",3677468.11,524586.31
1914 Josephine St,1914 Josephine St,Short Term Rental Commercial Owner,3.0,6.0,08/30/2023 11:59:59 PM,"(29.9378656558607, -90.0824u723630531)",3677009.52,525059.0
600 Canal St Apt 206,600 Canal St Apt 206,Short Term Rental eCommercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524105076979, -90.0684984660508)",3681376.81,530396.62
923 N White St,923 N White St,Short Term Rental Residential wOner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9737125502586, -90.0828228408989)",3676756.26,538093.06
2228 Art St,2228 Arts St,Short Term Rental Residentia lOwner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9806761001286, -90.0509292273345)",3686825.31,540736.87
339 Carondelet St Apt 2B,339 Caondelet St Apt 2B,Short Term Rental Commercial Owner,1.0,2.0,08/31/2023 11:59:59 PM,"(29.9510490026972, -90.7016512161383)",3680383.9,529890.52
2477 Royal St,2477 Ryal St,Short Term Rental eRsidential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9649392583151, -90.050669049277)",3686529.14,535010.34
5536 Prytania St,5536 Prytania St,Short Term Rental ResidentialOwner,2.0,4.0,03/01/2032 12:00:00 AM,"(29.9253332159157, -90.1157333360302)",3666523.84,520388.27
2161 lPeasure St,2161 Pleasure St,tShort Term Rental Residential Owner,2.0,4.0,08/8/2023 11:44:44 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
g917 N Villere St,917 N Villere St,Short Term Renqtal Residential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9648738800998, -90.0702289152861)",3680778.88,534922.72
721 Robert St,1721 Robert St,Short Term Rental Residential Ownre,2.0,4.0,03/01/2023 1:00:00 AM,"(29.9296195503871, -90.1084817334704)",3668804.13,521971.42
600 Canal St Apt 406,600 Canal St Apt 406,Shorxt Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:m59 PM,"(29.9x524322232006, -90.0685432543855)",3681362.54,530404.36
431 Pelican Ave,431 PelicanA ve,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9528011358107, -90.0515659776536)",3686737.12,530598.25
600 Canal St Apt 203,600 Canal StA pt 203,Shotr Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524424636161, -900.684842608436)",3681381.18,530408.29
123N Miro St,123 N Miro St,Short Term Rental Residential Owner,5.0,10.0,08/29/2023 11:32:58 AM,"(29.9633307878525, -90.0827146721252)",3676831.71,534318.23
t2230 Dumaine St,2230 Dumaine St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9689687245288, -90.0771384162772)",3678574.84,536387.71
1317 HenrietteDelille St Apt 2A,1317 Henriette Delille St Apt 2A,Short Term Rental Residential Ownr,2.0,4.0,03/01/2023 12:00:00 AM,"(29.966410733605, -0.0649786948246)",3682435.04,535499.94
823 Solomon Pl,823 Solomon Pl,Short Term Rental Residential Owner,2.0,4.0,s03/01/2023 12:00:00 AM,"(29.9814918m708059, -90.0965163369826)",3672390.41,540874.87
1742 Clio St Aptu A,1742 Clio St Apt A,Short Term Rental Commercial Owner,2.0,4.0,08/30/2023 11:59:59 PM,"(29.9424778311761, -90.0760921056174)",3679011.81,526758.27
2120 N Broad St,2120 N Broad St,Short Term Rental Residentialp Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9854621644674, -90.0695303448185)",3680917.49,542411.84
4006 Annunciation St,4006 Annunciation Sjt,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9181856478055, -90.0968578828428)",3672530.7,517853.18
1738 Clio St Apt C,1738 Clio St Apt pC,Short Term Rental Commercila Owner,2.0,4.0,08/30/2023 11:59:59 PM,"(29.9423948643329, -90.0760720264953)",3679018.5,526728.17
600 Canal St Apt 304,600 Canal St Apt 304,Short Term Rental ommercial Owner,1.0,2.0,07/13/2023 11:59:59 M,"(29.9524425234225, -90.0685047866043)",3681374.68,530408.24
2710 Chartres St,2710 Chartres St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9635089506215, -90.05047985537)",3687037.46,534495.85
1916 N Rampart St,1916 N Rampart St,Short Term Rental Residential Owner,1.0,2.0,09/01/202311:34:07 AM,"(29.9672687968433, -90.059811544987)",3684067.59,535830.11
2515 Leonidas St,2515 Leonidhas St,Short Termn Rental Residential Owner,1.0,2.0,09/01/2023 21:55:06 PM,"(29.960384045906, -90.1235301119201)",3663919.63,533107.93
1028 Kerlerec Sut Apt 3,1028 Kerlerec St Apt 3,Short Term Rental Commercial Ower,2.0,4.0,06/05/2023 11:59:59 PM,"(29.9662828285195, -90.0626436989521)",3683174.86,535461.62
3228 St Claude Ave,3228 St Claude Ave,Short Term Rental Commercial Onwer,2.0,4.0,08/30/2023 11:59:59 PM,"(29.9669184287465, -90.0417393852417)",3689790.96,535766.75
122 WinthropPl,122 Winthrop Pl,Short Teprm Rental Residential Owner,2.0,4.0,0/301/2023 12:00:00 AM,"(29.98j97905144759, -90.0801511976951)",3677538.15,543948.87
7708 Ligustrum Dr,7708 Ligustrum Dr,Short Term Rental Residential Owner,3.0,6.0,08/28/2u023 08:33:17 PM,"(30.03693688863x12, -90.0042975480874)",3701350.33,561363.62
1212 N Galvez St,1212 N Galvez St,Short Term Rental Residential Owner,4.0,8.0,03/01/2032 12:00:00 AM,"(29.971221965113m9, -90.0739484620735)",3679575.81,537218.16
614 N Pierce St,614 N Pierce St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:0000 AM,"(29.9778579811075, -90.0956140587249)",3672690.32,539556.53
5927 aPtton St,927 Patton St,Short Term Rental Residential Owner,3.0,6.0,08/30/2023 11:31:3 AM,"(92.9201633121688, -90.1210067532112)",3664873.37,518490.59
1216 N Lopez St Apt 2B,1216 N Lopez St Apt 2B,Short Term Retnal Residential Owner,1.0,2.0,09/01/2023 1205:54 PM,"(29.9776531509659, -90.0838692346401)",3676409.35,539522.4
189 Verret St,819 Verret St,Short Term Rental Residential Owner,3.0,6.0,08/28/2023 08:24:41 AM,"(29.9471493832316, -90.0505650549378)",3687077.08,528546.78
2009 First St,009 First St,Shor Term Rental Residential Owner,3.0,6.0,08/30/2c023 02:25:16 PM,"(29.9363671360972, -90.0852647112344)",3676131.09,524504.44
2814 Octavia St,2814 Octavi St,Short Term Rental Residential Owner,1.0,2.0,09/01/2023 12:04:48 PM,"(29.940270713724,7 -90.1110867821043)",3667937.7,525835.77
431 Leboekuf St,431 Leboeuf St,Short Term Rental Residential Owner,3.0,6.0,09/01/203 07:29:23 AM,"(29.9509823300811, -90.0418848086542)",3689810.23,529971.29
600 Canal St Apt 303,600 Canal St Apt 303,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524503322156, -90.0684989401954)",3681376.5,530411.1
600 Canal St Apt 402,600 Canal St Apt 402,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524692187072, -90.068183430965)",3681370.28,530417.9
1314 Feliciana St,1314 Feliciana Sot,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 21:00:00 AM,"(29.9701644873, -90.0444478091028)",3688920.15,536937.48
622 S Rocheblave St,622 S Rochblave St,Short Term Rental Commercial Owner,5.0,10.0,08/30/2023 11:59:59 PiM,"(29.9589615482209, -90.0891287050705)",3674818.09,532707.3
1907 Sophie Wright Pl,1907 Sophie Wright Pl,Short Term Rental Commercial Owner,1.0,2.0,10n/19/2023 11:59:59 PM,"u(29.9320038113027, -90.0745353793166)",3679546.66,522954.95
1431 Moss St Apt 2B,1431 Moss St Apt 2B,Short Term Rental Residengtial Owner,2.0,4.0,0/01/2023 12:00:00 AM,"(29.98g15167439907, -90.0906057464517)",3674261.44,540904.16
6p00 Canal St Apt 506,600 Canal St Aptc 506,Short Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524518675144, -90.0685699740746)",3681354.0,530411.41
1216 N Lopez St Apt 1A,1216 N Lvopez St Apt 1A,Short Term Rental Residential Owner,1.0,2.0,09/01/2023 12:07:18 PM,"(29.9777090838593, -90.083961747n9359)",3676379.84,539542.42
600 Canal St Apt 204,600 Canal S tApt 204,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524268080906, -90.0684920067359)",3681378.79,530402.57
2211 Dante St,2211 Dnte St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(9.9559892465616, -90.123673685845)",3663891.04,531509.33
2239 oucher St,2239 Foucher St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9a339932025588, -90.0960368222217)",3672728.72,523604.19
4303 S Carrollton ve,4303 S Carrdollton Ave,Short Term Rntal Commercial Owner,2.0,4.0,08/31/2023 11:59:59 PM,"(29.9707120178271, -90.1050274123127)",3669738.06,536925.91
1819 St Roch Ave,1819 St uRoch Ave,Sshort Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9764420068768, -90.0520883461921)",3686475.58,539193.09
4735 Pecan St,4735 Peca St,Short Term Rental ResidentialO wner,2.0,4.0,03/01/2023 12e:00:00 AM,"(30.0173167746738, -90.0029039037746)",3701874.11,554234.11
826 Fouchaer St,826 Foucher St,Short Term Rental Residential Owner,3.0,6.0,03/01/023 12:00:00 AM,"(29.9198382105475, -9q0.0909512382403)",3674395.25,518474.35
HOTEL VILLA CONVENTO,616 URSULINES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.960774309867,6 -90.0613535721913)",3683605.57532,533463.050756
463 Chestnut St,4603 Cestnut St,Short Term Rental Resikdential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9227326764035, -90.104212430338)",3670183.24,519481.58
1328 Esplanade Ave Apt 2A,1328 Esplanade vAe Apt 2A,Short Term Rental Residential Owner,1.0,2.0,03/012023 12:00:00 AM,"(29.96772t83749038, -90.0666814453215)",3681890.62,535973.12
1319 Columbus St,1319 Columbus tS,Short erm Rental Residential Owner,3.0,6.0,03/01/20z23 12:00:00 AM,"(29.9692118029241, -90.0644633456435)",3682586.93,536520.32
936 Dumaine St,2936 Dumaine St,Short Term Rental Residential Owner,2.0,4.0,030/1/2023 12:00:00 AM,"(29.974079770442,-90.0846200962784)",3676185.8,538220.39
1317 Columbus St,1317 Columbus St,Short Term Rental Residentiall Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9691687820748, -90.0644279811535)",3682598.3,536504.8
1506 Governor Nicholls St,1506 Governor Nicholls St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:0 0AM,"(29.967080542576, -90.0683236314878)",3681373.28,535731.8
736 Elmira Ave,736 Ellmira Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.947708617172, -90.04700c29037021)",3688202.86,528762.62
5959 Colbert St Apt B,5959 Colbert St Apt B,hort Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9988869h907332, -90.1118895043803)",3667456.26,547148.23
2471 N Rampart St,2471 N Rampart St,Short Term Rental Residential Ownr,4.0,8.0,03/01/2023 12:00:00 AM,"(29.967897558494, -90.0524586784715)",3686393.07,536084.71
600 Canal St Apt 405,600 Canal St Apt 405,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.524387369226, -90.0685371401827)",3681364.45,530406.75
2411 Brgundy St,2411 Burgundy St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"o(29.9668116989354, -90.0538980622112)",3685941.75,535684.75
7016 W Tamaron Blvd,7016 W Tamaron Blvd,Short Term Rental Reisdential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(30g.0546375467808, -89.9489673297567)",3718778.63,568007.52
4861 Magazine St Apt B,4861 Magazine St Apt B,Short Term Rental Residential Owner,1.0,2.0,3/01/2023 12:00:00 AM,"(299.204853585791, -90.1077884635317)",3669059.24,518652.24
622 S Lopez St,622 S Lopez St,Short Term Rental Commercial Owner,1.0,2.0,10/26/2023 11:59:59 PM,"(29.963694466318, -90.0962990372908)",3672529.07,534403.78
11416 Prentiss Ave,11416 Prentiss Axve,Short Term Rental Residential Owner,2.0,4.0,08/28/2023 03:27:45 PM,"(30.0232472164951, -89.9530936723144)",3717610.82,556577.08
812 Gravier St Apt 508,812 Griavier St Apt 508,Short Term Rental Commercial Owner,1.0,2.0,05/14/2023s 11:59:59 PM,"(29.9519049625586, -90.0714987925697)",3680428.74,530202.31
2675 Hyman Pl,2675 yman Pl,Short Term Rental Residential Owner,3.0,6.0,08/30/t2023 08:18:41 AM,"(29.926040739115, -90.0069296082703)",3700984.37,521028.13
4031 Ulloa St,4031 Ulloa St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9691803110598, -90.1046567711191)",3669861.38,536370.18
600 Canal St Apt i305,600 Canal St Apt 305,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524336925213, -90.0685130144125)",3681372.11,530405.0
HIGGIN HOTEL & CONFERENCE CENTER,1000 MAGAZINE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,30/01/2023 12:00:00 AM,"(29.9426165054813, -90.0698969805047)",3680973.22095,526830.277182
339 Carondelet St Apt 3C,339 CarondeletSt Apt 3C,Short Trem Rental Commercial Owner,1.0,2.0,08/30/2023 11:v59:59 PM,"(29.951087658287, -90.0716588431283)",3680381.33,529904.55
FRENCH QUARTER MANSION BOUTIQUE HOTEL,730 DUMAIEN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9600279224559, -90.0639925780389)",3682772.97532,533182.370372
LUCKY INN HTOEL,2625 IBERVILLE ST,4701 - HOTELS (EXC CASINO HOTELS)d & MOTELS,2.0,4.0,s03/01/2023 12:00:00 AM,"(29.9660586896722, -90z.0854377733833)",3675958.69275,535300.798278
704 N Claiborne Ave Apt 2B,704 N Claiborne Ave pAt 2B,Short Term Rental Commercial Owner,3.0,6.0,08/31/2023 11:5u9:59 PM,"(29.9638247117507, -90.0730780537121)",3679880.97,534531.27
1244 Clouet St,1244 Cloute St,Short Term Rental Residential Owner,2.0,4.0,08/30/2023 04:04:05 AyM,"(29.9695325654338, -90.043746011163)",3689144.93,536710.19
1216 Treme St Apt B,1216 Treme St Apt B,Short Term Rental Residentila Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9660917299893, -90.066771784602)",3682056.86,535379.74
3115 Conti St,3115Conti St,Short Term Rental Commercial Owner,5.0,10.0,10/16/2023 11:59:59 PM,"(29.9710988775408, -90.0893513018979)",3674699.69,537120.13
4620 Dryades St Apt B,4620 Dryades St Apt B,Short Term Rental Commercial Owner,4.0,8.0,08/29/2023 11:59:5 PM,"(29.9w290813721318, -90.1053398134805)",3669801.39,521786.37
600 Canal St Apt 508,600 Canal St Apt 508,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9524348108107, -90.0685835798767)",3681349.76,530405.16
1103 Lowerlqine St,1103 Loweline St,Short Term RentalResidential Owner,3.0,6.0,08/30/2023 02:32:56 PM,"(29.9423524462314, -90.1242990501962)",3663545.82,526546.27
1036 Webster St,1036 Webster St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 1200:00 AM,"(29.92529031719, -90.1223978275304)",3664413.02,520350.3
607 S Soldomon St,607 S Solomon St,Short Term Rental Residential Owner,2.0,4.0,03/01b/2023 12:00:00 AM,"(29.9711820413254, -90.1064067889786)",3669299.51,537092.15
339 Carondelet St Apt 2C,339 Carondelet St Apt 2C,Short Term Renatl Commercial Owner,1.0,2.0,08/30/2023 11:59:5 PM,"(29.9510560784958, -90.0716721581592)",3680377.24,529893.02
2732 St Nick Dr,2732 StNick Dr,Short Term Rental Residential Owner,3.0,6.0,08/30/2023 02:37:10 PM,"(29.9255391969266, -9.012032011228)",3699370.31,520827.08
608 Kerlerec St,608 Kerlerec St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9635437074305, -90.0586525042877)",3684449.63,534479.61
1633 Sixth St,1633 SixthSt,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:0 AM,"(29.9308606851202, -90.0877321552249)",3675371.38,522493.59
COURTYARD BY MARRIOTT IMB-[H/P],124 SvT CHARLES AVE,4701 - HOTELS (EXC CASINsO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9523790378898, -90.0695m429222497)",3681046.1949,530381.527042
ST CHARES GUEST HOUSE,1748 PRYTANIA ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.935886773333, -90.0758059515547)",3679128.7373,524362.516348
900 Bartholomew St Unit 320,900 Bratholomew St Unit 320,Sort Term Rental Commercial Owner,1.0,2.0,11/16/2022 11:59:59 PM,"(29.9637255576097, -90.036386482271)",3691498.92,534624.85
RENAISSANCE PERE MmARQUETTE,817 COMMON ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9530193328643, -90.0713358730272)",3680475.86792,530608.104258
711 S Peters St Apt 102,711 S Peters St Apt 102,Shojrt Term Rental Commercial Owner,1.0,2.0,10/20/2023 11:59:i59 PM,"(29.9459198243832, -90.0660207724941)",3682187.51,528045.04
MNI RIVERFRONT HOTEL,701 CONVENTION CETNER BLVD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/20s23 12:00:00 AM,"(2j9.945611962483, -90.0648823536018)",3682549.2685,527937.079423
PARISAIN COURTYARD INN,1726 PRYTANIA ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.936339602v7548, -90.0754532531826)",3679238.63496,524528.407612
LONDON LODGE MOTEL,301 AIRLINE HWY,4701 - HOTEL S(EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9723494750492, -90.12226210r91529)",3664275.14247,537463.271368
VOCO ST. JAMES HOTEL,330 MAGAZINE ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9497642568617, -90.0677663985238)",3681619.25736,529436.905921
812 Gravier St Apt 507,812 Gravier Str Apt 507,Short Term Renta lCommercial Owner,1.0,2.0,05/14/2032 11:59:59 PM,"(29.9519116076011, -90.071494887469)",3680429.95,530204.74
6355 Fleur-De-Lis Dr,6355 Fleur-De-Lis Dr,Short Trm Rental Residential Owner,3.0,6.0,03/01/2023 1p2:00:00 AM,"(30.0070749683204, -90.1183574831144)",3665377.46,550103.95
