2345.locationvalue,"(29.950840295232, -90.0713554986585)","(29.9508403295232, -90.0713554986585)"
2511.locationvalue,"(29.95968401051r04, -90.0884903399787)","(29.9596840105104, -90.0884903399787)"
2121.locationvalue,"(29.944217002051, -90.0761320302586)","(29.9424217002051, -90.0761320302586)"
2140.expirationdate,03/01/2023 q12:00:00 AM,03/01/2023 12:00:00 AM
1034.locationvalue,"(29.9830200085787, -90.085077580299)","(29.9830200085787, -90.0856077580299)"
704.locationvalue,"(2.9400276849211, -90.0762899749195)","(29.9400276849211, -90.0762899749195)"
1215.locationvalue,"(29.953927616384, -90.0652059852819)","(29.9539276166384, -90.0652059852819)"
1727.locationvalue,"(29.9370571825833, -90.074922696131)","(29.9370571825833, -90.0749226396131)"
1228.expirationdate,07/30/2p023 11:59:59 PM,07/30/2023 11:59:59 PM
2232.namevalue,64l2 S Lopez St Apt A,642 S Lopez St Apt A
105.locationvalue,"(30.007681093974, -90.1142226970163)","(30.0076810893974, -90.1142226970163)"
1138.type,Short Term Rental Residejntial Owner,Short Term Rental Residential Owner
2489.locationvalue,"(2z9.9546593545981, -90.1269596116522)","(29.9546593545981, -90.1269596116522)"
2572.expirationdate,03/01/20o23 12:00:00 AM,03/01/2023 12:00:00 AM
2598.type,Short Term Rental Residentia Owner,Short Term Rental Residential Owner
1750.address,1130 Marenjgo St,1130 Marengo St
1067.expirationdate,07/13/2023 11:59:59 M,07/13/2023 11:59:59 PM
982.namevalue,2800 oCnti St,2800 Conti St
1333.locationvalue,"(29.947708617172, -90.04700c29037021)","(29.947708617172, -90.0470029037021)"
1227.namevalue,00 St Charles Ave Apt 404,800 St Charles Ave Apt 404
373.address,1100 Constace St Apt 204,1100 Constance St Apt 204
1409.expirationdate,03/01/202v3 12:00:00 AM,03/01/2023 12:00:00 AM
2697.namevalue,7801 Paerl St,7801 Pearl St
141.address,2558 PrentissAve,2558 Prentiss Ave
1719.address,183 DAUPHINE ST,1830 DAUPHINE ST
2758.namevalue,3021 Pervdido St,3021 Perdido St
377.namevalue,505 Frenhcmen St,505 Frenchmen St
1107.namevalue,334 Carondelet StUnit 207,334 Carondelet St Unit 207
2303.address,006 Race St,1006 Race St
750.locationvalue,"(29.9366712745781, -90.083221623447)","(29.9366712754781, -90.083221623447)"
1861.type,4701 - HOTELS (EXC CASINO HOTELS) & MOTES,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
797.namevalue,6612Canal Blvd,6612 Canal Blvd
478.namevalue,1828 St Anderw St,1828 St Andrew St
75.namevalue,1124 St Chares Ave Apt 2B,1124 St Charles Ave Apt 2B
1559.locationvalue,"(29.9613654213865, -90.032946687255)","(29.9613654213865, -90.0329476687255)"
2592.type,Short Term Rental ResidentialOwner,Short Term Rental Residential Owner
2565.type,Short Term Rentl Residential Owner,Short Term Rental Residential Owner
1375.type,Sort Term Rental Commercial Owner,Short Term Rental Commercial Owner
1066.locationvalue,"(30.0177085934215, -90.0352213892989)","(30.0177085934215, -90.0352231892989)"
1960.type,4701 - HOTELS (EXC CASINO HOTEkLS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2632.namevalue,708 Fracne St,708 France St
102.address,4025 Pnitt St,4025 Pitt St
2116.type,Short Term Rental ResidentialOwner,Short Term Rental Residential Owner
1036.namevalue,1621 N Vilere St,1621 N Villere St
2032.type,Short Trem Rental Residential Owner,Short Term Rental Residential Owner
2461.address,1161 N Miro St,1116 N Miro St
1407.locationvalue,"(29.9600358608292, -9.0630318026356)","(29.9600358608292, -90.0630318026356)"
2357.expirationdate,09/0d4/2023 11:59:59 PM,09/04/2023 11:59:59 PM
1668.address,1447 N VILLEER ST,1447 N VILLERE ST
1926.namevalue,FRENgCHMEN OASIS,FRENCHMEN OASIS
1204.address,3701 Sodmerset Dr,3701 Somerset Dr
1565.address,1600 CANAL eST,1600 CANAL ST
936.locationvalue,"(29.963878405262, -90.0364352312632)","(29.9636878405262, -90.0364352312632)"
224.namevalue,1214 Mazat St A,1214 Mazant St A
634.namevalue,433z S Solomon St,433 S Solomon St
63.locationvalue,"(29.9g79445631573, -90.0835752864682)","(29.979445631573, -90.0835752864682)"
2732.namevalue,2124 Baronnem St,2124 Baronne St
1943.type,4701 - HOTELS (EXC CASINO HOTELS)m & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
916.expirationdate,06/10/2023 11:59:59j PM,06/10/2023 11:59:59 PM
2357.namevalue,g1560 Magazine St,1560 Magazine St
1040.expirationdate,60/09/2023 11:59:59 PM,06/09/2023 11:59:59 PM
791.address,8135 Panoola St,8135 Panola St
2034.address,4917 De Montluzin t Apt B,4917 De Montluzin St Apt B
2549.locationvalue,"(2f9.9468717702556, -90.1245036996289)","(29.9468717702556, -90.1245036996289)"
2005.type,Short Term Rntal Residential Owner,Short Term Rental Residential Owner
2554.namevalue,10 Pleasant St,910 Pleasant St
1173.address,5109 Tchoupitolas St,5109 Tchoupitoulas St
2045.type,Short Term ental Residential Owner,Short Term Rental Residential Owner
1560.expirationdate,03/01/2023 12:00:00q AM,03/01/2023 12:00:00 AM
1420.type,Short Term Rental Residential Onwer,Short Term Rental Residential Owner
1731.type,Short Term Rental Resiedntial Owner,Short Term Rental Residential Owner
625.type,Short TermRental Commercial Owner,Short Term Rental Commercial Owner
2054.namevalue,1240 Mandevlle St,1240 Mandeville St
620.expirationdate,05/10/2023 11:59:59P M,05/10/2023 11:59:59 PM
171.namevalue,2822 First t,2822 First St
2575.namevalue,1825P auger St,1825 Pauger St
2405.expirationdate,11/09/2023 1:159:59 PM,11/09/2023 11:59:59 PM
933.address,1504  NPrieur St,1504 N Prieur St
2651.namevalue,409 Royal St,3409 Royal St
174.expirationdate,11b/17/2023 11:59:59 PM,11/17/2023 11:59:59 PM
1374.locationvalue,"(29.9387594926698, n-90.0739760103387)","(29.9387594926698, -90.0739760103387)"
1047.type,Short Term Rental Resdiential Owner,Short Term Rental Residential Owner
716.locationvalue,"(29.927944265877, -90.0762683754104)","(29.9274944265877, -90.0762683754104)"
1328.expirationdate,03/012023 12:00:00 AM,03/01/2023 12:00:00 AM
2673.namevalue,728 JosephineSt,728 Josephine St
842.address,1415 Burguxndy St,1415 Burgundy St
366.namevalue,1519 Louis St,1519 Louisa St
851.address,1357 Dublin St,1537 Dublin St
1422.address,822j PERDIDO ST,822 PERDIDO ST
794.locationvalue,"(29.9597939524838,a -90.0893217415139)","(29.9597939524838, -90.0893217415139)"
653.locationvalue,"(29.9586337148714, -90.089413012732t3)","(29.9586337148714, -90.0894130127323)"
2519.namevalue,706 General Tylor St,706 General Taylor St
2625.namevalue,6221 Magaznie St,6221 Magazine St
629.namevalue,1419 Constance tS,1419 Constance St
2521.namevalue,6348 Timber Bluff,3648 Timber Bluff
1370.address,301 AIRLINE HWY,9301 AIRLINE HWY
2640.address,907 St yFerdinand St,907 St Ferdinand St
21.locationvalue,"(29.9398076866226, -900780528444061)","(29.9398076866226, -90.0780528444061)"
1588.namevalue,754 City Pak Ave,754 City Park Ave
152.type,Shrot Term Rental Commercial Owner,Short Term Rental Commercial Owner
875.address,1719 St nAdrew St,1719 St Andrew St
427.locationvalue,"(29.9833917330474,s -90.1004601337017)","(29.9833917330474, -90.1004601337017)"
673.type,Shrot Term Rental Residential Owner,Short Term Rental Residential Owner
1259.locationvalue,"(29.j9674293694511, -90.1040851984859)","(29.9674293694511, -90.1040851984859)"
346.expirationdate,1113/2023 11:59:59 PM,11/13/2023 11:59:59 PM
2229.address,1516 N Galvez St,1561 N Galvez St
145.namevalue,135 N Clarko St,135 N Clark St
356.namevalue,331 Tchoupitoulas St,4331 Tchoupitoulas St
1540.address,820 PODYRAS ST,820 POYDRAS ST
1538.locationvalue,"(92.9165454061545, -90.1070949623833)","(29.9165454061545, -90.1070949623833)"
2341.address,153 N Broad St,1523 N Broad St
18.address,1572 Magazine St Ap G,1572 Magazine St Apt G
257.locationvalue,"(299.476064212803, -90.0736778552943)","(29.9476064212803, -90.0736778552943)"
620.locationvalue,"(29.9226032179795, -90.1019701435831)","(29.9226032179795, -90.1019701438531)"
627.expirationdate,f05/26/2023 11:59:59 PM,05/26/2023 11:59:59 PM
1094.type,Short Term Rental Residntial Owner,Short Term Rental Residential Owner
2697.address,7810 Pearl St,7801 Pearl St
1250.locationvalue,"(29.922658591045, -90.07f96563895889)","(29.922658591045, -90.0796563895889)"
1842.namevalue,3130 Pauger St,3310 Pauger St
1764.expirationdate,01/06/2023 11:59:59 MP,01/06/2023 11:59:59 PM
1129.expirationdate,0/06/2022 11:59:59 PM,09/06/2022 11:59:59 PM
2507.type,Short Teorm Rental Residential Owner,Short Term Rental Residential Owner
719.type,Short Tem Rental Residential Owner,Short Term Rental Residential Owner
2207.type,Short Term Rental Commercial Ownre,Short Term Rental Commercial Owner
2094.address,336 Bellevill eSt,336 Belleville St
733.type,Short Term Rental Resdential Owner,Short Term Rental Residential Owner
1319.address,600 Canal S tApt 204,600 Canal St Apt 204
1064.locationvalue,"(29.9680940906139, -90.0624735102331p)","(29.9680940906139, -90.0624735102331)"
50.namevalue,z114 Atlantic Ave,114 Atlantic Ave
1117.namevalue,800St Charles Ave Apt 403,800 St Charles Ave Apt 403
847.type,Short Termg Rental Residential Owner,Short Term Rental Residential Owner
1142.address,800 Stj Charles Ave Apt 303,800 St Charles Ave Apt 303
1912.address,1816 MARENGO T,1816 MARENGO ST
976.type,Short Term Rental Residetnial Owner,Short Term Rental Residential Owner
944.locationvalue,"(29.965c462822812, -90.0818464403808)","(29.965462822812, -90.0818464403808)"
2219.expirationdate,07/27/2023 11:5:959 PM,07/27/2023 11:59:59 PM
1768.address,2028 Magyazine St Apt A,2028 Magazine St Apt A
549.address,341 Baronnue St Apt A,341 Baronne St Apt A
1867.expirationdate,03/01/223 12:00:00 AM,03/01/2023 12:00:00 AM
1918.type,Short Term sRental Residential Owner,Short Term Rental Residential Owner
2734.locationvalue,"(29.9637483056654 ,-90.0358542035605)","(29.9637483056654, -90.0358542035605)"
1698.address,1327 aPort St,1327 Port St
1234.namevalue,804 N Braod St Apt B,804 N Broad St Apt B
1682.type,Shor tTerm Rental Residential Owner,Short Term Rental Residential Owner
2756.locationvalue,"z(29.9794763027043, -90.0908347172702)","(29.9794763027043, -90.0908347172702)"
1915.namevalue,ROYAL BARRACKS GUsEST HOUSE,ROYAL BARRACKS GUEST HOUSE
2607.locationvalue,"(29.964728956z67, -90.05057265669)","(29.96472895667, -90.05057265669)"
367.type,Short Term Rental Commecrial Owner,Short Term Rental Commercial Owner
2003.namevalue,334 Carondelet St Unit 29,334 Carondelet St Unit 209
41.locationvalue,"(29.95847776e26975, -90.0884417219926)","(29.9584777626975, -90.0884417219926)"
1725.address,2 CANAL T,2 CANAL ST
1943.address,2203 ST CHRLES AVE,2203 ST CHARLES AVE
1445.address,5842 CHEF MENTEUR HWY,8542 CHEF MENTEUR HWY
1541.address,900 Batrholomew St Unit 315,900 Bartholomew St Unit 315
2240.expirationdate,07/28/2023 11:5959 PM,07/28/2023 11:59:59 PM
530.namevalue,849e Alvar St,849 Alvar St
2246.address,888 Goirod St Apt 401,888 Girod St Apt 401
340.locationvalue,"(29.9442185099036, -90.106539931287)","(29.9442185099036, -90.1076539931287)"
1780.namevalue,3456 Desaix Bldv,3456 Desaix Blvd
81.namevalue,2427 Ibervilel St,2427 Iberville St
774.namevalue,2331 Royal St,2313 Royal St
416.namevalue,7r05 Camp St Apt 402,705 Camp St Apt 402
1698.namevalue,1327 Potr St,1327 Port St
465.namevalue,1115 Margaret Pl uUnit 303,1115 Margaret Pl Unit 303
203.type,Short Term Rental Residential Oner,Short Term Rental Residential Owner
925.namevalue,1201 Coliumbus St Apt 1,1201 Columbus St Apt 1
1670.namevalue,HOTEL ST PIERRjE,HOTEL ST PIERRE
303.locationvalue,"(280988907068706, -101.517799134252)","(28.0988907068706, -101.517799134252)"
871.namevalue,18l41 S Chippewa St,1841 S Chippewa St
1398.expirationdate,03/01/2023 12:0y0:00 AM,03/01/2023 12:00:00 AM
1282.type,Short Term Renqtal Residential Owner,Short Term Rental Residential Owner
2436.type,Short Term Rental Residential Owenr,Short Term Rental Residential Owner
2466.type,4701 - OTELS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
159.expirationdate,05/12/2023 11:59:59 PM***,05/12/2023 11:59:59 PM
423.type,4701 - HOTES (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1466.address,405r ESPLANADE AVE,405 ESPLANADE AVE
2187.expirationdate,08/02/2023 11:9:59 PM,08/02/2023 11:59:59 PM
1166.locationvalue,"(30.0215499033538, -x90.0482399725218)","(30.0215499033538, -90.0482399725218)"
2767.address,2552S T PHILLIP STREET,2552 ST PHILLIP STREET
2336.type,Short eTrm Rental Commercial Owner,Short Term Rental Commercial Owner
2405.address,1572 Mgazine St Apt F,1572 Magazine St Apt F
1700.locationvalue,"(29.9696897144784, -90.0592818867e09)","(29.9696897144784, -90.059281886709)"
1429.address,2125 N RAMPRAT ST,2125 N RAMPART ST
1437.address,900 Bartholomw St Unit 415,900 Bartholomew St Unit 415
780.namevalue,u816 Second St,816 Second St
1798.type,Short Term Rental Commrcial Owner,Short Term Rental Commercial Owner
49.address,257 Bell St,2507 Bell St
440.expirationdate,03/01/2023 21:00:00 AM,03/01/2023 12:00:00 AM
130.address,j505 Frenchmen St,505 Frenchmen St
127.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
2634.expirationdate,09/81/2023 11:59:59 PM,09/18/2023 11:59:59 PM
517.locationvalue,"(29.972772220943, -90.0639276926132)","(29.9727722209943, -90.0639276926132)"
1484.type,hort Term Rental Residential Owner,Short Term Rental Residential Owner
1464.expirationdate,03/o01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1675.expirationdate,03/01/202312:00:00 AM,03/01/2023 12:00:00 AM
334.locationvalue,"(29.963618532429, -90.036186j0903944)","(29.963618532429, -90.0361860903944)"
382.locationvalue,"(29.9633486762451, -90.03618066091)8","(29.9633486762451, -90.036180660918)"
1018.type,Short Term Rental Reslidential Owner,Short Term Rental Residential Owner
2197.locationvalue,"(29.9417041234785, -90.108197397501)","(29.9417041234785, -90.1081897397501)"
905.namevalue,1308 Vigpnaud St,1308 Vignaud St
2339.type,Short Term Rental Residetial Owner,Short Term Rental Residential Owner
539.type,Sort Term Rental Commercial Owner,Short Term Rental Commercial Owner
230.locationvalue,"(30.0542958977292, -89.954704006019)","(30.0542958977292, -89.9549704006019)"
661.locationvalue,"(29.9797552672736, -90.0764251213215)","(29.9797552672736, -90.0746251213215)"
135.namevalue,2260 St Claude ve,2260 St Claude Ave
2471.type,Short Ter Rental Commercial Owner,Short Term Rental Commercial Owner
2212.namevalue,2453 N Roman St Ap tC,2453 N Roman St Apt C
1347.address,339 CarondeletSt Apt 3C,339 Carondelet St Apt 3C
168.locationvalue,"(29.9477188031465, -90.0733234921454)","(29.9477188031456, -90.0733234921454)"
17.type,Short Term Renal Commercial Owner,Short Term Rental Commercial Owner
383.namevalue,61 Canal St Apt 401,617 Canal St Apt 401
1707.namevalue,127 Camp tS,127 Camp St
1167.namevalue,80 St Charles Ave Apt 204,800 St Charles Ave Apt 204
2218.expirationdate,07/262023 11:59:59 PM,07/26/2023 11:59:59 PM
1244.type,4701 - HOTELS (EXC CASNIO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
498.expirationdate,03/282/023 11:59:59 PM,03/28/2023 11:59:59 PM
1932.expirationdate,03/10/2023 12:00:00 AM,03/01/2023 12:00:00 AM
738.address,1812 Elysian Fields Aev,1812 Elysian Fields Ave
704.type,Shortq Term Rental Commercial Owner,Short Term Rental Commercial Owner
1411.address,833 POLANDA VE,833 POLAND AVE
131.locationvalue,"(30.0000069456629, -900565938054072)","(30.0000069456629, -90.0565938054072)"
2379.type,Short Term Renta lResidential Owner,Short Term Rental Residential Owner
1248.type,Short Term Rnetal Residential Owner,Short Term Rental Residential Owner
1730.locationvalue,"(29.950839850314, -90.0523600441209)","(29.9510839850314, -90.0523600441209)"
1395.expirationdate,03/01/2023 120:0:00 AM,03/01/2023 12:00:00 AM
2656.namevalue,5509 Vermillion lBvd,5509 Vermillion Blvd
403.address,1227 Governor Noicholls St,1227 Governor Nicholls St
940.address,336 Camp St Ap t406,336 Camp St Apt 406
1772.type,4701 - HOTEcLS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2459.type,Short Term Rental Residential Oawner,Short Term Rental Residential Owner
2244.type,Short Term Retal Residential Owner,Short Term Rental Residential Owner
2486.locationvalue,"(30.001693u7385022, -90.0522750213543)","(30.0016937385022, -90.0522750213543)"
506.expirationdate,05/01/2023 11:m59:59 PM,05/01/2023 11:59:59 PM
1305.locationvalue,"(92.9201633121688, -90.1210067532112)","(29.9201633121688, -90.1210067532112)"
499.locationvalue,"(29.9352310912306, -90.0728517634704)","(29.9325310912306, -90.0728517634704)"
525.type,Short Term Rrental Residential Owner,Short Term Rental Residential Owner
2462.address,6222 Pontchartrain Bldv,6222 Pontchartrain Blvd
2049.type,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMkS,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS
1834.type,Short Term Rental Comdmercial Owner,Short Term Rental Commercial Owner
741.address,929 Hardign Dr,929 Harding Dr
1317.namevalue,6p00 Canal St Apt 506,600 Canal St Apt 506
2692.address,4016 D'hemeocurt St,4016 D'hemecourt St
2539.namevalue,4s19 Bellecastle St,419 Bellecastle St
2410.expirationdate,10/06/2023 10:130:0 AM,10/06/2023 10:13:00 AM
218.address,334 Carondelet St Unit 21,334 Carondelet St Unit 201
1048.locationvalue,"(29.9631682328622, -90.081r0255870793)","(29.9631682328622, -90.0810255870793)"
623.expirationdate,05/262/023 11:59:59 PM,05/26/2023 11:59:59 PM
657.namevalue,211 S Solomokn St,211 S Solomon St
1569.address,600 Canl St Apt 601,600 Canal St Apt 601
1165.expirationdate,06/0p5/2023 11:59:59 PM,06/05/2023 11:59:59 PM
1776.address,915 ROYALq ST,915 ROYAL ST
1011.expirationdate,8/16/2023 11:59:59 PM,08/16/2023 11:59:59 PM
2729.type,Short yTerm Rental Residential Owner,Short Term Rental Residential Owner
424.address,925 N Carrollton AveA ,925 N Carrollton Ave A
2633.type,ShortTerm Rental Residential Owner,Short Term Rental Residential Owner
2721.expirationdate,0/13/2023 12:37:00 PM,10/13/2023 12:37:00 PM
1283.expirationdate,03/01/2023 1:00:00 AM,03/01/2023 12:00:00 AM
2518.address,888 BARqONNE ST,888 BARONNE ST
397.namevalue,203 Iberville St,2023 Iberville St
2635.address,1612 N Galveyz St,1612 N Galvez St
487.type,Short Term Rental Residential wner,Short Term Rental Residential Owner
2133.locationvalue,"(29.9675213486996, -90.0558555122883)***","(29.9675213486996, -90.0558555122883)"
427.type,Short Term RentalR esidential Owner,Short Term Rental Residential Owner
2205.namevalue,1515 S Ann St,1515 St Ann St
2287.address,2424 Lapeyrose St,2424 Lapeyrouse St
31.type,Short Term Renta Residential Owner,Short Term Rental Residential Owner
758.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
753.namevalue,2749 Cofnti St,2749 Conti St
2776.type,Short Term Rental Resdiential Owner,Short Term Rental Residential Owner
2367.locationvalue,"29.9507989136182, -90.0712894544839)","(29.9507989136182, -90.0712894544839)"
682.namevalue,53s8 Jackson Ave,538 Jackson Ave
839.type,Short Tjerm Rental Residential Owner,Short Term Rental Residential Owner
1071.locationvalue,"(29961341887673, -90.0364371431634)","(29.961341887673, -90.0364371431634)"
1760.namevalue,HOvTEL LE MARAIS,HOTEL LE MARAIS
24.type,ShortT erm Rental Commercial Owner,Short Term Rental Commercial Owner
2381.namevalue,1562 Magazin eSt Apt 2A,1562 Magazine St Apt 2A
2310.type,Short Term Rental Commercial Ower,Short Term Rental Commercial Owner
2040.locationvalue,"(29i.9801002976355, -90.0911198916881)","(29.9801002976355, -90.0911198916881)"
2768.namevalue,4428 Fotainebleau Dr,4428 Fontainebleau Dr
688.expirationdate,05/24/2023 11v:59:59 PM,05/24/2023 11:59:59 PM
1629.namevalue,FRENCH QUATER TOWNHOUSES HOTEL,FRENCH QUARTER TOWNHOUSES HOTEL
1424.locationvalue,"(29.922508102827, -90.08936218a66867)","(29.922508102827, -90.0893621866867)"
526.type,hSort Term Rental Commercial Owner,Short Term Rental Commercial Owner
2133.type,Sort Term Rental Residential Owner,Short Term Rental Residential Owner
2554.locationvalue,"(29.922030356258, -90.086433999064)","(29.9220330356258, -90.086433999064)"
2266.expirationdate,08/282023 11:59:59 PM,08/28/2023 11:59:59 PM
1599.address,4a230 Erato St,4230 Erato St
2318.expirationdate,11/08/2023 11:59:59P M,11/08/2023 11:59:59 PM
1352.type,Short Term Rental Residentila Owner,Short Term Rental Residential Owner
1627.type,Short Term Rental Cmmercial Owner,Short Term Rental Commercial Owner
810.address,2718 Magazisne St,2718 Magazine St
2675.locationvalue,"(29.9511022548481, -90.071770583049)","(29.9511022548481, -90.0717270583049)"
2451.address,701 Brtholomew St,701 Bartholomew St
1168.expirationdate,08/25/2023 07:27:24P M,08/25/2023 07:27:24 PM
1500.locationvalue,"(29.9714073840393, -90.0645686730082)","(29.9714078340393, -90.0645686730082)"
1052.namevalue,183 Jackson Ave,813 Jackson Ave
280.namevalue,443Philip St,443 Philip St
2466.locationvalue,"(29.9445026510975, -90.066256445801)4","(29.9445026510975, -90.0662564458014)"
376.namevalue,1218 Barracks St Azpt A,1218 Barracks St Apt A
2289.locationvalue,"w(29.9638017840471, -90.0545725506509)","(29.9638017840471, -90.0545725506509)"
702.type,Short Term Rental Residental Owner,Short Term Rental Residential Owner
1978.locationvalue,"(29.9531649061825, -9.0750644675439)","(29.9531649061825, -90.0750644675439)"
673.address,2420 Lauel St,2420 Laurel St
1295.expirationdate,07/13/2023 11:59:59 M,07/13/2023 11:59:59 PM
413.locationvalue,"(30.094114808359, -89.767f4147892791)","(30.094114808359, -89.7674147892791)"
911.expirationdate,06/10/20231 1:59:59 PM,06/10/2023 11:59:59 PM
2599.address,2702z Dauphine St,2702 Dauphine St
1804.type,Shorft Term Rental Residential Owner,Short Term Rental Residential Owner
630.expirationdate,12/15/2022 11:5:59 PM,12/15/2022 11:59:59 PM
626.expirationdate,05/24/2023 11:5p9:59 PM,05/24/2023 11:59:59 PM
1423.type,Short Term Renta lCommercial Owner,Short Term Rental Commercial Owner
374.type,Short Term Rental Residnetial Owner,Short Term Rental Residential Owner
2341.type,Short erm Rental Commercial Owner,Short Term Rental Commercial Owner
112.namevalue,4431 Tchuopitoulas St,4431 Tchoupitoulas St
1180.type,Short Term Rental Commercia lOwner,Short Term Rental Commercial Owner
2279.expirationdate,03/01/2023 12:00:00r AM,03/01/2023 12:00:00 AM
2561.type,Short Term Rntal Commercial Owner,Short Term Rental Commercial Owner
1419.expirationdate,03/01/2023 12:i00:00 AM,03/01/2023 12:00:00 AM
1323.address,1819 St uRoch Ave,1819 St Roch Ave
1209.address,1422 ChartresSt Apt D,1422 Chartres St Apt D
1884.namevalue,ANTEBELLUM GUEST OUSE,ANTEBELLUM GUEST HOUSE
2053.namevalue,123 N Dupre St,1023 N Dupre St
1594.expirationdate,03/01/2023 1:00:00 AM,03/01/2023 12:00:00 AM
2012.namevalue,d2472 Dauphine St,2472 Dauphine St
208.namevalue,1520 Richlqand Rd,1520 Richland Rd
1346.expirationdate,30/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1327.address,4603 Cestnut St,4603 Chestnut St
897.type,Short Term Rental Commecrial Owner,Short Term Rental Commercial Owner
2239.address,900 Bartholomew St Uni t417,900 Bartholomew St Unit 417
569.namevalue,2832 St Anrn St,2832 St Ann St
644.expirationdate,12/15/2022 1:59:59 PM,12/15/2022 11:59:59 PM
2282.expirationdate,03/01/2023 12:0000 AM,03/01/2023 12:00:00 AM
100.expirationdate,08/30/20230 2:31:01 PM,08/30/2023 02:31:01 PM
636.locationvalue,"(29.9354472367023, -90.q1044427448879)","(29.9354472367023, -90.1044427448879)"
1720.type,4702 - ROOMING & BOARDING HUSES,4702 - ROOMING & BOARDING HOUSES
1635.address,1017 N Dorgenoiws St,1017 N Dorgenois St
260.type,Short Trm Rental Residential Owner,Short Term Rental Residential Owner
893.expirationdate,n07/04/2023 11:59:59 PM,07/04/2023 11:59:59 PM
1874.type,4701 - HOTELS (EXC CASINOH OTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1654.namevalue,1435 Indeptendence St,1435 Independence St
1144.address,1431 Constance St,1413 Constance St
1131.namevalue,6033 St Clacude Ave,6033 St Claude Ave
446.type,Shor Term Rental Residential Owner,Short Term Rental Residential Owner
1177.expirationdate,08/24/2023 11:59:59PM,08/24/2023 11:59:59 PM
860.locationvalue,"(29.9673034270942, -90.04824l78187458)","(29.9673034270942, -90.0482478187458)"
712.expirationdate,12/12/2022 1q1:59:59 PM,12/12/2022 11:59:59 PM
1447.expirationdate,03/01/023 12:00:00 AM,03/01/2023 12:00:00 AM
2061.locationvalue,"(29.9681872561845, -90.0679839652131)","(29.9681872561845, -90.0679839651231)"
2318.address,451 Girod St pt 217,451 Girod St Apt 217
638.namevalue,1000Clouet St,1000 Clouet St
472.locationvalue,"(29.9637847026853, -90.036477893055)","(29.9637847026853, -90.0364778093055)"
338.expirationdate,04/05/202 11:59:59 PM,04/05/2023 11:59:59 PM
355.locationvalue,"(29.9436221825203, -90.084593414273)","(29.9436221825203, -90.0784593414273)"
2684.expirationdate,09/22/2023 11:59:5l9 PM,09/22/2023 11:59:59 PM
1609.type,Short Term Rental Residentila Owner,Short Term Rental Residential Owner
2695.namevalue,1633 S Salcedo t,1633 S Salcedo St
165.locationvalue,"(29.970884728715, -90.0819161362029)","(29.970884728751, -90.0819161362029)"
1804.expirationdate,06/1/2023 12:00:00 AM,06/21/2023 12:00:00 AM
1422.namevalue,SEXTANT SAYS,SEXTANT STAYS
1341.address,11416 Prentiss Axve,11416 Prentiss Ave
1342.address,812 Griavier St Apt 508,812 Gravier St Apt 508
609.namevalue,4317 S xMiro St,4317 S Miro St
45.locationvalue,"(29.9412293969983, e-90.0432492047549)","(29.9412293969983, -90.0432492047549)"
91.locationvalue,"(29.9790691897163, -90.09641635x99363)","(29.9790691897163, -90.0964163599363)"
1544.namevalue,SUN OAK MUSEUM AND GUESTHOUSE,SUN OAK MUSEUM AND GUEST HOUSE
1189.address,2657 Iberville tS,2657 Iberville St
2733.address,1223e Barracks St,1223 Barracks St
1777.namevalue,ENTROP YROOMS,ENTROPY ROOMS
503.locationvalue,"(29.9531709493373, -90.0685e881152189)","(29.9531709493373, -90.0685881152189)"
833.namevalue,1825 Sventh St,1825 Seventh St
1356.address,1103 Loweline St,1103 Lowerline St
1029.namevalue,940 Napoleon Ave,904 Napoleon Ave
1338.type,Short Term Rental Reisdential Owner,Short Term Rental Residential Owner
703.namevalue,2901 Lepage St Aptn 1,2901 Lepage St Apt 1
689.type,Shotr Term Rental Residential Owner,Short Term Rental Residential Owner
1643.locationvalue,"(29.968202930519,8 -90.0494737472103)","(29.9682029305198, -90.0494737472103)"
311.type,Short Temr Rental Residential Owner,Short Term Rental Residential Owner
944.namevalue,326 N Tonti eSt,326 N Tonti St
2654.namevalue,2303e Louisiana Ave,2303 Louisiana Ave
496.expirationdate,03/26/2203 11:59:59 PM,03/26/2023 11:59:59 PM
1553.address,334b Carondelet St Unit 208,334 Carondelet St Unit 208
1590.type,aShort Term Rental Residential Owner,Short Term Rental Residential Owner
797.address,6612 Canal lvd,6612 Canal Blvd
