2290.stlnstlocname,EAST EM ST,EAST ELM ST
2094.xsp,qCONT,CONT
1256.stlnstlocname,DcURHAM RD,DURHAM RD
2196.townname,GOSEHN,GOSHEN
1802.global_id,38076b5d-1aee-41b3-8f69-5bf21468f59,38076b5d-1aee-41b3-8f69-5bf2a1468f59
1309.global_id,2f335e91-b0e0-4201-9718-df0f82ca89d9d,2f335e91-b0e0-4201-9718-d0f82ca89d9d
2272.routeid,-4E,4-E
2578.stlnstlocname,WHTIE TURKEY RD,WHITE TURKEY RD
476.routeid,2v-E,2-E
287.routeid,u82-E,82-E
1744.global_id,01d1e22d-a5e1-4590-9687-652e7bf017ob0,01d1e22d-a5e1-4590-9687-652e7bf017b0
1947.routeid,16-N,116-N
1222.stlnstlocname,NEW HARFORD RD,NEW HARTFORD RD
662.townname,STRATOFRD,STRATFORD
901.townname,VENRON,VERNON
225.global_id,513f7aa7-7444-4133-9c3-c0e2425352368,513f7aa7-7444-4133-9c3c-0e2425352368
1135.townname,NEW MIFORD,NEW MILFORD
117.stlnstlocname,PROVIDENC-NEW LONDON TPKE,PROVIDENCE-NEW LONDON TPKE
1063.xsp,COrNT,CONT
21.global_id,9465a035-h2fbd-4db1-800a-5d5c8cbd4924,9465a035-2fbd-4db1-800a-5d5c8cbd4924
2165.stlnstlocname,GRANVILLE DR,GRANVILLE RD
1990.xsp,COT,CONT
791.global_id,f17b3b6-ec22-479b-a858-b6c8376dbbcf,ff17b3b6-ec22-479b-a858-b6c8376dbbcf
1727.routeid,2E-,2-E
1763.townname,SvPRAGUE,SPRAGUE
1573.townname,NRWICH,NORWICH
1765.stlnstlocname,ENW MILFORD RD EAST,NEW MILFORD RD EAST
2410.routeid,1N,1-N
1711.xsp,LGO,LOG
880.townname,FARIMNGTON,FARMINGTON
2236.townname,BETHEmL,BETHEL
1142.routeid,104N,104-N
2420.routeid,1h7-N,17-N
2355.stlnstlocname,GROV ST,GROVE ST
2576.xsp,ONT,CONT
1648.routeid,530E,530-E
1293.global_id,19c7e9e5-aabc-40d6-aecb-5d7d2d2886ap3,19c7e9e5-aabc-40d6-aecb-5d7d2d2886a3
234.global_id,f031d41f-9508-4224-b410-9e7881bcc89b,f031d41f-9508-4224-b410-9e7881bcc8b9
2189.townname,ESSEkX,ESSEX
2335.xsp,COTN,CONT
2458.xsp,ONT,CONT
310.stlnstlocname,OLLAND STAGE RD,TOLLAND STAGE RD
1933.townname,MIDDELFIELD,MIDDLEFIELD
1810.routeid,53-mS,53-S
381.townname,EpAST WINDSOR,EAST WINDSOR
865.stlnstlocname,MnAIN ST,MAIN ST
988.global_id,fe5eee4-0571e-4d09-a08a-5fa4191b644f,fe5eee40-571e-4d09-a08a-5fa4191b644f
613.stlnstlocname,DEVIE ST,DEVINE ST
1505.routeid,14-E,146-E
472.xsp,yCONT,CONT
2397.townname,NEW LONuDON,NEW LONDON
2060.routeid,693-eN,693-N
83.routeid,164N,164-N
739.xsp,COTN,CONT
1176.townname,BEACON FALLS***,BEACON FALLS
913.stlnstlocname,SCHOOL TS,SCHOOL ST
120.routeid,187N-,187-N
1981.xsp,COTN,CONT
552.global_id,3fda3f45-c560-456c-9408-f74ecfe122406,3fda3f45-c560-456c-9408-f74efe122406
690.routeid,212-N,122-N
1902.global_id,16bbfb00-5418-433d-a8d2-1463ebc0796,16bbfb00-5418-433d-a8d2-1463eb8c0796
563.routeid,66E-,66-E
1322.global_id,26188cf3k-f8d4-49e4-92fd-babca9ecfa5f,26188cf3-f8d4-49e4-92fd-babca9ecfa5f
1877.global_id,f98e14e-70c5-4bc8-897d-6dfa9115e396,f98ae14e-70c5-4bc8-897d-6dfa9115e396
1935.stlnstlocname,BRIDE ST,BRIDGE ST
1039.routeid,7-S,75-S
1468.townname,TOLAND,TOLLAND
627.stlnstlocname,APTTERSON RD,PATTERSON RD
248.townname,NEWOWN,NEWTOWN
871.global_id,b1d1450f-ab2c-4084-8a92-jb70d5ad5a0c6,b1d1450f-ab2c-4084-8a92-b70d5ad5a0c6
1887.routeid,-6E,6-E
2327.xsp,COTN,CONT
383.global_id,fa4b676en-b094-42c0-a837-c6f5520b2f67,fa4b676e-b094-42c0-a837-c6f5520b2f67
1681.xsp,COTN,CONT
2564.routeid,8-N,83-N
2585.stlnstlocname,HLAL AVE EXT,HALL AVE EXT
1911.townname,BOLTxON,BOLTON
952.routeid,-6W,6-W
443.xsp,ONT,CONT
134.townname,ROCY HILL,ROCKY HILL
2287.routeid,47-S,847-S
822.xsp,COTN,CONT
1353.stlnstlocname,ESAT HADDAM RD,EAST HADDAM RD
2440.routeid,18-N,187-N
2442.xsp,ONT,CONT
1340.routeid,1z74-E,174-E
2550.global_id,795f4d51-dd93-4acc-a515-7581c4257c9,795f4d51-dd93-4acc-a515-71581c4257c9
1523.routeid,1N,1-N
1465.global_id,18799bb3-d119-4b6d-9d13-686d8647oe6b6,18799bb3-d119-4b6d-9d13-686d8647e6b6
1049.stlnstlocname,NEW MILFORD jTPKE,NEW MILFORD TPKE
1624.routeid,17N,17-N
2223.stlnstlocname,DOiWD AVE,DOWD AVE
857.stlnstlocname,SALTONSTALL PKYW,SALTONSTALL PKWY
794.townname,BARNFORD,BRANFORD
2576.routeid,83i8-E,838-E
1975.stlnstlocname,NORWICH VAE,NORWICH AVE
1043.global_id,4520a6a3-185e-4cb2-xb3a1-c863fc6d353d,4520a6a3-185e-4cb2-b3a1-c863fc6d353d
1195.townname,THOAMSTON,THOMASTON
2422.global_id,62887f04-f550-4e10-81c5-a6530e07a323,26887f04-f550-4e10-81c5-a6530e07a323
2432.townname,PLAIeNVILLE,PLAINVILLE
1371.xsp,ReEV,REV
372.townname,EWTHERSFIELD,WETHERSFIELD
690.stlnstlocname,FIRST VE,FIRST AVE
2290.xsp,LGO,LOG
1960.global_id,87f7f10f-6f2d-4f2b-a717-2c41b787a259,87f7f01f-6f2d-4f2b-a717-2c41b787a259
2528.xsp,CONkT,CONT
109.xsp,OCNT,CONT
2343.routeid,5-gS,5-S
1773.routeid,203N,203-N
1942.townname,STRATFODR,STRATFORD
1649.townname,BOLyTON,BOLTON
2351.xsp,tCONT,CONT
850.routeid,A-E,2A-E
260.global_id,0c2c6f17-693c4bc2-9960-d3cf49425c6a,0c2c6f17-693c-4bc2-9960-d3cf49425c6a
2003.stlnstlocname,RUMAN ST,TRUMAN ST
1249.global_id,ce38861e-e2e4-44d5-bcf5-37f6fe642e42***,ce38861e-e2e4-44d5-bcf5-37f6fe642e42
1496.xsp,COT,CONT
2436.global_id,d454bb9-e99a-44d4-ae88-e26d879865f1,d4954bb9-e99a-44d4-ae88-e26d879865f1
1922.townname,WILTqON,WILTON
1225.routeid,71h1-N,711-N
303.xsp,COTN,CONT
1842.townname,MILFRD,MILFORD
848.global_id,39f2e0cf-a1a-4f17-8c43-38fcb7d84116,39f2e0cf-a1ab-4f17-8c43-38fcb7d84116
2211.townname,NEFIELD,ENFIELD
119.stlnstlocname,IMSBURY RD,SIMSBURY RD
1589.global_id,d52c4ae3c-6238-4fc4-90d4-ecb127968633,d524ae3c-6238-4fc4-90d4-ecb127968633
1473.townname,zEAST LYME,EAST LYME
396.xsp,RV,REV
1885.townname,WOODBURY***,WOODBURY
1176.global_id,a0a3eca0-2e04-4d87-8e00-mf62ffa5abb99,a0a3eca0-2e04-4d87-8e00-f62ffa5abb99
1352.townname,ASLEM,SALEM
153.routeid,202N-,202-N
2166.routeid,j822-E,822-E
2190.global_id,d71049ac-3e88-4dda-bc5e-8df3313091546,d71049ac-3e88-4dda-bc5e-8d3313091546
1824.routeid,59-N,159-N
1395.routeid,8-S,85-S
142.global_id,a6c22ef0-df81-4867-90d7-f5507628f5159,a6c22ef0-df81-4867-90d7-5507628f5159
90.stlnstlocname,CANON RD,CANTON RD
778.stlnstlocname,KINGST,KING ST
401.global_id,e2cf7ccf-4eb2-4619a-e9c-2028ec5a4e53,e2cf7ccf-4eb2-4619-ae9c-2028ec5a4e53
1596.stlnstlocname,AIN ST,MAIN ST
2239.stlnstlocname,WILLIMANTIC DR,WILLIMANTIC RD
2454.global_id,59f0ad3b-755b-4d55-aae9-b983d6025ecj0,59f0ad3b-755b-4d55-aae9-b983d6025ec0
1081.xsp,CNT,CONT
1008.townname,WINDHMA,WINDHAM
2253.global_id,cf4acd4-d8767-4161-ac1f-f95087ee8b9e,cf4acd4d-8767-4161-ac1f-f95087ee8b9e
1452.townname,BETHAYN,BETHANY
680.townname,MORIS,MORRIS
2151.townname,DEaRBY,DERBY
1193.townname,NEW HaAVEN,NEW HAVEN
2565.stlnstlocname,MAIN TS,MAIN ST
166.xsp,CNT,CONT
1548.stlnstlocname,BAILtEYVILLE RD,BAILEYVILLE RD
244.townname,BRIDGEPROT,BRIDGEPORT
2111.stlnstlocname,BIDGE ST,BRIDGE ST
354.xsp,OCNT,CONT
2135.stlnstlocname,BROAD T,BROAD ST
319.global_id,1dd1bb75-becb-4bv1a-8220-ebd8bc5ce1e8,1dd1bb75-becb-4b1a-8220-ebd8bc5ce1e8
208.xsp,COT,CONT
2464.townname,WOODSTOKC,WOODSTOCK
946.global_id,355e9cce-b2dc-40a5-7bc2-97036d45f2f9,355e9cce-b2dc-40a5-b7c2-97036d45f2f9
1355.global_id,6e1252cc-16d1-478f-9b41-49b065e23afe***,6e1252cc-16d1-478f-9b41-49b065e23afe
2226.global_id,55016a49-f7ce472f-b0a8-44ac34bb60ca,55016a49-f7ce-472f-b0a8-44ac34bb60ca
616.global_id,2694ca0c-c034-k4188-a781-ca1286e2bda9,2694ca0c-c034-4188-a781-ca1286e2bda9
1502.routeid,14-E,140-E
595.stlnstlocname,MARLBOROGH ST,MARLBOROUGH ST
198.global_id,17f0e640-2bf6-4d2-d8512-4b8982df4492,17f0e640-2bf6-4d2d-8512-4b8982df4492
1969.xsp,COT,CONT
1829.routeid,535-rN,535-N
1630.xsp,COTN,CONT
1456.townname,WATERBRUY,WATERBURY
1784.stlnstlocname,MAITY RD,AMITY RD
2430.global_id,ad52cc58-0e1f-4a12-95a-a0f98c5e8ab50,ad52cc58-0e1f-4a12-95aa-0f98c5e8ab50
606.routeid,71-uN,71-N
1501.global_id,540c837e-2b35-46e0-beb5-ca8756cef54e,540c873e-2b35-46e0-beb5-ca8756cef54e
873.routeid,32N-,32-N
2210.xsp,CNT,CONT
846.routeid,6-E,16-E
1971.global_id,4134f018-b228-408c-9b7-292d7b5bc4a8,4134f018-b228-408c-91b7-292d7b5bc4a8
777.global_id,038ca525-ba3b-4ce9-d46-c4873a560e07,038ca525-ba3b-4ce9-8d46-c4873a560e07
2512.stlnstlocname,GLASGpO RD,GLASGO RD
348.routeid,08-N,108-N
2574.townname,TORrRINGTON,TORRINGTON
1756.townname,DANBURoY,DANBURY
659.global_id,d6b40521-10dc-4d50-b475-33e9200b328e,d6b40521-10dc-4d50-b475-33e92003b28e
1313.xsp,COTN,CONT
1477.xsp,CxONT,CONT
1640.global_id,94740d6f-845b-4acf-9226-a756010d2f0d,94740d6f-845b-4acf-9226-a756010df20d
18.stlnstlocname,HOY TST,HOYT ST
544.stlnstlocname,BOSTON PTKE,BOSTON TPKE
1664.stlnstlocname,CLAPBOAR DRIDGE RD,CLAPBOARD RIDGE RD
1121.routeid,172N-,172-N
967.xsp,qCONT,CONT
774.xsp,kCONT,CONT
1980.stlnstlocname,ORTH ST,NORTH ST
2364.townname,NEoWTOWN,NEWTOWN
1305.routeid,8-E,80-E
689.xsp,OG,LOG
1888.xsp,CsONT,CONT
1025.xsp,COTN,CONT
1407.stlnstlocname,WINDOSR AVE,WINDSOR AVE
846.townname,LEBNON,LEBANON
209.global_id,127fbdeb-f77a-48f8-b713-fcde10a2a83c,127fbdeb-f77a-48f8-b713-fcde10a2a8c3
1397.xsp,ONT,CONT
2240.global_id,1dc84a05-2123-4ea3a258-5c4bc5b10e2c,1dc84a05-2123-4ea3-a258-5c4bc5b10e2c
1956.routeid,50-3W,503-W
1147.stlnstlocname,TORRINFORD ST,TORRINGFORD ST
2260.stlnstlocname,tWEST ST,WEST ST
644.xsp,CbONT,CONT
2187.xsp,RVE,REV
1182.stlnstlocname,KENT-CORNWALLRD,KENT-CORNWALL RD
241.xsp,ONT,CONT
2065.xsp,LG,LOG
1662.townname,BLOOMFuIELD,BLOOMFIELD
670.xsp,LGO,LOG
1410.global_id,66f7c91b-ce58-14ae-93d5-d6d72442997b,66f7c91b-ce58-41ae-93d5-d6d72442997b
2345.xsp,LG,LOG
277.routeid,7N-,7-N
2079.global_id,501e2956-b6c4-4ce7-bdb1-c2538d0ad385,501e2956-b6c4-4ce7-bdb1-c2538d0a3d85
599.routeid,6-7E,67-E
329.townname,SCOTLmAND,SCOTLAND
1738.routeid,q39-N,39-N
1775.global_id,dd21d474-805b-4226-88cb-b69cff06b0d,dd21d474-805b-4226-88cb-b69cff061b0d
168.xsp,COdNT,CONT
576.global_id,4f13820c-as5c5-4d9d-bc94-d39ad964f27b,4f13820c-a5c5-4d9d-bc94-d39ad964f27b
740.global_id,06514f1-58ef-4642-a931-33ee882b12ac,06514f81-58ef-4642-a931-33ee882b12ac
2260.townname,BISTOL,BRISTOL
921.stlnstlocname,OAKLAND RuD,OAKLAND RD
810.global_id,9d58271a-98cb-44d4-b98a-2h741e02677e8,9d58271a-98cb-44d4-b98a-2741e02677e8
567.routeid,90-E,490-E
407.global_id,4d96b7a-ab05-49ba-a9b8-aff4dfa2d86e,4ad96b7a-ab05-49ba-a9b8-aff4dfa2d86e
684.townname,EAST HARFORD,EAST HARTFORD
1328.stlnstlocname,DURHA RD,DURHAM RD
1632.xsp,CONtT,CONT
1366.stlnstlocname,MAIN ST NvORTH,MAIN ST NORTH
527.xsp,COT,CONT
541.xsp,RVE,REV
2379.global_id,233101f5-9121-4ac1-9eeb8-0182cd4d80f,233101f5-9121-4ac1-9eeb-80182cd4d80f
1589.xsp,COTN,CONT
390.stlnstlocname,STATFORD AVE,STRATFORD AVE
797.routeid,3p1-E,31-E
1814.townname,zWATERFORD,WATERFORD
2302.routeid,729E-,729-E
1961.stlnstlocname,BERLNI RD,BERLIN RD
2154.stlnstlocname,WARREN DR,WARREN RD
1651.townname,MANCHETSER,MANCHESTER
1065.xsp,RVE,REV
900.routeid,41-N,541-N
2471.townname,SHELTN,SHELTON
90.xsp,yCONT,CONT
2093.xsp,COfNT,CONT
1867.xsp,CNOT,CONT
1478.routeid,9q4-W,94-W
89.xsp,CONhT,CONT
256.stlnstlocname,NORTH MAIN TS,NORTH MAIN ST
1347.townname,ACNTON,CANTON
1049.xsp,xCONT,CONT
2593.xsp,CONyT,CONT
2356.townname,NEW HAVEnN,NEW HAVEN
53.global_id,8386b741-b6c2-48ca-a9b1-aed873e6cce2,8386b741-b6c2-48ca-a9b1-ae8d73e6cce2
391.townname,FAIRIELD,FAIRFIELD
1514.stlnstlocname,BOSTON TKPE,BOSTON TPKE
639.stlnstlocname,TOWNe ST,TOWN ST
1635.townname,DERY,DERBY
1519.global_id,fbc22576-f9af-4360-a5fc-5e09f016478a,fbc22576-f9af-4360-a5fc-5e09f106478a
1821.stlnstlocname,MInDDLEFIELD ST,MIDDLEFIELD ST
2358.global_id,da1338b3-13bd-4c28-92a6-03758d2aa733,da1338b3-1b3d-4c28-92a6-03758d2aa733
2427.global_id,8ce1e418-3322-4c33-bef96-4b9314c0798,8ce1e418-3322-4c33-bef9-64b9314c0798
1055.stlnstlocname,OLCOTT RD,WOLCOTT RD
1131.global_id,39e6b92b-c1df-4d69-91cd-14d3xd7a87c21,39e6b92b-c1df-4d69-91cd-14d3d7a87c21
841.routeid,-N,1-N
433.xsp,OG,LOG
1085.stlnstlocname,HURCH ST,CHURCH ST
583.stlnstlocname,BOSTON TjPKE,BOSTON TPKE
1995.stlnstlocname,CHURCH TS,CHURCH ST
1094.stlnstlocname,KINGS HIGHWAY CUTvOFF,KINGS HIGHWAY CUTOFF
2577.townname,NEW AFIRFIELD,NEW FAIRFIELD
1220.xsp,cCONT,CONT
576.routeid,53-E,531-E
2263.routeid,-N,7-N
508.routeid,364E,364-E
1796.stlnstlocname,HALLBLVD,HALL BLVD
796.global_id,f68a1cd8-ab4f-4d1b-8d14-hc6fe5f888752,f68a1cd8-ab4f-4d1b-8d14-c6fe5f888752
619.routeid,83-9E,839-E
1476.routeid,8-S,85-S
1979.townname,HOMPSON,THOMPSON
803.townname,MANCESTER,MANCHESTER
570.routeid,-N,5-N
2584.routeid,41A-E,14A-E
1652.townname,LdEDYARD,LEDYARD
281.xsp,OCNT,CONT
1306.townname,MAISON,MADISON
2142.stlnstlocname,FOXONBLVD,FOXON BLVD
656.townname,NORIWCH,NORWICH
1404.xsp,ONT,CONT
2121.townname,SMISBURY,SIMSBURY
1548.routeid,147-yN,147-N
1071.global_id,2b313cpe7-7ad5-4db5-b5da-e40a47cb7e06,2b313ce7-7ad5-4db5-b5da-e40a47cb7e06
2489.global_id,8e516434-7d1b-4136-b0f8-4360125351fd,8e516434-71db-4136-b0f8-4360125351fd
2389.global_id,4feea161-a017-4d7c-9484-222a488c93a,4feea161-a017-4d7c-9484-2622a488c93a
2097.townname,PbRESTON,PRESTON
2172.global_id,a65c3c48-f743-4469-85cb-5b9fa1cab570,a65cc348-f743-4469-85cb-5b9fa1cab570
1952.routeid,190W-,190-W
196.xsp,lCONT,CONT
1742.global_id,9c0c8d91-7924-4205-8f45-ec01a31ad331,9c0c8d91-9724-4205-8f45-ec01a31ad331
1130.global_id,ca4ded7b-47f8-m41ae-8040-f85df40b9469,ca4ded7b-47f8-41ae-8040-f85df40b9469
1399.xsp,EV,REV
2467.stlnstlocname,NORcWICH WESTERLY RD,NORWICH WESTERLY RD
2303.routeid,73-0N,730-N
2259.routeid,9-N,69-N
1975.xsp,OCNT,CONT
1291.routeid,02-N,202-N
7.townname,BRANFROD,BRANFORD
658.townname,RGISWOLD,GRISWOLD
535.stlnstlocname,PRSPECT ST,PROSPECT ST
2342.stlnstlocname,PROSPEC HILL RD,PROSPECT HILL RD
201.global_id,384c48ff-570-4acb-8f0c-fb20ff83e44f,384c48ff-5570-4acb-8f0c-fb20ff83e44f
272.stlnstlocname,AIN AVE,MAIN AVE
1538.xsp,LGO,LOG
304.routeid,7-S,72-S
1622.xsp,COTN,CONT
556.routeid,63N,63-N
405.xsp,ONT,CONT
538.global_id,1de783d-26b5-41c0-83a1-acdd671a6bab,11de783d-26b5-41c0-83a1-acdd671a6bab
1907.xsp,ONT,CONT
353.xsp,ONT,CONT
398.stlnstlocname,COLD SPIRNG DR,COLD SPIRNG RD
766.townname,BEmACON FALLS,BEACON FALLS
94.global_id,82ne49762-e0ff-43d7-bf51-3f7ff5329f79,82e49762-e0ff-43d7-bf51-3f7ff5329f79
1846.stlnstlocname,HAMILTNO AVE,HAMILTON AVE
1933.global_id,6a9e0033-aa26-4496-96d2-389805dd90870,6a9e0033-aa26-4496-96d2-389805d90870
1006.townname,kBARKHAMSTED,BARKHAMSTED
69.stlnstlocname,WATER TS,WATER ST
2559.xsp,tCONT,CONT
896.townname,PLAINVILEL,PLAINVILLE
364.townname,BRNAFORD,BRANFORD
1134.xsp,COT,CONT
710.townname,PLAINFILD,PLAINFIELD
656.xsp,ONT,CONT
900.townname,VENON,VERNON
506.stlnstlocname,OLD COLCHESTER hRD,OLD COLCHESTER RD
245.xsp,COTN,CONT
2463.routeid,110d-N,110-N
975.routeid,7d1A-N,71A-N
2417.xsp,EV,REV
399.global_id,950d7a17-45b4-4cf0-8f6f-875cba08aff0d,950d7a17-45b4-4cf0-8f6f-875cba08ff0d
1785.xsp,COTN,CONT
188.stlnstlocname,AST CENTER ST,EAST CENTER ST
278.stlnstlocname,SUGAR HOLLOW DR,SUGAR HOLLOW RD
1286.routeid,20E,20-E
1090.stlnstlocname,NEW LONDON DR,NEW LONDON RD
2144.global_id,898c453a-bb6a-4826-9357-26cf865fdj068,898c453a-bb6a-4826-9357-26cf865fd068
2175.townname,SHARNO,SHARON
1517.townname,NEW LONjDON,NEW LONDON
1625.global_id,1d56a1c-638e-4a8e-91a2-8c6c081065fc,1d56a1cb-638e-4a8e-91a2-8c6c081065fc
960.global_id,f16a8674-8e41-4954-bd0-1def247a4569,f16a8674-8e41-4954-b6d0-1def247a4569
509.townname,DABNURY,DANBURY
192.routeid,37-kN,37-N
1278.routeid,76-N,796-N
1592.townname,STRATFOD,STRATFORD
2241.routeid,f602-N,602-N
1615.routeid,110k-N,110-N
2349.stlnstlocname,LARK RD,CLARK RD
1578.global_id,baa0bc93-f333-4e25-9feaf-5deeaf952c0e,baa0bc93-f333-4e25-9eaf-5deeaf952c0e
1748.global_id,4ed41029-85f-74d8c-a586-6d2d92e2f681,4ed41029-85f7-4d8c-a586-6d2d92e2f681
738.townname,VERNkON,VERNON
346.xsp,CNOT,CONT
1226.routeid,712-bE,712-E
2433.xsp,COTN,CONT
501.townname,NEWIGNTON,NEWINGTON
743.townname,ABRKHAMSTED,BARKHAMSTED
288.stlnstlocname,WEST MIN ST,WEST MAIN ST
1539.xsp,RV,REV
459.routeid,188-vN,188-N
1499.townname,OLwD LYME,OLD LYME
309.stlnstlocname,SOUTH BROAD TS,SOUTH BROAD ST
640.townname,MANCHcESTER,MANCHESTER
206.xsp,CONjT,CONT
2066.xsp,COTN,CONT
782.stlnstlocname,BUCKINGHMA ST,BUCKINGHAM ST
1643.global_id,b8qdf3aa5-6781-4f46-9ec4-2002f0e5c193,b8df3aa5-6781-4f46-9ec4-2002f0e5c193
1512.routeid,4i4-E,44-E
40.routeid,13-3N,133-N
744.townname,RANBY,GRANBY
1328.global_id,29d433d-4f41-4640-8b3b-fe93706f9976,29cd433d-4f41-4640-8b3b-fe93706f9976
660.xsp,COTN,CONT
2209.global_id,9c6f3040-d12a-4422b-056-2adb76cf7c10,9c6f3040-d12a-4422-b056-2adb76cf7c10
2279.routeid,8-E,82-E
125.global_id,7eaa9a35-2fa-43a2-a5b0-4badc637cf30,7eaa9a35-25fa-43a2-a5b0-4badc637cf30
483.xsp,EV,REV
1791.stlnstlocname,MANCHESTjER RD,MANCHESTER RD
2295.stlnstlocname,RIVER DR,RIVER RD
692.townname,BETHLEEHM,BETHLEHEM
983.stlnstlocname,NWFIELD ST,NEWFIELD ST
2063.routeid,0-E,70-E
1895.global_id,4c686308-4le51-41e7-b096-10486727c0a8,4c686308-4e51-41e7-b096-10486727c0a8
974.xsp,COTN,CONT
2204.stlnstlocname,DEEP RIVEjR RD,DEEP RIVER RD
1467.xsp,RnEV,REV
1487.stlnstlocname,EAT AVE,EAST AVE
1698.global_id,00bbb3b7-ff62-4c0b-a83d-380g16ca12a97,00bbb3b7-ff62-4c0b-a83d-38016ca12a97
2313.xsp,COxNT,CONT
1419.routeid,p94-E,94-E
2566.routeid,146E-,146-E
2433.routeid,10N,10-N
630.routeid,7-N,77-N
772.townname,RANKLIN,FRANKLIN
1076.xsp,CNT,CONT
2570.stlnstlocname,SPaRUCE BROOK RD,SPRUCE BROOK RD
1324.townname,ExAST HAVEN,EAST HAVEN
2212.global_id,e6b81lb4c-99f9-4ae5-9453-3f94a580ff78,e6b81b4c-99f9-4ae5-9453-3f94a580ff78
1757.xsp,dCONT,CONT
1679.townname,WILOTN,WILTON
1210.routeid,21-N,12-N
152.townname,NcEW MILFORD,NEW MILFORD
1157.xsp,CNOT,CONT
3.global_id,8bf32e33-b96q5-4ada-94af-aae0bd580059,8bf32e33-b965-4ada-94af-aae0bd580059
2555.stlnstlocname,NORTHFIELDr RD,NORTHFIELD RD
2025.global_id,e37bd6cf-41c1g-4708-8b14-21481bd7ac0b,e37bd6cf-41c1-4708-8b14-21481bd7ac0b
1298.townname,EAST HARTFODR,EAST HARTFORD
1405.routeid,159-rN,159-N
2077.global_id,077800a-c220-4bbd-a083-336825ff6e89,0778c00a-c220-4bbd-a083-336825ff6e89
1645.global_id,61f95b61-efc3-43f8-8570-38303a059fd8,61f95b61-efc3-43f8-8570-38033a059fd8
2001.stlnstlocname,WILLIAMS TS,WILLIAMS ST
2277.routeid,1-N,71-N
697.townname,WESPTORT,WESTPORT
187.global_id,ec06f54b-1c60-4f2b-9560-5e96a4670a9,ec06f54b-1c60-4f2b-9560-5e96a467e0a9
384.stlnstlocname,GROVE T,GROVE ST
1667.routeid,540l-E,540-E
325.townname,SAlLEM,SALEM
290.xsp,COT,CONT
1733.xsp,OG,LOG
2336.townname,MADISOvN,MADISON
729.global_id,31765f27-c2af-4e88-8574-b82a7f7dc85s8,31765f27-c2af-4e88-8574-b82a7f7dc858
650.stlnstlocname,SILAS DENAE HWY,SILAS DEANE HWY
1616.townname,MONOE,MONROE
1915.routeid,u6-E,6-E
2508.townname,BRIsDGEPORT,BRIDGEPORT
2346.global_id,c9b14570-ac7e-47f3-8b3c-41e260357ba,c9b14570-ac7e-47f3-8b3c-415e260357ba
577.xsp,LhOG,LOG
19.xsp,tCONT,CONT
122.routeid,19-8N,198-N
1571.routeid,59-N,159-N
1977.routeid,12-rN,12-N
2015.townname,SuOUTHBURY,SOUTHBURY
2002.global_id,5ef66a6e-b06c-4e77-bg7d7-c2b2ad7b5cc8,5ef66a6e-b06c-4e77-b7d7-c2b2ad7b5cc8
2345.townname,HATFORD,HARTFORD
951.routeid,6E,6-E
731.townname,WEST HRATFORD,WEST HARTFORD
2296.stlnstlocname,HOPYARDt RD,HOPYARD RD
1278.global_id,d14bbe02-6b81-4528-a666-fc62o9a0d6fbe,d14bbe02-6b81-4528-a666-fc629a0d6fbe
2338.routeid,7y90-E,790-E
1573.routeid,23-N,32-N
2560.global_id,405218b0-dee-4236-88e7-ced25eeef6f3,405218b0-deed-4236-88e7-ced25eeef6f3
921.xsp,ONT,CONT
101.routeid,17y-N,17-N
504.townname,IMSBURY,SIMSBURY
2475.stlnstlocname,MORRISON uHILL RD,MORRISON HILL RD
2427.xsp,OCNT,CONT
1003.stlnstlocname,pHAZARD AVE,HAZARD AVE
209.xsp,COT,CONT
2532.townname,aBROOKFIELD,BROOKFIELD
2181.stlnstlocname,FRANKLNI ST,FRANKLIN ST
1803.routeid,43-E,423-E
262.routeid,5N-,5-N
2009.townname,NEWq HAVEN,NEW HAVEN
902.xsp,COT,CONT
1893.townname,AST LYME,EAST LYME
1856.xsp,COxNT,CONT
70.xsp,LOfG,LOG
1035.townname,WALLINGFORzD,WALLINGFORD
1643.routeid,33-E,334-E
2346.routeid,749-W,794-W
1519.townname,GROTNO,GROTON
499.xsp,COhNT,CONT
1884.townname,DANBRY,DANBURY
1488.routeid,136v-N,136-N
1735.routeid,72-E,372-E
965.xsp,OCNT,CONT
862.stlnstlocname,QUEEN fST,QUEEN ST
2392.global_id,d87dbb2b-cc7c-4b67-862a-b8bb31a03c0a,d87dbb2b-c7cc-4b67-862a-b8bb31a03c0a
767.stlnstlocname,CAY LA,CADY LA
101.xsp,ONT,CONT
657.xsp,ONT,CONT
2335.global_id,400ca5a-b77c-4dfc-8956-8f4e5e0b337e,400caa5a-b77c-4dfc-8956-8f4e5e0b337e
1521.xsp,LOxG,LOG
474.global_id,1ddce6a9-af29-4446-881f-6faba79d4c4,1ddce6a9-af29-4446-881f-46faba79d4c4
755.routeid,39-E,839-E
2380.stlnstlocname,WEST AMIN ST,WEST MAIN ST
1882.stlnstlocname,PSORT HILL RD,SPORT HILL RD
2111.routeid,772-N,727-N
2561.global_id,d4ae912e-6e5d-4619-8c5-6be24504a0aa,d4ae912e-6e5d-4619-8c55-6be24504a0aa
2412.routeid,1-sN,1-N
1429.townname,GRISOLD,GRISWOLD
2109.global_id,92f7aa50-f5d1-4664-af7a5ff009cf6a1c,92f7aa50-f5d1-4664-af7a-5ff009cf6a1c
