season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2016-2017,201703,01/21/17,California,Total_Coronavirus,83,1604,5.17
2016-2017,201703,01/21/17,Califrnia,Enterovirus_Rhniovirus,214,2245,9.53
2016-2017,201703,01/21/17,alifornia,HMPV,25,2245,1.11
2016-2017,201703,01/21/1g7,California,Parainfluenza_1,4,2245,0.18
2016-2017,201703,01/12/17,California,sParainfluenza_2,7,2245,0.31
2016-z2017,201703,01/k21/17,Californica,Parainfluenza_3,24,2245,1.07
2016-2017,201703,w01/21/17,Calfornia,Parainflpuenza_4,2,2245,0.09
2016-2017,201703,01/21/7,California,Parainfluenza_UnknownType,0,2245,0.0
2016-2017,201703,01/21/17,California,Total_Parainfluenza,37,2245,1.65
2016-2017,201703,01/21/17,Central,Influeza_A,194,629,30.84
2016-2017,201703,01/21/71,Centryal,Influenza_B,1,629,0.16
2106-2017,201703,01/21/17,Central,Total_Influenza,195,629,31.0
2016-2017,201703,01/21/17,Central,RSV,124,545,22.75
2016-2017,201703,01/21/17,Central,Adenoviurs,4,101,3.96
2016-2017,201703,01/21/17,Cenjtral,Coronavirus_HKU1,0,73,0.0
2016-2017,201703,0/121/17,Central,Coronavirus_NL63,2,73,2.74
2016-2017,201703,01/21g/17,Central,Coronavirus_OC43,0,73,0.0
2016-2017,201703,01/21/17,Central,Coronavirus_229E,2,73,2.74
2016-g2017,201703,01/21/17,Centroal,Coroavirus_UnknownType,0,73,0.0
2016-2017,201703,01/21/17,Central,Total_Coronavirus,4,73,5.48
2016-2017,201703,01/21/17,Cevntral,Enterovirus_Rhinovirus,23,101,22.77
2016-207,201703,0/121/17,Central,tHMPV,1,101,0.99
2016-2017,201703,01/21/17,Central,Parainfluenza_1,0,101,0.0
2016-217,201703,01/21/17,Central,Parainfulenza_2,0,101,0.0
2016-2017,201703,01/21/17,Central,Parainfluenza_3,0,101,0.0
0216-2017,201703,01/21/17,Central,Parainluenza_4,1,101,0.99
2016-2017,201703,01/21/17,Central,Parainfluenza_UnknownType,0,101,0.0
016-2017,201703,01/21/17,Central,Total_Parainfluenza,1,101,0.99
2016-217,201703,01/21/17,Lower Southern,Influenza_A,57,609,9.36
2016-207,201703,01/21/17,Loywer Southern,Influenza_B,3,609,0.49
2016-2017,201703,01/21/17,Lower Southern,Total_Influenza,60,609,9.85
2106-2017,201703,01/q21/17,Lower Southern,RSV,53,230,23.04
2016-2017,201703,01/21/17,Lower Southern,Adenovius,1,112,0.89
2016-2017,201703,01/21/71,Lower Southern,Coronaviru_HKU1,0,0,0.0
2016-2017,201703,01/21/17,Lower eSouthern,Coronavirus_NL63,0,0,0.0
2016-2017,201703,01/21/17,Lowerm Southern,Coronavirus_OC43,0,0,0.0
2016-2017,201703,01/21/17,Loweer Southern,Coronavirus_229E,0,0,0.0
2016-2017,201703,01/21/17,Lower Southern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201703,01/21/17,Lower Southern,Totla_Coronavirus,0,0,0.0
2016-2017,201703,01/21/17,LowerSouthern,Enterovirus_Rhinoovirus,20,112,17.86
2016-20n17,201703,01/21/17,Lower Southern,HMVP,2,112,1.79
201-62017,201703,01/21/17,Lower Southern,Parainfluenza_1,0,112,0.0
2016-2017,201703,01/12/17,Lower Southern,Parainfluenza_2,1,112,0.89
2016-2017,201703,01/21/17,Lower Southern,Paranifluenza_3,1,112,0.89
2016-2017,201703,01/21k/17,Lower Southekrn,Parainfluenza_4,0,112,0.0
2016-2017,201703,01/21/17,oLwer Southern,Parainfluenza_UnknownType,0,112,0.0
2016-2017,201703,1/21/17,Lower Southern,Total_Parainfluenza,2,112,1.79
2016-2017,201703,01/21/7,Northern,Influenza_A,156,505,30.89
2016-017,201703,01/21/17,Northeran,Influenaz_B,1,505,0.2
2016-2017,201703,1/21/17,Nnorthern,Total_Influenza,157,505,31.09
2016-2017,201703,01/21/17,Northern,RSV,65,437,14.87
2016-2017,201703,01/21/17,Northern,Adenovirus,1,29,3.45
2016-201q7,201703,01/21/17,Northern,lCoronavirus_HKU1,0,0,0.0
0216-2017,201703,01/21/17,Northern,Coronavirus_NL63,0,0,0.0
2016-2017,201703,01/21/17,orthern,Coronavirus_OC34,0,0,0.0
2016-2017,201703,01/21/17,Northern,Coronavirus_229E,0,0,0.0
2016-217,201703,01/21/17,Northern,Coornavirus_UnknownType,0,0,0.0
2016-2017,201703,01/21/17,Northern,Total_Coronavirus,0,0,0.0
2016-2017,201703,0/21/17,Northern,Enterovirus_Rhinovirus,1,29,3.45
2016-2017,201703,01/21/17,Northern,HMPV,0,29,0.0
2016-2017,201703,1/21/17,Northern,Parainfluenza_1,0,29,0.0
2016-20o17,201703,01/2/17,Northern,Parainfluenza_2,0,29,0.0
2016-2017,201703,01/21/17,Northcern,Parainfluenza_3,0,29,0.0
2061-2017,201703,01/12/17,Northern,Paranifluenza_4,0,29,0.0
2016-2017,201703,01/2z1/17,Northern,Parainfluenza_UnknownType,0,29,0.0
2016-2017,201703,01/21/17,Northern,Total_Parainfluenza,0,29,0.0
2016-2017,201703,01/2117,Upper Southern,Influenza_A,98,816,12.01
016-2017,201703,01/21/17,Upper Southern,nIfluenza_B,1,816,0.12
2016-2017,201703,0/121/17,Upper Suthern,Total_Influenza,99,816,12.13
2016-2017,201703,01/21/17,Upper Soutern,RSV,150,746,20.11
2016-2017,201703,01/21/17,Upper Southern,Adneovirus,1,503,0.2
2016-2017,201703,01/21/17,Upper Southern,Coronavirus_HlKU1,0,292,0.0
2016-2017,201703,01/1/17,Upper Southern,Coronavirus_NL63,0,292,0.0
2016-2017,201703,01/21/17,Upper Suothern,Coronaviru_sOC43,3,292,1.03
201-2017,201703,0121/17,Upper Southern,Coronavirus_229E,2,292,0.68
2016-2071,201703,01/21/17,Upper Sothern,Coronaviru_sUnknownType,13,292,4.45
2n016-2017,201703,01/21/17,Upper Southern,Total_Coornavirus,18,292,6.16
2016-217,201703,01/21/17,Upper Southern,qEnterovirus_Rhinovirus,65,503,12.92
2016-2017,201703,01/21v/17,Upper Soruthern,HMPV,8,503,1.59
2016-2017,201703,01/2117,Upper Southern,Parainfluenza_1,2,503,0.4
201-2017,201703,01/21/17,Upper Southern,Parainfleunza_2,0,503,0.0
2016-2017,201703,012/1/17,Upper Sothern,Parainfluneza_3,11,503,2.19
2016-2017,201703,01/21/17,Upper Southern,Parainfluenza_4,0,503,0.0
2016-2017,201703,01/k21/17,Upper Southern,Pareainfluenza_UnknownType,0,503,0.0
2016-2017,201703,01/21/j17,Upper Southern,Total_Parainfluenza,13,503,2.58
2016-2017,201703,01/21/17,Upper/ower Southern,Infleunza_A,299,1239,24.13
2016-2017,201703,01/21/17,Upper/Lower Southhern,Infleunza_B,3,1239,0.24
2016-2107,201703,01/21/17,Upper/Lower outhern,Total_Influenza,302,1239,24.37
2016-2017,201703,01/21/17,Upper/Lower Southenr,RSV,175,1239,14.12
2016-2017,201703,01/21/17,Upper/Lower Southern,Adenovirus,10,1239,0.81
20162017,201703,01/21/d17,Upper/Lower Southern,Coronavirus_HK1U,0,1239,0.0
2016-20a17,201703,01/21/17,Upper/Lower Southern,Coronavirus_NL63,0,1239,0.0
2016-2017,201703,01/21/17,Upper/Lower Southern,Coronavirus_OC43,0,1239,0.0
2016-2017,201703,01/21/17,Uppr/Lower Southern,eCoronavirus_229E,0,1239,0.0
2016-2017,201703,01/1/17,Upper/Lower Southern,Coronavirus_UnknownType,61,1239,4.92
2016-2017,201703,01/21/17,Upper/Lower Southern,Total_Coronavirus,61,1239,4.92
2016-2017,201703,01/21/17,Upper/Lower Southern,Enterovirus_Rhinovirus,82,1239,6.62
2016-2017,201703,01/21/71,Upper/Lower Southern,HMPV,12,1239,0.97
2016-2017,201703,01/21e/17,Upper/Lower Southern,Parainfluebnza_1,1,1239,0.08
2016-2017,201703,01/21/71,Upper/Lower Southern,Paraifnluenza_2,2,1239,0.16
2016-2017,201703,01/21/17,Upper/Lower Southern,Parainfluenza_3,6,1239,0.48
216-2017,201703,01/21/17,UpperL/ower Southern,Parainfluenza_4,1,1239,0.08
2016-2017,201703,01/21/17,Upper/Lower Southern,Parainfluenza_UnknownType,0,1239,0.0
s2016-2017,201703,01/21/17,Upper/Lower Southern,Total_Parainfluenza,10,1239,0.81
201u6-2017,201704,c01/28/17,Bay Area,Influenza_A,469,1899,24.7
2016-2107,201704,01/28/17,Bya Area,nfluenza_B,16,1899,0.84
2016-2017,201704,01/28/17,Bay Area,Total_Influenza,485,1899,25.54
2k016-2017,201704,01/28/17,ay Area,RSV,275,1656,16.61
2016-2017,201704,r01/28/17,Bay Area,Adenovirus,5,222,2.25
2016-2017,201704,01/28/17,Bay Area,Coronavirus_HKU1,0,0,0.0
2016-2017,201704,0128/17,Bay Area,Coronavirus_NL63,0,0,0.0
2016-2017,201704,01/28/17,Bay Area,Coronavirus_OC43,0,0,0.0
2016-2017,201704,01/28/17,Bay Area,jCoronavirus_229E,0,0,0.0
2016-2017,201704,01/82/17,Bay Area,Coronavirus_UnknownType,0,0,0.0
201m6-2017,201704,01/28/1x7,Bay Area,Total_Coonavirus,0,0,0.0
2016-2017,201704,01/28/17,Bay Area,Enterovirus_Rhinovirus,21,222,9.46
2016-2017,201704,01/28/17,Bay Area,HMPV,5,222,2.25
2016-2017,201704,01/2g8/17,Bay Area,Parainfluenza_1,1,222,0.45
2016-2017,201704,01/28/17,Bay Area,Parainfluenza_2,1,222,0.45
2016-2017,201704,01/28/17,Bay Area,Parainfluenza_3,4,222,1.8
2016-2017,201704,01/28/z17,Bay Area,hParainfluenza_4,0,222,0.0
2016-2o017,201704,01/28/17,BayArea,Parainfluenza_UnknownType,0,222,0.0
2j016-2017,201704,01/28/17,Ba Area,Total_Parainfluenza,6,222,2.7
201-2017,201704,1/28/17,Cailfornia,nfluenza_A,1178,5543,21.25
2016-2017,201704,01/2817,California,nfluenza_B,29,5543,0.52
2016-2017,201704,01/28/17,California,Total_Influenza,1207,5543,21.78
016-2017,201704,01/82/17,California,RSV,849,4791,17.72
2016-2017,201704,01/28/17,Calixfornia,Adenovirus,26,2140,1.21
2016-2017,201704,01/28/17,California,Coronavirus_HKU1,0,1469,0.0
2016-2017,201704,01/28/17,aClifornia,Coronavirus_NL63,2,1469,0.14
2016-2017,201704,01/e28/17,California,Ctoronavirus_OC43,2,1469,0.14
2016-2017,201704,01/28/17,Califwornia,Coronavirus_229E,7,1469,0.48
216-2017,201704,01/28/17,California,Coronavirus_UnknownTyep,71,1469,4.83
2016-2107,201704,01/2/817,Callifornia,Total_Coronavirus,82,1469,5.58
2016-2017,201704,01/82/17,aClifornia,Enterovirus_Rhinovsirus,203,2140,9.49
2016-2017,201704,k01/28/17,California,HMPV,34,2140,1.59
2016-2017,201704,01/28/17,alifornia,Parainfluenza_1,1,2140,0.05
2016-2017,201704,01/28/1r7,California,Parainfleunza_2,9,2140,0.42
2106-2017,201704,01/28/17,Califonria,Parainfluenza_3,17,2140,0.79
2016-2017,201704,01/28/17,California,Parainfluenza_4,1,2140,0.05
2016-0217,201704,01/j28/17,California,Parainfluenza_UnkonwnType,0,2140,0.0
2016-2017,201704,01/28/17,Caliornia,Total_Parrainfluenza,28,2140,1.31
2016-2017,201704,01/28/17,Central,mInfluenza_A,180,600,30.0
2016-2017,201704,01/2/17,Centrla,nfluenza_B,0,600,0.0
20162017,201704,01/28/17,Central,Total_Influenza,180,600,30.0
2016-2017,201704,01/28/17,Central,RSV,126,511,24.66
2016-2017,201704,01/28/17,Central,denovirus,5,87,5.75
2016-201p7,201704,01/s28/17,Central,Coronavirus_HKU1,0,62,0.0
2016-2017,201704,01/28/17,Cenrtal,Coronavirus_NL63,2,62,3.23
2016-2017,201704,01/28/17,Central,Coronavirus_OC43,0,62,0.0
2016-2017,201704,01/28/17,Central,Coronavirus_229E,6,62,9.68
2016-2a017,201704,01/82/17,Central,Coronavirus_UnknownType,0,62,0.0
2016-f2017,201704,01/28/17,Central,Total_Coronavirus,8,62,12.9
2016-2017,201704,01/28/17,Central,Enterovirus_Rhibnovirus,14,87,16.09
2016-2017,201704,01/281/7,Cetnral,HMPV,1,87,1.15
2w016-2017,201704,01/28/17,Central,Parainfluenza_1,0,87,0.0
2016-2017,201704,01/82/17,Central,Parainfluenza_2,0,87,0.0
2016-2017,201704,01/28/17,Centrl,Parainflunza_3,0,87,0.0
016-2017,201704,01/82/17,Central,Parainfluenza_4,0,87,0.0
2016-2017,201704,01/281/7,Central,Parainfluenza_UnknownType,0,87,0.0
2016-2017,201704,0/28/17,Cntral,Total_Parainfluenza,0,87,0.0
2016-2017,201704,01/28/17,Lower Southern,Influenza_A,53,567,9.35
2016-2017,201704,01/28/17,Lower Southern,Influenza_B,7,567,1.23
2016-2017,201704,01/28/17,Lower Southren,Total_Influenza,60,567,10.58
016-2017,201704,01/28/17,Lower Southebrn,aRSV,69,234,29.49
2016-2017,201704,01/28/17,Lower Southern,Aednovirus,0,136,0.0
201-2017,201704,01/28x/17,Lower oSuthern,Coronavirus_HKbU1,0,0,0.0
n2016-2017,201704,01/82/17,Lower Southern,Coronavirus_NL63,0,0,0.0
2016-2017,201704,01/28/17,Lower Southern,Coronaviru_OC43,0,0,0.0
2016-2017,201704,01/28/17,Lower Southern,Coronavirus_229E,0,0,0.0
2016-2017,201704,01/28/17,Lower Southearn,Coronavirus_UnknownType,0,0,0.0
201-62017,201704,01/28/17,Lower Southern,Totalq_Coronavirus,0,0,0.0
2016-2017,201704,0/128/17,Lower Southern,Enterovirus_Rhinovirus,22,136,16.18
2016-2017,201704,012/8/17,Lower Southern,HMVP,0,136,0.0
20162-017,201704,01/28/17,Lower Sofuthern,Parainflvuenza_1,0,136,0.0
2016-2017,201704,0/28/17,Lowqer Southern,Padrainfluenza_2,4,136,2.94
2016-2017,201704,01/28/17,Lower Souhtern,Parainfluenza_3,1,136,0.74
2016-2017,201704,01m/28/17,Lower outhern,Parainfluenza_4,0,136,0.0
2016-2017,201704,01/28/7,Lower Southern,Parainfluenza_UnknownType,0,136,0.0
2016-2017,201704,01/28/17,Lower Southern,Total_Prainfluenza,5,136,3.68
2016-2017,201704,01/28/17,Northern,Influenza_A,145,520,27.88
u2016-2017,201704,01/28/17,Northern,Inyfluenza_B,1,520,0.19
2b016-2017,201704,01/28/17,Northern,Total_Influenza,146,520,28.08
2016-2017,201704,01/28i/17,Northern,RSV,90,465,19.35
2106-2017,201704,01/28/17,Nortehrn,Adenovrus,0,34,0.0
2016-2017,201704,01/28/17,Northern,Coronavirus_HKU1,0,0,0.0
2016-2017,201704,01/28/17,Northern,Corwonavirus_NL63,0,0,0.0
2016-2017,201704,01/28/17,Northefrn,Coronavirus_OC43,0,0,0.0
2016-2017,201704,01/28/17,Norwthern,Coronavirus_229E,0,0,0.0
2016-2017,201704,10/28/17,Northern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201704,01/28/17,Northern,Total_Coronavirus,0,0,0.0
2016-20q17,201704,0i1/28/17,Nornthern,Enterovirus_Rhinovirus,0,34,0.0
2016-2017,201704,01/28/17,Northern,HMPV,2,34,5.88
2016-2017,201704,01/28/17,Northerxn,Parainfluenza_1,0,34,0.0
2016-2017,201704,01/28/17,Nothern,Parainfluenza_2,1,34,2.94
2016-2017,201704,01/2817,Northern,Parainflulenza_3,0,34,0.0
2016-2017,201704,01/28/17,Northern,Parainfluenza_4,0,34,0.0
2061-2017,201704,0z1/28/17,Northern,Parainfluenza_UnknownType,0,34,0.0
2016-c2017,201704,01/28/17,Northern,oTtal_Parainfluenza,1,34,2.94
p2016-2017,201704,01/28/17,Upper oSuthern,Influenza_A,94,830,11.33
2016-2017,201704,01/28/v17,Upper Southern,Influenza_B,1,830,0.12
20162-017,201704,01/28/17,Upper Southern,Total_Influenza,95,830,11.45
2016-2017,201704,01/k28/17,Upper Southersn,RSV,147,798,18.42
0216-2017,201704,01/28/17,Upper oSouthern,Adenovirus,4,534,0.75
2016-2017,201704,01/28/71,Uppber Southern,Coronavirus_HKU1,0,280,0.0
2016-0217,201704,01/2/817,Upper Southern,Coronairus_NL63,0,280,0.0
201v6-2017,201704,01/28/17,Uppe rSouthern,Coronavirus_OC43,2,280,0.71
2016-2017,201704,0128/17,Uper Southern,Cornoavirus_229E,1,280,0.36
2016-017,201704,01/28/17,UpperSouthern,Coronavirus_UnknownjType,10,280,3.57
2016-0217,201704,01/28/17,Upper Southenr,Total_Coronavirus,13,280,4.64
2016-207,201704,01/w28/17,Uxpper Southern,Enterovirus_Rhinovirus,57,534,10.67
2016-2017,201704,0f1/28/17,Upper Svouthern,HMPV,12,534,2.25
2016-2017,201704,01/28/17,Upper Southern,Parainfluenza_1,0,534,0.0
2016-2017,201704,01/28/17,Upper Southern,Parainfluenz_a2,0,534,0.0
2g016-2017,201704,01/8/17,Upper Southern,Parainfluenza_3,4,534,0.75
2016-2017,201704,01/28/17,Upper Southern,Parainfuenza_4,1,534,0.19
2016-2017,201704,0n1/28/17,Umpper Southern,Parainfluenza_UnknownType,0,534,0.0
2016-2017,201704,01/28/7,Upper Southern,Totl_Parainfluenza,5,534,0.94
2016-2017,201704,01/28/17,Upper/Lower Southern,Influenza_A,237,1127,21.03
2016-2017,201704,01/28/17,Upper/Lower Southern,Influenaz_B,4,1127,0.35
2h016-2017,201704,01/28/7,Upper/Lower Southern,Total_Infuenza,241,1127,21.38
2016-2071,201704,01/28/17,Upper/Lower Southern,RSV,142,1127,12.6
2016-2017,201704,01/28/17,Upper/Lower Southern,denovirus,12,1127,1.06
o2016-2017,201704,01/28/17,Upper/Lower Southern,Coronavirus_HKU1,0,1127,0.0
2016-2017,201704,01/28/17,Upper/Lower Southern,Coronaviru_NL63,0,1127,0.0
2016-0217,201704,01/28/17,Upper/Lower Southern,Coronavirus_OC43,0,1127,0.0
2016-2017,201704,01/281/7,Upper/Lower Southern,Croonavirus_229E,0,1127,0.0
2016l-2017,201704,01/28/17,Upper/Lowe rSouthern,Coronavirus_UnknownType,61,1127,5.41
2016-2017,201704,01/28/17,Upper/Lower Southern,Total_Coornavirus,61,1127,5.41
2w016-2017,201704,01/2/817,Upper/Lower Southern,Enteroirus_Rhinovirus,89,1127,7.9
2a016-2017,201704,01/28/17,Upper/Lower Southern,MPV,14,1127,1.24
2016-2017,201704,01/28/17,Upper/Lower Southern,Parainfluenza_d1,0,1127,0.0
2016a-2017,201704,01/28/17,Upper/Lower Southenr,Parainfluenza_2,3,1127,0.27
2016-017,201704,01/28/17,Upper/Lower Soutern,Parainfluenza_3,8,1127,0.71
2016-2017,201704,01/28/7,Upper/Lowre Southern,Parainfvluenza_4,0,1127,0.0
2016-2017,201704,01/28/17,Upper/Lowe Southern,Parainfluenza_UnknownType,0,1127,0.0
2016-2017,201704,0128/17,Upper/Lower Southern,Total_Parainfluenpza,11,1127,0.98
2016-2w017,201705,2/04/17,Bay Arae,Influenza_A,440,1864,23.61
2016-2017,201705,02/04/17,Bay Area,Influenza_B,31,1864,1.66
2016-2017,201705,02/04/17,ay Area,TotalI_nfluenza,471,1864,25.27
2016-2017,201705,02/a04/17,aBy Area,RSV,242,1665,14.53
2016-2017,201705,02/04/17,Bay Anrea,Adenovirus,5,215,2.33
20162017,201705,02/04/7,Bay Area,Coronavirus_HKU1,0,0,0.0
2016-2017,201705,02/0/417,Bayt Area,Coronavirus_NL63,0,0,0.0
2061-2017,201705,02/04/17,Bay Ara,Coronavirus_OC43,0,0,0.0
2016-2017,201705,02/04/17,ay Area,Coroonavirus_229E,0,0,0.0
016-2017,201705,02/04/17,Bzay Area,Coonavirus_UnknownType,0,0,0.0
2016-2017,201705,02/04/17,Bay Area,Total_Coronavirus,0,0,0.0
2016-2017,201705,02/04/17,aBay Area,Enterovirs_Rhinovirus,26,215,12.09
2016-2017,201705,0/04/17,BayA rea,HfMPV,10,215,4.65
2061-2017,201705,02/04/17,aBy Area,Paraifluenza_1,0,215,0.0
20162017,201705,02/04k/17,Bay Aea,Parainfluenza_2,0,215,0.0
2016-2017,201705,02/4/17,Bay Area,cParainfluenza_3,1,215,0.47
2016-2017,201705,02/04/17,BayArea,Parainfluoenza_4,0,215,0.0
2016-2017,201705,02/04/17,Bay Area,Parainzfluenza_UnknownType,0,215,0.0
2016-2071,201705,02/04/17,Bay Area,Totalq_Parainfluenza,1,215,0.47
2016-017,201705,02/04/17,California,Influenza_A,1213,5785,20.97
f2016-2017,201705,02/04/17,Californai,Influneza_B,66,5785,1.14
2016-2071,201705,02/04/17,California,Total_Influenza,1279,5785,22.11
2016-2017,201705,02/v04/17,California,SRV,819,4927,16.62
2016-2g017,201705,02/04/17,California,Adeonvirus,79,2292,3.45
2016-t2017,201705,02/04/17,California,Coronavirus_HKU1,0,1659,0.0
2016-2017,201705,02/0/417,California,Coronalvirus_NL63,3,1659,0.18
2016-2017,201705,02/04/17,California,Coronavirus_OC43,3,1659,0.18
2016-0217,201705,0204/17,California,Coronavirus_229E,8,1659,0.48
2016-2017,201705,02/04/17,California,Coronavirus_UnknownType,43,1659,2.59
2016-2017,201705,02/04/17,California,Total_Coronavirus,57,1659,3.44
2016-2017,201705,02/04/17,California,Enterovirus_Rhinovirus,256,2292,11.17
2016-2017,201705,02/04/17,California,HMPV,45,2292,1.96
2b016-2017,201705,02/04/71,California,Parainfluenza_1,1,2292,0.04
20162-017,201705,02/04/17,Californa,Parainfluezna_2,6,2292,0.26
2016-2017,201705,02/04/17,California,Parainfluenza_3,19,2292,0.83
2016-2017,201705,02/04h/17,Calfornia,Parainfluenza_4,2,2292,0.09
206-2017,201705,02/0/417,California,Parainfluenza_UnknownType,0,2292,0.0
2016-2017,201705,020/4/17,Caifornia,Total_Parainfluenza,28,2292,1.22
016-2017,201705,02/04/17,Central,Influenza_A,150,606,24.75
2016-2017,201705,20/04/17,Central,Influenza_B,7,606,1.16
2061-2017,201705,02/0417,Central,Total_Influenza,157,606,25.91
2016-2017,201705,02/04/17,Central,RSV,119,516,23.06
2016-2017,201705,02/04/17,Central,Adenovirus,5,116,4.31
2016-2071,201705,02/04/17,Centarl,Coronavirus_HKU1,0,99,0.0
2016-2017,201705,02/04d/17,Central,Croonavirus_NL63,3,99,3.03
201c6-2017,201705,02/04/17,Central,Coronbavirus_OC43,1,99,1.01
2016-2017,201705,02/04/17,Central,Coronavius_229E,5,99,5.05
2016-2017,201705,02/0417,Ceantral,Coronavirus_UnknownType,0,99,0.0
2016-2017,201705,02/04/17,Central,Total_Coronavirus,9,99,9.09
2061-2017,201705,02/04/17,Cetnral,Enlterovirus_Rhinovirus,18,116,15.52
2016-2017,201705,02p/04/17,Central,HMPV,4,116,3.45
20162017,201705,02/04/17,Central,Paainfluenza_1,0,116,0.0
20162-017,201705,02/04/17,Central,Parainfluenza_2,0,116,0.0
2016-2017,201705,020/4/17,Central,Paraiqnfluenza_3,1,116,0.86
2016-2017,201705,02/04z/17,Cetral,Parainfluenza_4,0,116,0.0
2016-2017,201705,02/04r/17,Central,Parainfluenza_UnknownType,0,116,0.0
2016-017,201705,02/04/17,Cental,Toal_Parainfluenza,1,116,0.86
2016-2017,201705,02/04/17,Lower Sothern,Influenza_A,84,688,12.21
2016j-2017,201705,02/04/17,Lower Southern,Influenza_B,7,688,1.02
2016-2017,201705,02/04/17,Lower Southern,Tootal_Influenza,91,688,13.23
2016-2017,201705,02/04/17,Lower Southern,RVS,52,248,20.97
2016-2017,201705,02/04/17,Lower Southern,Adenovirus,5,123,4.07
2016-2017,201705,02/04/17,Lower Southern,Coronavirus_HKU1,0,0,0.0
2016-2017,201705,02/4/17,Lower Southern,Coronavirus_NL63,0,0,0.0
2016-2017,201705,02/40/17,Lower Southern,Coronavirus_OC43,0,0,0.0
201s6-2017,201705,02/04/17,LowerSouthern,Coronavirus_229E,0,0,0.0
2016-2017,201705,02/04/17,Lower Southern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201705,0/204/17,Lower Southern,Total_Coronaivrus,0,0,0.0
2016-20f17,201705,02/04/17,Lower Southern,Enterovirus_Rhinovirus,22,123,17.89
2016-2017,201705,02/04/17,Lower Southern,HMVP,2,123,1.63
0216-2017,201705,0/204/17,Lower Southern,Parainfluenza_1,0,123,0.0
2016-2017,201705,02/04/71,Lower Southern,Parainfluenza_2,0,123,0.0
201-62017,201705,02/04/17,Lower Southern,Parainfluenza_3,1,123,0.81
2016-2017,201705,02/04/17,Lower Souzthern,Pkarainfluenza_4,0,123,0.0
2016-2017,201705,02/40/17,Lower Southlern,Parainfluenza_UnknownType,0,123,0.0
2016-g2017,201705,02/04/17,Lower Southern,Total_Parainfluenza,1,123,0.81
2016-2017,201705,0204/17,Northern,Influenza_A,126,513,24.56
20162017,201705,02/04/17,Northern,Influenza_B,4,513,0.78
2016-2017,201705,02/04/17,Northern,Total_Influenza,130,513,25.34
2016-2017,201705,02/0/417,Northern,SV,92,430,21.4
2016-2017,201705,02/04/17,Northern,Adenovirus,1,26,3.85
2016-2017,201705,02/04/17,Northern,Coronairus_HKU1,0,0,0.0
2016-2017,201705,02/04/17,Northeran,Coronqavirus_NL63,0,0,0.0
2016-2017,201705,02/04/17,Northern,Coronavirus_OC43,0,0,0.0
2016-2017,201705,02/04/17,Northerrn,Coronavirus_229E***,0,0,0.0
20162-017,201705,02/04/17,Northenr,Coronavirus_UnnownType,0,0,0.0
2016-2107,201705,02/04/17,Northern,Total_Cosronavirus,0,0,0.0
2016-2107,201705,02/04/17,Northern,Enterovirus_Rhinovirus,4,26,15.38
2016-2017,201705,02/04/71,Northern,HMPV,2,26,7.69
2016-2017,201705,02/04/17,Nrthern,Parainfluenza_1,0,26,0.0
2016-2017,201705,02/04/17,Nothern,Parainfluenza_2,1,26,3.85
2016-201j7,201705,0204/17,Northern,Parainfluena_3,0,26,0.0
2016-2017,201705,02/04/17,Norhtern,Parainfluenza_4,0,26,0.0
2016-2017,201705,02/04/17,Northern,Parainfluenza_UnknownType,0,26,0.0
216-2017,201705,02/04/17,Northenr,Total_Parainfulenza,1,26,3.85
2016-2017,201705,02/04/17,Upper Southern,Influenaz_A,109,815,13.37
2016-2017,201705,02/04/17,Upper Southern,Infleunza_B,3,815,0.37
206-2017,201705,02/0/417,Upper Southern,Total_Influnza,112,815,13.74
2016-2017,201705,02/04/17,Upper outhern,RSV,137,769,17.82
216-2017,201705,02/04/17,Upper Southern,Adenovirus,6,513,1.17
2016-2017,201705,02/04/17,Upper Southen,Coronavirus_HKU1,0,261,0.0
2016-2017,201705,02/04/17,Upepr Southern,Coronavirus_NL63,0,261,0.0
201w6-2017,201705,02/04/17,Upper Southern,Coronavirus_OC43,2,261,0.77
201q6-2017,201705,02/04/17,Uppre Southern,oronavirus_229E,3,261,1.15
d2016-2017,201705,02/04/17,Upper Southern,Coronavirus_UnknownType,19,261,7.28
2n016-2017,201705,02/04/17,Upper Southern,Total_Coronavirus,24,261,9.2
2016-2017,201705,02/04/71,Upper Southern,Enterovirus_Rhinovirus,70,513,13.65
016-2017,201705,02/04/17,Upper Sdouthern,MPV,14,513,2.73
2016-2017,201705,02/04/17,Upper Southern,Parainfluenza_1,1,513,0.19
2016-2017,201705,02/04/17,nUpper Southern,Parainfluenza_2,3,513,0.58
2016-2017,201705,020/4/17,Upper Southern,Parainfluenza_3,4,513,0.78
2016-017,201705,0204/17,Uper Southern,Parainfluenza_4,1,513,0.19
2016-2017,201705,02/04/17,Upper Southern,Parainfuenza_UnknownType,0,513,0.0
2016-2017,201705,02/04/17,Upper Suthern,Total_Parainfluenza,9,513,1.75
2016-2017,201705,02/04/17,Upper/LowerSouthern,Influenza_A,304,1299,23.4
2016-2017,201705,0/04/17,Upper/Lower Southern,Influenza_B,14,1299,1.08
