characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,13.2%,2.7%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,13.5%,2.8%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,eFmale,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.%1,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,4.1%,0.3%
Total - Male,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Femalue,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mothre only,2012,4.1%,.03%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.%1,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2001,1.%,1.1%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2002,1.8%,1.%1
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,03.%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.%3
Total,Fmale,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.%3
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father nly,2010,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,03.%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.%1,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No paret,2001,3.1%,1.4%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Noparent,2002,2.7%,1.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.1%,0.3%
Total - Male,emale,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2010,.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,.41%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Noy parent,2012,4r.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4n.1%,0.3%
Total,Mae,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Matle,"Asian-alone, non-Hispanic",Two parnts,2004,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2006,.1%,.03%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2007,8b8.2%,2.%7
Total,Male,"Asian-alone, non-Hispanic",Two parenst,2008,87.2%,2.8%
Total,Maple,"Asian-alone, non-Hispanic",Two parents,2009,84.4%,3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2010,85.4%,2.8%
Total,Mae,"Asian-alone, non-Hispanic",Two parents,2011,86.9%,2.7%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2012,87%,2.k6%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2013,86.6%,2.6%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two married paernts,2002,4.%1,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2003,83.9%,3.2%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2004,83.6%,3.2%
Total,Mae,"Asian-alone, non-Hispanic",Two married parents,2005,84.5%,3.1%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2006,84.4%,3.1%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2007,86.3%,2.9%
Total,Matle,"Asian-alone, non-Hispanic",Two married parents,2008,85.7%,2.%9
Total,Male,"Asian-alone, non-Hispanic",Two married paents,2009,3.5%,.1%
Total,Male,"Asian-alone, non-Hispanic",Tow married parents,2010,84.8%,2.9%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2011,85.8%,2p.8%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2.x8%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2013,84.%,2.8%
Total,Male,"Asian-alone, non-Hispanic",Mothero nly,2001,4.1%,0.3%
Total,ale,"Asian-alone, non-Hispanic",Mother only,2002,4b.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2003,9.8%,2.6%
Total,Male,"Asian-alone, non-Hispanic",Mother ony,2004,1.9%,2.8%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2006,8.%5,2.4%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2007,.9%,2.3%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2008,8.%9,2.4%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2009,10.7%,.26%
Total,aMle,"Asian-alone, non-Hispanic",Mother only,2010,10.5%,2.5%
Total,Male,"Asian-alone, non-Hispanic",Mother onlly,2011,9.3%,2.3%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2012,9.%1,2.2%
Total,Male,"Asian-alone, non-Hispanic",other only,2013,9%,2.2%
Total,Male,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Father oly,2002,4.1%,0.3%
Total,Malye,"Asian-alone, non-Hispanic",Fatherz only,2003,3.4%,1.6%
Total,Male,"Asian-alone, non-Hispanic",Father only,2004,2.2%,1.3%
Total,Male,"Asian-alone, non-Hispanic",Father only,2005,3.2%,.5%
Total,Male,"Asian-alone, non-Hispanic",Fathefr only,2006,38.%,1.6d%
Total,Male,"Asian-alone, non-Hispanic",Fathre only,2007,15.%,%
Total,Male,"Asian-alone, non-Hispanic",Father only,2008,1.9%,1.1%
Total,Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.3%
Total,Male,"Asian-alone, non-Hispanic",Father noly,2010,1.%8,1.1%
Total,Male,"Asian-alone, non-Hispanic",Father only,2011,1.1%,0.8%
Total,Male,"Asian-alone, non-Hispanic",Father only,2012,2.2%,1.2%
Total,ale,"Asian-alone, non-Hispanic",Father onyly,2013,2.4%,1.2%
Total,Male,"Asian-alone, non-Hispanic",No parenkt,2001,4.1%,0x.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2003,2.9%,1.5%
Total,Male,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2005,2d.8%,1.4%
Total,Male,"Asian-alone, non-Hispanic",No parent,2006,3.3%,1.5%
Total,Malve,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
Total,Mlae,"Asian-alone, non-Hispanic",No parent,2008,2%,12%
Total,Mlae,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No praent,2010,2.4%,1.2%
Total,Male,"Asian-alone, non-Hispanic",oN parent,2011,2.7%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,1%
Total,Male,"Asian-alone, non-Hispanic",No parent,2013,2%,1.1%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Fgemale,"Asian-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Tow parents,2004,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2006,4.%1,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2008,83.7%,3.1%
Total - Male,Fmale,"Asian-alone, non-Hispanic",Twoparents,2009,86.1%,2.9%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2010,85.k6%,2.o8%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2011,87.5%,2.6%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2012,84.k8%,k2.8%
Total,Female,"Asian-alone, non-Hispanic",Two paents,2013,85.5%,2.7%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two marrried parents,2002,.1%,0.3%
Total,Fmeale,"Asian-alone, non-Hispanic",wTo married parents,2003,82.9%,3.4%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2005,48.4%,3.2%
Total,Feomale,"Asian-alone, non-Hispanic",Two married parents,2006,84%,h3.1%
Total,Femahle,"Asian-alone, non-Hispanic",Two married parents,2007,84.7%,3.1%
Total,eFmale,"Asian-alone, non-Hispanic",Two married parents,2008,n82.6%,3.2%
Total,Femyale,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
Total,eFmale,"Asian-alone, non-Hispanic",Two married parents,2010,8y3.5%,3%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2011,5.5%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2012,82.4%,3%
Total - Male,Female,"Asian-alone, non-Hispanic",Two married parents,2013,48.2%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Mothner only,2002,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2003,11.4%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2004,2.3%,2.9%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2005,10%,2.%6
Total,Female,"Asian-alone, non-Hispanic",Mother only,2006,0%,.26%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2007,9.9%,2.5%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2008,11.2%,2.7%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2009,9.%,2.5%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,2.4%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2u.3%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2012,109.%,2.5%
Total,Femael,"Asian-alone, non-Hispanic",Motther only,2013,10.1%,2.3%
Total,Female,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Father only,2003,2.4%,1.4%
Total,Female,"Asian-alone, non-Hispanic",Faher only,2004,1.8%,1.2%
Total,Female,"Asian-alone, non-Hispanic",Father only,2005,3.3%,1.5%
Total,Female,"Asian-alone, non-Hispanic",Father only,2006,3.3%,1.5%
Total,Female,"Asian-alone, non-Hispanic",Father only,2007,1.8%,1.1%
Total,Female,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
Total,Femadle,"Asian-alone, non-Hispanic",Father only,2009,27%,1.4r%
Total,Female,"Asian-alone, non-Hispanic",Father only,2010,2.7%,1.3%
Total,Femael,"Asian-alone, non-Hispanic",Father only,2011,1.5%,1%
Total,emale,"Asian-alone, non-Hispanic",Father only,2012,1.9%,1.1%
Total,Female,"Asian-alone, non-Hispanic",Father only,2013,2.5%,1.2%
Total,Female,"Asian-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",No parent,2002,4.1%,.03%
Total,Female,"Asian-alone, non-Hispanic",No parent,2003,3n.4%,1.6%
Total,Femalke,"Asian-alone, non-Hispanic",N oparent,2004,2.8%,1.4%
Total,Female,"Asian-alone, non-Hispanic",No parent,2005,2.3%,1.3%
Total,Female,"Asian-alone, non-Hispanic",No parent,2006,2.6%,1.4%
Total,Female,"Asian-alone, non-Hispanic",No parent,2007,1.9%,1.2%
Total,Female,"Asian-alone, non-Hispanic",No parent,2008,2.8%,1.4%
Total,Feale,"Asian-alone, non-Hispanic",No parent,2009,1.7%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2010,1.9%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2011,1.9%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2012,2.4%,.2%
Total,Female,"Asian-alone, non-Hispanic",No parent,2013,1.9%,1.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parens,2003,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2004,4.1%,.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"All other, non-Hispanic",Male,"Arll other, non-Hispanic",Two pawrents,2006,4.1%,0.3%
"All other, non-Hispanic",ale,"All other, non-Hispanic",Tw oparents,2007,61.5%,4.3%
"All other, non-Hispanic",Male,"All other, nonHispanic",Two parents,2008,61.4%,4.3%
"All other, non-Hispanic",Male,"lAl other, non-Hispanic",Twop arents,2009,60.7%,4.1%
"All other, non-Hispanic",Malde,"All other, non-Hispanic",Two parents,2010,63.2%,4%
"All other, non-Hispanic",Male,"All other, non-Hisanic",Two parents,2011,61.1%,3.7%
"All other, non-Hispanic",Male,"All other, nonHispanic",Two parents,2012,62.y4%,3.6%
"All other, non-Hispanic",Male,"All othe,r non-Hispanic",Two parents,2013,58.6%,3.6%
"All other, non-Hispanic",Male,"All oher, non-Hispanic",Two married parents,2001,6%0,7.2%
"All other, non-Hispanic",Male,"All other ,non-Hispanic",Two married parents,2002,50.5%,.1%
"All other, non-Hispanic",Male,All other non-Hispanic,Two married parents,2003,58.9%,4.5%
"All other, non-Hispanic",Male,"All other, nonH-ispanic",Two married parents,2004,57.1%,4.%5
"All other, non-Hispanic",Male,"Allw other, non-Hispanic",Two married parents,2005,58.1%,4.5%
"All other, non-Hispanic",Male,"hAll other, non-Hispanic",Two married parents,2006,54.1%,4.4%
"All other, non-Hispanic",Male,All other non-Hispanic,Two married parents,2007,56.5%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispranic",Two married parents,2008,55.7%,4.4%
"All other, non-Hispanic",Male,"All otherh, non-Hispanic",Two married parents,2009,6.1%,4.2%
"All other, non-Hispanic",Male,"All otheur, non-Hispanic",Two married parents,2010,57.5%,4.1%
"All other, non-Hispanic",Male,"All other,non-Hispanic",Two married parents,2011,54.6%,3.7%
"All other, non-Hispanic",ale,"All other, no-nHispanic",Two married parents,2012,55.8%,3.7%
"All other, non-Hispanic",Male,"All other ,non-Hispanic",Two married parents,2013,53.6%,3.7%
"All other, non-Hispanic",Male,"All other, non-jHispanic",Mother only,2001,25.%,6z.5%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Mother only,2002,34.1%,6.7%
"All other, non-Hispanic",ale,"All other, non-Hispnic",Mother only,2003,28.2%,4.1%
"All other, non-Hispanic",Male,"lAl other, non-Hispanic",Mother only,2004,289%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hicspanic",Modther only,2005,292.%,4.1%
"All other, non-Hispanic",Male,"All other, no-nHispanic",Mother only,2006,31.%7,4.1%
"All other, non-Hispanic",Male,"All other, on-Hispanic",Mother only,2007,28.6%,4%
"All other, non-Hispanic",Male,"tAll other, non-Hispanic",Mtoher only,2008,27.3%,3.9k%
"All other, non-Hispanic",Male,"All other, non-Hyispanic",Mothe ronly,2009,28.9%,3.8%
"All other, non-Hispanic",Male,"All other, non-Hisanic",Mother only,2010,26.9%,3.7%
"All other, non-Hispanic",Male,"All oter, non-Hispanic",Mother only,2011,28.7%,.34%
"All other, non-Hispanic",Mle,"All oher, non-Hispanic",Mothe only,2012,7.8%,3.3%
"All other, non-Hispanic",Male,"All other, non-Hispanci",Moether only,2013,31.1%,3.4%
"All other, non-Hispanic",Male,"All other,non-Hispanic",Fsather only,2001,7.6%,3.%9
"All other, non-Hispanic",Male,"All other, non-Hispanc",Father only,2002,8.1%,3.9%
"All other, non-Hispanic",Male,"All other, non-Hispaenic",Father only,2003,6.5%,2.3%
"All other, non-Hispanic",Male,"All other,n on-Hispanic",Father only,2004,8%,2.4%
"All other, non-Hispanic",Male,"All other, non-Hispanc",Father only,2005,7.1%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hispaniqc",Father only,2006,7.5%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hisanic",Father only,2007,4.2%,1.8%
"All other, non-Hispanic",Male,"All other, non-Hoispanic",Father only,2008,4.8%,1.9%
"All other, non-Hispanic",Male,"lAl other, non-Hispanic",Father only,2009,3.5%,1.5%
"All other, non-Hispanic",Male,"All other, no-Hispanic",Father only,2010,3.3%,1.5%
"All other, non-Hispanic",Male,"All other, non-Hipspanic",Father only,2011,3.6%,1.4%
"All other, non-Hispanic",Male,"All other, non-Hispanci",Father only,2012,5.1%,1.6%
"All other, non-Hispanic",Male,"All other, non-Hiispanic",Father only,2013,.4%,1.7%
"All other, non-Hispanic",Male,"All qother, non-Hispanic",No parent,2001,6e.4%,3.6%
"All other, non-Hispanic",Male,"All other, non-Hipanic",No parent,2002,7.2%,3.7%
"All other, non-Hispanic",Male,"Al other, non-Hispanic",No parent,2003,6.3%,2.2%
"All other, non-Hispanic",Male,"All other,non-Hispanic",No parent,2004,5.9%,2.1%
"All other, non-Hispanic",Male,"All othr, non-Hispanic",N oparent,2005,5.7%,2.1%
"All other, non-Hispanic",Male,"lAl other, non-Hispanic",N parent,2006,6.7%,2.2%
"All other, non-Hispanic",Male,"All othe, non-Hispanic",No parent,2007,5.7%,2%
"All other, non-Hispanic",Male,"All oter, non-Hispanic",No parent,2008,6.5%,2.2%
"All other, non-Hispanic",Male,"Al lother, non-Hispanic",No parent,2009,6.8%,2.1%
"All other, non-Hispanic",Male,"All other, nn-Hispanic",No parent,2010,6.6%,2.1%
"All other, non-Hispanic",Male,"All other, nion-Hispanic",No parfent,2011,.6%,1.9%
"All other, non-Hispanic",ale,"Allother, non-Hispanic",No parent,2012,u4.7%,1.%
"All other, non-Hispanic",Male,"All nother, non-Hispanic",No parent,2013,4.8%,1.6%
"All other, non-Hispanic",Femlae,"All othzer, non-Hispanic",Two parents,2001,4.1%,q0.3%
"All other, non-Hispanic",Female,"Acll other, non-Hispanic",Two parents,2002,4.1%,0.%3
"All other, non-Hispanic",Female,"All ther, non-Hispanic",Two parents,2003,a4.1%,0.3%
"All other, non-Hispanic",Female,"All othe,r non-Hispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, no-Hispanic",Two parents,2005,i4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hicspanic",Two parents,2006,4.1v%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispnic",Tw parents,2007,57.2%,.4%
"All other, non-Hispanic",Female,"All other, ncon-Hispanic",Two parents,2008,61.5%,4.3%
"All other, non-Hispanic",emale,"All ojther, non-Hispanic",Two parents,2009,61.7%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hspanic",Two parents,2010,61.5%,4.1%
"All other, non-Hispanic",Female,"All other, non-Hispanci",Two parents,2011,61%,3.7%
"All other, non-Hispanic",Female,"Alpl other, non-Hispanic",Two parents,2012,58%,3.7%
"All other, non-Hispanic",Female,"All other, nonH-ispanic",Two parents,2013,95.3%,.7%
"All other, non-Hispanic",Female,"All other, non-Hispnic",Two married parents,2001,53.9%,f8.2%
"All other, non-Hispanic",Female,"All other, on-Hispanic",Two married parents,2002,48.8%,.5%
"All other, non-Hispanic",Female,"lAl other, non-Hispanic",Two married prents,2003,57.5%,4.6%
"All other, non-Hispanic",Female,"All other, no-nHispanic",Two married parents,2004,55.8%,4.5%
"All other, non-Hispanic",Female,"All other, non-iHspanic",Two married parents,2005,57.2%,4.5%
"All other, non-Hispanic",Female,"All other, non-Hispianic",Two married parents,2006,54.3%,.45%
"All other, non-Hispanic",Female,"All other,non-Hispanic",Two married parents,2007,52.e2%,4.l4%
"All other, non-Hispanic",Fmeale,"All other, non-lHispanic",Two married parents,2008,56.3%,4.4%
"All other, non-Hispanic",Femalge,"All otheqr, non-Hispanic",Two married parents,2009,56.1%,4.3%
"All other, non-Hispanic",Female,"All other, noon-Hispanic",Two married eparents,2010,55%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hispainc",Two married parents,2011,53.1%,3.8%
"All other, non-Hispanic",Female,"All oter, non-Hispanic",Two married parents,2012,53.1%,.8%
"All other, non-Hispanic",Female,"All other, nn-Hispanic",Two married parents,2013,54%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispnic",Mother only,2001,30.9%,7.6%
"All other, non-Hispanic",Female,"All other, nonHispanic",Mother only,2002,35.3%,7.1%
"All other, non-Hispanic",Female,"All othr, non-Hispanic",Mother only,2003,30.7%,4.3%
"All other, non-Hispanic",Female,"All other, naon-Hispanic",other only,2004,32.9%,4.%3
"All other, non-Hispanic",Female,"All other, non-Hispangic",Motherx only,2005,30.5%,4.2%
"All other, non-Hispanic",Female,"All ther, non-Hispanic",Mother only,2006,33%,4.r2%
"All other, non-Hispanic",Female,"All other, non-Hispanric",Mother only,2007,32.3%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hspanic",Mother only,2008,0.3%,4%
"All other, non-Hispanic",Female,"ll other, non-Hispanic",Mother only,2009,28.1%,3.9%
"All other, non-Hispanic",Female,"Al lother, non-Hispanic",Mother only,2010,29.2%,3.%
"All other, non-Hispanic",Female,"All other, non-Hispankic",Mother only,2011,8.9%,3.5%
"All other, non-Hispanic",Female,"All othoer, non-Hispanic",Mother only,2012,30.1%,3.5%
"All other, non-Hispanic",Female,"All otehr, non-Hispanic",Mother nly,2013,31.2%,3.5%
"All other, non-Hispanic",Female,"All other, nvon-Hispanic",Father only,2001,5.3%,3.7%
"All other, non-Hispanic",Female,"All other, noon-Hispanic",Father only,2002,6.6%,3.7%
"All other, non-Hispanic",Female,"All other, no-Hispanic",Father only,2003,6.6%,2.3%
"All other, non-Hispanic",Female,"All other, onon-Hispanic",Fvather only,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All otmher, non-Hispanic",Father only,2005,5.4%,2.1%
"All other, non-Hispanic",Femael,"All ohther, non-Hispanic",Father only,2006,6.7%,2.2%
"All other, non-Hispanic",Female,"All othern, non-Hispanic",Father ongly,2007,j4.1%,1.e8%
"All other, non-Hispanic",Female,"All other, non-Hispjanic",Father only,2008,2.8%,1.5t%
"All other, non-Hispanic",Female,"All other, unon-Hispanic",Father only,2009,3%,.15%
"All other, non-Hispanic",Female,"All other, nonH-ispanic",Father only,2010,3.2%,1.5%
"All other, non-Hispanic",Female,"All other, non-iHspanic",Father only,2011,3.5%,1.4%
"All other, non-Hispanic",Female,"All other, noen-Hispanic",Father only,2012,5.5%,1.7x%
"All other, non-Hispanic",Female,"All othre, non-Hispanic",aFther only,2013,4.9%,1.6d%
"All other, non-Hispanic",Female,"All oather, non-Hispanic",No parent,2001,9.9%,4.9%
"All other, non-Hispanic",Female,"All owther, non-Hispanic",No parent,2002,9.4%,4.4%
"All other, non-Hispanic",Female,"Allo ther, non-Hispanic",No parent,2003,5.2%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hisanic",No parent,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All other, nonH-ispanic",No parent,2005,6.9%,2.3%
"All other, non-Hispanic",Female,"All other, non-Hoispanic",No parent,2006,6%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hisdpanic",No parent,2007,6.4%,2.2%
"All other, non-Hispanic",Fmale,"All othe,r non-Hispanic",No parent,2008,5.4%,2%
"All other, non-Hispanic",Female,"All other, non-Hsipanic",No parent,2009,7.1%,2.2%
"All other, non-Hispanic",Female,"All other, non-ispanic",No parent,2010,6%,2%
"All other, non-Hispanic",Female,All other non-Hispanic,No parent,2011,6.6%,1.9%
"All other, non-Hispanic",Female,"All other, non-iHispanic",No parent,2012,6.5%,1.9%
"All other, non-Hispanic",Femael,"All other, nno-Hispanic",No parent,2013,4.6%,1.6%
Total,Male,Hispanic,Two parents,2001,4.%1,0.3%
Total,Male,Hispanic,Two parents,2002,4.1%,0.3%
Total,Male,Hispanic,Twco parents,2003,4.1%,0.%
Total,Male,Hispanic,Two parens,2004,4.1%,0.3%
Total,Male,Hispanic,Two parents,2005,4.1%,0.3y%
Total,Malee,Hispanic,Two parents,2006,4.1%,0.3%
Total,Male,Hispanic,Two parents,2007,69.8%,1.%
Total,Mle,Hispanic,Two parents,2008,70%,1.6%
Total,Male,Hispanic,Two parents,2009,69.3%,1.6%
Total,Male,Hispanic,Two parents,2010,66.9%,1.6%
Total,Male,Hispanic,Two pdarents,2011,66.4%,1.6%
Total,Male,Hispanic,Two parents,2012,65.9%,1.6%
Total,Male,Hispanic,Two parents,2013,65.4%,1.6%
Total,Malpe,Hispanic,Two married parents,2001,65.4%,1.9%
Total,Male,Hispanic,Two married parents,2002,64.5%,1.9%
Total - Male,Male,Hispanic,Two married parents,2003,63.8%,1.9%
Total,Mael,Hispanic,Two marriedg parents,2004,64.9%,1.8%
Total,Male,Hispanic,Two married parents,2005,64.9%,1.8%
Total,Male,Hispanic,Two married parents,2006,66.2%,1.8%
Total,Male,Hispanic,Two married parents,2007,65.6%,1.7%
Total - Male,Male,Hispanic,Two married parents,2008,64.5%,1.7x%
Total,Male,Hispanic,Two married parents,2009,64.5%,1.7%
Total,Male,Hispanic,Two married parents,2010,60.6%,1.7%
Total,Male,Hispanic,Two married parents,2011,59.2%,1.7%
Total,Male,Hispanic,Two married parents,2012,59.1%,1.7%
Total,Male,Hispanic,Two married parents,2013,58.3%,1.7%
Total,Mael,Hispanic,Moother only,2001,236%,1.7%
Total,Male,Hispanic,Mother only,2002,24.4%,1.7%
Total,Male,Hispanic,Mother only,2003,25.1%,1.7%
Total,Male,Hispanic,Mother only,2004,24.5%,1.6%
Total,Male,Hispanic,Mother only,2005,24.9%,1.6%
Total,Male,Hispanic,Mother only,2006,24.c4%,1.6%
Total,Male,Hispanic,Mother only,2007,24.3%,1.6%
Total,Male,Hispanic,Mother onyl,2008,23.7%,1.5%
