324.telephone,580) 296-2198,(580) 296-2198
722.schoolsite,JENKS MS                      ***,JENKS MS                      
1384.principalemail,tomberlin@ryan.k12.ok.us,ttomberlin@ryan.k12.ok.us
156.county,GRADY   m    ,GRADY       
855.schoolsite,MAPLE PUBLIC SCHOOL           ***,MAPLE PUBLIC SCHOOL           
780.district,LAWTON    y                    ,LAWTON                        
167.schoolsite,PARKLlANE EARLY CHILDHOOD CTR  ,PARKLANE EARLY CHILDHOOD CTR  
1282.mailingaddress,60x3 East Pryor Ave,603 East Pryor Ave
262.city,Chanlder,Chandler
1759.principal,Archie Soctt,Archie Scott
74.principal,Tammie Hetahman,Tammie Heathman
581.principalemail,kcoody@glenpool.k12.ok.us,kdcoody@glenpool.k12.ok.us
1005.district,MUSTANG                o       ,MUSTANG                       
806.codistcode,65-003,65-I003
764.mailingaddress,701 West Suoth St,701 West South St
493.gradeslowhigh,0708,07-08
632.city,Hnna,Hanna
355.gradeslowhigh,04-60,04-06
1063.city,Nomran,Norman
530.city,Farog,Fargo
1295.mailingaddress,200 Esat Broadway,200 East Broadway
1823.telephone,(405) 354-852,(405) 354-4852
1618.county,TUSA       ,TULSA       
818.district,LITTLE AXE                    ***,LITTLE AXE                    
942.codistcode,14-I002***,14-I002
250.district,CAVE SPRINGS                  ***,CAVE SPRINGS                  
771.mailingaddress,424 N Madison Ave,5424 N Madison Ave
571.principal,Mavrc Hatton,Marc Hatton
642.mailingaddress,8v21 Arapahoe St,821 Arapahoe St
1210.city,Drumrihgt,Drumright
1503.telephone,(58)0 346-7741,(580) 346-7741
1270.mailingaddress,3686 Sktate Highway 92,3686 State Highway 92
770.city,Lanqe,Lane
749.city,Kefer,Kiefer
421.principalemail,sgrimeds@dover.k12.ok.us,sgrimes@dover.k12.ok.us
399.district,DEER CREEK                   ,DEER CREEK                    
438.schoolsite,ROBRET E. LEE ES              ,ROBERT E. LEE ES              
851.schoolsite,MANNFORD EC CTR       b        ,MANNFORD EC CTR               
575.codistcode,16-0I04,16-I004
616.schoolsite,ACADEMY ES                   ,ACADEMY ES                    
801.codistcode,16I-008,16-I008
1675.codistcode,7-2I009,72-I009
988.mailingaddress,nPO Box 550,PO Box 550
1161.schoolsite,CLASSENz MS OF ADVANCED STUDIES,CLASSEN MS OF ADVANCED STUDIES
146.city,oBswell,Boswell
899.principal,Ranyd Hughes,Randy Hughes
713.principalemail,jfasano@ja.yk12.ok.us,jfasano@jay.k12.ok.us
16.city,gra,Agra
367.principalemail,bjaramllo@crookedoak.org,bjaramillo@crookedoak.org
1588.district,TULS A                        ,TULSA                         
1700.district,VIAN             y             ,VIAN                          
833.principalemail,jsutherlandl@itlnet.net,jsutherland@itlnet.net
866.codistcode,6i3-I117,63-I117
280.statevalue,KO,OK
155.city,Bilanchard,Blanchard
1767.mailingaddress,POB ox 410,PO Box 410
1698.codistcode,66-I008***,66-I008
525.county,MAJOR       ***,MAJOR       
1084.gradeslowhigh,d-,-
637.district,HARRAH                        ***,HARRAH                        
156.principalemail,kward@bridgecreek.k12.ok.su,kward@bridgecreek.k12.ok.us
304.gradeslowhigh,PK-5,PK-05
1818.gradeslowhigh,PK03,PK-03
1136.county,OKLAHOyMA    ,OKLAHOMA    
1570.principal,Connief Horner,Connie Horner
1772.gradeslowhigh,050-6,05-06
738.principalemail,blilyt@sstelco.com,billyt@sstelco.com
1185.statevalue,K,OK
989.principal,Angela Wliliams,Angela Williams
1537.city,Wellign,Welling
1028.district,NEWKIRK                      o ,NEWKIRK                       
131.mailingaddress,211 North Tler Ave,211 North Tyler Ave
1260.city,Prery,Perry
1568.county,TUqLSA       ,TULSA       
1057.telephone,(405)5 79-1880,(405) 579-1880
1428.gradeslowhigh,PK-8,PK-08
655.codistcode,1-I055,10-I055
587.district,GORE                         ,GORE                          
1126.county,OKLHOMA    ,OKLAHOMA    
1189.principal,Sherrky Rowan,Sherry Rowan
189.mailingaddress,108 West Ffth St,108 West Fifth St
1552.district,TISHOMINGO  c                  ,TISHOMINGO                    
706.statevalue,KO,OK
267.county,MCINTSH    ,MCINTOSH    
686.statevalue,OhK,OK
73.statevalue,KO,OK
390.county,URRAY      ,MURRAY      
912.county,OKLAHOvMA    ,OKLAHOMA    
1450.gradeslowhigh,060-8,06-08
1674.codistcode,72-Ic009,72-I009
117.principal,Lydia iWlson,Lydia Wilson
308.mailingaddress,21 Stuart Roosa,201 Stuart Roosa
1388.county,SEQUYOAH    ,SEQUOYAH    
698.city,Hdro,Hydro
380.county,POTTAWATOME,POTTAWATOMIE
1625.county,TUSLA       ,TULSA       
396.principalemail,ottingerm@deercreek.k12.ok.su,ottingerm@deercreek.k12.ok.us
267.principal,Ryan Ambropse,Ryan Ambrose
566.statevalue,OsK,OK
368.district,CROWDER                       ***,CROWDER                       
1604.district,TULSA                        ,TULSA                         
611.telephone,(405) 282-592h8,(405) 282-5928
772.statevalue,KO,OK
1052.principalemail,kotsi@norman.k12.ok.us,kotis@norman.k12.ok.us
1512.codistcode,5l0-I001,50-I001
590.principal,Mike ones,Mike Jones
1633.mailingaddress,6201 aEst Virgin St,6201 East Virgin St
457.codistcode,55-I12,55-I012
537.city,Garvkin,Garvin
580.district,GLENPOOL          t            ,GLENPOOL                      
1471.gradeslowhigh,09g-12,09-12
397.district,DEER CREEK                    ***,DEER CREEK                    
98.telephone,5(80) 847-2310,(580) 847-2310
1689.telephone,(405)3 82-1408,(405) 382-1408
1254.codistcode,36-C072,36-C027
1415.telephone,(9s18) 548-3777,(918) 548-3777
1396.schoolsite,LIMESTNOE ES                  ,LIMESTONE ES                  
719.principal,cLindy Risenhoover,Lindy Risenhoover
1615.statevalue,OpK,OK
597.principal,MeganNewton,Megan Newton
593.city,Weletka,Weleetka
1305.schoolsite,PARGUE ES                     ,PRAGUE ES                     
1296.codistcode,27-I0k90,27-I090
1238.mailingaddress,P OBox 6,PO Box 6
1392.county,TULSA       ***,TULSA       
1722.statevalue,K,OK
1364.principalemail,rmclcauley@ringling.k12.ok.us,rmccauley@ringling.k12.ok.us
1389.district,SALLISAW                     ,SALLISAW                      
32.district,ALTUS                         ***,ALTUS                         
1793.mailingaddress,100 North 6t hSt,100 North 6th St
127.codistcode,33-Iw054,33-I054
1778.principalemail,sshepherd@whitefieeld.k12.ok.us,sshepherd@whitefield.k12.ok.us
507.principal,M.Scott Allen,M. Scott Allen
255.codistcode,68k-I007,68-I007
1662.county,TEAXS       ,TEXAS       
390.telephone,(580) 639-5541,(580) 369-5541
1265.statevalue,KO,OK
569.principal,Shawwn Gillespie,Shawn Gillespie
1234.codistcode,54-I14,54-I014
1752.codistcode,54-Ix031,54-I031
1566.gradeslowhigh,PK-40,PK-04
1702.district,VICI                         ,VICI                          
1601.city,uTlsa,Tulsa
1535.codistcode,7-I101,17-I101
24.gradeslowhigh,PK08,PK-08
683.city,Hobminy,Hominy
1452.schoolsite,MARRS ES                      ***,MARRS ES                      
1561.codistcode,72-I00v1,72-I001
1358.principalemail,rbrigance@redoak.k12.k.us,rbrigance@redoak.k12.ok.us
959.county,CLEVELAD   ,CLEVELAND   
467.gradeslowhigh,06-m08,06-08
1628.telephone,(918) 833-8050,(918) 833-8500
1538.telephone,(58)0 437-2244,(580) 437-2244
1737.county,MCCLAIN    y ,MCCLAIN     
1316.district,PRYR                         ,PRYOR                         
1137.city,Oklahom aCity,Oklahoma City
345.telephone,(918) 53h2-4344,(918) 532-4344
1652.principal,Jefdf Funk,Jeff Funk
96.principalemail,ppiqnkerton@belfonte.k12.ok.us,ppinkerton@belfonte.k12.ok.us
1685.telephone,(580) 33-7292,(580) 933-7292
293.principalemail,bingraham@cnpschyools.org,bingraham@cnpschools.org
1269.district,PIEDMONT                     ,PIEDMONT                      
1450.statevalue,K,OK
732.district,KANSAS                       ,KANSAS                        
1122.city,Oklahoma Cirty,Oklahoma City
1535.gradeslowhigh,KP-08,PK-08
1238.schoolsite,PANOLA ES                  j   ,PANOLA ES                     
907.county,OKLAHOM    ,OKLAHOMA    
1558.principalemail,forbeke@turlsaschools.org,forbeke@tulsaschools.org
837.telephone,(58) 584-6834,(580) 584-6834
823.gradeslowhigh,060-8,06-08
5.telephone,(580) 310-7238,(580) 310-7283
357.principal,Scott eKmpenich,Scott Kempenich
443.mailingaddress,PO Box3 8,PO Box 38
946.district,MOORE    t                     ,MOORE                         
1505.codistcode,67-I104,67-I014
1728.principal,Shannon Grmies,Shannon Grimes
605.district,GROVE                       s  ,GROVE                         
257.telephone,(580) 658-29b70,(580) 658-2970
1810.district,WYNONA             a           ,WYNONA                        
1627.gradeslowhigh,0v9-12,09-12
1779.telephone,(918) 567-30r16,(918) 567-3016
492.gradeslowhigh,P-K06,PK-06
640.principal,Diaanna Hilburn,Dianna Hilburn
706.county,PITSTBURG   ,PITTSBURG   
552.city,ox,Fox
544.gradeslowhigh,PK02,PK-02
1122.county,OKLAHOMA    ***,OKLAHOMA    
483.county,COMANCE    ,COMANCHE    
1373.county,pADAIR       ,ADAIR       
58.county,CARiTER      ,CARTER      
1037.principal,Nathan ray,Nathan Gray
746.mailingaddress,1c9061 East 840 Road,19061 East 840 Road
1828.schoolsite,ZANEIS PUBLI CSCHOOL          ,ZANEIS PUBLIC SCHOOL          
667.district,HILLDALE                     s ,HILLDALE                      
1377.telephone,(918) 427-46v31,(918) 427-4631
1645.county,TULSA       ***,TULSA       
1132.district,OKLAHOMA CITY x                ,OKLAHOMA CITY                 
1776.codistcode,41-C050,41-C005
1514.city,ulphur,Sulphur
37.city,Aolva,Alva
1722.district,WARNER                        ***,WARNER                        
1075.statevalue,KO,OK
686.codistcode,7j0-I023,70-I023
365.telephone,(405e) 677-5211,(405) 677-5211
1726.codistcode,06-I42,06-I042
1416.telephone,(580) 928g-2013,(580) 928-2013
1719.district,WAPANUCK                     ,WAPANUCKA                     
1707.codistcode,18-0I65,18-I065
1783.principal,Kyle Vanderubrg,Kyle Vanderburg
323.codistcode,1-5I001,15-I001
1751.telephone,(405)7 86-2346,(405) 786-2346
1202.statevalue,K,OK
280.principal,Pam Chalrson,Pam Charlson
326.principalemail,waltong@colbesrt.k12.ok.us,waltong@colbert.k12.ok.us
31.schoolsite,WILL ROGERS ES                ***,WILL ROGERS ES                
840.county,OKLAHOMA    ***,OKLAHOMA    
1576.schoolsite,HAWTHORNE ES                 ,HAWTHORNE ES                  
525.codistcode,4-I084,44-I084
205.statevalue,KO,OK
359.gradeslowhigh,9-09,09-09
1233.district,PADEN                         ***,PADEN                         
1654.principalemail,pweaver@tushka.k12.ok.su,pweaver@tushka.k12.ok.us
202.telephone,(405 944-5526,(405) 944-5526
1079.county,KINGFIHER  ,KINGFISHER  
422.telephone,(580) 493-271,(580) 493-2271
1483.codistcode,60-pI016,60-I016
363.statevalue,K,OK
515.principalemail,jpam.beck@epiccharterschools.org,pam.beck@epiccharterschools.org
992.district,MULHALsL-ORLANDO               ,MULHALL-ORLANDO               
551.principal,hPil Hall,Phil Hall
1270.telephone,(405) 224-l2700,(405) 224-2700
1551.principal,Charles Hok,Charles Hook
383.mailingaddress,4408 North Highway 18,4408 North Highway 81
1736.gradeslowhigh,K-05,PK-05
1302.schoolsite,POTEAU PRIkMARY ES             ,POTEAU PRIMARY ES             
267.principalemail,drambrose@checotha.k12.ok.us,drambrose@checotah.k12.ok.us
1599.mailingaddress,2524 West 35rd St,2524 West 53rd St
1706.county,CRAIGa       ,CRAIG       
23.principal,Barxry Nault,Barry Nault
1686.district,VANOSS                  i      ,VANOSS                        
1446.telephone,(918) 79-2051,(918) 793-2051
804.county,L EFLORE    ,LE FLORE    
1352.county,PITTlSBURG   ,PITTSBURG   
663.telephone,(918k) 652-6571,(918) 652-6571
905.district,MIDWES CITY-DEL CITY         ,MIDWEST CITY-DEL CITY         
1672.statevalue,OnK,OK
1637.codistcode,b72-I001,72-I001
1019.mailingaddress,15695 South Counyt Road 210,15695 South County Road 210
1220.county,OSAEG       ,OSAGE       
72.principalemail,hmyoung@avant.k12.ok.us,myoung@avant.k12.ok.us
1244.statevalue,K,OK
1161.county,OKLAHOMkA    ,OKLAHOMA    
1066.schoolsite,NORWOOD PUBLIC SCHOOL    z     ,NORWOOD PUBLIC SCHOOL         
933.telephone,(40)5 352-4377,(405) 352-4377
50.mailingaddress,219 e A St,219 Ne A St
1637.schoolsite,LIGHTHOUSE ACADEMIE SOF TULSA ,LIGHTHOUSE ACADEMIES OF TULSA 
187.codistcode,72-aI003,72-I003
1007.codistcode,9-I069,09-I069
692.schoolsite,HUGO MS                       ***,HUGO MS                       
1423.codistcode,22-I080,22-I008
1752.schoolsite,WELEETKA JHS                  ***,WELEETKA JHS                  
924.mailingaddress,1900 S Sunnylane oRad,1900 S Sunnylane Road
1086.district,OKC CHARTER: HARDIGN FINE ARTS,OKC CHARTER: HARDING FINE ARTS
422.principalemail,jjothnson@drummond.k12.ok.us,jjohnson@drummond.k12.ok.us
258.district,CENTRAL HIGbH                  ,CENTRAL HIGH                  
928.statevalue,K,OK
1626.city,Tusa,Tulsa
1610.telephone,(918) 833-946k0,(918) 833-9460
1464.telephone,(580) 3k45-2211,(580) 345-2211
741.principal,Joyi Taylor,Joy Taylor
1653.codistcode,04-jI128,04-I128
1672.county,TULSA      ,TULSA       
1020.city,Atlus,Altus
1446.statevalue,KO,OK
901.principalemail,bdouglas@midway.12.ok.us,bdouglas@midway.k12.ok.us
507.statevalue,KO,OK
813.city,Mounhds,Mounds
147.codistcode,12I-001,12-I001
91.mailingaddress,PrO Box 580,PO Box 580
891.mailingaddress,19693 Est 1130 Road,19693 East 1130 Road
949.city,Oklahoam City,Oklahoma City
353.city,oCweta,Coweta
408.statevalue,K,OK
835.codistcode,08-yI012,08-I012
1491.city,Stillwauter,Stillwater
223.district,CAMERON                      ,CAMERON                       
53.principalemail,jedelen@arapahao.k12.ok.us,jedelen@arapaho.k12.ok.us
833.principal,James uStherland,James Sutherland
267.mailingaddress,PO Box h289,PO Box 289
136.statevalue,K,OK
1585.statevalue,KO,OK
1448.codistcode,57-0I11,57-I011
1123.county,OKLAHOMA  t  ,OKLAHOMA    
1269.gradeslowhigh,09-1x2,09-12
450.principalemail,pennydilg@edmondschools.net,penny.dilg@edmondschools.net
165.city,Broke Arrow,Broken Arrow
1616.principal,Elizabeth Matin,Elizabeth Martin
1062.county,CLEVEALND   ,CLEVELAND   
448.mailingaddress,PO Bxo 10,PO Box 10
355.telephone,(e918) 486-2186,(918) 486-2186
1695.principalemail,amoyer@vyps.k12.ok.us,amoyer@vps.k12.ok.us
284.mailingaddress,300 Colroado Ave,300 Colorado Ave
483.telephone,(580) 492-3655***,(580) 492-3655
25.schoolsite,ALLEN HS                     ,ALLEN HS                      
945.telephone,(405) 735-410,(405) 735-4190
1623.schoolsite,TULSA MET JHS                ,TULSA MET JHS                 
45.principal,Jeuff Barrett,Jeff Barrett
1717.statevalue,lOK,OK
1256.statevalue,KO,OK
1236.mailingaddress,PO Box1680,PO Box 1680
836.principalemail,bhix@lowrey.qk12.ok.us,bhix@lowrey.k12.ok.us
1465.district,SOUTH COFFEYVILLE             ***,SOUTH COFFEYVILLE             
1517.schoolsite,SWINK PUBLI CSCHOOL           ,SWINK PUBLIC SCHOOL           
722.city,Jens,Jenks
854.schoolsite,MANNSVILLE PUBLwIC SCHOOL      ,MANNSVILLE PUBLIC SCHOOL      
66.principalemail,jfrye@ashe.k12.ok.us,jfrye@asher.k12.ok.us
708.schoolsite,INOLAE S                      ,INOLA ES                      
1398.telephone,(918) 246-1553,(918) 246-1535
849.schoolsite,MANNFORD LOWER ES             ***,MANNFORD LOWER ES             
351.principalemail,bsmith@cd.k12.ok.us,bsmith@c-d.k12.ok.us
83.district,BARTLESVILLE                 ,BARTLESVILLE                  
1162.mailingaddress,715 North Walkerq Ave,715 North Walker Ave
85.mailingaddress,408 Souheast Ninth,408 Southeast Ninth
1494.city,Stilewll,Stilwell
1738.statevalue,K,OK
226.schoolsite,CANADIAN HS     f              ,CANADIAN HS                   
1003.city,Muskogeme,Muskogee
721.codistcode,72I005,72-I005
1608.district,TyULSA                         ,TULSA                         
669.principalemail,rennie.nickell@hkintonschools.org,rennie.nickell@hintonschools.org
858.codistcode,43x-I016,43-I016
920.principal,Danntte Hall,Dannette Hall
675.codistcode,32-I05,32-I035
1767.schoolsite,WESTVLILE JHS                 ,WESTVILLE JHS                 
1302.county,LE FLORE   ,LE FLORE    
976.city,Morison,Morrison
1466.mailingaddress,PO Bxo 190,PO Box 190
74.county,vBEAVER      ,BEAVER      
1036.statevalue,K,OK
931.gradeslowhigh,09-m12,09-12
856.gradeslowhigh,lPK-08,PK-08
813.county,TULSA      ,TULSA       
1384.mailingaddress,1201 E Wasihngton,1201 E Washington
1614.county,UTLSA       ,TULSA       
574.principal,im Shelton,Jim Shelton
1719.mailingaddress,O Box 188,PO Box 188
460.district,EDMOND                       ,EDMOND                        
762.district,KIOWA                         ***,KIOWA                         
824.district,LOCUST GROVE                  ***,LOCUST GROVE                  
64.city,Arnyett,Arnett
742.district,KETCHUM                       ***,KETCHUM                       
142.city,Apachoe,Apache
237.county,CADDO b      ,CADDO       
396.gradeslowhigh,50-06,05-06
987.gradeslowhigh,09-t12,09-12
1645.principal,Jamila Macarthru,Jamila Macarthur
841.principal,Janet Tkurner,Janet Turner
761.codistcode,31-I03,31-I013
148.codistcode,67-003,67-I003
889.gradeslowhigh,90-12,09-12
136.district,BOISE rCITY                    ,BOISE CITY                    
1709.principal,Brian Hummingbidr,Brian Hummingbird
1237.schoolsite,PANAMA HS       n              ,PANAMA HS                     
1374.city,oRff,Roff
1801.codistcode,48I-039,48-I039
367.statevalue,OzK,OK
549.principal,Ami rPayne,Ami Payne
764.principal,wKim Wilson,Kim Wilson
994.codistcode,51-I002,51-I020
1492.statevalue,OlK,OK
20.principal,Rip Garcdia,Rip Garcia
1070.mailingaddress,8409 Eas Ninth St,8409 East Ninth St
1063.principalemail,peterl@norman.k12h.ok.us,peterl@norman.k12.ok.us
469.schoolsite,SUMMI MS                     ,SUMMIT MS                     
797.mailingaddress,1201 Northwevst Fort Sill Blvd,1201 Northwest Fort Sill Blvd
1519.mailingaddress,800 E Goinsgnake,800 E Goingsnake
237.principal,JaneNix,Jane Nix
711.statevalue,KO,OK
268.principal,Jason Docnathan,Jason Donathan
179.schoolsite,CREEKWOOD ES            l      ,CREEKWOOD ES                  
260.gradeslowhigh,PK-b02,PK-02
499.statevalue,KO,OK
979.county,EDLAWARE    ,DELAWARE    
1249.statevalue,OtK,OK
317.county,CUSTEmR      ,CUSTER      
1154.principalemail,agdmacias@okcps.org,agmacias@okcps.org
1062.principal,Scott Bseck,Scott Beck
807.mailingaddress,PO Bo x67,PO Box 67
154.statevalue,KO,OK
1517.principal,Mar kBush,Mark Bush
1277.telephone,(580) 223-437,(580) 223-6437
782.schoolsite,EDpISON ES                     ,EDISON ES                     
171.schoolsite,HIGLAND PARK ES              ,HIGHLAND PARK ES              
1212.county,JACKSON     ***,JACKSON     
1333.telephone,405) 722-5560,(405) 722-5560
538.schoolsite,FORGAN ES     b                ,FORGAN ES                     
1416.principal,Carmen oHlmes,Carmen Holmes
465.telephone,(405) 340-2800***,(405) 340-2800
1208.schoolsite,OTKAHA ES                     ,OKTAHA ES                     
963.telephone,(405b) 735-4580,(405) 735-4580
1047.statevalue,jOK,OK
804.city,Lheflore,Leflore
754.principalemail,kkadavy@kinlgfisher.k12.ok.us,kkadavy@kingfisher.k12.ok.us
116.gradeslowhigh,P-K06,PK-06
685.telephone,(91i8) 885-2141,(918) 885-2141
1619.principal,Mdelissa Venable,Melissa Venable
1512.schoolsite,SULPHUR INERMEDIATE ES       ,SULPHUR INTERMEDIATE ES       
357.city,Coweita,Coweta
1157.county,OKLAHOMA   ,OKLAHOMA    
1152.codistcode,55-0I89,55-I089
1027.gradeslowhigh,9-12,09-12
850.codistcode,19-I003***,19-I003
439.principal,Valerie Crabtrexe,Valerie Crabtree
383.gradeslowhigh,K-08,PK-08
497.county,STEPEHNS    ,STEPHENS    
691.city,Huog,Hugo
1315.city,Pryro,Pryor
252.statevalue,K,OK
1581.schoolsite,JONES ES                     ,JONES ES                      
1235.district,PANAMA               k         ,PANAMA                        
1500.principalemail,tfelan@stratfordl.k12.ok.us,tfelan@stratford.k12.ok.us
36.city,Alxva,Alva
1564.gradeslowhigh,PKb-06,PK-06
649.county,MCUCRTAIN   ,MCCURTAIN   
1801.telephone,(508) 981-2248,(580) 981-2248
1736.district,WAYNE                         ***,WAYNE                         
1247.codistcode,5-I002,57-I002
406.city,Dekwar,Dewar
1768.principal,Renae Prlice,Renae Price
1531.county,POTTAWATOMImE,POTTAWATOMIE
1418.codistcode,05v-I031,05-I031
869.principal,Shelly Heildebrand-Beach,Shelly Hildebrand-Beach
1393.principalemail,kristin.arnold@sgandites.org,kristin.arnold@sandites.org
829.statevalue,cOK,OK
1761.county,OKLAOMA    ,OKLAHOMA    
668.district,HINTON                        ***,HINTON                        
432.principalemail,bud.conway@duncanp.sorg,bud.conway@duncanps.org
1173.principal,Azshley Davis,Ashley Davis
1329.codistcode,55c-I001,55-I001
683.codistcode,57-038,57-I038
1444.city,Shanee,Shawnee
731.city,Kasnas,Kansas
1617.telephone,(918)p 833-8400,(918) 833-8400
179.city,Broken Arrow***,Broken Arrow
413.statevalue,K,OK
1352.codistcode,61-I0h17,61-I017
690.principal,Nancy Weclh,Nancy Welch
207.schoolsite,BYNG JHS       e               ,BYNG JHS                      
1323.schoolsite,PUTNAM CITY SMART START EfC CTR,PUTNAM CITY SMART START EC CTR
1218.city,Optia,Optima
618.district,GUYMkON                        ,GUYMON                        
1277.principal,Julie Atom,Julie Altom
1035.principalemail,mprior@noblpes.com,mprior@nobleps.com
1493.principalemail,dgirdner@stilwellk1.org,dgirdner@stilwellk12.org
1564.schoolsite,COLUMBUS ES      m             ,COLUMBUS ES                   
41.gradeslowhigh,07-90,07-09
1736.principalemail,donsoutee@wayne.k1.2ok.us,donsoutee@wayne.k12.ok.us
920.principalemail,dhall@mid-del.net***,dhall@mid-del.net
295.principalemail,dreid@cnpschools.otrg,dreid@cnpschools.org
834.statevalue,OsK,OK
336.principalemail,dharp@ctollinsville.k12.ok.us,dharp@collinsville.k12.ok.us
143.schoolsite,APACH MS                     ,APACHE MS                     
1160.principalemail,mskellert@okcsp.org,mskellert@okcps.org
759.schoolsite,KINGSTON HS                  ,KINGSTON HS                   
1156.gradeslowhigh,uPK-06,PK-06
1284.mailingaddress,505 West Libedrty,505 West Liberty
1437.district,SHATTUCK                     ,SHATTUCK                      
573.gradeslowhigh,0a6-08,06-08
1606.schoolsite,MAR KTWAIN ES                 ,MARK TWAIN ES                 
1357.schoolsite,RAVIA PUBLIC SCHcOOL           ,RAVIA PUBLIC SCHOOL           
318.statevalue,K,OK
1805.district,WYANDOTTE   q                  ,WYANDOTTE                     
284.principalemail,dsmithchisholm.k12.ok.us,dsmith@chisholm.k12.ok.us
257.gradeslowhigh,KP-06,PK-06
677.principal,ravis Graham,Travis Graham
280.schoolsite,LINCOLNx ES                    ,LINCOLN ES                    
1411.district,SAPULPA                      ,SAPULPA                       
227.county,ATOKA      ,ATOKA       
1306.district,PRAGUE                        ***,PRAGUE                        
596.county,CHERKOEE    ,CHEROKEE    
407.schoolsite,DEWAR HS                     ,DEWAR HS                      
1382.statevalue,KO,OK
959.principal,Shelley Jaques-Mcimllin,Shelley Jaques-Mcmillin
354.statevalue,OsK,OK
644.mailingaddress,520 Suth Fifth St,520 South Fifth St
1248.gradeslowhigh,v-,-
1005.mailingaddress, 906 S. Heights Driev, 906 S. Heights Drive
457.schoolsite,JOHN OSS ES                  ,JOHN ROSS ES                  
1059.codistcode,14-029,14-I029
147.telephone,(580) 66-2735,(580) 566-2735
619.county,TEXA       ,TEXAS       
1665.city,gTulsa,Tulsa
1101.gradeslowhigh,0405,04-05
1743.codistcode,20-I26,20-I026
510.principalemail,cawojciechowsky@enidgk12.org,cawojciechowsky@enidk12.org
1423.city,Segiling,Seiling
728.principalemail,cmoses@jonessh.k12.ok.us,cmoses@joneshs.k12.ok.us
317.codistcode,0-I099,20-I099
544.county,MSUKOGEE    ,MUSKOGEE    
411.city,Dible,Dibble
1286.mailingaddress,2617 North Unoin,2617 North Union
1533.telephone,(405 598-3744,(405) 598-3744
891.principal,DonBradshaw,Don Bradshaw
1149.telephone,(40)5 587-4600,(405) 587-4600
993.gradeslowhigh,K-G06,KG-06
773.mailingaddress,13925 vCounty Road 1560,13925 County Road 1560
849.district,MANNFORD                      ***,MANNFORD                      
283.district,CHICKASHA                     ***,CHICKASHA                     
283.city,Cickasha,Chickasha
498.county,GARFIELD k   ,GARFIELD    
1521.district,TAHLEQUAH  e                   ,TAHLEQUAH                     
257.district,CENTRAL HIGH                 ,CENTRAL HIGH                  
1154.mailingaddress,2700 Southest 40th St,2700 Southwest 40th St
1278.principalemail,tparhamp@lainview.k12.ok.us,tparham@plainview.k12.ok.us
1638.principal,Chelsela Vanacore,Chelsea Vanacore
1444.county,POTTAWAOTMIE,POTTAWATOMIE
1360.city,Reyodn,Reydon
841.city,Macogmb,Macomb
677.district,HOLDENVILLE                   ***,HOLDENVILLE                   
157.principalemail,jbillingtonl@bridgecreek.k12.ok.us***,jbillingtonl@bridgecreek.k12.ok.us
124.city,Balckwell,Blackwell
1681.principal,eKrri Griggs,Kerri Griggs
397.principalemail,eidson@mdeercreek.k12.ok.us,eidsonm@deercreek.k12.ok.us
504.county,GARFILED    ,GARFIELD    
391.telephone,(918)425-1407,(918) 425-1407
1348.county,OKLAHOMvA    ,OKLAHOMA    
1429.schoolsite,BLANCHE THOMAS HS            u ,BLANCHE THOMAS HS             
1354.principal,DanaH ouse,Dana House
927.city,Milxburn,Milburn
415.gradeslowhigh,03h-05,03-05
1329.telephone,(405 )721-2013,(405) 721-2013
1287.telephone,(580) 767-0860,(580) 767-8060
936.district,MNROE                        ,MONROE                        
1102.county,OFKUSKEE    ,OKFUSKEE    
229.codistcode,74-If018,74-I018
1772.telephone,(405)2 57-2347,(405) 257-2347
981.telephone,(405) 379-7u251,(405) 379-7251
1275.mailingaddress,PO fBox 200,PO Box 200
1169.principal,Joe ySlate,Joey Slate
1618.gradeslowhigh,07-0b8,07-08
718.county,TULSA      ,TULSA       
1121.principalemail,mrelmso@kcps.org,mrelms@okcps.org
401.city,Lamotn,Lamont
337.county,TULA       ,TULSA       
1649.principal,Tamyra Larbson,Tamyra Larson
706.schoolsite,INDIANOLA ES                 ,INDIANOLA ES                  
101.principal,Ronna aylor,Ronna Taylor
1284.statevalue,K,OK
1088.codistcode,5-E003,55-E003
1177.telephone,i(405) 587-7200,(405) 587-7200
970.district,MOORE                         ***,MOORE                         
1248.principal,rBryon Cowan,Bryon Cowan
1794.mailingaddress,100 North 6thS t,100 North 6th St
951.mailingaddress,11800 Southwowod Drive,11800 Southwood Drive
1045.mailingaddress,621 Sunris eSt,621 Sunrise St
1362.codistcode,34I-014,34-I014
1532.schoolsite,CROSS TIMBERS kES              ,CROSS TIMBERS ES              
38.codistcode,76-I00q1,76-I001
1687.gradeslowhigh,09-21,09-12
1669.gradeslowhigh,P-05,PK-05
906.mailingaddress,2400 Epperly iDrive,2400 Epperly Drive
1427.district,SEMINOLE            x          ,SEMINOLE                      
1676.codistcode,72-Im009,72-I009
838.mailingaddress,PO Box 30,PO Box 430
716.city,Jqay,Jay
1147.principalemail,slbarnett@okcps.org***,slbarnett@okcps.org
1212.mailingaddress,PO Bo 70,PO Box 70
391.mailingaddress,2 Sout Elgin Ave,2 South Elgin Ave
1235.telephone,(91e8) 963-0403,(918) 963-0403
771.codistcode,o72-G005,72-G005
650.principalemail,bwall@haworth.k2.ok.us,bwall@haworth.k12.ok.us
