907.operativeprocedure,Hinp prosthesis,Hip prosthesis
290.facilitytype,ajor Teaching,Major Teaching
733.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
568.county,oSnoma,Sonoma
459.facilitytype,ediatric,Pediatric
821.hai,Surgical Site Infections(SSI),Surgical Site Infections (SSI)
1087.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
955.facilityname,bAntelope Valley Hospital,Antelope Valley Hospital
327.yearvalue,2u020H1,2020H1
790.facilityname,Community Hospitla of San Bernardino,Community Hospital of San Bernardino
457.county,San Dielgo,San Diego
476.facilityname,Sharp Memorihal Hospital,Sharp Memorial Hospital
591.yearvalue,200H1,2020H1
537.facilityname,Mad River Community Hospiatl,Mad River Community Hospital
132.facilitytype,Maojor Teaching,Major Teaching
15.statevalue,Californai,California
406.county,Santau Clara,Santa Clara
1097.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
253.facilityname,Children's Hospiptal of Orange County,Children's Hospital of Orange County
717.statevalue,Californiqa,California
342.county,Ornage,Orange
10.hai,Surgiceal Site Infections (SSI),Surgical Site Infections (SSI)
32.county,Scramento,Sacramento
924.hai,Surgical Site Innfections (SSI),Surgical Site Infections (SSI)
1032.hai,Surgical Site Infxections (SSI),Surgical Site Infections (SSI)
220.operativeprocedure,Cesarean secion,Cesarean section
1016.facilityname,"PIH fHealth Hospital, Downey","PIH Health Hospital, Downey"
36.statevalue,Calfiornia,California
474.facilityname,"Razdy Children's Hospital, San Diego","Rady Children's Hospital, San Diego"
46.hai,Surgical Site Infections( SSI),Surgical Site Infections (SSI)
982.operativeprocedure,Gallbladder urgery,Gallbladder surgery
758.facilitytype,Critical Access***,Critical Access
978.facilitytype,Peidatric,Pediatric
320.facilityname,"Proviadence St. Joseph Hospital, Orange","Providence St. Joseph Hospital, Orange"
1136.hai,Surgical Site Infections (SSIt),Surgical Site Infections (SSI)
455.facilityname,Stannford Health Care,Stanford Health Care
345.statevalue,xCalifornia,California
911.county,San Bernnardino,San Bernardino
1035.operativeprocedure,Gallbladder surqgery,Gallbladder surgery
950.hai,Surgical tSite Infections (SSI),Surgical Site Infections (SSI)
261.facilitytype,Pedatric,Pediatric
1137.hai,Surgical Site Infection s(SSI),Surgical Site Infections (SSI)
764.facilityname,Hi-Desert Medicla Center,Hi-Desert Medical Center
144.county,Pzlacer,Placer
534.county,Lakte,Lake
905.hai,Surgical Site Ifections (SSI),Surgical Site Infections (SSI)
177.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
1134.operativeprocedure,Appendix surery,Appendix surgery
888.operativeprocedure,Exploratory abdominal surgery (laparotmy),Exploratory abdominal surgery (laparotomy)
396.yearvalue,20201H,2020H1
343.hai,Surgica Site Infections (SSI),Surgical Site Infections (SSI)
739.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
1007.facilitytype,Major Taching,Major Teaching
731.hai,Surgical xSite Infections (SSI),Surgical Site Infections (SSI)
301.hospitalcategoryriskadjustment,Acute Care Hospiatl,Acute Care Hospital
212.facilityname,St Johsn Pleasant Valley Hospital,St Johns Pleasant Valley Hospital
475.operativeprocedure,ll procedures,All procedures
550.county,Del Nrte,Del Norte
825.operativeprocedure,All procedubres,All procedures
1168.statevalue,Califomrnia,California
807.statevalue,Caliornia,California
39.facilityname,University of California Davis Medical Cetner,University of California Davis Medical Center
1146.facilityname,Valley Presbyteerian Hospital,Valley Presbyterian Hospital
210.facilitytype,"Community, 125-250Beds","Community, 125-250 Beds"
85.facilitytype,"Community, <125 Besd","Community, <125 Beds"
532.hai,Surgical Stie Infections (SSI),Surgical Site Infections (SSI)
49.yearvalue,020H1,2020H1
50.facilitytype,"Community, <152 Beds","Community, <125 Beds"
658.operativeprocedure,Exploratoyr abdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
941.statevalue,Califonia,California
144.facilityname,"Kaise Foundation Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
818.yearvalue,2c020H1,2020H1
767.yearvalue,20201H,2020H1
39.county,Sacramenot,Sacramento
165.facilityname,eMrcy Medical Center,Mercy Medical Center
78.operativeprocedure,Appendix surgrey,Appendix surgery
215.facilityname,Sierra Vista Regional Medical Ceanter,Sierra Vista Regional Medical Center
71.yearvalue,20201,2020H1
700.yearvalue,020H1,2020H1
226.hospitalcategoryriskadjustment,Acukte Care Hospital,Acute Care Hospital
562.hai,Surgical Site Infectinos (SSI),Surgical Site Infections (SSI)
520.hai,Surgical Site Infections (SIS),Surgical Site Infections (SSI)
993.hai,Surgical Ste Infections (SSI),Surgical Site Infections (SSI)
954.statevalue,Californiba,California
980.hospitalcategoryriskadjustment,Acute Care oHospital,Acute Care Hospital
506.county,Sanv Diego,San Diego
413.facilityname,St.L ouise Regional Hospital,St. Louise Regional Hospital
494.statevalue,Caifornia,California
742.yearvalue,202r0H1,2020H1
785.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
1165.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
4.facilitytype,Major Teachinjg,Major Teaching
845.facilitytype,aMjor Teaching,Major Teaching
921.hai,Surgical Site Infetions (SSI),Surgical Site Infections (SSI)
77.hai,Surgical Site Infecitons (SSI),Surgical Site Infections (SSI)
310.county,range,Orange
333.hospitalcategoryriskadjustment,Acute Casre Hospital,Acute Care Hospital
38.operativeprocedure,Open reductiono f fracture,Open reduction of fracture
1158.statevalue,Californai,California
1108.facilitytype,"Comunity, >250 Beds","Community, >250 Beds"
449.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
954.facilityname,Anteloep Valley Hospital,Antelope Valley Hospital
834.hai,Surgical Site Infectins (SSI),Surgical Site Infections (SSI)
707.hospitalcategoryriskadjustment,Critical Accexss Hospital,Critical Access Hospital
1099.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
689.operativeprocedure,Exploraotry abdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
853.facilityname,"Kaisr Foundation Hospital, Antioch","Kaiser Foundation Hospital, Antioch"
728.facilityname,Oorville Hospital,Oroville Hospital
16.statevalue,Califronia,California
380.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
449.hai,Surgical Site nfections (SSI),Surgical Site Infections (SSI)
404.facilitytype,"Comunity, >250 Beds","Community, >250 Beds"
424.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
201.facilitytype,"Community, >250 Bds","Community, >250 Beds"
55.county,Styanislaus,Stanislaus
1026.operativeprocedure,Exploratory abdominal surgery (lapvarotomy),Exploratory abdominal surgery (laparotomy)
1073.yearvalue,20e20H1,2020H1
1100.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
263.facilityname,Children's Hospital ofr Orange County,Children's Hospital of Orange County
429.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
959.facilityname,Beverly ospital,Beverly Hospital
811.county,Riversidje,Riverside
1.facilityname,Lucile Packardc Children's Hospital Stanford,Lucile Packard Children's Hospital Stanford
610.yearvalue,w2020H1,2020H1
177.operativeprocedure,Ope nreduction of fracture,Open reduction of fracture
577.hai,Surgkical Site Infections (SSI),Surgical Site Infections (SSI)
644.operativeprocedure,Lamginectomy,Laminectomy
137.operativeprocedure,All proceduroes,All procedures
1161.statevalue,Californai,California
70.operativeprocedure,Cesarean ection,Cesarean section
398.facilitytype,"Community, 125-520 Beds","Community, 125-250 Beds"
116.county,Sn Joaquin,San Joaquin
1108.operativeprocedure,Csearean section,Cesarean section
382.hospitalcategoryriskadjustment,Acute Car eHospital,Acute Care Hospital
750.statevalue,Californai,California
1118.facilitytype,Mjajor Teaching,Major Teaching
329.county,Oraneg,Orange
1034.yearvalue,20201,2020H1
274.operativeprocedure,Appenhdix surgery,Appendix surgery
982.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
6.statevalue,Califrnia,California
174.statevalue,zCalifornia,California
126.operativeprocedure,Exploratory abdominal surgery (laparotomoy),Exploratory abdominal surgery (laparotomy)
842.facilityname,"Southwest Healthcare System, Mgurrieta","Southwest Healthcare System, Murrieta"
62.yearvalue,020H1,2020H1
407.yearvalue,020H1,2020H1
294.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
1011.county,Los Aneles,Los Angeles
343.operativeprocedure,aOpen reduction of fracture,Open reduction of fracture
66.facilityname,Memorial Medical Ceqnter,Memorial Medical Center
866.county,Slano,Solano
705.yearvalue,202H1,2020H1
665.yearvalue,020H1,2020H1
348.facilitytype,"Community, >250 Bdes","Community, >250 Beds"
1070.facilitytype,"Communiyt, >250 Beds","Community, >250 Beds"
794.operativeprocedure,Ciesarean section,Cesarean section
222.facilityname,St Johns Regional Medicaxl Center,St Johns Regional Medical Center
808.statevalue,Californai,California
723.yearvalue,020H1,2020H1
650.hospitalcategoryriskadjustment,Acute CareHospital,Acute Care Hospital
715.facilityname,Mercy Medical Cenqter Mt. Shasta,Mercy Medical Center Mt. Shasta
23.statevalue,Californcia,California
219.county,Ventpura,Ventura
311.yearvalue,202H01,2020H1
1080.county,Los Anegles,Los Angeles
62.county,Staunislaus,Stanislaus
413.hai,Surgical Site Infoections (SSI),Surgical Site Infections (SSI)
577.hospitalcategoryriskadjustment,Acute Care oHspital,Acute Care Hospital
42.hai,Surgicla Site Infections (SSI),Surgical Site Infections (SSI)
1093.facilityname,MeomrialCare Long Beach Medical Center,MemorialCare Long Beach Medical Center
9.county,Los gAngeles,Los Angeles
1025.yearvalue,020H1,2020H1
109.yearvalue,20201H,2020H1
588.facilityname,Ridegcrest Regional Hospital,Ridgecrest Regional Hospital
182.facilitytype,"Communiyt, 125-250 Beds","Community, 125-250 Beds"
146.facilitytype,Maojr Teaching,Major Teaching
667.hospitalcategoryriskadjustment,Acute Care Hospiatl,Acute Care Hospital
883.county,Sn Diego,San Diego
59.statevalue,Caifornia,California
633.facilityname,"John Muir Medical Center, Wlanut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
458.facilityname,Scripsp Green Hospital,Scripps Green Hospital
426.statevalue,Califovrnia,California
12.facilityname,Lcuile Packard Children's Hospital Stanford,Lucile Packard Children's Hospital Stanford
487.facilitytype,"Community, >250 oBeds","Community, >250 Beds"
1164.yearvalue,20201H,2020H1
246.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
170.hai,Surhgical Site Infections (SSI),Surgical Site Infections (SSI)
243.yearvalue,202H1,2020H1
139.hai,Surgical Site Infection (SSI),Surgical Site Infections (SSI)
183.hospitalcategoryriskadjustment,Acute Care Hsopital,Acute Care Hospital
1028.facilityname,Henry Mayo Newhall Hospitoal,Henry Mayo Newhall Hospital
802.yearvalue,20201H,2020H1
1060.yearvalue,202H1,2020H1
780.hospitalcategoryriskadjustment,Critical Access Hospiital,Critical Access Hospital
51.facilityname,Marshal lMedical Center,Marshall Medical Center
434.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
944.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
191.county,Venntura,Ventura
238.yearvalue,202H1,2020H1
1111.yearvalue,202b0H1,2020H1
642.facilityname,"Kaiser Foundation Hosptial, Oakland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
1173.operativeprocedure,Open redution of fracture,Open reduction of fracture
498.county,San Dieog,San Diego
1186.operativeprocedure,Open reductio of fracture,Open reduction of fracture
1149.operativeprocedure,ll procedures,All procedures
941.facilitytype,Major eTaching,Major Teaching
575.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
445.yearvalue,20j20H1,2020H1
1163.hai,Srugical Site Infections (SSI),Surgical Site Infections (SSI)
1099.hai,Surgical Siet Infections (SSI),Surgical Site Infections (SSI)
1187.yearvalue,020H1,2020H1
270.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
179.facilityname,Valley Children's Hosipital,Valley Children's Hospital
409.hospitalcategoryriskadjustment,Acute CareHospital,Acute Care Hospital
535.county,aLke,Lake
966.yearvalue,202q0H1,2020H1
722.facilityname,"sEnloe Medical Center, Esplanade","Enloe Medical Center, Esplanade"
301.yearvalue,2020zH1,2020H1
489.statevalue,alifornia,California
539.operativeprocedure,All probcedures,All procedures
12.operativeprocedure,STATE OF CALIFORNIA POOLEDDATA - Knee prosthesis,STATE OF CALIFORNIA POOLED DATA - Knee prosthesis
671.operativeprocedure,Appendi xsurgery,Appendix surgery
157.hai,Surgical Slite Infections (SSI),Surgical Site Infections (SSI)
662.county,Chontra Costa,Contra Costa
25.yearvalue,20201H,2020H1
698.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
1082.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
725.hai,Surgical Site Ifnections (SSI),Surgical Site Infections (SSI)
100.facilitytype,"Community,> 250 Beds","Community, >250 Beds"
1126.hospitalcategoryriskadjustment,Acute kCare Hospital,Acute Care Hospital
1159.yearvalue,020H1,2020H1
548.hai,Surgical Site Inrfections (SSI),Surgical Site Infections (SSI)
365.facilityname,George L. Mee Memorial Hosital,George L. Mee Memorial Hospital
150.facilitytype,Maojr Teaching,Major Teaching
726.statevalue,Califoria,California
1163.facilitytype,tMajor Teaching,Major Teaching
228.facilitytype,Major Teachng,Major Teaching
294.facilityname,artin Luther King Jr. Community Hospital,Martin Luther King Jr. Community Hospital
800.yearvalue,20201,2020H1
1169.hai,Surgical Siate Infections (SSI),Surgical Site Infections (SSI)
444.facilitytype,Maojr Teaching,Major Teaching
352.yearvalue,20n20H1,2020H1
537.hai,Surgical Site Infcetions (SSI),Surgical Site Infections (SSI)
841.hai,urgical Site Infections (SSI),Surgical Site Infections (SSI)
1075.operativeprocedure,wAppendix surgery,Appendix surgery
379.operativeprocedure,Appendix sugery,Appendix surgery
912.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
1043.hospitalcategoryriskadjustment,Acute Care mHospital,Acute Care Hospital
624.statevalue,Cpalifornia,California
60.statevalue,Califpornia,California
881.yearvalue,2v020H1,2020H1
854.operativeprocedure,ppendix surgery,Appendix surgery
916.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
742.facilityname,St. Elizabeth Communtiy Hospital,St. Elizabeth Community Hospital
188.facilityname,"CommunityM emorial Hospital, San Buenaventura","Community Memorial Hospital, San Buenaventura"
973.county,Los Angeless,Los Angeles
116.operativeprocedure,Opne reduction of fracture,Open reduction of fracture
479.facilityname,Grossmont Hospiatl,Grossmont Hospital
479.facilitytype,Majo Teaching,Major Teaching
1061.operativeprocedure,Gallbladder suregry,Gallbladder surgery
1029.statevalue,Calfiornia,California
645.county,Alamead,Alameda
1025.statevalue,Calfiornia,California
588.statevalue,alifornia,California
248.hospitalcategoryriskadjustment,Acutee Care Hospital,Acute Care Hospital
513.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
937.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
292.facilitytype,"Community,125-250 Beds","Community, 125-250 Beds"
1166.facilitytype,Majdor Teaching,Major Teaching
663.statevalue,Canlifornia,California
618.statevalue,alifornia,California
816.operativeprocedure,Appendix sugery,Appendix surgery
210.hospitalcategoryriskadjustment,Acute Car Hospital,Acute Care Hospital
30.county,Sacramcento,Sacramento
315.facilityname,"Providence S. Joseph Hospital, Orange","Providence St. Joseph Hospital, Orange"
685.facilityname,"Kaiser Foundation Hospital, Redwood Ctiy","Kaiser Foundation Hospital, Redwood City"
328.hai,Surgical Sit eInfections (SSI),Surgical Site Infections (SSI)
510.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
850.yearvalue,20201H,2020H1
16.facilitytype,Major Teacing,Major Teaching
900.facilitytype,Mnajor Teaching,Major Teaching
154.hospitalcategoryriskadjustment,Acute Cpare Hospital,Acute Care Hospital
593.yearvalue,20k20H1,2020H1
328.facilitytype,Major Teachixng,Major Teaching
662.operativeprocedure,Alls procedures,All procedures
701.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
676.operativeprocedure,Appendix surglery,Appendix surgery
31.facilityname,Universityof California Davis Medical Center,University of California Davis Medical Center
35.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
598.hai,Surgicnal Site Infections (SSI),Surgical Site Infections (SSI)
462.hai,Surgical Site Infections (SIS),Surgical Site Infections (SSI)
872.statevalue,Caliornia,California
172.statevalue,alifornia,California
669.facilityname,"Kaiser Foundation Hospital, Fremotn","Kaiser Foundation Hospital, Fremont"
905.facilityname,Loma Linda Universit yChildren's Hospital,Loma Linda University Children's Hospital
493.facilitytype,"Community, 125-250 kBeds","Community, 125-250 Beds"
300.yearvalue,2002H1,2020H1
1168.hospitalcategoryriskadjustment,Acute iCare Hospital,Acute Care Hospital
635.yearvalue,2002H1,2020H1
513.statevalue,Caifornia,California
614.facilityname,UCSF Benioff Children's Hospiktal Oakland,UCSF Benioff Children's Hospital Oakland
744.yearvalue,20d20H1,2020H1
1103.hai,Surgical Site Infectins (SSI),Surgical Site Infections (SSI)
902.statevalue,Caliornia,California
514.facilitytype,Major Teachinbg,Major Teaching
996.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
196.facilityname,Lompoc Valley Medical Cesnter,Lompoc Valley Medical Center
535.facilityname,Sutterb Lakeside Hospital,Sutter Lakeside Hospital
965.facilitytype,"Comumnity, >250 Beds","Community, >250 Beds"
142.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
200.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
1168.hai,Surgical SiteI nfections (SSI),Surgical Site Infections (SSI)
448.county,Sata Clara,Santa Clara
274.county,Oange,Orange
683.statevalue,Caalifornia,California
294.statevalue,Califonria,California
1106.facilitytype,"Community, >g250 Beds","Community, >250 Beds"
700.county,Saxn Francisco,San Francisco
73.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
414.hai,Surgical Site Infections (SSI)***,Surgical Site Infections (SSI)
148.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
735.statevalue,alifornia,California
709.hai,Srgical Site Infections (SSI),Surgical Site Infections (SSI)
1040.operativeprocedure,All procedrues,All procedures
62.facilitytype,"Communtiy, >250 Beds","Community, >250 Beds"
470.yearvalue,20t20H1,2020H1
85.yearvalue,020H1,2020H1
1153.facilitytype,"Community, >250 eBds","Community, >250 Beds"
697.statevalue,eCalifornia,California
851.hai,Surgical Sit Infections (SSI),Surgical Site Infections (SSI)
694.operativeprocedure,Openreduction of fracture,Open reduction of fracture
809.hai,Surgizcal Site Infections (SSI),Surgical Site Infections (SSI)
196.facilitytype,Major Teachhing,Major Teaching
526.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
399.statevalue,Califoria,California
807.facilitytype,"Community,125-250 Beds","Community, 125-250 Beds"
1076.hai,Surgical Sie Infections (SSI),Surgical Site Infections (SSI)
284.facilityname,LAC/Harbor UCLA MedicalCenter,LAC/Harbor UCLA Medical Center
397.yearvalue,0220H1,2020H1
377.statevalue,Califorina,California
327.operativeprocedure,"Bile mduct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
688.operativeprocedure,Appendix surgey,Appendix surgery
497.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
895.yearvalue,20201H,2020H1
220.yearvalue,202t0H1,2020H1
1118.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
836.county,Rivesride,Riverside
451.hospitalcategoryriskadjustment,Acute Carbe Hospital,Acute Care Hospital
884.facilityname,PalomarM edical Center,Palomar Medical Center
609.hai,Surgical Site Infectkions (SSI),Surgical Site Infections (SSI)
62.hospitalcategoryriskadjustment,Acute Car eHospital,Acute Care Hospital
730.hai,Surgical Site Infections (SSqI),Surgical Site Infections (SSI)
573.facilitytype,"Community, >250 Besd","Community, >250 Beds"
664.hai,Surgical Site Infections (SSI)***,Surgical Site Infections (SSI)
276.operativeprocedure,Gallbldder surgery,Gallbladder surgery
501.statevalue,Califoria,California
175.statevalue,Calfornia,California
60.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
79.facilitytype,dMajor Teaching,Major Teaching
473.facilityname,"Rady Cihldren's Hospital, San Diego","Rady Children's Hospital, San Diego"
552.facilitytype,"Community, <125m Beds","Community, <125 Beds"
330.hospitalcategoryriskadjustment,Axcute Care Hospital,Acute Care Hospital
135.hospitalcategoryriskadjustment,Acute Care Hosptial,Acute Care Hospital
913.hai,Surgical Sixte Infections (SSI),Surgical Site Infections (SSI)
856.county,Stanislauys,Stanislaus
611.statevalue,Califoria,California
476.county,Sna Diego,San Diego
969.facilityname,Huntingtonn Hospital,Huntington Hospital
905.facilitytype,Mjaor Teaching,Major Teaching
270.county,Oragne,Orange
310.statevalue,Califonia,California
123.county,Sacrameno,Sacramento
1130.hai,Skurgical Site Infections (SSI),Surgical Site Infections (SSI)
911.operativeprocedure,Recptal surgery,Rectal surgery
266.facilityname,Fountain Valley Regional Hospital and Medicla Center,Fountain Valley Regional Hospital and Medical Center
1150.hospitalcategoryriskadjustment,Acute Carea Hospital,Acute Care Hospital
871.yearvalue,u2020H1,2020H1
104.operativeprocedure,olon surgery,Colon surgery
160.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
830.hospitalcategoryriskadjustment,Acutae Care Hospital,Acute Care Hospital
890.facilitytype,Maojor Teaching,Major Teaching
331.operativeprocedure,Small bwoel surgery,Small bowel surgery
917.facilityname,UCSF Medical Center at Msision Bay,UCSF Medical Center at Mission Bay
306.facilitytype,Major Teahcing,Major Teaching
1099.yearvalue,2002H1,2020H1
633.county,Contr Costa,Contra Costa
42.county,Sacramegnto,Sacramento
1046.county,Los Agneles,Los Angeles
300.facilitytype,Major Teacjhing,Major Teaching
463.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
564.operativeprocedure,All proecdures,All procedures
1090.facilityname,Memorial Hspital of Gardena,Memorial Hospital of Gardena
627.yearvalue,020H1,2020H1
591.hospitalcategoryriskadjustment,CriticalA ccess Hospital,Critical Access Hospital
122.county,Sacramneto,Sacramento
690.facilitytype,Mjor Teaching,Major Teaching
989.county,Los Angheles,Los Angeles
246.county,Satna Barbara,Santa Barbara
1091.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
225.yearvalue,202H01,2020H1
533.facilitytype,Critical Access***,Critical Access
1037.hospitalcategoryriskadjustment,Acute Care oHspital,Acute Care Hospital
72.yearvalue,220H1,2020H1
513.operativeprocedure,Epxloratory abdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
983.county,LosA ngeles,Los Angeles
818.hospitalcategoryriskadjustment,Acute Car eHospital,Acute Care Hospital
243.county,Santa Barkbara,Santa Barbara
1011.operativeprocedure,Al lprocedures,All procedures
421.county,Salnta Clara,Santa Clara
259.county,Oraneg,Orange
795.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
558.operativeprocedure,Cesaraen section,Cesarean section
749.county,Nuevada,Nevada
402.facilityname,"Good Samaritan Hosypital, San Jose","Good Samaritan Hospital, San Jose"
517.statevalue,Califonia,California
898.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
759.hospitalcategoryriskadjustment,Acutve Care Hospital,Acute Care Hospital
739.hai,Surgical Site Infectoins (SSI),Surgical Site Infections (SSI)
120.county,olo,Yolo
778.facilityname,Colrado River Medical Center,Colorado River Medical Center
276.facilityname,Hoag Memorial Hospital Presbyteran,Hoag Memorial Hospital Presbyterian
137.county,San Joauqin,San Joaquin
547.hospitalcategoryriskadjustment,Critical cAcess Hospital,Critical Access Hospital
865.hai,Surgical Site Infectionjs (SSI),Surgical Site Infections (SSI)
135.yearvalue,20201H,2020H1
752.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
400.facilityname,"Good amaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
762.operativeprocedure,All procedeures,All procedures
619.operativeprocedure,Appendix smurgery,Appendix surgery
719.county,uBtte,Butte
404.county,Sanat Clara,Santa Clara
252.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
724.statevalue,Cfalifornia,California
460.yearvalue,v2020H1,2020H1
850.facilitytype,"Community, <12 Beds","Community, <125 Beds"
798.facilityname,Arrowhead Regyional Medical Center,Arrowhead Regional Medical Center
1161.facilitytype,Major aTeaching,Major Teaching
447.facilitytype,Major Tefaching,Major Teaching
374.yearvalue,020H1,2020H1
718.facilityname,"Eloe Medical Center, Esplanade","Enloe Medical Center, Esplanade"
378.facilitytype,Major Teachng,Major Teaching
107.county,San Joaqduin,San Joaquin
131.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
862.facilitytype,Major eaching,Major Teaching
1012.county,Los Ageles,Los Angeles
326.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
383.county,Monterzey,Monterey
673.facilitytype,"Community, >2j50 Beds","Community, >250 Beds"
35.facilitytype,Major Taching,Major Teaching
1160.facilityname,Ronald Reagan UCLAMedical Center,Ronald Reagan UCLA Medical Center
925.facilitytype,Major Teacmhing,Major Teaching
968.facilitytype,"Community,> 250 Beds","Community, >250 Beds"
673.facilityname,Provdience Santa Rosa Memorial Hospital,Providence Santa Rosa Memorial Hospital
1174.facilitytype,ajor Teaching,Major Teaching
814.operativeprocedure,Sall bowel surgery,Small bowel surgery
84.hospitalcategoryriskadjustment,Acutze Care Hospital,Acute Care Hospital
252.operativeprocedure,All prcedures,All procedures
158.hai,Surgical Site Infectionus (SSI),Surgical Site Infections (SSI)
1086.statevalue,Caliornia,California
910.facilitytype,Major Teachinsg,Major Teaching
924.statevalue,Calwifornia,California
691.yearvalue,2200H1,2020H1
348.operativeprocedure,Cesarean esction,Cesarean section
58.facilitytype,"Community, >i250 Beds","Community, >250 Beds"
1020.statevalue,Californiwa,California
8.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
538.yearvalue,2002H1,2020H1
1166.hospitalcategoryriskadjustment,Acute Car Hospital,Acute Care Hospital
877.county,San Bernadino,San Bernardino
407.operativeprocedure,Spianl fusion,Spinal fusion
477.county,San Dieog,San Diego
735.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
920.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
474.facilitytype,Pediatrixc,Pediatric
430.hai,Surgical Site nIfections (SSI),Surgical Site Infections (SSI)
807.facilityname,Desert Vlaley Hospital,Desert Valley Hospital
622.hospitalcategoryriskadjustment,Acute Care Hospiatl,Acute Care Hospital
196.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
131.yearvalue,202b0H1,2020H1
98.operativeprocedure,Open reduction of fractujre,Open reduction of fracture
773.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
915.county,Svan Francisco,San Francisco
733.facilityname,Shasta Regional Medical Cetner,Shasta Regional Medical Center
871.facilityname,"Loma Linda Universtiy Medical Center, Murrieta","Loma Linda University Medical Center, Murrieta"
158.facilityname,Community Regional Medical enter,Community Regional Medical Center
564.hai,Surgical Site Ifections (SSI),Surgical Site Infections (SSI)
191.facilitytype,Major Teachign,Major Teaching
549.yearvalue,2020Hx1,2020H1
568.hai,Surgical Sie Infections (SSI),Surgical Site Infections (SSI)
1100.statevalue,Caifornia,California
1114.yearvalue,m2020H1,2020H1
1054.facilityname,"Kaisker Foundation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
186.operativeprocedure,Akll procedures,All procedures
735.county,Siskizyou,Siskiyou
273.facilityname,Hoag Memorial Hospita lPresbyterian,Hoag Memorial Hospital Presbyterian
538.operativeprocedure,Open reduction of fracure,Open reduction of fracture
798.statevalue,Caliofrnia,California
935.statevalue,Californai,California
