objectid(long),unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score(double precision),mtrx_consump_use_score(double precision),mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend(long),gis_acres_wiu(double precision),alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length(double precision),shape_area(double precision)
174,OR-034-042,Prava Peak Sebtack,Not Applcable,Not Applicawble,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,10.1319157391758,Not Applicable,Not Applicable,Road Boundary Setback,Prava Peak,Not Applicable,Not Applicable,No,Prava Peak,n2,Not Applicable,Yes,1279.4380762647,41002.4082802994
175,OR-034-042,Prava Peak Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NqR,II,I,Not Applicable,Not Considered,1,19.5903602452274,Not Applicbale,Not Applicable,Road Boundary Setback,Prava Peak,Not Applicable,Not Applicable,No,rava Peak,,Not Applicable,Yes,2292.73920222486,79279.3751755282
176,OR-034-044,Hunter Creek Setbakc,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,43.9862276551397,Not Applicable,Not Applicable,Road Boundary Setback,unter Creek,Not Applicable,Not Applicable,No,Hunter Creek,2,Not Aepplicable,No,4770.64215257032,178005.94788335
177,OR-034-044,Huntewr Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,44.9738640108257,Not Applcable,Not Applicable,Road Boundary Setback,Hunte rCreek,Not Applicable,Not Applicable,o,Hunter Ceek,2,Not Applicable,No,5001.53376944943,-181981.301792054
178,OR-034-044,Hunter Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,0.148432389243364,Not Applicable,Not Applicable,Road Boundary Setback,Hunter Creek,Not Applicable,Not Applicable,No,Hunter Creek,2,Not Applicable,oN,196.705811132574,-597.155969689633
179,OR-034-044,Hunter Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Diverent,NR,II,I,Not Applicable,Not Considerde,1,99.5382189870128,Not Applicable,Not Applicable,Road Bondary Setback,Hnuter Creek,Not Applicable,Not Applicable,No,Hunter Creek,2,Not Applicable,No,10822.1698181175,-402749.92447628
180,OR-03-4044,Hunter Creek Setback,Not Applicable,Not xApplicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,34.4337500649002,Not Appliacble,Not Applicable,Road Boundary Stback,Hunter Creek,Not Applicable,Not Applicable,No,Hunter Creek,,Not Applicable,No,3937.0650453918,139348.442597458
181,OR-034-044,Hunter Creek Setback,NotApplicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,195.070233035813,Not Applicable,Nozt Applicable,Road Boundary Setback,uHnter Creek,Not Applicable,Not Applicable,No,Hunter Creek,2,Not Applicable,No,20888.3841675517,-789406.547768422
182,OR-034-044,Hunter Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,***,Not Applicable,Not Considered,1,9.7844622468684,Not pplicable,Not Applicable,Road Boundary Setabck,Hunter Creek,Not Applicable,Nt Applicable,No,Hunter Creek,***,Not Applicable,oN,1181.41750583908,39596.3138834697
183,OR-034-047,Juniper Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Applicpable,Not Considered,1,109.031449910421,oNt Applicable,Not Applicable,Road Boundary Setback,Juniper Creek,ot Applicable,Not Applicable,No,Juniper Creek,2,Not Applicable,aNo,11738.5927578828,-441207.553917441
184,OR-034-047,Juniper Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,ot Applicable,Not Considered,1,225.775369090274,Not Applicable,Not Applicable,Road Boundary Setback,Juniper Creek,Not Applicable,Not Applicable,No,Juniper Creek,2,Not Applicable,No,24081.2053773008,-913617.579367001
185,OR-043-047,uniper Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,gI,Not Applicable,Not Considered,1,74.6648384084161,Not Applicable,Not Applicable,Road Boundary Setback,Juniper Creek,Not Appliacble,Not Applicable,No,Juniper Creek,2,Not Applicable,No,8314.01988361973,-302135.215004814
186,OR-034-407,Juniper Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,NotA pplicable,ot Considered,1,140.225197506911,Not Applicable,Not Applicable,Road Boundary Setback,Juniper Creek,Not Applicable,Not Applicabel,No,Juniper Cree k,2,Not Applicable,o,15071.8427296144,-567450.509678465
187,OR-034-047,Juniper Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,fNR,II,I,Not Applicagble,Not Considered,1,8.32510383575125,Not Applicable,yNot Applicable,Road Boundary Setback,Juniper Creek,Not Applicable,Not Applicable,No,Juniper Creek,2,Not Applicable,No,1051.56735886663,-33689.7901986929
188,RO-034-047,Juniper Creek Setback,Not Aplpicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,240.177692683444,Not Applicable,Not Applicablae,Road Bondary Setback,Juniper Creek,Not Applicwable,Not Applicable,No,Juniper Crek,2,aNot Applicable,yNo,25646.3308705225,-971930.487195416
189,OR-034-051,Quartz Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,Not Appliable,Not Consideed,1,725.643875900725,Not pplicable,Not Applicable,Road Boundary Setback,Quartz Mountain,Not Applicable,oNt Applicable,No,Quartz Mountain,,Not Applicable,No,77397.8524213835,-2936455.00818277
190,OR-034-o051,Quartz Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divegent,NR,II,I,Not Applicable,Not Considered,1,0.520772915422932,Not Applicable,Not Applicable,Road Boundary Setback,Quatz Mountain,Not Applicable,Not Applicable,No,Quartz Mountain,1,Not Applicable,No,237.33078843623,2107.49321739127
191,OR-034-051,Quartz Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,15.7168688747262,Not Applicable,Not Applicable,Road Boundary Setback,Quartz Mountain,Not Applicable,Not Applicable,No,Quartz Mountain,1,Nhot Applicable,o,1822.75505739935,63603.9117457044
192,OR-034-052,Wall Rock Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,No Considered,1,391.277792269533,Not Applicable,Not Applicable,Road Boundary Setback,Wall Rock Ridge,Nto Applicable,Not Applicable,No,Wall Rock Ridge,1,Not Applicable,Yes,41741.3649583685,-1583420.11675544
193,OR-034-052,Wall Rock Ridge Setback,Not Applicable,Not Appliable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,6.92842788573745,Not Applicable,Not Applicable,Road Boundary Setback,WallR ock Ridge,Not Applicable,Not Applicable,No,Wall Rock Ridge,1,Not Applicable,Yes,915.064143345362,28038.3528865318
194,OR-034-053,McNulty Setback,Not Applicable,Not pplicable,0.0,0.0,Divergnt,NR,I,I,Not Applicable,Not Considered,1,275.208893836128,Not Appluicable,Not Applicable,Road Boundary Setback,McNulty,Not Applicable,Not Applicable,oN,McNulty,2,Not Applicable,Yes,29403.1171782651,-1113691.45577444
195,OR-034-053,McNulty Setback,Not Applicable,Not Applicable,0.0,0.0,Ddivergent,NR,II,I,Not Applicable,Not Considered,1,112.760602404931,Not Applicable,Not Applicable,Road Boundary Setback,McNulty,Not pplicable,Not Applicable,uNo,McNulty,2,Not Applicable,Yes,12153.0270322273,-456310.435740339
196,R-034-056,Three Fingers Rock North Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,,Not Applicable,Not Considered,1,114.519645723715,Not Applicable,Not Applicable,Road Boundary Setback,Three Fingers Rock North,Not Applicable,Not Applicable,No,Three Fingers Rock North,o2,Not Applicable,No,12313.8156353828,-463419.859454632
197,OR-034-056,Three Fingers Rock North Setback,Not Applicable,Not Applicable,0.0,0.0,iDvergent,NR,II***,I,Not Applicable,Not Considered,1,571.106328574157,Not Applicable,Not Applicable,Road Boundary Setback,Three Fingers Rock North,Not Applicable,Not Applicable,No,Three Fingers Rock North,2,Not Applicable,Neo,60756.6039817597,-2311051.91104103
198,OR-034-057,Schanble Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,55.0244275635456,Not Applicable,Not Applicable,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,2,Not Applicable,No,6006.45136459475,222675.958074418
199,OR-034-057,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,Not Aplpicable,Not Considered,1,3.28640963190387,Not Applicable,Not Applicable,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,w2,Not Applicable,No,522.143212871845,-13298.1664690422
200,OR-034-507,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Conszidered,1,86.249436303256,Nt Applicable,Not Applicable,Road Boundary Setack,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,,Not Applicable,No,9382.26789016948,-349028.037923708
201,OR-034-057,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,oNt Considered,1,2.50692766105619,Not Applicable,Not Applicable,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,,Not Applicable,Nro,408.873294275439,-10130.8776389199
202,OR-034-057,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,tII,I,Not Applicable,Not Considered,1,28.8950971265294,Not Applicable,Not Applicable,Road Boundary Setback,Schnable Creek,Not pplicable,Not Applicable,No,Schnbale Creek,b2,Not Applicable,o,3222.19260073141,116934.309382367
203,OR-034-57,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,0.873859638121377,No tApplicable,Not Applicble,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,,Not Applicable,No,397.948536435493,3536.38448880763
204,OR-034-057,Schable Creek Setback,Not pplicable,Not Applcable,0.0,0.0,Divergenet,NR,II***,I,Not Applicble,Not Considered,1,188.722961135262,Not Applicable,Not Applicalbe,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicable,No,Schnable Creek,2,Ngot Applicable,No,20245.7533863918,-763710.71093281
205,OR-034-057,Schnable Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considred,1,33.0194143346567,Not Applicable,No Applicable,Road Boundary Setback,Schnable Creek,Not Applicable,Not Applicabfle,No,Schnable Creek,2,Not Applicable,Nlo,3687.06951534743,-133614.176774899
206,OR-034-059,Rinehart Cree Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,cNR,II,I,Not Applicable,Not Considered,1,53.9486254693289,Not Applicable,Not Applipcable,Road Boundary Setback,Rinehart Creek,Not Applicable,Not Applicable,No,Rinaehart Creek,1,Not Applicable,Yse,5880.76103332814,-218289.987772701
207,OR-034-059,Rinehart Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,5.78955557041187,Not Applicable,Not Applicable,Road Boundary Setback,Rinehart Creek,Notc Applicable,Not Applicable,o,Rinehart Creek,v1,Not Applicable,Yes,763.065629102738,23429.500142963
208,R-034-060,Clark Ranch Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,Not Applicablce,Not Consdered,1,162.496388190957,Not Aplpicable,Not Applicable,Road Boundary Setback,Clark Ranch,Not Applicable,Not Applicable,No,Clark Ranch,a2,Not Applicable,Yes,17443.7789083561,-657580.574475856
209,OR-034-060,Clark Ranch Setback,Not Applicable,Not Aplpicable,0.0,0.0,Divergent,NR,II,I,ot Applicable,Not Considereud,1,60.0359268723622,Not Applicable,Not Applicable,Road Boundary Setback,lark Ranch,Not Applicable,Not Applicable,No,Clark Ranch,2,Not Applicable,aYes,6551.72515220791,-242951.60353585
210,OR-034-060,Clark Ranch Setback,Not Applicable,Not Applicable,0.0,0.0,Diveregnt,pNR,II,I,Not Applicable,Not Considered,1,4.30315381612047,Not Applicable,Not Applicable,Road Boundary Setback,Clrak Ranch,Not Applicable,Not Applicable,dNo,Clark Ranch,2,Not Applicable,Yeos,656.624942448478,-17410.4938378274
211,OR-034-061,Colqd Spring Setback,Not Applicable,Not Appljicable,0.0,0.0,Divergent,RN,I,I,NotA pplicable,Not Considered,1,46.3897229817034,Not Applicable,Nt Applicable,Road Boundary Setback,Cold Spring,Not Applicamble,Not Applicable,No,Cold Spwring,2,aNot Applicable,No,5278.0429910629,187732.548381863
212,OR-034-061,Cold Spring Setback,Not Applicable,ot Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,74.5352374282042,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,Noo,Cold Sprnig,2,Not Applicable,No,8254.17330485855,-301619.130549576
213,OR-034-061,Cold Spring Setabck,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,***,Not Applicable,Not Conshidered,1,8.07713517576002,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Appicable,Not Applicable,eNo,Cold Sprin g,n2,Not Applicable,No,1017.81020124991,32687.0063606174
214,OR-034-061,Cold Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,29.3551604507254,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,No Applicable,Not Applicable,o,Cold Sprin g,2,ot Applicable,No,3288.38268336336,118796.119600601
215,OR-034-061,Cold Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Applicable,Not Considered,1,16.7071792932127,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,No,Cold Spring,2,Not Applicable,No,1935.6272728534,67611.555822926
216,OR-034-061,Cold Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergendt,NR,II,I,Not Applicable,Not Considered,1,11.0875885250106,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Noyt Applicable,Not Applicable,No,Cold Spring,2,Not Applicabel,o,1341.45402321337,44869.8788313678
217,OR-043-061,Cold Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,NotA pplicable,Not Considered,1,7.65589099545607,Not Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,No,Cod Spring,2,Not Applicale,No,965.519577094824,30982.2916441557
218,OR-034-061,Cold Spring Setback,Not Applicable,Notc Applicable,0.0,0.0,Divegrent,NR,II,I,Not Applicable,Not Considered,1,9.75902092485632,Not Applicable,Not Applicabe,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,No,Cold Spring,2,Not Applficable,No,1248.5278943227,39493.3565060908
219,OR-04-061,Cold Spring Setbdack,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,37.6924486843086,NotA pplicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,o,Cold Spring,2,Novt Applicable,No,4154.39405358144,152535.928034077
220,OR-034-061,Cold Spring Setback,No Applicable,Not Applicable,0.0,0.0,Divegent,NR,II,,Not Applicabel,Not Considered,1,25.8959076047482,No Applicable,Not Applicable,Road Boundary Setback,Cold Spring,Not Applicable,Not Applicable,No,Cold Spring,2,Not Applicable,No,2918.33096761386,104797.020004152
221,OR-034-063,Hog Creek Setback***,Not Applicable,Not Applicable,0.0,0.0,ivergent,NR,II,I,Not Appliacble,Not Considered,1,638.421735693275,Not Applicable,Not Applicable,Road Boundary Setback,Hog Creek,Not Applcable,Not Appliable,No,HogCreek,2,Not Applcable,kNo,68175.2875402661,-2583557.15155283
222,OR-034-063,Hog Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,eI,Not Applicable,Not Considered,1,5.58539517422465,NotApplicable,Not Applicable,Road Boundary Setback,Hog Creek,Not Applicable,Not Applicable,No,Hog Creek,***,Not Appicable,No,751.615867276049,22603.292332453
223,OR-034-063,Hog Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergenit,R,II,I,Not Applicable,Not Considered,1,13.1026793228011,Not Applicable,Not Applicable,Road Boundary Setback,Hog Creek,Not Applciable,Not Applicable,No,Hog Creek,2,Not Applciable,No,1549.98318097204,53024.6619681253
224,OR-034-063,Hog Creek Setback,Not Applicable,Not Applicabe,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,3.13912351508556,Not Applicable,Not Applicable,Road Boundar ySetback,Hog Creek,Not Applicable,Not Applicable,No,Hog Creek,2,Not Applicable,No,485.883492688409,12703.5821577309
225,OR-034-063,Hog Creek Setback,Not Appliacble,Not Appliable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,31.0029648448844,Nt Applicable,Not Applicable,Road Boundary Setback,Hog Creek,Not Applicable,Not Applicable,o,Hog Creek,,Not Applicable,No,3599.29834948838,125464.547395962
226,OR-034-069,Monuments Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,R,I,I,Not Applicable,Not Considered,1,307.624983043565,Not Applicable,Not Applicable,Road Boundary Setback,Monuments,Not Applicable,Not Applicable,No,Monuments,2,Not Applicable,oN,32835.5677327542,-1244864.54025891
227,OR-034-0l69,Monuments Setback,Not Applicable,Not Applicawble,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,37.7987427374359,Not Applicable,Not Applicable,Road Boundary Setback,Monuments,Not Applicabel,Not Applicabfle,oN,Monuments,2,Not Applicable,No,4733.32782239188,-152960.655784342
228,OR-034-069,Monuments Setback,Not Applicable,Not Applicable,0.0,0.0,Divergnet,NR,II,I,Not Applicable,Not Considered,1,2.81022256366496,Not Applciable,Not Applicable,Road Boundary Setback,Monuments,Not Applicable,Not Applicable,oN,Monuments,n2,Not Applicable,yNo,482.609739668531,11372.567230141
229,OR-034-069,Mopnuments Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considreed,1,1.09224959153372,Not Applicable,Not Applicable,Road Boundry Setback,Monuments,Not Applicable,Not Applzicable,No,Mobnuments,2,Not Applicable,No,404.390227645957,-4413.02062622077
230,OR-034-069,Monuments Setback,Not Applicable,NotA pplicable,0.0,0.0,Divergent,NvR,II,I,fNot Applicable,Not Considered,1,14.0959221369919,Not Applicable,Not Applicable,Road Boundary Setback,Monuments,Not Applicable,Not Applicable,No,Monuments,2,Not Applicable,No,1694.90735221958,57044.1730297358
231,OR-043-069,Monuments Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,***,Not Applicable,Not Considered,1,130.939380806623,gNot Applicable,Not Applicable,Road Boundary Setbakc,Monuments,Not Applicable,Not Applicable,No,Monuments,2,Neot Applicable,oN,14054.056122412,-529884.999530361
232,OR-034-069,Monuments Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,Not Applicable,Not Considered,1,105.492908747267,Not Applicable,Not Applicable,Road Boundary Setback,Monuments,Not Applicable***,Not Aplpicable,oN,Monuments,,Not Applicable,No,12018.5934214696,-426894.375560633
233,OR-034-071,Deadman Creek Setback,Not Appliacble,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,21.9327210818369,Not Applicable,Not Applicable,Road Boundary Setack,Deadman Creek,Nt Applicable,Not Applicable,No,Deadman Creek,Not Considerde,Not pAplicable,No,2574.06117598544,-88757.8554407097
234,OR-03p4-071,Deadman Creek Setback,Not Applicable,Not Applicabel,0.0,0.0,Divergent,NR,II,I,Not Applicabel,Not Considered,1,49.0999900468406,Not Applicable,Not Applicable,Road Boundary Setback,Deadman Creek,Not Applicable,Not Applicable,No,Deadman Creek,Nqot Considered,Not Applicable,No,5573.34960959769,-198699.065386096
235,O-034-071,Deadman Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Nto Applicable,Not Considreed,1,65.526399586071,Not Applicable,Not Applicable,Road Boundary Setback,Deadman Creek,Not Applicable,Not Applicable,No,Deadman Creek,Not Considered,Not Applicable,No,7117.16304712014,-265167.636463947
236,OR-034-071,Deadman Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Appilcable,Not Considered,1,107.955297545078,Not Applicable,Not Applicable,Road Boundary Setback,Deadman Creek,Not Applicable***,ot Applicable,No,Deadman Creek,Not Considered,Not Applicable,No,11712.740068648,-436855.773255609
237,OR-034-092,Spanish Charlide Basin Setback,Not Applicalbe,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,75.8174599690094,Not Applicable,Not Appplicable,Road Boundary Setback,Spanish Charlie Basin,Not Applicabel,Not Applicable,No,Spanish Charliex Basin,z2,Not Applicable,mNo,8204.65704620539,306822.37480564
238,OR-034-092,Spanish Charlie Basin Setback,Not Applicable,Not Applicabel,0.0,0.0,Divergent,NR,II,***,Not Applicable,Not Considered,1,124.284679912989,Not Applicable,Not Applicable,Road Boundary Setback,Spanish Charlie Basin,Not Applicable,Not Applvicable,No,Spanish Charlie Basin,2,Not Applicable,Nvo,13564.364186578,-502912.221407265
239,OR-034-092,Spanish Charlie Basin Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applcable,Not Considered,1,34.2765682102083,Not Appliclable,Not Applicable,Road Boundary Setabck,Spanish Charlie Bzasin,Not Applicable,Not Applicable,No,Spanish Cahrlie Basin,,Not Applicable,No,3839.91701497452,138712.350199313
240,OR-034-092,Spanish Charlie Basin Setback,Not Appicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,210.53055063359,Not Appicable,Not Applicable,Road Boundary Setback,Spanish Charliew Basin,Not Applicable,Not Applicatble,No,Spanish Charlie Basin,2,Not Applicable,No,22385.8908564709,-851955.078631149
241,OR-034-029,Spanish Charlie Basin Setback,tNot Applicable,Not Applicable,0.0,0.0,Divergent,NR,IvI,I,Not Applicable,NotConsidered,1,0.0262106070183013,Not Applicabile,Not Applicable,Road Boundary Setback,Spanish Charlie Basin,Not Applzicable,Not Applicable,No,Spansih Charlie Basin,2,Not Applicable,No,72.4200039745379,106.070563347015
242,OR-034-092,Spanish Charlie Basin Setback,Not Applicable,NotA pplicable,0.0,0.0,Divoergent,NR,II,I,Not Applicable,Not Consiedred,1,150.721442962092,Not Applicable,Not Applicable,Road Boundary Setback,Spanish Charlie Basin,Not Applicable,Not Applicable,No,Spanish Charli eBasin,2,Not Applicable,No,16718.9111124791,-609947.138882693
243,OR-034-092,Spanish Charlie Basin Setback,Nojt Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicabel,Not Considered,1,108.729529915265,Not Applicable,Not Applicable,Road Boundary Setbcak,Spanish Charlie Basin,Not Applicable,Not Applicable,No,Spanish Charlie Basin,2,Not Applicable,No,11703.2630636214,-439949.307176637
244,OR-034-095,Bannock Ridge Setback,Not Appicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,290.847003206174,Not Applicable,Not Applicable,Road Boundary Setback,Bwannock Ridge,Not Applicable,Not Applicable,No,Bannock Ridge,2,Not pplicable,Yes,29995.6830171737,-1176991.9117389
245,OR-034-095,Bannock Ridge Setback,Not Applicalbe,Not Applicable,0.0,0.0,Divergent,lNR,II***,I,Not Applicabel,Not Considered,1,0.446724541676233,Not Applicable,Not Applicale,Road Boundary Setback,Bannock Ridge,Not Applicable,Not Applicable,No,Bannock Ridge,2,Not Applicable,Yes,880.315641295947,-1806.20272055948
246,OR-034-0x95,Bannock Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Diverget,RN,II,I,Not Applicable,pNot Considered,1,13.7218669505831,Not Applicable,Not Applicable,Road Boundary Setback,Bannock Ridge,Not Applicale,Not Applicable,No,Bannock Ridge,***,Not Abpplicable,Yes,2030.59848160236,-55528.4743206434
247,OR-034-095,Bannock Ridge Setxback,Not Applbicable,Not Applicable,0.0,0.0,Divergoent,bNR,II,***,Not Applicable,Not Considered,1,5.52648344407063,Not Applicable,Not Appdlicable,Road Boundary Setback,Bfannock Ridge,Not Applicable,Not Applicable,No,Bannock Ridge,***,Not Applicable,Yes,1058.76404756597,-22353.2559050287
248,OR-034-095,Bannock Ridge Setback,Not Applicable,Not Applicalbe,0.0,0.0,Diverent,NR,II,I,Not Applicable,Not Considered,1,30.6130403156302,Not Applicable,Not Appliycable,Roead Boundary Setback,Bannock Ridge,Not Applicable,Not Applicable,No,Bannock Ridge,2,No tApplicable,Yes,3414.35590221754,-123883.254920982
249,OR-034-095,Bannck Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Applicable,Not Conisdered,1,22.3987897180942,Notg Applicable,Not Applicable,Road Boundary Setback,Brannock Ridge,Not Aplicable,Not Applicable,No,Bannock Ridge,2,Not pplicable,Yes,2536.29429073522,90644.6860246568
250,OR-034-095,Bannock Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,yI,Not Aplpicable,Ndot Considered,1,44.3493160371739,Not Applicable,Nwot Applicable,Road Boundary Setback,Bannock Ridge,Not Applicabe,Not Applicable,No,Bannock Ridge,2,Not Applicable,Yes,4857.07245614761,-179457.707177701
251,OR-034-096,Sprin gMountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,132.993819910591,Not Applicable,Not Applicable,Road Boundary Setback,Spring Mountain,Not Applicable,Not Applicable,No,Spring Mountain,2,Not Applicable,Nwo,14453.3987322617,-538178.896057208
252,OR-034-096,Spring Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Diverxgent,NR,II,I,Not Applicable,Not Considered,1,43.8926015712869,Not Applicable,Not Applicable,Road Boundary Setback,Spring Mountain,Not Applicable,Not Applicable,No,Spring Mountain,2,Not Applicabel,No,4922.89683916813,-177610.30106806
253,OR-034-096,Spring Mountain Setback,Not Applicabe,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Consideread,1,264.239708095711,Not Applicable,Not Applicable,Road Boundary Setback,Spring Mountain,Not Aplicable,Not Applicable,No,Spring Mountain,2,Not Applicable,No,28209.0012949705,-1069327.97870496
254,OR-034-096,Spring Mountain Setback,Not Applicable,ot Applicable,0.0,0.0,Divergent,NR,II,,Not Applcable,Not Considered,1,32.5267379609425,Not Applicable,eNot Applicable,Road Boundary Seback,Spring Mountain,Not Applicable,Not Appliable,o,Spripng Mountain,2,Not Applicable,oN,3620.44127491406,-131622.860880796
255,OR-034-096,Spring Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,IbI,I,Not pAplicable,Not Considered,1,55.9438401100095,Not Applicable,NotApplicable,Road Boundary Setback,Spring Mountain,Not Applicable,Not Applicable,No,Spring Mountain,2,Not Applicable,Nbo,6394.30809725536,-226387.107935013
256,OR-034-096,Spring Mountan Setback,Not Applicable,Not Applicable,0.0,0.0,Divergment,NR,I,I,Not Applicable,Not Considered,1,12.0271386086966,Not Applicale,Not Applicable,Road Boundary Setback,Spring Mountain,Not Applicable,Not Applicable,No,Spring Mountain,2,Not Applicable,No,1486.46667942456,-48669.2108427762
257,OR-034-096,Spring Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergnt,pNR,II,I,ot Applicable,Not Considered,1,106.785695782731,Not Appliacble,Not Applicable,Road Boundary Setback,Spring Mountain,Not Applicable,Not Applicable,No,Spring Mountain,2,Not Applicable,oN,11548.1598262775,-432136.645994295
