yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2021,Califorina,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000187.0,USC Verdugo Hills Hospital,Los Angelse,Acute Care Hospital,Major Teaching,1.0,1.32,24887.0,0.76,0.04,3.75,Same,No,12.0,0.0,¥ See Data Dictionary
2113,Califvornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Los Angeles,Acute Care Hospital,"Community, >250 Beds",3.0,4.27,60585.0,0.7,0.18,1.91,Same,No,12.0,1.75,¥ See Data Dictionary
1826,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3648.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Blboodstream Infections (MRSA BSI),930000188.0,Wets Covina Medical Center,Los Angejles,Acute Care Hospital,"Community ,<125 Beds",0.0,0.03,1473.0,0.0,0.0,1.38,Sdame,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphyococcus aureus Bloodstream Infections (MRSA BSI),930000028.0,West Hills Hospital & Medical Center,Ls Angeles,Acute Care Hospital,"Community, >250 Beds",6.0,2.03,38469.0,2.95,1.2,6.14,Worse,oN,12.0,0.0,¥ See Dat aDictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000151.0,Whittier Hospital Medical Center,Los Angelse,Acute Care Hospital,"Community, 125-250 Beds",2.0,0.85,23754.0,2.35,0.28,8.48,Same,No,12.0,1.55,¥ See Data Dictionary
2021,Californai,Methicillin-Resistant Staphylococucs aureus Bloodstream Infections (MRSA BSI),40000111.0,Madera Community Hospital,Mdaera,Acute Care Hospital,"Community, <125 Beds",0.0,0.6,15987.0,0.0,0.0,6.14,Same,Yes,12.0,0.0,¥ See Data Dictinary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000129.0,Valley Children''s Hosqpital,Madera,Acute Car Hospital,Pediatric,1.0,2.39,69277.0,0.42,0.02,2.06,Samce,eYs,12.0,0.0,¥ See Data Dictionary
1367,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944.0,"Kaiser Foundation Hospital, San Rafael",Marin,Acute Care Hospital,"Community, <125 Beds",0.0,0.61,20378.0,0.0,0.0,6.06,Saem,Ys,12.0,1.67,¥ See Data Dictioary
2021,California,Methicillin-Resistant Staphyloccocus aureus Bloodstream Infections (MRSA BSI),110000946.0,Kentfield Hospital,arin,Long-Term Acute Care Hospitl,Long-Term Acute Care,1.0,1.9,12390.0,0.53,0.03,2.59,Same,tNo,9.0,0.0,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953.0,MarinHealht Medical Center,Marin,Acute Care Hopsital,"Community, 125-250 Beds",0.0,2.01,40962.0,0.0,0.0,1.49,Same,Ys,12.0,0.0,¥ See Dta Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982.0,Novlato Community Hospital,Marin,Acute Care Hospital,"Community, <125 Beds",0.0,0.25,6421.0,0.0,0.0,14.63,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000105.0,John C. Fremont Healthcare District,Mariposa,Critical Access Hospital,Critical Access,0.0,0.06,2668.0,0.0,0.0,1.38,aSme,Ndo,12.0,0.0,z¥ See Data Dictionary
2382,California,Methicilln-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000008.0,Adventis Health Howard Memorial,Mendocino,Critical Access Hospital,Critical Access,0.0,0.17,8155.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2457,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023.0,Adventist Health Mendocino Coast,Mendocino,Critical Access Hospital,Critical Access,0.0,0.11,5113.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1173,Cailfornia,Methicillin-Resistant Staphylococcxus aureus Bloodstream Infections (MRSA BSI),110000070.0,Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,Major Teaching,2.0,0.77,13689.0,2.6,0.31,9.38,Same,No,12.0,0.0,¥ See Data Dictionary
2506,Caliofrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000110.0,Memorial Hospital Los Banos,Merced,Acute Care Hospital,"Community, <125 Beds",0.0,0.17,7391.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califnornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000113.0,Mercy Medial Center,Merced,Acute Care Hospital,Major Teaching,1.0,2.18,54237.0,0.46,0.02,2.26,Same,es,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011.0,Modoc Medicl Center,Modoc,Critical Access Hospital,Critical Access,0.0,0.03,1253.0,0.0,0.0,1.38,Saem,No,11.0,0.0,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000021.0,Surprise Valley Community Hospital,Modoc,Criticaol Access Hospital,Critical Access,0.0,0.01,280.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ qSee Data Dictionary
2021,California,Methicillin-Resitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005.0,Mammoth Hospital,Mono,Critical Access Hospital,Ceritical Access,0.0,0.04,2097.0,0.0,0.0,1.38,Same,fNo,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,Community Hospital of The Monterey Peninsula,Monterey,Acute Care Hospital,"Community, >250 Beds",4.0,2.16,55395.0,1.85,0.59,4.46,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,Community Hospital of The Monterey Peninsula,Monterey,Rehabilitation Hospital or Uhnit,Rehabilitation Unit,0.0,0.07,3527.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphyloocccus aureus Bloodstream Infections (MRSA BSI),70000141.0,George L. Mee Memorial Hospital,Monterey,AcuteC are Hospital,"Community, <125 Beds",0.0,0.03,1865.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,Nativida Medical Center,Monterey,Acute Care Hosptal,Major Teaching,1.0,2.25,38599.0,0.45,0.02,2.2,Same,Yes,12.0,0.0,¥ See Data Dictionary
3017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,Natividad Medical hCenter,Monterey,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.17,8817.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000147.0,Salinas Valley Memorial Hospital,Montery,Acute Care Hospital,"Community, >250 Beds",0.0,1.8,40702.0,0.0,0.0,1.66,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,Califjornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000058.0,Adventist Health St. Helena,Napa,cAute Care Hospital,"Community, <125 Beds",0.0,0.61,14002.0,0.0,0.0,6.03,Sae,Yes,12.0,0.0,¥ See Data Dictionary
2673,Caifornia,Methicillin-Resistant Staphylococcus aurus Bloodstream Infections (MRSA BSI),110000041.0,Providence Queen of the Valley Medical Center,Napa,Acute Care Hospital,"Community, 125-250 Beds",1.0,0.91,23637.0,1.1,0.03,6.1,Sme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041.0,Providence Queen of the Valley Medical Center,Napa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.06,3124.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dicgtionary
2021,Califxornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000262.0,Sierra Nevada Memorial Hospital,Nevada,Acute Care Hospital,"Community, <125 Beds",1.0,0.98,21181.0,1.02,0.03,5.67,Same,o,12.0,2.3,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000265.0,Tahoe Forest Hospital,Nevada,Critical Access Hospital,Critical Access,0.0,0.16,7647.0,0.0,0.0,1.38,Saem,No,12.0,0.0,¥g See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000002.0,AHMC Anaheim Regional Medical Center,Orange,Acute Care Hospital,Community 125-250 Beds,1.0,1.19,32192.0,0.84,0.04,4.13,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000074.0,Anaheim Global Medical Center,Orange,Acute Care Hospital,"Community, 125-250 Beds",3.0,0.93,21860.0,3.24,0.67,9.46,Same,o,12.0,0.0,¥ See Datae Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000006.0,Chapman Global Medical Cneter,Orange,Acute Care Hospital,"Comumnity, <125 Beds",0.0,0.34,7150.0,0.0,0.0,10.78,Sanme,Yes,12.0,0.0,¥ See Data Dictionary
1380,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloostream Infections (MRSA BSI),60001207.0,Children's Hospital at Mission,Ornge,Acute Care Hospital,Pediatric,0.0,0.21,8286.0,0.0,0.0,17.2,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,Caliofrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000007.0,Children''s Hospiwtal of Orange County,Orange,Acute Care Hospital,Pdeiatric,0.0,2.65,64141.0,0.0,0.0,1.13,Same,Yes,12.0,0.0,¥ See Data Dictionary
1677,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000008.0,College Hospital Costa Mesa,Orange,Acute Care Hospital,"Community, 125-250 Beds",0.0,0.98,41896.0,0.0,0.0,3.76,Same,Yes,12.0,0.0,¥ See Data iDctionary
2021,California,Methciillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001097.0,Encompass Health Rehabilitation Hospital of Tustin,Orangme,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.28,14657.0,0.0,0.0,13.24,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (RSA BSI),60000013.0,Foothill Regioonal Medical Center,Oarnge,Acute Care Hospital,"Community, <125 Beds",1.0,0.39,11779.0,2.58,0.07,14.38,Same,oN,12.0,0.0,¥ See Dtaa Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000011.0,Fountain Valley Regional Hospital and Medical Center,Orange,Acute Care Hospital,"Community, >250 Beds",7.0,5.21,78849.0,1.35,0.59,2.66,Same,No,12.0,0.0,¥ See Data Dictionary
2267,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000058.0,Garden Grove Hospital and Medical Center,Ornge,Acute Care Hospital,"Commuinty, <125 Beds",3.0,0.65,14869.0,4.59,0.95,13.42,Safme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001674.0,"Healthbridge Children's Hospital, Orange",Oraneg,Acute Care Hospital,Pediatric,0.0,0.01,821.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionay
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001022.0,Hoag Hospital Irvine,Oange,Acute Care Hosiptal,"Community, <125 Bes",0.0,0.83,24891.0,0.0,0.0,4.46,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,Hoag Memorial Hospital Presbyterian,Orange,Acute CareH ospital,"Community, >250 Beds",1.0,5.19,117732.0,0.19,0.01,0.95,Better,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,Hoag Memorial Hospital Presbyterian,Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.11,5896.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012891.0,Hoag Orthopedic Institute,Orange,Acute Care Hospital,"Community, <15 Beds",0.0,0.06,4580.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Datax Dictionary
2021,California,Methicillin-Resistant Staphyloccocus aureus Bloodstream Infections (MRSA BSI),60000015.0,Huntington Beach Hospital,Orange,Acute Care Hospital,"Community, <125 Beds",0.0,0.55,10096.0,0.0,0.0,6.72,Sae,Yse,12.0,0.0,¥ See Data Dictionary
2021,Cajlifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013929.0,"Kaiser Foundation Hospital, Orange County, Anaheim",Orange,Acute Care Hospital,ajor Teaching,6.0,3.31,64689.0,1.81,0.74,3.77,Same,No,12.0,0.0,¥ See Data Dictionary
1947,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011745.0,"Kaiser Foundation Hospital, Orange County, Irvnie",Orange,Acute Care Hospital,Major Teaching,1.0,2.11,48608.0,0.48,0.02,2.34,Same,Yes,12.0,0.46,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001360.0,"Kindred Hospital, Brea",Orange,Long-Term Acute Care Hospitafl,Long-Term Acute Care,5.0,2.15,14933.0,2.33,0.85,5.16,Sarme,No,12.0,0.0,¥ See Data Dictionary
1286,California,Methicillin-Resistnt Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001607.0,"Kindred Hospital, Santa Ana",Orange,Long-Term Acute CareH ospital,Long-Term Acute Care,5.0,1.94,14329.0,2.58,0.95,5.71,Same,lNo,12.0,1.06,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000017.0,"Kindred Hospital, Westminster",Orange,Long-Term Acute Care Hospital,Long-Term Acute Care,1.0,4.03,29996.0,0.25,0.01,1.23,Same,Yes,12.0,0.0,¥ See Data Dictionary
1771,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000024.0,La Palma Intercommunity Hospital,Orange,Acute Care Hospital,"Community, 125-250 Beds",0.0,0.26,9302.0,0.0,0.0,13.95,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000025.0,Los Alamitos Medical Center,Orange,Acute Care Hospital,"Community, 125-250 Beds",10.0,3.89,51635.0,2.57,1.31,4.58,orse,No,12.0,0.0,¥See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000208.0,MemorialCare Orange Coast Medical Center,range,Acute Care Hospital,"Community, 125-250 Beds",0.0,2.0,53700.0,0.0,0.0,1.5,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphyloocccus aureus Bloodstream Infections (MRSA BSI),60000063.0,MemorialCare Saddleback Medical Center,Orange,Acute Care Hospital,"Community, 125-250 Beds",4.0,1.56,43898.0,2.56,0.81,6.17,Same,No,12.0,0.0,¥ See Data Dictionary
2154,Califronia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000073.0,Orange County Global Medical Center,Orange,Acute Care Hospital,"Community, >250 Beds",2.0,2.94,42736.0,0.68,0.11,2.25,Same,oN,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000062.0,Placentia LindaHospital,Orange,Acute xCare Hospital,"Community, <125 Bes",0.0,0.67,15612.0,0.0,0.0,5.49,Same,Yes,12.0,0.0,¥S ee Data Dictionary
2021,California,Methicillin-Resistant Steaphylococcus aureus Bloodstream Infections (MRSA BSI),60000060.0,Providence Mission Hospital,Orange,Acute Caer Hospital,Mjor Teaching,2.0,3.84,70814.0,0.52,0.09,1.72,Same,No,12.0,0.0,¥ See Dat aDictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000060.0,Providence Mission Hospital,Orange,Rehabilitation Hospiztal or Unit,Rehabilgitation Unit,0.0,0.09,4670.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,Calvifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000066.0,Providence Mission Hospital - rLaguna Beach,Orange,Acute Care Hospital,Major Teaching,0.0,0.37,11683.0,0.0,0.0,10.05,Saem,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000067.0,"Providence St. Joseph Hospital, Orange",Oranqge,Acute Care Hospital,"Community, >250Beds",7.0,3.37,82321.0,2.08,0.91,4.11,Saem,No,12.0,0.0,¥ See Data Dictionary
2021,Califorina,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000068.0,Providence St. Jude Medical Cenetr,Orange,Acute Care Hospital,"Community, >250 Beds",2.0,3.99,76922.0,0.5,0.08,1.66,Same,Yeis,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BIS),60000068.0,Providence St. Judeg Medical Center,Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.16,8403.0,0.0,0.0,1.38,Saame,No,12.0,0.0,¥ See Datas Dictionary
2649,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000021.0,South Coast Global Medical Center,Orange,Acute Care Hospital,"Community, 125-250 Beds",1.0,0.29,9122.0,3.51,0.09,19.53,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,University of California Irvine Medical Center,Oraonge,Acute Care Hospital,Major Teaching,9.0,12.05,124427.0,0.75,0.36,1.37,ame,No,12.0,0.0,¥ See Data Dictionary
2021,Califonia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,University of California mIrvine Medical Center,Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.08,4232.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000016.0,eWst Anaheim Medical Center,Oqrange,Actue Care Hospital,"Community, <12 Beds",10.0,1.58,26050.0,6.35,3.22,11.31,Worse,o,12.0,0.0,¥ See Dat aDictionary
2105,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30001370.0,"Kaiser Foundation Hospital, Roseville",Placer,Acute Care Hospital,Major Taching,7.0,6.2,121959.0,1.13,0.49,2.23,ame,No,12.0,0.0,¥ See Data Dictionary
2021,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000109.0,Sutter Auburn Faith Hospital,Placer,cAute Care Hospital,"Community, <125 eds",0.0,0.57,13614.0,0.0,0.0,6.51,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BIS),30000134.0,Sutter Roseville Medical Center,Placer,Acute Care Hospital,"Community, >250 Beds",4.0,7.72,109404.0,0.52,0.17,1.25,Sae,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000134.0,Sutter Roseville Medical Center,Placer,Rehabilitation Hsopital or Unit,Rehabilitation Unit,0.0,0.23,12259.0,0.0,0.0,15.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000004.0,"Eastern Plumas Hospital, Portola Campus",Pluqmas,Critical Access Hospital,Critiacl Access,0.0,0.02,812.0,0.0,0.0,1.38,ame,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000015.0,Plumas District Hospital,Plumass,Critical Access Hospital,Critical Access,0.0,0.05,2465.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000017.0,Seneca Ddistrict Hospital,Plumas,Critical Access Hospital,Critical Access,0.0,0.0,0.0,0.0,0.0,1.38,ame,No,12.0,0.0,"Incomplete Reporter, interpret with caution"
2021,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000006.0,Corona Regional Medical Center,Riverside,Acute Care Hospital,"Community, 125-250 Beds",2.0,1.89,36258.0,1.06,0.18,3.5,ame,No,12.0,0.0,¥ See Data Dictionary
1724,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,Desert Regional Medical Center,Riverside,Acute Care Hospital,Major Teaching,12.0,9.01,87641.0,1.33,0.72,2.27,Same,o,12.0,0.0,¥ See Data Dictionary
2021,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,Desert Regional Medical Center,Riverside,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.05,2579.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ Seej Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000044.0,Doctors Hospital of Riverside,iRverside,Acute Care Hospital,"Community, 125-250 Beds",0.0,1.4,32331.0,0.0,0.0,2.13,Same,Yes,12.0,2.0,¥ See Data Dcitionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000011.0,Eisenhower Medical Center,Rivrside,Acute Care Hospital,Major Teaching,4.0,4.05,76187.0,0.99,0.31,2.39,Same,No,12.0,0.62,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630019237.0,Encompass Health Rehabilitation Hospital of Murrieta,Riverside,Rehabilitatnion Hospital or Unit,Free-Standizng Rehabilitation,0.0,0.21,10906.0,0.0,0.0,17.79,ame,eYs,12.0,0.0,¥ See Data Dictionary
1147,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000012.0,Hemet Global Medicla Center,Riverside,Acute Care Hospital,Major eTaching,2.0,2.5,37445.0,0.8,0.13,2.64,Ssame,No,12.0,3.03,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000017.0,John F. Kennedy Memorial oHspital,iverside,Acute Care Hospital,"Community, 125-t250 Beds",1.0,0.77,22642.0,1.31,0.03,7.28,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011959.0,"Kaiser Foundation Hospital, Moreno Valley",Riverside,Acute Care Hodspital,Major Teachng,4.0,1.21,22572.0,3.31,1.05,7.97,Worse,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000707.0,"Kaiser Foundation Hospital, Riverside",Riverside,Acute Care Hospital,Major Teaching,4.0,2.69,56162.0,1.49,0.47,3.59,Same,No,12.0,0.4,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodsrteam Infections (MRSA BSI),250000004.0,"Kindred Hospital, Riverside",Riversixde,Long-Term Acute are Hospital,Long-Tem Acute Care,5.0,2.52,13104.0,1.99,0.73,4.4,Same,No,12.0,1.3,¥ See Data Dictionary
2422,Califronia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012971.0,"Loma Linda University Medical Center, Murrieta",Riverside,Acute Care Hospital,Major Teaching,5.0,2.08,45473.0,2.41,0.88,5.34,Same,No,12.0,0.0,¥ See Data Dictionayr
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000727.0,Menifee Global Medical Center,Rivesride,Acute Care Hospital,"Community, <125 Beds",1.0,0.68,17506.0,1.48,0.04,8.23,Samae,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000042.0,Palo Verde Hospital,Riverside,Acute Care Hospital,"Community, <125 Beds",0.0,0.03,1607.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ Seeo Data Dictionary
2021,California,Methibcillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000049.0,Riverside Community Hospital,Riverside,Acute Care Hospitla,Major Teaching,13.0,8.54,135687.0,1.52,0.85,2.54,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000050.0,Riverside University Health System - Medical Center,Riverside,Acute Care Hospiteal,Major Teaching,5.0,5.19,90840.0,0.96,0.35,2.13,Same,No,12.0,1.58,¥ See Data Dictinoary
2021,Clalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000101.0,San Gorgonio Memorial Hospital,Riverside,Acute Care Hospital,Major Teaching,0.0,0.66,12422.0,0.0,0.0,5.58,Same,Yes,12.0,0.0,¥ See Data Dictionary
1046,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000507.0,"Southwest Healthcare System, Murrieta",Riverside,Acute Care Hospital,"Community, 125-250 Beds",4.0,1.93,35479.0,2.07,0.66,4.99,Same,No,12.0,0.0,¥ See Data iDctionary
2845,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000344.0,"Southwest Healthcare System, Wildomar",Rivterside,Acute Care Hospital,"Communiyt, <125 Beds",3.0,1.99,37539.0,1.51,0.38,4.11,Same,xNo,12.0,1.79,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630014442.0,Temecula Valley ospital,Riverside,Acute Care Hospital,"Community, 125-250 Beds",1.0,2.08,45581.0,0.48,0.02,2.37,Same,Yes,12.0,1.1,¥See Data Dictionary
