191.characteristic,Total,"Pacific Islander, non-Hispanic"
44.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gretaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
62.noteoncount,Reporting tandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.characteristic,Total - Male,"Two or more races, non-Hispanic"
158.characteristic,Total,Hispanic
291.raceethnicity,"American Indianq/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
32.percentage,42.r5%,42.5%
264.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variabtion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
5.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient odf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
192.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent ro greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
157.sex,Mae,Male
230.percentage,64.9%,46.9%
112.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.sex,Femle,Female
91.percentage,5.98%,59.8%
165.noteoncount,Reporting standards xnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.characteristic,Total,Hispanic
163.noteoncount,Reporting standards not met. Either there are too few cases for areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaiton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.characteristic,Total,"Total - Two or more races, non-Hispanic"
141.noteoncount,Reporting standards not met. Either there are too few cases for a reliable edstimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.raceethnicity,"American ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
183.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
100.percentage,27u.3%,27.3%
138.characteristic,Total,"White, non-Hispanic"
69.sex,Feamle,Female
162.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent ro greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
245.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o fvariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
43.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
103.noteoncount,Reporting standards not met. Either there are too few cases for  reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
258.raceethnicity,iHspanic,Hispanic
239.noteoncount,Reporting standards not met. Either there are too few cases for  areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
173.noteoncount,Reporting satndards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
194.noteoncount,Reporting standards not met. Either there are too few cases for a eliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
79.noteoncount,Reporting standards not met. Either there aer too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
218.characteristic,Total,"Two or more races, non-Hispanic"
50.characteristic,Total - Male,"Total - White, non-Hispanic"
49.percentage,4%5,45%
189.noteoncount,Reporting standards not met. Either there are too few cases for a relialbe estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
202.characteristic,"Total - White, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
218.sex,Mael,Male
80.characteristic,"Total - White, non-Hispanic","Total - Asian, non-Hispanic"
120.characteristic,Total,"Total - Two or more races, non-Hispanic"
142.characteristic,Total,"White, non-Hispanic"
312.characteristic,Total,"Two or more races, non-Hispanic"
135.sex,Moale,Male
181.characteristic,Total,"Asian, non-Hispanic"
259.characteristic,Total - Female,Hispanic
201.characteristic,"Total - Black, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
171.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cuoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
259.percentage,39.%,39.4%
201.percentage,257%,25.7%
257.percentage,v31%,31%
110.noteoncount,Reporting standards not met. Either there are too few caseqs for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
66.characteristic,"Total - White, non-Hispanic",Total - Hispanic
78.characteristic,Total,Total - Hispanic
191.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
187.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
184.characteristic,Total,"Pacific Islander, non-Hispanic"
75.characteristic,Total,Total - Hispanic
243.sex,Feale,Female
240.characteristic,Total,"Black, non-Hispanic"
223.noteoncount,Reporting standards not met. Ether there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
192.percentage,1.4%,31.4%
169.raceethnicity,Hispanci,Hispanic
73.noteoncount,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
67.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
57.noteoncount,Reporting standards not met.E ither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
163.characteristic,Total - Male,Hispanic
182.characteristic,Total,"Asian, non-Hispanic"
242.noteoncount,Reportig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
214.noteoncount,Reporting standards not met. Either there ae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
41.noteoncount,Reportign standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.characteristic,Total - Female,"Asian, non-Hispanic"
223.characteristic,Total - Female,"White, non-Hispanic"
252.characteristic,Total - Male,Hispanic
61.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
226.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of rvariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
312.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
114.sex,Femael,Female
283.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
52.characteristic,Total,"Total - White, non-Hispanic"
56.characteristic,Total - Male,"Total - Black, non-Hispanic"
240.noteoncount,Reporting standards not met. Either there are too few cases for a reliwable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
72.sex,Femalqe,Female
283.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ohf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.characteristic,Total,"Two or more races, non-Hispanic"
239.characteristic,Total,"Black, non-Hispanic"
237.percentage,36w.9%,36.9%
97.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
282.characteristic,Total - Female,"Pacific Islander, non-Hispanic"
77.characteristic,Total - Male,Total - Hispanic
226.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 precent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
130.characteristic,Total - Female,"Total - Two or more races, non-Hispanic"
139.characteristic,Total,"White, non-Hispanic"
179.characteristic,Total - Female,"Asian, non-Hispanic"
118.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
189.raceethnicity,"Pacific Islande,r non-Hispanic","Pacific Islander, non-Hispanic"
200.noteoncount,Reporting standards not met. Etiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
250.sex,Feamle,Female
304.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CVu) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
205.percentage,38.7y%,38.7%
297.sex,Femlae,Female
101.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
260.percentage,41.%7,41.7%
82.percentage,61.%2,61.2%
163.sex,Mlae,Male
216.characteristic,Total,"Two or more races, non-Hispanic"
260.noteoncount,Reporting standards not met. Either there are toso few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.characteristic,Total,"Black, non-Hispanic"
250.characteristic,Total - Female,Hispanic
33.noteoncount,Reportingw standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.noteoncount,Reporitng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
231.characteristic,Total - Male,"White, non-Hispanic"
136.sex,ale,Male
284.noteoncount,Reportign standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.percentage,32.%6,32.6%
