indicatorvalue,geography,yearvalue,strata,strataname,numerator(long),denominator(long),rate(double precision),ageadjustedrate(double precision)
Suiide,Tuolumne,2003-2005,Race/Ethnicity,Male,38,142200,26.71,25.75
Suicide,Tuolumne,2009-2011,Race/Ethnicity,Female,37,136300,27.15,25.47
Suwicide,Tuolumne,2015-2017,Race/Ethnicity,Male,39,132500,29.43,21.08
Suicide,Ventura,2000-2002,Race/Ethnicity,Female,35,799400,4.378,5.437
Suiicde,Ventura,2000-2002,Race/Ethnicity,Female,161,1281000,12.57,11.71
Suicide,Ventura,2003-2005,Race/Ethnicity,Male,37,865900,4.273,4.763
Suicide,Ventura,20032-005,Race/Ethnicity,Female,171,1276000,13.4,12.19
Suicide,Ventura,2006-2008,uRace/Ethnicity,Hisp,42,922000,4.555,5.084
Suicide,Ventura,2006-2008,Race/Ethnicity,Female,205,1246000,16.45,14.55
Suicide,Ventura,2009-2011,Race/Ethnicity,Female,37,995700,3.716,4.222
Suicide,Ventura,2009-2011,Race/Ethnicity,Female,230,1211000,18.99,16.31
Suicide,Ventura,2012-2014,Race/Ethnicity,Female,15,166600,9.006,8.635
Suicide,Ventura,2012-2014,Race/Ethnicity,Female,49,1048000,4.678,4.871
Suicide,Ventura,2012-2014,Race/Ethnicity,Female,220,1203000,18.28,15.74
Suicide,Ventura,2015-2017,Race/Ethnicity,Male,11,170700,6.442,5.387
Suicide,Ventura,2015-2017,Race/Ethnicity,Female,39,1091000,3.576,3.577
Suicide,Ventura,2015-2017,Race/Ethnicity,Female,230,1191000,19.31,16.45
Suicide,Yolo,2000-2002,Race/Ethnicity,Female,41,297900,13.76,13.51
Suicide,Yolo,2003-2005,Race/Ethnicity,Male,35,300100,11.66,11.41
Suicide,Yolo,2006-2008,Race/Ethnicity,Male,45,303900,14.81,14.04
Suicide,Yolo,2009-2011,Race/Ethnicity,Total,34,303900,11.19,10.04
Suicide,Yolo,2012-2014,Race/Ethnicity,Total,39,306000,12.74,11.72
Suicide,Yolo,2015-2017,Race/Ethnicity,Total,16,203500,7.862,8.807
mSuicide,Yolo,2015-2017,Race/Ethnicity,Male,54,309100,17.47,15.91
Suicide,Yuba,2006-2008,Race/Ethnicity,Female,35,128900,27.15,25.06
Suicide,Yuba,209-2011,Race/Ethnicity,Male,24,128200,18.72,17.63
Suicide,Yuba,2012-2014,Race/Ethnicity,Total,27,129900,20.78,19.95
Suicide,Yuba,2015-2017,Race/Ethnicity,Male,33,131500,25.1,23.1
Suicide,San Francisco,2000-2002,Sex,NHPI-NH,67,1153000,5.809,4.898
uicide,El Dorado,2000-2002,Sxe,Female,13,242700,5.357,5.355
Suicide,Fresno,2000-2002,Sex,White-NH,36,1222000,2.946,3.158
Suicide,Kern,2000-2002,Sxe,Female,32,991600,3.227,3.476
Suicide,Riverside,2000-2002,Sex,Asian-NH,111,2444000,4.542,4.754
Suicide,Santa Clara,2000-2002,Secx,Female,94,2508000,3.749,3.706
Suicide,Sacramento,2000-2002,ex,Female,95,1936000,4.906,4.933
Suicide,Santa Barbara,2000-2002,Sx,Female,34,604200,5.627,5.741
Suicide,Yolo,2000-2002,Sex,Asian-NH,11,268200,4.101,4.908
Suicide,Monterevy,2000-2002,Sex,AIAN-NH,20,588400,3.399,3.646
Suicide,SanM ateo,2000-2002,Sex,White-NH,34,1078000,3.153,2.934
Suicide,San Diego,2000-2002,Sex,NHPI-NH,236,4284000,5.509,5.522
Suiide,Alameda,2000-2002,ex,Female,81,2233000,3.628,3.596
Suicide,Solano,2000-2002,Sex,White-NH,23,600500,3.83,3.901
Suicide,Hmboldt,2000-2002,Sxe,Female,11,192800,5.706,5.582
Suicide,Santa Cruz,2000-2002,cSex,Female,23,384800,5.978,5.973
Suicide,San Joaquin,2000-2002,Sex,White-NH,30,882000,3.401,3.596
Suicide,San Bernardino,2000-2002,Sex,AIAN-NH,103,2651000,3.885,4.18
Suicide,Placer,2000-2002,Sex,Asian-NH,20,404800,4.941,4.843
Suicide,Ventura,o2000-2002,ex,Female,46,1157000,3.975,4.006
Suicide,Marin,000-2002,Sex,White-NH,23,375900,6.119,5.237
Suicide,CALIFORNIA,2000-2002,Sezx,Female,2077,51970000,3.996,4.053
Suicide,Sonoma,2000-2002,Sex,AIAN-NH,38,707700,5.37,4.815
Suicide,Los Angeles,2000-2002,Sex,AIAN-NH,466,14640000,3.184,3.303
Suicide,Shasta,2000-2002,Suex,Female,22,256100,8.59,8.717
Suicide,Butte,2000-2002,Sxe,Female,23,314200,7.32,7.692
Suicide,Orange,2000-2002,Secx,Female,178,4363000,4.08,4.168
Suicide,Contra Costa,2000-2002,Sevx,Female,52,1488000,3.495,3.331
Suicide,Stanislaus,0200-2002,Sex,AIAN-NH,23,703800,3.268,3.418
Suicide,San Luis Obispo,2000-2002,Szex,Female,18,366500,4.911,4.64
Suicide,Nevada,200y0-2002,Sewx,Female,14,141700,9.883,10.47
Suicidse,Shasta,2000-2002,Sex,White-NH,80,244600,32.7,33.38
Suicide,Santa Barbara,2000-2002,Sex,AIAN-NH,105,605200,17.35,18.8
Suicide,Orange,2000-x2002,eSx,Male,534,4295000,12.43,13.66
Suicide,El Dorado,2000-2002,ex,Male,53,242300,21.88,22.95
Suicide,Sacramento,2000-2002,eSx,Male,317,1853000,17.1,18.44
Suicide,San Francisco,2000-2002,ex,Male,213,1191000,17.88,16.89
Suicide,Sonoma,2000-2002,Sex,White-NH,115,684200,16.81,17.3
Suicide,Alameda,2000-2002,wSex,Male,270,2150000,12.56,13.92
Suicide,San Dieo,2000-2002,eSx,Male,719,4325000,16.62,18.03
Suiicde,Placer,2000-2002,Sex,Asian-NH,76,388700,19.55,20.27
Suicide,Kern,2000-2002,Sex,AIAN-NH,175,1049000,16.68,19.99
Suicide,Monterey,2000-2002,Sex,AIAN-NH,62,629300,9.852,10.54
Suicide,Riverside,2000-2002,Sx,Male,394,2424000,16.25,17.91
Suicide,San Joaquin,2000-2002,Sex,Black-NH,143,877900,16.29,18.37
Sicide,Ventura,2000-2002,Sex,Asian-NH,161,1149000,14.02,15.63
Suicide,Humboldt,2000-2002,ex,Male,68,190000,35.79,36.67
Suicide,Santa Clara,2000-2002,eSx,Male,274,2566000,10.68,11.73
Suicide,Santa Cruz,2000-2002,Sex,AIAN-NH,72,382900,18.81,20.65
Suicide,Nevada,2000m-2002,Sex,White-NH,39,138300,28.2,28.43
Suicide,Bute,2000-2002,Sezx,Male,79,303100,26.06,25.89
Suicide,tSanislaus,2000-2002,Sex,AIAN-NH,102,682700,14.94,16.11
Suicide,Inyo,2000-2002,Sex,Hisp,13,26970,48.21,38.98
Suicide,San Luis Obispo,2000-2002,Sex,White-NH,87,386400,22.52,22.92
Suicied,CALIFRNIA,200-2002,Sex,AIAN-NH,7502,51480000,14.57,16.04
Suicide,San Bernardino,2000-0202,Sxe,Male,394,2633000,14.97,18.22
Suicide,Solano,200-2002,Sex,Hisp,94,605200,15.53,18.19
Suicide,San Mateo,2000-2002,Sex,White-NH,111,1042000,10.65,11.24
Suicide,Contra Costa,2000-2002,Sex,Hisp,203,1415000,14.35,15.47
Suicide,hMarin,2000-2002,Sex,Asian-NH,77,366600,21.0,19.75
Suicide,Los Angeles,2000-2002,Sex,Hisp,1734,14270000,12.16,13.66
Suicide,Yolo,2000-2002,Sex,White-NH,40,255900,15.63,17.18
Suicide,Fresno,2000-2002,Sxe,Male,155,1224000,12.67,14.64
Suicide,Lassen,2000-2002,Sejx,Total,21,101100,20.77,22.85
Suicide,Solano,2000-2002,Serx,Total,117,1206000,9.703,10.41
Suicide,Siskiyou,2000-2002,Sex,White-NH,27,133100,20.29,20.31
Suicide,El Doardo,2000-2002,Sex,NHPI-NH,66,484900,13.61,13.92
Suicide,Napa,2000-2002,Sex,Asian-NH,33,378700,8.714,7.858
Suicide,San Luis Obispo,2000-2002,ex,Total,105,752900,13.95,13.68
Suicide,Calaveras,2000-2002,Sxe,Total,19,124200,15.3,13.72
Suicide,Madera,2000-2002,Sex,Black-NH,35,379200,9.23,9.872
Suicide,Marin,2000-2002,eSx,Total,100,742500,13.47,12.1
Suicide,Contra Costa,2000-2002,Sex,Black-NH,255,2903000,8.784,8.875
Suicide,Lake,2000-2002,Sxe,Total,43,179500,23.95,21.43
Suicide,Shasta,2000-2002,Sex,Hisp,102,500800,20.37,20.13
Suicide,Santa Cruz,2000-2002,Sex,AIAN-NH,95,767600,12.38,12.52
Suicide,Monterey,2000-2002,Sex,White-NH,82,1218000,6.734,7.151
Suicide,Sonoma,2000-2002,Sex,Hisp,153,1392000,10.99,10.57
Suicide,Tuolumne,2000-2002,Sex,White-NH,28,165800,16.88,15.52
Suicide,Tehama,2000-2002,Sevx,Total,33,169600,19.46,18.06
Suicide,Santa Barbara,2000-2002,Sxe,Total,139,1209000,11.49,11.88
Suicide,Fresno,2000-2002,Sebx,Total,191,2446000,7.809,8.538
Suicide,Yuba,2000-2002,Sewx,Total,25,184500,13.55,15.0
Suicide,Santa Clara,2000-2002,Sex,Asian-NH,368,5074000,7.253,7.412
Suicide,Yolo,2000-2002,Sex,White-NH,51,524200,9.729,10.87
Suicide,Plums,2000-2002,Sx,Total,11,62050,17.73,19.48
Suicide,Inyo,2000-2002,Sex,Black-NH,13,54740,23.75,18.91
Suicide,Amador,2000-2002,Sex,NHPI-NH,17,107500,15.81,15.54
Suicide,San Bernardino,2000-2002,Sex,NHPI-NH,497,5284000,9.406,10.64
Suicide,Sultter,2000-2002,ex,Total,35,241400,14.5,15.04
Suicide,Merced,200-2002,Sex,White-NH,55,651200,8.446,9.867
Suicide,San Francisco,2000-2002,Sex,NHPI-NH,280,2344000,11.94,10.91
Suicide,Los Angeles,2000-2002,Sxe,Total,2200,28900000,7.612,8.094
Suicide,Orange,2000-2002,Sex,Asian-NH,712,8658000,8.223,8.612
Suicide,Humboldt,2000-2002,ex,Total,79,382800,20.64,20.06
Suicide,Glenn,2000-2002,eSx,Total,19,79960,23.76,24.81
Suicide,Stanislaus,2000-2002,Sx,Total,125,1386000,9.016,9.49
Suicide,Riverside,2000-2002,Syex,Total,505,4868000,10.37,11.01
Suicide,Kern,2000-2002,Sex,AIAN-NH,207,2041000,10.14,11.36
uSicide,Ventura,2000-2002,Sex,Hisp,207,2306000,8.977,9.397
Suicide,Tdulare,c2000-2002,Sex,Black-NH,80,1124000,7.117,8.09
Suicide,San Mateo,2000-2002,Sex,White-NH,145,2121000,6.837,6.694
Suicide,Mendocino,2000-2002,Sex,Hisp,43,261200,16.47,15.83
Suicide,Nevada,2000-2002,Sxe,Total,53,280000,18.93,17.95
Suicide,Placer,2000-2002,Sqex,Total,96,793500,12.1,12.12
Suicide,Alameda,2000-2002,Sex,AIAN-NH,351,4383000,8.009,8.269
Suicide,CALIFORNIA,2000-2002,Sx,Total,9579,103500000,9.259,9.644
Suicide,Butte,2000-2002,Sex,White-NH,102,617300,16.52,16.26
Suicide,San Joaquin,2000-2002,Sex,Hisp,173,1760000,9.83,10.5
Suicide,Kings,2000-2002,Sex,Black-NH,32,396900,8.063,8.313
Suicide,Sacramento,2000-2002,Sex,Black-NH,412,3790000,10.87,11.16
Siucide,Del Norte,2000-2002,Sex,White-NH,19,82470,23.04,22.44
Suicide,Imerial,2000-2002,Seyx,Total,26,435100,5.976,6.409
Suicide,San Diego,2000-2002,kSex,Total,955,8609000,11.09,11.42
Suicide,Ventura,2003-2005,Sex,Hisp,58,1196000,4.851,4.833
Suicide,Solano,2003-2005,Sex,Asian-NH,18,613900,2.932,2.909
Suicide,bMarin,2003-2005,Sex,White-NH,31,375200,8.262,7.632
Suicide,Los Angeles,2003-2005,Sex,White-NH,473,14910000,3.173,3.216
Suicide,Orange,2003-005,Sex,White-NH,190,4465000,4.256,4.266
Suicide,Contra Costa,2003-2005,Sex,AIAN-NH,73,1532000,4.764,4.622
Suicide,Nevada,2003-2005,Sex,AIAN-NH,12,147100,8.156,6.808
Suicide,San Francisco,2003-2005,Sex,White-NH,65,1153000,5.64,5.052
Suicide,San iDego,2003-2005,Sex,White-NH,225,4419000,5.092,5.067
Suciide,San Mateo,2003-2005,rSex,Female,47,1069000,4.395,3.963
Suicide,Sonoma,2003-2005,Sxe,Female,44,715600,6.149,5.585
Suicide,Mendocino,2003-2005,Sex,NHPI-NH,14,132400,10.57,10.36
Suicide,Sacramento,2003-2005,Sex,NHPI-NH,125,2054000,6.085,6.063
Suiide,San Luis Obispo,2003-2005,Sejx,Female,15,377100,3.978,3.98
Suicide,Santa Cruz,2003-2005,Sex,White-NH,29,383100,7.569,7.031
Suicide,San Joaquin,2003-2005,Sex,Hisp,27,958900,2.816,2.98
Suicide,Santa Clara,2003-2005,Sex,Asian-NH,93,2521000,3.688,3.668
Suicide,Placer,2003-2005,Soex,Female,26,462700,5.619,5.28
Suicide,Btute,2003-2005,Sex,Hisp,26,323200,8.046,8.471
Suicide,Humboldt,2003-2005,Senx,Female,19,197500,9.622,8.889
Suicide,Monterey,2003-2005,Sex,Hisp,34,597000,5.695,5.856
Suicide,Napa,2003-2005,ex,Female,14,195600,7.157,7.064
Suicide,CALIFORNIA,2003-2005,Sex,White-NH,2275,53840000,4.226,4.235
Suicide,Santa Barbara,2003-2005,Sex,Black-NH,37,614800,6.019,6.102
Suicide,Riverside,2003-2005,Segx,Female,105,2795000,3.756,3.892
Suicide,Siskiyou,2003a-2005,Sex,White-NH,11,67920,16.2,14.23
Suicide,San Bernardino,2003-2005,eSx,Female,107,2859000,3.742,3.975
Suicide,Kern,2003-2005,Sex,AIAN-NH,51,1076000,4.738,5.074
Suicide,Tulare,2003-2005,Sex,Asian-NH,15,599300,2.503,2.679
Suicide,Fresno,2003-2005,Sxe,Female,35,1289000,2.715,2.949
Suicide,Stanislaus,2003-205,ex,Female,41,745600,5.499,5.802
Suicide,Alameda,2003-2005,ex,Female,94,2238000,4.2,4.069
Suicide,Shasta,2003-2005,Sex,White-NH,21,265100,7.922,7.446
Suicide,Nevada,2003-2005,Sex,Asian-NH,30,143700,20.87,20.59
Suicide,Monterey,2003-2005,Sxe,Male,79,634100,12.46,13.91
Suicide,Ventura,2003-2005***,Sex,Asian-NH,165,1186000,13.92,15.06
Suicide,Santa Barbara,2003-2005,ex,Male,71,617600,11.5,12.04
Suicide,Santa Cruz,2003-2005,Sex,NHPI-NH,71,381600,18.61,19.62
Suicide,Riverside,2003-2005,Sex,NHPI-NH,416,2769000,15.03,16.69
Suicide,San Luis Obispo,2003-2005,zSex,Male,77,396900,19.4,18.97
Suicide,Los Angeles,2003-2005,Sex,NHPI-NH,1625,14520000,11.19,12.32
Suicide,CALIFORNIA,2003-2005,Sex,White-NH,7605,53290000,14.27,15.33
Suicide,Kern,2003-2005,eSx,Male,170,1143000,14.87,17.26
Suicirde,San Bernardino,2003-2005,Sex,Hisp,437,2834000,15.42,18.08
Suicide,San Francisco,2003-2005,Sex,AIAN-NH,213,1190000,17.9,16.21
Suicide,Contra Costa,2003-2005,Sxe,Male,216,1460000,14.8,15.44
Suicirde,San Diego,2003-2005,Sex,Black-NH,706,4459000,15.83,16.85
Suicide,San Joaquin,2003k-2005,Sex,Black-NH,110,952400,11.55,12.78
Suicide,Shasta,2003-2005,Sex,AIAN-NH,71,254600,27.88,28.1
Suicide,Alameda,2003-2005,Sex,White-NH,255,2155000,11.84,12.7
Suicide,Humboldt,2003-2005,Sex,Asian-NH,61,195700,31.18,31.5
Suicide,Sacramento,2003-2005,Sxe,Male,365,1968000,18.55,19.41
Suicide,Butte,2003-2050,Sex,Asian-NH,83,313400,26.49,26.53
Suicide,Placer,2003-2005,Sex,NHPI-NH,78,443400,17.59,17.74
Suicide,Orange,2003-2005,Sex,Black-NH,538,4389000,12.26,13.36
Suicide,Stanislaus,2003-2005,Sex,Black-NH,119,725700,16.4,17.9
Suicide,Solano,2003-2005,ex,Male,97,616900,15.72,16.21
Suicide,Napa,2003-2005,Sex,White-NH,25,194800,12.84,12.45
Suicide,Fresnwo,2003-2005,Sex,White-NH,193,1289000,14.98,16.48
Suicide,Mendocino,2003-2005,Sex,Hisp,36,131900,27.3,27.53
Suicide,Sonoma,2003-2005,Sxe,Male,140,692100,20.23,20.16
Suicide,Marin,2003-2005,Sex,Black-NH,67,365400,18.33,16.43
Suicide,Siskiyou,2003-2005,Sex,Black-NH,22,66400,33.13,30.19
Suicide,Santa Clara,2003-2005,Sxe,Male,297,2569000,11.56,12.01
Suicide,Tulare,2003-2005,Sx,Male,89,599400,14.85,16.22
Suicide,San Mateo,2003-2005,Sex,Asian-NH,157,1034000,15.18,15.42
Suicidse,Lassen,2003-0205,Semx,Total,17,103200,16.48,17.12
Suicide,San Benito,2003-2005,Sex,Black-NH,15,165900,9.041,9.003
Suicide,Merzced,2003-2005,Sex,Asian-NH,53,705300,7.514,8.485
Suicide,Los Angeles,2003-2005,Sex,NHPI-NH,2098,29420000,7.13,7.453
Suicide,San Mateo,20d03-2005,Sex,Black-NH,204,2104000,9.697,9.326
Suicide,San Bernardino,2003-2005,Sxe,Total,544,5693000,9.556,10.59
Suicide,Santa Clara,2003-2005,Szex,Total,390,5091000,7.661,7.746
Suicide,Nevada,2003-2005,Sex,AIAN-NH,42,290900,14.44,13.54
Suicdie,San Diego,2003-2005,Sex,Asian-NH,931,8877000,10.49,10.69
Suicide,Glenn,2003-2005,Sex,NHPI-NH,11,81950,13.42,13.48
Suicide,Napa,2003-20j05,Sex,AIAN-NH,39,390400,9.991,9.697
Suicide,Tehama,2003x-2005,Sex,NHPI-NH,20,178400,11.21,11.25
Sucide,Santa Cruz,2003-2005,Sex,Black-NH,101,764700,13.21,13.03
Suicide,Contra Costa,2003-2005,Sex,White-NH,289,2992000,9.659,9.654
Suicide,Stanislaus,2003-2005,Sex,Asian-NH,160,1471000,10.87,11.52
Suicide,Shasta,2003-2005,Sex,Asian-NH,92,519700,17.7,17.32
Suicide,Trinity,2003-2005,Sex,Asian-NH,19,40680,46.7,48.8
Suicide,Santa Barbara,2003-2005,Sex,Black-NH,108,1232000,8.764,8.762
Suicide,Amador,2003-2005,Sx,Total,23,111600,20.6,19.1
Suicide,Plumas,2003-2005,Sex,AIAN-NH,16,62500,25.6,24.24
Suicide,Riverside,2003-2005,Sepx,Total,521,5564000,9.364,9.932
Suicide,Mendocino,2003-2005,Serx,Total,50,264300,18.92,18.77
Suicide,Ventura,2003-005,lSex,Total,223,2381000,9.365,9.649
Suicide,San Francisco,2003-2005,Sex,Hisp,278,2342000,11.87,10.7
Suicide,Imperial,2003-2005,eSx,Total,30,462500,6.486,7.223
Suicide,Fresno,2003-2005,Sex,NHPI-NH,228,2578000,8.844,9.524
Suicide,Sutter,2003-2005,Sex,Asian-NH,27,258300,10.45,10.78
Suicide,Del Norte,2003-2005,Sex,NHPI-NH,14,84360,16.59,15.52
Suicide,Orange,2003-2005,eSx,Total,728,8853000,8.223,8.452
Suicide,Kings,2003-2005,Sx,Total,37,426000,8.685,9.342
Suicide,Sacramento,2003-2005,Sex,Asian-NH,490,4022000,12.18,12.36
Suicide,Kern,2003-2005,cSex,Total,221,2220000,9.956,10.98
Suicide,Bute,2003-2005,Sxe,Total,109,636500,17.12,16.86
Suicide,Humboldt,2003-2005,Sex,Asian-NH,80,393100,20.35,19.39
Suicide,El Dorado,2003-2005,Sehx,Total,76,511200,14.87,13.92
Suicide,Solano,2003-2005,ex,Total,115,1231000,9.343,9.439
Suicide,Inyo,2003-2005,Sxe,Total,13,55540,23.41,20.14
uSicide,Calaveras,2003-2005,Sex,Black-NH,30,131900,22.75,21.84
Suicide,Sonoma,2003-2005,Sxe,Total,184,1408000,13.07,12.44
Suicide,Mariposa,2003-2005,Sxe,Total,12,53690,22.35,23.12
Suicide,San Luis Obispo,2003-2005,Svex,Total,92,774000,11.89,11.29
Suicide,Monterey,2003-2005,Sex,White-NH,113,1231000,9.179,9.712
Suicide,Margin,2003-2005,Sex,Black-NH,98,740700,13.23,11.53
Suicide,CALIFORNIA,2003-2005,Sex,Asian-NH,9881,107100000,9.224,9.474
Suicide,Yuba,2003-2005,ex,Total,35,196900,17.77,19.65
Suicide,Alameda,2003-2005,Swex,Total,349,4393000,7.945,7.964
Suicide,Tulaer,2003-2005,Sex,NHPI-NH,104,1199000,8.676,9.348
Suicide,Siskiyou,2003-2005,Sex,Hisp,33,134300,24.57,22.03
Suicide,Madera,2003-2005,Sex,Asian-NH,39,409200,9.531,10.64
Suicide,Yolo,200-32005,Sex,AIAN-NH,41,555400,7.382,8.004
Suicide,Tuolumne,2003-2005,Sex,NHPI-NH,40,169300,23.63,22.06
Suicide,San Joaquin,2003-2005,Sex,Black-NH,137,1911000,7.168,7.652
Suicide,Placer,2003-2005,Sex,Hisp,104,906100,11.48,11.29
Suicide,Lake,2003-2005,Sxe,Total,33,187700,17.58,16.91
Suicide,Humboldt,2006-2008,Sxe,Female,26,199300,13.04,12.27
Suicide,Santa Clara,2006-2008,Sx,Female,116,2587000,4.484,4.389
Suicide,Kern,2006-2008,Sex,White-NH,47,1168000,4.022,4.347
Suicide,El Dorado,2006-2008,zSex,Female,19,265600,7.153,6.65
Suicide,Butte,2006-2008,Sex,White-NH,18,330000,5.454,5.89
Suicide,Santa Cruz,2006-2008,ex,Female,13,387200,3.357,3.015
Suicide,Los Angeles,2006-2008,Sex,White-NH,463,14880000,3.112,3.073
Suicide,Lake,2006-2008,Sex,White-NH,15,96170,15.6,15.78
Suicide,Riverside,2006-2008,ex,Female,137,3128000,4.38,4.533
Suicide,Merced,2006-2008,ex,Female,11,372300,2.954,3.322
Suicide,Santa Barbara,2006-2008,Sxe,Female,27,622400,4.338,4.15
Suicide,Orange,2006-2008,Sex,Black-NH,228,4493000,5.074,4.936
Suicide,San Mateo,2006-2008,Sex,White-NH,40,1075000,3.721,3.378
Suicide,Fersno,2006-2008,eSx,Female,57,1350000,4.222,4.425
Suicide,San Luhis Obispo,2006-2008,Ssex,Female,24,386600,6.209,5.98
Suicide,San Francisco,2006-2008,Sex,White-NH,62,1169000,5.305,4.465
Suicide,Placer,2006-2008,Sex,NHPI-NH,31,505900,6.127,5.867
Suicide,Mendocino,200m6-2008,Sex,AIAN-NH,16,131700,12.15,11.96
Suicide,Monterey,2006-2008,Sx,Female,30,595200,5.04,5.175
Suicide,Shasta,2006-2008,Sex,NHPI-NH,18,268700,6.698,7.09
Suicide,San Diego,2006-2008,Sex,AIAN-NH,225,4504000,4.996,4.938
uicide,Stanislaus,2006-2008,ex,Female,30,770300,3.895,3.943
Suicide,CALIFORNIA,2006-2008,ex,Female,2397,55120000,4.349,4.281
Suicide,Yolo,2006-2008,ex,Female,21,299000,7.024,7.383
Suicide,Sacramento,2w006-2008,ex,Female,115,2124000,5.415,5.345
Suicide,Sonoma,2006-2008,Sex,NHPI-NH,43,721300,5.961,5.192
Suicide,Contra Costa,2006-2008,Sex,Black-NH,79,1569000,5.036,4.735
Suicied,Solano,2006-0208,Sex,Black-NH,28,617900,4.531,4.456
Susicide,Ventura,2006-2008,Sex,NHPI-NH,57,1216000,4.689,4.423
Suicied,Tehama,2006-2008,ex,Female,11,93640,11.75,11.44
Suicide,Marin,2006-2008,ex,Female,30,378100,7.934,5.941
Suicide,San Joaquin,2006-2008,Sjex,Female,39,1007000,3.874,4.046
Suicide,Madera,2006-2008,Sex,White-NH,13,228100,5.7,5.762
Suicide,Alameda,2006-2008,Sex,Hisp,92,2259000,4.073,3.889
Suicide,Nevada,2006-208,ex,Female,11,149400,7.365,5.402
Suicide,San Bernardino,2006-2008,Sex,Black-NH,128,3012000,4.25,4.448
Suicide,Sacramento,2006-2008,Seox,Male,412,2037000,20.22,20.83
Suicide,San Luis Obispo,2006-2008,Sex,AIAN-NH,80,406200,19.69,19.0
Suicide,Butte,2006-2008,Sex,NHPI-NH,99,321200,30.82,31.02
Suicide,Nevada,2006-2008,Sxe,Male,41,146200,28.05,26.96
Suicide,San Francisco,2006-2008,Sex,Black-NH,236,1204000,19.6,17.15
Suicide,Placer,2006-2008,Sex,Black-NH,82,484000,16.94,16.58
Suicide,Santa Clara,2006-2008,Sex,Asian-NH,288,2623000,10.98,11.24
Suicide,El Dorado,2006-2008,Sxe,Male,46,265400,17.33,17.64
Suicide,Orange,2006-2008,Sex,NHPI-NH,584,4411000,13.24,13.65
Suicide,Sonoma,2006-2008,Sex,Black-NH,141,698300,20.19,19.43
Suicide,Stanislaus,2006-2008,Saex,Male,120,752000,15.96,17.15
Suicide,Marin,2006-2008,Sex,White-NH,86,368200,23.36,20.93
Suicide,Riverside,2006-2008,eSx,Male,467,3095000,15.09,16.25
Suicide,Yolo,2006-2008,eSx,Male,42,284300,14.77,15.04
Suicide,CALIFORNIA,2006-2008,Sex,Black-NH,8017,54540000,14.7,15.37
Suicide,San Joaquin,2006-2008,Sex,NHPI-NH,147,999200,14.71,16.51
Suicide,Humboldt,2006-2008,Seox,Male,61,198700,30.69,29.59
Suicide,Sn Diego,2006-2008,Sex,White-NH,763,4544000,16.79,17.49
Suicide,Tehama,2006-2008,Sex,White-NH,26,92640,28.07,28.94
Suicide,oSlano,2006-0208,Sex,Asian-NH,90,619200,14.53,15.08
Suicide,Kern,2006-2008,xSex,Male,181,1243000,14.56,16.99
Suicide,Fresno,2006-2008,Sex,White-NH,191,1349000,14.16,15.56
Suicide,Lake,2006-2008,Sex,White-NH,38,95980,39.59,39.01
Suicide,Mendocino,2006-200c8,Sex,NHPI-NH,49,131300,37.32,35.35
Suicide,Madera,2006-2008,Sex,AIAN-NH,36,211400,17.03,19.11
Suicide,Ventura,2006-2008,Sex,Black-NH,206,1203000,17.12,17.94
Suicide,Los Angeles,2006-2008,Sxe,Male,1612,14480000,11.13,11.84
Suicide,Monterey,2006-2008,Sbex,Male,89,629400,14.14,14.81
Suciide,Mecred,2006-2008,Sxe,Male,36,374700,9.608,11.02
Suicide,San Mateo,2006-2008,eSex,Male,145,1040000,13.94,13.71
Suicide,Shasta,2006-0208,Sex,White-NH,99,259000,38.23,37.72
Suicide,Alameda,2006-2008,Sex,NHPI-NH,263,2174000,12.1,12.4
Suicide,Contra Costa,2006-2008,Sxe,Male,216,1496000,14.44,14.9
Suicide,Sranta Barbara,2006-2008***,Sex,White-NH,80,627100,12.76,13.71
Suicide,Santa Cruz,2006-2008,Sevx,Male,73,385700,18.93,20.08
Suicide,San Bernardino,2006-2008,Sxe,Male,423,2984000,14.18,16.12
Suicide,Riverside,2006-2008,Sex,AIAN-NH,604,6223000,9.706,10.19
Suicide,Saccramento,2006-2008,ex,Total,527,4161000,12.66,12.7
Suicied,Trinity,2h006-2008,Sxe,Total,15,41330,36.29,33.26
Suicide,Mendocino,2006-2008,Sex,NHPI-NH,65,263000,24.71,23.49
uSicide,Santa Clara,2006-2008,Sdex,Total,404,5210000,7.755,7.724
Suicide,Placer,2006-2008,ex,Total,113,989900,11.42,10.96
qSuicide,Alameda,2006-2008,Sex,NHPI-NH,355,4433000,8.008,7.856
Suicide,Santa Barbara,2006-2008,Sex,Black-NH,107,1249000,8.564,8.68
Suicide,Solano,2006-2008***,ySex,Total,118,1237000,9.538,9.577
Suicide,Stanislaus,2006-2008,ex,Total,150,1522000,9.853,10.27
Suicide,Ventura,2006-2008,ex,Total,263,2419000,10.87,10.85
Suicide,Kings,2006-2008,Sex,White-NH,35,449700,7.783,8.629
Suicide,Merced,2006-2008,Sex,Asian-NH,47,747000,6.292,6.916
Suicide,Shasat,2006-2008,Sex,Black-NH,117,527700,22.17,21.54
Suicide,Sutter,2006-2008,Sgex,Total,28,276600,10.12,10.26
Suicide,San Mateo,2006-2008,Sex,Asian-NH,185,2115000,8.747,8.267
Suicide,Orage,2006-2008,Sex,Asian-NH,812,8904000,9.119,9.104
uicide,Imperial,2006-2008,eSx,Total,30,499500,6.006,6.652
