OBJECTID,County,FDID,MACSID,Name,Address,City,Zip,FireChief,Phone,Notes,LastUpdated,Website,CALFIREUnit,SHAPE_Length,SHAPE_Area
322,SHASTA,45555,SHU,CDF‐SHASTA COUNTY,875 CYPRESS AVE,REDDING,96001,SEAN O'HARA,(530) 225‐2418,,2018/06/21 00:00:00+00,https://www.co.shasta.ca.us/index/fire-department/shasta-county-fire-department,SHU,1038627.47710047,8236403845.49973
327,SISKIYOU,47075,TUL,TULELAKE MULTI CO FD,PO BOX 306,TULELAKE,96134,JERRY D KING,(541) 892‐1003,,2021/11/21 00:00:00+00,,SKU,95394.3558067849,272269161.599265
378,TEHAMA,52555,TGU,CDF‐TEHAMA COUNTY,604 ANTELOPE BLVD,RED BLUFF,96080,BOB FARIAS,(530) 529‐8548,,2018/06/21 00:00:00+00,https://www.tehamacountyfire.org/,TGU,2174212.81151481,5798778631.66662
381,TRINITY,53014,SLV,SALYER VFD,PO BOX 235,SALYER,95563,DAVID MURPHY,(530) 629‐2073,,2018/06/21 00:00:00+00,https://www.trinitycounty.org/node/3325,HUU,24041.5145948314,21001714.9116857
385,TUOLUMNE,55005,CLB,COLUMBIA FPD,11328 JACKSON STREET,COLUMBIA,95310,RYAN DELGADO,(209) 532‐3772,,2018/06/21 00:00:00+00,,TCU,7261.26832689736,2574247.94507777
386,TUOLUMNE,55010,JST,JAMESTOWN FPD,PO BOX 634,JAMESTOWN,95327,DAVE  WOOD,(209) 984‐5623,,2018/06/21 00:00:00+00,,TCU,5565.0542968126,702115.48128293
387,TUOLUMNE,55015,WUK,MI WUK SUGAR PINE FPD,PO BOX 530,MI WUK VILLAGE,95346,STEVE MCCLINTOCK,(209) 586‐5256,,2018/06/21 00:00:00+00,https://www.mwspfire.us/,TCU,9040.17315736922,2999767.59039573
388,TUOLUMNE,55020,SOF,SONORA FD,201 S SHEPHERD ST,SONORA,95370,AIMEE NEW,(209) 532‐7432,,2018/06/21 00:00:00+00,https://www.sonoraca.com/city-services/departments/fire-department/,TCU,16504.2009358435,8056058.56531409
389,TUOLUMNE,55025,STW,STRAWBERRY VFD,PO BOX 1185,PINECREST,95364,NEIL GAMEZ,(209) 965‐3513,,2018/06/21 00:00:00+00,,TCU,7228.68928226211,1612405.18694955
390,TUOLUMNE,55030,TUO,TUOLUMNE FPD,18690 MAIN ST.,TUOLUMNE,95379,NICK OHLER,(209) 928‐4505,,2018/06/21 00:00:00+00,https://www.tuolumnefire.com/,TCU,16848.952986211,5005693.17656117
391,TUOLUMNE,55035,TWA,TWAIN HARTE CSD,PO BOX 447,TWAIN HARTE,95383,NEIL GAMEZ,(209) 586‐4800,,2018/06/21 00:00:00+00,https://www.twainhartecsd.com/,TCU,13307.9251340916,4103561.71419146
392,TUOLUMNE,55045,GCS,GROVELAND FD,PO BOX 350,GROVELAND,95321,DAVE  WOOD,(209) 962‐7891,,2018/06/21 00:00:00+00,https://www.gcsd.org/fire-department,TCU,46942.5023879148,38241436.5748754
393,TUOLUMNE,55050,TLU,TUOLUMNE CO FD,18440 STRIKER COURT,SONORA,95370,DAVE  WOOD,(209) 533‐5100,,2018/06/21 00:00:00+00,https://www.tuolumnecounty.ca.gov/717/Fire-Department,TCU,509239.513676577,4108283272.51317
394,VENTURA,56005,FLM,FILLMORE FD,250 CENTRAL AVE,FILLMORE,93015,D. KEITH GURROLA,(805) 524‐1500,,2018/06/21 00:00:00+00,https://www.fillmorefire.com/,VNC,22227.5288192953,8544152.83990999
395,VENTURA,56010,OXD,OXNARD FD,360 WEST SECOND ST.,OXNARD,93030,ALEXANDER HAMILTON,(805) 385‐7722,,2018/06/21 00:00:00+00,https://www.oxnard.org/fire-department/,VNC,101124.164557806,69687041.8268099
396,VENTURA,56020,VNC,VENTURA COUNTY FPD,165 DURLEY AVE,CAMARILLO,93010,DUSTIN GARDNER,(805) 389‐9710,,2018/06/21 00:00:00+00,https://vcfd.org/,VNC,840086.616547571,4239352732.16567
408,YUBA,58003,DOF,DOBBINS OREGON HOUSE FPD,PO BOX 164,OREGON HOUSE,95962,JACK EASTER,(530) 692‐1586,,2018/06/21 00:00:00+00,http://www.dohfd.com/,NEU,70353.9983383441,180646034.499982
409,YUBA,58004,FTL,FOOTHILL VOLUNTEER FD,PO BOX 332,BROWNSVILLE,95919,WILLIAM SHAW,(530) 675‐0163,,2018/06/21 00:00:00+00,http://www.ffpd.net/,NEU,125558.842263508,275687221.043722
410,YUBA,58005,LNA,LINDA FPD,1286 SCALES AVE,MARYSVILLE,95901,KYLE HEGGSTROM,(530) 743‐1553,,2018/06/21 00:00:00+00,https://www.lindafire.org/,NEU,108397.772293428,113242486.289485
411,YUBA,58008,LRB,LOMA RICA BROWNS VALLEY CSD,PO BOX 8153,MARYSVILLE,95901,BRIAN ESTES,(530) 741‐0755,,2018/06/21 00:00:00+00,http://www.lrbvfire.org/,NEU,82227.3874128485,242102609.820362
412,YUBA,58020,SFP,SMARTSVILLE FD,PO BOX 354,SMARTSVILLE,95977,SEAN GRIFFIS,(530) 639‐0405,,2018/06/21 00:00:00+00,https://www.smartsvillefire.org/,NEU,88517.6869035199,184977521.00652
413,YUBA,58030,PBF,PLUMAS BROPHY FPD,313 MAIN STREET,WHEATLAND,95692,ARTHUR PAQUETTE,(530) 633‐0861,,2018/06/21 00:00:00+00,,NEU,93383.8653536653,198600160.826484
414,ALAMEDA,,,CAMP PARKS FIRE DEPT,,,,,,,2018/06/21 00:00:00+00,<Null>,SCU,15816.9512078742,10246732.6793443
415,ALAMEDA,,,FAIRVIEW FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,https://www.fairviewfiredistrict.org/,SCU,23361.9792521999,10779106.7077614
416,CONTRA COSTA,,,KENSINGTON FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,https://www.kensingtonfire.org/,SCU,8344.73433489491,2474922.73598686
419,MONTEREY,27045,GRN,GREENFIELD FD,380 OAK AVE,GREENFIELD,93927,JIM LANGBORG,(831) 674‐5484,,2018/06/21 00:00:00+00,https://ci.greenfield.ca.us/208/Fire-Service,BEU,53362.4147962595,118989234.340416
429,SAN BENITO,27005,ATC,AROMAS TRI COUNTY FPD,2221 GARDEN ROAD,MONTEREY,93940,DAVID FULCHER,(831) 333‐4600,,2018/06/21 00:00:00+00,https://atcfire.org/,BEU,25585.3498990836,36672200.8732301
431,SAN LUIS OBISPO,,,LOS OSOS CSD,,,,,,,2018/06/21 00:00:00+00,https://www.losososcsd.org/,SLU,19545.7780647758,13377605.4250433
443,NAPA,,,NAPA CITY AND COUNTY AUTO AID AGREEMENT,,,,,,,2018/06/21 00:00:00+00,,LNU,13360.4388984715,794311.602492662
444,LAKE,17025,LKP,LAKEPORT FPD,445 N MAIN ST,LAKEPORT,95453,DANIEL J. GREBIL,(707) 263‐4396,,2018/06/21 00:00:00+00,http://www.lakeportfire.com/,LNU,95414.2437236026,193269366.012715
445,LAKE,17040,MDT,SOUTH LAKE CFPD,P.O. BOX 1360,MIDDLETOWN,95461,MIKE MARCUCCI,(707) 987‐3089,,2018/06/21 00:00:00+00,,LNU,117855.333006009,504624679.805928
446,LAKE,17060,LAK,LAKE PILLSBURY FPD,29501 FULLER DRIVE UNIT B,POTTER VALLEY,95492,LARRY THOMPSON,(707) 743‐1625,,2018/06/21 00:00:00+00,http://www.lakepillsburyfire.com/,LNU,67785.0419545928,233533901.917603
451,VENTURA,,,CAMARILLO CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,66986.6055996864,50969587.0739327
452,VENTURA,,,MOORPARK CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,34756.3653592046,32303149.8053381
453,VENTURA,,,OJAI CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,22508.76294844,11311153.1844829
454,VENTURA,,,SIMI VALLEY CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,87107.15412935,109487080.38915
455,VENTURA,,,THOUSAND OAKS CITY FD,,,,,,,2018/06/21 00:00:00+00,https://www.toaks.org/departments/fire,VNC,105549.524610816,143415014.02908
456,VENTURA,,,PORT HUENEME CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,16326.71645235,11687910.5998651
457,VENTURA,,,SANTA PAULA CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,28216.7620024566,12151844.4387046
458,VENTURA,,,SAN BUENAVENTURA CITY FD,,,,,,,2018/06/21 00:00:00+00,,VNC,112155.009909199,56951709.1691856
459,DEL NORTE,,,KLAMATH FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,,HUU,41122.1339290147,27902754.6468088
460,SUTTER,51055,STC,SUTTER COUNTY FD,1130 CIVIC CENTER BLVD STE E,YUBA CITY,95993,JOHN SHALOWITZ,(530) 822‐7724,,2018/06/21 00:00:00+00,https://www.suttercounty.org/government/county-departments/emergency-services/fire-services,NEU,251502.482126663,1012940315.88124
461,YUBA,,,HALLWOOD COMM SERVICE DISTRICT,,,,,,,2018/06/21 00:00:00+00,,NEU,86699.0697943444,147474734.684715
462,YUBA,58015,OLI,OLIVEHURST FD,1962 9TH AVE,OLIVEHURST,95961,RANDY YORK,(530) 743‐7117,,2018/06/21 00:00:00+00,https://www.opud.org/olivehurst-fire-department,NEU,24021.0870790253,12221244.5546753
463,MENDOCINO,,,FORT BRAGG RURAL FPD,,,,,,,2018/06/21 00:00:00+00,https://fortbraggfire.specialdistrict.org/,MEU,126380.971746814,193997811.091346
464,MENDOCINO,,,MENDOCINO FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,https://mendocinofpd.org/,MEU,75813.0414263718,61642525.7232925
465,MENDOCINO,,,SANEL VALLEY FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,,MEU,99074.8470896015,257672414.814676
466,MENDOCINO,,,CITY OF UKIAH,,,,,,,2018/06/21 00:00:00+00,,MEU,28305.5414275651,12531216.6939846
467,AMADOR,,,SUTTER CREEK FD,,,,,,,2018/06/21 00:00:00+00,https://suttercreekfire.org/,AEU,32662.2660187395,8138100.50520802
468,AMADOR,,,PLYMOUTH FD,,,,,,,2018/06/21 00:00:00+00,,AEU,17300.3142306788,3426350.02501991
473,MARIN,,,SOUTHERN MARIN FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,,MRN,838.652308257664,32684.2039338589
474,MARIN,,,SLEEPY HOLLOW FIRE PROTECTION DISTRICT,,,,,,,2018/06/21 00:00:00+00,https://www.shfpd.org/,MRN,12879.3074368652,6515231.77154952
475,MARIN,,,BELVEDERE FIRE,,,,,,,2018/06/21 00:00:00+00,,MRN,10816.5573533219,5900394.12878033
476,MARIN,,,CORTE MADERA FIRE DEPARTMENT,,,,,,,2018/06/21 00:00:00+00,,MRN,19369.9659653479,11583886.5255077
477,MARIN,,,LARKSPUR FIRE DEPARTMENT,,,,,,,2018/06/21 00:00:00+00,https://www.ci.larkspur.ca.us/Directory.aspx?did=5,MRN,24408.6094893643,8285006.20759163
484,SAN BERNARDINO,36065,COL,COLTON FD,303 EAST E ST,COLTON,92324,TIM MCHARGUE,(909) 370‐5100,,2018/06/21 00:00:00+00,https://www.coltonfire.com/,BDU,70719.4090463043,41761203.0693492
485,SAN BERNARDINO,,,RUBIDOUX COMM. SERVICE DISTRICT,,,,,,Currently inside the newly formed city of Jarupa Valley and may be renamed Jarupa Valley FD,2018/06/21 00:00:00+00,,BDU,3584.98523721968,520047.476768829
486,LOS ANGELES,,,SAN MARINO-CITY FIRE DEPT,,,,,,,2018/06/21 00:00:00+00,https://www.cityofsanmarino.org/government/departments/fire/index.php,LAC,17312.7142367523,9756140.05039916
487,LOS ANGELES,,,HAWTHORNE-CITY FIRE DEPT,,,,,,,2018/06/21 00:00:00+00,https://www.hawthornefire.org/,LAC,33367.2894208804,15740379.9239415
488,LOS ANGELES,,,WEST COVINA-CITY FIRE DEPT,,,,,,,2018/06/21 00:00:00+00,https://www.westcovina.org/departments/fire,LAC,62351.811025646,41618836.1674181
489,LOS ANGELES,19225,LHH,LA HABRA HEIGHTS VFD,1245 N HACIENDA BLVD,LA HABRA HEIGHTS,90631,DOUG GRAFT,(562) 694‐8283,,2018/06/21 00:00:00+00,https://www.lhhcity.org/168/Fire-Department,LAC,21301.0980793032,15951641.4969138
491,LOS ANGELES,,,SAN FERNANDO-CITY FIRE DEPT,,,,,,,2018/06/21 00:00:00+00,,LAC,11155.9605680079,6144549.84149406
492,IMPERIAL,,,IMPERIAL,,,,,,,2018/06/21 00:00:00+00,http://www.imperialvfd.org/,SDU,21676.4850704522,8344104.14075128
493,IMPERIAL,,,OCOTILLO FD,,,,,,,2018/06/21 00:00:00+00,,SDU,90583.6029727484,472655148.381986
494,IMPERIAL,,,WINTERHAVEN FD,,,,,,,2018/06/21 00:00:00+00,,SDU,211311.537900585,1864755583.36134
495,IMPERIAL,,,SEELEY,,,,,,,2018/06/21 00:00:00+00,,SDU,60679.7140735753,200339219.808772
496,IMPERIAL,,,HEBER,,,,,,,2018/06/21 00:00:00+00,,SDU,9471.69750166713,3820720.46682127
497,IMPERIAL,,,SALTON CSD,,,,,,,2018/06/21 00:00:00+00,,SDU,140457.188822608,735657564.213425
498,IMPERIAL,,,NILAND FD,,,,,,,2018/06/21 00:00:00+00,,SDU,169436.968149055,716880825.200494
499,IMPERIAL,,,PALO VERDE,,,,,,,2018/06/21 00:00:00+00,https://www.pvestates.org/services/fire-and-paramedic-department,SDU,211829.957582026,1240632761.18931
500,IMPERIAL,,,SALTON SEA BEACH,,,,,,,2018/06/21 00:00:00+00,,SDU,27465.0369854579,22588774.5538996
501,ALPINE,,,EASTERN ALPINE CO. FD,,,,,,,2018/06/21 00:00:00+00,,AEU,126170.885752992,516730750.997099
502,MODOC,,,WILLOW RANCH,,,,,,,2021/11/21 00:00:00+00,,LMU,108836.074577236,439662587.674526
503,LASSEN,,,SIERRA ARMY DEPOT,,,,,,,2021/11/21 00:00:00+00,,LMU,145582.532562358,380832877.50602
504,LASSEN,,,SOUTH LASSEN,,,,,,,2021/11/21 00:00:00+00,,LMU,63871.4567421411,172908299.720944
506,PLUMAS,,,PORTOLA FD,,,,,,,2021/11/21 00:00:00+00,,LMU,30207.3911922663,14122926.5603752
507,PLUMAS,,,GOLD MOUNTAIN CSD,,,,,,,2018/06/21 00:00:00+00,https://www.gmcsd.org/,LMU,11818.610130748,5234838.19219845
508,MODOC,,,CALPINES CSD,,,,,,,2021/11/21 00:00:00+00,https://cpcsd.specialdistrict.org/,LMU,166002.755396569,142596887.102612
509,SAN MATEO,,,SAN CARLOS/REDWOOD CITY FIRE DEPARTMENT,"600 ELM STREET, SAN CARLOS CA 94070",,,,(650) 802-4300,,2022/01/06 00:00:00+00,https://www.cityofsancarlos.org/government/departments/fire,CZU,30192.1781873032,13962857.1018166
597,MONTEREY,27070,SLS,SALINAS FD,200 LINCOLN AVE,SALINAS,93901,SAMUEL KLEMEK,(831) 758‐7261,,2022/01/20 00:00:00+00,https://www.cityofsalinas.org/our-city-services/fire-department,BEU,48365.1336853729,60665363.393108
606,ORANGE,30005,ANA,ANAHEIM FD,201 S ANAHEIM BLVD 300,ANAHEIM,92805,RANDY R. BRUEGMAN,(714) 765‐4001,,2022/02/07 00:00:00+00,https://www.anaheim.net/613/Fire-Rescue,ORC,123488.363583757,131749574.080914
607,MONTEREY,27010,CHF,CARMEL HIGHLANDS FPD,2221 GARDEN ROAD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐4600,,2022/02/07 00:00:00+00,https://carmelhighlandsfire.org/,BEU,36500.0534206844,24123652.847256
608,MONTEREY,27905,CFC,CACHAGUA FPD,PO BOX 2090,CARMEL VALLEY,93924,GREGG I.CURRY,(831) 659‐3271,,2022/02/07 00:00:00+00,https://cachaguafire.com/,BEU,81741.3612013553,279838111.968073
609,MONTEREY,27900,BSF,BIG SUR FIRE,PO BOX 520,BIG SUR,93920,MATT HARRIS,(831) 667‐2113,,2022/02/07 00:00:00+00,https://www.bigsurfire.org/,BEU,232757.080164012,660859492.086827
610,MONTEREY,27005,ATC,AROMAS TRI COUNTY FPD,2221 GARDEN ROAD,MONTEREY,93940,DAVID FULCHER,(831) 333‐4600,,2022/02/07 00:00:00+00,https://atcfire.org/,BEU,44295.7866827413,44911927.939202
611,MONTEREY,27115,PEB,PEBBLE BEACH CSD,2221 GARDEN ROAD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐4600,,2022/02/07 00:00:00+00,https://pbcsd.org/,BEU,28793.0129506629,20950547.1512487
612,MONTEREY,27025,NCD,NORTH COUNTY FPD,11200 SPEEGLE ST,CASTROVILLE,95012,JOEL MENDOZA,(831) 633‐2578,,2022/02/07 00:00:00+00,https://www.ncfire.org/,BEU,111453.483084089,318480205.133773
613,MONTEREY,27024,CYP,CYPRESS FPD,2221 GARDEN RD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐4600,,2022/02/07 00:00:00+00,https://cypressfire.org/,BEU,49089.0019830907,29614845.7869906
614,MONTEREY,27155,SMY,SOUTH MONTEREY COUNTY FPD,2221 GARDEN RD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐4600,,2022/02/07 00:00:00+00,https://somocofpd.org/,BEU,389520.026688199,1640262881.63787
615,MONTEREY,27075,MCF,MONTEREY COUNTY REGIONAL FD,19900 PORTOLA DR,SALINAS,93908,DAVID SARGENTI,(831) 455‐1828,,2022/02/07 00:00:00+00,https://www.mcrfd.org/,BEU,312574.100078527,1034950441.59425
616,MONTEREY,27910,MCC,MID COAST FIRE BRIGADE,38000 PALO COLORADO ROAD,CARMEL,93923,CHERYL GOETZ,(831) 625‐8175,,2022/02/07 00:00:00+00,https://www.midcoastfirebrigade.org/,BEU,68676.0005734077,106194400.29171
619,ORANGE,30055,NPB,NEWPORT BEACH FD,100 CIVIC CENTER DR,NEWPORT BEACH,92660,JEFF BOYLES,(949) 644‐3104,,2022/02/08 00:00:00+00,https://www.newportbeachca.gov/government/departments/fire-department,ORC,66193.0358779837,67358532.0444273
620,ORANGE,30020,COS,COSTA MESA FD,PO BOX 1200,COSTA MESA,92628,DANIEL A. STEFANO,(714) 754‐5106,,2022/02/08 00:00:00+00,https://www.costamesaca.gov/city-hall/city-departments/fire-rescue,ORC,35537.4529287962,41041553.8945273
621,ORANGE,30040,HTB,HUNTINGTON BEACH FD,2000 MAIN ST,HUNTINGTON BEACH,92648,SCOTT M. HABERLE,(714) 536‐5411,,2022/02/08 00:00:00+00,https://www.huntingtonbeachca.gov/government/departments/fire/,ORC,63974.1729160214,68203903.9251759
623,MONTEREY,27055,MAR,MARINA FIRE DEPT,211 HILLCREST AVE,MARINA,93933,DOUG MCCOUN,(831) 884‐1213,,2022/02/08 00:00:00+00,https://cityofmarina.org/24/Fire-Department,BEU,30636.9577003271,23174630.3267747
624,MONTEREY,27080,SEA,SEASIDE FD,1635 BROADWAY AVE,SEASIDE,93955,BRIAN DEMPSEY,(831) 899‐6790,,2022/02/08 00:00:00+00,https://www.ci.seaside.ca.us/217/Fire-Department,BEU,22386.3302691861,23217222.6169548
625,MONTEREY,27050,KIN,KING CITY FD,422 BASSETT ST,KING CITY,93930,LONNIE SILVA,(831) 385‐3430,,2022/02/08 00:00:00+00,https://www.kingcity.com/city-departments/fire-department/,BEU,25314.9992595055,10138728.2287509
626,SAN BENITO,35555,BEU,CDF‐SAN BENITO COUNTY,2221 GARDEN RD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐2600,,2022/02/08 00:00:00+00,,BEU,443143.318137269,3544822350.90434
627,SAN BENITO,35015,SJB,SAN JUAN BAUTISTA/HOLLISTER FD,110 5TH ST,HOLLISTER,95023,BOB MARTIN DEL CAMPO,(831) 636‐4325,,2022/02/08 00:00:00+00,http://hollister.ca.gov/government/city-departments/fire/,BEU,78951.3826853066,23327341.7516823
628,ORANGE,30065,ORC,ORANGE COUNTY FIRE AUTHORITY,1 FIRE AUTHORITY ROAD,IRVINE,92602,BRIAN FENNESSY,(714) 573‐6000,,2022/02/09 00:00:00+00,https://ocfa.org/,ORC,523303.772316099,1519453613.40504
629,ORANGE,30010,BRE,BREA FD,1 CIVIC CENTER CIRCLE,BREA,92821,GEORGE AVERY,(714) 990‐7655,,2022/02/09 00:00:00+00,https://www.ci.brea.ca.us/291/Fire,ORC,48643.396763764,33382009.0939388
630,SAN BERNARDINO,36042,BFA,BIG BEAR FIRE AUTHORITY,PO BOX 10000,BIG BEAR LAKE,92315,JEFF WILLIS,(909) 866‐7566,,2022/02/09 00:00:00+00,https://bigbearfire.com/,BDU,92179.3544333788,94108879.6709764
631,RIVERSIDE,33016,CMS,CALIMESA FD,906 PARK AVENUE,CALIMESA,92320,TIM O'CONNELL,(909) 795‐9801,Riverside County Fire Department Dispatch Contract,2022/01/10 00:00:00+00,http://www.cityofcalimesa.net/,RRU,40586.9451376312,38546710.2455199
632,RIVERSIDE,33055,MUR,MURRIETA FIRE & RESCUE,41825 JUNIPER ST,MURRIETA,92562,BERNARD MALLOY,(951) 304‐3473,,2018/06/21 00:00:00+00,https://www.murrietaca.gov/154/Fire,RRU,57730.5874548595,87001754.493261
633,RIVERSIDE,33015,BLY,BLYTHE FD,201 N COMMERCIAL,BLYTHE,92225,CURTIS CRECELIUS,(760) 922‐6117,,2022/02/09 00:00:00+00, ,RRU,100919.706198473,70559053.0550121
634,RIVERSIDE,33018,CDR,CATHEDRAL CITY FD,32100 DESERT VISTA RD,CATHEDRAL CITY,92234,JOHN MUHR,(760) 770‐8200,,2022/02/09 00:00:00+00,https://www.cathedralcityfire.org/,RRU,60630.6973772464,59054102.9179272
635,RIVERSIDE,33025,COR,CORONA FD,735 PUBLIC SAFETY WAY,CORONA,92880,BRIAN YOUNG,(951) 736‐2220,,2022/02/09 00:00:00+00,https://www.coronaca.gov/government/departments-divisions/fire-department,RRU,110050.63476017,103370512.560644
636,RIVERSIDE,33040,HMT,HEMET FD,510 E. FLORIDA AVE,HEMET,92543,EDDIE SELL,(951) 765‐2450,,2022/02/09 00:00:00+00,https://www.hemetca.gov/90/Fire,RRU,72253.9695830973,75787495.7447161
637,RIVERSIDE,33045,IDL,IDYLLWILD FPD,PO BOX 656,IDYLLWILD,92549,MARK LAMONT,(951) 659‐2153,Riverside County Fire Department Dispatch Contract,2022/02/09 00:00:00+00,https://idyllwildfire.com/index.html,RRU,23103.0149415826,13242086.6986892
638,RIVERSIDE,33053,MRF,MORONGO RESERVATION FD,11581 POTRERO RD,BANNING,92220,JASON CARRIZOSA,(951) 755-5233,Riverside County Fire Department Dispatch Contract,2022/02/09 00:00:00+00,https://morongonation.org/fire-department/,RRU,22558.0435388179,9645348.20769504
639,RIVERSIDE,33065,PSP,PALM SPRINGS FD,300 N EL CIELO RD,PALM SPRINGS,92262,J. KEVIN NALDER,(760) 323‐8181,,2022/02/09 00:00:00+00,https://www.palmspringsca.gov/government/departments/fire-department,RRU,146291.599644726,244697890.120522
640,RIVERSIDE,33067,PFD,PECHANGA FD,48240 PECHANGA RD,TEMECULA,92592,JASON KEELING,(951) 770‐6001,Riverside County Fire Department Dispatch Contract,2022/02/09 00:00:00+00,https://www.pechanga-nsn.gov/index.php/tribal-government/services/pechanga-fire-department,RRU,26342.2050988911,18224151.6415774
641,RIVERSIDE,33075,RIV,CITY OF RIVERSIDE FD,3401 UNIVERSITY AVE,RIVERSIDE,92501,MICHAEL MOORE,(951) 826‐5321,,2022/02/09 00:00:00+00,https://www.riversideca.gov/fire/,RRU,104772.009942527,211180263.512161
642,RIVERSIDE,33017,CYN,CANYON LAKE FD,31516 RAILROAD CANYON ROAD,CANYON LAKE,92587,JEFF LATENDRESSE,(909) 261‐4010,Riverside County Fire Department Dispatch Contract,2022/02/09 00:00:00+00,https://www.canyonlakeca.gov,RRU,19515.1834339899,11972396.567456
643,RIVERSIDE,33088,SBA,SOBOBA FD,23121 SOBOBA RD,SAN JACINTO,92583,GLENN PATTERSON,(951) 654‐1092,Riverside County Fire Department Dispatch Contract,2022/02/09 00:00:00+00,https://www.soboba-nsn.gov,RRU,41584.0452468337,31409567.0715799
644,RIVERSIDE,33090,RVC,RIVERSIDE CO FD,210 W SAN JACINTO AVE,PERRIS,92570,BILL WEISER,(909) 940‐6900,Riverside County Fire Department Including All of It's Contract Fire Departments,2022/02/09 00:00:00+00,https://www.rvcfire.org/,RRU,1504584.44698597,17913137434.0445
645,RIVERSIDE,33830,MAB,MARCH AIR RESERVE BASE FD,,,,,,Military Base,2022/02/09 00:00:00+00,,RRU,17084.6216975575,8278773.66804998
646,TEHAMA,52005,CNG,CORNING VFD,814 5TH ST,CORNING,96021,TOM TOMLINSON,(916) 824‐7044,,2022/02/09 00:00:00+00,https://www.corning.org/departments/fire-department/,TGU,25875.0355198354,8589644.61041478
647,SANTA BARBARA,42010,GUA,GUADALUPE FD,918 OBISPO ST,GUADALUPE,93434,MICHAEL CASH,(805) 356‐3905,,2022/02/10 00:00:00+00,https://ci.guadalupe.ca.us/fire/,SBC,14598.4705833546,3446182.7686016
648,SHASTA,45020,BUF,BURNEY FPD,37072 MAIN ST,BURNEY,96013,MONTE B. KEADY,(530) 335‐2212,,2020/10/08 00:00:00+00,https://www.burneyfire.org/,SHU,52597.6485468097,71585799.3584893
649,SHASTA,45095,SHC,SHASTA COLLEGE FD,11555 OLD OREGON TRAIL,REDDING,96049,SEAN O'HARA,(530) 225‐4624,,2020/10/08 00:00:00+00,,SHU,4749.03700095033,1371193.15877804
650,SHASTA,45080,WMG,MOUNTAIN GATE VFD,14508 WONDERLAND BLVD,REDDING,96003,MIKE RICKETTS,(530) 275‐3003,,2020/10/08 00:00:00+00,https://www.mountaingatecsd.com/fire-department-530-275-3003,SHU,32202.1793041754,15935779.1660554
651,SHASTA,45030,SLF,SHASTA LAKE FPD,4126 ASHBY CT,SHASTA LAKE,96019,DENNIS J. BECK,(530) 275‐7474,,2020/10/08 00:00:00+00,https://www.shastalakefpd.us/,SHU,32519.737023574,30982163.0408503
652,SHASTA,45055,RDN,REDDING FD,PO BOX 496071,REDDING,96049,JERROD VANLANDINGHAM,(530) 225‐4141,,2020/10/08 00:00:00+00,https://www.cityofredding.org/departments/fire-department,SHU,143390.77976216,156333380.685767
653,SHASTA,45085,SHA,SHASTA FPD,10644 HIGH ST,SHASTA,96087,ERIC OHDE,(530) 241‐4615,,2020/10/08 00:00:00+00,,SHU,31316.045771543,24177188.7630145
654,SHASTA,,,BUCKEYE FPD,,,,,,,2020/10/08 00:00:00+00,,SHU,20474.6207076656,7219950.6773361
655,SHASTA,45015,HVF,HAPPY VALLEY FPD,17441 PALM AVE,ANDERSON,96007,JOE VASQUEZ,(530) 357‐2345,,2020/10/08 00:00:00+00,,SHU,56224.1476037129,81277619.082033
656,SHASTA,45935,MVL,MILLVILLE FPD,PO BOX 32,MILLVILLE,96062,THOMAS GRAHAM,(530) 547‐5521,,2020/10/08 00:00:00+00,https://www.millvillefire.org/,SHU,84221.5880832906,245213514.860112
659,SHASTA,45025,CPD,CASTELLA FD,PO BOX 130,CASTELLA,96017,DAN PADILLA,(530) 235‐4581,,2020/10/08 00:00:00+00,,SHU,120794.08633841,479230482.776559
660,SHASTA,45035,COT,COTTONWOOD FPD,P.O. BOX 618,COTTONWOOD,96022,BILL MORGAN,(530) 347‐4737,,2020/10/08 00:00:00+00,https://cottonwoodfd.com/,SHU,64556.2757527521,98145437.7289634
661,SHASTA,45010,AFD,ANDERSON FPD,1925 HOWARD ST,ANDERSON,96007,STEVE LOWE,(530) 378‐6699,,2020/10/08 00:00:00+00,https://andersonfire.org/,SHU,32352.5812993099,21003551.3638294
