802.street,20700 ST RTE 4j11,20700 ST RTE 411
983.facilityname,TOWuN HIGHWAY GARAGE,TOWN HIGHWAY GARAGE
471.city,PHILONT,PHILMONT
1840.groundorsurface,Surfaec,Surface
228.country,UA,USA
877.city,oENDICOTT,ENDICOTT
338.street,2400 BlUFFALO AVE,2400 BUFFALO AVE
1233.planttype,Munincipal,Municipal
185.country,SA,USA
1301.facilityname,MONSEY TRAILSBUS COMPANY,MONSEY TRAILS BUS COMPANY
1845.planttype,Industriazl,Industrial
581.street,310 MAIN SnT,310 MAIN ST
824.facilityname,nGENEVA-C MARSH CREEK STP,GENEVA-C MARSH CREEK STP
1512.facilityname,DUNKIRK STAEM GENERATING STATION,DUNKIRK STEAM GENERATING STATION
631.locationone,"(40.95, -73.0)","(40.95, -73.08)"
1711.spdespermitnumber,NY0b252093,NY0252093
1168.facilityname,BERKSHIRE MAINTENANC EFACILITY,BERKSHIRE MAINTENANCE FACILITY
1787.country,SA,USA
596.street,257 RANGER SCHOOL ROfAD,257 RANGER SCHOOL ROAD
1103.planttype,Industial,Industrial
1891.statevalue,Y,NY
1037.locationone,"(43.31, -7.364)","(43.31, -73.64)"
800.city,FORT PLANI,FORT PLAIN
541.statevalue,Y,NY
1895.planttype,Industiral,Industrial
1385.country,UAS,USA
368.city,FLILMORE,FILLMORE
231.statevalue,YN,NY
35.street,98 DINMORE RD & STR TE 144,98 DINMORE RD & ST RTE 144
1389.groundorsurface,Surafce,Surface
313.street,NICOLLSRD - W SIDE,NICOLLS RD - W SIDE
1377.spdespermitnumber,NY0032132,NY0031232
112.spdespermitnumber,gNY0260053,NY0260053
1391.groundorsurface,Surfaace,Surface
1059.street,280h MAPLE AVE,280 MAPLE AVE
1644.facilityname,RYAmN'S GRAVEL BANK,RYAN'S GRAVEL BANK
1142.locationone,"(41.71, f-73.9)","(41.71, -73.9)"
2002.facilityname,U S mSALT - WATKINS GLEN REFINERY,U S SALT - WATKINS GLEN REFINERY
560.city,BIOCEVILLE,BOICEVILLE
948.locationone,"(4.96, -74.12)","(43.96, -74.12)"
567.street,yST RTE 150,ST RTE 150
863.planttype,Indusrtial,Industrial
281.planttype,Inudstrial,Industrial
1592.spdespermitnumber,Y0268631,NY0268631
1784.street,DUTCHw VALLEY RD,DUTCH VALLEY RD
1677.street,5021 ST TRE 86,5021 ST RTE 86
1621.country,UAS,USA
1768.statevalue,Y,NY
368.groundorsurface,Surfcae,Surface
320.groundorsurface,Sufrace,Surface
887.statevalue,Y,NY
121.planttype,Industial,Industrial
1209.locationone,"(41.68, -7g3.85)","(41.68, -73.85)"
1237.country,SUA,USA
418.country,UAS,USA
1087.country,kUSA,USA
229.facilityname,AUGERTIES MALDEN-ON-HUDSON S D STP,SAUGERTIES MALDEN-ON-HUDSON S D STP
1505.statevalue,YN,NY
183.country,SA,USA
262.facilityname,yPECONIC LAUNDRY,PECONIC LAUNDRY
1072.country,jUSA,USA
97.groundorsurface,Sruface,Surface
1725.groundorsurface,Surace,Surface
806.locationone,"43.31, -73.62)","(43.31, -73.62)"
614.locationone,"(44.68, -75.t0)","(44.68, -75.0)"
1319.groundorsurface,Surfcae,Surface
761.locationone,"(42.88, -8.76)","(42.88, -78.76)"
227.statevalue,mNY,NY
1353.planttype,Industrila,Industrial
1752.city,ROUSE POINT,ROUSES POINT
1956.facilityname,NYSDOT SUB-RESIDECY - SCHENEVUS,NYSDOT SUB-RESIDENCY - SCHENEVUS
100.planttype,Industyrial,Industrial
1672.groundorsurface,Surace,Surface
2040.planttype,Indutsrial,Industrial
524.city,SARATOGA PRINGS,SARATOGA SPRINGS
1507.groundorsurface,round,Ground
1863.statevalue,Y,NY
1462.street,222a RIVER RD,222 RIVER RD
1526.street,KENWOOwD AVE,KENWOOD AVE
322.city,ORCwHARD PARK,ORCHARD PARK
1592.facilityname,Adriondack Beverage,Adirondack Beverage
2041.statevalue,YN,NY
69.spdespermitnumber,NY019924,NY0199214
281.groundorsurface,Surfae,Surface
892.street,424 CAYUTA AVE (ST RE 34),424 CAYUTA AVE (ST RTE 34)
2057.city,NESuCONSET,NESCONSET
600.locationone,"(42.91, -74.5v7)","(42.91, -74.57)"
1520.city,UBFFALO,BUFFALO
1553.spdespermitnumber,Y0022217,NY0022217
1722.locationone,"(41.36, -7468)","(41.36, -74.68)"
1661.spdespermitnumber,NY0164933***,NY0164933
1998.locationone,"(40.62, z-73.65)","(40.62, -73.65)"
1209.planttype,Industril,Industrial
1436.statevalue,YN,NY
1906.facilityname,HOMETWNE ENERGY CO,HOMETOWNE ENERGY CO
1233.groundorsurface,Surafce,Surface
98.planttype,Industrila,Industrial
1918.country,SUA,USA
305.facilityname,CLIFTON PARK TRANSFER STAION & YARD WASTE COMPOSTING FACILITY,CLIFTON PARK TRANSFER STATION & YARD WASTE COMPOSTING FACILITY
2060.locationone,"(42.17, -57.14)","(42.17, -75.14)"
714.facilityname,VESTAL ETRMINAL,VESTAL TERMINAL
1660.groundorsurface,Surfaec,Surface
258.planttype,ndustrial,Industrial
1062.locationone,"(40.81w, -73.93)","(40.81, -73.93)"
1736.locationone,"(41.t3, -74.19)","(41.3, -74.19)"
1101.street,5 ST ANDREWS D @ US RTE 9,5 ST ANDREWS RD @ US RTE 9
1835.spdespermitnumber,NY002831,NY0028231
15.city,WARWCIK,WARWICK
1172.groundorsurface,Groudn,Ground
185.statevalue,Y,NY
393.country,UA,USA
1274.country,UA,USA
2030.country,SA,USA
1063.street,2750 AMPLE AVE,2750 MAPLE AVE
1045.street,8752 DELAMAER RD,8752 DELAMATER RD
995.groundorsurface,uSrface,Surface
1855.facilityname,ESM Balmat Mines fand Mill,ESM Balmat Mines and Mill
428.planttype,Indkustrial,Industrial
501.groundorsurface,cGround,Ground
213.groundorsurface,Skurface,Surface
122.groundorsurface,urface,Surface
1448.planttype,Indutsrial,Industrial
1257.facilityname,FORESTPORT SEWoAGE TREATMENT PLANT,FORESTPORT SEWAGE TREATMENT PLANT
1338.statevalue,Y,NY
600.planttype,Mnuicipal,Municipal
1537.groundorsurface,Syurface,Surface
1370.country,UAS,USA
1194.locationone,"(42.94o, -75.46)","(42.94, -75.46)"
1246.spdespermitnumber,wNY0036528,NY0036528
882.facilityname,CG ROXANE JOHNSTOWN WAER BOTTLING PLANT,CG ROXANE JOHNSTOWN WATER BOTTLING PLANT
1898.locationone,"(04.79, -73.9)","(40.79, -73.9)"
1600.street,1000 HDSON ST EXT,1000 HUDSON ST EXT
1268.locationone,"(44.8, -75m.0)","(44.8, -75.0)"
1648.statevalue,rNY,NY
118.statevalue,NgY,NY
1579.street,2086 SNELL DR,2086 SNELL RD
1799.statevalue,YN,NY
1155.statevalue,aNY,NY
245.groundorsurface,urface,Surface
1235.locationone,"(43.0, -75.27)","(43.03, -75.27)"
12.planttype,Indutsrial,Industrial
152.spdespermitnumber,Y0024538,NY0024538
1708.spdespermitnumber,NY0200859***,NY0200859
1997.city,Alexandser,Alexander
86.statevalue,Y,NY
498.city,DNASVILLE,DANSVILLE
223.street,7735 RTE 9yN (WESTPORT-ELIZABETHTOWN RD,7735 RTE 9N (WESTPORT-ELIZABETHTOWN RD
715.facilityname,NISKAYUNA - jT SD 6 WWTP,NISKAYUNA - T SD 6 WWTP
925.street,24475 ArcaSt,24475 Arca St
1195.street,600 ST RTE211 E,600 ST RTE 211 E
997.groundorsurface,Suface,Surface
1553.facilityname,PARK GUILDERLAND - NORTHEAST INDUSTRIA PARK,PARK GUILDERLAND - NORTHEAST INDUSTRIAL PARK
1913.locationone,"40.65, -73.51)","(40.65, -73.51)"
510.statevalue,Y,NY
335.locationone,"(42.63, -76.15i)","(42.63, -76.15)"
2009.spdespermitnumber,NY0006432***,NY0006432
402.statevalue,NtY,NY
1984.groundorsurface,Groudn,Ground
1828.spdespermitnumber,NY020480,NY0204480
382.street,KCEKS CENTER RD,KECKS CENTER RD
1292.street,71 W END AVE,701 W END AVE
1332.street,1253 W DANBiY RD,1253 W DANBY RD
292.planttype,ndustrial,Industrial
1787.street,174 S 19dTH ST,174 S 19TH ST
1458.spdespermitnumber,NY025698,NY0256498
56.planttype,Indpustrial,Industrial
1708.country,UAS,USA
1754.spdespermitnumber,NY01063d72,NY0106372
155.locationone,"(43.13x, -78.94)","(43.13, -78.94)"
1795.country,UAS,USA
380.statevalue,NgY,NY
539.locationone,"(41.95, -73.5m1)","(41.95, -73.51)"
79.locationone,"(40.8, -73.11g)","(40.8, -73.11)"
1510.country,UAS,USA
209.statevalue,Y,NY
1134.statevalue,YN,NY
529.country,UAS,USA
931.street,BIDWELLS CRK - N OF ST RTE 63 & E OF RR GRADE|wGENESEE R - N OF BEARDS CREEK,BIDWELLS CRK - N OF ST RTE 63 & E OF RR GRADE|GENESEE R - N OF BEARDS CREEK
257.statevalue,NjY,NY
1323.city,SARATOGA SPRNIGS,SARATOGA SPRINGS
1117.locationone,"(4a1.1, -73.73)","(41.1, -73.73)"
757.facilityname,VILLAGE OF SPEUCLATOR WWTP,VILLAGE OF SPECULATOR WWTP
7.country,UA,USA
1705.street,24 SUNRIS DR,24 SUNRISE DR
739.spdespermitnumber,NY0203700***,NY0203700
1256.spdespermitnumber,NY0025704***,NY0025704
976.city,BkUCHANAN,BUCHANAN
1520.groundorsurface,uSrface,Surface
60.locationone,"(40.92, -72.75w)","(40.92, -72.75)"
592.spdespermitnumber,NY027l5310,NY0275310
44.statevalue,Y,NY
1768.planttype,Industfrial,Industrial
1692.statevalue,YN,NY
882.locationone,"(43.04, -74.4)8","(43.04, -74.48)"
477.facilityname,CAYUGA BREEDER FARM LL HATCHERY,CAYUGA BREEDER FARM LLC HATCHERY
2092.facilityname,CLINTON CO - ELLENBURyG GARAGE,CLINTON CO - ELLENBURG GARAGE
783.groundorsurface,Surfaec,Surface
1074.planttype,Indutrial,Industrial
269.street,LAKESHORE &s LAKESIDE DRS,LAKESHORE & LAKESIDE DRS
306.planttype,Municipagl,Municipal
1541.spdespermitnumber,Y0109398,NY0109398
985.spdespermitnumber,NY0628518,NY0268518
756.country,UAS,USA
1339.planttype,Indsutrial,Industrial
1635.statevalue,YN,NY
273.facilityname,OeGDENSBURG -C WWT PLANT,OGDENSBURG -C WWT PLANT
898.spdespermitnumber,NY003b7117,NY0037117
1084.planttype,Indstrial,Industrial
1542.country,SA,USA
1181.planttype,Municiopal,Municipal
83.street,803 MOzUNTAIN VIEW DR,803 MOUNTAIN VIEW DR
1306.planttype,Inudstrial,Industrial
692.locationone,"(420.1, -74.06)","(42.01, -74.06)"
1428.locationone,"(44.2, -75h.61)","(44.2, -75.61)"
1543.street,LENWOOD & CLOVE RDS,GLENWOOD & CLOVE RDS
750.spdespermitnumber,NY0140698,NY0104698
1469.locationone,"(4m3.23, -78.98)","(43.23, -78.98)"
907.facilityname,WINDSOR ESTATaES WWTP,WINDSOR ESTATES WWTP
243.street,MAPLE oAVE,MAPLE AVE
1893.locationone,"(4l2.98, -78.89)","(42.98, -78.89)"
977.planttype,Industrsial,Industrial
52.facilityname,CENTRA SQUARE - V STP,CENTRAL SQUARE - V STP
1659.planttype,Municpal,Municipal
1931.city,AMSTERDM,AMSTERDAM
270.statevalue,YN,NY
1724.country,SA,USA
1924.spdespermitnumber,NY0527869,NY0257869
576.locationone,"(40n.73, -73.96)","(40.73, -73.96)"
1383.planttype,Indstrial,Industrial
84.locationone,"(40i.96, -72.26)","(40.96, -72.26)"
915.statevalue,tNY,NY
814.street,914THr AIRLIFT WING|2405 FRANKLIN DR BLDG 403,914TH AIRLIFT WING|2405 FRANKLIN DR BLDG 403
1960.statevalue,YN,NY
5.spdespermitnumber,NY026957n3,NY0269573
199.city,RENSESLAER,RENSSELAER
94.planttype,Indusrtial,Industrial
493.spdespermitnumber,Y0279854,NY0279854
1892.spdespermitnumber,NY026204,NY0026204
180.facilityname,TOWN OF CHENANGO SEWER DISTRIC # 10,TOWN OF CHENANGO SEWER DISTRICT # 10
761.groundorsurface,uSrface,Surface
1549.street,3008 CHtRISLER AVE,3008 CHRISLER AVE
1375.spdespermitnumber,NY021g2199,NY0212199
951.facilityname,L DIVER 1A BRNE DISPOSAL WELL,L DIVER 1A BRINE DISPOSAL WELL
874.facilityname,BUCHANAN ELECTRICAL SUBSATTION,BUCHANAN ELECTRICAL SUBSTATION
518.facilityname,JSPER-T WWTP,JASPER-T WWTP
1683.city,OMMACK,COMMACK
540.street,SR 20y6,SR 206
1846.spdespermitnumber,NY026f0894,NY0260894
43.city,dSUFFOLK,SUFFOLK
1942.country,SA,USA
1046.planttype,Induostrial,Industrial
935.statevalue,Y,NY
1885.city,WESTV ALLEY,WEST VALLEY
976.planttype,ndustrial,Industrial
891.planttype,Indusrtial,Industrial
273.city,OGDENySBURG,OGDENSBURG
1869.facilityname,R G & E RSSELL STATION,R G & E RUSSELL STATION
1051.country,UAS,USA
559.country,UA,USA
1427.locationone,"(4.093, -73.05)","(40.93, -73.05)"
581.city,HOLBOROK,HOLBROOK
782.country,gUSA,USA
1629.facilityname,NYSDOT MAPLEVEW SUBHEADQUARTERS,NYSDOT MAPLEVIEW SUBHEADQUARTERS
1308.facilityname,PIEDMONT HAWTHORNE AVIATION FUEL STORAGE FAILITY,PIEDMONT HAWTHORNE AVIATION FUEL STORAGE FACILITY
1747.street,4521 CO RTk 4,4521 CO RT 4
1405.groundorsurface,Surfaec,Surface
110.city,WAPPINGER SFALLS,WAPPINGERS FALLS
1619.locationone,"(43.09, -790.1)","(43.09, -79.01)"
1968.facilityname,SENECA FALLS WASTWEATER TREATMENT,SENECA FALLS WASTEWATER TREATMENT
816.planttype,Municidpal,Municipal
1688.city,CORING,CORNING
434.spdespermitnumber,NkY0002909,NY0002909
1196.spdespermitnumber,Y0023442,NY0023442
877.planttype,Industral,Industrial
797.spdespermitnumber,NY0021106,NY0021016
1626.city,TOMKINSC OVE,TOMKINS COVE
1589.planttype,Idnustrial,Industrial
562.city,AG HARBOR,SAG HARBOR
667.spdespermitnumber,NY009368,NY0099368
1909.spdespermitnumber,Y0236179,NY0236179
1598.locationone,"(42.09, -7.843)","(42.09, -78.43)"
1929.groundorsurface,Surfce,Surface
1251.spdespermitnumber,NY016f1683,NY0161683
28.street,9 4MILLER RD,94 MILLER RD
1743.planttype,Municipsal,Municipal
250.planttype,Muicipal,Municipal
437.planttype,Ipndustrial,Industrial
2073.statevalue,Y,NY
1808.country,hUSA,USA
566.spdespermitnumber,NY026553,NY0265853
17.groundorsurface,uSrface,Surface
1903.statevalue,NdY,NY
1969.statevalue,Y,NY
1506.planttype,Injdustrial,Industrial
1056.street,491SOUTH ST|CO RTE 12 & ST RTE 23,491 SOUTH ST|CO RTE 12 & ST RTE 23
1034.locationone,"4(3.09, -76.12)","(43.09, -76.12)"
295.spdespermitnumber,NY000h4596,NY0004596
135.locationone,"(2.95, -78.65)","(42.95, -78.65)"
1489.city,vAVON,AVON
1794.facilityname,HUSON VALLEY FOIS GRAS,HUDSON VALLEY FOIS GRAS
651.locationone,"(42.1, -75.9e6)","(42.1, -75.96)"
1545.groundorsurface,Sgurface,Surface
605.city,CENTER ORICHES,CENTER MORICHES
790.spdespermitnumber,NY026032,NY0260312
188.country,UAS,USA
1290.country,SA,USA
1738.statevalue,YN,NY
1171.locationone,"(41.59, -73.7v8)","(41.59, -73.78)"
429.planttype,Idnustrial,Industrial
560.groundorsurface,urface,Surface
1521.statevalue,NzY,NY
795.planttype,Municipacl,Municipal
1032.planttype,Industial,Industrial
1818.statevalue,NvY,NY
1866.country,UAS,USA
655.city,pARCADE,ARCADE
1949.facilityname,TURNBtULL MFG CO INC,TURNBULL MFG CO INC
995.statevalue,YN,NY
930.facilityname,LIBERTY BUL PLANT,LIBERTY BULK PLANT
545.street,031 ADAMS ST,301 ADAMS ST
1774.country,UAS,USA
992.country,SUA,USA
803.statevalue,Y,NY
1349.city,OSoWEGO,OSWEGO
642.planttype,ndustrial,Industrial
925.spdespermitnumber,NY2036306,NY0236306
385.spdespermitnumber,NY0009516,NY0005916
1008.groundorsurface,Groundd,Ground
169.groundorsurface,Surfcae,Surface
1362.statevalue,Y,NY
184.groundorsurface,Surace,Surface
628.planttype,Idnustrial,Industrial
1930.locationone,"(42.35, -79.3)","(42.35, -79.33)"
580.city,CHESTERTOWmN,CHESTERTOWN
1606.statevalue,pNY,NY
1185.country,lUSA,USA
754.locationone,"(41.46, 7-4.04)","(41.46, -74.04)"
1580.facilityname,RSM ELECRTON POWER INC.,RSM ELECTRON POWER INC.
1442.facilityname,PECONcIC BAY WINERY,PECONIC BAY WINERY
1841.planttype,Idnustrial,Industrial
1183.statevalue,NgY,NY
641.country,UA,USA
916.spdespermitnumber,NY0l021857,NY0021857
810.spdespermitnumber,NY0216j135,NY0216135
1362.street,1g12 RIVER RD,112 RIVER RD
1177.statevalue,YN,NY
1252.spdespermitnumber,NY02a37361,NY0237361
25.statevalue,Y,NY
708.facilityname,DRESSER-RAND COMPANY - PAINTED POST OPERTAION,DRESSER-RAND COMPANY - PAINTED POST OPERATION
1734.groundorsurface,Surfaec,Surface
455.street,317  ORDEN RD,317  BORDEN RD
1763.street,247 WEST VE,247 WEST AVE
884.groundorsurface,Surfaace,Surface
335.city,CORTALND,CORTLAND
639.statevalue,Y,NY
63.statevalue,YN,NY
499.statevalue,Y,NY
1761.statevalue,NyY,NY
301.facilityname,Dannemora Highway acility,Dannemora Highway Facility
854.planttype,ndustrial,Industrial
1509.city,CLARENqCE,CLARENCE
272.city,GeRANVILLE,GRANVILLE
406.spdespermitnumber,NY027994,NY0279994
907.city,MIDDLETONW,MIDDLETOWN
1673.city,Schodakc,Schodack
873.statevalue,NlY,NY
357.facilityname,IBM CORP -S TERLING FOREST,IBM CORP - STERLING FOREST
1439.street,4393 IVER ST,4393 RIVER ST
171.city,AUSTERLIZT,AUSTERLITZ
410.planttype,Indutrial,Industrial
1629.spdespermitnumber,NY0254038,NY0245038
1636.spdespermitnumber,NY028062,NY0280062
1995.spdespermitnumber,NY00r01643,NY0001643
867.locationone,"(42.19, -78.j75)","(42.19, -78.75)"
558.city,RSH,RUSH
1155.locationone,"(42.y43, -76.5)","(42.43, -76.5)"
2033.facilityname,PINELAWNP OWER,PINELAWN POWER
1979.country,SUA,USA
370.city,HANCOKC,HANCOCK
900.statevalue,Y,NY
714.country,USrA,USA
1636.planttype,Inustrial,Industrial
642.spdespermitnumber,NY0109q746,NY0109746
1923.facilityname,QUEENSBORO uWATER TREATMENT PLANT,QUEENSBORO WATER TREATMENT PLANT
1207.locationone,"40.76, -73.05)","(40.76, -73.05)"
142.groundorsurface,Suurface,Surface
1185.city,ATTIA,ATTICA
518.planttype,Municiapl,Municipal
276.planttype,Industrilal,Industrial
316.facilityname,CONSTBALEVILLE STP,CONSTABLEVILLE STP
568.street,1319 E MIN ST,1319 E MAIN ST
148.groundorsurface,Surace,Surface
1520.locationone,"(w42.9, -78.9)","(42.9, -78.9)"
1285.locationone,"(4z1.69, -74.18)","(41.69, -74.18)"
1824.groundorsurface,Surfae,Surface
994.facilityname,FRANK E VAN LARE WASmTEWATER TREATMENT,FRANK E VAN LARE WASTEWATER TREATMENT
1215.country,UcSA,USA
815.groundorsurface,Gorund,Ground
567.groundorsurface,Surbface,Surface
467.locationone,"(4452, -75.66)","(44.52, -75.66)"
1341.statevalue,Y,NY
457.city,BqARKER,BARKER
33.groundorsurface,Surftace,Surface
272.street,85 CHURCH TS,85 CHURCH ST
1645.planttype,dMunicipal,Municipal
1675.facilityname,SHELBY CRUSHED STONE ICN,SHELBY CRUSHED STONE INC
1421.country,UqSA,USA
1718.planttype,unicipal,Municipal
1045.locationone,"(4265, -79.02)","(42.65, -79.02)"
1656.groundorsurface,hSurface,Surface
617.planttype,Industrila,Industrial
1959.groundorsurface,Gorund,Ground
693.groundorsurface,Surfafce,Surface
709.locationone,"(43.11, -7.19)","(43.11, -76.19)"
403.street,E MARKET ST IN DENISOaN PARK,E MARKET ST IN DENISON PARK
150.city,WARWCK,WARWICK
1876.planttype,Industril,Industrial
1284.street,6896 RTE 209,6869 RTE 209
1713.statevalue,YN,NY
174.facilityname,Suffolk Cunty Water Authority,Suffolk County Water Authority
113.facilityname,LITTLE FALLS WASTEWATER TREjATMENT PLANT,LITTLE FALLS WASTEWATER TREATMENT PLANT
1776.country,UAS,USA
485.locationone,"(42.9, -75.56)","(42.69, -75.56)"
1736.statevalue,rNY,NY
1911.country,SA,USA
1601.city,HOBATR,HOBART
1842.street,HINMAN RD - SE SIDE - W OF BEAR RIDGE RlD,HINMAN RD - SE SIDE - W OF BEAR RIDGE RD
1846.city,COXSACgKIE,COXSACKIE
1976.spdespermitnumber,N0276936,NY0276936
1223.locationone,(41.7 -74.61),"(41.7, -74.61)"
574.country,UAS,USA
799.spdespermitnumber,NY008600,NY0086070
575.country,SA,USA
1004.country,USyA,USA
1228.locationone,"(44.23, -75.5)5","(44.23, -75.55)"
1741.locationone,"(42.79, -7s3.68)","(42.79, -73.68)"
1763.locationone,"(433.3, -78.4)","(43.33, -78.4)"
1494.spdespermitnumber,NY026732f5,NY0267325
1614.spdespermitnumber,aNY0031003,NY0031003
1895.facilityname,EARL RIVER CAMPUS LLC,PEARL RIVER CAMPUS LLC
130.groundorsurface,Surfaec,Surface
256.country,SA,USA
1556.spdespermitnumber,NY0026573***,NY0026573
937.facilityname,MCCAULEY MuT SKI AREA,MCCAULEY MT SKI AREA
1138.city,LIBEdRTY,LIBERTY
1701.groundorsurface,Groud,Ground
1371.groundorsurface,round,Ground
1858.spdespermitnumber,NYj0023981,NY0023981
944.planttype,Idustrial,Industrial
1313.planttype,Industial,Industrial
431.groundorsurface,Sufrace,Surface
382.planttype,Isndustrial,Industrial
1624.city,COXSAKCIE,COXSACKIE
1029.planttype,Indsutrial,Industrial
1685.spdespermitnumber,yNY0008605,NY0008605
787.statevalue,YN,NY
1030.planttype,Muncipal,Municipal
1896.country,SUA,USA
873.locationone,"(40.5, -73.81)","(40.59, -73.81)"
318.groundorsurface,Groud,Ground
199.locationone,"(4.62, -73.75)","(42.62, -73.75)"
1950.country,SA,USA
401.planttype,Industiral,Industrial
1027.street,518 E 4HT ST,518 E 4TH ST
1255.locationone,"(42.8, -77.71)","(42.84, -77.71)"
1297.country,UA,USA
135.spdespermitnumber,Y0033065,NY0033065
1547.city,Westhampton Betach,Westhampton Beach
863.street,3301 OLD VESTL RD,3301 OLD VESTAL RD
39.locationone,"(42.47, -73.9)","(42.47, -73.79)"
1418.groundorsurface,uSrface,Surface
742.country,UAS,USA
76.locationone,"(44.38, -75.74)","(44.38, -75.47)"
1052.street,ST RTES 43 & 66@  TEAL RD,ST RTES 43 & 66 @ TEAL RD
1780.street,948 KINGSLAND AVE,498 KINGSLAND AVE
1008.statevalue,YN,NY
2083.spdespermitnumber,NY009q8566,NY0098566
1228.spdespermitnumber,N0Y270288,NY0270288
578.street,346 LIBERTY DR,7346 LIBERTY DR
962.facilityname,SULLIVAN CzOUNTY LANDFILL,SULLIVAN COUNTY LANDFILL
1900.country,SUA,USA
568.locationone,"(2.07, -76.15)","(42.07, -76.15)"
1638.statevalue,NqY,NY
1201.locationone,"(4m0.81, -73.05)","(40.81, -73.05)"
318.country,UA,USA
1548.planttype,Municipla,Municipal
953.city,MEXCO,MEXICO
480.locationone,"(43.23,-78.39)","(43.23, -78.39)"
240.locationone,"(40.81, -7i3.19)","(40.81, -73.19)"
738.street,45 OLD LGENHAM RD,45 OLD GLENHAM RD
1684.planttype,Idnustrial,Industrial
597.facilityname,NY SDOT CASTLE CREEK SUB-RESIDENCY,NYS DOT CASTLE CREEK SUB-RESIDENCY
1946.street,UFFALO AVE AND 47TH ST,BUFFALO AVE AND 47TH ST
1159.locationone,"(44.43 ,-73.49)","(44.43, -73.49)"
1251.locationone,"(4337, -78.39)","(43.37, -78.39)"
1542.spdespermitnumber,NY00046m18,NY0004618
34.city,CHAUMOTN,CHAUMONT
1602.locationone,"(43.09,-77.6)","(43.09, -77.6)"
509.groundorsurface,Snurface,Surface
1685.facilityname,MOMENTIVE PERFORMNACE MATERIALS,MOMENTIVE PERFORMANCE MATERIALS
312.country,iUSA,USA
1688.planttype,Indutrial,Industrial
1087.planttype,Mudnicipal,Municipal
1577.country,SUA,USA
1014.street,459 WEST RIER RD,459 WEST RIVER RD
1823.city,PORT RANE,PORT CRANE
1834.groundorsurface,Bzoth,Both
371.planttype,Munciipal,Municipal
634.locationone,"(42.62, -77.)4","(42.62, -77.4)"
1115.groundorsurface,Srface,Surface
1719.locationone,"(41.06, -72.4)","(41.06, -72.44)"
1363.statevalue,YN,NY
21.city,BRETNWOOD,BRENTWOOD
1242.groundorsurface,rGound,Ground
883.facilityname,GRENWICH STP,GREENWICH STP
851.country,SA,USA
848.street,601 MIDLDE COUNTRY RD,601 MIDDLE COUNTRY RD
1093.facilityname,SNOW WHqITE LAUNDRY,SNOW WHITE LAUNDRY
195.spdespermitnumber,NYr0249700,NY0249700
1363.groundorsurface,Surafce,Surface
15.statevalue,YN,NY
2068.statevalue,xNY,NY
1459.spdespermitnumber,NY003061,NY0030261
2047.locationone,"(43.58, -73.4)","(43.58, -73.44)"
1129.statevalue,YN,NY
757.groundorsurface,Suyrface,Surface
1150.planttype,Idustrial,Industrial
90.street,3 MlAIN ST,3 MAIN ST
1060.city,CHATEUGAY,CHATEAUGAY
1005.facilityname,GRAET NECK WATER POLLUTION CONTROL DISTRICT STP,GREAT NECK WATER POLLUTION CONTROL DISTRICT STP
741.facilityname,NYC EDC - CONEY ISLAND INFRASTRUCTURE PROJECT HASE 3B,NYC EDC - CONEY ISLAND INFRASTRUCTURE PROJECT PHASE 3B
1055.locationone,"(40.78, -7.323)","(40.78, -73.23)"
510.facilityname,SPRAGUE OPERATNG RESOURCES LLC  - 939 E 138TH ST,SPRAGUE OPERATING RESOURCES LLC  - 939 E 138TH ST
1782.country,wUSA,USA
1703.planttype,unicipal,Municipal
1256.street,351 ONTARIO CTR RD,3451 ONTARIO CTR RD
1562.facilityname,COUNTRY MANOR SP,COUNTRY MANOR STP
492.facilityname,2TH WARD WASTEWATER RESOURCE RECOVERY FACILITY,26TH WARD WASTEWATER RESOURCE RECOVERY FACILITY
852.groundorsurface,Surfface,Surface
1326.planttype,Indeustrial,Industrial
809.planttype,Industrail,Industrial
162.spdespermitnumber,NY0e166090,NY0166090
471.spdespermitnumber,Y0030996,NY0030996
1557.country,SA,USA
1249.city,SFFERN,SUFFERN
725.city,GASPORpT,GASPORT
1545.locationone,"k(44.45, -75.69)","(44.45, -75.69)"
1114.statevalue,Y,NY
1713.country,USoA,USA
213.country,SA,USA
92.country,UjSA,USA
1473.statevalue,Y,NY
977.statevalue,Y,NY
21.street,1052 ISLIPA VE,1052 ISLIP AVE
1450.country,USpA,USA
249.spdespermitnumber,NY026705,NY0267805
1076.country,SA,USA
1491.street,132 SMONE DR,132 SIMONE DR
1109.spdespermitnumber,Y0108235,NY0108235
252.country,UnSA,USA
754.groundorsurface,Surafce,Surface
96.country,SUA,USA
475.groundorsurface,Snurface,Surface
1994.facilityname,NORTHEAST GREEN iCENTER LLC,NORTHEAST GREEN CENTER LLC
536.statevalue,YN,NY
1557.spdespermitnumber,Y0262552,NY0262552
1331.statevalue,NcY,NY
491.city,AVONA,SAVONA
1379.locationone,"(42.6, -b73.76)","(42.6, -73.76)"
316.street,St sRte 26,St Rte 26
164.facilityname,STONY POeINT STP,STONY POINT STP
35.locationone,"(42.54, -73.7)6","(42.54, -73.76)"
291.locationone,"(42.06, -7388)","(42.06, -73.88)"
1117.spdespermitnumber,wNY0268224,NY0268224
57.statevalue,NwY,NY
472.country,USdA,USA
1969.country,SA,USA
957.city,WEST SAND hLAKE,WEST SAND LAKE
1963.city,OMMACK,COMMACK
