252.addressone,210 11th hAve,210 11th Ave
95.namevalue,Robert Steele Galley,Robert Steele Gallery
390.tel,(212) 50-6999,(212) 570-6999
66.city,ew York,New York
166.city,Ne York,New York
585.url,http://www.nc.com/arts__attractions/hubert_gallery_north.674/editorial_review.aspx,http://www.nyc.com/arts__attractions/hubert_gallery_north.674/editorial_review.aspx
224.city,Nemw York,New York
27.thegeom,POINT (-73.99623914232185 40i.7440599458188),POINT (-73.99623914232185 40.7440599458188)
631.addressone,9E 82nd St,9 E 82nd St
325.city,New Yokr,New York
267.url,http://www.7mainstreet.com/business/unclaimed/webster-david-new-york-ny-1001/14671913,http://www.7mainstreet.com/business/unclaimed/webster-david-new-york-ny-10001/14671913
402.city,Ne wYork,New York
698.addressone,13 Monroe Strete,13 Monroe Street
111.tel,(g212) 399-6500,(212) 399-6500
193.url,htpt://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html,http://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html
760.addresstwo,Lbby***,Lbby
352.tel,(212) 870-0175,(212) 780-0175
573.addresstwo,wLbby,Lbby
180.namevalue,Stewart Waltze rCo,Stewart Waltzer Co
473.city,New oYrk,New York
7.namevalue,Pace Editoins,Pace Editions
773.thegeom,PxOINT (-74.00008646178615 40.72505115926186),POINT (-74.00008646178615 40.72505115926186)
625.url,httmp://www.julieartisans.com/,http://www.julieartisans.com/
108.tel,(718)2 38-6026,(718) 238-6026
198.addressone,5 E 82ndS t,5 E 82nd St
857.addresstwo,Lbbiy,Lbby
131.namevalue,Schickler Howard ine Art,Schickler Howard Fine Art
624.city,Brookyn,Brooklyn
228.thegeom,POINT (-73.96577187671886 40.758081125504276),POINT (-73.96571787671886 40.758081125504276)
132.thegeom,POINT (-73.95267537512437 40.7661392603565),POINT (-73.95267537512437 40.76613926035685)
615.thegeom,POINT (-74.00896057406709 40.72231297846333),POINT (-74.00896057406709 40.72321297846333)
14.city,lAstoria,Astoria
864.thegeom,POINT (-73.9111565063976640.886049537256284),POINT (-73.91115650639766 40.886049537256284)
896.tel,(212) 223-2828***,(212) 223-2828
143.city,New nYork,New York
29.city,Ne York,New York
583.city,Nwe York,New York
57.tel,2(12) 267-6790,(212) 267-6790
190.city,New Yojrk,New York
821.namevalue,Lunarabse Inc,Lunarbase Inc
36.addressone,1023 Baech 20th St,1023 Beach 20th St
791.tel,(212) 974q-8444,(212) 974-8444
478.namevalue,Carlney Ann M Atty,Carley Ann M Atty
730.addresstwo,tLbby,Lbby
441.thegeom,POINT (-73.96377490774012 40.770h42906088558),POINT (-73.96377490774012 40.77042906088558)
435.thegeom,POIT (-74.00854193445365 40.72216389522143),POINT (-74.00854193445365 40.72216389522143)
145.url,http://www.nyc.com/art__attractions/serbin_inna.1675/whats_nearby.aspx,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx
314.addresstwo,bby,Lbby
712.addresstwo,Lby,Lbby
817.addresstwo,Lbby***,Lbby
612.city,Ne York,New York
593.tel,(122) 966-9444,(212) 966-9444
256.thegeom,POINT (-73.99187771197417 40.73550086652194),POINT (-73.99187771197147 40.73550086652194)
569.addresstwo,Lbyb,Lbby
249.city,Nw York,New York
724.tel,(12) 343-0230,(212) 343-0230
181.city,New Yokr,New York
79.namevalue,Reeves oCntemporary Inc,Reeves Contemporary Inc
905.city,Nw York,New York
893.thegeom,POINT (-7.00418364531838 40.74964655751219),POINT (-74.00418364531838 40.74964655751219)
553.namevalue,Des & Co,Debs & Co
810.city,New Yoyrk,New York
680.tel,(21) 725-0999,(212) 725-0999
718.tel,(221) 593-3306,(212) 593-3306
138.addressone,26 W 29th St,526 W 29th St
558.addressone,223 E 60thq St,223 E 60th St
264.url,http://www.ardnasse.org/,http://www.wardnasse.org/
405.city,New Yonrk,New York
410.tel,(212) 57-9040,(212) 579-9040
150.namevalue,Shawpolsky Anita Gallery,Shapolsky Anita Gallery
48.tel,(646) 2300-056,(646) 230-0056
65.tel,(212) 274q-0237,(212) 274-0237
69.addresstwo,bby,Lbby
490.addresstwo,bby,Lbby
503.tel,(212) 358-0757,(212) 358-0577
467.addresstwo,Lby,Lbby
516.addressone,504 E 7t4h St,504 E 74th St
390.namevalue,Arte Primitivo-Howard S Ros Gallery,Arte Primitivo-Howard S Rose Gallery
446.addresstwo,bby,Lbby
184.addresstwo,Lbbgy,Lbby
358.url,http://www.antik-nc.net/,http://www.antik-nyc.net/
818.addressone,531 W 24th tS,531 W 24th St
613.url,thtp://www.jada-ny.org/contact.html,http://www.jada-ny.org/contact.html
320.city,NewYork,New York
372.url,http//www.artadvice-ny.com/,http://www.artadvice-ny.com/
795.thegeom,POINT (-73.9655111673798 40.76214537207265),POINT (-73.9655111637798 40.76214537207265)
119.addresstwo,Lbyb,Lbby
327.addressone,41 W l57th St,41 W 57th St
21.addresstwo,Lbyb,Lbby
790.addressone,20109 119th Ave,20019 119th Ave
698.addresstwo,Lbby***,Lbby
105.namevalue,Rotunnda Gallery,Rotunda Gallery
874.namevalue,imi Ferzt Inc,Mimi Ferzt Inc
678.thegeom,POINT (-73.9627130000342 40.77635842960548),POINT (-73.96271300500342 40.77635842960548)
524.addressone,667 Mdison Ave.,667 Madison Ave.
341.addressone,050 2nd Ave,1050 2nd Ave
723.url,http://wkww.essogallery.com/,http://www.essogallery.com/
782.addressone,305 E 6a1th St,305 E 61th St
175.city,New oYrk,New York
648.addressone,529  20th St,529 W 20th St
325.thegeom,POINT (-73.96206758319425 40.776967240487316),POINT (-73.96206753819425 40.776967240487316)
912.namevalue,sOditi Inc,Oditi Inc
870.thegeom,POINT (-73.96278905057954 0.776259691570026),POINT (-73.96278905057954 40.776259691570026)
134.namevalue,Schlesiynger Gallery,Schlesinger Gallery
832.url,http://wwmw.curtmarcusgallery.com/,http://www.curtmarcusgallery.com/
538.thegeom,POINT (-74.00318448262557 40.72232071981226s),POINT (-74.00318448262557 40.72232071981226)
93.namevalue,Robert aMnn Gallery,Robert Mann Gallery
779.addressone,20 W 43rd St,520 W 43rd St
808.addresstwo,bby,Lbby
286.thegeom,POIN T(-73.94753650623625 40.83514503903612),POINT (-73.94753650623625 40.83514503903612)
422.addressone,321 Atlantic Ave,312 Atlantic Ave
646.city,ew York,New York
629.thegeom,POINT( -73.95504392869945 40.76682971486002),POINT (-73.95504392869945 40.76682971486002)
635.namevalue,Kathryn Markel Fien Arts Inc,Kathryn Markel Fine Arts Inc
744.namevalue,Folin Riva Icn,Folin Riva Inc
794.tel,(212) 96-5777,(212) 966-5777
464.addresstwo,Lbyb,Lbby
793.thegeom,POINT (-73.96355104844147 40.7690669716293)5,POINT (-73.96355104844147 40.76906697162935)
35.url,http://twww.nyc.com/arts__attractions/phoneup.642/map_location.aspx,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx
23.addressone,22u0 W 19th St,220 W 19th St
603.thegeom,POINT (-73.99864411855633 40.729322271208345),POINT (-73.99864411855633 40.723922271208345)
315.addressone,363u Bleecker St,363 Bleecker St
569.city,Nwe York,New York
792.thegeom,POINT (-74.00b803261461144 40.72978028838602),POINT (-74.00803261461144 40.72978028838602)
870.namevalue,Michelle Rosenfeld Galelry,Michelle Rosenfeld Gallery
246.city,Astorai,Astoria
499.tel,2(12) 472-9800,(212) 472-9800
884.addresstwo,bby,Lbby
206.city,New oYrk,New York
640.addressone,591 Braodway,591 Broadway
558.url,http://guyregalltd.1stdibs.com/store/funiture_search.php?FRID=lWqTYm5qlZiY,http://guyregalltd.1stdibs.com/store/furniture_search.php?FRID=lWqTYm5qlZiY
221.addressone,19E 75th St,19 E 75th St
36.thegeom,POINT (-73.7533944679802 40.60296210069956),POINT (-73.75339446579802 40.60296210069956)
793.city,New Yokr,New York
223.url,http://www.throckmorton-nyc.cmo/,http://www.throckmorton-nyc.com/
505.addressone,560 BROADAY,560 BROADWAY
213.namevalue,he Old Print Shop Inc,The Old Print Shop Inc
145.addressone,342 E g77th St,342 E 77th St
713.thegeom,POINT (-73.97162702667644 40.765597511560m42),POINT (-73.97162702667644 40.76559751156042)
400.addressone,945y 5th Ave,945 5th Ave
906.namevalue,Nolan Eckman Galelry,Nolan Eckman Gallery
896.city,Nw York,New York
322.addresstwo,bby,Lbby
45.namevalue,Plaza Holding Icn,Plaza Holding Inc
31.addresstwo,Apt 2C,Apt 20C
170.namevalue,SperoneW estwater,Sperone Westwater
719.city,New Yrk,New York
910.addresstwo,Lby,Lbby
585.addressone,1046 Madson Ave,1046 Madison Ave
338.namevalue,Alexanre Gallery,Alexandre Gallery
643.addressone,214 E 2nd tS,214 E 2nd St
579.thegeom,POINT (-73.9670738408604 40768537070095064),POINT (-73.9670738408604 40.768537070095064)
250.url,http://www.merchantcircle.com/blogs/Veron.aArts.LTD.212-317-1010,http://www.merchantcircle.com/blogs/Verona.Arts.LTD.212-317-1010
754.tel,(212 )246-5360,(212) 246-5360
462.city,ew York,New York
84.addressone,133 E 58h St,133 E 58th St
443.tel,(212) 583-798,(212) 583-9798
5.thegeom,POINT (-74.00176389614576 40.b72290742771331),POINT (-74.00176389614576 40.72290742771331)
118.addresstwo,Lblby,Lbby
104.addresstwo,bLby,Lbby
357.addresstwo,dLbby,Lbby
693.city,eNw York,New York
408.thegeom,POINT (-73.97251926282007 40.76067960028377),POINT (-73.97259126282007 40.76067960028377)
859.addressone,141 Prince t,141 Prince St
573.thegeom,POINT (-739.6284773040335 40.761389379957556),POINT (-73.96284773040335 40.761389379957556)
660.url,http://www.nyc.com/arts__attractions/l_a_cotton.1802/editorial_review.apsx,http://www.nyc.com/arts__attractions/l_a_cotton.1802/editorial_review.aspx
816.addresstwo,1B1,11B
235.addressone,461 W 1d26th St,461 W 126th St
442.addresstwo,Lby,Lbby
225.url,http//www.yelp.com/biz/time-is-always-now-peter-beard-carnets-africans-new-york,http://www.yelp.com/biz/time-is-always-now-peter-beard-carnets-africans-new-york
737.url,http://m.nyc.com/rats__attractions/fine_art_acquisitions.204/map_location.aspx,http://m.nyc.com/arts__attractions/fine_art_acquisitions.204/map_location.aspx
419.city,Brookln,Brooklyn
393.addresstwo,Lby,Lbby
888.city,New Yokr,New York
220.thegeom,POINT (-74.00429401112444 40.7h49896437561546),POINT (-74.00429401112444 40.749896437561546)
284.namevalue,Wolf Daniel Icn,Wolf Daniel Inc
192.namevalue,Susan Sehehan Gallery,Susan Sheehan Gallery
260.url,http://www.shopinmanhattan.com/map.asp?mid=10584735&subCat=art+galleries,http://www.shopinmanhattan.com/map.asp?mid=10584753&subCat=art+galleries
7.tel,(212 645-9806,(212) 645-9806
724.namevalue,Exhibit pA,Exhibit A
672.city,eNw York,New York
188.url,http://www.nyc.com/arts__attractions/sun_yi_jun.821/efditorial_review.aspx,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx
213.url,http://www.oldprintshop.coqm/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53
47.addresstwo,Lbyb,Lbby
311.city,Ne York,New York
236.thegeom,POINT (-74.00704894372035 40.75257911943997)***,POINT (-74.00704894372035 40.75257911943997)
407.url,http://local.botw.org/New_York/New_York/Ash_Fine_Art/56447074.html***,http://local.botw.org/New_York/New_York/Ash_Fine_Art/56447074.html
436.namevalue,Belathi,Belanthi
425.url,http://www.back2africa.com/***,http://www.back2africa.com/
194.addressone,495 Boadway,495 Broadway
601.addresstwo,Lbby***,Lbby
807.thegeom,POINT (-73.9720341o556309 40.762339834613556),POINT (-73.9720341556309 40.762339834613556)
431.namevalue,Baron Bosiante Editions,Baron Boisante Editions
843.addresstwo,Lbbhy,Lbby
585.city,Nw York,New York
53.url,http://www.porticony.co/m,http://www.porticony.com/
342.url,http:/www.artincontext.org,http://www.artincontext.org
146.addresstwo,ST E3A,STE 3A
349.city,Nw York,New York
74.url,http://www.yelp.com/biz/raphael-fohdde-editions-brooklyn,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn
837.city,New ork,New York
555.addresstwo,wLbby,Lbby
700.namevalue,Dresdven Art Galries,Dresden Art Galries
700.thegeom,PINT (-73.99099244323159 40.74975505881183),POINT (-73.99099244323159 40.74975505881183)
96.addressone,36 W 22nd Syt,36 W 22nd St
405.addresstwo,Lbjby,Lbby
105.tel,(718) 8754047,(718) 875-4047
303.namevalue,14 Sculptors allery,14 Sculptors Gallery
155.tel,(212) 51-79700,(212) 517-9700
214.addressone,618 E 9th t,618 E 9th St
29.tel,(212) 644-71g71,(212) 644-7171
885.url,http://www.ny-companies.com/business-in-new-york/retail-stores-companies/160100-montsrrat-gallery-inc.html,http://www.ny-companies.com/business-in-new-york/retail-stores-companies/160100-montserrat-gallery-inc.html
157.addressone,1r59-15 Jamaica Ave,159-15 Jamaica Ave
76.city,New oYrk,New York
540.thegeom,POINT (-73.96k290104490528 40.77466684832077),POINT (-73.96290104490528 40.77466684832077)
658.namevalue,Kravets Wehby Galleyr,Kravets Wehby Gallery
798.url,http://www.goethe.de/Ins/gUs/ney/prj/wyo/enindex.htm,http://www.goethe.de/Ins/Us/ney/prj/wyo/enindex.htm
231.addresstwo,Lbyb,Lbby
677.namevalue,Levine Elizabeth & Assosc,Levine Elizabeth & Assocs
732.url,http://newsday.planetdiscover.com/sp?aff=1110&skin=200&siteId=227580***,http://newsday.planetdiscover.com/sp?aff=1110&skin=200&siteId=227580
234.url,http://www.trbes.org/web/,http://www.tribes.org/web/
131.addressone,100 Wakter St,100 Water St
701.namevalue,DUMBO Arts Cenetr,DUMBO Arts Center
206.namevalue,ThawE V & Co,Thaw E V & Co
774.addresstwo,Lbyb,Lbby
461.thegeom,POINT (-h74.00382577002729 40.74935024583751),POINT (-74.00382577002729 40.74935024583751)
599.addresstwo,Lbnby,Lbby
323.tel,(212) 734-300,(212) 734-6300
115.namevalue,Sabarsky Serge Gallery***,Sabarsky Serge Gallery
54.city,Broohklyn,Brooklyn
553.city,Nekw York,New York
409.thegeom,POINT(-74.00280458102809 40.73571649956089),POINT (-74.00280458102809 40.73571649956089)
697.city,NewY ork,New York
560.tel,(212)a 644-4400,(212) 644-4400
660.tel,(212 838-6390,(212) 838-6390
900.tel,(71e8) 815-2526,(718) 815-2526
140.thegeom,POINT (-73.96089003981638 40.65968261885264),POINT (-73.96089003981638 40.65968268185264)
379.url,http://local.botw.org/New_York/Nejw_York/799_Art_Gallery_and_Custom_Framing/112964310.html,http://local.botw.org/New_York/New_York/799_Art_Gallery_and_Custom_Framing/112964310.html
828.tel,(212) 50u5-7055,(212) 505-7055
661.tel,212) 362-1770,(212) 362-1770
682.addresstwo,bby,Lbby
370.addresstwo,Lby,Lbby
364.tel,(212) 759-4w999,(212) 759-4999
602.city,Broroklyn,Brooklyn
55.thegeom,POINT (-74.00534660392837 40.745202443263945),POINT (-74.00534660392837 40.745202434263945)
503.city,Nw York,New York
854.addresstwo,t4h Fl.,4th Fl.
720.tel,(212)5 93-3188,(212) 593-3188
420.addresstwo,Lby,Lbby
813.addresstwo,Lbby***,Lbby
703.thegeom,POINT (-73.9939078207703 40.7488345265814),POINT (-73.99390782077703 40.7488345265814)
25.city,New Yrk,New York
336.tel,(212) 367-74n74,(212) 367-7474
27.namevalue,Peder Bnnier Inc,Peder Bonnier Inc
465.city,Brookyln,Brooklyn
393.city,NewYork,New York
603.addressone,55 Broadway,555 Broadway
748.tel,(718) 78-9418,(718) 786-9418
295.addressone,g529 W 20th St,529 W 20th St
462.namevalue,Bridgewate Gallery of Fine Arts Inc,Bridgewater Gallery of Fine Arts Inc
219.namevalue,Thomas & Hrisch,Thomas & Hirsch
328.addresstwo,Lby,Lbby
865.city,New Yokr,New York
444.thegeom,POINT (-73.97967536880768 40.754343283117876),POINT (-73.97967536880768 40.754433283117876)
233.city,Ne York,New York
819.tel,2(12) 996-4484,(212) 996-4484
476.url,http://www.nyc.com/arts__attractions/caravan_hinternational_co.451/map_location.aspx,http://www.nyc.com/arts__attractions/caravan_international_co.451/map_location.aspx
253.thegeom,POINT (-73.97253001784061 40.7643112217276),POINT (-73.97253001784061 40.76431012217276)
745.tel,(212) 750-6756,(212) 750-6765
854.addressone,745 Fifth ve.,745 Fifth Ave.
86.addressone,018 Madison Ave,1018 Madison Ave
855.addresstwo,Ltbby,Lbby
756.url,http://twww.fredericksfreisergallery.com/,http://www.fredericksfreisergallery.com/
261.addressone,35 W 50th St,350 W 50th St
82.namevalue,Reinhold Brownl Gallery,Reinhold Brown Gallery
885.addressone,584 Broadwya,584 Broadway
871.city,Negw York,New York
572.city,New oYrk,New York
44.thegeom,POINT (-73.983150c35383828 40.62575957274058),POINT (-73.98315035383828 40.62575957274058)
834.tel,212) 677-5330,(212) 677-5330
103.addressone,511 Wet 25 Street,511 West 25 Street
18.addresstwo,Lby,Lbby
212.thegeom,POINT -73.87491939831187 40.831580396853354),POINT (-73.87491939831187 40.831580396853354)
520.addresstwo,Lby,Lbby
910.addressone,383 W .Broadway,383 W. Broadway
70.tel,(212) 58c5-2587,(212) 585-2587
741.namevalue,Fischbache Gallery,Fischbach Gallery
192.url,http:/www.susansheehangallery.com/,http://www.susansheehangallery.com/
489.addresstwo,bby,Lbby
745.thegeom,POINT (-73.9503918883272 40.7598343459659),POINT (-73.97503918883272 40.7598343459659)
649.addresstwo,xLbby,Lbby
810.namevalue,Lladr oUSA,Lladro USA
123.thegeom,POINT (-73.9634219003462 40.774137804658366),POINT (-73.96342194003462 40.774137804658366)
80.tel,(718 )837-5807,(718) 837-5807
100.addresstwo,bby,Lbby
896.namevalue,Nvarra Enrico,Navarra Enrico
302.url,http://www.upspring.com/12-below-new-york-ny-map.htdml,http://www.upspring.com/12-below-new-york-ny-map.html
794.addresstwo,bby,Lbby
414.thegeom,POINT (-74.00600863310276 40.74476246542635),POINT (-74.00600863130276 40.74476246542635)
158.addresstwo,Lbyb,Lbby
547.thegeom,POINT (-74.0026781778679 40.752214461415825),POINT (-74.00267817786079 40.752214461415825)
113.addresstwo,bby,Lbby
35.addresstwo,bby,Lbby
348.addresstwo,Lbbey,Lbby
701.thegeom,POINT (-73.98981274885115 40.7034731995560u65),POINT (-73.98981274885115 40.703473199556065)
276.tel,212) 714-2347,(212) 714-2347
634.url,http://katerineblackburne.com/,http://katherineblackburne.com/
432.tel,(21)2 302-9546,(212) 302-9546
687.addressone,761 Fualton St,761 Fulton St
552.tel,212) 831-0402,(212) 831-0402
508.city,xNew York,New York
389.addresstwo,bby,Lbby
471.addresstwo,Lbbey,Lbby
114.namevalue,S E Art & Desgin Inc,S E Art & Design Inc
330.city,New Yrk,New York
520.namevalue,Contemporary sart gallery in Chelsea. Wooster Gardens,Contemporary art gallery in Chelsea. Wooster Gardens
72.tel,(212 )861-6650,(212) 861-6650
654.addressone,58 E 66h St,58 E 66th St
686.addressone,970 MadisonAve,970 Madison Ave
32.namevalue,Peters Gerad Gallery,Peters Gerald Gallery
118.city,New Yovrk,New York
381.namevalue,Art Loft Gallrey,Art Loft Gallery
634.thegeom,POINsT (-74.0092436136626 40.72325270997295),POINT (-74.0092436136626 40.72325270997295)
243.thegeom,POINT (-73.95834181152964 40.7819508257015)4,POINT (-73.95834181152964 40.78195082570154)
880.namevalue,obile Concept Inc,Mobile Concept Inc
479.url,http://www.carltonrochell.com/***,http://www.carltonrochell.com/
377.city,New Yok,New York
678.addressone,16E  79th St,16 E 79th St
755.addresstwo,Lbby***,Lbby
844.tel,(718 )573-1299,(718) 573-1299
716.url,http://zwww.emilyharveyfoundation.org/,http://www.emilyharveyfoundation.org/
724.thegeom,POINtT (-73.99769214859654 40.72505669230653),POINT (-73.99769214859654 40.72505669230653)
71.city,Newm York,New York
350.thegeom,POINT (-74.0058441605y0778 40.744698184918754),POINT (-74.00584416050778 40.744698184918754)
689.addressone,12 E 62nd St,21 E 62nd St
492.thegeom,POoINT (-73.99703728520817 40.72479496325291),POINT (-73.99703728520817 40.72479496325291)
602.url,http://iritbaniel.cm/index.php,http://iritbaniel.com/index.php
233.addressone,111 E 6n2d St,111 E 62nd St
879.addresstwo,Lbby***,Lbby
912.thegeom,POINT (-73.9508496s1193534 40.786364822127446),POINT (-73.95084961193534 40.786364822127446)
840.addresstwo,Lbby***,Lbby
388.thegeom,POINT (-739800983571645 40.671529522114525),POINT (-73.9800983571645 40.671529522114525)
641.addresstwo,bby,Lbby
368.thegeom,POINT (-73.m95720540498857 40.74562272150074),POINT (-73.95720540498857 40.74562272150074)
66.namevalue,Quetroyal Fine Art,Questroyal Fine Art
398.addresstwo,bLby,Lbby
721.thegeom,POINT (-73.99114640729313 40.74367715c77712),POINT (-73.99114640729313 40.7436771577712)
402.addresstwo,Lbyb,Lbby
764.namevalue,sFulton St Art Gallery,Fulton St Art Gallery
732.thegeom,POINT (-73.97999416175843 40.7244452521103),POINT (-73.97999416175843 40.72434452521103)
751.addressone,74j5 5th Ave,745 5th Ave
11.thegeom,POINT (-73.7207691758459 40.761886074501135),POINT (-73.97207691758459 40.761886074501135)
620.namevalue,John lder Gallery,John Elder Gallery
566.namevalue,Healin Arts,Healing Arts
117.city,East Elmurst,East Elmhurst
660.city,Nexw York,New York
570.thegeom,POINT (-73.9655457665656 40.7581241408709),POINT (-73.9655457665656 40.7581241408079)
557.namevalue,Guggenheims Asher Assocs Inc,Guggenheim Asher Assocs Inc
430.url,http://www.gladstonegalilery.com/,http://www.gladstonegallery.com/
686.url,http://directory.nho.com/demirjian+torkom.9.53066079p.home.html,http://directory.nh.com/demirjian+torkom.9.53066079p.home.html
611.addresstwo,Lbmby,Lbby
873.tel,(212)k 397-3930,(212) 397-3930
380.addresstwo,nLbby,Lbby
137.addressone,44-19 Puvres St,44-19 Purves St
338.addresstwo,bLby,Lbby
260.addressone,00 W End Ave,100 W End Ave
897.thegeom,POINT (-73.97241955373046 40.76290439373367),POINT (-73.97241955373046 40.76294039373367)
419.namevalue,Aavilable Art Llc,Available Art Llc
583.namevalue,Howard Scott Glalery,Howard Scott Gallery
440.addressone,37 W 57th tS,37 W 57th St
503.namevalue,Christiane Nienabe Contemporary Art,Christiane Nienaber Contemporary Art
128.tel,d(212) 473-6904,(212) 473-6904
771.thegeom,POINT (-73.9717918765114 40.762414222946o18),POINT (-73.9717918765114 40.76241422294618)
52.thegeom,POINT (-73.7675326390895 40.75653978324558),POINT (-73.76753263900895 40.75653978324558)
654.addresstwo,Lby,Lbby
221.url,http://local.botw.rg/New_York/New_York/Thompson_C_Art/141792657.html,http://local.botw.org/New_York/New_York/Thompson_C_Art/141792657.html
230.city,Ngew York,New York
544.thegeom,POINT (-74.00855042211563 40.73679505405766),POINT (-74.00855042211563 40.736795505405766)
798.thegeom,POINT (-73.99111875234 40.726343191313894),POINT (-73.991118752324 40.726343191313894)
496.addresstwo,bby,Lbby
458.url,http://www.bosepacia.colm/,http://www.bosepacia.com/
136.tel,(21) 755-7005,(212) 755-7005
667.thegeom,POINT (-74.00481381980848 40.75019804508463n),POINT (-74.00481381980848 40.75019804508463)
449.tel,(21p2) 366-6939,(212) 366-6939
357.namevalue,Anthony Grant nIc,Anthony Grant Inc
581.addressone,41 E 57thSt,41 E 57th St
606.addresstwo,Lbyb,Lbby
203.thegeom,POINT (-74.00393729550223 40.75021954149053),POINT (-74.00393729550223 40.75021954194053)
829.url,http://www.yelp.com/bz/marbella-gallery-new-york,http://www.yelp.com/biz/marbella-gallery-new-york
269.city,New Yokr,New York
44.namevalue,Plaster Palaec,Plaster Palace
631.thegeom,POINT (-73.96n128970630069 40.77867171291437),POINT (-73.96128970630069 40.77867171291437)
721.url,http://n.serviceslisted.com/1654740-EquityArtBrokers.htm,http://ny.serviceslisted.com/1654740-EquityArtBrokers.htm
843.addressone,24 W. 57tbh St.,24 W. 57th St.
752.url,http://ny.citysquares.com/manhattan/chinatown/arts-entertainment/artists-art-deaers/fowa-enterprises-corp,http://ny.citysquares.com/manhattan/chinatown/arts-entertainment/artists-art-dealers/fowa-enterprises-corp
219.addresstwo,Lblby,Lbby
491.url,http://ww.wceresgallery.org/,http://www.ceresgallery.org/
423.url,httfp://www.axelle.com/index.html,http://www.axelle.com/index.html
162.thegeom,POINT (-73.9621907349436 40.765647029599016),POINT (-73.96219073494362 40.765647029599016)
547.city,New ork,New York
253.namevalue,Vieille Russie Inc Antiqs & Jwwlry,Vieille Russie Inc Antiqs & Jwlry
517.addresstwo,Lby,Lbby
699.tel,(21) 966-0153,(212) 966-0153
792.city,Ne wYork,New York
556.city,eNw York,New York
617.addresstwo,Lbbhy,Lbby
285.tel,(212) 966-3h411,(212) 966-3411
59.namevalue,Professional Fine Arts Svcse Inc,Professional Fine Arts Svces Inc
388.addressone,44c1 3rd St,441 3rd St
158.city,Nwe York,New York
672.namevalue,Leo Kaplan Mdern Ltd,Leo Kaplan Modern Ltd
75.thegeom,POINT (-7.400368999417438 40.75021572567968),POINT (-74.00368999417438 40.75021572567968)
326.addresstwo,Bstm,Bsmt
639.city,Nexw York,New York
604.addresstwo,bby,Lbby
779.addresstwo,Lybby,Lbby
520.addressone,558 Broadwya,558 Broadway
13.tel,(212) 713-28k85,(212) 713-2885
703.tel,(122) 931-6690,(212) 931-6690
666.city,ronx,Bronx
85.thegeom,POINT (-74.00684653459y64 40.74661224727327),POINT (-74.0068465345964 40.74661224727327)
50.url,http://www.polizzifineart.com/***,http://www.polizzifineart.com/
746.thegeom,POINT (-73.99479482822287 40.73502191111878)5,POINT (-73.99479482822287 40.735021911118785)
605.thegeom,POINT (7-4.00583688216618 40.752060917406105),POINT (-74.00583688216618 40.752060917406105)
219.addressone,k375 W Broadway,375 W Broadway
907.tel,y(212) 721-7000,(212) 721-7000
724.addresstwo,Lby,Lbby
101.addressone,115 Wooste St,115 Wooster St
395.addressone,2580 Boradway,2580 Broadway
560.city,ew York,New York
577.tel,(212) 477-4806,(212) 477-4086
292.tel,(122) 744-5550,(212) 744-5550
888.thegeom,POINT (-73.9578003114238 40.74025449638514),POINT (-73.98578003114238 40.74025449638514)
900.url,http://businessfinder.silive.com/2321461/New-Dorp-Villgae-Antiques-Ltd-Staten-Island-NY,http://businessfinder.silive.com/2321461/New-Dorp-Village-Antiques-Ltd-Staten-Island-NY
332.namevalue,AgoraG allery,Agora Gallery
257.addresstwo,Lbfby,Lbby
163.addresstwo,Lby,Lbby
273.addressone,568 Broadawy,568 Broadway
799.tel,212) 727-8304,(212) 727-8304
367.tel,(212) 2g42-7767,(212) 242-7767
574.addresstwo,h,Ph
109.tel,(21) 925-1137,(212) 925-1137
569.url,http://wwwhellynahmadgallery.com/,http://www.hellynahmadgallery.com/
309.addressone,01 7th Ave,401 7th Ave
128.addressone,240 E 13thS t,240 E 13th St
449.addresstwo,Lby,Lbby
298.addresstwo,bby,Lbby
496.tel,(212 242-7727,(212) 242-7727
310.city,New Yokr,New York
241.addressone,6565 th Ave,656 5th Ave
272.city,Staten Isliand,Staten Island
190.namevalue,Susan Megson Glalery,Susan Megson Gallery
330.namevalue,Africwan Arts Center Inc,African Arts Center Inc
119.url,ttp://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html
206.addressone,726 Parrk Ave,726 Park Ave
190.url,htpt://web2.userinstinct.com/31111920-susan-megson-gallery.htm,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm
641.tel,(212) 929-q9017,(212) 929-9017
234.tel,(212)674-8262,(212) 674-8262
378.addressone,209 E 72nda St,209 E 72nd St
582.addressone,1220 Braodway,1220 Broadway
315.addresstwo,bLby,Lbby
134.city,Ne York,New York
712.addressone,963 eLxington Ave,963 Lexington Ave
126.url,hyttp://www.yelp.com/biz/sarajo-inc-new-york,http://www.yelp.com/biz/sarajo-inc-new-york
