3215.weekending,01/30/y11,01/30/11
21287.weekending,1/210/17,12/10/17
12720.influenzacategory,Influenza_BNotLsineageTyped,Influenza_BNotLineageTyped
9071.influenzacategory,Inluenza_AH3,Influenza_AH3
8328.season,212-2013,2012-2013
28266.season,20k19-2020,2019-2020
2367.region,Califrnia,California
4690.influenzacategory,Influenza_AxH1pdm09,Influenza_AH1pdm09
21511.influenzacategory,Influenzao_Total,Influenza_Total
25913.weekending,06/02/91,06/02/19
24857.influenzacategory,Ibnfluenza_B,Influenza_B
14183.region,Californmia,California
29491.influenzacategory,Influezna_Total,Influenza_Total
4989.influenzacategory,Influneza_A,Influenza_A
7547.influenzacategory,Influenza_nANotSubtyped,Influenza_ANotSubtyped
12298.region,Notrhern,Northern
23363.season,w2017-2018,2017-2018
9842.weekending,02/20/14,02/02/14
733.weekending,1/17/10,01/17/10
3184.weekending,01/i23/11,01/23/11
21095.influenzacategory,nfluenza_AH1pdm09,Influenza_AH1pdm09
27615.influenzacategory,Influenaz_AH1pdm09,Influenza_AH1pdm09
20499.influenzacategory,Influenza_Bamagata,Influenza_BYamagata
2420.region,Centrla,Central
24613.weekending,0/06/19,01/06/19
1877.region,ay Area,Bay Area
17743.influenzacategory,Influeza_A,Influenza_A
6559.influenzacategory,Inluenza_AH1pdm09,Influenza_AH1pdm09
8164.weekending,v04/28/13,04/28/13
1785.season,2009-2g010,2009-2010
24436.influenzacategory,Influenza_ANotxSubtyped,Influenza_ANotSubtyped
22729.weekending,0w5/27/18,05/27/18
27035.season,2g019-2020,2019-2020
17671.influenzacategory,Ifnluenza_Total,Influenza_Total
23980.influenzacategory,Influenza_BNotLineageTypd,Influenza_BNotLineageTyped
9842.influenzacategory,Ifnluenza_AH1pdm09,Influenza_AH1pdm09
13552.season,2014-015,2014-2015
2432.influenzacategory,Influezna_Tested,Influenza_Tested
18481.influenzacategory,Influena_Total,Influenza_Total
10195.influenzacategory,Inlfuenza_Total,Influenza_Total
19693.weekending,06c/11/17,06/11/17
10439.region,Bay Arema,Bay Area
4090.season,010-2011,2010-2011
15295.weekending,0u1/10/16,01/10/16
12031.influenzacategory,Influenza_Totla,Influenza_Total
14312.influenzacategory,nfluenza_Tested,Influenza_Tested
28137.influenzacategory,Influenzba_B,Influenza_B
22291.season,2107-2018,2017-2018
12839.region,Northenr,Northern
21655.region,Northexrn,Northern
11175.weekending,09/14/j14,09/14/14
26576.season,2018-209,2018-2019
27735.region,Bauy Area,Bay Area
27621.season,2019-b2020,2019-2020
2443.region,Upper Sosuthern,Upper Southern
13834.season,2014-20z15,2014-2015
21028.weekending,1/12/17,11/12/17
3954.season,201-02011,2010-2011
1795.region,Cntral,Central
30069.season,219-2020,2019-2020
23574.season,2017-2081,2017-2018
27810.weekending,1/12/20,01/12/20
12507.influenzacategory,mInfluenza_B,Influenza_B
9385.influenzacategory,InfluenzaA_,Influenza_A
11559.season,2014-20f15,2014-2015
23643.weekending,09/0/18,09/09/18
2180.region,tCentral,Central
21913.season,2017i-2018,2017-2018
20442.season,2016-2071,2016-2017
10637.region,Nrthern,Northern
25201.influenzacategory,Influenza_qTotal,Influenza_Total
26430.weekending,08/4/19,08/04/19
10184.season,213-2014,2013-2014
8105.influenzacategory,Influnza_AH3,Influenza_AH3
14564.influenzacategory,Ifluenza_AH3,Influenza_AH3
3789.influenzacategory,Influena_B,Influenza_B
10095.season,201x3-2014,2013-2014
12804.weekending,03d/29/15,03/29/15
25895.influenzacategory,nfluenza_AH1pdm09,Influenza_AH1pdm09
1979.season,k2009-2010,2009-2010
4962.region,Northercn,Northern
18227.region,Lower Souhern,Lower Southern
22049.season,201-72018,2017-2018
27952.season,20192-020,2019-2020
18599.weekending,0129/17,01/29/17
27365.influenzacategory,Influenza_AH1pmd09,Influenza_AH1pdm09
20531.weekending,09/0/17,09/10/17
132.influenzacategory,Influenza_AH1qpdm09,Influenza_AH1pdm09
16713.influenzacategory,InfluenzaA,Influenza_A
25545.weekending,i04/21/19,04/21/19
15246.influenzacategory,Influenza_ANotSugbtyped,Influenza_ANotSubtyped
7523.influenzacategory,Ifnluenza_A,Influenza_A
29863.season,201o9-2020,2019-2020
22572.region,Upper Soutern,Upper Southern
3070.weekending,01/02/q11,01/02/11
15272.region,Caliofrnia,California
2143.weekending,08/0/810,08/08/10
28107.influenzacategory,InfluenzaB_,Influenza_B
7417.weekending,12/30/z12,12/30/12
24166.region,Lower Suothern,Lower Southern
4371.season,210-2011,2010-2011
24744.region,Caifornia,California
11832.weekending,1/30/14,11/30/14
23895.region,Bzay Area,Bay Area
4218.region,Upper Sougthern,Upper Southern
1239.weekending,03/281/0,03/28/10
26969.weekending,10/06/9,10/06/19
9731.influenzacategory,Influenza_ANotjSubtyped,Influenza_ANotSubtyped
22172.region,Califoernia,California
7656.season,2021-2013,2012-2013
1187.season,200-2010,2009-2010
9284.weekending,11/031/3,11/03/13
14682.influenzacategory,Ifnluenza_Tested,Influenza_Tested
9970.season,2013-2r014,2013-2014
22232.season,2017-2a018,2017-2018
4953.weekending,11/1311,11/13/11
8295.region,Bay Ara,Bay Area
25036.influenzacategory,Influenza_ANotSubytped,Influenza_ANotSubtyped
18237.region,orthern,Northern
26879.region,Northeprn,Northern
14820.season,20p15-2016,2015-2016
21614.region,Bay cArea,Bay Area
3370.weekending,02/20/1,02/20/11
19844.region,Loer Southern,Lower Southern
14257.influenzacategory,Influenbza_B,Influenza_B
29061.season,20192-020,2019-2020
10677.season,2013-20c14,2013-2014
24824.weekending,01/2/719,01/27/19
28366.region,LowerS outhern,Lower Southern
29464.influenzacategory,Infulenza_AH3,Influenza_AH3
18774.season,201u6-2017,2016-2017
7876.weekending,i03/17/13,03/17/13
7828.region,UpperSouthern,Upper Southern
11406.weekending,10/1214,10/12/14
10785.season,20132014,2013-2014
19202.region,Nrthern,Northern
16054.region,Centaral,Central
1145.weekending,30/14/10,03/14/10
2483.season,2090-2010,2009-2010
8699.region,Nrothern,Northern
28170.weekending,0m2/23/20,02/23/20
7594.season,20122-013,2012-2013
7011.influenzacategory,Influenza_Tvested,Influenza_Tested
5213.influenzacategory,Infuenza_A,Influenza_A
16072.influenzacategory,Inflenza_Tested,Influenza_Tested
23130.weekending,07/1/518,07/15/18
14429.region,Califronia,California
14726.weekending,11/08/1p5,11/08/15
11470.influenzacategory,Influenza_BotLineageTyped,Influenza_BNotLineageTyped
23167.influenzacategory,InfluenzaB_,Influenza_B
10278.weekending,04/201/4,04/20/14
12827.season,2014-0215,2014-2015
23187.weekending,0722/18,07/22/18
23150.region,Lower Soutern,Lower Southern
8202.season,201-2013,2012-2013
17652.season,2016-2j017,2016-2017
19370.weekending,04/30/71,04/30/17
3652.influenzacategory,Influena_A,Influenza_A
15444.season,2015-201i6,2015-2016
1269.region,Centrhal,Central
27785.influenzacategory,Inlfuenza_AH1pdm09,Influenza_AH1pdm09
5871.region,Centrla,Central
2228.region,Cenotral,Central
28724.season,2l019-2020,2019-2020
23091.weekending,0/708/18,07/08/18
19750.region,pper Southern,Upper Southern
27539.weekending,12/08/9,12/08/19
27224.influenzacategory,InfluenzaAH3,Influenza_AH3
19549.season,2d016-2017,2016-2017
11210.influenzacategory,Inluenza_Total,Influenza_Total
1719.weekending,06/06/01,06/06/10
13752.season,2014-2051,2014-2015
27959.region,Northwern,Northern
3964.region,Upper Suthern,Upper Southern
12322.influenzacategory,Inluenza_Tested,Influenza_Tested
17003.region,Californnia,California
16753.influenzacategory,InfluenzaA,Influenza_A
2624.influenzacategory,Influexnza_AH3,Influenza_AH3
15785.region,pUper Southern,Upper Southern
17497.influenzacategory,nIfluenza_B,Influenza_B
4134.season,2001-2011,2010-2011
15143.season,2051-2016,2015-2016
26272.region,Lower Soutahern,Lower Southern
22244.influenzacategory,Influenza_AHv3,Influenza_AH3
29006.influenzacategory,Inlfuenza_ANotSubtyped,Influenza_ANotSubtyped
19155.region,Bay Aera,Bay Area
1286.season,n2009-2010,2009-2010
3176.region,Califonria,California
7068.influenzacategory,Inluenza_A,Influenza_A
22750.season,20j17-2018,2017-2018
20956.weekending,1/105/17,11/05/17
4922.season,201-2012,2011-2012
12272.region,alifornia,California
20781.season,x2017-2018,2017-2018
17872.region,Lowesr Southern,Lower Southern
6209.weekending,06/1u0/12,06/10/12
18587.region,iLower Southern,Lower Southern
11548.region,Californai,California
18447.season,2016-20r17,2016-2017
27773.season,20e19-2020,2019-2020
27402.season,2x019-2020,2019-2020
21295.region,Northrn,Northern
3179.weekending,01/2i3/11,01/23/11
4955.weekending,1113/11,11/13/11
16100.region,Baay Area,Bay Area
14177.region,Bay Arae,Bay Area
4138.region,Baoy Area,Bay Area
4156.season,201-2011,2010-2011
18980.region,BayArea,Bay Area
2112.region,Uppebr Southern,Upper Southern
2774.influenzacategory,Influxenza_B,Influenza_B
8875.influenzacategory,Influenaz_AH3,Influenza_AH3
3284.season,2010-2u011,2010-2011
9858.region,Caliofrnia,California
5100.weekending,12/041/1,12/04/11
2936.weekending,u12/12/10,12/12/10
18617.season,2016-z2017,2016-2017
11664.weekending,11/u16/14,11/16/14
671.weekending,1/03/10,01/03/10
15948.season,f2015-2016,2015-2016
23438.season,2017-0218,2017-2018
22021.weekending,03/04/p18,03/04/18
14246.region,Califorina,California
12244.season,20142015,2014-2015
21067.region,Upper Srouthern,Upper Southern
6097.influenzacategory,Influenza_AH1dpm09,Influenza_AH1pdm09
1363.season,2009-20b10,2009-2010
9294.region,pUper Southern,Upper Southern
13964.weekending,08/90/15,08/09/15
15381.region,aBy Area,Bay Area
12633.season,d2014-2015,2014-2015
18609.season,2016q-2017,2016-2017
11341.region,Northren,Northern
24914.season,2018-2091,2018-2019
15053.influenzacategory,Ifnluenza_A,Influenza_A
17066.weekending,08h/07/16,08/07/16
28737.influenzacategory,Inlfuenza_B,Influenza_B
19888.influenzacategory,Influneza_BVictoria,Influenza_BVictoria
26558.weekending,0/18/19,08/18/19
8398.influenzacategory,Influenaz_A,Influenza_A
15624.region,Clifornia,California
10356.region,Bay nArea,Bay Area
920.season,2009-201u0,2009-2010
28866.season,20o19-2020,2019-2020
15728.influenzacategory,Infuenza_BVictoria,Influenza_BVictoria
28838.season,201-2020,2019-2020
8995.weekending,09/5/13,09/15/13
13416.season,t2014-2015,2014-2015
24317.region,Ba Area,Bay Area
4075.season,201-2011,2010-2011
11679.weekending,11y/16/14,11/16/14
26503.weekending,081/1/19,08/11/19
26798.season,2018-219,2018-2019
3634.region,kBay Area,Bay Area
18932.weekending,03/12a/17,03/12/17
6929.season,2012-2031,2012-2013
191.region,Upper Slouthern,Upper Southern
17758.weekending,1q0/23/16,10/23/16
22728.weekending,05/2f7/18,05/27/18
7434.season,2012-2103,2012-2013
5902.season,2011-2012***,2011-2012
10171.influenzacategory,Influepnza_AH1pdm09,Influenza_AH1pdm09
27934.weekending,01/2/620,01/26/20
2663.weekending,10/24/y10,10/24/10
5016.weekending,11/20i/11,11/20/11
19148.season,0216-2017,2016-2017
6878.influenzacategory,Influegnza_Tested,Influenza_Tested
18371.season,2016-0217,2016-2017
19457.weekending,05/q14/17,05/14/17
748.influenzacategory,Influenzar_AH1pdm09,Influenza_AH1pdm09
25640.weekending,0/505/19,05/05/19
22045.season,2017-2108,2017-2018
29678.influenzacategory,Influenza_BVitcoria,Influenza_BVictoria
28241.influenzacategory,Infsluenza_Total,Influenza_Total
21781.region,Northenr,Northern
4618.region,Lower Soutehrn,Lower Southern
6718.season,2011-20u12,2011-2012
16513.region,BayA rea,Bay Area
10670.influenzacategory,Ifnluenza_B,Influenza_B
28653.season,2019-0220,2019-2020
7948.weekending,03/24/31,03/24/13
29436.region,Centarl,Central
20542.weekending,9/17/17,09/17/17
26848.season,2018-201z9,2018-2019
10826.influenzacategory,Infuenza_Tested,Influenza_Tested
27638.weekending,12/22/91,12/22/19
19934.weekending,7/09/17,07/09/17
6640.season,0211-2012,2011-2012
29643.season,2019-2002,2019-2020
24444.weekending,12/61/18,12/16/18
7685.region,aLower Southern,Lower Southern
21958.influenzacategory,Infulenza_BVictoria,Influenza_BVictoria
6057.region,Northjern,Northern
205.influenzacategory,Influenzap_ANotSubtyped,Influenza_ANotSubtyped
8152.weekending,04/28/k13,04/28/13
11927.region,Lower Soutehrn,Lower Southern
8388.season,2012-2o013,2012-2013
2656.region,Nrothern,Northern
14763.season,2015-y2016,2015-2016
9685.influenzacategory,Infleunza_Tested,Influenza_Tested
554.region,LowerS outhern,Lower Southern
23153.season,2g017-2018,2017-2018
28213.season,0219-2020,2019-2020
23407.region,Upper Soutern,Upper Southern
6315.influenzacategory,Influenza_ANoSubtyped,Influenza_ANotSubtyped
5905.weekending,04/22m/12,04/22/12
3731.influenzacategory,Influenzba_AH1pdm09,Influenza_AH1pdm09
27870.region,Califonria,California
22439.season,201-72018,2017-2018
6263.weekending,06l/17/12,06/17/12
24199.region,Bay dArea,Bay Area
12242.season,201-2015,2014-2015
21963.influenzacategory,Influeza_A,Influenza_A
22307.region,Lower Sozuthern,Lower Southern
16600.season,205-2016,2015-2016
21490.region,aUpper Southern,Upper Southern
7036.influenzacategory,Influenza_AoNtSubtyped,Influenza_ANotSubtyped
17681.season,2i016-2017,2016-2017
26953.region,Bay Aea,Bay Area
29246.weekending,06/282/0,06/28/20
1033.influenzacategory,Ignfluenza_A,Influenza_A
27645.weekending,12/22/91,12/22/19
15039.influenzacategory,Ibnfluenza_BYamagata,Influenza_BYamagata
8580.season,2012-201e3,2012-2013
8373.weekending,06/0/13,06/02/13
7981.season,2012-2031,2012-2013
5401.region,Bay rea,Bay Area
8217.season,2012-u2013,2012-2013
27333.weekending,11/71/19,11/17/19
27252.season,209-2020,2019-2020
2995.region,Uppre Southern,Upper Southern
25137.influenzacategory,Influezna_B,Influenza_B
28476.influenzacategory,Influenza_ANotSubtayped,Influenza_ANotSubtyped
27799.weekending,01/12/02,01/12/20
7880.weekending,03/17/1u3,03/17/13
15651.region,Lower outhern,Lower Southern
2279.region,Cenrtal,Central
827.region,Califorwnia,California
25922.region,Nporthern,Northern
26083.weekending,e06/23/19,06/23/19
870.influenzacategory,Influnza_B,Influenza_B
6843.influenzacategory,Influeza_Tested,Influenza_Tested
12810.region,Californa,California
6640.region,Lowexr Southern,Lower Southern
8730.influenzacategory,Influenza_ANotShubtyped,Influenza_ANotSubtyped
25521.weekending,04/211/9,04/21/19
20189.region,Calyifornia,California
25158.influenzacategory,Influenza_Bictoria,Influenza_BVictoria
8940.weekending,09/0j8/13,09/08/13
20936.season,2017-2081,2017-2018
24823.region,Lowe rSouthern,Lower Southern
24503.region,Caliofrnia,California
20489.region,Caliornia,California
24143.region,alifornia,California
14913.region,Cetnral,Central
24789.weekending,v01/20/19,01/20/19
21053.season,2017-2c018,2017-2018
15720.influenzacategory,Influenza_BNoLtineageTyped,Influenza_BNotLineageTyped
18454.weekending,011/5/17,01/15/17
4702.influenzacategory,Influeinza_A,Influenza_A
4381.region,Upper outhern,Upper Southern
29201.influenzacategory,InfluenzaTotal,Influenza_Total
1735.weekending,0/613/10,06/13/10
16749.season,20152016,2015-2016
10721.influenzacategory,Influenza_Tesdted,Influenza_Tested
21596.region,Northrn,Northern
16631.region,Upper oSuthern,Upper Southern
3141.region,entral,Central
2145.region,Northoern,Northern
4472.influenzacategory,Influenza_HA3,Influenza_AH3
15514.region,entral,Central
8380.season,2012-2031,2012-2013
23161.region,iNorthern,Northern
10294.season,2013-014,2013-2014
5971.region,orthern,Northern
29795.season,2019-200,2019-2020
258.influenzacategory,InfluenzaA_H3,Influenza_AH3
7637.weekending,02y/03/13,02/03/13
16118.influenzacategory,Influenza_BVxictoria,Influenza_BVictoria
326.region,Nrthern,Northern
29874.weekending,d09/06/20,09/06/20
2272.season,2009-2s010,2009-2010
13166.influenzacategory,InfluenzaANotSubtyped,Influenza_ANotSubtyped
19120.season,2016-207,2016-2017
16199.region,Nrthern,Northern
27262.influenzacategory,nfluenza_Tested,Influenza_Tested
26015.weekending,06u/16/19,06/16/19
14208.influenzacategory,Influenza_BVictorai,Influenza_BVictoria
6054.influenzacategory,Influenza_AjH3,Influenza_AH3
24468.region,Lowre Southern,Lower Southern
24627.season,018-2019,2018-2019
23053.influenzacategory,Influenz_A,Influenza_A
6799.season,011-2012,2011-2012
6018.season,2011-202,2011-2012
27598.influenzacategory,Infuenza_BVictoria,Influenza_BVictoria
15095.influenzacategory,nIfluenza_AH1pdm09,Influenza_AH1pdm09
12220.influenzacategory,Influenza_NotLineageTyped,Influenza_BNotLineageTyped
14036.season,204-2015,2014-2015
5138.region,Upper Southrn,Upper Southern
29587.region,Upper outhern,Upper Southern
19866.weekending,i06/25/17,06/25/17
28478.season,0219-2020,2019-2020
27798.influenzacategory,Infleunza_BVictoria,Influenza_BVictoria
4987.season,0211-2012,2011-2012
23969.region,Californai,California
16283.influenzacategory,Influenza_iA,Influenza_A
19951.season,206-2017,2016-2017
25204.weekending,03/1/019,03/10/19
10123.season,213-2014,2013-2014
25730.influenzacategory,Influenz_BNotLineageTyped,Influenza_BNotLineageTyped
6386.season,2011-2102,2011-2012
13956.region,Centrawl,Central
22641.weekending,05/20/81,05/20/18
1665.region,Norhtern,Northern
9759.influenzacategory,Influenza_AoNtSubtyped,Influenza_ANotSubtyped
5636.weekending,03/0/412,03/04/12
18318.weekending,0101/17,01/01/17
4622.region,Lower Souvthern,Lower Southern
24843.weekending,n01/27/19,01/27/19
5745.season,2011-2021,2011-2012
3998.influenzacategory,Ifnluenza_ANotSubtyped,Influenza_ANotSubtyped
22851.influenzacategory,InfluenzaTotal,Influenza_Total
22020.season,2m017-2018,2017-2018
22020.weekending,03/0v4/18,03/04/18
4786.weekending,10/r16/11,10/16/11
15977.region,uBay Area,Bay Area
12237.season,2014-2u015,2014-2015
10522.region,Ba Area,Bay Area
22267.weekending,04/0118,04/01/18
5776.influenzacategory,Influenza_ANotSubtypd,Influenza_ANotSubtyped
664.region,Norwthern,Northern
27859.weekending,01/19/02,01/19/20
16355.weekending,05/15w/16,05/15/16
17702.region,Nothern,Northern
12641.season,2014-y2015,2014-2015
5669.influenzacategory,Influeza_AH3,Influenza_AH3
16087.region,Uper Southern,Upper Southern
7482.season,2012-201t3,2012-2013
8289.region,Uppzer Southern,Upper Southern
380.region,pper Southern,Upper Southern
22066.weekending,03/f11/18,03/11/18
25772.region,Califyornia,California
5131.season,2011-2012***,2011-2012
16247.weekending,05/01/61,05/01/16
11631.season,2014-2i015,2014-2015
27545.region,Upper Soutern,Upper Southern
19500.region,aNorthern,Northern
21210.region,Califorznia,California
18326.season,206-2017,2016-2017
2328.influenzacategory,Influenza_Tcested,Influenza_Tested
11795.weekending,11/30/41,11/30/14
466.influenzacategory,nfluenza_AH3,Influenza_AH3
5508.weekending,02/21/12,02/12/12
4032.weekending,06/1/211,06/12/11
4744.weekending,10/w09/11,10/09/11
18954.influenzacategory,nfluenza_AH3,Influenza_AH3
3422.region,Bay Arewa,Bay Area
6392.season,2011-012,2011-2012
1359.season,009-2010,2009-2010
12957.influenzacategory,Influena_B,Influenza_B
2598.influenzacategory,Influenza_ANjotSubtyped,Influenza_ANotSubtyped
4851.season,20112-012,2011-2012
10461.region,Lwer Southern,Lower Southern
11073.weekending,08/31/41,08/31/14
17520.weekending,9/25/16,09/25/16
22167.region,Califoria,California
17850.season,2016-017,2016-2017
22484.influenzacategory,InfluenzaAH3,Influenza_AH3
27187.season,2019-020,2019-2020
408.weekending,d11/29/09,11/29/09
29831.weekending,08/30l/20,08/30/20
29786.influenzacategory,Influenza_AotSubtyped,Influenza_ANotSubtyped
15922.season,2051-2016,2015-2016
23602.season,2017-2081,2017-2018
18294.region,orthern,Northern
9996.weekending,0/302/14,03/02/14
21641.region,Cetnral,Central
20443.region,Lower Southrn,Lower Southern
8350.weekending,060/2/13,06/02/13
10142.influenzacategory,Influnza_AH3,Influenza_AH3
4720.region,Upyper Southern,Upper Southern
25338.weekending,03/3/119,03/31/19
19922.season,206-2017,2016-2017
21434.weekending,e12/31/17,12/31/17
22254.season,2017g-2018,2017-2018
6071.influenzacategory,Influneza_B,Influenza_B
5551.weekending,02/1g9/12,02/19/12
9916.influenzacategory,Infulenza_Tested,Influenza_Tested
7519.season,012-2013,2012-2013
25911.region,Lowe rSouthern,Lower Southern
14568.weekending,10/1/815,10/18/15
23168.season,201-72018,2017-2018
13604.influenzacategory,Influenzau_AH3,Influenza_AH3
16876.season,2105-2016,2015-2016
23163.weekending,07/5/18,07/15/18
12536.influenzacategory,Influenza_ANotSubtpyed,Influenza_ANotSubtyped
2359.influenzacategory,Influenz_Total,Influenza_Total
18844.region,Upper Soutthern,Upper Southern
10056.weekending,3/09/14,03/09/14
507.influenzacategory,Influenmza_AH1,Influenza_AH1
10528.region,lCalifornia,California
18950.region,Lower Southren,Lower Southern
10472.weekending,0g5/18/14,05/18/14
2023.weekending,0/25/10,07/25/10
15679.influenzacategory,Influenza_BYamhagata,Influenza_BYamagata
8741.season,20122-013,2012-2013
7475.season,2012-20f13,2012-2013
18068.weekending,11/271/6,11/27/16
23578.weekending,0/02/18,09/02/18
17108.region,Uper Southern,Upper Southern
7417.season,f2012-2013,2012-2013
26136.influenzacategory,Influenza_wANotSubtyped,Influenza_ANotSubtyped
4900.influenzacategory,Influenza_A1Hpdm09,Influenza_AH1pdm09
23249.region,Californvia,California
21746.influenzacategory,Influenza_ANoStubtyped,Influenza_ANotSubtyped
20950.region,Upper Souhern,Upper Southern
3535.influenzacategory,Influnza_AH1pdm09,Influenza_AH1pdm09
21274.region,Centrral,Central
15027.influenzacategory,Inflenza_B,Influenza_B
19099.influenzacategory,Influenza_Yamagata,Influenza_BYamagata
25217.season,018-2019,2018-2019
8584.season,20122013,2012-2013
23682.weekending,09/1/18,09/16/18
15759.season,2015-016,2015-2016
12683.weekending,3/15/15,03/15/15
27662.region,Noprthern,Northern
23678.influenzacategory,Infuenza_BVictoria,Influenza_BVictoria
9193.region,Centrael,Central
4549.weekending,09/04/g11,09/04/11
11661.season,204-2015,2014-2015
6927.influenzacategory,Infuenza_Tested,Influenza_Tested
75.influenzacategory,Ifluenza_AH1,Influenza_AH1
27890.weekending,0/19/20,01/19/20
2075.weekending,08/01/01,08/01/10
1718.influenzacategory,Isnfluenza_B,Influenza_B
9822.season,013-2014,2013-2014
7466.weekending,0/106/13,01/06/13
3003.influenzacategory,Influenza_AgH1pdm09,Influenza_AH1pdm09
8385.region,Californai,California
7656.weekending,2/03/13,02/03/13
373.season,2009-201q0,2009-2010
7117.season,201s2-2013,2012-2013
18883.weekending,03/05j/17,03/05/17
15216.influenzacategory,Influnza_ANotSubtyped,Influenza_ANotSubtyped
14257.season,2014-2051,2014-2015
7461.season,201-2013,2012-2013
21068.region,Uppeer Southern,Upper Southern
16999.region,Bay Aresa,Bay Area
19653.influenzacategory,fInfluenza_A,Influenza_A
15442.weekending,01/31/n16,01/31/16
2343.region,Nortehrn,Northern
12742.influenzacategory,Ifnluenza_Tested,Influenza_Tested
13045.season,201-42015,2014-2015
8414.influenzacategory,Influenza_A1Hpdm09,Influenza_AH1pdm09
28652.region,alifornia,California
25874.weekending,0602/19,06/02/19
3600.region,Californai,California
4697.region,Cenutral,Central
5145.region,Bay Aea,Bay Area
22472.weekending,04/2918,04/29/18
7564.weekending,v01/20/13,01/20/13
21168.weekending,1y1/26/17,11/26/17
22237.weekending,l04/01/18,04/01/18
24729.season,j2018-2019,2018-2019
4285.weekending,0/724/11,07/24/11
13872.weekending,0/726/15,07/26/15
20790.influenzacategory,Influenza_BNotLineageyTped,Influenza_BNotLineageTyped
13633.weekending,07/05/51,07/05/15
4809.season,2c011-2012,2011-2012
67.influenzacategory,Influneza_AH1,Influenza_AH1
238.influenzacategory,wInfluenza_B,Influenza_B
7592.season,2012-2103,2012-2013
21131.region,Ukpper Southern,Upper Southern
26720.weekending,09/08/91,09/08/19
24712.region,Lower Southrn,Lower Southern
4904.region,Clifornia,California
11801.region,Cntral,Central
5636.season,2011-2021,2011-2012
645.season,2009-2001,2009-2010
24630.weekending,1/06/19,01/06/19
26710.region,Upper Soutern,Upper Southern
29362.season,0219-2020,2019-2020
3795.weekending,e05/01/11,05/01/11
21781.weekending,02/04/81,02/04/18
12372.region,Upper oSuthern,Upper Southern
17273.region,Northrn,Northern
81.influenzacategory,Influneza_A,Influenza_A
7768.region,Lower oSuthern,Lower Southern
6636.region,LowerS outhern,Lower Southern
8825.season,2012-q2013,2012-2013
12093.season,2014-c2015,2014-2015
19001.season,216-2017,2016-2017
22175.influenzacategory,Influenza_AH1bpdm09,Influenza_AH1pdm09
22181.region,Centrasl,Central
29711.season,201-92020,2019-2020
20774.weekending,10/1517,10/15/17
18389.season,20162017,2016-2017
29853.season,209-2020,2019-2020
4236.weekending,07/17/1,07/17/11
1112.influenzacategory,InfluenzaTested,Influenza_Tested
19493.weekending,05/14/7,05/14/17
7376.season,2012-2103,2012-2013
20703.season,201f7-2018,2017-2018
11389.weekending,0/12/14,10/12/14
27308.influenzacategory,Influenza_Victoria,Influenza_BVictoria
26581.influenzacategory,Influnza_Total,Influenza_Total
9382.season,201x3-2014,2013-2014
6182.influenzacategory,InfluenzaA_NotSubtyped,Influenza_ANotSubtyped
2954.season,2010-0211,2010-2011
14935.weekending,11/w29/15,11/29/15
17074.weekending,08/07/6,08/07/16
8197.influenzacategory,Influezna_AH1pdm09,Influenza_AH1pdm09
11066.weekending,08/31/41,08/31/14
9697.weekending,01/12/41,01/12/14
12256.influenzacategory,Influnza_ANotSubtyped,Influenza_ANotSubtyped
648.weekending,01/30/10,01/03/10
21843.weekending,02/11/v18,02/11/18
6527.region,Uppger Southern,Upper Southern
20178.influenzacategory,Influenzaa_BVictoria,Influenza_BVictoria
14574.region,Nolrthern,Northern
23781.weekending,09/30/81,09/30/18
1634.region,Ba Area,Bay Area
9530.influenzacategory,Influenaz_Total,Influenza_Total
14921.weekending,11/x29/15,11/29/15
18003.season,2016-i2017,2016-2017
15996.season,2015-2t016,2015-2016
27288.region,Lower Southren,Lower Southern
18524.weekending,0/122/17,01/22/17
18961.region,Norhtern,Northern
23520.influenzacategory,Influenza_BNotLineageTypeyd,Influenza_BNotLineageTyped
18281.weekending,12x/25/16,12/25/16
25443.weekending,04/07/91,04/07/19
14463.region,Uppe rSouthern,Upper Southern
20202.weekending,8/06/17,08/06/17
19827.weekending,0/25/17,06/25/17
2433.region,Norhtern,Northern
28134.region,Northqern,Northern
3926.region,BayArea,Bay Area
419.region,orthern,Northern
1788.weekending,06/2/010,06/20/10
6975.season,2012-203,2012-2013
22220.influenzacategory,Influenza_NotLineageTyped,Influenza_BNotLineageTyped
29566.region,Lower Sotuhern,Lower Southern
8376.region,Upper Souhern,Upper Southern
13863.weekending,07/26/51,07/26/15
18004.season,016-2017,2016-2017
4222.influenzacategory,Influenzxa_ANotSubtyped,Influenza_ANotSubtyped
14781.influenzacategory,Influeknza_Total,Influenza_Total
17016.region,Centrgal,Central
28882.influenzacategory,Ifluenza_Tested,Influenza_Tested
20618.influenzacategory,Inluenza_BVictoria,Influenza_BVictoria
6106.region,UpperS outhern,Upper Southern
14806.weekending,1/15/15,11/15/15
4272.influenzacategory,Inluenza_B,Influenza_B
25915.region,Northrn,Northern
29140.region,Cetral,Central
22155.influenzacategory,Influenhza_AH1pdm09,Influenza_AH1pdm09
25961.influenzacategory,rInfluenza_Total,Influenza_Total
25542.influenzacategory,Influenza_Testde,Influenza_Tested
22436.season,201-2018,2017-2018
2249.influenzacategory,bInfluenza_A,Influenza_A
6843.region,Centrla,Central
8417.region,Uppe rSouthern,Upper Southern
28271.influenzacategory,Influnza_Total,Influenza_Total
22360.region,Cetnral,Central
21655.season,2017-018,2017-2018
19701.influenzacategory,kInfluenza_Total,Influenza_Total
