code,category,description,size,total_inventory,price,sale_price,sale_end_date
13362,LIQ BASED RTD,BOULEVARD RYE BOURBON SMASH 6/4 CANS - 4 Pack,12.0Z,24,12.99,NULL,NULL
24970,AMERICAN WHITE,Groth Hillview Vineyard Chardonnay,750ML,9,36.99,NULL,NULL
348953,AUSTRALIA,Torbreck Woodcutter's Shiraz,750ML,0,29.99,NULL,NULL
34258,ITALY,Castello Banfi Chianti Classico DOCG Chianti Blend,750ML,304,15.99,NULL,NULL
302239,OTHER WINE,Telavi Wine Cellar Marani Pirosmani Dry Saperavi,750ML,0,16.99,NULL,NULL
237740,SPAIN/PORTUGAL,Ganeta Rose Hondarrabi Beltza,750ML,0,17.99,NULL,NULL
82584,WINE BASED SELTZER,Barefoot Cellars Refresh Crisp White Spitzer 4 Cans Rare White Blend - 4 Pack,250ML,32,8.99,NULL,NULL
43387,OTHER WINE,Vampire Vineyards Dracula's Blood Merlot,750ML,0,9.79,NULL,NULL
336911,ITALY,Astoria Prosecco di Treviso Glera,750ML,0,14.99,NULL,NULL
69441,BOURBON/RYE,Jim Beam Devil's Cut Kentucky Straight Bourbon Whiskey,1.75L,0,46.99,NULL,NULL
11536,DOMESTIC CAN,Arrogant Bastard Ale Can - 6 Pack,16.0Z,0,13.99,NULL,NULL
80245,GERMANY,Cupcake Vineyards Riesling,750ML,127,11.99,8.99,11/30/2022
339733,KOSHER,BORGO REALE CHN,750ML,0,21.99,NULL,NULL
75010,MIXERS,1800 The Ultimate Raspberry Margarita,1.75L,0,17.99,NULL,NULL
76830,AMERICAN WHITE,Horton Vineyards Viognier,750ML,0,27.99,NULL,NULL
72459,RUM,The Kraken Black Spiced Rum 80 Proof,1.75L,0,32.99,NULL,NULL
303345,AMERICAN WHITE,4 BEARS S/BLC,750ML,0,16.99,NULL,NULL
90010,COOLERS,Verdi Peach Sparkletini,25.4Z,0,6.99,NULL,NULL
152668,AMERICAN RED,Heron Merlot,750ML,0,18.39,NULL,NULL
77772,MALT BASED SELTZER,WHITE CLAW SURF VP 2/12 CAN - 12 Pack,12.0Z,0,20.99,NULL,NULL
29441,CIDER,Cobbler Mountain Wild Blackberry Cider,12.0Z,0,3.99,NULL,NULL
35769,AMERICAN WHITE,Sonoma Cutrer Russian River Ranches Estate Bottled Chardonnay,750ML,1227,21.99,16.99,11/30/2022
49025,RUM,Captain Morgan Black Spiced Rum,1L,0,24.99,NULL,NULL
167670,VODKA,RIEGERS PREMIUM WHEAT VODKA 750ML,750ML,0,28.99,NULL,NULL
70536,TEQUILA,Margaritaville Silver Tequila,750ML,0,13.99,NULL,NULL
46543,AMERICAN RED,Canyon Road Pinot Noir,750ML,0,7.59,NULL,NULL
166843,AMERICAN WHITE,Yellow Tail Pure Bright Pinot Grigio,750ML,153,8.99,NULL,NULL
334098,RUM,Denros Strong Overproof Rum,1L,0,28.99,NULL,NULL
312725,SPAIN/PORTUGAL,Marquis de Brun Tempranillo,750ML,0,7.39,NULL,NULL
47191,VODKA,Svedka Vodka 80 Proof,375ML,48,5.99,NULL,NULL
55808,FRANCE,Chateau de Segries Cuvee Reservee Lirac White Southern Rhone Blend,750ML,0,14.99,NULL,NULL
68527,ASIA,Gekkeikan Traditional Sake,1.5L,265,16.99,NULL,NULL
15412,AMERICAN WHITE,Woodbridge Buttery Chardonnay,1.5L,184,13.99,NULL,NULL
427827,AMERICAN WHITE,The Great Oregon Wine Company Rascal Pinot Gris,750ML,0,15.99,NULL,NULL
35670,VODKA,Gordon's Vodka,1.75L,210,15.99,NULL,NULL
88787,AMERICAN WHITE,Clos du Bois Buttery Chardonnay,750ML,223,9.99,NULL,NULL
88511,AMERICAN RED,Michael David Vineyards 6th Sense Syrah,750ML,0,18.99,NULL,NULL
84310,AMERICAN RED,Geyser Peak Cabernet Sauvignon,750ML,0,10.99,NULL,NULL
14068,DOMESTIC CAN,HYSTERIA SECRET FAMILY RECIPE 6/4 16OZ CANS - 4 Pack,16.0Z,0,20.99,NULL,NULL
88589,AMERICAN RED,La Crema Pinot Noir,750ML,916,19.99,NULL,NULL
50512,CORDIALS,Caffe Lolita Coffee Liqueur,750ML,203,9.99,NULL,NULL
354704,SPAIN/PORTUGAL,EL COTO CRIANZA & BLANCO COMBO GIFT,750ML,0,15.99,NULL,NULL
297275,MIXERS,REAL MANGO INFUSED SYRUP 16.9OZ,16.9Z,277,7.99,NULL,NULL
11385,CANADIAN/BLENDED WHISKEY,Melky Miller 8 Year Old American Whiskey,750ML,0,34.99,NULL,NULL
301741,AMERICAN RED,Onabay Great Blue Heron Merlot,750ML,0,11.99,NULL,NULL
15089,LIQ BASED RTD,TENTH WARD PEACH CLEM ARNOLD PALM RTD 6/4 CANS,250ML,752,4.99,14.99,11/30/2022
40330,RUM,Captain Morgan Private Stock Rum,1.75L,73,41.99,NULL,NULL
41459,BRANDY/COGNAC/GRAPPA,Courvoisier V.S. Cognac,375ML,335,19.99,NULL,NULL
65056,FRANCE,French Rabbit Cabernet Sauvignon,1L,0,14.99,NULL,NULL
312431,RUM,Diplomatico Reserva Exclusiva Rum,750ML,488,46.99,32.99,11/30/2022
336396,IRISH WHISKEY,Glendalough 13 Year Old Mizunara Finish Single Malt Irish Whiskey,750ML,0,106.99,NULL,NULL
98221,IMPORTED BOTTLE,Carib Premium Lager - 6 Pack,12.0Z,0,13.99,NULL,NULL
355978,ITALY,Cantine Volpi Amonte Barbera,750ML,0,12.69,NULL,NULL
135607,CHILE,VIU MANENT EST RES CAB,750ML,0,12.99,NULL,NULL
42799,OTHER WINE,Berton Vineyard Metal Range Cabernet Sauvignon,750ML,0,13.99,NULL,NULL
300395,AMERICAN RED,Nielson by Byron Pinot Noir,750ML,291,18.99,NULL,NULL
426854,SPAIN/PORTUGAL,Octave Albarino,750ML,0,5.99,NULL,NULL
96156,IMPORTED BOTTLE,Williams Brothers Grozet - 6 Pack,11.2Z,0,17.99,NULL,NULL
236348,AMERICAN RED,Capriccio Bubbly Sangria 4 Pack Red Blend,750ML,158,10.99,NULL,NULL
340534,SPAIN/PORTUGAL,El Jefe (Grande) Unoaked Tempranillo,1L,2,10.99,NULL,NULL
234478,BRANDY/COGNAC/GRAPPA,Hardy Legend 1863 Cognac,750ML,0,61.99,NULL,NULL
377538,AMERICAN RED,Novelty Hill Syrah,750ML,376,27.99,NULL,NULL
26187,IMPORTED BOTTLE,Stella Artois - 24 Pack,11.2Z,172,42.99,NULL,NULL
97683,IMPORTED BOTTLE,Pinkus Organic Ur Pils,17.0Z,0,4.99,NULL,NULL
68910,DOMESTIC BOTTLE,SLY FOX INSCRUTABLE EXHORTATIONS DIPA 6/4 16OZ CAN - 4 Pack,16.0Z,0,8.99,NULL,NULL
13902,DOMESTIC CAN,ALLAGASH KURKUMA 6/4 16OZ CANS - 4 Pack,16.0Z,0,12.99,NULL,NULL
38806,RUM,Castillo Silver Rum,1L,144,8.99,NULL,NULL
77771,AUSTRALIA,Foxhorn Vineyards White Zinfandel,1.5L,0,9.99,NULL,NULL
22953,DOMESTIC CAN,Schlitz High Gravity VSL - 12 Pack,24.0Z,0,24.99,NULL,NULL
70281,RUM,Coruba Spiced Rum,750ML,0,10.49,NULL,NULL
367304,CORDIALS,Sao Paulo Cachaca 1L,1L,8,34.99,NULL,NULL
302314,SOUTH AFRICA,De Morgenzon DMZ Chardonnay,750ML,0,19.99,NULL,NULL
71994,ITALY,Bolla Valpolicella Valpolicella Blend,1.5L,22,17.99,NULL,NULL
341103,CHILE,Senor Sangria Classic White Sauvignon Blanc,1.5L,0,16.49,NULL,NULL
357506,CORDIALS,Sugarlands Appalachian Banana Pudding Sippin' Cream Liqueur,750ML,102,19.99,NULL,NULL
82287,AMERICAN WHITE,William Hill Winery Chardonnay,750ML,246,29.99,NULL,NULL
52930,AMERICAN WHITE,Estancia Pinot Grigio,750ML,93,13.99,NULL,NULL
45098,BRANDY/COGNAC/GRAPPA,Bols Cherry Brandy,1L,0,12.99,NULL,NULL
303407,AMERICAN RED,Chocolate Wines Chocolate Shop Cabernet Sauvignon,750ML,0,12.99,NULL,NULL
333466,CORDIALS,Berentzen Apple Liqueur,750ML,0,18.49,NULL,NULL
329133,SPAIN/PORTUGAL,Bodegas Abanico Trencalos Tempranillo,750ML,0,7.99,NULL,NULL
323741,AMERICAN WHITE,Chalk Hill Chardonnay,750ML,13,21.99,NULL,NULL
251028,RUM,Captain Morgan Parrot Bay Pineapple Rum 50ML,50ML,5678,0.99,NULL,NULL
309894,ITALY,Primaterra Delle Venezie IGT Pinot Grigio,750ML,0,11.99,NULL,NULL
69941,SCOTCH,JOHNNIE WALKER KING GEORGE 750ML,750ML,0,533.99,NULL,NULL
79510,PORT/SHERRY/DESSERT/VERMOUTH,Martini & Rossi Sweet Vermouth Rosso Red Blend,1L,60,14.49,NULL,NULL
30790,COOLERS,Mike's Hard Peach Lemonade - 6 Pack,11.2Z,18,9.99,NULL,NULL
307323,AMERICAN WHITE,Seven Daughters Moscato Muscat,750ML,76,14.99,NULL,NULL
29716,IMPORTED BOTTLE,BFM Cuvee Du 7eme,11.2Z,0,8.99,NULL,NULL
29833,IMPORTED BOTTLE,Vicaris Tripel Gueuze,750ML,0,21.99,NULL,NULL
238335,BOURBON/RYE,Catoctin Creek Ragnarok Rye Whiskey,750ML,39,104.99,NULL,NULL
73163,BOURBON/RYE,David Nicholson Reserve Kentucky Straight Bourbon Whiskey,750ML,11,28.99,NULL,NULL
93464,DOMESTIC CAN,Oskar Blues Old Chub Scotch Ale - 6 Pack,12.0Z,24,13.99,NULL,NULL
68404,DOMESTIC CAN,DESTIHL MOONJUMPER MILK STOUT 4/6 CANS - 6 Pack,12.0Z,0,15.99,NULL,NULL
406015,SPAIN/PORTUGAL,Luna Beberide Finca la Cuesta Mencia,750ML,0,18.99,NULL,NULL
98604,IMPORTED BOTTLE,Paulaner Original Munich Lager - 6 Pack,12.0Z,0,13.99,NULL,NULL
317431,SOUTH AFRICA,Douglas Green Rib Shack Red Vintage Blend Pinotage,750ML,0,9.49,NULL,NULL
73919,VODKA,Deep Eddy Ruby Red Grapefruit Vodka,50ML,3341,0.99,NULL,NULL
322768,AMERICAN RED,Rodney Strong Estate Vineyards Cabernet Sauvignon,750ML,30,26.99,NULL,NULL
162787,CHILE,Vina San Esteban Reserve Chardonnay,750ML,0,6.99,NULL,NULL
81190,AMERICAN WHITE,Barefoot Cellars Tetra Pak Wine to go Moscato Muscat,500ML,254,5.99,NULL,NULL
37478,KOSHER,Golan Heights Winery Hermon Mount Hermon White Sauvignon Blanc,750ML,0,17.99,NULL,NULL
70251,RUM,Margaritaville Premium Jamaican Spiced Rum,1.75L,4,26.99,NULL,NULL
13625,CANADIAN/BLENDED WHISKEY,Shmidt Silver Whiskey,750ML,143,38.99,34.99,11/30/2022
57320,AMERICAN RED,Freemark Abbey Merlot,750ML,3,34.99,NULL,NULL
23715,IMPORTED BOTTLE,Rinku�kiai Werewolf 8.2% - 4 Pack,500ML,0,10.99,NULL,NULL
13738,DOMESTIC CAN,SILVER BRANCH COMIC FALL 4/6 CANS - 6 Pack,12.0Z,1246,11.99,NULL,NULL
75346,SPECIALTY,Firefly White Lightning Moonshine,750ML,0,20.99,NULL,NULL
50728,DOMESTIC CAN,Rolling Rock Extra Pale Can - 18 Pack,12.0Z,0,22.99,NULL,NULL
350140,SPAIN/PORTUGAL,TIROLIRO VINHO VERDE WHITE,750ML,0,10.99,NULL,NULL
43768,SCOTCH,Oban 18 Year Old Limited Edition Single Malt Scotch Whisky,750ML,15,158.99,NULL,NULL
47866,GIN,Corsair Barrel Aged Gin,750ML,0,42.99,NULL,NULL
83997,AUSTRALIA,Yellow Tail Riesling,750ML,0,6.99,NULL,NULL
236978,FRANCE,J. Moreau & Fils Vaillons Chablis Premier Cru Chardonnay,750ML,0,67.99,NULL,NULL
52116,AUSTRALIA,Yellow Tail Cabernet Sauvignon,750ML,306,6.99,NULL,NULL
14740,DOMESTIC CAN,SILVER BRANCH HALF PIPE DIPA 6/4 16OZ CANS - 4 Pack,16.0Z,4,12.99,NULL,NULL
65714,VODKA,Absolut Vodka,375ML,635,13.99,NULL,NULL
346652,FRANCE,Chateau la Commanderie de Gombeau Merlot,750ML,0,16.99,NULL,NULL
10436,DOMESTIC CAN,Oskar Blues Dale's Pale Ale - 6 Pack,12.0Z,792,13.99,NULL,NULL
21725,ITALY,Monte Antico Toscana IGT Sangiovese,750ML,266,25.99,NULL,NULL
15742,DOMESTIC CAN,SILVER BRANCH SQUEEGEE MASTR CRANB LIME 4/6 CAN - 6 Pack,12.0Z,949,11.99,NULL,NULL
79430,CHAMPAGNE/SPARKLING,Tosti Dolce Asti Muscat Blanc a Petits Grains,1.5L,0,34.99,NULL,NULL
10865,CORDIALS,Forbidden Secret Dark Mocha Cream Liqueur,750ML,0,18.99,NULL,NULL
249220,RUM,The Real McCoy 5 Year Old Single Blended Rum 80 Proof,750ML,79,24.99,NULL,NULL
388076,SPAIN/PORTUGAL,Churchill/Graham Churchill's Estates Touriga Nacional,750ML,0,18.99,NULL,NULL
413666,ITALY,Aia Vecchia Lagone Toscana IGT Merlot,750ML,0,19.99,NULL,NULL
116114,FRANCE,Louis Latour Ardeche Chardonnay,750ML,0,18.99,NULL,NULL
7803,IMPORTED BOTTLE,Heineken - 6 Pack,7.0Z,1,7.99,NULL,NULL
26807,DOMESTIC BOTTLE,Bear Republic Cafe 15 Racer,22.0Z,0,11.99,NULL,NULL
98833,IMPORTED BOTTLE,Lindemans Framboise,750ML,0,14.99,NULL,NULL
88374,AMERICAN WHITE,Simi Chardonnay,750ML,32,18.99,12.99,11/30/2022
316936,OTHER WINE,Avia Sauvignon Blanc,750ML,0,8.59,NULL,NULL
51509,TEQUILA,DON JULIO TEQUILA    ANEJO,1.75L,2,109.98,NULL,NULL
51551,CORDIALS,Rumple Minze Peppermint Schnapps,750ML,23,21.99,NULL,NULL
47031,CORDIALS,Cointreau L'Unique Liqueur,375ML,0,26.99,NULL,NULL
13781,AMERICAN RED,Chateau Morrisette Black Dog Cabernet Sauvignon,750ML,0,10.99,NULL,NULL
79991,SCOTCH,Ballantine's 12 Year Old Blended Scotch Whisky,750ML,0,22.99,NULL,NULL
166475,VODKA,Prairie Organic Vodka,750ML,0,24.99,NULL,NULL
88861,SCOTCH,Milk & Honey Elements Peated Single Malt Whiskey,750ML,129,77.99,NULL,NULL
14699,AMERICAN RED,Gnekow Family Winery Old Vine Campus Oaks Zinfandel,750ML,0,42.99,NULL,NULL
300265,SPAIN/PORTUGAL,Cara Viva Tinto Portuguese Red Blend,750ML,0,7.49,NULL,NULL
433983,GERMANY,Heinz Eifel Kabinett Riesling,750ML,0,16.99,NULL,NULL
71250,ITALY,Riunite Lambrusco,750ML,122,8.99,NULL,NULL
99163,DOMESTIC BOTTLE,SHINER RUBY REDBIRD 4/6 NR - 6 Pack,12.0Z,0,9.99,NULL,NULL
402800,SPAIN/PORTUGAL,Jose Maria da Fonseca Twin Vines Portuguese White Blend,750ML,0,12.99,NULL,NULL
72974,CHILE,Cousino Macul Merlot,750ML,21,11.99,NULL,NULL
46504,VODKA,Pearl Plum Vodka,1L,0,15.99,NULL,NULL
314709,KOSHER,FLAM RSE,750ML,0,36.99,NULL,NULL
301365,KOSHER,Elvi Wines Sangria Sintonia Tempranillo,750ML,0,9.99,NULL,NULL
45049,AMERICAN WHITE,Sutter Home Winery Moscato Muscat,187ML,725,2.49,NULL,NULL
347513,ITALY,Casali Roncali Colli Orientali del Friuli Pinot Grigio,750ML,0,13.99,NULL,NULL
302112,FRANCE,Domaine Andre Brunel Grenache,750ML,0,14.99,NULL,NULL
18638,DOMESTIC CAN,SILVER BRANCH SILVER SAINT 4/6 CANS - 6 Pack,12.0Z,566,13.99,NULL,NULL
36783,MALT BASED SELTZER,BUD LIGHT SELTZER VARIETY PK  2/12 CAN - 12 Pack,12.0Z,672,20.99,NULL,NULL
70337,IRISH WHISKEY,Paddy Devil's Apple Cinnamon Apple Liqueur,750ML,0,19.99,NULL,NULL
66010,ITALY,Folonari Delle Venezie IGT Pinot Grigio,1.5L,0,19.99,NULL,NULL
306224,CHAMPAGNE/SPARKLING,Loosen Bros. Dr. L Sparkling Riesling,750ML,0,17.99,NULL,NULL
327592,SPAIN/PORTUGAL,Bodegas Muriel Reserva Tempranillo,750ML,333,16.99,NULL,NULL
42542,BOURBON/RYE,Maker's Mark Kentucky Straight Bourbon Whisky,50ML,740,3.99,NULL,NULL
315414,AMERICAN WHITE,The Seeker Sauvignon Blanc,750ML,68,11.99,NULL,NULL
80359,ITALY,Benvolio Pinot Grigio,750ML,462,8.99,NULL,NULL
55247,AMERICAN RED,Erath Pinot Noir,750ML,382,18.99,NULL,NULL
44804,BOURBON/RYE,Noah's Mill Bourbon Whiskey,750ML,135,59.99,NULL,NULL
333426,OTHER WINE,Castel Winery Acacia Dry Red Red Blend,750ML,0,10.49,NULL,NULL
96075,IMPORTED BOTTLE,Harp Premium Lager - 6 Pack,12.0Z,0,10.99,NULL,NULL
14289,SPECIALTY,Fordham Lee Blueberry Swirl Cream Liqueur,750ML,202,24.99,21.99,11/30/2022
37397,FRANCE,Chateau De Beaucastel Chateauneuf du pape Red Southern Rhone Blend,750ML,0,123.99,NULL,NULL
68470,PORT/SHERRY/DESSERT/VERMOUTH,Presidential Ruby Red Port,750ML,152,13.99,NULL,NULL
13899,DOMESTIC CAN,PABST HARD TEA VP 2/12 CANS - 12 Pack,12.0Z,0,19.99,NULL,NULL
342197,AMERICAN WHITE,Charles & Charles Art Den Hoed Vineyard Riesling,750ML,7,12.99,NULL,NULL
356226,BOURBON/RYE,Sagamore Distiller's Select: Manhattan Finish Rye Whiskey,750ML,16,64.99,NULL,NULL
70216,CORDIALS,Dumante Verdenoce Pistachio Liqueur,750ML,0,33.99,NULL,NULL
88765,COOLERS,Seagram's Escapes Peach Fuzzy Navel - 4 Pack,355ML,0,5.99,NULL,NULL
8877,DOMESTIC BOTTLE,Bud Ice Can - 24 Pack,12.0Z,0,32.99,NULL,NULL
88122,AMERICAN RED,La Catrina Red Blend,750ML,0,13.99,NULL,NULL
24379,IMPORTED BOTTLE,Cropton Fat Dragon Pale Ale,500ML,0,6.99,NULL,NULL
22530,IMPORTED BOTTLE,ADDIS TEJ SWEET 750ML,750ML,0,9.99,NULL,NULL
331719,AMERICAN RED,Redwood Vineyards Cabernet Sauvignon,750ML,0,11.99,NULL,NULL
345734,ARGENTINA,Domaine Jean Bousquet Organic Malbec,750ML,14,12.99,NULL,NULL
24716,TEQUILA,El Tesoro Platinum Blanco Tequila,750ML,0,44.99,NULL,NULL
122,NULL,WHISKEY ROCKS T SHIRT,BAG,0,14.99,NULL,NULL
68652,DOMESTIC CAN,SIXPOINT SHATTER 4/6 CANS - 6 Pack,12.0Z,0,15.99,NULL,NULL
75026,VODKA,New Amsterdam Pink Whitney Vodka,750ML,731,10.99,NULL,NULL
75841,AMERICAN RED,Black Box Cabernet Sauvignon,3L,354,19.99,NULL,NULL
72006,TEQUILA,Corralejo Silver Tequila,750ML,17,33.99,NULL,NULL
16564,TEQUILA,Sauza Hacienda Silver Tequila,750ML,192,18.99,NULL,NULL
41248,FRANCE,Rubus White Blend Colombard,750ML,0,12.99,NULL,NULL
330384,SPAIN/PORTUGAL,Proyecto Garnachas De Espana Salvaje del Moncayo Garnacha,750ML,0,15.99,NULL,NULL
40079,SCOTCH,Glenfiddich 15 Year Old Unique Solera Reserve Single Malt Scotch Whisky,1L,0,76.99,NULL,NULL
26949,IMPORTED BOTTLE,CORSENDONK GESCHGENKDOS GIFT 3/2 750 - 2 Pack,750ML,0,36.99,NULL,NULL
70256,CORDIALS,Cointreau Noir Liqueur,750ML,0,43.99,NULL,NULL
80106,MIXERS,Stirrings Simple Bloody Mary,750ML,7,5.99,NULL,NULL
232824,AMERICAN BLUSH/ROSE,La Crema Pinot Noir Rose,750ML,531,17.99,NULL,NULL
27440,DOMESTIC CAN,Shipyard Summer Ale Can - 6 Pack,12.0Z,0,16.99,NULL,NULL
10861,AMERICAN RED,Ravage Wines Cabernet Sauvignon,750ML,5,12.49,NULL,NULL
43668,TEQUILA,Agavales Blanco Premium Tequila,1L,0,18.99,NULL,NULL
46203,AMERICAN WHITE,Treana White Marsanne,750ML,0,17.99,NULL,NULL
29720,DOMESTIC CAN,SIXPOINT HIGH VOLUME VARIETY 2/12 CAN - 12 Pack,12.0Z,0,23.99,NULL,NULL
336998,ITALY,Mommy's Time Out Delle Venezie IGT Garganega,750ML,0,11.99,NULL,NULL
51608,AMERICAN TABLE,Linganore Winecellars Mountain White White Blend,750ML,243,11.99,NULL,NULL
12569,CORDIALS,Giffard Banane Du Bresil Premium Liqueur,750ML,0,40.99,NULL,NULL
311322,AMERICAN RED,Black Box Cabernet Sauvignon,500ML,343,5.99,NULL,NULL
30090,GIN,Bowman's Gin,1.75L,239,12.99,NULL,NULL
321724,FRANCE,BROTTE LE GRIVELIERE CDR,750ML,0,14.99,NULL,NULL
29223,IMPORTED BOTTLE,De Dolle Arabier,11.2Z,0,6.99,NULL,NULL
71013,ITALY,Bolla Valpolicella Valpolicella Blend,750ML,0,12.99,NULL,NULL
26075,IMPORTED BOTTLE,Hofbrau Munchen - 6 Pack,11.2Z,1236,12.99,NULL,NULL
9431,IMPORTED BOTTLE,St. Bernardus Prior 8,11.2Z,0,5.99,NULL,NULL
79618,PORT/SHERRY/DESSERT/VERMOUTH,Martini & Rossi Vermouth Extra Dry White Blend,1.5L,195,16.99,NULL,NULL
69641,DOMESTIC CAN,HYSTERIA 1996 4/6 CANS - 6 Pack,12.0Z,0,11.99,NULL,NULL
199788,PORT/SHERRY/DESSERT/VERMOUTH,Croft Distinction Special Reserve Red Port,750ML,0,19.99,NULL,NULL
24589,ITALY,Tenuta San Guido Guidalberto Toscana IGT Cabernet Sauvignon,750ML,0,69.99,NULL,NULL
70901,MIXERS,Finest Call Bloody Mary Mix,1L,99,5.99,NULL,NULL
98345,IMPORTED BOTTLE,Shandy Carib Sorrel Imported Lager Beer - 6 Pack,12.0Z,0,11.99,NULL,NULL
32102,BOURBON/RYE,Wild Turkey 101 Kentucky Straight Rye Whiskey,750ML,0,25.99,NULL,NULL
16362,SPECIALTY,Fordham Lee Snickerdoodle Cream Liqueur,750ML,65,31.99,27.99,11/30/2022
249244,RUM,Captain Morgan Parrot Bay Pineapple Rum,750ML,75,9.99,NULL,NULL
79801,SCOTCH,Glen Garioch 1797 Founder's Reserve Highland Single Malt Scotch Whisky,750ML,6,41.99,NULL,NULL
377960,KOSHER,O'dwyers Creek Chardonnay,750ML,0,19.39,NULL,NULL
242024,AMERICAN RED,Freemark Abbey Cabernet Sauvignon,750ML,145,53.99,NULL,NULL
88547,AMERICAN TABLE,LIQS MARGARITA   RTD,1.5L,142,12.99,NULL,NULL
300932,FRANCE,Chateau Malbec Bordeaux Blend,750ML,246,16.99,NULL,NULL
67865,VODKA,Burnett's Raspberry Vodka,1.75L,138,14.99,NULL,NULL
48710,BOURBON/RYE,Yahara Bay Charred Oak Sour Mash Bourbon Whiskey 100 Proof,750ML,0,52.99,NULL,NULL
13938,AMERICAN WHITE,BRADY VYDS CHARDONNAY 750ML,750ML,0,22.99,NULL,NULL
34029,AMERICAN RED,Charles Krug Winery (Peter Mondavi Family) Estate Bottled Cabernet Sauvignon,750ML,8,37.99,NULL,NULL
77786,DOMESTIC CAN,DOGFISH HEAD 60 MIN 19.2 OZ CAN,19.2Z,0,2.99,NULL,NULL
42838,CORDIALS,Disaronno Originale Amaretto Liqueur,750ML,437,28.99,NULL,NULL
347856,ARGENTINA,Vina San Esteban In Situ Signature Wines Hillside Blend Syrah,750ML,0,9.99,NULL,NULL
234036,SPAIN/PORTUGAL,Botas de Barro Dirty Boots Old Vine Garnacha,750ML,0,10.99,NULL,NULL
70778,CORDIALS,Fair Cafe Liqueur,750ML,0,24.99,NULL,NULL
346339,RUM,Plantation Stiggins' Fancy Pineapple Dark Rum,750ML,90,34.99,NULL,NULL
305513,FRANCE,Bailli de Provence Cotes de Provence Grenache,750ML,12,11.99,NULL,NULL
306810,AMERICAN RED,Oak Ridge Winery Old Vine Maggio Family Vineyards Zinfandel,750ML,0,12.99,NULL,NULL
239450,LIQ BASED RTD,BACARDI RUM PUNCH RTD 6/4PK   355ML - 4 Pack,355ML,592,12.99,NULL,NULL
11927,BOURBON/RYE,Rock Town Small Batch Arkansas Bourbon Whiskey,750ML,0,46.99,NULL,NULL
345439,PORT/SHERRY/DESSERT/VERMOUTH,Capitoline Dry Vermouth,750ML,10,39.99,NULL,NULL
13253,DOMESTIC CAN,TRUE RESPITE IMPERIAL ALE 6/4 16OZ CANS - 4 Pack,16.0Z,0,16.99,NULL,NULL
60070,FRANCE,Louis Jadot Bourgogne Rouge Pinot Noir,750ML,298,19.99,NULL,NULL
349500,KOSHER,Covenant Blue C (Kosher) Manara Viognier,750ML,10,29.99,NULL,NULL
70924,MIXERS,Master of Mixes Cocktail Essentials Lime Juice,375ML,312,3.99,NULL,NULL
70335,AMERICAN RED,Elk Run Cold Friday Vineyard Merlot,750ML,0,19.99,NULL,NULL
341445,SPAIN/PORTUGAL,Torremoron Tempranillo,750ML,0,21.99,NULL,NULL
66498,CIDER,ANGRY ORCHARD WINTER VP 2/12 NR - 12 Pack,12.0Z,0,20.99,NULL,NULL
429858,AMERICAN RED,Hogue Cellars Genesis Meritage,750ML,0,18.49,NULL,NULL
332791,FRANCE,AUTARD COTES DU RHONE 2014,750ML,0,13.99,NULL,NULL
311092,CORDIALS,Meletti 1870 Bitter,750ML,0,25.99,NULL,NULL
348540,SPAIN/PORTUGAL,EULILA RED BLEND,750ML,0,22.99,NULL,NULL
87320,CHAMPAGNE/SPARKLING,Nicolas Feuillatte Brut Reserve Champagne,750ML,0,47.99,NULL,NULL
73524,VODKA,New Amsterdam Vodka,1L,38,14.99,NULL,NULL
29442,CIDER,Cobbler Mountain Top Hop Cider,12.0Z,0,3.99,NULL,NULL
82217,AMERICAN RED,Caymus Cabernet Sauvignon,1L,0,99.99,NULL,NULL
306388,AMERICAN WHITE,CK Mondavi Moscato Willow Springs Muscat,750ML,0,6.99,NULL,NULL
97586,DOMESTIC BOTTLE,Bud Light - 24 Pack,12.0Z,138,32.99,NULL,NULL
31658,NEW ZEALAND,Kim Crawford Unoaked Chardonnay,750ML,2,16.99,NULL,NULL
81777,AUSTRALIA,Yellow Tail Unoaked Chardonnay,1.5L,189,11.99,NULL,NULL
80293,AMERICAN WHITE,Almaden Heritage Almaden Vineyards Pinot Grigio,5L,131,18.99,NULL,NULL
238894,ITALY,Ca' Montini Terre di Valfredda Trentino DOC Pinot Grigio,750ML,469,14.99,NULL,NULL
42060,VODKA,Pearl Vodka,1L,0,15.99,NULL,NULL
50415,CORDIALS,Pimm's The Original No.1 Cup Liqueur,750ML,328,24.99,NULL,NULL
347745,BOURBON/RYE,Bone Snapper Rye Whiskey,750ML,0,39.99,NULL,NULL
81372,AMERICAN RED,Almaden Heritage Cabernet Sauvignon,5L,172,18.99,NULL,NULL
154008,ITALY,CANDONI P/GRIG,1.5L,0,13.49,NULL,NULL
365738,VODKA,Breckenridge Pear Flavored Vodka,750ML,59,23.99,NULL,NULL
42644,CANADIAN/BLENDED WHISKEY,Old Elk Armagnac Cask Finish Blended Straight Bourbon Whiskey,750ML,21,99.99,NULL,NULL
333365,SPAIN/PORTUGAL,Vina Galana Garnacha Tintorera,750ML,0,12.49,NULL,NULL
46040,GIN,Barton London Extra Dry Gin,750ML,0,5.99,NULL,NULL
302189,FRANCE,La Vieille Ferme (Perrin & Fils) Red Southern Rhone Blend,1.5L,3,21.99,NULL,NULL
