12.coname,ALFALFeA     ,ALFALFA     
211.boardpresident,Kathy Castleberyr,Kathy Castleberry
521.superintendentemail,brown@dbcschool.org,dbrown@dbcschool.org
515.boardpresident,Annife Van Hanken,Annie Van Hanken
195.coname,HUGHES     ,HUGHES      
462.superintendent,RichM cspadden,Rich Mcspadden
512.superintendent,Rhett yBnum,Rhett Bynum
114.address,27355 South 434 Road,27355 South 4340 Road
456.fax,(850) 497-3373,(580) 497-3373
155.distname,GARBER                       ,GARBER                        
519.superintendentemail,dbrolwn@dbcschool.org,dbrown@dbcschool.org
373.website,http://www.henryetta.k12.ok.uss/,http://www.henryetta.k12.ok.us/
191.distname,STIGLER                      ,STIGLER                       
33.fax,(580) 2953-762,(580) 295-3762
530.boardpresident,Jeff arter,Jeff Carter
64.distname,SPRINGER        l              ,SPRINGER                      
532.website,http://www.berryhillschools.ogr,http://www.berryhillschools.org
83.co,1-T001,11-T001
423.boardpresident,cLeland Anderson,Leland Anderson
260.co,41-I1j03,41-I103
476.city,Seminoel,Seminole
420.superintendent,Stacey Hendeerson,Stacey Henderson
242.coname,LE FOLRE    ,LE FLORE    
112.distname,TEMPLE                       ,TEMPLE                        
86.address,205 W.3Rd St.,205 W. 3Rd St.
63.superintendentemail,kholland@ardoreschools.org,kholland@ardmoreschools.org
208.co,34-I02u3,34-I023
24.address,1a9693 East 1130 Road,19693 East 1130 Road
170.boardpresident,Monpty Baker,Monty Baker
139.superintendent,Billy Talyor,Billy Taylor
475.superintendent,Kyle Wislon,Kyle Wilson
270.boardpresident,Farnk L. Lornes,Frank L. Lornes
506.address,326 East Eagle cBlvd,326 East Eagle Blvd
140.superintendentemail,charene@moseleyschool.com,charlene@moseleyschool.com
178.superintendentemail,ddavidsno@verdenschools.org,ddavidson@verdenschools.org
147.address,100 .N Elm,100 N. Elm
225.fax,(405)z 853-4439,(405) 853-4439
512.city,Snad Springs,Sand Springs
420.co,61-I071,61-I017
433.website,www.nrck.12.ok.us,www.nrc.k12.ok.us
11.co,0o2-I001,02-I001
235.co,39s-I004,39-I004
382.phone,(918) 263-2153,(918) 263-2135
377.coname,OKMULGEE    ***,OKMULGEE    
195.phone,(405) 42-5150,(405) 452-5150
412.phone,(918) 423-434,(918) 423-2434
10.phone,(91) 775-2364,(918) 775-2364
348.superintendent,Chris Brewtser,Chris Brewster
462.address,40 Redbud Lane,401 Redbud Lane
503.distname,HARDESTY                     ,HARDESTY                      
341.website,www.hardingcharterpre.org,www.hardingcharterprep.org
296.statevalue,dOK,OK
388.address,108W. Third,108 W. Third
218.statevalue,OvK,OK
308.co,49-0I27,49-I027
501.address,8 Mi S On Hwy 9s5,8 Mi S On Hwy 95
280.phone,(198) 785-2424,(918) 785-2424
528.city,Colxlinsville,Collinsville
354.boardpresident,Joh nRobertson,John Robertson
284.co,47-zI001,47-I001
19.co,03-I02b6,03-I026
439.website,http://betehl.k12.ok.us,http://bethel.k12.ok.us
78.superintendentemail,shaynse@briggs.k12.ok.us,shaynes@briggs.k12.ok.us
290.statevalue,KO,OK
213.coname,JOHNSTbON    ,JOHNSTON    
511.superintendentemail,jhigdon@grandfield.k12.ok.wus,jhigdon@grandfield.k12.ok.us
76.superintendentemail,jcox@peggs.k12.ko.us,jcox@peggs.k12.ok.us
359.address,8401 Southwest 44Th Steret,8401 Southwest 44Th Street
181.fax,(580) 53-4965,(580) 532-4965
475.city,Sasakaw,Sasakwa
55.co,9-C162,09-C162
215.co,35-Ir037,35-I037
262.coname,LINOLN     ,LINCOLN     
37.boardpresident,AngieEmert,Angie Emert
35.address,630 Collins S.t,630 Collins St.
480.boardpresident,Felicia hEdwards,Felicia Edwards
429.superintendent,Mike Andersn,Mike Anderson
167.city,Elmore Ciyt,Elmore City
242.superintendent,Lawrence Brnes,Lawrence Barnes
302.boardpresident,Tim Myoer,Tim Moyer
109.distname,ELGI N                        ,ELGIN                         
248.statevalue,rOK,OK
