796.agency_name,REGENTS FOR HIGzHER EDUCATION,REGENTS FOR HIGHER EDUCATION
1052.agency_name,DEPARTMENT OF HUxMAN SERVICES,DEPARTMENT OF HUMAN SERVICES
173.class_description,OCIA 2005C Nat Aer - Admin,OCIA 2005C Nat Amer - Admin
184.statutory_reference,"TITLuE 62, SEC 34.48, 34.9","TITLE 62, SEC 34.48, 34.9"
529.agency_name,DEPARMTENT OF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
529.class_description,CMIA Programs Disbrusing Fund,CMIA Programs Disbursing Fund
348.total_amount,$48g1174.40,$481174.40
601.agency_name,OK. HOUSE OF REPESENTATIVES,OK. HOUSE OF REPRESENTATIVES
1040.class_description,Quality f Care Development Fu,Quality of Care Development Fu
202.class_description,OCIA 199h9 Revenue Bond Series,OCIA 1999 Revenue Bond Series
922.statutory_reference,"TITLE 73, SECTION 01","TITLE 73, SECTION 301"
849.total_amount,$00.0,$0.00
595.agency_name,LANGSTON UNIVRSITY,LANGSTON UNIVERSITY
350.class_description,District Atty Councli Rev.,District Atty Council Rev.
336.agency_name,CORPORATIvON COMMISSION,CORPORATION COMMISSION
370.total_amount,$47844.97,$478414.97
994.total_amount,$0.0m0,$0.00
173.total_amount,$21651.10,$216511.10
137.class_description,Centrex Revolving Fuxnd,Centrex Revolving Fund
471.class_description,ClientA ssistance Fed Funds,Client Assistance Fed Funds
26.statutory_reference,"TITLE 70, SEC. 9301","TITLE 70, SEC. 3901"
761.class_description,Reg Of Sxt Vendors Revol Fund,Reg Of St Vendors Revol Fund
394.class_description,Ok Early Intevrention Rev Fund,Ok Early Intervention Rev Fund
949.class_description,Educ &G en Oper Revolv Fund,Educ & Gen Oper Revolv Fund
1031.total_amount,$6718796.22,$6717896.22
782.total_amount,$2886321.55,$2886231.55
1016.total_amount,$f0.00,$0.00
953.agency_name,TUSA COMMUNITY COLLEGE,TULSA COMMUNITY COLLEGE
174.class_description,OCI 2005C Nat Amer - Constr,OCIA 2005C Nat Amer - Constr
622.agency_name,BD. OF MED. LICENSURE & SUVP.,BD. OF MED. LICENSURE & SUPV.
868.class_description,k Dept Veterans Affairs Fund,Ok Dept Veterans Affairs Fund
529.statutory_reference,"TITLE 62, SEC3 4.48, 34.9","TITLE 62, SEC 34.48, 34.9"
89.agency_name,DEPARTMENT OF AGRICUsLTURE,DEPARTMENT OF AGRICULTURE
307.class_description,U.S. Dept. OfEnergy,U.S. Dept. Of Energy
967.agency_name,UNIERSITY OF OKLAHOMA,UNIVERSITY OF OKLAHOMA
305.agency_name,DEPARTMENT OF COMMEREC,DEPARTMENT OF COMMERCE
681.agency_name,NORTHERN OKLAHOMA COLLGE,NORTHERN OKLAHOMA COLLEGE
373.class_description,New ollege-Const & Purch Bldg,New College-Const & Purch Bldg
25.statutory_reference,"TITLE 47,C H 74, SEC 1136","TITLE 47, CH 74, SEC 1136"
527.class_description,State Transporation Fund,State Transportation Fund
293.agency_name,DEPARMENT OF COMMERCE,DEPARTMENT OF COMMERCE
1056.class_description,Fy 06 Human Svcs Dis bFund,Fy 06 Human Svcs Disb Fund
420.total_amount,$214767.69,$241767.69
107.total_amount,$1c556027.23,$1556027.23
31.statutory_reference,"TITLE 70, SEC 391","TITLE 70, SEC 3901"
483.total_amount,$40932.06,$403932.06
940.statutory_reference,"TTLE 73, SEC. 153","TITLE 73, SEC. 153"
995.statutory_reference,"ToITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 14-103","TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 14-103"
802.agency_name,REGENTS FOR HIGHER EDUtCATION,REGENTS FOR HIGHER EDUCATION
144.agency_name,OFFICE FO STATE FINANCE,OFFICE OF STATE FINANCE
152.statutory_reference,"TqITLE 62, SEC. 41.8","TITLE 62, SEC. 41.8"
314.total_amount,w$0.10,$0.10
960.statutory_reference,"TITLE 7,0 SEC. 3901","TITLE 70, SEC. 3901"
138.total_amount,$17841551.3,$1784155.13
989.agency_name,BD. OF VETERINARY MED. EXM.,BD. OF VETERINARY MED. EXAM.
789.agency_name,REGENTS FOR HIGHER EDUCATeION,REGENTS FOR HIGHER EDUCATION
308.total_amount,$212v7038.55,$2127038.55
516.total_amount,$943573.05,$8943573.05
32.total_amount,$96859.65,$96589.65
363.total_amount,$14238675.94,$14236875.94
748.agency_name,DEPARTMENT OF CENTRAL SERVIES,DEPARTMENT OF CENTRAL SERVICES
105.class_description,American Recov. & Reniv. Act,American Recov. & Reinv. Act
386.statutory_reference,"TITLE 7,0 SEC. 9-110","TITLE 70, SEC. 9-110"
356.class_description,Fedral Funds,Federal Funds
315.total_amount,$6704.57,$68704.57
967.class_description,Federal onstruction Fund,Federal Construction Fund
773.class_description,Patrol Vehicle Remvolving Fund,Patrol Vehicle Revolving Fund
863.total_amount,$0m.69,$0.69
388.agency_name,DEPARTMENT OF EDUCATIOoN,DEPARTMENT OF EDUCATION
147.class_description,Tobacco Settlmeent Trust Fund,Tobacco Settlement Trust Fund
53.class_description,Master Lease Pulrchase Fund,Master Lease Purchase Fund
791.statutory_reference,"TITLE 70 ,SEC. 3205 B","TITLE 70, SEC. 3205 B"
16.class_description,Secztion 13-Const & Purch Bldg,Section 13-Const & Purch Bldg
872.class_description,Fed Matching Fund-Constrc Prj,Fed Matching Fund-Constrct Prj
154.agency_name,CAMERON UNIVERSIpTY,CAMERON UNIVERSITY
749.class_description,StateUse Committee Revolving,State Use Committee Revolving
203.class_description,COIA 1999 Revenue Bond Series,OCIA 1999 Revenue Bond Series
