1383.facilityname,Riverside Community Hosiptal,Riverside Community Hospital
490.county,Sonoam,Sonoma
1272.facilityid,6.3001296E8,220000002
828.county,Contra wCosta,Contra Costa
1079.county,Mnendocino,Mendocino
1222.facilityname,UCSF Mdeical Center,UCSF Medical Center
707.county,Kjern,Kern
607.county,Sacrametno,Sacramento
394.facilityid,9.30000034E8,80000045
12.facilityid,4.0000122E7,240000001
823.county,Santa Claa,Santa Clara
97.facilityid,9.30000005E8,220000010
465.county,Imperiial,Imperial
317.facilityid,9.30000008E8,30000151
1265.county,xSan Diego,San Diego
1051.county,Los Anngeles,Los Angeles
1106.county,Los Angelse,Los Angeles
1254.county,Oraneg,Orange
1076.facilityname,El Camnio Hospital,El Camino Hospital
142.facilityid,2.400001E8,930000092
1196.county,hasta,Shasta
579.facilityid,6.3001296E8,60000073
1446.facilityname,Kaweah Delta Medicla Center,Kaweah Delta Medical Center
1358.facilityname,Hoag Ozrthopedic Institute,Hoag Orthopedic Institute
712.facilityid,2.40000082E8,930000128
1426.facilityname,Groissmont Hospital,Grossmont Hospital
1093.county,oSlano,Solano
847.facilityname,Marsahll Medical Center,Marshall Medical Center
523.facilityid,9.3000004E8,50000039
627.facilityname,Children's Hospital of Orane County,Children's Hospital of Orange County
986.facilityid,1.40000425E8,930000068
1260.facilityid,6.0000074E7,70000149
1466.county,Yuab,Yuba
1110.county,San Dieog,San Diego
866.county,Los kAngeles,Los Angeles
666.facilityname,"Kaiser Foundationk Hospital, South Bay","Kaiser Foundation Hospital, South Bay"
1427.county,Alajmeda,Alameda
1376.county,Sacramsento,Sacramento
581.county,San Digeo,San Diego
1284.facilityid,1.40000012E8,60000011
1452.facilityname,Long Beach Memorial Medicali Center,Long Beach Memorial Medical Center
874.facilityid,9.30000005E8,230000261
1362.facilityname,"Kaiser oFundation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
1111.county,an Francisco,San Francisco
1376.facilityname,Meryc General Hospital,Mercy General Hospital
710.facilityid,9.30000008E8,930000162
964.facilityname,Adventist Medical Center,Mission Hospital Laguna Beach
1025.county,SanLuis Obispo,San Luis Obispo
599.county,SanJoaquin,San Joaquin
374.facilityname,Desert Regisonal Medical Center,Desert Regional Medical Center
425.county,Tualre,Tulare
1113.facilityid,2.400001E8,630015029
1268.county,Ortange,Orange
1275.county,Oravnge,Orange
555.facilityid,9.30000012E8,930000072
1148.facilityid,9.30000082E8,30000127
1005.facilityid,6.0000002E7,930000095
1084.county,Savnta Clara,Santa Clara
286.facilityid,9.30000034E8,930000002
497.facilityid,9.30000005E8,50000455
502.facilityid,2.400001E8,230000020
109.facilityid,2.400001E8,30000133
1384.county,Rivverside,Riverside
709.facilityid,9.30000002E8,250000050
1272.county,San Francsico,San Francisco
663.facilityid,9.30000012E8,220000008
786.county,Rivreside,Riverside
1150.facilityid,6.0000002E7,30000037
1261.county,Los Ageles,Los Angeles
15.county,Lols Angeles,Los Angeles
920.county,Aameda,Alameda
355.county,Alamekda,Alameda
431.county,San Bernadino,San Bernardino
661.facilityid,9.3000004E8,30000130
1249.county,San Franisco,San Francisco
670.facilityid,9.30000012E8,120001444
658.county,Los Angelues,Los Angeles
1224.county,Sacraemnto,Sacramento
1080.county,Los nAgeles,Los Angeles
987.facilityid,6.0000002E7,70000153
813.county,San Benardino,San Bernardino
1163.county,Losf Angeles,Los Angeles
1465.county,Santa Cljara,Santa Clara
896.county,Rverside,Riverside
925.facilityid,2.40000082E8,30000146
924.facilityname,Whittier Hospitla Medical Center,Whittier Hospital Medical Center
1078.county,Oraqnge,Orange
1267.facilityname,Univesrity of California Davis Medical Center,University of California Davis Medical Center
716.facilityid,4.0000122E7,30000135
519.facilityid,6.0000002E7,220000031
1003.facilityid,1.40000425E8,60000040
733.facilityid,9.3000007E8,240000103
948.county,Sxanta Clara,Santa Clara
1119.county,San Matoe,San Mateo
845.facilityname,Antelope Valley Hospital,Madera Community Hospital
738.county,Lso Angeles,Los Angeles
893.facilityid,2.40000082E8,230000262
1213.facilityid,9.30000005E8,30000151
619.county,Layssen,Lassen
52.county,Siskinyou,Siskiyou
909.facilityid,9.30000034E8,630014442
1163.facilityid,6.3001296E8,930000123
663.county,San eFrancisco,San Francisco
1456.facilityname,Northridg Hospital Medical Center,Northridge Hospital Medical Center
1048.facilityname,Arrowhead RegionalM edical Center,Arrowhead Regional Medical Center
1041.county,Los Angelse,Los Angeles
1056.facilityid,6.0000074E7,60001207
1037.county,Los Anggeles,Los Angeles
442.county,Los vAngeles,Los Angeles
583.facilityid,6.3001296E8,930000081
749.facilityid,9.30000002E8,30000113
1289.facilityid,6.3001296E8,930001543
471.facilityid,9.3000007E8,240000046
1475.facilityname,Santa lara Valley Medical Center,Santa Clara Valley Medical Center
1020.facilityname,Santa Clara Valley Medical Ceenter,Santa Clara Valley Medical Center
1456.county,Ldos Angeles,Los Angeles
481.facilityid,9.30000008E8,70000147
1083.facilityname,Goleta Valley Cottge Hospital,Goleta Valley Cottage Hospital
444.facilityid,9.30000005E8,30000124
157.facilityid,1.40000012E8,240000009
1124.facilityid,9.30000002E8,120001444
1345.facilityname,Arrowhead Regionalb Medical Center,Arrowhead Regional Medical Center
859.facilityname,Northbay Vacavallwey Hospital,Northbay Vacavalley Hospital
1175.facilityid,9.30000008E8,250000049
862.county,Santa Clra,Santa Clara
1441.county,Santa mClara,Santa Clara
284.facilityid,6.0000074E7,220000019
499.facilityid,9.30000082E8,250000507
886.facilityid,6.0000074E7,50000280
953.facilityid,9.30000082E8,930000034
1298.county,San Diegao,San Diego
1086.facilityid,9.30000008E8,70000142
20.facilityid,9.30000005E8,140000014
1326.county,San Joaquivn,San Joaquin
961.county,SanBernardino,San Bernardino
987.county,Santa Claar,Santa Clara
785.county,bContra Costa,Contra Costa
1418.county,Riveirside,Riverside
576.county,Los Angeels,Los Angeles
1250.facilityid,6.0000074E7,70001355
791.facilityid,9.3000004E8,930000053
1368.facilityname,"Kaiser Foundation Hospital, Vacavinlle","Kaiser Foundation Hospital, Vacaville"
822.facilityid,6.0000074E7,220000008
1241.county,Los Angeels,Los Angeles
550.facilityid,3.0000117E7,140000187
1453.county,wSanta Clara,Santa Clara
1434.county,Sna Joaquin,San Joaquin
1026.facilityname,Foothill Presbyterian Hospital-Johnston Memorial,St Rose Hospital
245.facilityid,7.0000139E7,60000068
731.facilityid,1.40000425E8,250000507
1247.facilityid,9.3000007E8,30001370
765.facilityname,Alta Bates Summit Medical Center,Barton Memorial Hospital
107.county,oSnoma,Sonoma
1115.county,Sasnta Clara,Santa Clara
732.county,Riversimde,Riverside
630.facilityid,2.400001E8,50000014
144.facilityid,9.30000034E8,110000023
747.facilityname,UCSF Medical Cetner,UCSF Medical Center
1291.facilityid,9.30000114E8,240000024
324.facilityname,Antelope Valley rHospital,Antelope Valley Hospital
549.county,Los Angelges,Los Angeles
1072.facilityid,9.30000005E8,70000139
1305.facilityid,9.3000007E8,930000076
838.facilityid,9.30000002E8,630012971
648.facilityid,9.30000034E8,930000026
124.facilityid,6.0000074E7,630012971
512.facilityid,9.3000007E8,30000151
1278.county,LosA ngeles,Los Angeles
448.county,Sacraemnto,Sacramento
690.county,Solaon,Solano
767.facilityid,9.30000008E8,930000002
574.facilityid,6.0000074E7,110000378
743.county,aSonoma,Sonoma
624.facilityname,Children's Hospital & Research Center aOkland,Children's Hospital & Research Center Oakland
858.facilityid,6.0000074E7,110000010
538.county,range,Orange
150.facilityname,Adventist Medical Center - Selma,Mercy Medical Center Mt. Shasta
1378.county,Los Anwgeles,Los Angeles
466.facilityid,1.40000012E8,930000123
567.facilityname,Loma Linda UniversityC hildren's Hospital,Loma Linda University Children's Hospital
1433.county,Los Angels,Los Angeles
1269.facilityid,9.30000114E8,40000129
1235.facilityid,9.30000004E8,140000014
606.facilityid,6.3001296E8,220000031
769.facilityname,Desert Regional Medical Center,California Pacific Medical Center - Pacific Campus Hospital
537.county,Los Angeels,Los Angeles
220.facilityid,6.0000074E7,220000025
1062.facilityid,9.30000114E8,930000038
487.facilityid,1.40000425E8,50000280
1168.county,Lo Angeles,Los Angeles
1471.county,Los Angelezs,Los Angeles
1306.facilityname,KernMedical Center,Kern Medical Center
792.facilityid,1.40000012E8,140000183
500.county,Ventjura,Ventura
1381.county,SanD iego,San Diego
322.facilityid,7.0000139E7,930000129
1288.county,Soalno,Solano
733.county,San Bernardnio,San Bernardino
1130.county,Los Aneles,Los Angeles
1123.facilityid,9.30000034E8,930000290
87.facilityid,1.40000425E8,140001086
582.facilityid,9.30000012E8,930000123
698.county,LosA ngeles,Los Angeles
1479.facilityname,Sharp Meorial Hospital,Sharp Memorial Hospital
111.county,Solao,Solano
1079.facilityid,9.30000034E8,110000008
772.county,Alamedoa,Alameda
522.county,Los Arngeles,Los Angeles
67.facilityid,9.30000034E8,930000062
748.county,Mendocno,Mendocino
187.facilityid,6.3001296E8,930000100
1465.facilityname,Regional Medical Cente rof San Jose,Regional Medical Center of San Jose
1160.facilityid,9.30000005E8,930000077
815.county,Los Angels,Los Angeles
1031.county,Pacer,Placer
921.facilityid,2.40000082E8,70000155
405.county,LosA ngeles,Los Angeles
386.county,yOrange,Orange
430.facilityid,1.40000012E8,30000139
173.facilityid,1.40000425E8,250000042
1141.facilityname,Marshall Medical eCnter,Marshall Medical Center
998.county,Sanat Clara,Santa Clara
1006.county,anta Clara,Santa Clara
233.facilityid,2.50000707E8,930000015
484.facilityid,6.0000074E7,250000101
777.county,Losf Angeles,Los Angeles
111.facilityid,3.0000122E7,630012364
1171.facilityid,9.30000012E8,240000046
588.county,Los Angelehs,Los Angeles
198.facilityid,1.40000425E8,930000162
215.facilityid,6.0000074E7,80000022
843.facilityid,9.30000012E8,70001349
906.county,acramento,Sacramento
301.county,Los xAngeles,Los Angeles
145.facilityid,4.0000122E7,250000727
454.facilityid,6.0000002E7,930000108
1292.facilityid,2.40000082E8,930000072
983.county,Stanisxlaus,Stanislaus
467.county,Lojs Angeles,Los Angeles
447.county,Shastma,Shasta
1305.county,Los Agneles,Los Angeles
1144.county,Ken,Kern
827.facilityid,9.30000004E8,30000133
112.facilityname,Anaheim Global Medical Center,"Kaiser Foundation Hospital, Walnut Creek"
304.facilityid,6.3001296E8,70001349
1477.county,San Digeo,San Diego
1375.facilityname,Memorial Medical Ceter,Memorial Medical Center
676.county,San Bernardio,San Bernardino
655.facilityid,3.0000122E7,30000973
1448.county,Ls Angeles,Los Angeles
636.facilityname,East Los Angeles DoctorsHospital,East Los Angeles Doctors Hospital
1066.facilityid,6.0000002E7,50000014
470.county,Los Angebles,Los Angeles
58.facilityname,California Pacific Medical Center - California West Campus Hospital,Garden Grove Hospital and Medical Center
571.county,Santaq Clara,Santa Clara
215.county,Sain Diego,San Diego
1033.facilityname,UCSF Medicnal Center,UCSF Medical Center
276.county,San eBrnardino,San Bernardino
713.county,Montery,Monterey
666.county,Los Angels,Los Angeles
450.facilityid,9.30000082E8,30000037
876.facilityid,9.30000012E8,250000049
1056.county,Oreange,Orange
598.facilityid,6.0000002E7,240000103
1210.facilityid,3.0000122E7,30000109
39.facilityid,9.30000034E8,250000008
457.facilityid,4.0000122E7,70000146
872.county,Los Angfeles,Los Angeles
462.facilityid,3.0000122E7,80000142
83.facilityid,1.40000012E8,630011203
1375.county,Stansilaus,Stanislaus
1114.county,Marni,Marin
140.facilityid,9.30000008E8,60000035
969.county,Oange,Orange
596.facilityid,1.40000012E8,80000022
258.facilityid,9.30000012E8,110000068
939.facilityid,9.30000005E8,90000154
1103.facilityid,9.3000007E8,630013398
739.county,Santa Clajra,Santa Clara
479.facilityname,Saint Agnezs Medical Center,Saint Agnes Medical Center
98.county,Riversied,Riverside
685.county,Shasmta,Shasta
40.facilityid,4.0000122E7,240001330
214.facilityid,9.3000007E8,140001268
934.county,nSanta Clara,Santa Clara
488.facilityname,Sanfta Clara Valley Medical Center,Santa Clara Valley Medical Center
289.county,Ls Angeles,Los Angeles
1487.facilityname,UC an Diego Health Hillcrest - Hillcrest Medical Center,UC San Diego Health Hillcrest - Hillcrest Medical Center
300.facilityid,9.30000114E8,70001355
829.facilityid,4.0000122E7,930000290
452.county,Oraneg,Orange
734.facilityid,9.3000004E8,230000020
611.facilityid,4.0000122E7,50000039
1458.county,San Diemgo,San Diego
347.facilityname,UC San Diego Health Hillcrest - Hillcrest Medicl Center,UC San Diego Health Hillcrest - Hillcrest Medical Center
23.facilityid,6.0000074E7,60000007
1061.facilityname,Citrus Valley Medical Center - QVCampus,Citrus Valley Medical Center - QV Campus
1059.facilityid,9.30000008E8,240000003
307.county,Oragne,Orange
809.facilityid,9.30000034E8,110000011
1237.facilityname,Children's Hospital of Orang eCounty,Children's Hospital of Orange County
1432.facilityname,"Kaiser Foundaiton Hospital, Fontana","Kaiser Foundation Hospital, Fontana"
1042.facilityid,1.40000012E8,90000154
376.county,Stanislus,Stanislaus
35.facilityid,9.30000002E8,140000195
442.facilityid,9.30000002E8,930000092
374.county,Rivrside,Riverside
1078.facilityid,6.3001296E8,60000011
1051.facilityname,Califgornia Hospital Medical Center - Los Angeles,California Hospital Medical Center - Los Angeles
1454.county,Stanislaxus,Stanislaus
1483.county,Los Anglees,Los Angeles
154.facilityname,Children's Hospital of Orange County,Methodist Hospital of Sacramento
1403.county,Los Agneles,Los Angeles
1220.facilityname,Tri-City edical Center,Tri-City Medical Center
254.facilityname,Foothill Presbyterian Hospital-Johnston Memorial,Sutter Maternity & Surgery Center of Santa Cruz
1061.county,Los Angelaes,Los Angeles
1407.facilityname,Bevrly Hospital,Beverly Hospital
1052.facilityid,2.400001E8,220000002
1351.facilityname,Commuinty Regional Medical Center,Community Regional Medical Center
92.facilityid,9.30000002E8,140000188
736.facilityname,St. Joseph's Mediacl Center Of Stockton,St. Joseph's Medical Center Of Stockton
1244.facilityid,9.30000012E8,930000072
1007.county,Los Angles,Los Angeles
541.county,Frwesno,Fresno
958.county,SanD iego,San Diego
556.county,Alamekda,Alameda
629.county,San Bernxardino,San Bernardino
892.county,aSan Diego,San Diego
1333.county,Oraneg,Orange
793.county,iverside,Riverside
1158.county,Orangoe,Orange
238.facilityid,2.40000082E8,140000041
986.county,Los pAngeles,Los Angeles
65.facilityid,4.0000122E7,930000068
1064.facilityid,9.30000002E8,240000082
962.facilityid,6.3001296E8,70001349
888.county,Los Angaeles,Los Angeles
288.facilityname,Chilodren's Hospital Los Angeles,Children's Hospital Los Angeles
231.facilityid,6.0000074E7,30001799
82.facilityid,9.3000007E8,110000011
1424.county,pLos Angeles,Los Angeles
905.facilityname,Alta Bates Summit Medical Center - Alta Bates Campus,Sutter Davis Hospital
1382.county,San Berlnardino,San Bernardino
759.county,San Franciwsco,San Francisco
1350.facilityname,Crhildren's Hospital of Orange County,Children's Hospital of Orange County
1086.county,San Bneito,San Benito
71.facilityid,2.400001E8,930000063
429.facilityid,9.30000005E8,60000040
85.facilityid,7.0000139E7,930000074
1464.facilityname,Rady Chlidren's Hospital - San Diego,Rady Children's Hospital - San Diego
1016.county,Los Angexles,Los Angeles
461.facilityid,9.30000012E8,250000042
1185.county,nLos Angeles,Los Angeles
514.facilityid,9.30000114E8,230000265
1258.county,Loss Angeles,Los Angeles
1407.county,Los Anegles,Los Angeles
148.facilityid,9.30000008E8,30000901
541.facilityid,9.30000005E8,40000101
257.county,Snooma,Sonoma
804.facilityid,9.3000004E8,80000045
1043.county,San jFrancisco,San Francisco
281.facilityid,9.30000002E8,930000191
993.county,rOange,Orange
1267.county,Sawcramento,Sacramento
780.facilityid,1.40000797E8,930000038
1073.facilityname,Earl & Loraine Miller hildren's Hospital,Earl & Loraine Miller Children's Hospital
1022.county,Snooma,Sonoma
1229.county,Ventua,Ventura
788.county,Riversied,Riverside
629.facilityid,4.0000122E7,240000082
764.facilityname,Hoag Hospital Irvine,Barstow Community Hospital
1436.facilityname,"Kaiser Foundation Hospital, OrangeC ounty, Anaheim","Kaiser Foundation Hospital, Orange County, Anaheim"
535.county,Aameda,Alameda
381.county,Stnaislaus,Stanislaus
1070.county,San Joauin,San Joaquin
131.county,Humobldt,Humboldt
527.facilityid,3.0000122E7,30000146
465.facilityid,2.400001E8,90000146
800.county,os Angeles,Los Angeles
856.facilityid,9.30000114E8,930000108
476.county,iRverside,Riverside
1455.facilityname,Naividad Medical Center,Natividad Medical Center
1387.county,Santa iClara,Santa Clara
1336.county,eSan Francisco,San Francisco
932.facilityid,9.30000008E8,630015029
398.facilityid,1.10000953E8,60000014
973.facilityname,Arrowhead Regional MedicalC enter,Arrowhead Regional Medical Center
962.county,Santao Clara,Santa Clara
411.facilityid,2.40000082E8,630011959
1058.county,range,Orange
1180.county,Lo Angeles,Los Angeles
794.facilityid,9.30000004E8,90000040
869.county,pLos Angeles,Los Angeles
138.facilityid,9.3000004E8,30000120
1291.county,San Bernardno,San Bernardino
1094.facilityid,6.0000002E7,930001543
1262.facilityid,6.0000002E7,930000103
53.facilityname,Alhambra Hospital Medical Center,Feather River Hospital
377.facilityid,9.30000004E8,70000139
318.county,Plaacer,Placer
101.facilityid,9.30000114E8,80000144
634.facilityid,6.0000074E7,70000139
469.facilityid,9.30000002E8,930000157
727.county,Sa Luis Obispo,San Luis Obispo
671.facilityname,Kern Medical Centr,Kern Medical Center
330.facilityname,Fountain Valley Regional Hospita l& Medical Center,Fountain Valley Regional Hospital & Medical Center
827.county,Sacrsamento,Sacramento
1316.facilityid,6.0000002E7,60000073
514.county,Nevda,Nevada
752.facilityid,9.30000034E8,930000129
632.facilityname,Damern Hospital,Dameron Hospital
1184.facilityname,Anaheim Global Medical Center,San Dimas Community Hospital
486.county,San Jokaquin,San Joaquin
420.facilityid,9.3000007E8,80000144
994.county,San qMateo,San Mateo
587.facilityid,1.40000425E8,250000050
811.facilityname,"Kaiser Fonudation Hospital, Baldwin Park","Kaiser Foundation Hospital, Baldwin Park"
873.facilityid,1.40000012E8,80000023
740.county,Amdor,Amador
1225.county,Ornage,Orange
165.county,Stanikslaus,Stanislaus
1075.facilityid,9.30000004E8,250000011
1117.facilityid,4.0000122E7,930000071
120.facilityname,LeAC+USC Medical Center,LAC+USC Medical Center
445.county,Mercemd,Merced
331.facilityid,2.40000082E8,70000153
1468.county,Riversmide,Riverside
995.county,bPlacer,Placer
1063.county,oLs Angeles,Los Angeles
1085.county,San Dieo,San Diego
1077.county,Buttve,Butte
1208.county,Los Aneles,Los Angeles
1416.facilityname,City of Hope Helford Clinical Reserach Hospital,City of Hope Helford Clinical Research Hospital
1149.facilityid,9.3000007E8,120000701
777.facilityid,9.30000012E8,930000132
243.county,Oange,Orange
388.facilityid,8.0000045E7,70000141
1256.county,San Didego,San Diego
1300.facilityid,2.400001E8,630015029
1442.facilityname,"Kaiser Foundatoin Hospital, South Sacramento","Kaiser Foundation Hospital, South Sacramento"
1217.facilityname,Huntington Memorial Hospital,Sutter Surgical Hospital - North Valley
824.facilityid,9.30000008E8,630015029
625.facilityid,2.40000082E8,60001207
692.facilityid,1.40000012E8,240000037
1303.facilityid,4.0000122E7,30000133
925.county,Yloo,Yolo
882.county,San Bernadino,San Bernardino
327.facilityid,1.40000012E8,930000034
1431.facilityname,"Kaiser Foudnation Hospital, Downey","Kaiser Foundation Hospital, Downey"
1478.county,Szan Diego,San Diego
1085.facilityid,9.30000002E8,80000045
1202.county,Riverisde,Riverside
967.facilityid,4.0000122E7,230000016
137.facilityid,9.30000002E8,930000044
651.facilityid,6.0000002E7,930001543
1462.county,Lo Angeles,Los Angeles
739.facilityid,6.0000002E7,70001357
1248.facilityid,9.30000002E8,80000144
1033.county,Sanh Francisco,San Francisco
1387.facilityname,Santa Clara Valley Medial Center,Santa Clara Valley Medical Center
505.facilityid,3.0000117E7,60000067
726.county,San Dieog,San Diego
1192.facilityid,1.40000012E8,80000022
604.facilityid,6.0000002E7,30000141
468.facilityid,6.0000002E7,930000066
1443.county,dSolano,Solano
578.facilityid,3.0000117E7,60000208
807.facilityid,1.40000012E8,250000017
1422.county,Btute,Butte
914.facilityname,USC Verdugo Hills oHspital,USC Verdugo Hills Hospital
993.facilityid,9.30000008E8,630013929
1142.facilityname,Memoria Medical Center,Memorial Medical Center
957.facilityid,9.30000002E8,30001370
188.facilityid,9.30000008E8,930000101
1321.county,lRiverside,Riverside
808.county,Contra Csota,Contra Costa
321.county,Maedra,Madera
1169.facilityid,9.30000114E8,930000091
1442.county,Sacramneto,Sacramento
1457.county,pSanta Clara,Santa Clara
297.facilityid,6.0000002E7,930000072
691.county,oSlano,Solano
1477.facilityname,Scripps Grene Hospital,Scripps Green Hospital
1458.facilityname,Palomar Medwical Center,Palomar Medical Center
1177.facilityname,Ronald Reagaun UCLA Medical Center,Ronald Reagan UCLA Medical Center
1401.facilityname,Valley hildren's Hospital,Valley Children's Hospital
1041.facilityid,9.30000012E8,930000162
1159.county,wButte,Butte
1393.county,cRiverside,Riverside
758.facilityid,4.0000122E7,30000146
415.facilityid,9.30000005E8,630011745
1242.facilityid,1.40000012E8,930000074
760.county,Los Angeless,Los Angeles
749.county,Sacramnto,Sacramento
797.county,Los nAgeles,Los Angeles
1478.facilityname,Scripps Meorial Hospital - La Jolla,Scripps Memorial Hospital - La Jolla
891.county,aSn Diego,San Diego
857.county,Mnterey,Monterey
685.facilityid,1.40000425E8,230000010
248.facilityid,6.0000074E7,30000108
723.facilityname,Beverly Hospital,Scripps Memorial Hospital - Encinitas
1153.facilityname,Montclair Hospital Medical Cneter,Montclair Hospital Medical Center
1357.facilityname,"God Samaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
653.county,San Bernardio,San Bernardino
911.facilityid,9.30000082E8,220000031
1338.facilityname,Uniersity of California Irvine Medical Center,University of California Irvine Medical Center
457.county,Santa Clra,Santa Clara
141.facilityname,Anaheim Global Medical Center,Memorial Hospital Los Banos
1133.county,San Bernaredino,San Bernardino
775.facilityid,1.40000012E8,60000007
1452.county,Los oAngeles,Los Angeles
464.county,Riversied,Riverside
274.facilityid,6.0000002E7,50000039
1482.county,San Joalquin,San Joaquin
1415.facilityname,Citrus Valley Medical Center - Q Campus,Citrus Valley Medical Center - QV Campus
1027.facilityname,Adventist Medical Center,"St. Joseph Hospital, Eureka"
426.county,Kenr,Kern
723.facilityid,7.0001355E7,80000150
639.county,Ornage,Orange
593.county,Sata Barbara,Santa Barbara
1073.county,Los Anglees,Los Angeles
1335.facilityname,UC San Diego Health Hillcrest - Hillcrest Medkical Center,UC San Diego Health Hillcrest - Hillcrest Medical Center
843.county,Santa Claa,Santa Clara
814.facilityid,2.400001E8,40000949
528.facilityid,6.0000074E7,220000019
517.facilityname,Alta Bates Summit Medical Center,Twin Cities Community Hospital
131.facilityid,9.3000007E8,110000021
500.facilityname,St John Regional Medical Center,St Johns Regional Medical Center
1181.facilityname,Saint Louise egional Hospital,Saint Louise Regional Hospital
1385.facilityname,Ronald Reaga nUCLA Medical Center,Ronald Reagan UCLA Medical Center
1201.county,Tuloumne,Tuolumne
776.county,San ernardino,San Bernardino
1002.county,ern,Kern
761.facilityname,Antelope Vlaley Hospital,Antelope Valley Hospital
711.facilityid,3.0000122E7,40000126
355.facilityname,oAlta Bates Summit Medical Center - Alta Bates Campus,Alta Bates Summit Medical Center - Alta Bates Campus
1416.county,mLos Angeles,Los Angeles
1473.facilityname,San Ramon Rnegional Medical Center,San Ramon Regional Medical Center
964.facilityid,1.40000425E8,60000066
912.facilityid,4.0000122E7,110000070
1431.county,os Angeles,Los Angeles
566.county,Los tAngeles,Los Angeles
1273.facilityid,6.3001296E8,930000004
1437.facilityname,"Kaiser Foundation Hospital, Panmorama City","Kaiser Foundation Hospital, Panorama City"
1123.county,Lo sAngeles,Los Angeles
1460.county,Okrange,Orange
1482.facilityname,St. Joseph's Medical Center Of Stocktno,St. Joseph's Medical Center Of Stockton
746.facilityid,9.30000008E8,90000154
747.county,an Francisco,San Francisco
1255.facilityname,Northridge Hospital Medical Cetner,Northridge Hospital Medical Center
706.county,Sanrta Clara,Santa Clara
859.county,Solzano,Solano
1026.facilityid,7.0000139E7,140000041
1241.facilityname,Huntington Memorial Hospitla,Huntington Memorial Hospital
612.facilityid,1.40000425E8,930000191
517.facilityid,3.0000121E7,50000037
1067.facilityid,6.3001296E8,140000195
712.county,Los Angelse,Los Angeles
1121.county,oCntra Costa,Contra Costa
1173.county,Yubta,Yuba
302.county,San Bernardion,San Bernardino
1011.county,Monerey,Monterey
271.facilityid,9.3000004E8,40000129
518.county,San Digeo,San Diego
1134.county,Los Angelse,Los Angeles
809.county,Solaon,Solano
1314.facilityid,9.30000004E8,930000108
1050.county,ElDorado,El Dorado
826.facilityname,Alhambra Hospital Medical Center,"Kaiser Foundation Hospital, Santa Rosa"
184.facilityname,rovidence Holy Cross Medical Center,Providence Holy Cross Medical Center
1015.county,Rivrside,Riverside
1117.county,Los Angeels,Los Angeles
72.facilityid,6.3001296E8,240000014
976.county,Alamea,Alameda
933.facilityid,9.30000114E8,70001355
903.county,LosA ngeles,Los Angeles
763.county,Kenr,Kern
1370.county,Kcern,Kern
394.county,SanDiego,San Diego
714.county,San Benardino,San Bernardino
606.county,San Franciscyo,San Francisco
243.facilityname,"St. Joseph Hospitazl, Orange","St. Joseph Hospital, Orange"
1310.county,San Benrnardino,San Bernardino
466.county,Los Angelse,Los Angeles
315.facilityname,"St. Mary Medical Centre, Long Beach","St. Mary Medical Center, Long Beach"
630.county,Venqtura,Ventura
1063.facilityid,6.0000074E7,930000082
1483.facilityname,"St. Mary Mediacl Center, Long Beach","St. Mary Medical Center, Long Beach"
855.facilityid,9.30000114E8,240000009
112.facilityid,1.40000425E8,140000190
682.facilityid,6.3001296E8,40000111
927.facilityname,Cedars-Sinai Meidcal Center,Cedars-Sinai Medical Center
982.facilityid,2.40000082E8,250000008
335.facilityid,9.30000114E8,140000188
935.facilityid,1.10000378E8,240000005
1217.facilityid,9.30000005E8,630011844
205.facilityid,9.30000008E8,240000053
1072.county,Sant Cruz,Santa Cruz
182.facilityid,9.30000005E8,930000123
1411.county,Alaeda,Alameda
568.facilityid,9.30000012E8,240000027
645.facilityid,1.40000425E8,140000034
721.county,Sonoa,Sonoma
70.facilityid,9.3000007E8,250000012
1324.facilityid,2.40000082E8,70000147
1091.county,os Angeles,Los Angeles
918.facilityid,1.40000012E8,630010957
1373.county,Los Anegles,Los Angeles
545.county,iverside,Riverside
1135.facilityid,1.40000425E8,50000020
1082.county,os Angeles,Los Angeles
69.facilityname,AHMC Anaheim Regional Medical Center,Hazel Hawkins Memorial Hospital
850.county,Mrced,Merced
1388.county,Los Anegles,Los Angeles
657.county,Oranbge,Orange
1270.facilityid,4.0000122E7,240000100
659.county,Riversied,Riverside
952.county,acramento,Sacramento
1303.county,Sacrameto,Sacramento
623.facilityid,4.0000126E7,930000022
508.facilityid,9.30000034E8,240000104
946.facilityid,6.3001296E8,930000034
164.facilityid,2.400001E8,110000982
28.facilityid,9.30000005E8,930000038
385.facilityid,9.30000005E8,60000011
276.facilityid,9.30000002E8,240000054
1346.facilityname,Cedar-sSinai Medical Center,Cedars-Sinai Medical Center
100.facilityid,2.400001E8,30000130
730.facilityname,South Coast Global Medical Cenetr,South Coast Global Medical Center
393.county,Loss Angeles,Los Angeles
240.facilityid,9.30000005E8,230000020
1035.county,Oraknge,Orange
1019.facilityname,Sanota Barbara Cottage Hospital,Santa Barbara Cottage Hospital
920.facilityid,9.30000008E8,140000118
1494.facilityname,uckerberg San Francisco General Hospital and Trauma Center,Zuckerberg San Francisco General Hospital and Trauma Center
1366.county,Sacraemnto,Sacramento
74.facilityid,6.0000074E7,60001022
1372.facilityname,Loma Linda University Children's Howspital,Loma Linda University Children's Hospital
530.facilityid,6.0000002E7,240000100
773.county,Oraneg,Orange
1239.county,Oraneg,Orange
