characteristic,sex,raceethnicity,familystructure,year,percentage,marginoferror
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,12.3%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,12%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2001,2.1%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2002,2.2%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2001,2.4%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2002,3.3%,1.4%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,81.8%,3.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,81.9%,3.2%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,13.2%,2.7%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,13.5%,2.8%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2001,1.9%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2002,1.8%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2013,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2001,3.1%,1.4%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2002,2.7%,1.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2009,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2010,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2012,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2013,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2001,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2002,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2003,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2004,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2005,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2006,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2007,88.2%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2008,87.2%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2009,84.4%,3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2010,85.4%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2011,86.9%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2012,87%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2013,86.6%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2002,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2003,83.9%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2004,83.6%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2005,84.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2006,84.4%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2007,86.3%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2008,85.7%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2009,83.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2010,84.8%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2011,85.8%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2013,84.9%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2001,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2002,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2003,9.8%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2004,11.9%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2006,8.5%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2008,8.9%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2009,10.7%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2010,10.5%,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2011,9.3%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2012,9.1%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2013,9%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2001,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2002,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2005,3.2%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2006,3.8%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2007,1.5%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2008,1.9%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2010,1.8%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2011,1.1%,0.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2012,2.2%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2013,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2001,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2002,NULL,NULL
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2003,2.9%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2005,2.8%,1.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2008,2%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2010,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2011,2.7%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2013,2%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2001,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2002,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2003,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2004,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2005,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2006,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2008,83.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2009,86.1%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2010,85.6%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2011,87.5%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2012,84.8%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2013,85.5%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2002,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2003,82.9%,3.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2005,84.4%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2006,84%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2007,84.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2008,82.6%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2010,83.5%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2011,85.5%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2012,82.4%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2013,84.2%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2001,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2002,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2003,11.4%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2004,12.3%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2005,10%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2006,10%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2007,9.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2008,11.2%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2009,9.5%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,2.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2012,10.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2013,10.1%,2.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2001,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2002,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2003,2.4%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2004,1.8%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2005,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2007,1.8%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2009,2.7%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2010,2.7%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2011,1.5%,1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2012,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2013,2.5%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2001,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2002,NULL,NULL
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2004,2.8%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2005,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2006,2.6%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2007,1.9%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2008,2.8%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2009,1.7%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2010,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2011,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2012,2.4%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2013,1.9%,1.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2001,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2002,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2003,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2004,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2005,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2006,NULL,NULL
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2007,61.5%,4.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2008,61.4%,4.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2009,60.7%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2010,63.2%,4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2011,61.1%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2012,62.4%,3.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2013,58.6%,3.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2001,60%,7.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2002,50.5%,7.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2003,58.9%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2004,57.1%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2005,58.1%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2006,54.1%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2007,56.5%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2008,55.7%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2009,56.1%,4.2%
"All other, non-Hispanic",Male,All other non-Hispanic,Two married parents,2010,57.5%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2011,54.6%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2012,55.8%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2013,53.6%,3.7%
"All other, non-Hispanic",Male,"All other, qnon-Hispanic",Mother only,2001,25.9%,6.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2002,34.1%,6.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2003,28.2%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2004,28.9%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2005,29.2%,4.1%
