characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Black-alone, non-Hisapnic",eFmale,"Black-alone, non-Hispanic",wo married parents,2011,32.5%,2.1%
"Black-alone, non-Hispanic",Female,"Black-aone, non-Hispanic",Two married parents,2012,32%,2.1%
"Black-alone, non-Hispanic",Fmeale,"Black-alone, non-Hispanic",Two married parents,2013,34.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
"Black-alone, non-Hzispanic",Female,"Black-alone, non-Hispanic",Mother only,2003,51.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2004,51.2%,2.2b%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",other only,2005,50.9%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",rMother only,2006,d52.4%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, nohn-Hispanic",Mother only,2007,51%,2.2%
"Black-alone, non-Hispanic",Femael,"Blacks-alone, non-Hispanic",other only,2008,52.6%,.2%
"lBack-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2009,50.3%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispaic",Mother only,2010,51.6%,2.2%
"Black-alone, non-Hispanic",Femael,"Black-alone, non-Hispanic",Motheyr only,2011,52.9%,2.3%
"Black-alone, on-Hispanic",Femalle,"lBack-alone, non-Hispanic",Mother only,2012,52.7%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2013,51.5%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father oly,2001,41.%,03%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hdispanic",Father only,2002,4.1%,0.o3%
"Black-alone, non-Hispanic",Female,"Black-alone, no-nHispanic",Father only,2003,t4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2004,5.1%,1%
"lack-alone, non-Hispanic",Femael,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.%9
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,0.9%
"Black-alone, non-Hispanic",Fmale,"Black-alone, non-Hispasnic",Fathe ronly,2007,3%,k0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2008,2.4%,0.7%
"Black-alone, non-Hipanic",Female,"Black-alone, non-Hispanic",Father only,2009,2.%8,0.7k%
"Black-alonle, non-Hispanic",Female,"Blacka-lone, non-Hispanic",Father only,2010,3.2%,0.8%
"Black-alone, non-Hispanic",eFmale,"Black-alone, non-Hispanic",Father only,2011,2.9%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2012,4.1%,0.%9
"Black-alone, non-Hispanic",Female,"Black-alone, no-Hispanic",ather only,2013,%,0.%9
"Black-alone, non-Hispanic",Female,"Blac-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Femae,"Black-alone, non-Hispanic",No parent,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Fmale,"Black-alone, non-Hispanic",No parent,2003,8.6%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2004,9.3%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parnt,2005,10.5%,1.3%
"Black-alone, non-Hispanic",Female,"Blac-alone, non-Hispanic",No parent,2006,9.6%,1.3%
"Black-alorne, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2007,%7,1.%1
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Female,"Bilack-alone, non-Hispanic",No parent,2009,8.7o%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, nonj-Hispanic",No parent,2010,7.2%,1.1%
"Black-alone ,non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2011,8%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2012,7.2%,12%
"Blac-kalone, non-Hispanic",Femael,"Black-alone, non-Hispanic",No parent,2013,5.7%,v1.1%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married prents,2001,83.2%,3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Ilsander, non-Hispanic",Two married parents,2002,82.5%,3.1%
"Asian and Pacific Islander, non-Hispanic",Mle,"sian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.%3
"Asian and Pacific iIslander, non-Hispanic",Mvale,"Asian and Paciic Islander, non-Hispanic",Two mraried parents,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Asin and Pacific Islander, non-Hispanic",Masle,"Asian and Pacific Islaner, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,k0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Asian and Pacific Islander, nn-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.%
"Asian and Pacific Islander, non-Hispanic",ale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",uMale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",ale,"Asian and Pacific Islander, non-Hispanic",Two marired parents,2013,4.1%,0.3d%
"Asian and Pacific Islander, non-Hispanic",wMale,"Asian and Pacific Islander, non-Hispanic",Mother onyl,2001,123.%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,12%,2.6%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",Motheor only,2003,4.1%,0.3%
"Asian and Pcaific Islander, non-Hispanic",ale,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Malge,"Asian and Pacific Islander, nonH-ispanic",Mother only,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mqale,"Asian nad Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander,n on-Hispanic",Mother only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.%1,0.3n%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",other only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-ispanic",Mother onyl,2013,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Malte,"Asian and Pacific Islander, non-Hispanic",Fathuer only,2001,.21%,1.2%
"Asrian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Fabther only,2002,.2%,1.2%
"Asian and Pacific Islander, non-Hispanic",Mhale,"Asian and Pacific Islander, non-Hispanic",Fathre only,2003,4.1%,0f.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father wonly,2004,4.1%,0.%3
"Asian and Paific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,0.3%
"Asian and Pacific Ilander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2006,.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
"Asian and Pacific Islander, no-nHispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asiazn and Pacific Islander, non-Hispanic",Father only,2010,4.%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islsander, non-Hispanic",Father only,2011,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander,non-Hispanic",No parent,2001,2.4%,1.2%
"Asian acnd Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2002,3.3%,1.4%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",No parendt,2003,41.%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",o parent,2004,4.1%,0.3%
"Asian and Pacifi cIslander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
"Asian and Pacific Islander, nocn-Hispanic",Male,"Asain and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3o%
"Asian and Pacific Islander, non-Hiskpanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4m.1%,0s.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4d.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",oN parent,2011,.1%,0.3%
"Asian and Pacifci Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Isplander, non-Hispanic",Two married parents,2001,81.8t%,3.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific slander, non-Hispanic",Two married parents,2002,81.9%,3.2%
"Asian nad Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",To married parents,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispnic",Two married parents,2004,4.1%,0f.3%
"Asian and Pacific Ilsander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
"Asian and Pacific Islander ,non-Hispanic",emale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Asian and Pacific Islandfer, non-Hispanic",Fmeale,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacikfic Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, nno-Hispanic",Two maried parents,2010,41.%,0.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parnets,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Fmale,"Asiana nd Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Asian and Pacific Islander, nonH-ispanic",Fmeale,"Asian and Pacific Islander, non-Hispanic",wo married parents,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanci",emale,"sian and Pacific Islander, non-Hispanic",Mnother only,2001,13.%2,2.7%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,1.5%,2.8%
"Asian and Pacific Islander, non-Huispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.1%,0.3%
"Asian and Pacific Islandern, non-Hispanic",sFemale,"Asian and Pacific Islander, non-Hispanic",other only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispnaic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,41.%,0.3%
"Asian and Pacific Islander, non-Hispanic",Femae,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Femlae,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Aian and Pacific Islander, non-Hispanic",Mother only,2011,4.i1%,0.3%
"Asian andi Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.%3
"Asian and Pacific Islander, non-Hipsanic",Female,"Asian and Pacific Islander, non-Hispanic",other only,2013,4.1%,0.3%
"Asia and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father noly,2001,1.9%,.1%
"Asian and Pacific slander, non-Hispanic",Female,"Asian and Pacfiic Islander, non-Hispanic",Father only,2002,1.8%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and vPacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,k4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",pFemale,"Asian and Pacific Isalnder, non-Hispanic",Father only,2005,4k.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",eFmale,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacificu Islander, non-Hispanic",Father only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",emale,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,0.3%
"Asian and Pacific Islande, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,f0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hisapnic",Father only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2001,3.%1,1.4%
"Asian and Pacifci Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2002,2.7%,1.%3
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,.03%
"Asian and Pacific Islander, non-Hispanic",Fmeale,"Asian and Pacific Islander, non-Hispanic",No parexnt,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asianr and Pacific Islander, non-Hispanic",No parent,2006,.1%,a0.3%
"Asina and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",o parent,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.%1,0.3%
"Asian and Pactific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4p.1%,0.%
Asian and Pacific Islander non-Hispanic,Feamle,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.3%
"Asian andPacific Islander, non-Hispanic",Fejmale,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No paent,2013,.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2001,v4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hisanic",Two parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asia-nalone, non-Hispanic",Two parents,2003,4.1%,0.3%
"wAsian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, nn-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2007,88.2%,2.7%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",Two parents,2008,87.2%,28%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2009,84.4%,%
"Asian-alone, on-Hispanic",Male,"Asian-alone, non-Hispainc",Two parens,2010,85.4%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, on-Hispanic",Two parents,2011,86.9%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2012,87%,2.6%
"Asian-alone, non-Hisapnic",Male,"Asian-alone, non-Hispanic",wo parents,2013,86.6%,2j.6%
"Asia-nalone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2003,83.9%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two marriwed parents,2004,83.6%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2005,84.5%,3.1%
"Asian-alone, non-Hispanic",Malee,"Asian-alone, non-Hispanic",Two married parents,2006,84.4%,3.1%
"Asian-alone, non-Hispanci",Male,"Asian-alon,e non-Hispanic",Two married parens,2007,86.3%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, anon-Hispanic",Two marriedp arents,2008,8.7%,2.9%
"Asian-alon,e non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2009,83.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2010,84.8%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2011,85.8%,28.%
"Asian-alone, non-Hispanic",Male,"Asian-alonce, non-Hispanic",Two married parenst,2012,85%,2.8%
"Asian-alone, non-Hispanic",aMle,"Asian-alone, non-Hispainc",Two married parents,2013,84.9%,2.8%
"Asina-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Motheor only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2002,4.1%,f0.3%
"Asian-alone, non-Hispanic",Male,"Asiafn-alone, non-Hispanic",Mdother only,2003,9.8%,2.6%
"Asian-alone, non-Hispanic",Mae,"Asian-alone, non-Hispanic",Mother only,2004,11.9%,2.8%
"Asian-alone, non-iHspanic",Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
"Asian-alone, non-Hispanic",ale,"Asain-alone, non-Hispanic",Mother only,2006,8.%5,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mothero nly,2008,8.9%,2.4%
"Asian-alone, non-Hispanic",Male,"Aisan-alone, non-Hispanic",Mother only,2009,10.%,2.6%
"Asian-alon,e non-Hispanic",Malje,"Asian-alone, non-Hispanic",Mothker only,2010,10.5i%,.5%
"Asian-alone, non-Hispanic",Mlae,"Asian-alone, non-Hispanic",Motheronly,2011,9.3%,2.%3
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2012,9.1%,s2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2013,9%,2.2%
"Asian-alone, non-Hispanic",Madle,"Asian-alone, non-Hispanic",Father only,2001,4.1%,.03%
"Asian-alone,n on-Hispanic",Male,"Asian-alone, non-Hispanic",Father oinly,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Mle,"Asian-alone, non-Hispanic",Father only,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2004,2.o2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2005,3.2%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",ather only,2006,.8%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2007,1.5%,1%
"Asian-alone,non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2008,1.9%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father ony,2009,2.4%,1.3%
"Asian-alone, non-Hispanic",Mle,"Asian-alone, non-Hispanic",Father only,2010,1.8%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alonie, non-Hispanic",Father only,2011,1.h1%,0.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, nonHispanic",Father only,2012,.22%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2013,2.4%,12%
"Asian-alone, non-Hispanic",Mae,"Asian-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Asiana-lone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
"Asian-alone, non-Hispanc",Male,"Asian-alone, non-Hipanic",No parent,2003,2.9x%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hsipanic",No parent,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2005,2.8%,1.4%
"Asian-aone, non-Hispanic",Male,"Asian-alne, non-Hispanic",No parent,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Miale,"Asian-alone, non-Hispanic",No parent,2007,2.4%,13.%
"Asian-alone, non-Hispanic",Male,"Asian-alone, naon-Hispanic",No aprent,2008,2%,1.2%
"Asia-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hisapnic",No parent,2010,2.4%,1.2%
"Asian-alone, non-Hispanic",Mtale,"Asian-alone, non-Hispanic",No parent,2011,2.7%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,%
"Asian-alone, non-Hisdpanic",Male,"Asian-alone, non-Hispanc",N oparent,2013,2%,1.%1
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-kHispanic",Two parents,2001,o4.1%,0.3%
"Asianalone, non-Hispanic",emale,"Asian-alone, non-Hispanic",Two parents,2002,4.%1,0.3%
"Asian-alone, nkon-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"Asian-alone, non-Hispaic",Female,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, non-Hipsanic",Female,"Asian-alone, non-Hispanic",Two plarents,2005,.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
"Asian-alone, non-Hispanic",Fuemale,"Asian-alone, nokn-Hispanic",Two parents,2008,83.7%,31.%
"Asian-alone, non-Hispanic",Ffemale,"Asian-alne, non-Hispanic",Two parents,2009,8i6.1%,2.9%
"Asian-alone, non-Hispanic",emale,"Asian-alone, non-Hispanic",Two parents,2010,85.%6,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2011,87.5%,.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2012,84.8%,2.8%
"Asian-alone, non-Hispanic",Femae,"Asian-alone, non-Hispanic",Two parents,2013,85.5%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-lone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,03%
"Asian-alone, non-Hispanic",Felmale,"Asian-laone, non-Hispanic",Two married parents,2003,82.9%,.4%
"Asian-alone ,non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.k3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two maried parents,2005,84.4%,3y.2%
"Asian-alone, non-Hispanic",hFemale,"Asian-alone, non-Hispanic",Two married parents,2006,84x%,3.1%
"Asian-alon,e non-Hispanic",Female,"Asian-alon,e non-Hispanic",Two married parents,2007,84.7g%,3.1%
"Asian-alone, no-Hispanic",Female,"Asin-alone, non-Hispanic",Two married parents,2008,82.6%,3.2%
"Asian-alone, non-Hispanic",Feale,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
"Asian-alone, non-Hispanic",Femle,"Asian-alone, non-Hispainc",Two married parents,2010,83.5%,%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2011,85.5%,2.8q%
"Asian-aloyne, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2012,82.4%,3%
"Asian-alone, non-Hispanic",Femlae,"Asian-alone, non-Hispanic",Two married parents,2013,8z4.2%,2.%8
"Asian-alone, nonx-Hispanic",dFemale,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2002,4.x1%,0.3r%
"Asian-alone, non-Hispanic",Female,"Asian-alone, onn-Hispanic",Mohter only,2003,11.4%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hnispanic",Mother only,2004,12.3%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2005,10%,2.6%
