4721.zip,744471217,74447-1217
5634.cd,421,4821
290.csa,48,348
2855.cnty,39803,39083
1706.namevalue,leary University,Cleary University
3283.cbsa,1446t0,14460
6065.statevalue,N,IN
914.sldl,1324,13124
5274.cnty,06307,06037
2234.necta,***,N
4329.nmcsa,***,N
3907.statevalue,WbV,WV
773.street,"014 U.S. Highway 19 North, Suite 250","6014 U.S. Highway 19 North, Suite 250"
4485.necta,,N
2168.nmcsa,"Bosotn-Worcester-Providence, MA-RI-NH-CT","Boston-Worcester-Providence, MA-RI-NH-CT"
5546.nmcnty,Honoluu County,Honolulu County
3647.street,225 College aPrk Drive,225 College Park Drive
4268.necta,aN,N
2607.street,7418 NC Hwy4 1 West,7418 NC Hwy 41 West
4271.nmcbsa,"Ceape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL"
2333.necta,eN,N
1121.city,Chidcago,Chicago
3315.nmcnty,Charlesthon County,Charleston County
4599.necta,,N
2937.sldu,0009,40009
6658.statevalue,R,PR
619.nmcsa,"Denvecr-Aurora, CO","Denver-Aurora, CO"
1069.nmcnty,Cok County,Cook County
3210.zip,16601-2i419,16601-2419
1725.city,Royal Oxak,Royal Oak
2401.nmcnty,Erie Couty,Erie County
211.sldl,0v6034,06034
6828.nmcnty,Davidson Couny,Davidson County
2743.csa,rN,N
3132.zip,166r52-2196,16652-2196
2538.sldu,3602,36042
1903.nmcsa,***,N
1702.cd,614,2614
1864.zip,55341,55431
1276.nmcsa,"Omaha-Council Bluffs-Fremont, NE-A","Omaha-Council Bluffs-Fremont, NE-IA"
2898.namevalue,Rabbinical Collee Telshe,Rabbinical College Telshe
6296.cnty,55205,55025
5895.cbsa,5620,35620
1534.nmnecta,,N
760.sldu,21003,12003
120.sldl,40024,04024
298.locale,1,21
445.city,Berkelaey,Berkeley
421.sldl,06024,06042
3365.sldu,4601g2,46012
3471.nmnecta,xN,N
4747.nmcbsa,"Mimi-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL"
2764.stfip,9,39
475.cbsa,4h1740,41740
6256.city,Chicaog,Chicago
1255.cd,9103,1903
6496.statevalue,YN,NY
1541.sldu,24z042,24042
3388.namevalue,Cumberyland University,Cumberland University
551.csa,88,488
1341.sldl,200c79,20079
2984.nmcnty,Tusa County,Tulsa County
5158.zip,2513-8987,25813-8987
1076.nmcnty,iCook County,Cook County
6382.nmcnty,Marion Cuonty,Marion County
4986.nmcbsa,"Saettle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA"
374.schoolyear,2021k-2022,2021-2022
5912.nmcbsa,"Worcnester, MA-CT","Worcester, MA-CT"
2866.locale,2o3,23
2425.street,525Falconer St,525 Falconer St
2355.sldu,63035,36035
869.street,2277 Martha Berry wy NW,2277 Martha Berry Hwy NW
6687.cnty,0605w9,06059
2977.street,535 W. dMain,535 W. Main
1479.csa,348,438
2252.locale,12,21
4719.stfip,2,12
4677.street,p2 Roman Blvd,2 Roman Blvd
3045.cnty,k42091,42091
5046.street,13e180 Paramount Blvd.,13180 Paramount Blvd.
3018.schoolyear,0221-2022,2021-2022
3038.zip,9721-3367,97215-3367
239.zip,9074m7-0005,90747-0005
2665.stfip,3a7,37
3948.locale,24,42
758.statevalue,FhL,FL
3412.necta,,N
3201.sldl,2023,42023
3871.necta,tN,N
6495.necta,***,N
2785.nmcsa,"Columbus-Mario-nZanesville, OH","Columbus-Marion-Zanesville, OH"
6828.csa,400***,400
1273.namevalue,Southwestern Communiyt College,Southwestern Community College
6106.sldl,12l110,12110
4669.nmcnty,Bayamónn Municipio,Bayamón Municipio
5181.csa,307,370
5703.locale,11***,11
4046.nmcnty,Poince Municipio,Ponce Municipio
1002.nmcnty,McHenry Countzy,McHenry County
4654.stfip,45,54
4554.cnty,25u017,25017
1901.zip,8610,38610
296.stfip,0p6,06
540.nmcbsa,"Oxnard-Thousand Oaks-Ventura, sCA","Oxnard-Thousand Oaks-Ventura, CA"
4818.cbsa,3030f0,30300
1292.sldl,2005,20075
5293.sldu,0102,01002
3585.city,Houstno,Houston
6570.nmcbsa,"Detroit-Warren-Dearobrn, MI","Detroit-Warren-Dearborn, MI"
1999.stfip,2d9,29
6747.nmcbsa,"Chambersbrg-Waynesboro, PA","Chambersburg-Waynesboro, PA"
2889.stfip,9,39
4104.necta,gN,N
4815.sldu,22093,22039
5060.zip,7e8752,78752
5489.cbsa,4a7900,47900
1875.street,8700 CollegeV iew Drive,8700 College View Drive
2894.nmcsa,"Dayton-Springfield-Kettpering, OH","Dayton-Springfield-Kettering, OH"
952.nmcsa,"Boise City-Mountain Home-Ontario, ID-R","Boise City-Mountain Home-Ontario, ID-OR"
3118.stfip,2,42
697.nmcbsa,"Washington-ArlingtonA-lexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV"
2809.sldu,3027,36027
4887.namevalue,Pacific Islands niversity,Pacific Islands University
65.necta,***,N
208.schoolyear,20k21-2022,2021-2022
5029.namevalue,Charlie's Guard-Detective Burenau and Academy Inc,Charlie's Guard-Detective Bureau and Academy Inc
1553.street,47645 Collgee Drive,47645 College Drive
3812.namevalue,Everett Community Colrlege,Everett Community College
1898.nmcbsa,"Minneapoli-sSt. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI"
1836.stfip,72,27
119.csa,49,429
123.stfip,4,04
5717.cbsa,3860,38060
3242.namevalue,Thiel xCollege,Thiel College
4538.nmcnty,Clarke pCounty,Clarke County
6662.cd,810,4810
1599.sldu,25033***,25033
1956.schoolyear,2021e-2022,2021-2022
1661.street,84 Alfor dRoad,84 Alford Road
3646.csa,325,352
1063.nmcsa,,N
2913.cbsa,54780,45780
319.nmcsa,"os Angeles-Long Beach, CA","Los Angeles-Long Beach, CA"
217.zip,85g281,85281
688.sldl,10013,10031
5156.street,6601 Shellmon St,6601 Shellmond St
3636.sldu,48031,48013
5737.cd,49f03,4903
5900.necta,,N
5417.nmcbsa,"Atlanta-Sandy oSprings-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA"
4658.sldl,11212,12112
19.sldl,00126,01026
4075.nmcsa,"San Juan-Bayamó,n PR","San Juan-Bayamón, PR"
3825.necta,***,N
3441.nmcbsa,"Memphsi, TN-MS-AR","Memphis, TN-MS-AR"
5780.cbsa,35260,35620
3628.necta,iN,N
4810.cnty,22z051,22051
1826.cnty,27207,27027
5945.nmcsa,"Los Angeles-Long each, CA","Los Angeles-Long Beach, CA"
4166.locale,12,21
2581.namevalue,uUtica College,Utica College
4280.city,Nwport,Newport
1585.city,Flal River,Fall River
6828.sldu,47x019,47019
3726.statevalue,xVA,VA
3990.nmcsa,"San Juan-aByamón, PR","San Juan-Bayamón, PR"
4618.nmnecta,yN,N
328.city,San Dziego,San Diego
624.street,126 Park Aenue,126 Park Avenue
5019.cd,4790,4709
757.stfip,1a2,12
3535.namevalue,Jacksonxville College-Main Campus,Jacksonville College-Main Campus
20.schoolyear,202-2022,2021-2022
6116.locale,s11,11
3878.nmcnty,Rpandolph County,Randolph County
6391.city,niversal City,Universal City
6584.nmcnty,Villlba Municipio,Villalba Municipio
2666.cd,310,3710
5881.nmcnty,Lso Angeles County,Los Angeles County
5612.city,Litle Rock,Little Rock
2095.cbsa,25704,25740
6692.schoolyear,20212022,2021-2022
4436.nmcnty,Alameda Conty,Alameda County
2404.statevalue,YN,NY
3785.schoolyear,202f1-2022,2021-2022
2195.nmnecta,***,N
3089.zip,19c104,19104
1384.nmnecta,,N
6551.sldu,2n7002,27002
2232.street,5518 Bergenlinje Ave,5518 Bergenline Ave
6801.sldu,2901,29001
3386.nmcnty,Shxelby County,Shelby County
2843.nmcsa,"Columbkus-Marion-Zanesville, OH","Columbus-Marion-Zanesville, OH"
5284.nmcsa,"Washington-Baltimore-Arlingtno, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
2967.namevalue,Oklahoma City Communty College,Oklahoma City Community College
40.zip,5632-0001,35632-0001
3932.csa,3k76,376
3565.csa,288***,288
5759.statevalue,bHI,HI
1199.nmcbsa,"Evnasville, IN-KY","Evansville, IN-KY"
5167.schoolyear,2021-222,2021-2022
5166.stfip,6,06
3379.statevalue,sTN,TN
1439.city,Eunce,Eunice
3375.nmcnty,Shelbye County,Shelby County
1233.nmcbsa,oN,N
4949.street,"10304 Spotsylvania Av,e Suite 400","10304 Spotsylvania Ave, Suite 400"
4366.locale,3,33
4945.schoolyear,2021-2c022,2021-2022
502.cd,6005,0605
4000.nmcsa,"SanJ uan-Bayamón, PR","San Juan-Bayamón, PR"
3175.sldu,24047,42047
3072.stfip,4o2,42
4943.nmnecta,***,N
19.city,Albertvile,Albertville
5663.nmcsa,"Nemw York-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
515.schoolyear,2021-2022***,2021-2022
5793.street,438 Colonial Boulevard,4387 Colonial Boulevard
5557.zip,05107-1331,01507-1331
5058.schoolyear,021-2022,2021-2022
422.schoolyear,201-2022,2021-2022
6409.street,6414 dOana Road,6414 Odana Road
2513.nmcbsa,"Rochestegr, NY","Rochester, NY"
5334.locale,1,11
2147.cnty,32u031,32031
1474.nmnecta,lN,N
6428.nmnecta,hN,N
1932.statevalue,oMS,MS
679.namevalue,Danw Career Institute LLC,Dawn Career Institute LLC
2514.locale,3,33
2376.cbsa,356e20,35620
2830.cd,3970,3907
5953.nmnecta,eN,N
4327.nmcsa,,N
3288.cnty,5013,45013
1819.csa,387,378
6510.street,2200 E Kenwood lBvd,2200 E Kenwood Blvd
4715.namevalue,Aviationg Institute of Maintenance-Norfolk,Aviation Institute of Maintenance-Norfolk
2129.sldl,xN,N
1600.statevalue,MmA,MA
1706.nmnecta,yN,N
5077.namevalue,Technical Learnng Centers Inc,Technical Learning Centers Inc
81.namevalue,Ariznoa State University-Polytechnic,Arizona State University-Polytechnic
4203.csa,,N
5786.csa,***,N
443.nmcsa,"San Joxse-San Francisco-Oakland, CA","San Jose-San Francisco-Oakland, CA"
4684.nmcsa,kN,N
3765.street,09 Campus Drive,109 Campus Drive
5019.stfip,4o7,47
5991.locale,12,21
6303.city,Thomasvlile,Thomasville
5044.cbsa,3080,31080
3432.locale,11***,11
4209.nmcbsa,"Cape Coral-Fort Mypers, FL","Cape Coral-Fort Myers, FL"
706.nmcnty,Oxrange County,Orange County
858.sldl,13135,13153
6216.nmnecta,,N
1840.nmcbsa,"Faribault-Northifeld, MN","Faribault-Northfield, MN"
3065.namevalue,Bucknell Unievrsity,Bucknell University
3983.statevalue,GzU,GU
5421.cd,130g5,1305
4915.namevalue,Texas Barber College - Branch Campu #2,Texas Barber College - Branch Campus #2
4663.zip,64810-5017,64801-5017
3300.nmcnty,Darington County,Darlington County
5017.sldl,48180,48108
183.cd,0540,0504
877.cd,13m02,1302
3212.street,1025 Old Wyoxmissing Road,1025 Old Wyomissing Road
5546.locale,1,11
935.cnty,1003,15003
246.sldl,b06007,06007
5218.locale,g21,21
3553.zip,7p9407,79407
6.csa,***,N
3269.statevalue,AP,PA
6312.nmcnty,PalmB each County,Palm Beach County
5865.nmcnty,Clark Conuty,Clark County
2413.zip,d10035-2737,10035-2737
4487.namevalue,Coconino Community Cokllege,Coconino Community College
4218.street,1140e Alton Rd,1140 Alton Rd
4804.sldu,5033,45033
540.street,4p667 Telegraph Rd,4667 Telegraph Rd
4987.stfip,4e0,40
4983.cnty,06p037,06037
4677.city,Monswey,Monsey
4274.city,Ava,Alva
3461.cd,47c01,4701
5194.namevalue,MyrAngel Beazuty Institute,MyrAngel Beauty Institute
151.namevalue,Paul Mitchell the chool-Little Rock,Paul Mitchell the School-Little Rock
3362.zip,57007-189b8,57007-1898
6629.cnty,4029,34029
1436.nmcbsa,"Shrevepotrt-Bossier City, LA","Shreveport-Bossier City, LA"
4649.csa,g490,490
5232.necta,***,N
284.nmnecta,,N
4356.nmcsa,"Altoona-Huntigngdon, PA","Altoona-Huntingdon, PA"
213.cnty,60073,06073
211.cnty,0609,06029
216.sldl,00669,06069
5882.cnty,71115,17115
263.locale,11***,11
2520.necta,zN,N
120.zip,80507,85007
5091.nmcsa,"New York-Newark, NY-NpJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
1547.nmnecta,***,N
2712.csa,102,120
3673.locale,3,13
774.nmcbsa,"Miami-Fort Lauderdale-Pompano Beachb, FL","Miami-Fort Lauderdale-Pompano Beach, FL"
5658.csa,167,176
6505.necta,***,N
4923.sldu,00426,04026
5067.cbsa,64520,46520
6182.stfip,1,41
1466.necta,***,N
2192.nmcsa,"New York-wNewark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
5102.sldl,1084,12084
1927.nmcsa,"Hattiesburg-aLurel, MS","Hattiesburg-Laurel, MS"
4027.street,Bo Mapchete Highway 744 Km 1.2,Bo Machete Highway 744 Km 1.2
80.necta,***,N
774.statevalue,LF,FL
2291.zip,884013352,88401-3352
4111.sldu,3010,33010
2060.cbsa,4274p0,42740
3411.city,sAheville,Asheville
5757.nmcsa,"St .Louis-St. Charles-Farmington, MO-IL","St. Louis-St. Charles-Farmington, MO-IL"
2607.schoolyear,2021-w2022,2021-2022
2530.nmcnty,Monroe Cuonty,Monroe County
6820.city,Tapa,Tampa
6341.csa,g336,336
5626.namevalue,Strayer Univresity-Charleston Campus,Strayer University-Charleston Campus
3825.nmcnty,Snohomish Conty,Snohomish County
6291.schoolyear,2021-222,2021-2022
6173.cd,298,7298
6458.nmnecta,***,N
5014.stfip,23,32
5148.csa,49,429
6383.nmnecta,nN,N
4108.necta,***,N
5619.csa,469,496
2895.sldl,3921,39021
6024.cbsa,5380,35380
6804.statevalue,XT,TX
2993.sldl,k41040,41040
111.namevalue,Northland Pioneer oCllege,Northland Pioneer College
4629.namevalue,Indina Capital Technology Center-Stilwell,Indian Capital Technology Center-Stilwell
6326.stfip,z06,06
6270.namevalue,lorida International Training Institute,Florida International Training Institute
5239.sldu,06k023,06023
4169.sldl,12p029,12029
6205.street,2h425 Hualapai Mtn Rd Ste B,2425 Hualapai Mtn Rd Ste B
61.zip,36526-7055***,36526-7055
4284.namevalue,Interactive College of echnology,Interactive College of Technology
3675.sldu,94002,49002
5788.cbsa,17802,17820
2592.nmnecta,mN,N
6058.namevalue,DeVry Colllege of New York,DeVry College of New York
3712.csa,s545,545
6113.nmcbsa,"New iYork-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
5500.stfip,1,31
3259.namevalue,Pittsburgh Camreer Institute,Pittsburgh Career Institute
3510.locale,b11,11
6365.sldl,1067,12067
4265.csa,480,408
5171.locale,11***,11
1364.sldu,2113,21013
1273.nmcbsa,kN,N
6714.sldu,40006***,40006
6235.nmnecta,,N
746.namevalue,George Stone Technical Colege,George Stone Technical College
6672.necta,***,N
3863.cd,305,5305
1060.necta,dN,N
1804.sldl,708B,2708B
4338.cbsa,3300,39300
4486.cd,1124,1214
4980.stfip,1,41
395.nmcnty,Vnetura County,Ventura County
6652.city,Temype,Tempe
1537.locale,12,21
3107.cbsa,2i9540,29540
1144.locale,t21,21
2806.street,303 Scarlet aOks Dr.,303 Scarlet Oaks Dr.
1422.cbsa,35d380,35380
6618.nmcsa,"New oYrk-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
6803.sldu,51301,51031
3445.nmcnty,Cumberzland County,Cumberland County
5723.sldl,36605,36065
201.sldl,0043,06043
4608.locale,4c1,41
5509.stfip,6,06
578.namevalue,Coloradox School of Trades,Colorado School of Trades
1208.namevalue,Valparaiso Univeristy,Valparaiso University
4216.cbsa,29x780,29780
2324.nmcsa,"New York-Newark, NgY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
747.sldu,12f036,12036
3933.sldl,55u072,55072
3558.csa,,N
5978.necta,oN,N
6060.nmcsa,"Los Angeles-LongBeach, CA","Los Angeles-Long Beach, CA"
4455.nmcnty,Cuyahoga Cunty,Cuyahoga County
3921.nmnecta,***,N
1369.sldu,21h025,21025
5136.cnty,12j095,12095
4493.nmcbsa,"New Yrork-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
1282.sldl,19103,19013
66.nmnecta,iN,N
576.sldu,k08008,08008
1927.sldu,20834,28034
5197.schoolyear,2021-202b2,2021-2022
6542.schoolyear,2021-2v022,2021-2022
4710.schoolyear,2012-2022,2021-2022
4684.city,Mountain uHome,Mountain Home
1093.nmcnty,oCok County,Cook County
5833.csa,492,429
5166.statevalue,A,CA
4141.cnty,48435,48453
5681.sldl,dN,N
165.namevalue,aCreer Academy of Hair Design - Fort Smith,Career Academy of Hair Design - Fort Smith
5258.cbsa,3562b0,35620
98.schoolyear,2021-202p2,2021-2022
2784.nmcsa,"Cincinnati-Wilmington-Maysville, OH-KY-uIN","Cincinnati-Wilmington-Maysville, OH-KY-IN"
6736.statevalue,AP,PA
2394.street,4380 Mainp St,4380 Main St
4676.nmnecta,,N
2753.city,Ashkland,Ashland
2544.sldu,6061,36061
5294.zip,36104-3259,36104-3529
5032.necta,,N
6471.sldu,2004,26004
2242.nmcnty,Begren County,Bergen County
5376.nmcbsa,"Charlotte-Concord-Gasotnia, NC-SC","Charlotte-Concord-Gastonia, NC-SC"
6322.sldl,55n076,55076
366.necta,,N
1097.statevalue,nIL,IL
1090.nmnecta,,N
2065.cbsa,4480,44180
2760.nmnecta,,N
2568.cnty,3605f5,36055
471.sldu,06060,06006
6050.locale,1,11
5486.necta,,N
5525.namevalue,Washington Barber Colletge Inc,Washington Barber College Inc
4047.zip,00680-1429***,00680-1429
4830.nmnecta,"Norwic-hNew London-Westerly, CT-RI","Norwich-New London-Westerly, CT-RI"
2617.statevalue,yNC,NC
2873.cbsa,3100,31900
2603.csa,m468,468
2546.csa,n532,532
3989.city,ayamon,Bayamon
4887.schoolyear,2012-2022,2021-2022
1068.cnty,3063,53063
3463.cd,4h708,4708
1019.city,kokie,Skokie
4998.zip,2940v6,29406
1383.cnty,20173,21073
3788.zip,2328-42512,23284-2512
490.nmcnty,Place rCounty,Placer County
6480.cd,q2907,2907
1614.stfip,5,25
5604.city,Berkzeley,Berkeley
391.city,cSylmar,Sylmar
4535.cbsa,331l00,33100
4716.cnty,50141,51041
1731.zip,40871,48071
746.schoolyear,2012-2022,2021-2022
5304.cd,3310,3301
4418.locale,23,32
5596.sldu,00634,06034
4928.cd,1232,1223
3655.cd,5102,1502
2520.nmcsa,"Albay-Schenectady, NY","Albany-Schenectady, NY"
5107.nmcsa,"Columbia-Ornageburg-Newberry, SC","Columbia-Orangeburg-Newberry, SC"
1521.csa,i480,480
3063.nmcsa,"Bloomsburg-Berwiczk-Sunbury, PA","Bloomsburg-Berwick-Sunbury, PA"
4640.cbsa,38030,38300
2186.cd,342,3402
116.nmcsa,"Albuquerqe-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM"
6798.namevalue,Body Witsdom Massage Therapy School,Body Wisdom Massage Therapy School
6790.cd,0670,0607
6734.necta,***,N
5638.sldu,1f2030,12030
1858.street,7411 85th ve N,7411 85th Ave N
3325.nmcbsa,"Columbia, CS","Columbia, SC"
2342.cd,6326,3626
3233.schoolyear,h2021-2022,2021-2022
3939.cbsa,33340***,33340
6801.zip,6323-3107,63123-3107
1936.cnty,82113,28113
5063.street,340 Three Meadowzs Drive,340 Three Meadows Drive
3781.nmnecta,lN,N
1486.namevalue,University of Maineo at Augusta,University of Maine at Augusta
441.stfip,0k6,06
6591.stfip,h72,72
6673.namevalue,Texsa Healthtech Institute,Texas Healthtech Institute
1389.sldl,1040,21040
3550.sldu,4804,48024
310.schoolyear,2021-222,2021-2022
3888.street,276 Walnut tS,276 Walnut St
5281.street,410 A Steret,410 A Street
5926.nmnecta,iN,N
421.nmcsa,"Los Angeles-Long Beach, AC","Los Angeles-Long Beach, CA"
2133.city,incoln,Lincoln
3782.csa,kN,N
950.street,921 S8th Ave,921 S 8th Ave
5137.zip,2612,92612
4147.nmcnty,Fayetete County,Fayette County
2050.cd,9207,2907
2870.nmcsa,,N
3572.sldl,48090,48009
6484.cbsa,19100***,19100
237.sldu,06092,06029
3490.sldu,8017,48017
6643.stfip,a35,35
1255.nmcsa,"Des Moines-Ames-West Des Mboines, IA","Des Moines-Ames-West Des Moines, IA"
2067.street,909 South Tayglor Avenue,909 South Taylor Avenue
3114.zip,19347-0901,19437-0901
4318.namevalue,Forctis College,Fortis College
2147.stfip,23,32
2943.nmcnty,Oklrahoma County,Oklahoma County
6773.sldu,6040,06040
6735.schoolyear,201-2022,2021-2022
4505.zip,7837,17837
304.cbsa,14740,41740
5092.namevalue,North-West College-Rievrside,North-West College-Riverside
248.cd,s0603,0603
2966.csa,i416,416
6619.nmnecta,bN,N
6096.sldu,40044***,40044
4657.nmnecta,***,N
6730.necta,***,N
4791.street,"600 Fourth Street,Suite 229","600 Fourth Street, Suite 229"
5194.nmnecta,lN,N
613.sldu,08209,08029
4772.cnty,45901,45091
5260.nmcnty,Allen Cousnty,Allen County
3398.sldl,470d44,47044
2391.zip,11451***,11451
5846.nmcbsa,"Phliadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
6317.nmcsa,"Miami-Port St. Lucie-FortL auderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
1036.statevalue,LI,IL
4752.nmcnty,Clearfield Conty,Clearfield County
5217.nmcsa,"Ponce-aYuco-Coamo, PR","Ponce-Yauco-Coamo, PR"
1889.sldl,2795B,2759B
4395.cd,36o22,3622
4701.sldu,00637,06037
2017.locale,21,12
1875.statevalue,N,MN
9.statevalue,L,AL
1875.stfip,7,27
54.locale,33***,33
1567.csa,184,148
1877.zip,55150-1078,55105-1078
2391.cbsa,356x20,35620
2385.statevalue,YN,NY
1314.city,Indepnedence,Independence
1576.cd,507,2507
620.street,1 Wetsern Way,1 Western Way
5991.sldl,4811,48101
3905.nmcsa,"Morgantown-Faeirmont, WV","Morgantown-Fairmont, WV"
6722.stfip,60,06
4727.necta,,N
303.city,San yLuis Obispo,San Luis Obispo
1966.street,1564 Heaquarters Avenue,1564 Headquarters Avenue
252.cd,069,0649
100.locale,4h1,41
547.cnty,27v053,27053
5643.sldl,06080,06008
2349.cbsa,35602,35620
3667.necta,bN,N
1268.nmcnty,Scott Coutny,Scott County
595.statevalue,O,CO
4229.street,4401 Shrive rRd,4401 Shriver Rd
4372.nmcsa,"San Antonio-New Braunefls-Pearsall, TX","San Antonio-New Braunfels-Pearsall, TX"
2678.city,Raleiagh,Raleigh
4800.cd,5035,5305
572.sldl,0808,08028
425.nmcbsa,"San Diego-Chula Vista-Carlbad, CA","San Diego-Chula Vista-Carlsbad, CA"
2405.cd,3165,3615
5483.city,Fredrick,Frederick
4643.nmcbsa,"Lebaonn, PA","Lebanon, PA"
5330.cbsa,9820,19820
5990.cnty,p24003,24003
2443.cd,3m620,3620
6631.sldu,0532,05032
668.csa,2q78,278
3636.stfip,8,48
1665.statevalue,hMA,MA
21.zip,35707-2000,35077-2000
2217.cbsa,356j20,35620
2721.zip,274072754,27407-2754
6409.necta,***,N
2659.street,54 Colleg eDrive,54 College Drive
346.cnty,06037,06073
5368.nmcnty,Davidson Conuty,Davidson County
2165.nmnecta,***,N
4514.cbsa,3620,35620
4744.sldl,30402,34002
1484.street,92 Western jAve,92 Western Ave
5718.nmcnty,St. Louis Countuy,St. Louis County
4944.street,Ave. Ponce De Lon #1207,Ave. Ponce De Leon #1207
3780.nmcnty,Hazmpton city,Hampton city
1839.sldl,27x19A,2719A
5333.nmnecta,xN,N
6491.sldu,34a017,34017
2923.city,Peppe Pike,Pepper Pike
2079.nmcbsa,"Jefferson Cityc, MO","Jefferson City, MO"
2928.sldu,3p9017,39017
3473.namevalue,Angeilna College,Angelina College
2167.cnty,3305,33005
2777.city,aint Martin,Saint Martin
3461.stfip,74,47
2121.zip,6111-1610,68111-1610
2103.cnty,30111***,30111
384.stfip,6,06
3206.cd,42z17,4217
2567.nmcsa,"New vYork-Newark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
2890.namevalue,Oterbein University,Otterbein University
513.schoolyear,2021-2x022,2021-2022
4309.csa,716,176
2608.zip,28731-428,28731-4728
3262.nmnecta,***,N
977.sldl,17062,17026
6571.sldu,2601,26001
3462.sldl,47050,47005
2352.nmcsa,eN,N
1538.sldu,2402d1,24021
5562.statevalue,N,MN
5610.street,5750 A Crawmfordsville Rd,5750 A Crawfordsville Rd
3220.sldu,4239,42039
6019.street,50C edar Lane,50 Cedar Lane
6654.nmcsa,"Cleveland-Arkon-Canton, OH","Cleveland-Akron-Canton, OH"
6515.namevalue,ABC Adult School - aCbrillo Lane,ABC Adult School - Cabrillo Lane
4562.sldl,0074,09074
6309.statevalue,A,WA
4121.sldl,48416,48146
351.csa,q488,488
6146.cnty,12301,12031
4982.street,"601 Washington Ave., Suitie 140","601 Washington Ave., Suite 140"
1008.necta,***,N
3395.sldu,470e04,47004
1438.cbsa,2180,29180
3125.cd,206,4206
5296.namevalue,Brow nAveda Institute-Strongsville,Brown Aveda Institute-Strongsville
5829.cbsa,4702e0,47020
68.locale,34,43
5349.cd,816,4816
1408.stfip,12,21
1957.sldu,8027,08027
3670.cnty,490h57,49057
6437.namevalue,Nashville Film Istitute,Nashville Film Institute
6538.city,Khului,Kahului
4992.city,ouston,Houston
6081.nmnecta,,N
4773.stfip,6,06
2590.sldu,6036,36036
1693.namevalue,lBaker College of Muskegon,Baker College of Muskegon
6798.nmnecta,,N
902.street,5150 Sugarlvoaf Parkway,5150 Sugarloaf Parkway
4836.nmnecta,***,N
3991.locale,2,22
5133.nmcnty,Crawford Cunty,Crawford County
2355.cnty,36191,36119
3026.statevalue,RO,OR
775.sldu,1r2036,12036
2271.cnty,35094,35049
2500.cnty,3087,36087
927.locale,23,32
6561.sldu,0607,06007
2382.street,524 W 59th Sjt,524 W 59th St
1949.csa,16a4,164
6671.schoolyear,2021-022,2021-2022
2921.cd,391w0,3910
1707.stfip,6,26
3903.namevalue,West hVirginia Wesleyan College,West Virginia Wesleyan College
1059.street,u5460 S. University,5460 S. University
2751.nmnecta,***,N
676.nmcbsa,Bridgeport-Stamford-Norwalk CT,"Bridgeport-Stamford-Norwalk, CT"
404.csa,,N
4275.nmcbsa,oN,N
2518.street,432 Wesern Ave,432 Western Ave
122.schoolyear,2021-r2022,2021-2022
2714.cbsa,21440,24140
3789.csa,,N
6397.nmcbsa,"Detroit-Warren-Dearbforn, MI","Detroit-Warren-Dearborn, MI"
6349.schoolyear,2v021-2022,2021-2022
3661.sldu,4a9028,49028
1912.cbsa,29480,24980
1590.nmcbsa,"Bostoyn-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH"
5675.csa,c176,176
383.sldu,06305,06035
2930.zip,5840,45840
4322.namevalue,mNational Career Education,National Career Education
2735.locale,31,13
6197.zip,3021-4280,30214-4280
6062.nmcsa,"Miami-Port St. Lucie-Fort Lauderdale, uFL","Miami-Port St. Lucie-Fort Lauderdale, FL"
5303.cd,2160,2106
6708.nmcbsa,"San Francisco-Oakland-Berkeley, A","San Francisco-Oakland-Berkeley, CA"
5889.schoolyear,221-2022,2021-2022
341.sldl,5w3043,53043
5392.zip,5021,85021
2498.nmcnty,Knigs County,Kings County
297.cbsa,169d80,16980
6503.stfip,6,06
4366.csa,aN,N
1343.locale,b33,33
5015.schoolyear,202-12022,2021-2022
577.nmcbsa,"Denver-Aurora-Lakewod, CO","Denver-Aurora-Lakewood, CO"
5526.zip,9g5827,95827
4517.cd,903,3903
4414.sldu,0600v7,06007
