objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,segment_id,ct_two_zero_two_two_aqlusename,ct_two_zero_two_two_aqluseattainment,ct_two_zero_two_two_recusename,ct_two_zero_two_two_recuseattainment,ct_two_zero_two_two_fishconusename,ct_two_zero_two_two_fishconuseattainment,ct_two_zero_two_two_dwusename,ct_two_zero_two_two_dwuseattainment,impaired,shape_length(double precision),shape_area(double precision)
117,2022,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.","LAKE, FRESHWATER",14.32,Acres,1297,1080207,48,INLAND SURFACE WATERS CLASS A,CT4300-05-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,No Evaluated,No,3575.16350728842,623913.792405779
118,2022,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,"LAKE, FRESHWATER",385.75,Acres,1522,1080207,48,INLAND SURFACE WATER CLASS A,CT4308-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreaion,Fully Supporting,Fish Consumption,Not Supporting,Existingx or proposed drinking water,Fully Supporting,Yes,52352.7224734222,16803189.2427698
119,2022,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.","LAKE, FREHWATER",511.85,cAres,2596,1080205,50,INLAND SURFACE WATERS CLASS AA,CT4050-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insuffcient Information,Fish Consumption,Insufficient Infomration,Existing or proposeld drinking water,Fully Supprting,No,38880.7337830691,22295951.9761804
120,2022,CT430-500-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,"LAKE, FRESHWATER",245.54,Ares,3448,1080207,48,INLAND SURFACE WATERS CLASwS A,CT4305-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17327.4032895767,10695983.3037961
121,2022,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.","LAKE, FRESHWATER",5.87,Acres,477,1080205,48,INLAND SURFACE WATERS CLASS A,CT4500-14-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Rgecreation,Not Assesesd,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2192.40253628984,255698.926406963
122,2022,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impounfdment of Black Ledge River. NW corner of Hebron.,"LAKE, FRESHWATExR",5.14,Acres,992,1080205,48,INLAND SURFACE WATERSd CLASS A,CT4707-00-2-L2_01,"Habitati for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Nuot Supporting,Fish Conumption,Insufficient Information,Not Classified For Dkrinking Water,Not Evaluated,Yes,2790.65186704061,223781.077012535
123,2022,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,"LAKE, FRESHWATER",145.49,Acres,136,1080205,48,INLAND SURFACE WATERS CLASS A,CT4401-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Receation,NotS upporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,oNt Evaluated,Yes,11945.7822983171,6337717.80185501
124,2022,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,"LAK,E FRESHWATER",2.71,Acres,1853,1080205,48,INLAND SURFACE WATERS CLASS A,CT4402-04-2-L101,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classfiied For Drinking Water,Not Evaluated,No,1732.90177015924,118167.936980312
125,2022,T4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol","LAKE, FRESHWATER",11.84,Acres,225,1080207,48,INLAND SURFACE WATERS CLASS A,CT4315-05-1L1_01,"Habitatfor Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufifcient Information,Not Classified For Drinking Water,No Evaluated,No,4085.72462529309,515706.809373345
126,2022,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast cornerv of Hebron; northeast of Rt 85.,"LAKE, FRESHWATER",68.67,Acres,1262,1080205,48,INLAND SURFACE WATERS CLASS A,CT4705-00-1-L1_01,"Habitat for Fish, Otaher Aquatic Life and Wildlife",Fully Supporting,Receration,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8150.61640819157,2991123.20141403
127,2022,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion over boarder in New York.","LAKE, FRESHWATER",155.9,Acres,2421,1100005,48,INLAND SURFACE WATERS CLASS A,CT6005-04-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Suporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18898.262984158,6791215.84719876
128,2022,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,"LAKE, FRESHWATER",9.39,Acres,297,1100004,48,INLAND SURFACE WATERS CLASS A,CT5111-09-2-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4211.48706476863,409075.181713018
129,2022,CT4708-00-2-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.","LAKE, FRESHWATER",81.29,Acres,1538,1080205,48,INLAND SURFACE WAqTERS CLASS A,CT4708-00-2-L1_01,"Habitat for Fish, Other Aquati Life and Wildlife",Fully Suppoting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9240.49765441061,3541089.32178473
130,2022,CT4709-04-1-L1_01,Pocotopaug Lake (East eHampton),"North of Rt 66, East Hampton.","LAKE, FRESHWATER",502.28,aAcres,2273,1080205,48,INLAND SURFACE WATERS CLASS A,CT4709-04-1-L1_01,"Habitat for Fish, Other Aquaetic Life and Wildlife",Fully Supporting,Recreation,Not Suporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,31556.9655710472,21879476.7085152
131,2022,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.","LAKE, FRESHWATER",140.58,Acres,2627,1080205,48,INLAND SURFACE WATERS CLASS A,CT4601-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supoprting,Recreation,Fully Suppoirting,Fish Consumption,Insufficient Informtion,Not Classified For Drinking Waetr,Not Evaluated,Yes,19689.5237317282,6123651.39992351
132,2022,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.","LAKE, FRESHWATER",71.91,Acrens,1066,1080205,48,INLAND SURFACE WATERS CLASS A,CT4000-40-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Rcereation,Not Assssed,Fish Consumption,Insufficient Information,Npot Classified For Drinking Water,Not Evaluated,No,8475.08169449154,3132387.52244891
133,2022,CT4700-02-1-L1_01,Day Pond (Colchester),"CT DEEP Day Pond State Park. Impoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester.","LAKE, FRESHWAER",7.35,Acres,691,1080205,48,INLAND SURFACE WATERS CLASS A,CT4700-02-1-L1_01,"Habitat for Fish, Other Aqutaic Life and Wildlife",Not Assessed,Recreation,Fully Supproting,Fish Consumption,Insufficient Inforation,Not Classified For Drinking Water,Nkot Evaluated,No,2933.5616797025,320186.260685602
134,2022,CT4710-06-1-1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir","LAKE, FRESHWATER",82.11,Acres,2234,1080205,48,INLAND SURFACE WATERS CLASS A,CT4710-06-1-1L_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,14161.9521647024,3576632.83900418
135,2022,CT4800-04-1-L1_01,"Hayward, Lake (East Haddam)",Northeast coner of East Haddam.,"LAKE, FRESHWATER",172.41,Acres,1507,1080205,48,INLAND SURFACE WATERS CLASS A,CT4800-04-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fis hConsumption,Insufficient Information,Not Classified For Drinking Water,Nto Evaluated,No,20347.5027973159,7510115.91466773
136,2022,CT4013-50-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.","LAKE, FRESHWATER",30.96,Acres,658,1080205,48,INLAND SURFACE WATERS CLASS A,CT4013-05-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information***,Not Classified For Drinking Water,Not Evaluated,Yes,11255.5418039513,1348373.05939525
137,2022,CT4607-10-1-L1_01,eseck Lake (Middlefield),East central Middlefield.,"LAKE, FRESHWATER",112.83,Acres,199,1080205,48,INLAND SURFACE WATERS CLASS A,CT4607-10-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recretation,Not Supporitng,Fish Consumption,Insufficient Incformation,Not Classified For Drinking Water,Not Evaluated,Yes,12942.4451549198,4914699.51299443
138,2022,CT4710-00-1-L2_01,Moodus Reservocir (East Haddam),Northeast East Haddam.,"LAKE, FRESHWATER",440.74,Acres,1902,1080205,48,INLAND SURFACE WATERS CLASS A,CT4710-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,61417.977921655,19198771.1550512
139,2022,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.","LAKE, FERSHWATER",15.24,Acres,755,1080205,48,INLAND SURFACE WATERS CLASS A,CT4013-08-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insuffiient Information,Recreation,Insufficient Information,Fish Consumpion,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4895.55373634131,663787.196223253
140,2022,CT4710-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.","LAKE, FRESHWATER",265.54,Acres,127,1080205,48,INLAND SURFACE WATERS CLASS A,CT4710-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,o,28316.8113276232,11567123.2354054
141,2022,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,"LAKE, FRESHWATRE",26.4,Acres,1226,1080205,48,INLAND SURFACE WATERS CLASS A,lCT4014-03-2-L1_01,"Habita tfor Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8248.61191464011,1150062.77004756
142,2022,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, In Cockaaponset State Forest ans includes CT DEEP swimming area, Chester.","LAKE, FRESHWATER",52.25,Acres,2183,1080205,48,INALND SURFACE WATERS CLASS A,CT4017-03-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recregation,Fully Supporting,Fish Cosumption,Insufficient Informtion,Not Classified For Drinking Water,Not Evaluated,No,11858.0551026618,2276078.93589521
143,2022,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.","LAKE, FRESHWATER",70.65,Acres,453,1080205,48,INLAND SURFACE WATERS CLASS A,CT4017-03-1-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Ifnformation,Not Classified For Drinking Water,Not Evalukated,No,8095.6479846412,3077679.47589754
144,2022,CT4800-16-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.","LAKE, FERSHWATER",29.4,Acers,2054,1080205,48,INLAND SURFACE WATERS CLASS A,CT4800-16-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessd,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluaoted,No,5068.87985719143,1280668.80590228
145,2022,CT4800-16-1-L2_01,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.","LAKE, FRESHWATER",69.03,Acres,2991,1080205,48,INLAND SURFACE WATERS CLASS A,CT4800-16-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficien tInformation,Not Clasisfied For Drinking Water,Not Evaluated,No,10186.4172114451,3006810.01595611
146,2022,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook, South of Rt 309. Includes CT DEEP State swimming area in Stratton Brook State Park, Simsbury.","LAKE, FRESHWATER",2.35,Acres,2782,1080207,48,INLAND SURFACE WATERS CLASS A,CT4318-03-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,1350.69812038641,102348.431499426
147,2022,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,"LAKE, FRESHWATER",120.48,Acnres,1445,1100001,48,INLAND SURFACE WATERS CLASS A,CT344-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreaiton,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14372.9769053853,5248056.37139219
148,2022,CT4010-00-1-L1_01,1860 Reszervoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).","LAKE, FRESHWATER",27.22,cAres,1097,1080205,48,INLAND SURFACE WATERS CLASS A,CT4010-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessde,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaulated,o,5686.08059259047,1185695.35583105
149,2022,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).","LAKE, FRESHWATER",17.05,Acres,297,1100004,48,INLAND SURFACE WATERS CLASS A,CT5111-0y9-2-L3_02,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreatjion,Not Assessed,Fish Consumption,Insfuficient Information,Not Classified For Drinking Water,Not Evaluated,No,6430.24244982625,742700.976111697
150,2022,CT5202-00-1-L3_01,Mixville Pondc (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River","LAKE, FRESHWATER",10.68,Acres,1891,1100004,48,INLAND SURFACE WATERS CLASS A,CT5202-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supprting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,es,4528.2745821947,465258.132340048
151,2022,CT4607-00-UL_pond_01,Wadsworth Falls State Park Pond (Middletown),"Small pond within Wadsworth Falls State Park (filled and drained with connection to Coginchaug River), on Route 157 between confluence of Laurel Brook to Coginchaug River and Wadsworth Brook confluence with Coginchaug River, Middletown.","LAKE, FRESHWATER",1.37,Acres,0,1080205,48,INLAND SURFCAE WATERS CLASS A,CT4607-00-UL_pond_j01,"Habitat for Fsih, Other Aquatic Life and Wildlife",Not sAsessed,Recreation,Fully Supporting,Fish Consuption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,966.014095348769,59807.0779682342
152,2022,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).","LAKE, FRESHWATER",0.58,Acres,350,1100003,48,INLAND SURFACE WATERS CLASS A,CT3900-00-UL_pond_01,"Habitat for Fish, Other Aquatic Life an Wildlife",Not Supportign,Recreation,Inswufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,812.441000119693,25247.1849813975
153,2022,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir","LAKE, FRESHWATER",14.95,Acres,1526,1100006,48,INLAND SURFACE WATERS CLASS A,CT7108-00-3-L3_01,"Habitat for Fish, Other Aquatic Life anad Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumpetion,Insufficient Infomation,Not Classified For Drinking Water,Not Evaluatd,Nuo,4392.45562251452,651122.469937405
154,2022,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"CT DEEP Black Rock State Park. Impoundment of Purgatory Brook (trib to Branch Brook), west of Rt 6, Watertown.","LAKE, FRESHWATER",9.48,Acres,240,1100005,48,INLAND SURFACE WATERS CLASS A,CT6910-14-1-L_301,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supportling,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5702.41425253143,412757.397471802
155,2022,CT3800-00-6+3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park R)d","LAKE, RESHWATER",14.3,Acres,2689,1100002,48,INLAND SURFAC EWATERS CLASS A,CT3800-00-6+L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed***,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluatmed,Yes,3909.72429641487,622674.853422082
156,2022,CT4009-00-2-Li4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.","LAKE, FRESHWATER",9.35,Acres,41,1080205,48,INLAND SURFACE WATERS CLASS A,CT4009-00-2-L4_01,"Habitat for Fsih, Other Aquatic Life and Wildlife",Not Assessed,Recraetion,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3554.73329428853,407170.603100623
157,2022,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock","LAKE, FRESHWATER",38.42,Acres,1942,1100001,50,INLAND SURFACE WATERSCLASS AA,CT3708-01-1-L1_01,"Habitat for Fish, Other Aquatic Life aznd Wildlife",Not Assessed,Recreation,Insufficient Iformation,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,7910.77393921777,1673439.31680131
158,2022,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundmnt of Schoolhouse Brook, Spring Hill area of Mansfield","LAKE, FRESHWATER",6.05,Acres,209,1100002,48,INLAND SURFACE WATERS CLASS A,CTd3207-16-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2833.01426233311,263646.824838467
159,2022,CT6900-40-1-L1_01,Beaver Lake (Seymour),Seymour,"LAKE, FRESHWATER",68.82,Acres,158,1100005,50,INLAND SURFACE WATERS CLASrS AA,CT6900-40-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatino,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,15201.1471479677,2997892.3868583
160,2022,CT6301-08-1-L1_01,Indian Lake (Sharon/NY State Line),Sharon,"LAEK, FRESHWATER",195.81,Acres,1332,1100005,48,INLAND SURFACE WATERS CLASS A,CT6301-08-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Inuformation,Not Classified For Drinking Water,Not Evaluated,No,16881.4792504132,8529639.60345401
161,2022,CT6900-42-1-L1_01,Upper Derby Hill Reservoir (Derby),Derby,"LAKE, FRESHWATER",29.93,Acres,3305,1100005,48,INLAND SURFACE WATERS CLASS A,CT6900-42-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumptino,Insufficient Information,Not Clsassified For Drinking Water,Not Evauated,o,6386.92334107774,1303590.5514031
162,2022,CT6015-00-1-L1_10,Peck Pond (Sharon),Saron,"LAKE, FRESHWATR",27.33,Acres,2195,1100005,48,INLAND SURFACE WATERS CLASS A,CT6015-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6446.32122546526,1190269.84042301
163,2022,CT4300-00-1+L2_01,West Branch Reservoir (Colebrook/Hartland),Colebrook,"LAKE, FRESHWATER",201.82,Acrse,3440,1080207,50,INLAND SURFACE WATERS CLASS AA,CT4300-00-1+L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recretaion,Fully Supporting,Fish Consumption,Insufficient Information,Existign or proposed drinking water,Not Assessed,No,18594.3807124894,8791317.00840086
164,2022,CT2107-00-1-L6_01,Groton (Poquonnock) Respervoir (Groton),"South of Route 1, crossed by I95 north and south lanes, Groton.","LAKE, FRESHWATER",194.68,Acres,1104,1100003,50,INLAND SURFACE WATERS CLASS AA,CT2107-00-1-L6_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Infomration,Existing or proposed drinking water,Not Assessed,o,37619.5972185037,8480114.37160593
165,2022,CT3902-00-1-L1_01,Williams Pond (Leblanon),Lebanon,"LAKE, FRESHWATER",250.3,Acres,3526,1100003,48,INLAND SRUFACE WATERS CLASS A,CT3902-00-1-L1_01,"Habiatt for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatzion,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,34166.6678539392,10902838.8335029
166,2022,CT2203-00-1-L2_01,"Konomoc, Lake (Waterford/Montville)","Along east side of Route 85 (north I395), Montville/Waterford.","LAKE, FRESHWATER",288.66,Acres,1511,1100003,50,INLAND SURFACE WATERS CLASS AA,CT2203-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drining water,Not Assessed,No,37148.7687211784,12574084.7558297
167,2022,CT4017-04-1-L1_01,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester. Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.","LAKE, FRESHWATER",75.9,oAcres,2960,1080205,50,INLADN SURFACE WATERS CLASS AA,CT4017-04-1-L1_01,"Habitat for Fish, Other Aquaitc Life and Wildlife",Fullyl Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,13036.8191366243,3309720.42974876
168,2022,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,"LAKE, FRESHWATER",277.28,Arces,575,1100002,48,INLAND SURFACE WATERS CLASS A,CT3108-13-1-L1_01,"Haitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,iFully Supporting,Fish Consumptioxn,Insufficient Information,Not Classified For Drinking Water,Not Evadluated,oNo,21109.907842455,12078446.763889
169,2022,CT3805-0-3-L7_01,Versailles Pond (Sprague),"Impoundment of Ltitle River, southeast corner of Sprague.","LAKE, FRESHWATER",57.2,Acres,3352,1100002,49,INLAND SURFACE WATERS CLASS B,CT3805-00-3-L7_1,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fihs Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,14935.9782480639,2491844.77596168
170,2022,xCT3600-00-3-L8_01,Hopeville Pond (Griswold),"CT DEEP Hopeville Pond State Park. Impoundment of Pachaug River (DS of Pachaug Pond), Griswold.","LAKE, FRESHWATER",106.6,Acrse,1284,1100001,49,INLAND SURFACE WATRS CLASS B,T3600-00-3-L8_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,29443.5258515292,4643768.13889446
171,2022,CT3600-00-3-L3_01,Beachdale Pomnd (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.","LAKE, FRESHWATER",37.32,Acres,143,1100001,48,INLAND SURFACE WATERS CLASS A,CT3600-00-3-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Watepr,Not Evaluatde,No,12065.1074097609,1625623.78754073
172,2022,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles WestbrookD/eep River border.,"LAKE, FRESHWATR",81.67,Acres,1829,1080205,48,INLAND SURFACE WATERS CLASS A,CT4019-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatoin,Fully Supportig,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Nao,15715.9792035817,3557669.03731145
173,2022,C4T019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.","LAKE, FRESHWATER",29.74,Acres,3583,1080205,48,INLAND SURFACE WATERS CLASS A,CT401-00-1-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9276.67395083096,1295495.04025224
174,2022,CT4302-16-1-L1_01,Hihland Lake (Winchester),Southeast corner of Winchester.,"LAKE, FRESHWATER",448.18,Acres,1230,1080207,48,INLAND SURFACE WATERS CALSS A,CT4302-16-1-L1_01,"Habiat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,fNo,42660.460613205,19522854.8387813
175,2022,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.","LAKE, FRESHWATER",77.15,Acres,2156,1100002,48,INLAND SURFACE WATERS CLASS A,CT3805-00-3-L6_a01,"Habitat for Fish, Other Acquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumtpion,ot Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,12713.7080779591,3360761.0678375
