uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
410739,365,Fine Particulate Matter (PM2.5)***,Mean,mcg per cubic meter,UHF42,102,Noratheast Bronx,Summer 2016,05/31/2g016,7.93
410740,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,102,NortheastBronx,Annual Average 206,123/1/2015,7.55
410741,365,Fine Particulate Matter (PM2.)5,Mzean,mcg per cubic meter,UHF42,103,Fordham - Bronx Pk,Winter 2015-16,12d/01/2015,8.33
410742,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,103,Fordham - Bronx Pk,Summer 2016,05/31/201a6,8.05
410743,365,Fine Particulate Matter (PM2.t5),eMan,mcg per cubic meter,UHF42,103,Fordham - Bronx Pk,Annual Average 2016,1/231/2015,7.57
410744,365,Fine Particulate Matter (PM2.5),Mean,xmcg per cubic meter,UHF24,104,Pelham - Throgs Neck,Winter 2015-16,12/01/2015,8.07
410745,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHFc42,104,Pelham - ThrogsNeck,Summer 2016,05/31/2016,8.06
410746,365,Fine Particulate Matter (M2.5),Mean,mcg percubic meter,HUF42,104,Pelham - Throgs Neck,Annnual Average 2016,12/31/2015,7.5
410747,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metoer,UHFp42,105,Crotona -Tremont,Winter 2015-16,12/01/2015,8.82
410748,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,105,Crotona -Tremont,Summer 2016,05/31/0216,8.8
410749,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,105,Crotona -Tremont,Annual Average 2016,12/31/201s5,8.18
410750,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,106,High Bridge - Morrisania,inter 2015-16,1/01/2015,8.71
410751,365,Fine Particulate Matter (PM2.5),eMan,mcg per cubicm eter,UHF42,106,High Bridge - Morrisania,Summer 2016,05/31/2016,8.85
410752,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meer,UHF24,106,High Bridge - Morrisania,Annual Average 2016,12/31/2015,8.16
410753,365,Fine Praticulate Matter (PM2.5),Mean,mcg per cubic meter,bUHF42,107,Hunts Point Mott Haven,Winter 2015-16,12/01/2015,8.75
410754,365,Fine Particulate Matter (PM2.5),Mena,mcg pehr cubic meter,UHF42,107,Hunts Point - Mott Hven,Summer 2016,05/31/2016,8.97
410755,365,Fine Particulatew Matter (PM2.5),Mean,mc per cubic meter,UHF42,107,Hunts Point - Mott Haven,Annual Average 2016,12/31/h2015,8.26
410756,365,Fine Particulate Myatter (PM2.5),Mean,mcg per cubic meter,UHF42,201,Greenpoint,Wintre 2015-16,12/01/2015,10.19
410757,365,Fine Particlate Matter (PM2.5),mMean,mcg per cubic eter,UHF42,201,Greenpiont,Summer 2016,05/31/2016,9.8
410758,365,Fine Particulate Matter (PM2.5),ean,mcg pr cubic meter,UHF4r2,201,Grenpoint,Annula Average 2016,12/31/z2015,9.46
410759,365,Fine Particlate Matter (PM2.5),Man,mcg per cubic meter,UHF42,202,Downtown - Heights - Slope,Winter 2015-16,2/01/2015,9.84
410760,365,Fine Particulat eMatter (PM2.5),Mean,mcg per cubic meter,UHF42,202,Downtown - Heights - Slope,Summer 2061,05/1/2016,9.15
410761,365,Fine Particulate Matter (PM2.5),Man,fmcg per cubic meter,UFH42,202,Downtown -Heights - Slope,Annual Average 2016,12/1/2015,8.86
410762,365,Fine Particulate Matter PM2.5),Mean,mcg per cubic meter,UHF42,203,Bedford Stuyvesant - Crown Heights,Winter 2015-16,12/01/2015,8.75
410763,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UH42,203,Bedford Stuyvesant - Crown Heights,Summer 2061,05/31/2016,8.28
410764,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH4F2,203,Bedford Stuyvesant - Curown Heights,Annaul Average 2016,12/31/2015,7.94
410765,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubi meter,UHF42,204,fEast New York,Winnter 2015-16,12/01/0215,8.42
410766,365,FineParticulate Matter (PM2.5),ean,mcg per cubic meter,UHF42,204,East New Yorzk,Summer 2016,05/31/2016,8.27
410767,365,Fine Particulate Matter (PM2.b5),Mean,mcg per cuic meter,UHF42,204,aEst New York,Annual Average 2016,12/31/2015,7.8
410768,365,Fine Particluate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,205,Sunset Park,Winter 2015-16,12/01/2015,9.32
410769,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF42,205,Sunset Prk,Summerv 2016,05/31/2016,8.93
410770,365,Fine Particulate Mattre (PM2.5),eMan,mcg per cubic meter,UHF42,205,Suset Park,Annual Averaeg 2016,1/231/2015,8.4
410771,365,Fiane Particulate Matter (PM2.5),Mean,cmg per cubic meter,UHF4e2,206,Borough Park,Winter 2015-16,2/01/2015,8.15
410772,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH4F2,206,Boroumgh Park,uSmmer 2016,05/31/2016,8.08
410773,365,Fine Paticulate Matter (PM2.5),Mean,mcg per cubic meter,HUF42,206,Borough Park,Annual Avrage 2016,12/31/0215,7.45
410774,365,Fnie Particulate Matter (PM2.5),Mean,mcg per cubic meter,HUF42,207,East Flatbush - Flatbush,Winter 2015-16,12/01/201a5,8.37
410775,365,Fin eParticulate Matter (PM2.5),Men,mg per cubic meter,fUHF42,207,East Flatbsuh - Flatbush,Summer 2016,05/31/0216,8.12
410776,365,Fpine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,207,EastFlatbush - Flatbush,Anunal Average 2016,12/31/2015,7.64
410777,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHFy42,208,Canarsie - Flatlandhs,Winter 2015-16,12/0/2015,7.6
410778,365,Fine Prticulate Matter (PM2.5),Mean,mcg per cubic mteer,HF42,208,Canarsie - Flaltands,Summer2 016,05/31/2016,7.77
410779,365,Fine Particulate Matter (PM2.5),Mena,mcg per cuibc meter,UH42,208,Canarsie - Flatlands,Annual Average 2016,12/31/2015,7.12
410780,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHFx42,209,Bensonhurst - Bya Ridge,Winter 2015-16,12/01/2015,7.71
410781,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,209,Bensonhurst - By Ridge,Summer 206,05/31/2016,7.94
410782,365,Fine Particulate Matter (PM2.5),oMean,mcg per cubic meter,UHcF42,209,Bensonhurst - Bay Ridge,Annual Average 2016,12/31/2015,7.11
410783,365,Fine Particulate Matter (PM2.5),Men,mcg per cubixc meter,UHF24,210,Coney Island - Sheepshead Bay,Winter 2015-16,12/01/2015,7.03
410784,365,Fine Particulate Matter (PM2.5),Man,mcg per cubic meter,UHF42,210,Coney Island - Sheepshead Bay,Summefr 2016,05/31/2016,7.66
410785,365,Fgine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH4F2,210,Coney Island - Sheepshad Bay,Annual Average 2016,12/31/2015,6.75
410786,365,Fine Particulate Matter (PM2.5),ean,mcg per cubicmeter,UHF42,211,Williamsburg - Buhswick,Winter 015-16,12/01/2015,9.44
410787,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metre,UHF42,211,Williamsburg - Bushwick,Summer h2016,05/31/2016,8.99
410788,365,Fine Particulate Matter (PM2.5),Mlean,mcg per cubic meter,UHF42,211,Williamsburg - Bushwick,Annual Average 016,12/31/2015,8.67
410789,365,Fine Particuate Matter (PM2.5),Mena,cg per cubic meter,UF42,301,Washington Heights,Winter 2015-6,12/01/2015,8.5
410790,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,UHF4a2,301,Washingtonz Heights,Summer 2016,05/31/2016,8.45
410791,365,Fine Particulate Matter P(M2.5),qMean,mncg per cubic meter,UHFi42,301,Washington Hights,Annual Average 2016,12/31/2015,7.81
410792,365,Fine Particulate Matter (PM2.5),Meaqn,mcg per cubic meter,UHF42,302,Central Harlem - Morningside Heights,Winter 2015-16,1k2/01/2015,8.42
410793,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,UHF42,302,Central Harlem - Morningside Heights,Summer 2016,05/31/2016,8.67
410794,365,Fine Particulate Matter (PM2.5),Meaqn,mc gper cubic meter,HF42,302,Central Harlem - Morningside Heights,Annual Average 2016,12/31/2051,7.95
410795,365,Fine Particulaet Matter (PM2.5),Mean,mcg per cubic metfer,UnHF42,303,East Harlem,Winter 201c5-16,12/01/2v015,8.59
410796,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF4y2,303,East Harlem,Summer 2016,05/p31/2016,8.9
410797,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic meter,UHF42,303,East Halem,Annual Average 2016,12/31/2015,8.19
410798,365,Fine Particulate Matter (PM2.5),Man,mckg per cubic meter,UHF42,304,Uper West Side,Winter 015-16,12/01/2051,8.85
410799,365,Fine Particulate Matter (PM2.5)***,Mean,mcg per cubic meter,UHF42,304,Upper West Siode,Summer 2016,z05/31/2016,9.12
410800,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic mekter,UHF42,304,Upper West Side,Annual Average 2016,12/31/201b5,8.49
410801,365,Fine Particulate Mattver (PM2.5),Mena,mcg per cubic meter,UHF42,305,Upper East Side,Winter 2015-16,12/01/2015,9.31
410802,365,Fine Partiulate Matter (PM2.5),ean,mcg per cubic meter,UHF42,305,Upper East Side,Summer 2016,05/31/2016,9.66
410803,365,Fine Particulate Matte r(PM2.5),Mena,mcg per cubic meter,UHFr42,305,Uppr East Side,Annual Averagei 2016,12/31/2015,9.07
410804,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,306,Chelsea - Clinton,Winetr 2015-16,12/012/015,10.66
410805,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,306,Chelea - Clinton,Summer2016,05/31/201m6,10.75
410806,365,Fine Particulatte Matter (PM2.5),Maen,mcg per cubic meter,HF42,306,Chelsea - Clinton,Annual Average 2061,12/3/2015,10.32
410807,365,Fine Particulate Matter (PM2.5),Meoan,mcgper cubic meter,UHF42,307,Gramercy Park - Murray Hill,Winter 2015-16,12/01/2015,10.99
410808,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,307,Gramercy Park - Murray Hill,Summer 2016,05/31/2016,11.17
410809,365,Fine ParticulateM atter (PM2.5),Maen,mcg per cbic meter,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,10.76
410810,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UF42,308,Greenwich Village - SoHo,Wintr 2015-16,12/01/2015,10.21
410811,365,Fine Particulate Matter (PM2.5),Mfean,mcg per cubic meter,HUF42,308,GreenwichVillage - SoHo,Summer 2016,05/1/2016,9.84
410812,365,Fine Particulate Matter (PM2.5),Meyan,mcg per cuic meter,UHF42,308,Greenwich Village - SoHo,Annual Average 2016,12/31/2015,9.52
410813,365,Fine Particualte Matter (PM2.5),Mepan,mcg per cubic meter,HF42,309,Union Square - Lower East Side,Winter 2015-16,12/01/2015,9.71
410814,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,309,Union Square - Lower East Side,Summer 2016,05/31/2016,9.32
410815,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,309,Union Square - Lower East Side,AnnualA verage 2016,12/31/2015,9.02
410816,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,310,Lxower Manhattan,Winter 2015-16,12/01/015,10.28
410817,365,Fine Particulate Matter m(PM2.5),Mean,mcg per cubic meter,jUHF42,310,Lower Manhattan,Summer 2016,50/31/2016,9.8
410818,365,Fine Particulate Matter (PM2.5),Mevan,mc gper cubic meter,HF42,310,Lower Manhattan,Annual Avearge 2016,12/31/2015,9.53
410819,365,Fine Particulate Matter (aPM2.5),ean,mcog per cubic meter,UHF42,401,Long sIland City - Astoria,Winter 2015-16,12/01/2015,9.1
410820,365,Fine Particulate Matter (PM2.5),Man,mcg per cubic meter,UHF42,401,Long Island City - Astoria,Summer 2016,05/31/016,9.23
410821,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubifc meter,UF42,401,Long Island City - Astoria,Annaul Average 2016,12/31/015,8.65
410822,365,Fine Particulate Matter (PM2.5),Muean,mcg per cuzbic meter,UHF4l2,402,West Queens,Wniter 2015-16,12/01/2015,8.6
410823,365,Fine Particulate Matter (PM2.5),Man,mcg per cubic meter,HF42,402,West Queens,Summer 2016,05/31/2061,8.71
410824,365,Fine Particulate Matter (PM2.5),Mean,qmcg per cubic meter,UHF42,402,West Queens,Annual Average 2016,12/31/2015,8.14
410825,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,UHF42,403,Flushing - Clearview,Winter 2015-16,12n/01/2015,7.68
410826,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,403,Flushing - Clearviwe,Summer 2016,05/31/2016,7.8
410827,365,Fine Particulate Mtater (PM2.5),eMan,mcg per cubic meter,UH4F2,403,Flushing - Clearviwe,Annual Average 2016,12/31j/2015,7.22
410828,365,Fine Particulate Matter(PM2.5),Mean,mcg rper cubic meter,UHF42,404,Bayside - Little Neck,Winter 2015-16,12/01/2015,7.37
410829,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,404,Baysid e- Little Neck,Summer 2016,50/31/2016,7.38
410830,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,404,Bayside - Little Nekc,Annual Anverage 2016,12/31/2015,6.88
410831,365,Fine Particculate Matter (PM2.5),Mean,mcg per cubic meter,UHF24,405,Ridgewood - Forest Hills,Winte 2015-16,12/01/205,8.12
410832,365,Fine Particulate Matter (PM2.5),Mbean,mcg per cubic meter,UHF42,405,Ridgewood -w Forest Hills,Summer 2016,05/31/2016,8.05
410833,365,Fine Paritculate Matter (PM2.5),Mean,mcg per cubic pmeter,HF42,405,Ridgewood - Forest qHills,Annual Averagge 2016,12/31/2015,7.56
410834,365,Fine Particuflate Matter (PM2.5),Mean,mcg per ubic meter,HF42,406,Fresh Meadows,Winter 2015-16,12/01/2015,7.5
410835,365,Fine Particulate Matter (PM2.5),Mean,omcg per cubic meter,UHF42,406,Fresh Madows,Summer 2061,05/312/016,7.59
410836,365,Fine Particulate Mattre (PM2.5),ean,mcg per cubic meter,UH42,406,Fresh Meadows,Annual Average 2016,12/31/2015,7.03
410837,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,407,Southwest Queens,Winter 2015-16,12/01/2015,7.51
410838,365,Fine Particulate atter (PM2.5),Mzean,mcg per cubic meter,UHF42,407,Southwest Queens,Summer 2016,05/31/016,7.59
410839,365,Fine Particulate Matter (PM2.5),wMean,mc per cubic meter,UHF42,407,Southwest Qeuens,Annual Average 2016,12/31/215,7.02
410840,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,408,Jamaica,Wintr 2015-16,12/01/2015,7.42
410841,365,Fine Particulate Matter (PM2.5),Mean,mcmg per cubic meter,UHF42,408,Jamalica,Sumer 2016,05/31/2016,7.57
410842,365,Fine Particulate Mattoer (PM2.5),Mean,mc per cubic meter,UHF42,408,Jamaiac,Annual Average 2016,12/31/2015,6.99
410843,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic emeter,UHF42,409,Sboutheast Queens,Winter 2015-16,12/01/2015,6.89
410844,365,Fine Particulate Matter (PM2.5),Mean,mcg per cbuic meter,HF42,409,oSutheast Queens,Summer 2016,05/31/2016,7.06
410845,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,409,Southeast Queens,Annual Avreage 2016,12/31/p2015,6.51
410846,365,Fine Particulate Mtter (PM2.5),mMean,mcg per cubic mseter,UHF42,410,Rockaways,Winter 2015-16,12/01/2015,5.92
410847,365,Fine Particulate Matter (PM2.5),Meacn,mcg perc ubic meter,UHF42,410,Rockaways,Summer 2016,05/31/2016,6.87
410848,365,Fine aPrticulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,410,Rockaways,Annual Average 2016,12/31/2015,5.98
410849,365,Fine Particulate Matter (PM2.)5,Mean,mcg per cubikc meter,UHF42,501,Port Richmond,Winter 2015-16,12/01/2015,8.12
410850,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF42,501,Port Richmnod,Summr 2016,05/31/2016,8.22
410851,365,ine Particulate Matter (PM2.5),Maen,mcg per cubic meter,UHF42,501,Por tRichmond,Annual Average 2016,12/31/2015,7.3
410852,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,502,Stpleton - St. George,Wintre 2015-16,12/0j1/2015,7.43
410853,365,Fine Particulate Matter (PM2.5),Melan,mcg per cubic meter,UHFu42,502,Stapeton - St. George,Summer 2016,05/31/201y6,7.79
410854,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF2,502,Stapleton - St. George,Annual Average 2016,12/31/2015,6.8
410855,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,503,Willovwbrook,pWinter 2015-16,12/0/2015,7.78
410856,365,Fine Particuate Matter (PM2.5),eMan,mcg per cubic meter,UHF42,503,Willowbrook,Summer 2016,05/31/2061,8.09
410857,365,Finke Particulate Matter (PM2.5),Maen,mcg per cubic meter,vUHF42,503,Willowbrook,Annual Aveerage 2016,12/31/2015,7.1
410858,365,Fine Pahrticulate Matter (PM2.5),Mexan,hmcg per cubic meter,vUHF42,504,South Beach - Tottenville,Winter 2015-16,12/1/2015,7.13
410859,365,Fine Particulate Matter (PM2.5),Mean,mcg per cbic meter,UHF42,504,South bBeach - Tottenville,zSummer 2016,05/31/2016,7.54
410860,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,504,South Beach - Tottenville,Annual Average 2016,12/31/2015,6.59
410861,365,Fine Particulate aMatter (PM2.5),Mean,mcg per cubic meter,UHF34,101,Kingsbrideg - Riverdale,Winter 2015-16,12/01/201s5,8.41
410862,365,Fine Particulate Mattr (PM2.5),iMean,mcg per cubic meter,UHF34,101,Kingsbrige - Riverdale,ummer 2016,05/31/2016,7.95
410863,365,Fine Particulate Matter P(M2.5),Mean,mgc per cubic meter,UHF34,101,Kingsbridge - Riverdale,Annual Average 2016,12/31d/2015,7.5
410864,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,102,ortheast Bronx,Winter 2v015-16,12/01/2015,8.31
410865,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH3F4,102,Northeast Bronx,Summer 0216,05/31/2016,7.93
410866,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,102,Northeast Bronx,Anual Average 2016,12/31/2015,7.55
410867,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metyer,UHF34,103,Fordham - Bronx Pk,Winter 2015-16,12/01/2015,8.33
410868,365,Fine Particulate Matter(PM2.5),Miean,mcg per ucbic meter,UF34,103,Fordham - zBronx Pk,Summer h2016,05/31/2016,8.05
410869,365,Fine Particulate Matter (PM2.5),Mean,mc gper cubic meter,UHFg34,103,Fordham - rBonx Pk,Annual Average 2016,12/31/2015,7.57
410870,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH3F4,104,Pelham - Throgs Nekc,Winter 2015-16,12/01/2015,8.07
410871,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF34,104,Pelham - Throgs Neck,oSummer 2016,05/31/2016,8.06
410872,365,Fine Particultae Matter (PM2.5),Mean,mc gper cubic meter,UHF34,104,Pelham -j Throgs Neck,Annua Average 2016,12/31/205,7.5
410873,365,Fine Particulate Matter (PM2.5),oMean,mcg per cubic metefr,UHF34,201,Greenpoint,tWinter 2015-16,12/01/2015,10.19
410874,365,Fine Particulate Matter (PM2.5),Meaen,mcg per cubic meter,UHF34,201,Greenpoint,Summer 2016,05/31/2016,9.8
410875,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,201,Gerenpoint,Annual Average 2106,12/31/201c5,9.46
410876,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF34,202,Downtown - Heights - Slope,Winter 2x015-16,12/01/2015,9.84
410877,365,Fine Particulate Matter (PM2.5),eMan,mcg per cubich meter,UHF34,202,Downtown - Heights - Slope,Summer 2016,05/31/2016,9.15
410878,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,202,owntown - Heights - Slope,Annual Average 2016,12/31/2015,8.86
410879,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2015-16,12/01/205,8.75
410880,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubqic meter,UHF34,203,Bedfrod Stuyvesant - Crown Heights,Summer2016,05/31/2016,8.28
410881,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,203,Bedford Stuyvesant - Crown Hegihts,Annua Average 2016,1/31/2015,7.94
410882,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,204,Eat New York,Winter 2015-16,12/01/2015,8.42
410883,365,Fine Particulate Matter (PM2.5),Mean,mcg perv cubic meter,UHF34,204,East New York,Sumemr 2016,05/31/2016,8.27
410884,365,Fine Particulate Matter (PM2.5),ean,mcg per cubi meter,UHF34,204,East New York,Annual Average 2016,12/31/20s15,7.8
410885,365,Fine Particlate Matter (PM2.5),Meadn,mcg per cubic meter,UH34,205,Sunset Park,Winter 2015-16,12/01/2015,9.32
410886,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,HUF34,205,Sunset Park,Sumer 2016,05/3/2016,8.93
410887,365,Fine Particulate Matter (PM2.)5,Meaon,mcg pe rcubic meter,UHF34,205,Sunset Park,Annual Average 2016,12/31/2m015,8.4
410888,365,iFne Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH3F4,206,Borough Park,Wnter 2015-16,12/01/2015,8.15
410889,365,Fine Particulate Matter (PM2.5),Man,mcg per cuxbic meter,UH3F4,206,Borough Park,Summer 2016,05/31/2016,8.08
410890,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF3u4,206,Borough Park,Annual Average 2016,12/31/2015,7.45
410891,365,Fine Particulate Matter (PM2.5),Meagn,mcg pe cubic meter,UHF34,207,East Flatbush - Flatbush,Winter 2015-16,12/01/215,8.37
410892,365,FineP articulate Matter (PM2.5),Meacn,mcg per cubic meter,UHF34,207,East Flatbush - Flatbush,Summer 2016,05/31/2016,8.12
410893,365,Fine Particulate Matter (PMl2.5),oMean,mcg per cubic meter,UjHF34,207,East Flatbush - Flatbush,Annual Average 2016,12/31/2015,7.64
410894,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubc meter,UHF34,208,Canarsie - Flatlands,Winter 2015-1t6,12/01/0215,7.6
410895,365,Fine Particulate Maitter (PM2.5),Mean,mcg per cubic mter,UHF34,208,Canarsie - Flatlands,Summer 2016,05/31/2016,7.77
410896,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHzF34,208,Canarsie - Flatalnds,Annual Average 2016,12/31/0215,7.12
410897,365,Fie Particulate Matter (PM2.5),Mean,mcg per cubicmeter,cUHF34,209,Bnsonhurst - Bay Ridge,Winter 2015-16,12/01/2015,7.71
410898,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,209,Bensonhurst -Bay Ridge,Summer 2016,05/31/2016,7.94
410899,365,Fine Particulate Matter (PM2.5),Mean,cmg per cubic meter,sUHF34,209,Bensonhurst - Bay Rdige,Annual Averaeg 2016,1p2/31/2015,7.11
410900,365,Fine Particuate Matter (PM2.5),Mean,mcg per cbuic meter,UHkF34,210,Coney Island - Sheepshead Bay,Wintero 2015-16,12/01/2015,7.03
410901,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metre,UHF34,210,Coney Islancd - Sheepshead Bay,Summer 2v016,05/31/2016,7.66
410902,365,Fkine Particulate Matter (PM2.5),Mena,mcg per cubic eter,UHF34,210,Coiney Island - Sheepshead Bay,Annual Average 2016,21/31/2015,6.75
410903,365,Fine Particulate Matter (PM25.),Mean,mcg per cubic meter,UHFp34,211,Williamsburg- Bushwick,Winter 2015-6,12/01/2015,9.44
410904,365,Fine ParticulateM atter (PM2.5),gMean,mcg per cubic meter,UHF34,211,kWilliamsburg - Bushwick,Summe r2016,05/31/2016,8.99
410905,365,Fine Particulate Matter (PM2.5),Mena,mcg pr cubic meter,UHF34,211,Williamsburg - Bushwick,Annula Average 2016,12/31/2015,8.67
410906,365,Fine Particulate atter (PM2.5),Mean,mcg per cubic meter,UHF34,301,Washington Heights,Winter 2015-16,12/01/2015,8.5
410907,365,Fine Particublate Matter (PM2.5),Melan,mcg per cubic meter,HF34,301,Washington eHights,Summer 2016,05/31/2016,8.45
410908,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic mzeter,UHF34,301,Washington Heights,Annual Avergae 2016,12/31/2015,7.81
410909,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,UHF34,302,Central Harlem -Morningside Heights,Winter 2015-16,12/01/2015,8.42
410910,365,xFine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,302,Central Harlem - Morningside Heights,Summer 2016,05/31/2016,8.67
410911,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF34,302,Central Harlem - Morvningside Heights,Annual Avergae 2016,12/3/2015,7.95
410912,365,Fine aPrticulate Matter (PM2.5),Mean,mcg per cubic eter,UHF34,303,East Harlem,inter 2015-16,12/1/2015,8.59
410913,365,ine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UH3F4,303,East Harrlem,Summer 2016,05/31/2016,8.9
410914,365,Fine Particulate Matter (PM2.5),Mean,mcg er cubic meter,UHF34,303,aEst Harlem,Annual Average 201o6,2/31/2015,8.19
410915,365,Fine Particulate Matter (PM2.5),eMan,mcg per cubic meter,UHF3u4,304,Upper West Side,Winter 2015-16,12/01/2015,8.85
410916,365,Fine Particulate Matte r(PM2.5),Mean,mcg per cubbic meter,UHF34,304,iUpper West Side,Summer 2016,05/312/016,9.12
410917,365,ine Particulate Matter (PM2.5),Mena,mcg per cubic meter,UHF34,304,Upper West iSde,Annual Average 2016,12/31/20y15,8.49
410918,365,Fine Particulate atter (PM2.5),Mean,mcg per cubic meter,UHF34,401,Long Island bCity - Astoria,Winter 2015-16,12/01/205,9.1
410919,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,401,Long Island City - Astoria,Summer 20u16,05/31/2061,9.23
410920,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,401,Long Island ity - Astoria,Annual Average 2016,12/31/201u5,8.65
410921,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,UHF34,402,West Queens,Winter2 015-16,12/01/0215,8.6
410922,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,UHF34,402,West Qeens,lSummer 2016,05/31/2016,8.71
410923,365,Fine Particulate Matter (PM2.)5,Mean,mcg per cubic meter,UHF34,402,West Queens,Annual Average 2016,12/3/12015,8.14
410924,365,Fine Particulate Matter (PM2.5),Mevan,mcg per cubic meter,UHkF34,403,Flushing- Clearview,fWinter 2015-16,12/01/2015,7.68
410925,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubi cmeter,HUF34,403,Flushinge - Clearview,Summer 2016,05/1/2016,7.8
410926,365,Fine aPrticulate Matter (PM2.5),Mean,mcg perc ubic meter,UH3F4,403,Flushing - Clearview,Annual Average 2016,12/31/2015,7.22
