ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q2h_Condition_of_neighborhood,Q4_Services/Facility_used_past_12_mo,Q4_2nd,Q4_3rd,Q4_4th,Q4_5th,Q4_6th,Q4_7th,Q4_8th,Q4_9th,Q4_10th,Q4_11th,Q4_12th,Q4_13th,Q4_14th,Q4_15th,Q5a_Quality_of_larger_City_parks,Q5b_Neighborhood_parks,Q5c_Recreation/community_centers,Q5d_City_swimming_pools,Q5e_Outdoor_athletic_fields,Q5f_City_golf_courses,Q5g_Tempe_Center_for_the_Arts,Q5h_Tempe_History_Museum,Q5i_Tempe_Public_Library,Q5j_Disability_access_to_City_programs,Q6a_Condition_of_City_streets,Q6b_Condition_of_City_signs,Q6c_Mgmt_of_traffis_flow-streets,Q6d_Cleanliness_City_streets,Q6e_Landscape_maint-streets/sidewalks,Q6f_Property_maint_envorcement_codes,Q6g_Appearance_residential_property,Q6h_Appearance_commercial_property,Q6i_Transit_sve-bus/rail/Orbit,Q6j_Walking/biking_paths,Q6k_Quality_local_police_services,Q6l_Enforcement_of_traffic_laws,Q6m_Effors_to_prevent_crime,Q6n_Quality_of_fire_services,Q6o_Availability_of_information,Q6p_Arts_&_recreattion_prog/svc,Q6q_Social/Human_services,Q6r_Maint_City_parks,Q6s_Library_services_&_programs,Q6t_Tempe_Center-Arts_programs,Q6u_Before/after_school_programs,Q6v_Residential_trash_collection_svc,Q6w_Recycling_services,Q6x_Bulk_trash_pickup/removal_svc,Q6y_Water/sewer_services,Q7_Social/human_services_used,Q7_2nd,Q7_3rd,Q7_4th,Q7_5th,Q7_6th,Q7_7th,Q7_8th,Q7_9th,Q8_Most_emphasis,Q8_2nd,Q8_3rd,Q9_Which_use_to_get_information,Q9_2nd,Q9_3rd,Q9_4th,Q9_5th,Q9_6th,Q9_7th,Q9_8th,Q9_9th,Q9_10th,Q9_11th,Q10a_Contacted_the_city_past_12_mo,Q10b_How_easy_city_was_to_contact,Q10c_Way_you_were_treated,Q10d_Accuracy_of_information_given,Q10e_How_quickly_responded_to_request,Q10f_How_well_issue_was_handled,Q11_1st_Priority,Q11_2nd,Q13a_How_many_years_lived_in_Tempe,Q13b_What_is_your_age,Q13c_Gender,Q13d_Used_public_transit_past_year,Q13e_Are_you_full-time_student,Q13f_Own_or_rent,Q13g_Does_home_have_alley,Q13h_Highest_level_of_education,Q13i_Describe_your_home,Q13j_Have_cable_TV,Q13j-Have_internet_access_home,Q13j_A_smart_phone,Q13k_Visited_downtown_past_year,Q13l_Race/ethnicity,Q13l_2nd,Q13l_3rd,Q13l_4th,Q13l_5th,Q13l_Other,QA_Are_Arts/Culture_important_to_you,QB_Best_describes_opinion-Arts/Culture,QCa-Variety_of_offering,QCb-Availability_of_offerings,QCc-Quality_of_offerings,QCd-Affordabiity_of_offerings,OBJECTID
559,5,4,4,4,5,4,4,5,4,4,3,4,4,4,4,4,9,4,5,5,5,5,D,H,K,,,,,,,,,,,,,4,4,3,9,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,,,,,,,B,A,C,A,C,,,,,,,,,,2,,,,,,C,F,4,3,1,1,2,1,2,3,1,1,1,1,1,2,,,,,,2,2,4,4,4,4,558
560,5,4,4,4,4,9,5,5,4,4,3,2,4,4,4,4,4,4,4,4,4,4,B,C,D,E,F,I,J,K,L,M,O,,,,,4,4,4,4,4,9,4,9,4,9,4,2,3,1,2,3,4,4,4,4,5,5,5,3,3,9,3,3,4,9,5,5,5,5,5,A,,,,,,,,,H,B,A,E,H,I,K,,,,,,,,1,2,4,4,4,4,H,L,5,2,1,1,2,1,1,3,1,1,1,1,1,2,,,,,,3,2,9,9,9,9,559
561,4,4,4,3,3,4,4,3,4,3,3,4,3,4,3,2,2,4,4,4,4,4,C,,,,,,,,,,,,,,,4,4,3,3,3,3,3,3,3,3,3,4,2,3,3,2,3,3,4,4,5,3,4,5,4,4,3,4,3,4,3,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,2,,,,,,B,C,5,5,1,2,2,1,1,3,1,2,1,2,1,2,,,,,,2,3,4,4,4,4,560
562,4,4,4,4,2,2,4,4,4,9,9,4,9,9,4,2,9,9,2,4,4,4,A,C,F,L,N,,,,,,,,,,,4,4,4,4,9,9,4,9,9,9,4,4,4,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,9,4,4,4,4,Z,,,,,,,,,B,C,,C,H,,,,,,,,,,2,,,,,,H,,5,5,2,2,2,2,1,3,1,1,1,2,1,2,5,,,,,2,3,4,3,4,3,561
563,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,9,3,3,3,4,B,C,D,L,N,,,,,,,,,,,5,3,3,9,4,9,5,9,3,9,4,4,4,3,3,9,3,3,3,4,9,9,3,9,4,4,9,3,3,5,9,4,4,2,4,Z,,,,,,,,,A,B,C,E,H,,,,,,,,,,2,,,,,,J,K,3,1,2,2,2,2,1,2,1,1,1,1,1,2,,,,,,1,2,5,5,5,5,562
564,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,D,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,K,,,,,,,,1,5,5,5,5,5,Z,,5,5,2,2,2,1,1,2,1,1,1,1,1,2,,,,,,2,2,5,5,5,4,563
565,4,3,3,2,4,4,3,2,3,9,2,4,2,2,4,4,4,3,4,5,4,4,B,C,D,E,F,J,K,L,M,N,,,,,,4,5,4,9,4,9,9,4,4,9,4,1,1,4,3,3,3,3,4,4,4,9,3,9,4,9,3,4,4,9,4,4,4,4,4,F,,,,,,,,,B,G,H,E,,,,,,,,,,,2,,,,,,A,J,5,5,1,1,2,1,2,3,1,1,1,2,1,2,5,,,,,2,5,9,9,9,9,564
566,5,4,5,4,4,4,5,4,4,5,4,5,4,5,5,5,5,9,4,4,5,5,B,C,D,I,J,K,L,M,O,,,,,,,5,4,4,4,4,9,5,5,5,4,5,5,2,5,4,3,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,,,,,,,H,A,G,A,B,C,E,F,H,I,J,K,,,2,,,,,,D,F,4,1,2,1,2,2,2,5,1,2,1,1,1,2,,,,,,1,2,5,5,5,5,565
567,4,4,4,1,2,3,4,2,2,2,9,9,2,2,4,4,4,9,4,9,1,4,K,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,4,4,4,4,4,9,4,4,4,9,9,9,3,3,4,3,9,9,9,9,9,4,4,4,4,Z,,,,,,,,,B,A,G,E,G,I,,,,,,,,,2,,,,,,C,F,4,4,1,1,2,1,2,2,1,1,1,1,2,2,,,,,,3,5,4,4,9,9,566
568,4,4,4,4,4,4,3,4,4,4,9,4,3,4,3,3,2,3,4,4,4,3,A,L,,,,,,,,,,,,,,9,3,9,9,9,9,5,9,9,9,3,3,3,3,2,2,2,2,9,9,4,9,5,3,9,9,3,9,5,9,5,5,4,4,4,Z,,,,,,,,,Z,,,E,I,,,,,,,,,,2,,,,,,C,J,5,4,1,2,2,1,1,4,1,2,1,2,1,2,,,,,,2,3,9,9,4,4,567
569,4,4,3,9,4,2,4,9,3,3,4,9,3,3,2,4,1,3,3,4,4,2,B,C,D,F,G,N,O,,,,,,,,,5,4,4,9,9,9,9,5,4,9,4,5,4,5,5,1,2,4,3,5,3,4,2,9,5,5,9,4,4,4,9,5,4,4,3,Z,,,,,,,,,A,E,F,B,E,G,H,,,,,,,,1,3,4,4,4,4,H,J,5,4,2,2,2,1,1,4,1,2,1,2,1,2,,,,,,1,3,4,3,3,4,568
570,4,4,4,9,4,4,9,9,9,9,9,3,3,9,5,5,2,3,3,4,4,4,C,D,K,L,,,,,,,,,,,,4,4,9,9,9,9,4,9,9,9,4,5,4,4,4,9,4,4,5,4,4,9,3,9,3,9,9,4,9,4,9,4,2,2,4,Z,,,,,,,,,Z,,,H,I,,,,,,,,,,2,,,,,,D,M,2,4,2,1,2,1,1,3,1,1,1,1,1,2,,,,,,2,2,5,5,5,5,569
571,5,4,4,2,4,4,2,2,4,3,4,9,4,4,4,4,3,4,4,4,2,3,B,C,D,G,N,,,,,,,,,,,4,4,9,9,9,9,9,4,4,9,5,5,4,5,5,3,3,3,9,5,4,9,9,9,4,9,9,4,4,9,9,5,5,5,5,Z,,,,,,,,,Z,,,E,H,I,,,,,,,,,2,,,,,,Z,,5,4,2,2,2,1,1,4,1,1,2,2,1,2,,,,,,3,2,4,9,9,9,570
572,3,4,4,4,4,3,3,4,3,4,3,4,4,4,2,3,3,4,3,4,1,5,B,C,D,E,F,L,,,,,,,,,,4,4,4,4,3,3,4,3,4,3,1,3,2,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,Z,,,,,,,,,A,H,B,E,,,,,,,,,,,2,,,,,,C,J,2,1,2,2,2,2,1,1,1,2,1,1,1,2,,,,,,3,2,4,4,5,4,571
573,4,4,4,4,4,3,4,4,3,9,4,4,4,5,3,3,4,9,3,4,4,4,B,C,D,E,J,,,,,,,,,,,4,4,9,9,4,3,9,9,4,4,3,4,3,4,4,4,4,3,4,4,3,3,3,9,4,4,9,4,4,9,9,4,4,4,4,Z,,,,,,,,,H,A,D,C,E,H,,,,,,,,,2,,,,,,C,H,3,4,1,9,2,1,2,4,1,1,1,1,1,2,5,,,,,2,2,4,4,4,4,572
574,4,2,3,9,4,4,4,4,9,3,9,3,2,2,2,4,2,2,4,4,2,2,C,D,F,J,,,,,,,,,,,,4,4,3,9,9,3,9,9,4,9,2,4,4,4,4,4,4,3,3,3,4,4,4,4,9,2,9,9,3,3,9,9,4,3,4,Z,,,,,,,,,Z,,,E,G,J,,,,,,,,,1,5,5,5,5,5,A,K,3,1,1,1,2,1,1,5,1,2,1,1,1,2,,,,,,2,3,4,3,3,4,573
575,3,4,4,4,3,2,9,9,3,9,9,9,9,3,3,3,4,9,9,3,4,4,Z,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,9,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,H,J,5,4,2,2,2,2,1,5,1,1,1,2,2,2,,,,,,3,5,9,9,9,9,574
576,4,5,5,4,4,5,4,4,4,9,4,4,4,4,5,5,4,4,4,4,4,4,Z,,,,,,,,,,,,,,,5,4,4,4,4,9,9,9,4,9,4,4,4,5,5,4,4,4,5,4,5,4,5,5,5,5,9,4,5,9,9,4,4,4,5,Z,,,,,,,,,G,H,I,E,G,I,,,,,,,,,2,,,,,,A,C,5,4,2,2,2,1,1,4,1,1,2,2,1,4,,,,,,2,2,5,5,5,5,575
577,3,4,4,4,4,3,3,3,9,9,9,9,9,9,4,4,3,9,3,3,4,4,C,D,H,,,,,,,,,,,,,9,3,9,9,9,3,9,9,9,9,4,4,4,4,3,3,3,3,9,3,9,3,3,3,9,9,3,9,9,9,4,4,4,4,3,Z,,,,,,,,,Z,,,G,I,,,,,,,,,,2,,,,,,A,I,5,3,1,2,2,2,1,2,1,1,1,1,1,2,,,,,,2,3,9,9,9,9,576
578,5,4,5,4,4,4,4,5,5,4,9,4,3,4,3,3,4,3,9,4,2,3,B,C,D,E,H,I,J,L,M,N,,,,,,3,3,9,4,4,3,5,9,5,9,4,4,4,4,3,3,2,3,9,4,4,4,3,4,4,5,9,3,5,5,5,4,5,1,5,A,,,,,,,,,Z,,,E,F,H,I,J,,,,,,,2,,,,,,B,K,3,2,2,2,2,2,2,1,2,1,1,1,1,2,,,,,,1,1,5,5,5,5,577
579,4,4,3,3,4,3,3,3,4,3,3,3,3,3,4,4,4,9,3,4,2,4,C,L,N,,,,,,,,,,,,,4,4,4,4,9,9,4,4,4,9,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,3,4,2,3,Z,,,,,,,,,G,H,A,C,E,F,H,I,,,,,,,2,,,,,,A,M,5,3,1,2,2,2,1,2,1,1,1,1,1,2,,,,,,1,2,4,4,4,3,578
580,4,4,4,2,4,3,2,3,4,4,3,3,4,2,3,3,3,4,3,3,4,4,B,C,D,G,H,L,M,N,,,,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,5,3,4,5,4,4,4,3,4,4,3,3,3,1,3,1,Z,,,,,,,,,Z,,,E,H,I,J,,,,,,,,1,5,5,4,4,4,C,H,4,4,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,1,2,4,4,4,4,579
581,2,3,3,9,1,1,9,2,1,1,2,9,9,1,4,4,1,1,1,2,4,1,Z,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,4,4,2,2,9,9,2,2,9,9,2,9,2,9,9,9,9,9,9,9,9,9,1,9,9,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,Z,,9,3,2,2,2,2,2,5,9,9,9,9,9,2,,,,,,3,3,5,5,5,5,580
582,3,4,3,9,3,2,9,9,2,9,9,9,9,9,4,4,4,9,3,5,2,4,B,C,D,E,H,I,J,K,,,,,,,,4,3,3,4,4,4,4,4,4,9,4,4,3,3,3,9,2,3,9,4,9,3,2,9,3,3,9,4,4,9,9,9,2,9,2,Z,,,,,,,,,Z,,,E,H,,,,,,,,,,1,5,5,5,5,5,A,F,3,2,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,2,2,4,4,3,3,581
583,5,4,5,4,4,4,5,4,5,5,5,4,4,4,5,5,4,9,5,4,5,5,B,C,D,H,L,,,,,,,,,,,5,5,5,9,9,4,5,5,5,4,4,4,4,5,5,4,4,4,9,5,5,4,4,4,5,9,9,4,5,5,9,5,5,5,5,Z,,,,,,,,,A,G,H,E,G,I,,,,,,,,,2,,,,,,A,J,4,4,1,2,2,2,1,2,1,1,1,1,1,2,,,,,,1,3,4,3,4,4,582
584,4,4,4,4,4,4,9,4,9,4,9,4,9,4,4,4,4,9,4,3,4,4,B,C,D,E,N,,,,,,,,,,,2,2,9,9,2,9,9,9,4,9,4,4,4,4,3,9,4,3,9,5,9,9,9,9,3,9,9,2,9,9,9,5,5,1,4,Z,,,,,,,,,Z,,,H,I,,,,,,,,,,2,,,,,,A,K,5,3,2,2,2,1,2,4,1,1,1,1,1,2,,,,,,2,2,4,4,4,4,583
585,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,5,4,9,5,5,5,5,B,G,L,M,N,O,,,,,,,,,,5,5,5,9,9,4,5,5,5,9,5,5,4,4,4,4,4,4,9,9,5,5,9,5,5,5,9,4,5,5,9,5,5,5,5,B,,,,,,,,,B,A,G,E,G,J,K,,,,,,,,2,,,,,,D,E,5,4,2,1,2,2,1,1,1,1,1,2,1,2,,,,,,1,2,4,4,4,3,584
586,4,4,4,3,4,4,3,4,4,9,4,3,3,3,4,5,4,9,4,9,2,4,B,C,D,J,K,L,M,N,,,,,,,,4,5,4,9,4,9,5,4,5,5,4,5,4,4,4,9,4,4,5,4,3,2,9,9,4,4,9,5,5,4,9,5,5,4,5,Z,,,,,,,,,G,C,A,B,E,F,H,J,,,,,,,2,,,,,,C,G,4,4,1,1,1,2,1,2,1,1,1,2,1,2,,,,,,1,2,4,5,5,5,585
587,4,4,4,4,4,4,4,3,3,3,4,4,3,3,2,3,4,9,4,3,4,4,B,C,D,K,N,,,,,,,,,,,4,4,9,9,9,9,9,9,4,9,3,4,3,3,4,9,4,4,3,2,9,3,9,9,3,9,9,3,4,9,9,2,4,1,3,Z,,,,,,,,,Z,,,E,H,,,,,,,,,,2,,,,,,F,M,5,4,2,1,2,1,2,4,1,2,1,2,1,2,,,,,,3,5,9,9,9,9,586
588,4,4,5,4,5,3,3,4,4,4,4,4,4,4,4,4,4,9,4,4,4,4,A,B,C,D,F,H,J,K,L,,,,,,,5,4,4,4,9,4,5,4,5,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5,4,4,B,,,,,,,,,C,B,A,E,G,I,K,,,,,,,,1,4,4,4,4,4,C,F,4,3,2,1,2,1,2,5,1,1,1,1,1,2,,,,,,2,2,4,4,4,5,587
589,3,4,4,3,4,5,4,4,4,4,3,4,4,3,4,4,4,3,5,4,3,4,B,C,N,,,,,,,,,,,,,4,4,9,9,4,9,9,9,4,9,4,3,3,4,4,3,4,9,9,4,4,9,4,4,9,9,4,3,9,9,3,3,3,2,3,Z,,,,,,,,,Z,,,B,E,H,,,,,,,,,2,,,,,,E,H,3,4,2,1,2,2,1,1,1,1,1,1,2,2,5,,,,,2,5,9,9,9,9,588
590,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,N,C,D,E,F,K,N,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,B,,,,,,,,,Z,,,H,J,,,,,,,,,,1,5,5,5,5,5,H,L,5,4,1,1,2,1,2,4,1,1,1,2,1,2,,,,,,1,1,5,5,5,5,589
591,4,4,4,3,3,3,5,3,5,4,4,4,4,3,5,5,5,4,4,4,3,4,B,C,D,E,F,K,L,M,N,,,,,,,5,4,4,4,4,4,5,4,5,4,5,5,5,5,4,5,4,4,5,2,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,A,,,,,,,,,C,G,B,B,E,G,H,I,K,,,,,,1,5,5,5,5,5,F,I,5,3,2,1,2,1,1,1,1,2,1,1,1,2,5,,,,,1,2,5,4,5,5,590
592,5,4,5,5,5,4,5,5,9,9,9,4,9,9,4,4,2,2,4,4,3,4,K,N,,,,,,,,,,,,,,5,4,9,9,9,9,4,4,5,4,3,5,4,4,4,3,3,4,5,9,4,4,4,4,4,9,9,4,4,9,9,5,5,9,5,Z,,,,,,,,,G,I,H,G,J,,,,,,,,,,1,5,5,5,5,5,C,J,5,4,2,1,2,1,1,5,1,1,1,2,1,2,,,,,,1,2,5,5,5,4,591
593,4,2,4,3,4,4,3,3,3,2,4,3,2,4,2,2,4,9,4,4,4,4,A,C,F,K,N,,,,,,,,,,,4,4,3,3,3,3,3,3,4,4,3,2,4,4,2,3,4,2,4,4,4,4,4,2,3,4,4,4,4,3,9,4,4,1,2,D,H,,,,,,,,B,A,,A,B,E,H,,,,,,,,1,2,4,2,3,3,C,M,5,4,2,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,3,3,3,5,3,592
594,5,4,5,5,5,4,5,4,5,4,9,4,4,4,5,5,5,9,5,5,5,5,C,D,E,F,H,N,,,,,,,,,,4,5,9,9,5,4,9,9,4,9,4,4,4,4,4,4,3,4,4,5,4,4,4,9,4,9,9,5,4,3,9,5,5,5,4,Z,,,,,,,,,Z,,,B,E,I,,,,,,,,,2,,,,,,B,C,3,3,2,2,2,2,1,5,1,1,1,1,1,2,,,,,,2,1,5,5,5,4,593
595,5,4,5,4,5,5,5,4,5,4,5,5,5,4,4,4,4,3,4,5,5,5,C,D,K,N,,,,,,,,,,,,5,5,5,9,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,C,,,,,,,,,B,A,H,E,F,,,,,,,,,,1,5,5,5,5,5,B,D,5,3,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,2,3,5,5,5,5,594
596,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,9,5,5,5,5,A,C,D,F,J,K,N,,,,,,,,,4,4,9,9,9,9,9,9,9,9,5,5,5,5,5,5,9,9,5,5,5,5,9,9,9,5,9,9,9,5,5,5,5,5,5,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,1,5,5,5,5,5,Z,,5,4,1,1,2,1,2,1,1,1,1,2,2,1,5,,,,,9,5,9,9,9,9,595
597,4,4,4,9,4,3,9,9,9,9,9,9,9,9,3,4,9,3,9,9,4,4,Z,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,4,4,9,4,4,3,3,9,9,3,3,9,9,4,9,9,9,9,9,9,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,2,,,,,,Z,,5,4,1,2,2,1,1,4,1,2,2,1,1,2,,,,,,4,6,9,9,9,9,596
598,4,4,4,4,4,4,4,9,3,4,2,9,4,4,4,4,2,4,4,4,4,4,A,C,D,H,K,,,,,,,,,,,4,4,4,4,4,4,9,9,4,9,4,4,4,4,2,2,2,2,4,4,4,4,9,4,4,9,9,4,4,9,4,4,4,4,4,Z,,,,,,,,,Z,,,A,A,E,I,K,,,,,,,2,,,,,,F,L,5,4,2,1,2,2,1,2,1,1,1,1,2,5,,,,,,2,3,4,4,4,4,597
599,4,4,4,9,3,3,9,4,4,9,9,4,3,3,4,4,3,2,3,2,2,3,B,C,D,K,L,N,,,,,,,,,,5,3,4,9,9,9,4,9,4,9,3,5,3,3,4,9,3,2,2,3,4,3,3,4,3,4,9,3,4,4,9,4,4,2,3,Z,,,,,,,,,A,B,G,A,E,G,,,,,,,,,2,,,,,,B,L,5,9,2,1,2,1,2,4,1,1,1,2,1,2,,,,,,2,3,3,9,4,3,598
600,4,4,4,9,4,4,9,9,9,3,4,3,3,3,4,4,2,1,4,4,2,3,A,B,G,M,N,,,,,,,,,,,4,3,4,9,9,9,9,4,4,4,4,4,4,4,4,1,2,4,4,4,5,4,5,5,4,5,9,4,5,9,9,4,4,1,2,B,,,,,,,,,B,C,G,G,K,,,,,,,,,,1,2,4,4,4,4,J,M,2,4,1,2,2,1,1,5,1,1,1,1,1,2,,,,,,1,2,4,3,4,4,599
601,5,4,4,4,4,4,5,3,4,3,4,3,3,3,4,4,2,3,4,4,4,3,B,C,D,F,G,K,L,M,,,,,,,,4,3,4,9,9,9,4,4,4,3,4,5,4,3,3,2,2,4,4,4,4,4,4,4,4,5,4,4,3,4,4,9,3,4,2,B,E,,,,,,,,B,G,C,B,E,F,G,H,I,J,,,,,1,4,4,4,4,4,A,J,5,3,2,1,2,1,1,5,1,1,1,1,1,2,,,,,,1,3,4,4,4,4,600
602,4,4,4,9,4,4,4,4,4,5,9,3,4,4,4,4,2,3,4,5,4,4,B,C,D,J,L,K,N,,,,,,,,,4,5,4,3,9,9,5,9,5,9,4,3,3,4,3,2,2,3,9,4,3,3,4,9,5,5,9,5,5,5,9,4,4,2,3,C,,,,,,,,,C,G,A,B,,,,,,,,,,,2,,,,,,A,G,5,3,2,2,2,1,2,5,1,1,1,1,1,2,,,,,,2,2,4,4,4,3,601
603,4,4,4,3,4,4,4,3,3,4,3,2,3,3,4,4,4,4,4,5,5,3,B,C,D,F,H,J,K,,,,,,,,,5,5,4,9,4,3,5,3,5,4,3,3,3,4,4,3,4,4,5,5,5,5,4,4,4,9,9,5,5,5,9,5,2,4,2,Z,,,,,,,,,Z,,,C,G,H,K,,,,,,,,2,,,,,,I,,3,1,2,1,1,2,2,4,1,1,1,1,1,2,,,,,,2,2,4,4,5,3,602
604,5,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,4,B,D,H,L,N,,,,,,,,,,,5,5,5,9,5,5,5,5,5,9,4,4,4,4,4,4,4,4,4,4,9,5,5,2,4,4,4,5,9,4,5,5,9,4,4,Z,,,,,,,,,B,C,G,B,E,H,,,,,,,,,1,4,5,4,5,5,C,G,5,4,2,1,2,2,1,2,1,1,1,2,1,2,5,,,,,1,2,4,4,4,4,603
605,4,4,4,4,4,5,9,4,4,4,5,4,5,5,4,5,4,2,5,4,4,4,B,C,D,H,,,,,,,,,,,,4,4,5,5,4,4,4,4,5,4,4,5,5,4,4,4,5,4,4,5,4,2,4,5,5,5,5,4,5,4,9,4,4,4,5,Z,,,,,,,,,A,B,C,A,B,E,F,G,H,I,,,,,2,,,,,,B,K,5,3,1,2,2,2,1,5,1,1,1,1,1,2,,,,,,2,2,4,3,4,4,604
606,5,4,4,9,3,4,9,9,9,9,4,4,3,9,4,4,3,2,4,4,2,3,B,C,D,G,J,N,,,,,,,,,,5,4,4,4,9,9,9,4,5,9,4,4,1,5,5,9,3,4,9,5,4,4,4,9,5,9,4,5,5,9,5,5,5,5,5,A,,,,,,,,,G,A,C,B,E,G,,,,,,,,,1,5,5,5,5,5,A,J,4,3,2,1,2,2,1,1,1,1,1,1,1,2,,,,,,2,3,4,4,5,4,605
607,4,4,4,3,4,3,2,3,3,3,4,4,3,3,4,4,4,3,3,4,1,3,B,G,H,,,,,,,,,,,,,4,4,9,9,9,4,9,4,4,3,3,2,2,3,1,3,3,3,3,3,3,1,3,3,4,3,3,3,4,3,9,3,3,2,4,Z,,,,,,,,,G,C,B,E,I,,,,,,,,,,1,4,4,4,4,4,J,,3,4,1,2,2,1,1,4,1,1,1,1,2,2,,,,,,2,3,4,4,4,4,606
608,4,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4,4,9,4,5,5,5,B,C,G,N,,,,,,,,,,,,5,5,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,5,5,5,5,B,,,,,,,,,Z,,,E,G,I,,,,,,,,,1,5,5,4,4,5,A,H,5,4,1,1,2,1,2,2,1,2,2,2,1,2,,,,,,3,2,4,4,4,4,607
609,2,4,5,4,4,3,3,4,4,5,9,3,4,4,5,5,3,5,3,4,4,2,C,F,G,J,O,,,,,,,,,,,4,4,4,4,9,9,9,4,9,4,4,5,4,4,4,2,2,4,1,4,9,4,3,4,4,4,4,9,4,9,9,4,4,4,3,G,,,,,,,,,A,E,D,H,I,,,,,,,,,,1,5,1,4,4,1,A,F,4,4,2,1,2,2,1,1,1,1,1,2,1,2,,,,,,3,3,4,4,4,3,608
610,4,4,5,5,4,5,4,5,4,4,5,4,4,4,5,5,5,9,5,5,9,5,B,C,L,,,,,,,,,,,,,5,5,5,5,5,5,5,9,5,9,4,4,4,5,5,9,4,4,9,5,4,4,4,4,9,9,4,4,5,9,4,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,2,,,,,,A,C,5,4,1,2,2,1,2,5,1,1,1,1,1,2,,,,,,2,4,4,4,4,4,609
611,4,4,4,5,4,5,4,3,3,2,3,4,3,4,4,4,4,4,5,3,3,4,B,C,F,K,M,N,,,,,,,,,,4,3,4,3,3,3,4,4,5,3,4,4,4,4,4,4,4,4,5,3,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,A,,,,,,,,,A,B,H,E,H,,,,,,,,,,1,4,4,4,4,4,C,G,5,4,1,1,2,1,1,5,1,1,1,1,1,2,,,,,,1,2,4,4,4,3,610
612,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,B,C,F,I,J,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,,,,,,,D,A,G,H,,,,,,,,,,,2,,,,,,G,H,2,1,2,2,1,1,1,5,1,1,1,1,1,2,,,,,,2,1,5,5,5,5,611
