1823.fipstwo,31011,f31011
873.countytwo,cott ,Scott 
3076.statecounty,WA_Samania,WA_Skamania
1045.fipstwo,xf21091,f21091
846.fipstwo,1f8087,f18087
678.countytwo,Fremot ,Fremont 
1053.statecounty,KY_Hokins,KY_Hopkins
158.county,Hoonah-Angoon Census Area,Saline 
2835.fipstwo,f8447,f48447
256.fips,5137.0,8013
1000.statecounty,KY_Adari,KY_Adair
1206.statecounty,MD_Chrles,MD_Charles
2985.county,Norotn city,Norton city
947.statecounty,KS_Linrcoln,KS_Lincoln
455.statevalue,A,GA
2628.county,Broden ,Borden 
2191.fipstwo,f4f0099,f40099
202.statefips,2.0,6
481.statefips,20,13
2897.fipstwo,f15003,f51003
298.statevalue,OC,CO
281.fips,2110.0,8061
95.fips,2180.0,1131
855.fipstwo,f18015,f18105
752.statecounty,IL_Lee***,IL_Lee
2722.countytwo,ood ,Hood 
1527.statevalue,S,MS
1037.fipstwo,f2o1075,f21075
379.statevalue,LF,FL
224.county,Lake and Peninsula Borough,Riverside 
2572.fipstwo,f471u15,f47115
554.fipstwo,f51003,f15003
298.fips,6043.0,8095
354.countytwo,oHlmes ,Holmes 
2635.countytwo,Brooks ***,Brooks 
312.fipstwo,f02110,f08123
93.county,Hoonah-Angoon Census Area,Walker 
1013.statevalue,pKY,KY
3173.county,Hardyt ,Hardy 
1346.fipstwo,f27l051,f27051
666.statecounty,ID_Bonneville***,ID_Bonneville
2053.countytwo,Yaes ,Yates 
2472.county,dmunds ,Edmunds 
2878.statevalue,TU,UT
394.fips,2013.0,13003
771.statecounty,IL_gle,IL_Ogle
2765.statevalue,cTX,TX
43.fipstwo,f02180,f01027
117.county,Fairbanks North Star Borough,Desha 
1409.countytwo,Adrew ,Andrew 
701.statevalue,L,IL
475.county,Johnsno ,Johnson 
121.statefips,2.0,5
325.fipstwo,f02050,f10005
482.statefips,64,13
1555.statecounty,MS_Itahwamba,MS_Itawamba
471.statefips,37,13
2303.statevalue,AP,PA
168.statecounty,AK_Aleutians East Borough,AR_Washington
407.statecounty,AL_Autauga,GA_Bryan
487.fipstwo,f1l3195,f13195
43.statefips,2.0,1
3096.countytwo,olumbia ,Columbia 
1833.countytwo,Cehrry ,Cherry 
1289.statecounty,MI_iMarquette,MI_Marquette
375.statecounty,CA_Lassen,FL_Palm Beach
328.fips,2090.0,12005
1845.statecounty,NE_Douglsa,NE_Douglas
450.statefips,93,13
120.statefips,2.0,5
145.county,Haines Borough,Montgomery 
1488.county,Pelps ,Phelps 
541.countytwo,Warre ,Warren 
908.countytwo,Clya ,Clay 
175.county,Dillingham Census Area,Swains Island
320.statevalue,T,CT
464.fipstwo,13145,f13145
367.fips,2020.0,12085
15.fips,2020.0,2164
2798.statecounty,TX_Polbk,TX_Polk
218.fips,2090.0,6053
1780.county,Fositer ,Foster 
1044.county,reenup ,Greenup 
69.statecounty,AK_Bethel Census Area,AL_Lawrence
2167.countytwo,Grvady ,Grady 
118.statecounty,AK_Bristol Bay Borough,AR_Drew
2204.statecounty,OKP_ottawatomie,OK_Pottawatomie
91.fips,2180.0,1123
1154.county,NatchitochesP arish,Natchitoches Parish
1566.countytwo,Lpeake ,Leake 
2054.countytwo,Adam s,Adams 
299.county,Kenai Peninsula Borough,Pitkin 
77.fips,2068.0,1095
1835.countytwo,lay ,Clay 
2142.statecounty,K_Adair,OK_Adair
1831.fipstwo,fp31027,f31027
2799.fipstwo,fd48375,f48375
2193.countytwo,Noblde ,Noble 
2324.county,Aguadilla Mufnicipio,Aguadilla Municipio
62.statefips,2.0,1
2669.statevalue,vTX,TX
228.county,Aleutians East Borough,San Diego 
300.fips,2198.0,8099
1737.countytwo,ePrson ,Person 
191.fipstwo,f02180,f04027
222.statecounty,AL_Butler,CA_Placer
1155.countytwo,Orlseans ,Orleans 
885.county,Vrmillion ,Vermillion 
112.county,Fairbanks North Star Borough,Craighead 
1204.countytwo,arroll ,Carroll 
1182.county,West Feliicana Parish,West Feliciana Parish
1503.county,hannon ,Shannon 
402.fipstwo,f02050,f13019
2036.statecounty,NY_Sraatoga,NY_Saratoga
315.fipstwo,f02016,f09003
1810.statecounty,ND_Scteele,ND_Steele
844.statevalue,wIN,IN
48.statecounty,AL_Cherokee,AL_Coosa
1865.statecounty,NEJ_efferson,NE_Jefferson
83.statefips,2.0,1
1002.statevalue,YK,KY
1222.statevalue,kME,ME
84.fips,2230.0,1109
470.statefips,59,13
335.county,Kodiak Island Borough,Clay 
531.statevalue,A,GA
1618.statevalue,TM,MT
390.fips,2013.0,12129
493.statefips,66,13
2970.statevalue,AV,VA
148.fips,2180.0,5103
273.county,Anchorage Municipality,Garfield 
241.county,Stanislauxs ,Stanislaus 
316.fipstwo,f02130,f09005
757.statevalue,gIL,IL
374.statevalue,L,FL
81.statefips,2.0,1
2447.fipstwo,f45805,f45085
236.fips,2060.0,6089
2375.countytwo,Naranjit Municipio,Naranjito Municipio
271.statecounty,AK_Haines Borough,CO_Elbert
1087.statevalue,Y,KY
1951.countytwo,Gran t,Grant 
141.statefips,2.0,5
1277.fipstwo,f26709,f26079
2387.statevalue,RP,PR
2535.fipstwo,47037,f47037
2714.county,Hartlye ,Hartley 
717.countytwo,Crawfrod ,Crawford 
893.statevalue,NI,IN
2692.statevalue,TvX,TX
2991.countytwo,Pittsdylvania ,Pittsylvania 
3193.statecounty,WV_Pendlton,WV_Pendleton
1653.statevalue,T,MT
840.countytwo,Ja ,Jay 
396.fipstwo,f02110,f13007
103.statecounty,AK_North Slope Borough,AR_Calhoun
3138.statevalue,WwI,WI
2629.countytwo,Bosqu e,Bosque 
148.statecounty,AK_Anchorage Municipality,AR_Ouachita
2705.fipstwo,f4c8187,f48187
76.fips,2016.0,1093
1845.countytwo,Dougals ,Douglas 
1002.countytwo,Andberson ,Anderson 
3139.countytwo,oRck ,Rock 
3019.statecounty,VA_Taewell,VA_Tazewell
864.statecounty,IN_Perrpy,IN_Perry
1060.countytwo,nox ,Knox 
297.statevalue,OC,CO
2676.statevalue,XT,TX
2941.statecounty,VA_Franklin ciy,VA_Franklin city
2893.countytwo,Washingon ,Washington 
3181.county,Mario n,Marion 
666.county,Bonnevillxe ,Bonneville 
2768.county,Maston ,Mason 
1630.statevalue,TM,MT
2895.fipstwo,49057,f49057
352.statevalue,L,FL
55.statefips,2.0,1
3131.statevalue,I,WI
1665.statevalue,C,NC
85.fips,2100.0,1111
110.fipstwo,f02068,f05027
2295.statecounty,PALycoming,PA_Lycoming
3101.countytwo,ouglas ,Douglas 
149.county,Lake and Peninsula Borough,Perry 
2399.statecounty,PR_Ysauco Municipio,PR_Yauco Municipio
2232.countytwo,uHood River ,Hood River 
200.statefips,2.0,6
3038.countytwo,Frankulin ,Franklin 
415.statecounty,AK_Nome Census Area,GA_Catoosa
921.statevalue,S,KS
3025.county,illiamsburg city,Williamsburg city
1897.statecounty,NE_eward,NE_Seward
371.statecounty,CO_Washington,FL_Okaloosa
230.statevalue,tCA,CA
2771.statecounty,TX_cCulloch,TX_McCulloch
1326.county,Bi gStone ,Big Stone 
2480.county,Hnson ,Hanson 
3192.county,Ohi o,Ohio 
271.fips,2105.0,8039
512.fipstwo,f13234,f13243
301.county,Denali Borough,Pueblo 
3055.countytwo,oDuglas ,Douglas 
244.fips,2180.0,6105
1863.statecounty,NE_ooker,NE_Hooker
904.statecounty,KS_Chauvtauqua,KS_Chautauqua
3059.statecounty,WA_Gant,WA_Grant
362.statecounty,CA_San Mateo,FL_Levy
2284.statecounty,PA_Greeen,PA_Greene
51.statecounty,AK_Denali Borough,AL_Cullman
919.statecounty,KS_lEk,KS_Elk
584.statefips,39,19
555.countytwo,Kzalawao ,Kalawao 
2242.statecounty,RO_Marion,OR_Marion
2686.countytwo,Faytte ,Fayette 
375.fips,2016.0,12099
428.statecounty,GfA_Columbia,GA_Columbia
354.fips,2060.0,12059
914.countytwo,Decatu ,Decatur 
2147.countytwo,Blaline ,Blaine 
191.fips,2130.0,4027
648.statefips,108,19
2089.county,Higjhland ,Highland 
733.statevalue,LI,IL
2463.statecounty,S_Clay,SD_Clay
94.fips,2185.0,1129
3142.statevalue,IW,WI
159.fipstwo,f02275,f05127
166.fipstwo,f02150,f05139
912.fipstwo,f2035,f20035
724.countytwo,Edwrds ,Edwards 
402.fips,6013.0,13019
258.statecounty,AK_Aleutians West Census Area,CO_Chaffee
3211.statecounty,WV_Woold,WV_Wood
1405.statecounty,M_NWinona,MN_Winona
1541.countytwo,Coiah ,Copiah 
81.county,Anchorage Municipality,Morgan 
1366.statecounty,MN_MceLod,MN_McLeod
252.fips,2060.0,8005
1813.countytwo,Trall ,Traill 
651.countytwo,Webstr ,Webster 
723.statevalue,L,IL
1010.countytwo,qBoyle ,Boyle 
77.statecounty,AR_Crawford,AL_Marshall
1726.county,Motngomery ,Montgomery 
377.statevalue,LF,FL
203.statecounty,AL_Walker,CA_Humboldt
364.statevalue,L,FL
239.fips,2016.0,6095
1674.countytwo,Brunsiwck ,Brunswick 
3035.statecounty,VT_Caleonia,VT_Caledonia
2169.statecounty,OK_Grere,OK_Greer
518.countytwo,pSalding ,Spalding 
2237.statecounty,ORL_ake,OR_Lake
376.fips,5017.0,12101
589.statecounty,A_Emmet,IA_Emmet
103.statefips,2.0,5
2877.statecounty,UT_Iorn,UT_Iron
493.countytwo,Mitchel l,Mitchell 
263.fipstwo,f02050,f08025
353.statevalue,L,FL
1239.county,lger ,Alger 
1350.countytwo,Ivsanti ,Isanti 
290.fips,2013.0,8079
197.fips,2100.0,6011
3183.county,ason ,Mason 
1668.statecounty,aNC_Anson,NC_Anson
1470.statevalue,O,MO
839.statecounty,INJ_asper,IN_Jasper
627.statecounty,IAM_uscatine,IA_Muscatine
1728.county,Nsah ,Nash 
88.statecounty,AK_Valdez-Cordova Census Area,AL_St. Clair
353.countytwo,vHillsborough ,Hillsborough 
547.fipstwo,f13133,f13313
1723.countytwo,fMcDowell ,McDowell 
99.fips,2013.0,5005
253.county,Lake and Peninsula Borough,Archuleta 
1328.statevalue,uMN,MN
2284.countytwo,Green e,Greene 
2788.statecounty,TXN_olan,TX_Nolan
1495.countytwo,Randkolph ,Randolph 
1066.countytwo,Letche r,Letcher 
1269.county,uron ,Huron 
1860.statecounty,NEHayes,NE_Hayes
616.county,Lucass ,Lucas 
245.county,Bristol Bay Borough,Tulare 
1385.statevalue,N,MN
461.statefips,30,13
2073.county,Defiacne ,Defiance 
44.statefips,2.0,1
1138.countytwo,Eastg Feliciana ,East Feliciana 
2586.statecounty,TN_Pokl,TN_Polk
151.county,Denali Borough,Pike 
2702.fipstwo,f41881,f48181
122.statefips,2.0,5
535.statecounty,GA_Tewiggs,GA_Twiggs
1973.countytwo,nion ,Union 
1631.statevalue,T,MT
397.fipstwo,f02105,f13009
1292.statecounty,MI_enominee,MI_Menominee
152.fips,2180.0,5111
1317.statevalue,I,MI
2145.fipstwo,f400g07,f40007
38.fipstwo,f02130,f01017
1945.fipstwo,f350l06,f35006
1194.statevalue,AM,MA
1578.statecounty,MS_Noubee,MS_Noxubee
651.statefips,78,19
312.county,Bethel Census Area,Weld 
2066.statecounty,OH_Celrmont,OH_Clermont
64.statefips,2.0,1
801.county,Winnebago ***,Winnebago 
1644.county,Phillipsn ,Phillips 
1319.countytwo,Wayneh ,Wayne 
2213.statecounty,OKTulsa,OK_Tulsa
2826.countytwo,Stekphens ,Stephens 
402.statecounty,AL_Lamar,GA_Berrien
144.fips,2282.0,5095
2965.statecounty,AV_Lee,VA_Lee
1977.fipstwo,f32030,f32003
133.fips,2020.0,5073
268.statecounty,AK_Skagway Municipality,CO_Douglas
1418.statecounty,MO_Bucahnan,MO_Buchanan
2828.countytwo,Stoewall ,Stonewall 
1901.statecounty,NE_Staxnton,NE_Stanton
2475.statecounty,D_Grant,SD_Grant
1441.countytwo,Douglsa ,Douglas 
359.fips,2230.0,12069
2236.county,Klaath ,Klamath 
302.fips,2110.0,8103
2667.county,Doallam ,Dallam 
102.statefips,2.0,5
736.countytwo,Hendersown ,Henderson 
472.statefips,74,13
2338.fipstwo,f72o033,f72033
2599.county,aSumner ,Sumner 
266.statecounty,CA_Inyo,CO_Denver
106.fips,2130.0,5019
2692.fipstwo,f8161,f48161
1427.statevalue,O,MO
273.statecounty,AK_Petersburg Census Area,CO_Garfield
1449.statecounty,O_Henry,MO_Henry
271.county,Dillingham Census Area,Elbert 
422.countytwo,Cay ,Clay 
1701.countytwo,Gatse ,Gates 
2971.statevalue,VcA,VA
2361.county,Juncos Municpio,Juncos Municipio
550.statefips,37,13
1180.statecounty,LA_West Baton Roge,LA_West Baton Rouge
182.fipstwo,f02180,f04011
2035.county,Rocklanxd ,Rockland 
262.fips,2180.0,8023
439.statevalue,AG,GA
2870.statevalue,UlT,UT
371.fips,2016.0,12091
310.fipstwo,f02290,f08119
2485.statecounty,SD_Jackjson,SD_Jackson
2077.fipstwo,3f9047,f39047
2653.county,Cvoleman ,Coleman 
244.fipstwo,f02122,f06105
301.statecounty,AK_Hoonah-Angoon Census Area,CO_Pueblo
238.fips,2068.0,6093
2612.countytwo,nAderson ,Anderson 
383.statecounty,AK_Southeast Fairbanks Census Area,FL_St. Johns
2607.statevalue,N,TN
73.statefips,2.0,1
561.statefips,79,19
434.statecounty,GA_aDwson,GA_Dawson
1286.statecounty,MI_Mckinac,MI_Mackinac
3166.statevalue,V,WV
1402.countytwo,Washintgon ,Washington 
640.statefips,86,19
187.statecounty,AK_Sitka City and Borough,AZ_Pima
1005.statevalue,YK,KY
1663.countytwo,Wiabux ,Wibaux 
1274.statevalue,MxI,MI
1857.countytwo,Hcall ,Hall 
1889.statevalue,yNE,NE
1892.countytwo,oRck ,Rock 
1439.county,DeKdalb ,DeKalb 
1026.countytwo,Clainton ,Clinton 
392.fips,2013.0,12133
2666.statecounty,TXCulberson,TX_Culberson
319.county,Ne wLondon ,New London 
1342.statecounty,MN_Faribult,MN_Faribault
369.fipstwo,f01097,f12087
7.fips,2016.0,2070
948.statecounty,SK_Linn,KS_Linn
791.fipstwo,17181,f17181
1328.statecounty,MN_Brwon,MN_Brown
499.fipstwo,f13t217,f13217
427.fipstwo,f06037,f13071
2090.countytwo,Hockign ,Hocking 
172.fipstwo,f02230,f60010
160.fipstwo,f01087,f05129
260.statecounty,AK_Petersburg Census Area,CO_Clear Creek
131.statefips,2.0,5
3222.county,Johnsn ,Johnson 
82.county,Bristol Bay Borough,Perry 
940.fipstwo,f20019,f20091
67.county,North Slope Borough,Lamar 
201.statefips,2.0,6
2556.county,Hery ,Henry 
176.county,Hoonah-Angoon Census Area,Western District
20.fips,2180.0,2195
583.statefips,89,19
2573.county,Marsahll ,Marshall 
400.fipstwo,f02060,f13015
2838.statecounty,TX_Traivs,TX_Travis
1861.fipstwo,f3108v7,f31087
1504.county,Selby ,Shelby 
229.statecounty,AK_Aleutians East Borough,CA_San Francisco
2348.fipstwo,f7205j3,f72053
1809.statevalue,DN,ND
2072.statecounty,OH_Dakre,OH_Darke
3057.countytwo,Frnklin ,Franklin 
192.county,Denali Borough,Alameda 
1314.statevalue,I,MI
314.fipstwo,f02100,f09001
1613.county,Carzbon ,Carbon 
1291.statecounty,MI_Meocsta,MI_Mecosta
251.fipstwo,f02180,f08003
307.fipstwo,f02164,f08113
2349.statecounty,PR_Florida zMunicipio,PR_Florida Municipio
324.fipstwo,f02068,f10003
2674.fipstwo,f48w125,f48125
2554.county,aHywood ,Haywood 
2943.fipstwo,51630,f51630
659.statecounty,ID_Banncock,ID_Bannock
428.fipstwo,f06007,f13073
112.statefips,2.0,5
3214.county,Big Hor ,Big Horn 
2482.statevalue,D,SD
54.fipstwo,f02060,f01049
2546.statevalue,TlN,TN
321.fipstwo,f02110,f09015
203.fips,1007.0,6023
1256.county,Clinotn ,Clinton 
388.statevalue,FsL,FL
1690.statecounty,NC_Cumbzerland,NC_Cumberland
1938.statecounty,NJ_Somerste,NJ_Somerset
12.fips,2060.0,2122
2547.countytwo,Gfrundy ,Grundy 
572.statefips,37,19
2431.fipstwo,f4r5053,f45053
386.statevalue,L,FL
1078.statevalue,mKY,KY
1611.county,Blaidne ,Blaine 
2944.statevalue,VaA,VA
2969.countytwo,unenburg ,Lunenburg 
2759.statevalue,TvX,TX
132.fips,2090.0,5071
843.statevalue,N,IN
1351.county,Itasa ,Itasca 
1851.statecounty,NE_Gaxge,NE_Gage
1822.countytwo,Blainev ,Blaine 
54.statefips,2.0,1
664.countytwo,Boiseo ,Boise 
522.countytwo,Talot ,Talbot 
1588.statecounty,MS_Scot,MS_Scott
1956.fipstwo,f3027,f35027
2181.county,eL Flore ,Le Flore 
35.statefips,2.0,1
81.fips,2100.0,1103
2453.statecounty,SD_Benett,SD_Bennett
878.statevalue,IqN,IN
2218.statevalue,OeK,OK
1416.statevalue,O,MO
1080.statecounty,Y_McLean,KY_McLean
604.countytwo,hIda ,Ida 
835.statevalue,N,IN
1388.statevalue,NM,MN
1738.fipstwo,f37m147,f37147
438.countytwo,pDooly ,Dooly 
1021.fipstwo,fz21043,f21043
1109.fipstwo,f2129,f21219
798.countytwo,Whitesdie ,Whiteside 
2644.statevalue,X,TX
236.fipstwo,f02100,f06089
1665.fipstwo,3f7001,f37001
1396.statevalue,NM,MN
1006.statevalue,Y,KY
2192.fipstwo,f40d101,f40101
150.statefips,2.0,5
2267.statevalue,A,PA
1765.county,dams ,Adams 
284.fipstwo,f02060,f08065
387.statevalue,L,FL
1773.statevalue,D,ND
143.fips,2110.0,5093
545.statefips,44,13
1976.fipstwo,f23001,f32001
173.fips,2013.0,60020
873.fipstwo,f18v143,f18143
653.statefips,84,19
1927.countytwo,Essejx ,Essex 
1937.statecounty,rNJ_Salem,NJ_Salem
2777.statecounty,TX_Miltam,TX_Milam
582.countytwo,Dalleas ,Dallas 
3068.fipstwo,5f3043,f53043
497.statevalue,AG,GA
2522.statecounty,TN_Bradly,TN_Bradley
645.statefips,108,19
1978.statevalue,V,NV
214.statecounty,AK_Denali Borough,CA_Mendocino
245.fips,2180.0,6107
1191.statevalue,AM,MA
1546.statecounty,MSs_George,MS_George
332.fips,6075.0,12013
3139.fipstwo,f5b5105,f55105
3227.county,Par k,Park 
2543.statecounty,N_Gibson,TN_Gibson
2318.statevalue,AP,PA
2538.statecounty,TN_Dyickson,TN_Dickson
627.statefips,57,19
1755.county,Vancbe ,Vance 
126.fips,2198.0,5059
184.statefips,2.0,4
336.fips,2198.0,12021
975.statevalue,S,KS
92.statefips,2.0,1
1702.countytwo,Grham ,Graham 
271.statefips,2.0,8
1744.statecounty,NC_Rowsan,NC_Rowan
2129.statevalue,HO,OH
229.county,Dillingham Census Area,San Francisco 
72.county,Lake and Peninsula Borough,Lowndes 
2455.statecounty,SD_Brookins,SD_Brookings
270.county,Denali Borough,El Paso 
606.statefips,71,19
3003.fipstwo,f5116c1,f51161
274.statevalue,OC,CO
2876.countytwo,Grnd ,Grand 
1949.county,Doan Ana ,Dona Ana 
1606.county,Winstoun ,Winston 
2774.statevalue,XT,TX
1352.fipstwo,ff27063,f27063
484.statefips,29,13
363.fipstwo,f02050,f12077
2392.county,Trujillo lAto Municipio,Trujillo Alto Municipio
1895.statevalue,lNE,NE
1971.statevalue,MN,NM
2853.statevalue,TcX,TX
1467.statevalue,O,MO
2846.statecounty,X_Victoria,TX_Victoria
2992.fipstwo,51735,f51735
2302.fipstwo,f2095,f42095
1665.statecounty,NoC_Alamance,NC_Alamance
632.statefips,96,19
1686.countytwo,Clya ,Clay 
1839.countytwo,Dkota ,Dakota 
2839.county,Trdinity ,Trinity 
313.statefips,23,8
292.countytwo,Mnotezuma ,Montezuma 
269.county,Ketchikan Gateway Borough,Eagle 
2323.fipstwo,f27003,f72003
301.statevalue,O,CO
52.fipstwo,f02164,f01045
2701.countytwo,ray ,Gray 
179.fips,2290.0,4005
2134.county,VanWert ,Van Wert 
2269.county,Cheser ,Chester 
1932.fipstwo,fr34023,f34023
2600.statecounty,N_Tipton,TN_Tipton
800.statecounty,IL_Wililamson,IL_Williamson
1828.statevalue,bNE,NE
45.county,Denali Borough,Coffee 
1397.fipstwo,f2y7153,f27153
364.fipstwo,f01013,f12079
181.fips,2282.0,4009
2272.countytwo,Clniton ,Clinton 
385.statecounty,AK_Sitka City and Borough,FL_Sumter
2723.statevalue,mTX,TX
141.fipstwo,f01023,f05089
1020.statecounty,KYb_Carroll,KY_Carroll
206.statefips,2.0,6
119.statefips,2.0,5
2542.countytwo,Franklni ,Franklin 
121.statecounty,AK_Yukon-Koyukuk Census Area,AR_Fulton
1947.statecounty,NM_Curry***,NM_Curry
259.statefips,2.0,8
246.fips,2290.0,6109
623.countytwo,Mintchell ,Mitchell 
704.countytwo,Boone ***,Boone 
1852.fipstwo,31069,f31069
3164.countytwo,Clhoun ,Calhoun 
1279.statecounty,I_Keweenaw,MI_Keweenaw
1051.countytwo,Hhenry ,Henry 
168.county,Northwest Arctic Borough,Washington 
2902.statevalue,A,VA
1517.statevalue,O,MO
2272.statevalue,A,PA
372.fipstwo,f02122,f12093
458.statevalue,oGA,GA
171.fips,2020.0,5149
315.fips,6075.0,9003
1402.county,cWashington ,Washington 
2275.countytwo,Cumberlacnd ,Cumberland 
1977.countytwo,Clar ,Clark 
2751.fipstwo,f4827k7,f48277
55.fips,2105.0,1051
389.fipstwo,f02275,f12127
421.statefips,32,13
3147.county,Trempelaeau ,Trempealeau 
107.county,Kodiak Island Borough,Clay 
1704.countytwo,reene ,Greene 
1124.county,Avoyelles Parihs,Avoyelles Parish
1051.statevalue,Y,KY
2422.countytwo,Dorcheter ,Dorchester 
2278.fipstwo,f4u2047,f42047
2967.countytwo,Lououn ,Loudoun 
1711.statevalue,CN,NC
3060.county,gGrays Harbor ,Grays Harbor 
1250.statecounty,MI_Caloun,MI_Calhoun
420.fipstwo,f02170,f13057
2245.county,olk ,Polk 
2103.countytwo,Mahonging ,Mahoning 
248.county,Yolod ,Yolo 
1928.statevalue,JN,NJ
2730.countytwo,Jackb ,Jack 
2270.county,Claroin ,Clarion 
2368.statevalue,bPR,PR
200.statecounty,AK_Yakutat City and Borough,CA_El Dorado
855.countytwo,onroe ,Monroe 
1394.statecounty,MbN_Steele,MN_Steele
2877.countytwo,Irno ,Iron 
2052.county,Wyomifng ,Wyoming 
19.fips,2130.0,2188
2481.countytwo,arding ,Harding 
275.statecounty,AK_Nome Census Area,CO_Grand
791.countytwo,nion ,Union 
235.fips,1013.0,6087
159.fips,2050.0,5127
1178.county,Wnashington Parish,Washington Parish
2221.statevalue,RO,OR
1060.statevalue,KoY,KY
906.fipstwo,f200i23,f20023
1027.fipstwo,f21505,f21055
486.countytwo,acon ,Macon 
1581.countytwo,Parl River ,Pearl River 
1241.statevalue,IM,MI
978.statevalue,KnS,KS
2069.statecounty,O_HCoshocton,OH_Coshocton
599.countytwo,ardin ,Hardin 
1321.fipstwo,27001,f27001
1430.statevalue,O,MO
2106.county,Meiigs ,Meigs 
1705.county,Giulford ,Guilford 
45.fips,2100.0,1031
1101.statevalue,KeY,KY
2290.countytwo,Lancater ,Lancaster 
309.fipstwo,f02016,f08117
1547.statevalue,MpS,MS
1257.statevalue,IM,MI
568.statefips,87,19
713.fipstwo,f17u025,f17025
247.statecounty,AK_Petersburg Census Area,CA_Ventura
675.statecounty,IDc_Custer,ID_Custer
3226.statevalue,Y,WY
403.statecounty,AK_Sitka City and Borough,GA_Bibb
1575.statevalue,McS,MS
436.statevalue,AG,GA
167.county,Ketchikan Gateway Borough,Van Buren 
571.statefips,33,19
1853.countytwo,Garfiewld ,Garfield 
157.statecounty,AK_Denali Borough,AR_Randolph
588.fipstwo,f1901,f19061
506.statecounty,GA_Pie,GA_Pike
1831.countytwo,Cdar ,Cedar 
2756.statecounty,TX_Lon,TX_Leon
2926.statecounty,VA_Crapig,VA_Craig
253.fipstwo,f02013,f08007
2686.statecounty,TX_Fayete,TX_Fayette
2211.countytwo,qTexas ,Texas 
1175.countytwo,nion ,Union 
1934.county,Mrris ,Morris 
726.countytwo,Fayett e,Fayette 
1893.countytwo,Salinem ,Saline 
2310.statecounty,PA_Somrset,PA_Somerset
157.fips,2230.0,5121
2804.county,Rjeal ,Real 
3107.countytwo,Gratn ,Grant 
784.fipstwo,f1l7169,f17169
858.countytwo,Nezwton ,Newton 
2264.countytwo,Butle r,Butler 
1772.countytwo,urleigh ,Burleigh 
160.fips,5015.0,5129
33.statecounty,AK_Anchorage Municipality,AL_Bibb
690.county,Minidok a,Minidoka 
848.statevalue,yIN,IN
811.countytwo,ass ,Cass 
3025.statecounty,VAWilliamsburg city,VA_Williamsburg city
2541.statecounty,TN_Fentrses,TN_Fentress
134.statecounty,AK_Anchorage Municipality,AR_Lawrence
392.statevalue,L,FL
1004.countytwo,Brren ,Barren 
1273.countytwo,Irogn ,Iron 
127.statefips,2.0,5
1758.countytwo,Washingfton ,Washington 
254.fipstwo,f01021,f08009
165.county,Stsone ,Stone 
2989.county,Pdatrick ,Patrick 
1957.county,Ls Alamos ,Los Alamos 
221.statevalue,A,CA
172.statevalue,AR,AS
485.fipstwo,f1187,f13187
247.fips,2130.0,6111
3211.county,Wod ,Wood 
272.fips,2020.0,8043
831.fipstwo,f8057,f18057
370.fips,2230.0,12089
611.countytwo,Keouk ,Keokuk 
256.fipstwo,f02100,f08013
1750.county,Surr y,Surry 
1906.statecounty,NE_Wvashington,NE_Washington
1852.county,Garde n,Garden 
2641.countytwo,Ccallahan ,Callahan 
2453.fipstwo,f46070,f46007
1529.countytwo,Awmite ,Amite 
1675.countytwo,Bunocmbe ,Buncombe 
2043.countytwo,uffolk ,Suffolk 
1431.countytwo,Claky ,Clay 
1007.countytwo,Boonne ,Boone 
884.countytwo,Vandrburgh ,Vanderburgh 
2517.statecounty,TN_Anderosn,TN_Anderson
997.statevalue,KrS,KS
65.fips,2068.0,1071
929.countytwo,rGay ,Gray 
3070.fipstwo,f53074,f53047
862.fipstwo,f18119***,f18119
225.fips,2180.0,6067
2630.fipstwo,f48073,f48037
406.statevalue,tGA,GA
57.countytwo,Etowa h,Etowah 
1581.fipstwo,f8109,f28109
2439.county,McCormicky ,McCormick 
1693.county,Daivdson ,Davidson 
2104.statecounty,OH_arion,OH_Marion
2700.statecounty,TX_Gionzales,TX_Gonzales
3102.fipstwo,5f5033,f55033
1040.countytwo,Gratn ,Grant 
46.county,Cfolbert ,Colbert 
3193.countytwo,Pnedleton ,Pendleton 
491.statefips,89,13
2435.statevalue,CS,SC
123.statefips,2.0,5
370.statecounty,AK_Aleutians West Census Area,FL_Nassau
84.statefips,2.0,1
2604.fipstwo,f4715,f47175
3002.statecounty,VA_Richmxond city,VA_Richmond city
263.statefips,2.0,8
2540.fipstwo,f40747,f47047
242.fips,2282.0,6101
101.county,Juneau City and Borough,Boone 
296.county,Oura y,Ouray 
2635.statevalue,XT,TX
1445.countytwo,Gentr y,Gentry 
216.fips,2275.0,6049
1494.statecounty,MO_alls,MO_Ralls
719.county,De Wit t,De Witt 
2879.countytwo,Kanre ,Kane 
2159.statecounty,OK_Cragig,OK_Craig
2975.countytwo,Mathew s,Mathews 
61.fipstwo,f01021,f01063
368.statevalue,qFL,FL
301.fips,2013.0,8101
244.statefips,2.0,6
302.statecounty,AL_Cherokee,CO_Rio Blanco
100.county,Bethel Census Area,Benton 
166.fips,2130.0,5139
944.countytwo,Labkette ,Labette 
552.county,Guakm,Guam
1371.county,Murra y,Murray 
444.fipstwo,f131w05,f13105
65.statefips,2.0,1
1564.countytwo,Laudrdale ,Lauderdale 
646.statefips,39,19
2971.fipstwo,51113,f51113
2590.statecounty,TN_Roberton,TN_Robertson
78.statecounty,AK_Aleutians West Census Area,AL_Mobile
917.countytwo,Dougllas ,Douglas 
232.county,Juneau City and Borough,San Mateo 
