1125.address,z2655 Iberville St,2655 Iberville St
200.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9477424538271, -90.0733608973517)"
254.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9420756257132, -90.0839684241759)"
578.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9703088200009, -90.0686334790722)"
2305.address,1648 N onti St,1648 N Tonti St
318.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9636373284825, -90.0362516332075)"
1791.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9736466458222, -90.0718109746941)"
2289.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
761.type,Short Term Rental Commerical Owner,Short Term Rental Commercial Owner
454.expirationdate,10/27/2023 11:59:59 PM,01/27/2023 11:59:59 PM
706.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9709615450894, -90.0306584923835)"
457.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9346970109004, -90.1065996460938)"
341.address,1937 N Ramart St,1937 N Rampart St
696.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9510449871966, -90.0716310880527)"
1434.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9338205418988, -90.0935551869249)"
2324.locationvalue,"(29.9424541726955, -90.07664387v98305)","(29.9424541726955, -90.0766438798305)"
1138.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9673905535557, -90.060674382124)"
1148.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9662936417766, -90.069363521883)"
1478.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9442278832127, -90.1282573314946)"
1115.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9707108589607, -90.1015756666775)"
742.namevalue,1240C arondelet St,1240 Carondelet St
2038.address,122 5Governor Nicholls St,1225 Governor Nicholls St
916.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9681067857762, -90.06339263925)"
2092.expirationdate,07/21/2023 11:59:5 9PM,07/21/2023 11:59:59 PM
1765.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9439063924587, -90.0942347046895)"
1145.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9669535174702, -90.0515613237341)"
1637.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9338430051227, -90.0786803588393)"
321.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9318738732555, -90.0730790839891)"
717.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9333300599858, -90.0744640297602)"
705.type,Short Trm Rental Commercial Owner,Short Term Rental Commercial Owner
1632.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9532035113721, -90.1100378909696)"
173.namevalue,828 iGrod St Apt 506,828 Girod St Apt 506
491.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9347356273364, -90.1066062439003)"
335.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9355256019511, -90.1066841509086)"
2571.locationvalue,"(29.941164476944, -90.0700482313766)","(29.9411649476944, -90.0700482313766)"
1757.type,4701 - HOTELS (EXC CASION HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2369.type,Short Term Rental ommercial Owner,Short Term Rental Commercial Owner
261.x,51.0,-1.0
2101.type,Short Term Rental Riesidential Owner,Short Term Rental Residential Owner
1187.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9457015095985, -90.0714492215373)"
367.expirationdate,03/28/2023z 11:59:59 PM,03/28/2023 11:59:59 PM
1530.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9508686776476, -90.0690180842279)"
1906.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9552707615668, -90.0642879211091)"
442.address,3048 Grand Route St kJohn St,3048 Grand Route St John St
55.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9623994393586, -90.0942079204103)"
62.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9408289824332, -90.0783152735474)"
1238.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9528339899058, -90.0497032529899)"
1291.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9424778311761, -90.0760921056174)"
2530.address,4104 Magazine St,1404 Magazine St
512.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9676334355621, -90.0978586112621)"
1915.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9631116423374, -90.0607921087349)"
2697.expirationdate,03/01/2023 12:0000 AM,03/01/2023 12:00:00 AM
681.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9678194226215, -90.0693237545601)"
344.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9294552567188, -90.0910868791865)"
1179.address,539 S MiroSt,539 S Miro St
969.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9309366143998, -90.0942435492178)"
529.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9205094740975, -90.1076701939367)"
753.address,2749 Colnti St,2749 Conti St
1290.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9814918708059, -90.0965163369826)"
236.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9477138756904, -90.073305744514)"
548.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9415370209076, -90.0732483386199)"
1189.address,2657g Iberville St,2657 Iberville St
653.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9586337148714, -90.0894130127323)"
835.type,Short Temr Rental Residential Owner,Short Term Rental Residential Owner
693.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9604592045801, -90.0893918012773)"
1782.address,4e444 S Galvez St,4444 S Galvez St
1586.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9457728338064, -90.0660147449697)"
202.expirationdate,11/14/2023 11:59:59 PM***,11/14/2023 11:59:59 PM
845.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9424108632503, -90.0759361425888)"
510.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9494684522334, -90.0525080755751)"
197.address,18p04 Gentilly Blvd,1804 Gentilly Blvd
247.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9415334295659, -90.0924818134477)"
2446.y,60.0,-1.0
1367.namevalue,711 S Peters cSt Apt 102,711 S Peters St Apt 102
100.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9701288262259, -90.0435586485958)"
1799.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9518738464329, -90.0714887649641)"
176.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9252826602672, -90.1002624266296)"
88.type,Short Term Rental Commercail Owner,Short Term Rental Commercial Owner
743.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9648426018254, -90.0650011884124)"
787.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9714876311564, -90.0675922976297)"
1605.address,2639 N Glavez St,2639 N Galvez St
1513.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9624386318172, -90.0973344012705)"
300.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9727811075964, -90.0638397396732)"
1197.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9457219120368, -90.071549315638)"
2334.locationvalue,"(29.9198471785592, -90.w11272886456)","(29.9198471785592, -90.11272886456)"
405.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9680572517725, -90.0623778371313)"
394.address,838 aCmp St Apt C,838 Camp St Apt C
716.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9274944265877, -90.0762683754104)"
1865.namevalue,TERRELL HUOSE,TERRELL HOUSE
1719.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9652586180562, -90.0603713541045)"
1530.type,4701 - HOTELS (EXC CASINO HOTEL) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1262.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9468191087104, -90.0671848212897)"
1768.namevalue,2028 Magazine St Aptl A,2028 Magazine St Apt A
232.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9647519123932, -90.0551278280699)"
1092.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9549212018143, -90.0468411082926)"
620.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9226032179795, -90.1019701438531)"
768.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9275238591785, -90.1325013587465)"
329.locationvalue,"(29.9477103063624, -90.0733695134786)","(29.9657356455196, -90.0577868102386)"
942.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9811897769154, -90.0771445747131)"
2503.address,1570 N DorgenoisSt,1570 N Dorgenois St
946.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9501615887993, -90.0688448420701)"
432.namevalue,2z425 Bayou Rd,2425 Bayou Rd
820.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9805461837046, -90.1064863235226)"
378.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9803813984315, -90.0740459186106)"
2680.address,2307 Upperline t,2307 Upperline St
814.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9501907663771, -90.0689507341337)"
604.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9720897247269, -90.0606186678083)"
1107.address,334 Caropndelet St Unit 207,334 Carondelet St Unit 207
1709.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9379926231242, -90.0867168659038)"
2561.type,Short Term Rental Commercia Owner,Short Term Rental Commercial Owner
1160.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9647083796932, -90.0531139679717)"
308.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9280320520538, -90.0751119904984)"
1249.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9657288195215, -90.0556629070774)"
1684.expirationdate,0/301/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1932.locationvalue,"(2b9.9661000939009, -90.0754970663654)","(29.9661000939009, -90.0754970663654)"
1743.expirationdate,04/25/2023 1159:59 PM,04/25/2023 11:59:59 PM
1332.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.967080542576, -90.0683236314788)"
763.locationvalue,"(28.0988907068706, -101.517799134252)","(30.0137237970585, -90.0630717643521)"
2397.type,Short Tesrm Rental Commercial Owner,Short Term Rental Commercial Owner
1778.locationvalue,"(29.9689363252531, -90.0551921852486)","(29.9814241120251, -90.0518709299024)"
1851.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
770.expirationdate,03/01/2023 1z2:00:00 AM,03/01/2023 12:00:00 AM
263.type,Short Term Renta lCommercial Owner,Short Term Rental Commercial Owner
1729.locationvalue,"(29.9314269620729, -90.0734543476571)","(29.9731582014108, -90.0961193059482)"
1628.locationvalue,"(29.9717143374146, -90.0884046281747)","(29.9649366687229, -90.0519641750527)"
1231.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9657865825501, -90.0650258878918)"
701.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.963711742864, -90.0559253566591)"
381.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9477165641606, -90.1288335214866)"
356.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9172888955766, -90.1006428881095)"
2197.namevalue,301 Robert St,3010 Robert St
945.type,Short Term Rental Commercil Owner,Short Term Rental Commercial Owner
385.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9780449910934, -90.1049937889135)"
238.expirationdate,03/01/2022 1c1:59:58 PM,03/01/2022 11:59:58 PM
540.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9220441085742, -90.1192139658556)"
273.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9477269508728, -90.0733645034984)"
2472.type,Short Term Rental Residential Oewner,Short Term Rental Residential Owner
1219.type,Short Term Rental Commercila Owner,Short Term Rental Commercial Owner
1171.address,800 St Charles qAve Apt 307,800 St Charles Ave Apt 307
2202.type,Short Term Rental Resdiential Owner,Short Term Rental Residential Owner
333.type,4701 - HOTELS (EXC CASINO HOTESL) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
908.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9705146314259, -90.0650017552441)"
1413.type,4701 - HOTELS (EXC CASINO HOTELS) & MOTpELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1509.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9505615543111, -90.0537775297256)"
2419.locationvalue,"(29.9814381546424, -9.0873270115775)","(29.9814381546424, -90.0873270115775)"
579.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9400305613727, -90.0774204609705)"
1574.expirationdate,11/01/2023 10:2346 AM,11/01/2023 10:23:46 AM
1441.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9341842666793, -90.0727326719283)"
1034.type,Short Term Rental Residential Ower,Short Term Rental Residential Owner
141.locationvalue,"(29.9452594846043, -90.0747577308854)","(30.0170322943235, -90.0521619283327)"
434.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9482474453804, -90.0734853798891)"
139.address,505v Frenchmen St,505 Frenchmen St
1483.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9378939269191, -90.087521167139)"
209.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9644498771601, -90.0356497064075)"
1551.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9508476328934, -90.0660964437057)"
809.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9843455123644, -90.070450727857)"
2537.namevalue,7621 BurtheS t,7621 Burthe St
1806.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9518726322025, -90.071511264617)"
2098.x,3682732.68,3682689.68
1573.expirationdate,04/24/2023 115:9:59 PM,04/24/2023 11:59:59 PM
919.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9654721764429, -90.0733479999417)"
454.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9705069087288, -90.0930858920452)"
2099.expirationdate,03/01/2023 12:00:00A M,03/01/2023 12:00:00 AM
933.expirationdate,08/7/2023 11:59:59 PM,08/07/2023 11:59:59 PM
323.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9329345076202, -90.0726355708325)"
1830.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9617271497188, -90.0381402510938)"
1678.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9378556616291, -90.0964031302467)"
842.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9656128678409, -90.0624008907106)"
2521.x,86.0,-1.0
258.namevalue,2036q-38 IBERVILLE,2036-38 IBERVILLE
1741.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9682244404034, -90.0544540209883)"
160.locationvalue,"(29.9412293969983, -90.0432492047549)","(29.9812440897811, -90.0924339365308)"
753.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9689331360573, -90.0861764990463)"
1613.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9368742595538, -90.1150038278907)"
154.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.939463194785, -90.0712777753281)"
722.expirationdate,02/22/2023 1:59:59 PM,02/22/2023 11:59:59 PM
754.locationvalue,"(29.9687139909187, -90.1005070615226)","(29.977517075452, -90.0744663345464)"
13.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9327267848643, -90.0726684417138)"
148.namevalue,88 Girod St Apt 603,828 Girod St Apt 603
1301.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9897905144759, -90.0801511976951)"
1555.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9384505518922, -90.068482437876)"
566.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9923786704741, -90.0709200080693)"
1818.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9710695060917, -90.0212846540734)"
1771.expirationdate,03/01/2023 12:j00:00 AM,03/01/2023 12:00:00 AM
473.address,301 Magazine S Apt 303,301 Magazine St Apt 303
215.type,Short Term Rental Residentila Owner,Short Term Rental Residential Owner
2422.y,524039.82,523959.82
1797.type,Short Term Rental Commercial lOwner,Short Term Rental Commercial Owner
720.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9194755069697, -90.0893619404844)"
1769.address,e1628 CARONDELET ST,1628 CARONDELET ST
1069.address,16 S Scott St,416 S Scott St
838.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9321403656226, -90.1001196057547)"
2722.y,523292.13,523232.13
1001.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9392434635196, -90.0732567431389)"
855.locationvalue,"(29.9605816137577, -90.0892762017721)","(30.0132542744164, -90.0798551307202)"
161.expirationdate,5/11/2023 11:59:59 PM,05/11/2023 11:59:59 PM
889.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9711227161202, -90.0297746528938)"
2668.address,4527 Dyades St,4527 Dryades St
2112.type,Short Tem Rental Residential Owner,Short Term Rental Residential Owner
1043.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9346930495076, -90.0838309564986)"
1333.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.947708617172, -90.0470029037021)"
2441.namevalue,5413 Thalia St,4513 Thalia St
1407.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9600358608292, -90.0630318026356)"
2025.expirationdate,07/13/2023 11:5z9:59 PM,07/13/2023 11:59:59 PM
2541.expirationdate,10/23/203 11:59:59 PM,10/23/2023 11:59:59 PM
492.type,Short Term Renta Commercial Owner,Short Term Rental Commercial Owner
303.locationvalue,"(29.9663236986569, -90.0626983550869)","(28.0988907068706, -101.517799134252)"
671.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9535684945401, -90.0677281502548)"
1725.type,4701 - HOTELS (EXC CASINO HOTELS) & MOTELfS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1242.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9524590720934, -90.0685241559798)"
1590.expirationdate,03/0i1/2023 12:00:00 AM,03/01/2023 12:00:00 AM
134.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9266152071781, -90.0911872950686)"
1028.namevalue,"1722 Martin Luther King,v Jr Blvd","1722 Martin Luther King, Jr Blvd"
243.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9416686428485, -90.1011306604041)"
1163.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9659613582932, -90.1002083234743)"
989.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9903777205924, -90.110117193029)"
2768.namevalue,4428 Fontanebleau Dr,4428 Fontainebleau Dr
2418.expirationdate,1/108/2023 11:59:59 PM,11/08/2023 11:59:59 PM
1902.address,117 Apple St,9117 Apple St
2440.y,534484.03,534453.03
1243.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.999823271035, -90.0519771009371)"
1802.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9518659820119, -90.0715146329361)"
1227.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9456630370941, -90.0714864953681)"
282.address,82e8 Girod St Apt 402,828 Girod St Apt 402
223.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9710241551809, -90.0816850162612)"
2668.type,Short erm Rental Commercial Owner,Short Term Rental Commercial Owner
446.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9342138434831, -90.0953303470621)"
106.address,4100St Peter St Apt 2A,4100 St Peter St Apt 2A
1430.locationvalue,"(29.9412293969983, -90.0432492047549)","(29.9360286576526, -90.1257919179354)"
495.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9707036968316, -90.0900081434007)"
1097.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9666139227123, -90.0603724624096)"
1060.locationvalue,"(29.9744625699782, -90.0501922802849)","(30.0205570620672, -90.1146994738536)"
1448.expirationdate,02/07/2023 1:59:59 PM,02/07/2023 11:59:59 PM
1468.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.966332631901, -90.0751710820478)"
789.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.9279308338573, -90.0750727287196)"
570.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9365018697476, -90.1157033825237)"
472.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9637847026853, -90.0364778093055)"
947.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9285079683375, -90.0708868786988)"
1199.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9456771124893, -90.0715376301863)"
894.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9520283052683, -90.0770086087382)"
551.type,Sohrt Term Rental Commercial Owner,Short Term Rental Commercial Owner
288.type,Short Term Rentanl Commercial Owner,Short Term Rental Commercial Owner
412.locationvalue,"(29.9452594846043, -90.0747577308854)","(28.0988907068706, -101.517799134252)"
1228.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9411362671399, -90.0722872149893)"
470.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9226490607365, -90.0261380062083)"
939.locationvalue,"(29.94521586214, -90.0748345709834)","(29.9334660330961, -90.0853931846556)"
760.locationvalue,"(29.9684668112717, -90.074357136476)","(30.1149714829165, -89.7613258898976)"
960.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9644510970605, -90.0608235237347)"
1051.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9680746912157, -90.0624722728904)"
112.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9171698388745, -90.102039474674)"
459.locationvalue,"(29.9409105746801, -90.0673505685156)","(30.1424425505662, -89.7492751621851)"
1801.type,Short Term Renta lResidential Owner,Short Term Rental Residential Owner
1391.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9525814026875, -90.072487820335)"
453.expirationdate,11/17/2023 11:5959 PM,11/17/2023 11:59:59 PM
667.expirationdate,05/24/202 311:59:59 PM,05/24/2023 11:59:59 PM
321.address,1808r Hastings Pl,1808 Hastings Pl
165.expirationdate,05/09/20e23 11:59:59 PM,05/09/2023 11:59:59 PM
498.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9469667322415, -90.0702544331748)"
292.type,Short Term Rental Comercial Owner,Short Term Rental Commercial Owner
680.namevalue,151 Magazine St,1451 Magazine St
638.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9665056030543, -90.0446290559901)"
1660.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9609569415225, -90.0668990679786)"
2361.expirationdate,0906/2023 02:43:41 PM,09/06/2023 02:43:41 PM
791.address,813 5Panola St,8135 Panola St
1805.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9634519423904, -90.0369680050675)"
597.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9511309988922, -90.0716990634022)"
1764.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9408542850415, -90.0783559088456)"
743.namevalue,1109 Governor Nihcolls St Apt A,1109 Governor Nicholls St Apt A
1697.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9341572008535, -90.071896903904)"
289.expirationdate,06/14/2s023 11:59:59 PM,06/14/2023 11:59:59 PM
138.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9782538601549, -90.0981101065092)"
1137.namevalue,1517S  White St,1517 S White St
1290.namevalue,823 Solomon lP,823 Solomon Pl
1637.namevalue,HENYR HOWARD HOTEL,HENRY HOWARD HOTEL
1948.namevalue,A & C CORPRATION,A & C CORPORATION
1452.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9699312837848, -90.0496216111125)"
1523.type,Short Term Rental Resideyntial Owner,Short Term Rental Residential Owner
613.namevalue,2623 Penison St,2623 Peniston St
530.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9635181754475, -90.0369469946087)"
1736.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9704812389551, -90.0931283454161)"
1348.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9600279224559, -90.0639925780389)"
1256.locationvalue,"(29.9409105746801, -90.0673505685156)","(28.0988907068706, -101.517799134252)"
1306.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9776531509659, -90.0838692346401)"
1837.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9673461057685, -90.0613420031851)"
1542.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9556705043782, -90.0713149479095)"
1621.type,470a1 - HOTELS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2595.address,1821 S Ramspart St,1821 S Rampart St
2336.locationvalue,"(29.9507893316433, -90.07122l79971545)","(29.9507893316433, -90.0712279971545)"
36.expirationdate,11/22/2022 11e:59:59 PM,11/22/2022 11:59:59 PM
2300.type,Short Term Rental Resiydential Owner,Short Term Rental Residential Owner
2173.type,Short Term Rental Commercial Ownr,Short Term Rental Commercial Owner
2430.x,3680188.68,3680096.68
2454.type,Short Term Renta lCommercial Owner,Short Term Rental Commercial Owner
859.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9294911436953, -90.1039053859994)"
239.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9710431611057, -90.0546836768864)"
50.type,Short Term Rental Commercial Ower,Short Term Rental Commercial Owner
879.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9594135550924, -90.0885869110254)"
1370.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9723494750492, -90.1222621091529)"
445.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9469730542421, -90.0702913620107)"
642.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9377704714354, -90.0823848631137)"
2417.expirationdate,11/07/2023 11:595:9 PM,11/07/2023 11:59:59 PM
1170.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9726640466217, -90.0804558809664)"
901.address,1916 Robert xSt,1916 Robert St
286.type,4701 - HOTEwLS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1525.address,2737 StP hilip St,2737 St Philip St
210.type,Short Term ental Commercial Owner,Short Term Rental Commercial Owner
1645.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9599363707562, -90.0675269276504)"
2548.type,Short Term Rental CommercialOwner,Short Term Rental Commercial Owner
600.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9728098165659, -90.0700355433265)"
1035.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9273785825005, -90.0961461681236)"
1619.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9428959689416, -90.0903550146667)"
887.address,2020 N Roan St,2020 N Roman St
1873.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9431873517638, -90.0662602135417)"
514.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9782538601549, -90.0981101065092)"
298.expirationdate,06/15/023 11:59:59 PM,06/15/2023 11:59:59 PM
1585.locationvalue,"(29.9436221825203, -90.0784593414273)","(30.1391871988757, -89.7527734064953)"
132.type,ShortTerm Rental Residential Owner,Short Term Rental Residential Owner
810.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9262919849937, -90.0819877597308)"
2269.namevalue,1927 Washingto Ave,1927 Washington Ave
2124.namevalue,4319 Elbax St,4319 Elba St
551.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9727851260964, -90.0637830869391)"
1493.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9587277393063, -90.0893405302027)"
1500.address,1411 St Bernardm Ave,1411 St Bernard Ave
1071.address,4006h Royal St,4006 Royal St
229.namevalue,339 arondelet St Apt 3E,339 Carondelet St Apt 3E
466.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9469704647198, -90.0702708378198)"
1300.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9669184287465, -90.0417393852417)"
1850.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9468801599773, -90.0682333692119)"
994.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9548550967406, -90.1323225338452)"
1811.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9295196567876, -90.0904545756832)"
1073.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9636999171546, -90.0364021648777)"
