namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
930 Melpomene St,930 Melpomene St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",3680959.47,524712.1
2737 St Philip St,2737 StP hilip St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3677133.06,538102.03
1241 Annunciation St,1241 Annunciation St,Short Term Rental Residential Ownre,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9452594846043, -90.0747577308854)",3681306.07,525122.87
600 Canal St Apt 602,600 Canal St Apt 602,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3681355.52,530425.03
621 Celeste St Apzt E,621 Celeste St Apt E,Commercial STR,1.0,2.0,09/29/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3681539.67,521678.0
1020 Race St Apt 3,1020 Rac St Apt 3,Short Term Rental Commercial Owner,2.0,4.0,10/20/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3680370.17,523732.73
LA QUINTA INN &S UITES #983 4701,301 CAMP ST,4701 - HOTELS (EXC CASINO HOTEL) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3681218.45218,529834.138049
W FRENCH QUARTER HOTEL,316 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9453933043394, -90.049996322177)",3682048.77532,531162.123394
2816 Banks St,2816 Banks St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3673977.86,534556.74
1523 Polymnia St,1523 Polymnia St,Short Term Rental Commercial Owner,2.0,4.0,10/20/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3679003.73,524621.4
7237 Regent St Apt 2B,7237 Regent St Apt 2B,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9298147625628, -90.0924066302005)",3666302.7,555181.17
130 Napoleon Ave,1030 Napjoleon Ave,Short Term Rental Residential Owner,5.0,10.0,07/13/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3670907.12,519383.15
2052 Royal St,2052 Royal St,Short Term Rental Commercial Owner,2.0,4.0,10/19/2023 11:59:5u9 PM,"(28.0988907068706, -101.517799134252)",3684599.87,534798.73
1510 Congress St,1510 Congress St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3691072.16,537190.89
4848 Tchoupitoulas St,4848 Tchoupitoulas St,Short Term Rental Commercial Owner,4.0,8.0,10/16/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3669294.25,517221.88
1115 Thalia St,1115 Thalia St,Short Term Rental Residential Owner,3.0,6.0,08/31/2023 09:49:10 AM,"(29.9298147625628, -90.0924066302005)",3680412.76,525303.17
DRURY INN NEW ORLEANS,820 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3680155.40034,529418.415425
900 Bartholomew St Unit 315,900 Bartholomew St Unit 315,Short Term Rental Commercial Owner,1.0,2.0,11/16/2022 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3691530.87,534615.47
CHH-NOLA LLC,129 BURGUNDY ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9327284399725, -90.0726833232675)",3680471.87599,531572.241091
"COUNTRY INN & SUITES,NEW ORLEANS I-10 EAST",5801 READ BLVD,4701 - HOTELS (EXC CASINO HOTELS) & MOTuELS,2.0,4.0,03/01/2023 12:00:00e AM,"(29.9327284399725, -90.0726833232675)",3711130.32971,560962.831134
SUN OAK MUSEUM AND GUEST HOUSE,2020 BURGUNDY ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3684488.37705,535509.685382
BEST WAY INN & SUITES & TRAILOR PARK,6042 CHEF MENTEUR HWY,4701 -HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9327284399725, -90.0726833232675)",3697039.48599,551082.256597
PLACE D'ARMES HOTEL,625 ST ANN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3682938.90351,532682.783108
730 Poland Ave Apt A,730 Poland Ave Apt A,Short Term Rental Commercial Owner,1.0,2.0,03/14/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3692590.38,533753.95
900 Bartholomew St Unit 321,900 Bartholomew St Unit 321,Short Term Rental Commercial Owner,1.0,2.0,11/16/2022 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3691493.02,534625.89
INTERNATIONAL HOUSE HOTEL,221 CAMPb ST,4701 h- HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9683036541566, -90.0412851454416)",3681242.44879,529949.815745
COLLINWOOD,2408 DAUPHINE ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9614736430167, -90.0345747956616)",3685969.62825,535250.742214
DOUBLETREE HOTEL,300 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3682143.72834,529836.705729
1503 GUEST HOUSE LLC,1503 TCHOUPITOULAS ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3682225.65532,523280.484411
334 Carondelet St Unit 208,334 Carondelet St Unit 208,Short Term Rental Commercial Owner,1.0,2.0,03/08/2023 11:59:59 PM,"(29.9477068959041, -90.0733263897616)",3680483.94,529836.79
900 Bartholomew St Unit 514,900 Bartholomew St Unit 514,Short Term Rental Commercial Owner,2.0,4.0,11/16/2022 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3691530.17,534597.42
FLEUR DE LIS MANSION,1216 ANNUNCIATION ST,4703 - BED & BREAKFAST NNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9662728133743, -90.0590256023681)",3681437.92149,525320.328189
HUBBARD MANSION BED & BREAKFAST,3535 ST CHARLES AVE,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.935070719781, -90.1066658406292)",3673577.80142,521439.679737
"2532 N RAMPART STREET, LLC",2532 N RAMPART ST,4703 - BqED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3686805.40278,536043.240199
PENELOPE B B,1211 GOVERNOR NICHOLLS ST,4703 - BDE & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",3682126.22677,535194.644486
730 Poland Ave Apt C,730 Poland Ave Apt C,Short Term Rental Commercial Owner,2.0,4.0,03/13/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3692597.48,533778.96
HARRAH''S PYODRAS HOTEL,228 POYDRAS ST,2060 - CASINO HOTELS,2.0,4.0,03/01/2023 12:00:m00 AM,"(29.9337663755801, -90.0882303310459)",3682272.06844,528907.947328
RATHB0NE MANSIONS,1244 ESPLANADE AVE,4701 - HTOELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3682206.4084,535755.644103
ST. PHILIP FRENCH QUARTER APARTMENTS,612 ST PHILIP ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9797552672736, -90.0746251213215)",3683391.22671,533161.426756
THE BEN LOUIE,3610 TULANE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3670994.05703,535309.890694
721 Touro St,721 Touro St,Short Term Rental Residential Owner,2.0,4.0,04/27/2023 11:59:59 PM,"(29.9342046282006, -90.0904361083713)",3684369.53,534988.66
SUPREME BRIGHT NLOA II,1600 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,0v3/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3678593.30325,532525.416708
823 N Rampart St,1823 N Rampart St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3683734.3,535868.86
814 Austerlitz St Unit A,814 Austerlitz St Unit A,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3672844.18,518731.08
1327 Spain St,1327 Spain St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9662728133743, -90.0590256023681)",3686095.55,537360.66
600 Canal St Apt 601,600 Canal St Apt 601,Short Term Rental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3681357.5,530427.61
8512 Freret St A,8512 Freret St A,Short Term Rental Commercial Owner,1.0,2.0,10/16/2023 11:59:59 PM,"(29.9680599417833, -90.0624712921575)",3660328.93,528860.3
3451 Constance St,3451 Constance St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9662728133743, -90.0590256023681)",3674694.42,519184.43
5330 Dauphine St,5330 Dauphine St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3696715.7,532813.03
1014 Canal St Apt 202,1014 Canal St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,04/24/2023 115:9:59 PM,"(29.935070719781, -90.1066658406292)",3680131.37,531342.37
6201 Memphis St,6201 Memphis St,Short Term Rental Residential Owner,2.0,1.0,11/01/2023 10:2346 AM,"(29.9580154964913, -90.0871467011987)",3669379.98,548569.61
1128 N White St,1128N White St,Short Term Rental Residiential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9452594846043, -90.0747577308854)",3677422.16,538990.06
524 N Salcedo St,524 N Salcedo St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3675153.92,537435.69
3504 Louisiana Avenue Prkwy,3504 Louisiana Avenue Prkwy,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.94521586214, -90.0748345709834)",3671563.03,527833.62
326 Olivier St,326 Olivier St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3687331.04,530538.15
4115 Sytate Street Dr,4115 State Street Dr,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(29.9337663755801, -90.0882303310459)",3668363.24,530585.3
2823 Constance St Apt B,2823 Constance St Apt B,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9412293969983, -90.0432492047549)",3677065.05,520447.84
1820 Constantinople St,1820 Constantinople St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3672182.53,521920.62
2120 Peniston St,2120 Peniston St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",3672372.56,523013.23
2200 Oretha Castle Haley Blvd Apt 6,2200 Oretha Castle Haley Blvd Apt 6,hort Term Rental Commercial Owner,1.0,2.0,10/30/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3676791.32,524633.97
843 aCrondelet St,843 Carondelet St,Short Term Rental Commercial Owner,5.0,10.0,08/28/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3679879.83,527807.69
25448 Chef Menteur Hwy,25484 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,6.0,10/31/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3780416.94,599555.5
711 S Peters St Pent 402,711 S Peters St Pnet 402,Short Term Rental Commercial Owner,2.0,4.0,11/01/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3682190.01,527991.61
2726 Jefferson Ave,2726 Jefferson Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3668139.54,525510.53
754 City Park Ave,754 City Park Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3670889.9,541672.36
2509 Peniston St Apt 102,2509 Peniston St Apt 102,Short Term Rental Residential Owner,2.0,4.0,04/27/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3672183.67,524335.32
4020 N Johnson St,4020 N Johnson St,Short Term Rental Residential Owner,2.0,2.0,03/0i1/2023 12:00:00 AM,"(29.9298147625628, -90.0924066302005)",3692802.01,538606.8
11231 S Idlewood Ct,11231 S Idlewood Ct,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3716550.73,559659.03
325 Harrison Ave,325 Harrison Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9699506312954, -90.0496908172654)",3667470.57,549519.7
z2232 St Ann St,2232 St Ann St,Short Term Rental Residential Owner,3.0,6.0,07/01/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3678319.5,536086.5
HAMPTON INN & SUITES-NEW ORLEANS DOWNTOWN,226 CARONDELET ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3680577.63528,530289.810113
2537 S Carrollton Ave,2537 S Carrollton Ave,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9453933043394, -90.049996322177)",3665446.96,531944.3
900 Bartholomew St Unit 519,900 Bartholomew St Unit 519,Short Term Rental Commercial Owner,2.0,4.0,0424/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3691490.94,534607.49
1310 Annette St,1310 Annette St,Short Term Rental Residential Owner,2.0,4.0,04/22/2023 11:59:5 PM,"(29.9647071287253, -90.0837190697134)",3683081.72,536630.21
5519 Baccich St,5519 Baccich St,Short Term Rental Residential Owner,5.0,10.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",3687718.69,553521.97
4230 Erato St,4230 Erato St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3670907.52,531434.71
1706 Poland Ave,1706 Poland Ave,Short Term Rental Commercial Owner,1.0,2.0,10/31/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3693558.88,537327.65
2642 Touro St,2642 Touro St,Short Term Rental Residential Owner,2.0,4.0,04/27/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3683721.76,542196.15
337 Morgan St Apt C,337 Morgan St Apt C,Short Term Rental Commercial Owner,1.0,2.0,04/27/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3686329.88,531212.05
835 St Ferdinand St,835 St Ferdinand St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3687524.67,535446.3
635 St Roch Ave,635 St Roch Ave,Short Term Rental Residential Owner,2.0,4.0,04/25/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3686641.2,534960.51
2639 N Galvez St,2639 N Glavez St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9327405195896, -90.0727472007548)",3688262.43,540222.76
4813 Tchoupitoulas St,4813 Tchoupitoulas St,Short Term Rental Commercial Owner,1.0,2.0,11/03/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3669601.34,517375.23
2828 Audubon St,2828 Audubon St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9327357007606, -90.0727235818619)",3667632.12,531322.59
1814 Washington Ave,1814 Washington Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 M,"(28.0988907068706, -101.517799134252)",3675404.39,523235.47
2221 Cadiz St,2221 Cadiz St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9614736430167, -90.0345747956616)",3669958.57,523090.18
4326k Toulouse St,4326 Toluouse St,Short Term Rental Commercial Owner,3.0,6.0,10/30/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3671170.37,540475.59
3800 S aSratoga St,3800 S Saratoga vSt,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",3672372.29,522795.62
1128 Elysian Fields Ave,1128 Elysian Fields Ave,Short Term Rental Commercial Owner,2.0,4.0,10/24/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3684885.4,536529.66
5826 S Robertson St,5826 S Robertson St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9327357007606, -90.0727235818619)",3666710.29,524587.48
305 S Pierce St,305 S Pierce St,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3670912.34,537382.58
4422 S Miro St,4422 S Miro St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3669872.43,527745.15
3019 N Tonti St,3019 N Tonti St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9614736430167, -90.0345747956616)",3689771.39,540641.86
1306 Magazine St,1306 Magazine St,Short Term Rental Commercial Owner,5.0,10.0,11/01/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3680562.64,525148.04
3041 Royal St,3041 Royal St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9452594846043, -90.0747577308854)",3688377.95,534595.95
2818 First St,2818 First St,Short Term Rental Residential Owner,2.0,4.0,04/25/0223 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3674493.16,526861.04
BON MAISON GUEST HOUSE,835 BOrURBON ST,4702 - ROOMING & BOARDING HOUSES,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3682642.82792,533211.5481
BLUE LAGOON NOLA,4417 DRYADES ST,470a1 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9683036541566, -90.0412851454416)",3670505.04142,522023.371578
I-NEW ORLEANS HOSTELLING INTERNATIONAL USA,1028 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9605816137577, -90.0892762017721)",3680054.03842,531415.673411
SHERATON NEW ORLEANS HOTEL,500 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9453933043394, -90.049996322177)",3681620.18831,530215.835265
FRENCHMEN ORLEANS AT 519,519 FRENCHMEN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",3684789.48412,534323.479877
MAGNOLIA MANSION HOTEL,2127 PRYTANIA ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03k/01/2023 12:00:00 AM,"(29.9327284399725, -90.0726833232675)",3678027.66338,523409.185339
900 Bartholomew St Unit 421,900 Bartholomew St Unit 421,Short Term Rental Commercial Owner,1.0,2.0,11/16/2022 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3691478.78,534619.99
1609 Delachaise St,1609 Delachaise jSt,Short Term Rental Commercial Owner,2.0,4.0,03/14/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3673805.58,521539.35
SCHIRO'S GUEST HOUSE,2483 ROYAL ST,403 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9717143374146, -90.0884046281747)",3686561.67721,535009.762054
FRENCH QUARTER TOWNHOUSES HOTEL,1027 N RAMPART ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9298147625628, -90.0924066302005)",3682136.16533,534464.868485
THE RITZ CARLTON HOTEL CO LLC,921 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.935070719781, -90.1066658406292)",3680566.91771,531286.97037
A CREOLE COTTAGE,1827 DAUPHINE ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3683930.05525,535175.059398
4814 Walmsley Ave,4814 Walmsley Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AoM,"(29.9327284399725, -90.0726833232675)",3668219.68,530542.17
4431 Canal St Apt A,4431 Canal St Apt A,Short Term Rental Commercial Owner,5.0,10.0,07/12/2023 11:59:59 PM,"(29.9861617021688, -90.0616040310795)",3669885.65,539423.68
MOTEL 6,4200 OLD GENTILLY RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3690544.05321,548686.902995
1017 N Dorgenois St,1017 N Dorgenois St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:0:000 AM,"(29.9298147625628, -90.0924066302005)",3677862.2,537707.56
1030 Toledano St,1030 Toledano St,Short Term Rental Commercial Owner,4.0,8.0,04/26/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3675416.54,519677.95
HENYR HOWARD HOTEL,2041 PRYTANIA ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12f:00:00 AM,"(29.9605816137577, -90.0892762017721)",3678226.50318,523609.348539
FOUR POINTS BY SHERATON FRENCH QUARTER,541 BOURBON ST,4701 - HOTEhLS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AkM,"(29.9327405195896, -90.0727472007548)",3681942.674,532323.070467
900 Bartholomew St Unit 304,900 Bartholomew St Unit 304,Short Term Rental Commercial Owner,2.0,4.0,11/16/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3691585.73,534601.58
LE PAVILLON HOTEL HOTEL TAX,833 POYDRAS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3680011.55458,529610.537345
1818 Carondelet St Unit 3,1818 Carondelet St Unit 3,Short Term Rental Commercial Owner,4.0,8.0,01/04/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3678140.27,524683.7
1684 N Claiborne Ave,1684 N Claiborne Ave,Short Term Rental Residential Owner,2.0,4.0,02/06/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3682910.33,537773.67
THE BEE HOUSE,1028 PORT ST,4703 - BE D& BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9662728133743, -90.0590256023681)",3687336.89679,536206.321479
SEXTANT STAYS,1148 S PETERS ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3682414.34952,525698.845693
ST. PETER GUSET HOUSE,1005 ST PETER ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3681654.22882,533136.698692
2408 Constance St,2408 Constance St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9452594846043, -90.0747577308854)",3678220.93,521103.96
KIMPTON HOTEL RESTAURANT,501 TCHOUPITOULAS ST,4701 - HOTELS (EXC CASINO HOTELS) &MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9662728133743, -90.0590256023681)",3681811.71298,528981.979328
512 S Salcedo tS,512 S Salcedo St,Short Term Rental Commercial Owner,2.0,4.0,03/15/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3673058.67,534664.72
RESIDENCE INN YB MARRIOT,360 ST CHARLES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3680873.58472,529787.599297
AULD SWEET OLIVE BED & BREAKFAST,2460 N RAMPART ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3686348.36412,536018.401287
MONTELEONE OHTEL,214 ROYAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3681611.07157,531183.872066
HOTEL VINACHE,1300 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9337663755801, -90.0882303310459)",3679515.34165,531836.453187
MAISON MARAIS,360 MARAIS ST,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3686268.79369,536741.632007
1435 Independence St,1435 Independence St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9298825295208, -90.0755864593125)",3691353.39,536928.81
FRENCHMEN HOTEL,417 FRENCHMEN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9298147625628, -90.0924066302005)",3684803.71516,534038.056773
5615 Tchoupitoulas St,5615 Tchoupitoulas St,Short Term Rental Commercial Owner,1.0,2.0,02/06/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3665604.2,517199.92
CHATEAU HOTEL,1001 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:0 AM,"(29.9614736430167, -90.0345747956616)",3683541.43081,533241.886852
2454 N Villere St,2454 N Villere St,Short Term Rental Residential Owner,1.0,2.0,02/06/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3686921.11,537530.33
NEW ORLEANS GUEST HOUSE,1118 RSULINES AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3682108.93615,534627.713606
CREOLE HOUSE,1013 ST ANN ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3681848.93237,533510.012804
900 Bartholomew St Unit 517,900 Bartholomew St Unit 571,Short Term Rental Commercial Owner,2.0,4.0,04/24/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3691506.91,534601.93
"SONDER USA, INC.",131 CARONDELET ST,4701 - HOTELS E(XC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.935070719781, -90.1066658406292)",3680681.33877,530654.194882
"THE DUCHESS, LLC",833 6TH ST,4703 - BED & BREAKFAT INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9744625699782, -90.0501922802849)",3677121.64686,519877.745976
