1624.mailingaddress,b3101 West Edison St,3101 West Edison St
116.gradeslowhigh,PK-60,PK-06
628.schoolsite,HAILEYVILLE E S               ,HAILEYVILLE ES                
298.city,Chouetau,Chouteau
1534.telephone,(405) 598-2113***,(405) 598-2113
1371.county,BYRAN       ,BRYAN       
1770.statevalue,ObK,OK
919.city,Dl City,Del City
235.schoolsite,CAUTE HS                     ,CANUTE HS                     
240.mailingaddress,O Box 240,PO Box 240
1177.principalemail,aacarlson@okcps.ogr,aacarlson@okcps.org
923.city,OklahomaCity,Oklahoma City
1443.mailingaddress,2600 North Union t,2600 North Union St
1194.principalemail,gbrown@cavesprings.k21.ok.us,gbrown@cavesprings.k12.ok.us
678.codistcode,29-066,29-I066
1180.principalemail,jkwilson1@okcpsorg,jkwilson1@okcps.org
66.district,ASHER                         ***,ASHER                         
1138.mailingaddress,4200L eonhardt Drive,4200 Leonhardt Drive
900.telephone,(918) 474-434,(918) 474-3434
1169.mailingaddress,6078 South Santa Fe Ave,6708 South Santa Fe Ave
590.codistcode,08-I806,08-I086
421.city,over,Dover
1365.codistcode,44I-001,44-I001
1803.codistcode,48-I39,48-I039
126.city,Blcakwell,Blackwell
344.district,COPAN                        ,COPAN                         
170.district,BROKE NARROW                  ,BROKEN ARROW                  
1193.principalemail,wtashington@harpercharterschools.org,twashington@harpercharterschools.org
442.county,RYAN       ,BRYAN       
1406.mailingaddress,9171 Freedom Roda,9171 Freedom Road
1679.county,TULSA     l  ,TULSA       
1106.gradeslowhigh,PKv-06,PK-06
1390.gradeslowhigh,0-608,06-08
632.city,Htanna,Hanna
852.mailingaddress,13 6Evans Ave,136 Evans Ave
376.mailingaddress,PO Boxs 449,PO Box 449
1557.codistcode,7h2-I001,72-I001
1574.schoolsite,GILCREASE ES            r      ,GILCREASE ES                  
870.schoolsite,EDMOND DOYLE ES              ,EDMOND DOYLE ES               
574.schoolsite,GEARY HS                      ***,GEARY HS                      
485.district,ELK CIYT                      ,ELK CITY                      
1757.mailingaddress,PO Boxx 60,PO Box 60
1575.principalemail,henleda@tulsaschhools.org,henleda@tulsaschools.org
774.statevalue,K,OK
562.statevalue,KO,OK
114.telephone,(405) 56-2304,(405) 656-2304
1784.principalemail,gary.lay@wilburtondggers.org,gary.lay@wilburtondiggers.org
1074.principalemail,thompson@oaksschools.com,bthompson@oaksschools.com
1745.statevalue,KO,OK
1368.telephone,(9e18) 372-4245,(918) 372-4245
332.principal,shley Boomer,Ashley Boomer
384.county,LINCOLN     ***,LINCOLN     
262.mailingaddress,01 South Chs St,901 South Chs St
1399.statevalue,K,OK
320.county,USTER      ,CUSTER      
1270.gradeslowhigh,PcK-08,PK-08
1403.principal,Kim Figuerao,Kim Figueroa
66.codistcode,63-112,63-I112
535.principal,Amanda Girmes,Amanda Grimes
585.principalemail,schreiner@goodwell.ko12.ok.us,schreiner@goodwell.k12.ok.us
421.codistcode,3-I002,37-I002
1537.statevalue,KO,OK
1766.statevalue,K,OK
518.mailingaddress,aPO Box 9,PO Box 9
1347.schoolsite,PUTNAM CITYNORTH HS          ,PUTNAM CITY NORTH HS          
984.gradeslowhigh,P-K08,PK-08
742.codistcode,18-I006***,18-I006
1125.statevalue,KO,OK
1024.county,MCCLAI N    ,MCCLAIN     
525.county,MAJfOR       ,MAJOR       
667.gradeslowhigh,0-912,09-12
401.district,DEER CREEK-LAMONT            o ,DEER CREEK-LAMONT             
207.codistcode,d62-I016,62-I016
755.city,Kinfgisher,Kingfisher
757.mailingaddress,PO Bo x550,PO Box 550
416.district,DICKSON                      ,DICKSON                       
1563.codistcode,72-Ic001,72-I001
526.mailingaddress,408 E. Broadwy,408 E. Broadway
1676.principalemail,arampey.kim@unionps.org,rampey.kim@unionps.org
658.district,HENNESSEY                    ,HENNESSEY                     
420.county,KINGFISHE R ,KINGFISHER  
51.principal,Bryan Mcnut,Bryan Mcnutt
366.mailingaddress,1450 S. Esatern Ave,1450 S. Eastern Ave
1705.county,CRAIG      ,CRAIG       
1017.principalemail,wilkersont@mustanpgs.org,wilkersont@mustangps.org
399.district,DEER CREEKk                    ,DEER CREEK                    
451.statevalue,K,OK
1592.telephone,(918) 7468-760,(918) 746-8760
1292.gradeslowhigh,0-08,08-08
1285.schoolsite,LINCOvLN ES                    ,LINCOLN ES                    
1632.county,TULSA      e ,TULSA       
170.gradeslowhigh,lPK-05,PK-05
996.mailingaddress,800 Bacone uSt.,800 Bacone St.
234.district,CANUTE                       ,CANUTE                        
134.codistcode,18-I0m20,18-I020
1809.telephone,(405) 66-52045,(405) 665-2045
766.mailingaddress,7l01 West South St,701 West South St
735.principal,John astillo,John Castillo
1528.city,aTloga,Taloga
1064.city,Norsman,Norman
769.mailingaddress,075 Fifth,705 Fifth
1613.principalemail,schmdie@tulsaschools.org,schmide@tulsaschools.org
1364.gradeslowhigh,01-12,10-12
71.county,ATOKA      ,ATOKA       
1651.city,urneyville,Burneyville
46.city,Anadanrko,Anadarko
347.district,CORDdELL                       ,CORDELL                       
114.codistcode,08-I16z8,08-I168
1286.telephone,(580) 67-8035,(580) 767-8035
466.principalemail,conrdell.ehrich@edmondschools.net,cordell.ehrich@edmondschools.net
629.telephone,(918)z 297-2626,(918) 297-2626
415.county,CARTER      ***,CARTER      
1154.statevalue,sOK,OK
793.principalemail,rweber@lawktonps.org,rweber@lawtonps.org
877.codistcode,1-I080,61-I080
701.statevalue,KO,OK
880.district,MCCsURTAIN                     ,MCCURTAIN                     
63.principalemail,sfriesen@arnett.k12.ok.ufs,sfriesen@arnett.k12.ok.us
164.principalemail,gbrown@avesprings.k12.ok.us,gbrown@cavesprings.k12.ok.us
178.gradeslowhigh,03-0z5,03-05
281.city,Chicakasha,Chickasha
1374.codistcode,62-I0u37,62-I037
251.schoolsite,CAVE SPRIGNS MS               ,CAVE SPRINGS MS               
641.county,OKLHAOMA    ,OKLAHOMA    
615.telephone,(405) 282-5960,(405) 282-5906
1610.statevalue,ObK,OK
1452.district,SKIATOOK                     ,SKIATOOK                      
221.telephone,(450) 645-2411,(405) 645-2411
591.principalemail,lriddle@graham-dusytin.k12.ok.us,lriddle@graham-dustin.k12.ok.us
985.telephone,(f580) 347-2211,(580) 347-2211
887.statevalue,K,OK
53.district,ARAPAHO-BUTLER                ***,ARAPAHO-BUTLER                
1631.telephone,(91)8 925-1000,(918) 925-1000
1557.gradeslowhigh,PK-0w6,PK-06
8.principalemail,mannk@adpss.com,mannk@adapss.com
1707.principal,Micheille Gibson,Michelle Gibson
1701.principalemail,rmoseley@vina.k12.ok.us,rmoseley@vian.k12.ok.us
1721.principal,Toracy Mcmullen,Tracy Mcmullen
675.principal,Daniell Patterson,Danielle Patterson
113.principalemail,rclark@billings.fk12.ok.us,rclark@billings.k12.ok.us
1285.principalemail,hargre@ypcps.us,hargre@pcps.us
52.county,UCSTER      ,CUSTER      
71.gradeslowhigh,***,-
699.statevalue,K,OK
1027.principal,Robi Gilstrap,Rob Gilstrap
1653.gradeslowhigh,h09-12,09-12
1469.telephone,(918) 288-7231,(918) 288-7213
315.statevalue,OhK,OK
515.city,Oklahmoa City,Oklahoma City
146.principal,Rcik Grimes,Rick Grimes
131.schoolsite,BLANCHARD MS                  ***,BLANCHARD MS                  
1400.city,San dSprings,Sand Springs
1144.city,Oklahomya City,Oklahoma City
861.mailingaddress,POu Box 73,PO Box 73
1662.principalemail,dsmith@tyron.k12.ok.us,dsmith@tyrone.k12.ok.us
1089.principalemail,vanabaker@yahoo.conm,vanabaker@yahoo.com
98.schoolsite,BENNNIGTON ES                 ,BENNINGTON ES                 
599.district,GRANDVIEW                 q    ,GRANDVIEW                     
1443.principal,Jackie Nobel,Jackie Noble
1193.district,OKLAHoOMA CITY                 ,OKLAHOMA CITY                 
1555.county,KAY         ***,KAY         
259.city,Marlwo,Marlow
1372.schoolsite,ROCK CREEK HS                ,ROCK CREEK HS                 
1226.principal,Askhley Hearn,Ashley Hearn
1811.statevalue,KO,OK
416.statevalue,K,OK
486.telephone,(80) 225-7722,(580) 225-7722
1819.gradeslowhigh,yPK-03,PK-03
670.statevalue,aOK,OK
628.gradeslowhigh,PKg-08,PK-08
1425.telephone,(40)5 382-5800,(405) 382-5800
1416.schoolsite,SAYRE ES          a            ,SAYRE ES                      
1402.codistcode,5i5-G001,55-G001
1423.schoolsite,SEILING JR-SR HS (SRq)         ,SEILING JR-SR HS (SR)         
1447.schoolsite,SHIDLwER MS                    ,SHIDLER MS                    
1385.schoolsite,SALNIA ES                     ,SALINA ES                     
1797.principal,Debbie oJnes,Debbie Jones
1264.gradeslowhigh,PK-PcK,PK-PK
1644.district,TULSA bCHARTER: KIPP TULSA     ,TULSA CHARTER: KIPP TULSA     
841.principal,Janetq Turner,Janet Turner
248.codistcode,66-002,66-I002
389.gradeslowhigh,0508,05-08
1596.telephone,918) 746-8860,(918) 746-8860
1374.statevalue,K,OK
598.principal,atthew Fox,Matthew Fox
1583.principalemail,millemyo2@tulsaschools.org,millemo2@tulsaschools.org
873.mailingaddress,O Box 1027,PO Box 1027
1177.county,OKLAOHMA    ,OKLAHOMA    
1336.telephone,(4w05) 721-4360,(405) 721-4360
1018.codistcode,64-C0d15,64-C015
203.telephone,(405) 44-5526,(405) 944-5526
1818.principalemail,ron.brummett@myukonps.com,ron.brummett@yukonps.com
514.city,Oklahoma Cizty,Oklahoma City
615.city,Gtuhrie,Guthrie
556.telephone,(198) 342-1782,(918) 342-1782
33.principal,oe Worbes,Roe Worbes
1792.gradeslowhigh,PlK-04,PK-04
89.principal,Don Mulleinx,Don Mullenix
1730.principalemail,tmitchell@wattsschol.com,tmitchell@wattsschool.com
1696.principalemail,gkennemer@vps.k21.ok.us,gkennemer@vps.k12.ok.us
676.statevalue,mOK,OK
1614.county,TULSA       ***,TULSA       
1603.principalemail,tatumk@rtulsaschools.org,tatumkr@tulsaschools.org
843.district,MADILzL                        ,MADILL                        
1279.principalemail,bnickel@plainview.k12.ok.su,bnickel@plainview.k12.ok.us
1060.district,NORMAN                   y     ,NORMAN                        
1093.codistcode,55-Ef011,55-E011
219.mailingaddress,PO Bo 10,PO Box 10
605.gradeslowhigh,0406,04-06
1142.county,KOLAHOMA    ,OKLAHOMA    
875.telephone,(918) 42-30265,(918) 423-0265
1702.city,Vii,Vici
410.county,ASHINGTON  ,WASHINGTON  
1169.schoolsite,EWBSTER MS                    ,WEBSTER MS                    
248.county,ROGERS      ***,ROGERS      
932.statevalue,OgK,OK
781.principalemail,dmoore@lwtonps.org,dmoore@lawtonps.org
641.telephone,(405) 454-4216,(405) 454-2416
1392.mailingaddress,PO Bxox 970,PO Box 970
1371.mailingaddress,23072 US. Highway 70,23072 U.S. Highway 70
1538.county,JEFFERSON w  ,JEFFERSON   
1057.codistcode,14-029,14-I029
1295.principal,iJamie Ronck,Jamie Ronck
283.city,Chickahsa,Chickasha
1235.city,Paama,Panama
322.statevalue,KO,OK
1287.principal,Ronda Mlerrifield,Ronda Merrifield
1217.principalemail,meilssa.overcash@oologah.k12.ok.us,melissa.overcash@oologah.k12.ok.us
1360.principal,RyanBaker,Ryan Baker
740.principal,ichard Reed,Richard Reed
1581.schoolsite,JONES ES   s                   ,JONES ES                      
1154.schoolsite,VANg BUREN ES                  ,VAN BUREN ES                  
1809.gradeslowhigh,09-21,09-12
1476.schoolsite,SPRINGER HS                  ,SPRINGER HS                   
305.district,CLAREMORE                    ,CLAREMORE                     
1424.district,SEMItNOLE                      ,SEMINOLE                      
1182.mailingaddress,3001 NorthSpencer Road,3001 North Spencer Road
411.principalemail,bakrer@dibble.k12.ok.us,barker@dibble.k12.ok.us
1123.schoolsite,HAWTHORNE ESi                  ,HAWTHORNE ES                  
77.principalemail,sbryant@barnsdallscools.org,sbryant@barnsdallschools.org
143.schoolsite,APACHE MvS                     ,APACHE MS                     
70.district,ATOKA                        ,ATOKA                         
1280.statevalue,K,OK
1544.codistcode,20-0I07,20-I007
1431.codistcode,66o-I006,66-I006
1188.principal,ustin Hunt,Justin Hunt
233.county,BLAINE   n   ,BLAINE      
704.telephone,(580) 46-3333,(580) 246-3333
52.gradeslowhigh,PK08,PK-08
1121.telephone,(405) 751-6363,(405) 751-3663
1640.statevalue,KO,OK
521.county,CINTOSH    ,MCINTOSH    
1335.county,OKLAHOAM    ,OKLAHOMA    
1264.county,CAtNADIAN    ,CANADIAN    
1472.city,tSpiro,Spiro
133.gradeslowhigh,PrK-05,PK-05
1440.city,Shanwee,Shawnee
621.schoolsite,SAaLYER ES                     ,SALYER ES                     
274.codistcode,2-I046,02-I046
78.principalemail,sbryant@barnszdallschools.org,sbryant@barnsdallschools.org
1677.telephone,(918 )357-4326,(918) 357-4326
1263.telephone,(405)3 73-2353,(405) 373-2353
1723.principal,Rocky Clake,Rocky Clarke
57.mailingaddress,POB ox 1709,PO Box 1709
331.codistcode,o35-I035,35-I035
286.codistcode,42-I042,24-I042
1038.codistcode,14-I04o0,14-I040
241.district,CASHON                       ,CASHION                       
290.mailingaddress,1318 Hickmanj Ave,1318 Hickman Ave
777.mailingaddress,3501 Northwest FerrisAve,3501 Northwest Ferris Ave
1254.gradeslowhigh,lPK-08,PK-08
1811.city,Wynonga,Wynona
590.gradeslowhigh,09f-12,09-12
774.district,LATTA                         ***,LATTA                         
1043.schoolsite,JACKSON EiS                    ,JACKSON ES                    
1552.statevalue,KO,OK
238.principalemail,pjhulme@carnegie.k12.ok.us,jhulme@carnegie.k12.ok.us
1318.statevalue,KO,OK
1600.city,Tulas,Tulsa
220.county,CANADIAN   ,CANADIAN    
1499.city,Strtaford,Stratford
1797.county,WOOWARD    ,WOODWARD    
860.telephone,(580) 65-83216,(580) 658-3216
450.principal,Penny iDlg,Penny Dilg
573.schoolsite,GEARY MS                     ,GEARY MS                      
45.county,CADDO       ***,CADDO       
102.codistcode,27-I010,72-I010
823.district,LOCUST GROVE                  ***,LOCUST GROVE                  
1755.principal,ScottRoper,Scott Roper
134.city,Bluejackte,Bluejacket
129.principal,Dionna Edge,Donna Edge
855.codistcode,09C-162,09-C162
643.codistcode,61k-I001,61-I001
808.city,Lexinton,Lexington
1316.district,PRYOR                        ,PRYOR                         
1440.district,SHAWNEE                      ,SHAWNEE                       
397.county,OKLAHzOMA    ,OKLAHOMA    
1601.county,TULSA      u ,TULSA       
1597.principalemail,crosste@tulsaschhools.org,crosste@tulsaschools.org
708.codistcode,66w-I005,66-I005
1064.principal,Paul Tryggestadd,Paul Tryggestad
1199.schoolsite,OKsLAHOMA UNION MS             ,OKLAHOMA UNION MS             
1776.schoolsite,WHITE ROCK PUBLIC SCHOjOL      ,WHITE ROCK PUBLIC SCHOOL      
15.telephone,e(918) 257-8305,(918) 257-8305
717.statevalue,K,OK
1105.codistcode,5n5-I089,55-I089
62.county,LE FsLORE    ,LE FLORE    
1557.mailingaddress,1921 Eastl 29th St North,1921 East 29th St North
1823.telephone,4(05) 354-4852,(405) 354-4852
225.principalemail,klokey@canadian.k12.o.kus,klokey@canadian.k12.ok.us
819.codistcode,14-I0s70,14-I070
1644.mailingaddress,1661 dE. Virgin St,1661 E. Virgin St
567.principal,Jeff Sprageu,Jeff Sprague
472.principal,Jason Pittenegr,Jason Pittenger
496.codistcode,69-021,69-I021
1596.schoolsite,PARK ES                       ***,PARK ES                       
1515.county,ROGER MILL S,ROGER MILLS 
1668.schoolsite,DARNABY ES                   ,DARNABY ES                    
222.gradeslowhigh,,-
1446.principalemail,tlemon@shidlersp.org,tlemon@shidlerps.org
1267.principal,Shawn Brlankenship,Shawn Blankenship
13.statevalue,OyK,OK
1580.city,Tlusa,Tulsa
1587.schoolsite,LEWIS AND CLARK ES           ,LEWIS AND CLARK ES            
1267.statevalue,KO,OK
752.county,KAY         ***,KAY         
1546.city,Jt,Jet
478.gradeslowhigh,7-08,07-08
948.codistcode,14-I020,14-I002
1599.principal,Cassandra Fuderburk,Cassandra Funderburk
436.city,Duncna,Duncan
493.district,ELMORE CITY-PERNELL     n      ,ELMORE CITY-PERNELL           
1170.telephone,(405)587-7200,(405) 587-7200
1592.district,TULSA                        ,TULSA                         
172.county,TULSA      ,TULSA       
1638.district,TULSA   f                      ,TULSA                         
798.principalemail,ewillinams@lawtonps.org,ewilliams@lawtonps.org
284.principal,gDarla Smith,Darla Smith
995.mailingaddress,300 Virgil Matthews Drxive,300 Virgil Matthews Drive
1093.mailingaddress,4712 S .Santa Fe Blvd. ,4712 S. Santa Fe Blvd. 
420.schoolsite,DOVER E S                     ,DOVER ES                      
46.codistcode,08-I002,08-I020
55.county,CATRER      ,CARTER      
1535.district,TMPLE                        ,TEMPLE                        
552.principal,MarkW illiams,Mark Williams
471.codistcode,55-I021,55-I012
1201.schoolsite,OKLA. VIRTUAL CHARTERA CAD ES ,OKLA. VIRTUAL CHARTER ACAD ES 
75.statevalue,K,OK
1638.mailingaddress,a2525 S 101st E Ave,2525 S 101st E Ave
1020.gradeslowhigh,0-09,07-09
1340.gradeslowhigh,zPK-05,PK-05
830.county,ARTER      ,CARTER      
737.schoolsite,KELLYVILLE HS                 ***,KELLYVILLE HS                 
1593.principal,LynnetteDixon,Lynnette Dixon
1135.district,OKLAHOMACITY                 ,OKLAHOMA CITY                 
1428.gradeslowhigh,P-08,PK-08
831.gradeslowhigh,PdK-08,PK-08
958.codistcode,41-I002,14-I002
683.city,Hoimny,Hominy
1435.codistcode,77-I003***,77-I003
394.county,OKLHAOMA    ,OKLAHOMA    
497.mailingaddress,276803E . 1760 Road,276803 E. 1760 Road
1592.principalemail,jimenka@tulsashools.org,jimenka@tulsaschools.org
172.mailingaddress,100 West Quincy Ave,1600 West Quincy Ave
504.statevalue,KO,OK
1683.statevalue,KO,OK
1427.principalemail,sosborn@ps.k12.ok.us,sosborn@sps.k12.ok.us
877.city,Mcaleter,Mcalester
1518.county,CEHROKEE    ,CHEROKEE    
1412.principalemail,turk454@hotmai.com,turk454@hotmail.com
991.schoolsite,MULHALL-ORLANDO ES      l      ,MULHALL-ORLANDO ES            
1131.county,OKLAHOMAe    ,OKLAHOMA    
1245.statevalue,K,OK
654.principalemail,gmunholland@healdtonschools.worg,gmunholland@healdtonschools.org
1788.district,WILSON            c            ,WILSON                        
1164.district,OKLAHOMA CITY          k       ,OKLAHOMA CITY                 
496.statevalue,KO,OK
1012.district,MUSTANG                      ,MUSTANG                       
505.county,GARFIELD    ***,GARFIELD    
742.district,KETCHUM  m                     ,KETCHUM                       
646.codistcode,5-I002,51-I002
1669.mailingaddress,8506 E. 61 tS,8506 E. 61 St
270.codistcode,66-I003***,66-I003
1596.principalemail,shiplpj@tulsaschjools.org,shiplpj@tulsaschools.org
351.principal,Brian Smiwth,Brian Smith
897.city,Miaim,Miami
994.city,Muskoege,Muskogee
497.district,EMPIRE    o                    ,EMPIRE                        
424.principalemail,totserhout@drumright.k12.ok.us,tosterhout@drumright.k12.ok.us
1591.principal,Kennetmh Joslin,Kenneth Joslin
1223.telephone,(918) 272-2288***,(918) 272-2288
777.telephone,(508) 353-7983,(580) 353-7983
266.schoolsite,MASHALL ES                   ,MARSHALL ES                   
1064.district,NORMAN                        ***,NORMAN                        
375.district,CUSHING           e            ,CUSHING                       
797.district,LAWOTN                        ,LAWTON                        
325.codistcode,07-vI004,07-I004
1507.codistcode,1-I054,41-I054
1571.telephone,f(918) 746-8700,(918) 746-8700
1472.principal,Larry Greenweood,Larry Greenwood
1561.city,ulsa,Tulsa
609.schoolsite,GROVE PUBLIC SCHOOL           ***,GROVE PUBLIC SCHOOL           
192.principalemail,lhanks@bbisd.orgg,lhanks@bbisd.org
1187.telephone,(405) 361-6100,(405) 631-6100
776.city,averne,Laverne
1406.gradeslowhigh,P-K05,PK-05
1796.schoolsite,HORACE MANN ES                ***,HORACE MANN ES                
585.gradeslowhigh,,-
1016.statevalue,K,OK
231.gradeslowhigh,,-
770.city,nLane,Lane
1129.telephone,(405) 857-6700,(405) 587-6700
1790.principal,Alber Cole,Albert Cole
1597.schoolsite,PEARY ES                     ,PEARY ES                      
1629.county,TULSA      ,TULSA       
591.schoolsite,GRAHAM ES                     ***,GRAHAM ES                     
885.county,GRANTl       ,GRANT       
268.county,MCINTOgSH    ,MCINTOSH    
680.county,HARMO N     ,HARMON      
1002.codistcode,51I-020,51-I020
300.principal,Glen Bieblheimer,Glen Bibelheimer
662.schoolsite,HENRYETTA MS                  ***,HENRYETTA MS                  
544.statevalue,K,OK
1394.telephone,(918) 246x-1455,(918) 246-1455
1814.principal,Boby Rose,Bobby Rose
466.district,EDMOND                       ,EDMOND                        
296.principalemail,dpillar@chouteauwildcats.com,dpillars@chouteauwildcats.com
370.city,Oklahoam City,Oklahoma City
1719.city,Wapancka,Wapanucka
1013.codistcode,09-I096,09-I069
1732.principalemail,mattcue@waukomis.k1k2.ok.us,mattcue@waukomis.k12.ok.us
18.mailingaddress,PO Box 729,PO Box 279
891.county,BEKHAM     ,BECKHAM     
987.schoolsite,MOYERS HS                     ***,MOYERS HS                     
396.telephone,(405) 48-4830,(405) 348-4830
200.principal,Lace Dsavis,Lace Davis
1380.statevalue,K,OK
1365.city,Ringowod,Ringwood
117.schoolsite,CENTRAL ES                    ***,CENTRAL ES                    
1789.city,Wistre,Wister
660.statevalue,K,OK
860.principalemail,kekizarr@malow.k12.ok.us,kekizarr@marlow.k12.ok.us
842.statevalue,OmK,OK
569.city,ans,Gans
618.county,ETXAS       ,TEXAS       
1103.district,OKEMAH                        ***,OKEMAH                        
194.district,BUFFALO                       ***,BUFFALO                       
139.gradeslowhigh,KP-06,PK-06
1137.telephone,(405) 587-6c250,(405) 587-6250
1147.schoolsite,ROCKWOOD ES         h          ,ROCKWOOD ES                   
1668.codistcode,72I-009,72-I009
175.district,BROKEN ARROW                 ,BROKEN ARROW                  
1324.city,Warr mAcres,Warr Acres
1200.county,NOWATA     ,NOWATA      
1149.gradeslowhigh,pPK-06,PK-06
211.city,Cche ,Cache 
495.city,Dncan,Duncan
601.city,ranite,Granite
188.codistcode,72-fI003,72-I003
1046.district,NORMAN                       ,NORMAN                        
1543.schoolsite,THOMAS E                     ,THOMAS ES                     
906.principalemail,rkizer@mmid-del.net,rkizer@mid-del.net
782.principalemail,dcatlinu@lawtonps.org,dcatlin@lawtonps.org
1513.district,SULhPHUR                       ,SULPHUR                       
1794.gradeslowhigh,9-12,09-12
385.schoolsite,DAVENPORT HS       j           ,DAVENPORT HS                  
793.schoolsite,LEARNING TREE ACDEMY         ,LEARNING TREE ACADEMY         
1346.mailingaddress,5300 orthwest 50th St,5300 Northwest 50th St
310.city,eClayton,Clayton
469.telephone,(405) 40-2920,(405) 340-2920
80.statevalue,KO,OK
28.district,ALTUS                        ,ALTUS                         
1483.principal,Kuert Baze,Kurt Baze
89.city,Batteist,Battiest
1171.mailingaddress,1301 Nrtheast 101st St,1301 Northeast 101st St
1618.schoolsite,EAST CENTRAL JH S             ,EAST CENTRAL JHS              
266.telephone,(918) 473-e5832,(918) 473-5832
187.codistcode,2-I003,72-I003
229.county,WSAHINGTON  ,WASHINGTON  
1082.statevalue,KO,OK
641.principal,Kenbneth Riddle,Kenneth Riddle
1479.principal,Danny Wivlliams,Danny Williams
1826.mailingaddress,801 Gartzh Brooks Blvd,801 Garth Brooks Blvd
1067.gradeslowhigh,PKy-05,PK-05
819.schoolsite,LITTLE AXE MS              p   ,LITTLE AXE MS                 
1127.mailingaddress,1015 Northwest 45th St,1105 Northwest 45th St
1402.principalemail,cbarlow@santafesotuh.org,cbarlow@santafesouth.org
1102.district,KEMAH                        ,OKEMAH                        
1619.schoolsite,HLE JHS                      ,HALE JHS                      
1060.city,Normran,Norman
1259.city,Perikns,Perkins
987.principal,Lawnda Vaughan,Lawanda Vaughan
1176.district,OKLAHOMA CITY                ,OKLAHOMA CITY                 
854.schoolsite,MANNSVILLE PBLIC SCHOOL      ,MANNSVILLE PUBLIC SCHOOL      
1287.gradeslowhigh,PK-50,PK-05
1766.district,WESTVILLE       x              ,WESTVILLE                     
1742.district,WEATHERFORD                   ***,WEATHERFORD                   
1091.statevalue,KO,OK
121.city,Broken Arow,Broken Arrow
1069.city,Nwoata,Nowata
1578.schoolsite,PATRICK HENRY E S             ,PATRICK HENRY ES              
1793.principal,Shelyhier Dos,Shellyhier Dos
1354.district,RATTAN       k                 ,RATTAN                        
1611.city,Tulas,Tulsa
1661.statevalue,jOK,OK
1405.city,Sapulpsa,Sapulpa
393.district,DEER CREEK                   ,DEER CREEK                    
449.city,Edmnd,Edmond
376.statevalue,KO,OK
508.district,ENID                          ***,ENID                          
1679.telephone,(91)8 357-4323,(918) 357-4323
450.district,EDMOND          v              ,EDMOND                        
204.statevalue,OuK,OK
1566.schoolsite,DUAL LANGUAGE ACADEMY         ***,DUAL LANGUAGE ACADEMY         
644.principal,Mike eddick,Mike Reddick
1037.district,NOBLE                        ,NOBLE                         
873.schoolsite,JEFFERSON EC CTR             ,JEFFERSON EC CTR              
1819.mailingaddress,100 South Holly Ave,2100 South Holly Ave
196.principalemail,dhamesbvpsd.org,dhames@bvpsd.org
1584.principalemail,howardo@tulsaschoolcs.org,howardo@tulsaschools.org
1418.city,Sayer,Sayre
1130.principal,Lana eLwis,Lana Lewis
1061.city,orman,Norman
1475.principal,Bradi Price,Brandi Price
821.codistcode,6-I017,46-I017
360.telephone,(405) 4d66-2242,(405) 466-2242
770.codistcode,03-C22,03-C022
1118.principal,sSusan Martin Rachels,Susan Martin Rachels
144.city,Axpache,Apache
1127.statevalue,K,OK
1436.county,WODOWARD    ,WOODWARD    
1326.mailingaddress,5911 Northf Sapulpa Ave,5911 North Sapulpa Ave
195.gradeslowhigh,90-12,09-12
569.gradeslowhigh,09-21,09-12
852.codistcode,9-I003,19-I003
922.city,MidwestCity,Midwest City
1517.district,SWINK                        ,SWINK                         
1394.county,TULA       ,TULSA       
960.district,MOORE            g             ,MOORE                         
1619.district,TULSA                         ***,TULSA                         
1705.principal,MaryS mith,Mary Smith
999.county,MUSKOGE    ,MUSKOGEE    
1599.codistcode,72-001,72-I001
1407.principal,Sanndee Cross,Sandee Cross
262.county,LNICOLN     ,LINCOLN     
1812.codistcode,60-Ih103,60-I103
1515.codistcode,65-I105,65-I015
1162.mailingaddress,715 North Walker Abve,715 North Walker Ave
1174.city,Oklahomga City,Oklahoma City
1076.mailingaddress,PO Box m130,PO Box 130
260.principal,Lisa art,Lisa Hart
1091.city,OklahomaC ity,Oklahoma City
397.schoolsite,SPRIfNG CREEK ES               ,SPRING CREEK ES               
1210.principalemail,aragland@olive.k12.o.us,aragland@olive.k12.ok.us
1765.principal,Paulr Mcqueen,Paul Mcqueen
1727.district,WATONGA                       ***,WATONGA                       
1401.codistcode,72-yG004,72-G004
446.principal,Robert Clader,Robert Calder
663.gradeslowhigh,9-12,09-12
1267.telephone,(045) 373-5155,(405) 373-5155
814.district,LIBERTY                       ***,LIBERTY                       
653.telephone,(580)2 29-1201,(580) 229-1201
1622.schoolsite,WILL ROGERS COLLEGE JH S      ,WILL ROGERS COLLEGE JHS       
55.principalemail,chall@ardmoreschoolos.org,chall@ardmoreschools.org
1061.principalemail,gmears@norman.k12.ojk.us,gmears@norman.k12.ok.us
1128.county,OKLAHOMA   ,OKLAHOMA    
986.city,oyers,Moyers
1192.gradeslowhigh,KG-50,KG-05
276.schoolsite,CHEROKEE MMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH
362.principalemail,wowensv@crescentok.com,wowens@crescentok.com
81.district,BARTLESVILLE                 ,BARTLESVILLE                  
286.schoolsite,CHISHOLM HS                   ***,CHISHOLM HS                   
1599.principalemail,fundeca@tulsashcools.org,fundeca@tulsaschools.org
1047.county,CLEiVELAND   ,CLEVELAND   
395.mailingaddress,r3500 Northwest 192Nd St,3500 Northwest 192Nd St
