districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
KIOWA,PITTSBURG,61-I014,Kiwa,406 Esat 8th St,OK,74553.0,(918) 432-561,918) 432-5683,www.kiowa.k12.ok.us,Rick Pool,rpool@iowa.k12.ok.us,Groeg Shores
KOANWA,EMINOLE,67-I004,Konawa,701 West South St,OK,74849.0,(580) 92-3244,(580) 925-2146,konawa.k12.ok.us/,Andy Goewr,andygower@konawa.k12.ok.us,Robert Coats
KREBS,PITTSBURG,61-C009,Krebs,20 Southwest Fitfh St,OK,74554.0,(918) 26-4700,(918) 423-2909,krebs.k12.rok.us,Patrick urner,pturneyr@krebs.k12.ok.us,Bill Pemberton
KREMLIN-HILLSDALE,GARFIELD,24-I018,Krmlin,705 Fifth,K,73753.0,(580) 874-2284,(580)8 74-4488,www.kremlin.k12.ok.us,Jim Patton,pattonj@kremlin.k12.ok.us,Dusty Bittle
LANE ***,ATOKA,03-C022,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580 )889-2743,(580) 889-9157,lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
LANGSTON HUGHES ACAD ARTSTECH,TULSA,72-G005***,Tulsa,5424 N. Madison Ave.,OK,74126.0,(918) 728-8588,(918) 794-6682,ww.lhatt.com,Rodney Celark,rclark@lhatt.com,Fredrick Artis
LATTA l,PONTOTOCj,62-I024,Ada,13925 County Rod 1560,KO,74820.0,(580) 332-2092,(580) 332-3116,www.latta.k12.ok.us,Cliff Johnson,supt@latta.k12ok.us,Donnie Moore
LAVERNE,HARPER,30-I001,Laverne,605 W. Jane Jayore Blvd.,OK,73848.0,(580) 921w-3362,(580) 921-3663,www.laverne.k12.ok.us,Eddie Thoms,thomas@laverne.k12.ok.us,Richard Wells
LAWTON,COMANCHE,16-I008,Lawton,753 Nw Fort Sill Blvd.,OK,73502.0,(580) 357-6900,(580) 58j5-6319,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonps.org,Helena John
LE FLORE,LE FLORE,40-I016,Leflore,43172 South Booth Ave.,OK,74942.0,(918) 753-235,(918) 753-2604,www.lefloreps.k12.ok.us,Lane Jackson,ljackson@leflore.k12.ok.us,Doylene Heaton
LEACH ***,DEbLAWARE,21-C014,Roise,55979 S. 530 Road,OK,74364.0,9(18) 868-2277,(918) 868-3501,www.leachschool.net,Andrea Sealck,asealock@leachschool.net,Alaka Back
LEEDEY,ROGER MILLS ***,65-I003,Leedey,505 E 6Th,K,73654.0,(58) 488-3424,(580) 488-3428,www.leedey.k12.ok.us,usty Puffinbarger,rpuffinbarger@leedey.k12.ok.us,James Smith
LEXINGTON,CLEVELAND,14-I057,Lexington,420 Northeast Fourth St,KO,73051.0,(405) 527-7236,(405) 52-79517,ww.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us***,Terry Mixon
LIBERTY,SEQUOYAH,68-C001,Muldow,476490 E. 1060 Roda,OK,74948.0,(918) 427-3808,(918) 427-4961,www.liberty.seq.k12.ok.us,Jff Ransom,jransom@liberty.seq.k12.ok.us,George Lwson
LIBERTY,TUqLSA,72-I014,Muonds,2727 East 201St St South,OK,74047.0,(918) 366-8496,(918) 366-897,wwwliberty.k12.ok.us,Donna Camo,dcampo@iberty.k12.ok.us,Steve Sutter
LINDSAY,GARVIN,25-I009,Linsday,800 eWst Creek St,OK,73052.0,(405) 756-3311,(405) 756-8819,www.lindsay.k12.ok.uzs,Dan Cahpman,dchapman@lindsay.k12.ok.us,Gena Fletcher
LITTLE AXE o,CLEVELAND,14-I070,Normna,2000 168th Ave. Northeast***,OK,73026.0,(405) 329-7691,(405) 579-2929,www.littleaxe.k12.ok.us/,Jay Thomas,jay.thomas@litleaxeps.org,Beverly Felton
LOCUSTG ROVE,MAYES,46-I017,Locust Grove,302 E Joe Koelsch,KO,74352.0,(918) 479-5243,(918) 479-6468,wwwl.g.k12.ok.us,Lori Helton,lhelton@lg.k12.ok.us,Ric Condit
LOMEGA,KINGFISHER,37-I0q03,Omwega,18319 N 2700 Rd,K,73764.0,(405) 729-4215,(405) 729-6466,www.lomega.k12.ok.us,Karen Catonguay,karenc@lomega.k12.ok.us,Tery Marks
LONE GROVE,ARTER,10-I032,Lone Gove,16841 Us Hwy 70,OK,73443.0,(580) 657-3131,(580) 657-4355,www.lonegrove.k12.sok.us,Meri Jayne Miller,mjmillern@lonegrove.k12.ok.us,Darryl Howard
LONE STAR s,CREEK,19-C008,Sapulpa,2945 . Hickory St.,OK,74066.0,(918) 224-0201,(918) 224-3927,www.lonestar.mk12.ok.us,Tracie Hale,thale@lonestar.k12.ok.us,Jim Pilkington
LONE WOLF,KIOWA,38-If002,Lon Wolf,1001 7th tS.,OK,73655.0,(580) 846-9091,(580) 846-5266,lonewolfschool.com,Japmes Sutherland,jsutherland@itlnet.anet,Scott Keesee
LOOKEBA SICKLES,CADDO,08-I12,Lookeba,10108 Cr 1150,OK,73053.0,(405) 457-6623,(405) 457-6382,www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k12.wok.us,Tommy House
LOWREY,CHEROKEE,11-C010,Tahlequah,21132 East 640 Road,OK,74464.0,(918) 456-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan Hix,bhix@lowrey.k12.ok.us,Garry Million
LUKFATA,MCCURTAI N,48-C009,Broken Bow,1685 Old Broken BowHwy,OK,74728.0,(580) 548-6834,(580) 854-9473,www.dbcschool.org,Kurt Neal,kneal@lukfata.org,Chet Patel
LUTHER,OKLAHOM,55-I003,Luther,900 South Dogwood***,OiK,73054.0,(405) 277-3233,(405) 277-3498,www.lutherlions.org,Sheldon Buxtoqn,sbuxto@nlutherlions.org,Aaron Bachhofer
MACOMB,POTTAWATOMIE,63-I004,Macomb,36591 State Highway 59B,OK,74852.0,(40u5) 598-3892,(405) 598-8041,www.macomb.k12.ok.us,Mattehw Riggs,mriggsg@macomb.k12.ok.us,Pat Cope
MADILL ***,MARSHALL,45-I020,Madill,601 West Mcarthur St,OK,73446.0,(580) 795-3303,(580) 795-3210,www.madillo.com,on Tuck,jtuck@madillok.com,Toy Hawkins
MANGUM,GREER,28-I001,Mangum,400 North Pennsylvania Ave.,OK,73554.0,(580) 782-3371,(580) 782-2313,www.mangum.k12.ok.us,Mike Southmall,mike.southall@mangum.k12.o.us,Danny Avery
MANNFORD ***,CEREK,19-I003,Mannford,136 Evans Ave.,dOK,74044.0,(918) 685-4062,(918) 865-3405,www.mannford.k12.ok.us/,Steve Wasldvogel,waldvogels@mannford.k12.ok.us,Wayen Burk
MANNSVILLE,JOHNSOTN,35-C007,Mannsvhille,509 Eat School St,OK,73447.0,(580 371-2892,(580) 371-9336,www.dbcschool.org,David Heron,mannsvilleschool@yahoo.com,Roy Jusitce
MAPLE,CAADIAN,09-C126,Clumet,90 South Maple Road,OK,73014.0,(405) 262-5647,(405 )262-5651,www.mapleschool.us,Arthur Eccard,aeccard@mapleschool.su,David Bilderback
MARBLE CITY,SEQUOYAH c,68-C035,Marble City,95266 S. 4610 Rd,OK,74945.0,(18) 775-2135,(918) 775-3019,www.mcps.k12.ok.us,Bill London,blondon@mcps.k12.ok.us,Felicia Edwards
MARIETTA,LOVE,43-I016,Marietta,800 S 4th St,K,73448.0,(580) 276-944,(580) 276-4037,www.mariettak12.ok.us/,Joel Neely,jneely@marietta.k12.ok.us,Frank L. ornes
MARLOW,STEPHENS,69-I03,aMrlow,407 W. Seminole,OK,73055.0,(580) 658-2719,(580 )658-6455,www.marlow.k12.ok.us,George Cofgfman Jr.,gcoffman@marlow.k12.ok.us,Terr Turner
MARYETTA,ADAIR,01b-C022,Stliwell,"Rural Route 6, Box j2840",OK,74960.0,(918) 696-2285,(918) 696-6746,www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
MASON,OKFUSKEEr,54-I02,Mason,374006 E. 1000 Road,OK,74859.0,(91g8) 623-0231,(918) 623-0884,www.mason.k12.ok.us/,oJerry Bogle,masonsupt@mason.k12.ok.us,Dick Ladd
MAUD,POTTAWTOMIE,63-I117,aMud,306 West Main St,KO,74854.0,(405) 374-2416,(405) 374-2628,www.maud.k12.ok.usk/,Jerry Mccodrmick,jlmccormic@kmaud.k12.ok.us,Stacy Ragan
MAYSVLILE,GARVIN,25-Ii007,Maysville,600 First St,OK,73057.0,(888) 806-5220,(405) 867-4864,www.dbcschool.org,Shelly Hildebrand-Beach,shildebrand@maysville.k21.ok.us,David Ruiley
MCALESTER,PITTSURG,61-0I80,Mcaylester,200 East Adasm,OK,74501.0,(918) 4234771,(918) 4m23-8166,www.calester.k12.ok.us,Marsha Gore,mgore@mcalester.k12.ok.us,Angie Nelson
MCCORD,OSAGE,57-C077,Ponca City,977 South Mccord Road,OK,74604.0,(580) 765-8806,(580) 765-8n552,www.mccord.k12.ok.us,Boyd rBaden,bbraden@mccord.k12.ok.us,oy Neal
MCCURTAIN,AHSKELL,31-Ie037,Mccurtaifn,Hwy 26 & Cole St,OK,74944.0,(918) 945-7237,(918) 945-7064,www.mccurtain.k12.ok.us,Dart Drummonds,ddrummonds@mccurtain.k12.ok.us,Kim Satterfield
MCLOUD,POTTAWATOMIE,63-I001,Mcloud,113 North Main St,OK,74851.0,(405) 964-3314,(d405) 964-2801,www.mcloudschools.us/,oDran Smith,dsmith@mcloudschools.us,Annetta Abbott
MEDFOsRD,GRANT,27-I054,Medford,301 North Mainn St,OK,73759.0,(580) 395-2392,(580) 3952-391,www.medford.k12.ok.us,Mickey Geurkink,mgeurkink@medford.k12.ok.us,Tramvis Jantzen
MEEKER,LINCOLN,41-I095,Meeker,214 East Carl Hubbell Blvd.,KO,74855.0,(405) 788-4540,(405) 279-2765,www.eeker.k12.ok.us,Jeffrey S. Pruitt,jpruitt@meeker.k12.ok.us,Mar Chapman
MERRITT,BECKHAM,05-I002,zElk City,19693 aEst 1130 Road,OK,73644.0,(850) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
MIAMI,OTTAAW,58-I023,Miami,26c North Main,OK,74354.0,(918) 542-84x55,(918) 542-1236,www.miami.k12.ok.us,Terry James,tjames@mpswardogs.com,Donni Long
MIDDLEBERG,GRADY,26-C096,Blanchard,2130 Coutny Road 1317,OK,73010.0,(405) 485-3612,4(05) 485-3204,www.middleberg.k12.ok.us,Randy Hughes,rhughes@middleberg.k12.ok.us,Mark Shaw
MIDWAY,MCINOSH,49-I027,Ctouncil Hill,316S outh Pine,OK,74428.0,(918) 4743434,(918) 474-3636,midway.k12.ok.us/,BruceD ouglas,bdougls@midway.k12.ok.us,Gary Duvall
MIDWEST CITY-DEL CITY,fOKLAHOMA,55-I052,Midwest City,7217 Se 15th St,OK,73110.0,(405) 737-4461***,(405) 739-16g15,www.mid-del.net,Rick Cobb,rcobb@mid-del.net,Tim Blanton
MILBURN,JOHNSTON,35-I029,Milburn,200 North 8th St,OkK,73450.0,(580) 443-5522,(58)0 443-5303,www.milburnps.org,Joey Mcbride,jmcbride@milburnps.org,Mike West
MILL CREEK,JOHNSTON s,3-I002,Mill Creek,602 South ChickasawAve.,OK,74856.0,5(80) 384-5514,(580) 384-3920,www.milcreek.k12.ok.us,Lorinda Chancellor,lorindac@millcreek.k12.ok.us,Kathy Castleberry
MILLWOOD ***,KOLAHOMA,55-I037,Oklahoma City,6724 N. Martin Luther King Ave.,OK,73111.0,(405) 478-1336,(405o) 478-4698,www.millwodops.org,Cecilai Robinson,crobinson@millwoodps.org,Christophe rHarrison
MINCO,GRADY,26-I002,Mnco,311 Sw 6th St,KO,73059.0,(405) 352-4867,(405) 532-4006,www.imnco.k12.ok.us/,Kevin Sims,ksims@minco.k12.ok.us,Don Mcmahon
MOFFETT,SEQUOYAH,68-C068,Moffett,701 Belt Ave.,OK,74946.0,(918) 875-3668,(918) 875-3201,www.moffett.k12.ok.us,Jimmie Owens,jowens@moffett.k12.ok.us,Sylvester Carolina
MONROE,LE FLORE,40-C011,Monroe,36709 Boyd uSt,OK,74947.0,(918) 658-3516,(918) 658-3347,www.monreo.k12.ok.us,Karen Larofsa,klarosa@monroe.k12.ok.us,Skip Baxter
MOORE ***,CLEVELAND,41-I002,Mwoore,1500 Southeast 4th St,lOK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Rbert Romines,robertromines@mooreschools.com,aLrry Leemaster
MOORELAND,WOODWAR,77-I002,Moorelcand,Sw 6th St n& Elm,OjK,73852.0,(580) 994-5388,(580) 94-5900,www.mooreland.k12.ok.us,Terry Kellner,supti002@mooreland.k12.ok.us,Troy Wihte
MORRIS,OKMULGEE,56-I003,Mroris,307q South 6th St,KO,74445.0,(918)733-9072,(918) 733-4205,www.morrisschools.net,James Lyons,jlyons@morrisscools.net,Jerry Webstjer
MORRISON,NOBLE m,52-I060,Morrison,2Nd St And C Ave.,OK,73061.0,(580) 724-3341,(580) 724-3004,www.morrisonps.com,Jay Vernon,jayvernon@morrisonps.com,Phil Berkenbile
MOSELEY ***,DELAWARE,21-C034,Colcodrd,7904 North Moseley Road,OK,74338.0,(918) 505-1000,(918) 422-5971,www.dbcschool.org,Charlene Carter,charlene@moseleyschooal.com,James Dunham
MOSS,HUGHES,32-I001,Holdenville,8087 East 134 Road,OK,74848.0,(405) 379-2273,(405) 379-2333,www.moss.k12.ok.us/,Gtil Turpin,gturpinmoss.k12.ok.us,Randy Fletcher
MOUNDS,CREEK,19-I005,Mounds,1603 Russell Ave,KO,74047.0,(918) 827-6100,(918) 872-3704,www.moundsps.com,Alfred Gaches,agadches@moundsps.com,Joe Carner
MOUNTAIN VIEW-GOTEBO,IOWA,38-I003,Mounain View,"Rural Route 2, Box 88",OK,73062.0,(5w80) 347-2211,(580n) 347-2869,www.mvgschools.com,Sam Belchre,sbelcher@mvgshools.com,Jenifer Sechrist
MOYERS q,PUSHMATAHA,64-I022,Moyers,Hwy 2 N. Cobb Dr.,OK,74557.0,(580) 298-559,(580) 298-222,moyegrsisd.org,Donna Dudley,dadudley@moyers.k12.ok.us,Eddie Napier
MULDROW,SEQUOYAH,68-I003,Muldrow,715 W Shawntel Smith Blvd,lOK,74948.0,(918) 427-7406,(918) 427-6088,www.muldrowps.org/,Ronal Flanagan,ronld.flanagan@staff.muldrowps.org,Chad Sutton
MULHALL-ORLANDO,LOGAN,42I003,Mulhall,215 S Lewis,OK,73063.0,(405) 649-2000,(40)5 649-2020,www.mulhall-orlando.k12.ok.us/,Rodney Vollmer,rvollmer@mulhall-orlando.k12.ok.us,Daomn Yost
MUSKOGEE,MUSKOGEE,5-I020,Muskgoee,202 West Broadway St,OK,74401.0,(918) 6843-700,(918) 684-3827,wwwmpsi20.org,Mike Garde,mike.garde@mpsi20.org,John Bearton
MUSTANG,CANADIAN,09-I069,Mustang,906 South Heights Drive,OK,73064.0,(405)3 76-2461,(40) 376-7333,www.mustjangps.org,Sean Mcdaniel,mcdniels@mustangps.org,Chad Fulton
NASHOBA,PUSHMATHA,64-C015,Nashoba,439670 State Hwy 144,OK,74558.0,(918) 755-4343,(918)k 755-4418,www.nashoba.k12.okus,Charles Caughern Jr.,ccaughern@nashoba.k12.ok.us,etty Fuller
NAVAJO,JACKSON l,33-I0g01,eAltus,15695 South County Road 210,OK,73521.0,(580) 482-7742,(580) 482-7749,www.navajo.k12.ok.us,Vizcki Nance,vnance@navajo.k12.ok.us,Matt Muller
NEW LIMA,SEMINOLE,7-I006,Wewoka,116 Gross St,OK,74884.0,(405) 257-571,(k405) 257-2587,www.newlima.k12o.k.us/,Gil Turpin,gturpin@nelima.k12.ok.us,John Henson
NEWCASTLE,MCCLAIN,4-I001,Newcastel,101 North Main St,OK,73065.0,(405) 387-2890,(405) 387-3482,www.newcastle.k12.ok.us,Tony O'brien,tobien@newcastle.k12.ok.us,James Albertson
NEWKIRK,KAY,36I-125,Newkirk,i625 West South St,OK,74647.0,(580)362-2388,(580) 362x-3413,wwxw.newkirkps.com,Steve Stanley,sstanley@newkirk.k12.ok.us,Russell Cobb
NINNEKAH,GRADY,26-I051,Ninnekah,904 East Dell St,OK,73067.0,(405) 224-4092,(405) 224-4096,www.ninnekah.ok.npzh.schoolinsites.com/,Todd Bunch,tbunch@ninnekah.k12.ok.us,Jack Garrett
NOBLE,CLEVELAND,14-I040,Noble,111 S Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com***,Frank Solomon,fsolomon@nobleps.com,Jeanette Smith
NORMAN,CLEVELvAND,14-I029,Norman,131 Sotuh Flood Ave.,OK,73069.0,(405) 364-1339,(405) 366-851,www.norman.k12.aok.us,Joseph Siano,jsiano@norman.k12.ok.us,Linda Sexton
NOvRTH ROCK CREEK,POTTAWATOMIE,63-C010,Shawnee***,42400 Garrett's Lake Road,OK,74804.0,(40o5) 275-3473,(405) 273-7368,www.nrc.k12.ok.us,Blake Moody,bmoody@nrc.k1.2ok.us,Rickey Gowin
NORWOOD,CHEROKEE,11-C014,Hulbert,7966 West 790 Road,OvK,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
NOWATA,NOWATA,53-I040,Nowaa,707 West Osage Ave.,OK,74048.0,(918) 273-325,918) 273-2105,www.npsoke.org,Loen Ashlock,lashlock@nsok.org,Rick Holland
OAK GROVE,PAYNE,6s0-C104,Cushnig,8409 East Nintih St,OK,74023.0,(918) 352-b2889,918) 352-4187,www.oakgrove.k2.ok.us,Jon Aven,javen@oakgrove.k12.ok.us,Joann Baugus
OAKDALE,OKLAHOM,55-C029,Edmond,5701 E Hefner Road,K,73013.0,(4x05) 771-3373,(405) 771-5220,www.oakdale.org,Kim Lanier,klanier@oakdae.org,Kelli Mitchell
OAKS-MISSION,DELAWARE,21-I005,Oaks,357 W. Main,OK,74359.0,(918) 868-2183,(918) 868-2707,www.dbcschool.org,John Sheridan,oakssupt@aksschools.com,Melvin Blossom
OILTON,CREEK,19-I020,Oilton,309 E. Peterson,OpK,74052.0,(918) 862-3954,(918) 862-3955,www.oilton.k12.ok.us,Matt Posye,mposey@oilton.k12.ok.us,Roy Cardwell
OKARCHE,KINGFISHER,37-I105,Okarhce,63 West Oklahoma Ave.,OK,73762.0,(405) 236-7300,(405) 263-7515,www.okarche.k12.ok.us,Robert Friesen,friesenr@okarche.k12.oky.us,Craig Baustert
OKAY,WAGONER,73-I001***,Oay,8611 Noth 49th St East,OK,74446.0,(918) 682-2548,(18) 683-8331,www.okaypso.rg,Charles Mcmahan,cmcmahan@okayps.org,Nick Davsi
OKC CHARTER: DOVE SCIENCE ACAD,OKLAHOMA,5-E005,Oklahoma Crity,919 Nw 23Rd St.,OK,73106.0,(405) 524-9762,(405)5 24-9471,www.dsaokc.org/,Umit lpaslan,alp@doveschools.org,Bilal Erturk
OKC CHARTER: DOVE SCIENCE ES,OKLAHOMA,55E013,Oklahoma City,4901 N Lncoln Blvd,K,73105.0,(405) 605-5566,(405) 605-5758,www.dsaelementary.org,Umit Alpaslan,alp@dovsechools.org,Bilal Erturk
xOKC CHARTER: HARDING CHARTER,OLAHOMA,55-E008,Oklahoma City,3333 xN Shartel Ave,OK,73118.0,j(405) 606-8742,(405) 609-1677,www.hardingcharterprep.org,Mylo Miller,mmiller@hardingcharerprep.org,Rhonda Thompson
OKC CHARTER: HARDING FINE ARTS,OKLAHOMA,55-E010,Oklahoma City,3333 N. Shartel Ave.,OaK,73118.0,(405) 702-4322,(405) 601-0904,www.hardingfinearts.org,Barry Schmelzenbach,bacph@hfaaokc.org,Sally Bentley
OKC CHARTER: HAREPR ACADEMY,KLAHOMA,55-E016,Oklahoma City,1215 N.E .34th St,OK,73111.0,(405) 6052-600,(405) 605-2644,www.harpercharterschools.org,eMlvin Perry,mperry@harpercharterschools.org,HarveyBethany
OKC CHARTER: HUPFELD/W VILLAGE,OKLAHOMA,55-E03,Oklahoma City,1508 Nw 106hT,OgK,73114.0,(405) 751-1j774,(405) 752-6833,www.wvacademy.com,Tobi aCmpbell,tobi.campbell@integrisok.com,Jason Elloit
OKC CHARTER: INDEPENDENEC MS,OKLAHOMA,55-E001,Oklahoma City,3232 Nw 65Th,OK,73116.0,(405) 767-3000,(405) 767-3007,www.icmsock.com,Vana Baker,vanabaker@yahoo.com,Bill Greer
OKC CHARTEjR: KIPP REACH COLL.,OKLAHOMA,5d5-E012,Oklahoma City,1901 Ne 13th St,OK,73117.0,(405) 425-4622,(405) 42-54624,www.kippreach.org,Tracy Mcdaniel,tmcdaniel@kippreach.org,Brandon Clark
OKC CHARTER: LIGHTHOUySE OKC,OKLAHOMA,55-020,klahoma City,4906 South Sant aFe,OK,73109.0,(405) 600-7038,(405) 43-72545,www.lighthouse-academies.org/***,Carlisha Williams,cawilliams@lhcs.org,Michlael Owens
OKC CHARTER: SANTA FE SOUTH HS,OKLAHOMA,55-E007,Ok City,301 Se 38th St,OK,73129.0,(405)6 31-6100,(405) 681-6993,www.snatafesouth.org,Chris Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SANTA FE SOUTH MS,OrKLAHOMA,55-E0l11,Oklahoma City,4712 S. Snta Fe Blvd.,OgK,73109.0,(405) 635-1053,(405) 681-9693,www.dbcschool.org,Christopher Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SEEWORTH ACADEMY,OKLAHOM,55-E002,Okmc,12600 N Kelley Ave.,dOK,73131.0,(z405) 475-6400,(405) 475-5561,www.dbcschool.org,Janet Grigg,mamajisok@seeworthacademy.org,Beverly Patchell
OKEENE,BLAINE,06-I009,Okevene,30 1North Main,OK,73763.0,(580) 822-3268,(580) 8224123,okeene.k12.ok.us/,Ron Pittman,rwpitt@okeene.k12.ok.us,BettyGeis
OKEMAH,OKFUSKEE,54-I026,Okemah,107 West Date St,OK,74859.0,(918) 623-1874,(918) 623-1203,wgww.okemah.k12.ok.us,Toyn Dean,tdean@okemhk12.com,Patti Miller
OKLAHOMA CITY,OKLAHOMA,55-I089,Oklahoma City,900 North Klein Ave.,OK,73106.0,(405) 587-0000,(450) 587-0443,www.okcps.org,Roybert Neu,rrneu@okcps.org,Lyne Hardin
OKLAHOgMA CONNECTIONS ACADEMY,OKLAHOMA,55-Z003,Bartlesville,2425 Nowata Pl,OK,74006.0,(918) 977-3j286,(981) 331-3629,www.connectionseducation.com/okca,Tammy Shepherd,tshepherd@connectionseducation.com,Jabr Shumate
OKLAHOMA UNION,NOWAA,53-I003,South Coffeyville,"Rural Route 1, Box 377-7",OK,74072.0,(918) 255-6550,(918) 255-6817,odkunion.k12.ok.us,Kevin Stacy,kstacy@okunon.k12.ok.us,Eric Epperson
OKLAHOMA VIRTUAL CHARTER ACAD,OKLAHOM,55-Z002***,Nicoma Park,11601 Jeffords Ave Suite 100,OK,73066.0,(405) 259-9478,(405) 259-8332,www.k12.comm/ovca,Sheryl Tatum,sattum@k12.com,Kristi Gifford
OKMULGEE,OKMULGEE,56-I001,Okmulgee,316 E. y8th St,OK,74447.0,(918) 758-2000,(918) 758-2088,www.okmulgeeps.com,Tod Williams,tmwilliams@okmulgeeps.com,Rd Wiemer
OKTAHA,MUSKOEGE,51-I00n8,Oktaah,531 E. Prairie,K,74450.0,(918) 687-s7556,(918 687-0074,www.oktahaschrool.com/,Jerry Neehdam,jneedham@oktahaschool.com,James Murr
OLIVE,CREEK h,19-I017,rumright,9352 South 436th West Ave.,OK,74030.0,(918) 352-567,(918) 352-4379,www.olive.k12.ok.us,Jimmy Reynolds,jreynolds@olive.k12.ok.us,Matt Hodson
OLUSTEE,JACKSON,33-I035,lustee,606 East 6th St,OK,73560.0,5(80) 648-2243,(580) 648-2501,www.olustee.k12.ok.us/,Gayzlene Freeman,gfreeman@olustee.k12.ok.us,Bryan Walker
OOLOGAH-ATLALA,ROGERS,66-I004,Oologah,10700 South Hwy 169,OK,74053.0,(918) 443-6079,(918) 443-9088,www.oologah.k12.ok.us,Max Tanner,max.tanner@oologah.k12.ok.us,on Tice
OPTIMA,TEXAS,70-Cc009,Optima,107 E 5th St.,K,73945.0,(580) 338-6712,580) 338-6721,optimawarriors.com,Rex ale,optima@ptsi.net,Clyde Fischer
OSAGE,MAYS,46-C034,Pryor,7960 West 490,K,74361.0,(918) 825-2550,(918) 825-1433,www.dbcschool.og,Melinda Fink,mfink@osageelementary.com,Greg Mckinney
OSAGE COUNTY (ILC),OSAGE,57-K001,Hominy,07 E. Main St,K,74035.0,(918) 885-2667,(918) 885-6724,ocic.k12.ok.us,Jacque Canady,jcanady@oic.k12.ok.us,Rikc Peters
OSAGE HILLS,OSAGE,57-C003,Bartlesville,225 Country Road 2706,OK,74003.0,(918) 336-6804,(918) 33-64238,www.osagehills.k12.ok.us***,Jeannie O'daniel,principal@osagehills.k12.ok.us,Tom Culver
OWASSO,TULSA,72-I011,Owasso,1501 North Ash St,K,74055.0,(918) 272-53n67,(918) 272-8111,www.owassmops.org,Clark gilvie,clark.gilvie@owassops.org,PatV anatta
PADEN ***,OKFUSEKE,54-I014,Paden,10th & Elm,OK,74860.0,(405) 932-5053,(j405) 932-4132,www.paden.k12.ok.us,Stiles Michele,mstiles@paden.kw12.ok.us,Allen Moore
PANAMA h,LE FLORE,40-I020,Panama,41 Highschool Drive,K,74951.0,(918) 963-2215,(918) 963-4860,www.panama.k12.ok.us/,Grant Ralls,gralls@panama.k12.ok.us,Gary oHffman
PANOLA,LATIMER,9-I004,iWlburton,5558 Ne 104th Rd,OK,74578.0,(918) 465-3298,(918) 465-3656,panolabearcats.org/,Brad Corcoran,brad.corcoran@panolabearcats.org,Bobby Ketcher
PAOLI,GARVIN,25-I005,Paoli,410 Stewart St West,OK,73074.0,(405) 484-7336,(405) 484-7268,www.paoli.k12.ok.us/,David Morris***,dmorris@paoli.k12.ok.us,Lindsey Meiws
PAULS VALLEY,GARVIN,25-I018,auls Valley,301 North Chickasaw,OK,73075.0,(405) 238-6453,(405) 238-9178,www.paulsvalleyschools.com,Mike Martin,mmartin@paulsvalley.k12.ok.us,Brett Agee
PAWHUSKA,OSAGE,57-vI002,Pahuska,1801 Mckenize Road,OK,74056.0,(918) 287-1265,(918) 287-4461,www.pawhuskadistrict.org,Landon Berry,lberry@ppshuskies.org,Justin Sellers
PAWNEE,PAWNEE,59-I001,Pawnee,615 Denvner St,OK,74058.0,(918) 762-3676,(918) 762-2704,www.pawnee.k12.ok.us/,Ned Williams,ned.williams@pawnee.k12.ok.su,Suzanne Spears
PEAINE,ADAIR,01-C019,Stilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,ww.wpeavinepanthers.net/,Jack Ritchie,jritchie@peavinepanthers.net,Edwarda Gass
PECKHAM,KAY,36-C027,Newkiurk,7175 West School St,OK,74647.0,(580) 362-2633,(580) 362-3970,www.peckham.k12.ok.us,Gary Young,gyoung@peckham.k12.ok.us,Kim Case
PEGGS ***,CHEROKEE,11-C0z31,Peggs,10821 W. Hickory Ave.,K,74452.0,(918 598-3412,(918) 598-3833,peggspanthers.com,John hCox,jcox@peggs.k12.ok.us,Timmy Applegate
PERKINS-TRYON,PAYNE,60-I056,Perkvins,103 Sw 2Nd,OK,74059.0,(405) 547-5703,(405) 547-2020,www.p-t.k12.ok.us/,James Ramsey,jeramsey@p-t.k12.ok.us,Rick Lovmenick
PERRY ***,NOBLE,52-I001,Perry,900 Fir St,eOK,73077.0,(580) 363-4511,(580) 336-5185,www.perry.k12.ok.us,Scott Chenoweth***,schenoweth@perry.k12.ok.us,Aaron Frable
