districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
LANE,ATOKA,03-C022,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
LANGSTON HUGHES ACAD ARTS-TECH,TULSA,72-G005,Tulsa,5424 N. Madison Ave.,OK,74126.0,(918) 728-8588,(918) 794-6682,www.lhatt.com,Rodney Clark,rclark@lhatt.com,Fredrick Artis
LATTA,PONTOTOC,62-I024,Ada,13925 County Road 1560,OK,74820.0,(580) 332-2092,(580) 332-3116,www.latta.k12.ok.us,Cliff Johnson,supt@latta.k12.ok.us,Donnie Moore
LAVERNE,HARPER,30-I001,Laverne,605 W. Jane Jayroe Blvd.,OK,73848.0,(580) 921-3362,(580) 921-3636,www.laverne.k12.ok.us,Eddie Thomas,thomas@laverne.k12.ok.us,Richard Wells
LAWTON,COMANCHE,16-I008,Lawton,753 Nw Fort Sill Blvd.,OK,73502.0,(580) 357-6900,(580) 585-6319,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonps.org,Helena John
LE FLORE,LE FLORE,40-I016,Leflore,43172 South Booth Ave.,OK,74942.0,(918) 753-2345,(918) 753-2604,www.lefloreps.k12.ok.us,Lane Jackson,ljackson@leflore.k12.ok.us,Doylene Heaton
LEACH,DELAWARE,21-C014,Rose,55979 S. 530 Road,OK,74364.0,(918) 868-2277,(918) 868-3501,www.leachschool.net,Andrea Sealock,asealock@leachschool.net,Alaka Back
LEEDEY,ROGER MILLS,65-I003,Leedey,505 E 6Th,OK,73654.0,(580) 488-3424,(580) 488-3428,www.leedey.k12.ok.us,Rusty Puffinbarger,rpuffinbarger@leedey.k12.ok.us,James Smith
LEXINGTON,CLEVELAND,14-I057,Lexington,420 Northeast Fourth St,OK,73051.0,(405) 527-7236,(405) 527-9517,www.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us,Terry Mixon
LIBERTY,SEQUOYAH,68-C001,Muldrow,476490 E. 1060 Road,OK,74948.0,(918) 427-3808,(918) 427-4961,www.liberty.seq.k12.ok.us,Jeff Ransom,jransom@liberty.seq.k12.ok.us,George Lawson
LIBERTY,TULSA,72-I014,Mounds,2727 East 201St St South,OK,74047.0,(918) 366-8496,(918) 366-8497,www.liberty.k12.ok.us,Donna Campo,dcampo@liberty.k12.ok.us,Steve Sutter
LINDSAY,GARVIN,25-I009,Lindsay,800 West Creek St,OK,73052.0,(405) 756-3131,(405) 756-8819,www.lindsay.k12.ok.us,Dan Chapman,dchapman@lindsay.k12.ok.us,Gena Fletcher
LITTLE AXE,CLEVELAND,14-I070,Norman,2000 168th Ave. Northeast,OK,73026.0,(405) 329-7691,(405) 579-2929,www.littleaxe.k12.ok.us/,Jay Thomas,jay.thomas@littleaxeps.org,Beverly Felton
LOCUST GROVE,MAYES,46-I017,Locust Grove,302 E Joe Koelsch,OK,74352.0,(918) 479-5243,(918) 479-6468,www.lg.k12.ok.us,Lori Helton,lhelton@lg.k12.ok.us,Rick Condit
LOMEGA,KINGFISHER,37-I003,Omega,18319 N 2700 Rd,OK,73764.0,(405) 729-4215,(405) 729-4666,www.lomega.k12.ok.us,Karen Castonguay,karenc@lomega.k12.ok.us,Terry Marks
LONE GROVE,CARTER,10-I032,Lone Grove,16841 Us Hwy 70,OK,73443.0,(580) 657-3131,(580) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
LONE STAR,CREEK,19-C008,Sapulpa,2945 S. Hickory St.,OK,74066.0,(918) 224-0201,(918) 224-3927,www.lonestar.k12.ok.us,Tracie Hale,thale@lonestar.k12.ok.us,Jim Pilkington
LONE WOLF,KIOWA,38-I002,Lone Wolf,1001 7th St.,OK,73655.0,(580) 846-9091,(580) 846-5266,lonewolfschool.com,James Sutherland,jsutherland@itlnet.net,Scott Keesee
LOOKEBA SICKLES,CADDO,08-I012,Lookeba,10108 Cr 1150,OK,73053.0,(405) 457-6623,(405) 457-6382,www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k12.ok.us,Tommy House
LOWREY,CHEROKEE,11-C010,Tahlequah,21132 East 640 Road,OK,74464.0,(918) 456-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan Hix,bhix@lowrey.k12.ok.us,Garry Million
LUKFATA,MCCURTAIN,48-C009,Broken Bow,1685 Old Broken Bow Hwy,OK,74728.0,(580) 584-6834,(580) 584-9473,www.dbcschool.org,Kurt Neal,kneal@lukfata.org,Chet Patel
LUTHER,OKLAHOMA,55-I003,Luther,900 South Dogwood,OK,73054.0,(405) 277-3233,(405) 277-3498,www.lutherlions.org,Sheldon Buxton,sbuxton@lutherlions.org,Aaron Bachhofer
MACOMB,POTTAWATOMIE,63-I004,Macomb,36591 State Highway 59B,OK,74852.0,(405) 598-3892,(405) 598-8041,www.macomb.k12.ok.us,Matthew Riggs,mriggs@macomb.k12.ok.us,Pat Cope
MADILL,MARSHALL,45-I002,Madill,601 West Mcarthur St,OK,73446.0,(580) 795-3303,(580) 795-3210,www.madillok.com,Jon Tuck,jtuck@madillok.com,Tony Hawkins
MANGUM,GREER,28-I001,Mangum,400 North Pennsylvania Ave.,OK,73554.0,(580) 782-3371,(580) 782-2313,www.mangum.k12.ok.us,Mike Southall,mike.southall@mangum.k12.ok.us,Danny Avery
MANNFORD,CREEK,19-I003,Mannford,136 Evans Ave.,OK,74044.0,(918) 865-4062,(918) 865-3405,www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Wayne Burk
MANNSVILLE,JOHNSTON,35-C007,Mannsville,509 East School St,OK,73447.0,(580) 371-2892,(580) 371-9336,www.dbcschool.org,David Herron,mannsvilleschool@yahoo.com,Roy Justice
MAPLE,CANADIAN,09-C162,Calumet,904 South Maple Road,OK,73014.0,(405) 262-5647,(405) 262-5651,www.mapleschool.us,Arthur Eccard,aeccard@mapleschool.us,David Bilderback
MARBLE CITY,SEQUOYAH,68-C035,Marble City,95266 S. 4610 Rd,OK,74945.0,(918) 775-2135,(918) 775-3019,www.mcps.k12.ok.us,Bill London,blondon@mcps.k12.ok.us,Felicia Edwards
MARIETTA,LOVE,43-I016,Marietta,800 S 4th St,OK,73448.0,(580) 276-9444,(580) 276-4037,www.marietta.k12.ok.us/,Joel Neely,jneely@marietta.k12.ok.us,Frank L. Lornes
MARLOW,STEPHENS,69-I003,Marlow,407 W. Seminole,OK,73055.0,(580) 658-2719,(580) 658-6455,www.marlow.k12.ok.us,George Coffman Jr.,gcoffman@marlow.k12.ok.us,Terry Turner
MARYETTA,ADAIR,01-C022,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
MASON,OKFUSKEE,54-I002,Mason,374006 E. 1000 Road,OK,74859.0,(918) 623-0231,(918) 623-0884,www.mason.k12.ok.us/,Jerry Bogle,masonsupt@mason.k12.ok.us,Dick Ladd
MAUD,POTTAWATOMIE,63-I117,Maud,306 West Main St,OK,74854.0,(405) 374-2416,(405) 374-2628,www.maud.k12.ok.us/,Jerry Mccormick,jlmccormick@maud.k12.ok.us,Stacy Ragan
MAYSVILLE,GARVIN,25-I007,Maysville,600 First St,OK,73057.0,(888) 806-5220,(405) 867-4864,www.dbcschool.org,Shelly Hildebrand-Beach,shildebrand@maysville.k12.ok.us,David Riley
MCALESTER,PITTSBURG,61-I080,Mcalester,200 East Adams,OK,74501.0,(918) 423-4771,(918) 423-8166,www.mcalester.k12.ok.us,Marsha Gore,mgore@mcalester.k12.ok.us,Angie Nelson
MCCORD,OSAGE,57-C077,Ponca City,977 South Mccord Road,OK,74604.0,(580) 765-8806,(580) 765-8552,www.mccord.k12.ok.us,Boyd Braden,bbraden@mccord.k12.ok.us,Joy Neal
MCCURTAIN,HASKELL,31-I037,Mccurtain,Hwy 26 & Cole St,OK,74944.0,(918) 945-7237,(918) 945-7064,www.mccurtain.k12.ok.us,Dart Drummonds,ddrummonds@mccurtain.k12.ok.us,Kim Satterfield
MCLOUD,POTTAWATOMIE,63-I001,Mcloud,113 North Main St,OK,74851.0,(405) 964-3314,(405) 964-2801,www.mcloudschools.us/,Doran Smith,dsmith@mcloudschools.us,Annetta Abbott
MEDFORD,GRANT,27-I054,Medford,301 North Main St,OK,73759.0,(580) 395-2392,(580) 395-2391,www.medford.k12.ok.us,Mickey Geurkink,mgeurkink@medford.k12.ok.us,Travis Jantzen
MEEKER,LINCOLN,41-I095,Meeker,214 East Carl Hubbell Blvd.,OK,74855.0,(405) 788-4540,(405) 279-2765,www.meeker.k12.ok.us,Jeffrey S. Pruitt,jpruitt@meeker.k12.ok.us,Marc Chapman
MERRITT,BECKHAM,05-I002,Elk City,19693 East 1130 Road,OK,73644.0,(580) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
MIAMI,OTTAWA,58-I023,Miami,26 North Main,OK,74354.0,(918) 542-8455,(918) 542-1236,www.miami.k12.ok.us,Terry James,tjames@mpswardogs.com,Donni Long
MIDDLEBERG,GRADY,26-C096,Blanchard,2130 County Road 1317,OK,73010.0,(405) 485-3612,(405) 485-3204,www.middleberg.k12.ok.us,Randy Hughes,rhughes@middleberg.k12.ok.us,Mark Shaw
MIDWAY,MCINTOSH,49-I027,Council Hill,316 South Pine,OK,74428.0,(918) 474-3434,(918) 474-3636,midway.k12.ok.us/,Bruce Douglas,bdouglas@midway.k12.ok.us,Gary Duvall
MIDWEST CITY-DEL CITY,OKLAHOMA,55-I052,Midwest City,7217 Se 15th St,OK,73110.0,(405) 737-4461,(405) 739-1615,www.mid-del.net,Rick Cobb,rcobb@mid-del.net,Tim Blanton
MILBURN,JOHNSTON,35-I029,Milburn,200 North 8th St,OK,73450.0,(580) 443-5522,(580) 443-5303,www.milburnps.org,Joey Mcbride,jmcbride@milburnps.org,Mike West
MILL CREEK,JOHNSTON,35-I002,Mill Creek,602 South Chickasaw Ave.,OK,74856.0,(580) 384-5514,(580) 384-3920,www.millcreek.k12.ok.us,Lorinda Chancellor,lorindac@millcreek.k12.ok.us,Kathy Castleberry
MILLWOOD,OKLAHOMA,55-I037,Oklahoma City,6724 N. Martin Luther King Ave.,OK,73111.0,(405) 478-1336,(405) 478-4698,www.millwoodps.org,Cecilia Robinson,crobinson@millwoodps.org,Christopher Harrison
MINCO,GRADY,26-I002,Minco,311 Sw 6th St,OK,73059.0,(405) 352-4867,(405) 352-4006,www.minco.k12.ok.us/,Kevin Sims,ksims@minco.k12.ok.us,Don Mcmahon
MOFFETT,SEQUOYAH,68-C068,Moffett,701 Belt Ave.,OK,74946.0,(918) 875-3668,(918) 875-3201,www.moffett.k12.ok.us,Jimmie Owens,jowens@moffett.k12.ok.us,Sylvester Carolina
MONROE,LE FLORE,40-C011,Monroe,36709 Boyd St,OK,74947.0,(918) 658-3516,(918) 658-3347,www.monroe.k12.ok.us,Karen Larosa,klarosa@monroe.k12.ok.us,Skip Baxter
MOORE,CLEVELAND,14-I002,Moore,1500 Southeast 4th St,OK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromines@mooreschools.com,Larry Leemaster
MOORELAND,WOODWARD,77-I002,Mooreland,Sw 6th St & Elm,OK,73852.0,(580) 994-5388,(580) 994-5900,www.mooreland.k12.ok.us,Terry Kellner,supti002@mooreland.k12.ok.us,Troy White
MORRIS,OKMULGEE,56-I003,Morris,307 South 6th St,OK,74445.0,(918) 733-9072,(918) 733-4205,www.morrisschools.net,James Lyons,jlyons@morrisschools.net,Jerry Webster
MORRISON,NOBLE,52-I006,Morrison,2Nd St And C Ave.,OK,73061.0,(580) 724-3341,(580) 724-3004,www.morrisonps.com,Jay Vernon,jayvernon@morrisonps.com,Phil Berkenbile
MOSELEY,DELAWARE,21-C034,Colcord,7904 North Moseley Road,OK,74338.0,(918) 505-1000,(918) 422-5971,www.dbcschool.org,Charlene Carter,charlene@moseleyschool.com,James Dunham
MOSS,HUGHES,32-I001,Holdenville,8087 East 134 Road,OK,74848.0,(405) 379-2273,(405) 379-2333,www.moss.k12.ok.us/,Gil Turpin,gturpin@moss.k12.ok.us,Randy Fletcher
MOUNDS,CREEK,19-I005,Mounds,1603 Russell Ave,OK,74047.0,(918) 827-6100,(918) 827-3704,www.moundsps.com,Alfred Gaches,agaches@moundsps.com,Joe Carner
MOUNTAIN VIEW-GOTEBO,KIOWA,38-I003,Mountain View,"Rural Route 2, Box 88",OK,73062.0,(580) 347-2211,(580) 347-2869,www.mvgschools.com,Sam Belcher,sbelcher@mvgschools.com,Jennifer Sechrist
MOYERS,PUSHMATAHA,64-I022,Moyers,Hwy 2 N. Cobb Dr.,OK,74557.0,(580) 298-5549,(580) 298-2022,moyersisd.org,Donna Dudley,dadudley@moyers.k12.ok.us,Eddie Napier
MULDROW,SEQUOYAH,68-I003,Muldrow,715 W Shawntel Smith Blvd,OK,74948.0,(918) 427-7406,(918) 427-6088,www.muldrowps.org/,Ronal Flanagan,ronald.flanagan@staff.muldrowps.org,Chad Sutton
MULHALL-ORLANDO,LOGAN,42-I003,Mulhall,215 S Lewis,OK,73063.0,(405) 649-2000,(405) 649-2020,www.mulhall-orlando.k12.ok.us/,Rodney Vollmer,rvollmer@mulhall-orlando.k12.ok.us,Damon Yost
MUSKOGEE,MUSKOGEE,51-I020,Muskogee,202 West Broadway St,OK,74401.0,(918) 684-3700,(918) 684-3827,www.mpsi20.org,Mike Garde,mike.garde@mpsi20.org,John Barton
MUSTANG,CANADIAN,09-I069,Mustang,906 South Heights Drive,OK,73064.0,(405) 376-2461,(405) 376-7333,www.mustangps.org,Sean Mcdaniel,mcdaniels@mustangps.org,Chad Fulton
NASHOBA,PUSHMATAHA,64-C015,Nashoba,439670 State Hwy 144,OK,74558.0,(918) 755-4343,(918) 755-4418,www.nashoba.k12.ok.us,Charles Caughern Jr.,ccaughern@nashoba.k12.ok.us,Betty Fuller
NAVAJO,JACKSON,33-I001,Altus,15695 South County Road 210,OK,73521.0,(580) 482-7742,(580) 482-7749,www.navajo.k12.ok.us,Vicki Nance,vnance@navajo.k12.ok.us,Matt Muller
NEW LIMA,SEMINOLE,67-I006,Wewoka,116 Gross St,OK,74884.0,(405) 257-5771,(405) 257-2587,www.newlima.k12.ok.us/,Gil Turpin,gturpin@newlima.k12.ok.us,John Henson
NEWCASTLE,MCCLAIN,47-I001,Newcastle,101 North Main St,OK,73065.0,(405) 387-2890,(405) 387-3482,www.newcastle.k12.ok.us,Tony O'brien,tobrien@newcastle.k12.ok.us,James Albertson
NEWKIRK,KAY,36-I125,Newkirk,625 West South St,OK,74647.0,(580) 362-2388,(580) 362-3413,www.newkirkps.com,Steve Stanley,sstanley@newkirk.k12.ok.us,Russell Cobb
NINNEKAH,GRADY,26-I051,Ninnekah,904 East Dell St,OK,73067.0,(405) 224-4092,(405) 224-4096,www.ninnekah.ok.nph.schoolinsites.com/,Todd Bunch,tbunch@ninnekah.k12.ok.us,Jack Garrett
NOBLE,CLEVELAND,14-I040,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frank Solomon,fsolomon@nobleps.com,Jeanette Smith
NORMAN,CLEVELAND,14-I029,Norman,131 South Flood Ave.,OK,73069.0,(405) 364-1339,(405) 366-5851,www.norman.k12.ok.us,Joseph Siano,jsiano@norman.k12.ok.us,Linda Sexton
NORTH ROCK CREEK,POTTAWATOMIE,63-C010,Shawnee,42400 Garrett's Lake Road,OK,74804.0,(405) 275-3473,(405) 273-7368,www.nrc.k12.ok.us,Blake Moody,bmoody@nrc.k12.ok.us,Rickey Gowin
NORWOOD,CHEROKEE,11-C014,Hulbert,7966 West 790 Road,OK,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
NOWATA,NOWATA,53-I040,Nowata,707 West Osage Ave.,OK,74048.0,(918) 273-3425,(918) 273-2105,www.npsok.org,Leon Ashlock,lashlock@npsok.org,Rick Holland
OAK GROVE,PAYNE,60-C104,Cushing,8409 East Ninth St,OK,74023.0,(918) 352-2889,(918) 352-4187,www.oakgrove.k12.ok.us,Jon Aven,javen@oakgrove.k12.ok.us,Joann Baugus
OAKDALE,OKLAHOMA,55-C029,Edmond,5701 E Hefner Road,OK,73013.0,(405) 771-3373,(405) 771-5220,www.oakdale.org,Kim Lanier,klanier@oakdale.org,Kelli Mitchell
OAKS-MISSION,DELAWARE,21-I005,Oaks,357 W. Main,OK,74359.0,(918) 868-2183,(918) 868-2707,www.dbcschool.org,John Sheridan,oakssupt@oaksschools.com,Melvin Blossom
OILTON,CREEK,19-I020,Oilton,309 E. Peterson,OK,74052.0,(918) 862-3954,(918) 862-3955,www.oilton.k12.ok.us,Matt Posey,mposey@oilton.k12.ok.us,Roy Cardwell
OKARCHE,KINGFISHER,37-I105,Okarche,632 West Oklahoma Ave.,OK,73762.0,(405) 263-7300,(405) 263-7515,www.okarche.k12.ok.us,Robert Friesen,friesenr@okarche.k12.ok.us,Craig Baustert
OKAY,WAGONER,73-I001,Okay,8611 North 49th St East,OK,74446.0,(918) 682-2548,(918) 683-8331,www.okayps.org,Charles Mcmahan,cmcmahan@okayps.org,Nick Davis
OKC CHARTER: DOVE SCIENCE ACAD,OKLAHOMA,55-E005,Oklahoma City,919 Nw 23Rd St.,OK,73106.0,(405) 524-9762,(405) 524-9471,www.dsaokc.org/,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
OKC CHARTER: DOVE SCIENCE ES,OKLAHOMA,55-E013,Oklahoma City,4901 N Lincoln Blvd,OK,73105.0,(405) 605-5566,(405) 605-5578,www.dsaelementary.org,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
OKC CHARTER: HARDING CHARTER,OKLAHOMA,55-E008,Oklahoma City,3333 N Shartel Ave,OK,73118.0,(405) 606-8742,(405) 609-1677,www.hardingcharterprep.org,Mylo Miller,mmiller@hardingcharterprep.org,Rhonda Thompson
OKC CHARTER: HARDING FINE ARTS,OKLAHOMA,55-E010,Oklahoma City,3333 N. Shartel Ave.,OK,73118.0,(405) 702-4322,(405) 601-0904,www.hardingfinearts.org,Barry Schmelzenbach,bach@hfaaokc.org,Sally Bentley
OKC CHARTER: HARPER ACADEMY,OKLAHOMA,55-E016,Oklahoma City,1215 N.E. 34th St,OK,73111.0,(405) 605-2600,(405) 605-2644,www.harpercharterschools.org,Melvin Perry,mperry@harpercharterschools.org,Harvey Bethany
OKC CHARTER: HUPFELD/W VILLAGE,OKLAHOMA,55-E003,Oklahoma City,1508 Nw 106Th,OK,73114.0,(405) 751-1774,(405) 752-6833,www.wvacademy.com,Tobi Campbell,tobi.campbell@integrisok.com,Jason Elliot
OKC CHARTER: INDEPENDENCE MS,OKLAHOMA,55-E001,Oklahoma City,3232 Nw 65Th,OK,73116.0,(405) 767-3000,(405) 767-3007,www.icmsokc.com,Vana Baker,vanabaker@yahoo.com,Bill Greer
OKC CHARTER: KIPP REACH COLL.,OKLAHOMA,55-E012,Oklahoma City,1901 Ne 13th St,OK,73117.0,(405) 425-4622,(405) 425-4624,www.kippreach.org,Tracy Mcdaniel,tmcdaniel@kippreach.org,Brandon Clark
OKC CHARTER: LIGHTHOUSE OKC,OKLAHOMA,55-E020,Oklahoma City,4906 South Santa Fe,OK,73109.0,(405) 600-7038,(405) 437-2545,www.lighthouse-academies.org/,Carlisha Williams,cawilliams@lhacs.org,Michael Owens
OKC CHARTER: SANTA FE SOUTH HS,OKLAHOMA,55-E007,Ok City,301 Se 38th St,OK,73129.0,(405) 631-6100,(405) 681-6993,www.santafesouth.org,Chris Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SANTA FE SOUTH MS,OKLAHOMA,55-E011,Oklahoma City,4712 S. Santa Fe Blvd.,OK,73109.0,(405) 635-1053,(405) 681-6993,www.dbcschool.org,Christopher Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SEEWORTH ACADEMY,OKLAHOMA,55-E002,Okc,12600 N Kelley Ave.,OK,73131.0,(405) 475-6400,(405) 475-5561,www.dbcschool.org,Janet Grigg,mamajisok@seeworthacademy.org,Beverly Patchell
OKEENE,BLAINE,06-I009,Okeene,301 North Main,OK,73763.0,(580) 822-3268,(580) 822-4123,okeene.k12.ok.us/,Ron Pittman,rwpitt@okeene.k12.ok.us,Betty Geis
OKEMAH,OKFUSKEE,54-I026,Okemah,107 West Date St,OK,74859.0,(918) 623-1874,(918) 623-1203,www.okemah.k12.ok.us,Tony Dean,tdean@okemahk12.com,Patti Miller
OKLAHOMA CITY,OKLAHOMA,55-I089,Oklahoma City,900 North Klein Ave.,OK,73106.0,(405) 587-0000,(405) 587-0443,www.okcps.org,Robert Neu,rrneu@okcps.org,Lynne Hardin
OKLAHOMA CONNECTIONS ACADEMY,OKLAHOMA,55-Z003,Bartlesville,2425 Nowata Pl,OK,74006.0,(918) 977-3286,(918) 331-3629,www.connectionseducation.com/okca,Tammy Shepherd,tshepherd@connectionseducation.com,Jabar Shumate
OKLAHOMA UNION,NOWATA,53-I003,South Coffeyville,"Rural Route 1, Box 377-7",OK,74072.0,(918) 255-6550,(918) 255-6817,okunion.k12.ok.us,Kevin Stacy,kstacy@okunion.k12.ok.us,Eric Epperson
OKLAHOMA VIRTUAL CHARTER ACAD,OKLAHOMA,55-Z002,Nicoma Park,11601 Jeffords Ave Suite 100,OK,73066.0,(405) 259-9478,(405) 259-8332,www.k12.com/ovca,Sheryl Tatum,statum@k12.com,Kristi Gifford
OKMULGEE,OKMULGEE,56-I001,Okmulgee,316 E. 8th St,OK,74447.0,(918) 758-2000,(918) 758-2088,www.okmulgeeps.com,Tod Williams,tmwilliams@okmulgeeps.com,Rod Wiemer
OKTAHA,MUSKOGEE,51-I008,Oktaha,531 E. Prairie,OK,74450.0,(918) 687-7556,(918) 687-0074,www.oktahaschool.com/,Jerry Needham,jneedham@oktahaschool.com,James Murr
OLIVE,CREEK,19-I017,Drumright,9352 South 436th West Ave.,OK,74030.0,(918) 352-9567,(918) 352-4379,www.olive.k12.ok.us,Jimmy Reynolds,jreynolds@olive.k12.ok.us,Matt Hodson
OLUSTEE,JACKSON,33-I035,Olustee,606 East 6th St,OK,73560.0,(580) 648-2243,(580) 648-2501,www.olustee.k12.ok.us/,Gaylene Freeman,gfreeman@olustee.k12.ok.us,Bryan Walker
OOLOGAH-TALALA,ROGERS,66-I004,Oologah,10700 South Hwy 169,OK,74053.0,(918) 443-6079,(918) 443-9088,www.oologah.k12.ok.us,Max Tanner,max.tanner@oologah.k12.ok.us,Don Tice
OPTIMA,TEXAS,70-C009,Optima,107 E 5th St.,OK,73945.0,(580) 338-6712,(580) 338-6721,optimawarriors.com,Rex Hale,optima@ptsi.net,Clyde Fischer
OSAGE,MAYES,46-C043,Pryor,7960 West 490,OK,74361.0,(918) 825-2550,(918) 825-1433,www.dbcschool.org,Melinda Fink,mfink@osageelementary.com,Greg Mckinney
OSAGE COUNTY (ILC),OSAGE,57-K001,Hominy,207 E. Main St,OK,74035.0,(918) 885-2667,(918) 885-6742,ocic.k12.ok.us,Jacque Canady,jcanady@ocic.k12.ok.us,Rick Peters
OSAGE HILLS,OSAGE,57-C003,Bartlesville,225 Country Road 2706,OK,74003.0,(918) 336-6804,(918) 336-4238,www.osagehills.k12.ok.us,Jeannie O'daniel,principal@osagehills.k12.ok.us,Tom Culver
OWASSO,TULSA,72-I011,Owasso,1501 North Ash St,OK,74055.0,(918) 272-5367,(918) 272-8111,www.owassops.org,Clark Ogilvie,clark.ogilvie@owassops.org,Pat Vanatta
PADEN,OKFUSKEE,54-I014,Paden,10th & Elm,OK,74860.0,(405) 932-5053,(405) 932-4132,www.paden.k12.ok.us,Stiles Michelle,mstiles@paden.k12.ok.us,Allen Moore
PANAMA,LE FLORE,40-I020,Panama,401 Highschool Drive,OK,74951.0,(918) 963-2215,(918) 963-4860,www.panama.k12.ok.us/,Grant Ralls,gralls@panama.k12.ok.us,Gary Hoffman
PANOLA,LATIMER,39-I004,Wilburton,5558 Ne 104th Rd,OK,74578.0,(918) 465-3298,(918) 465-3656,panolabearcats.org/,Brad Corcoran,brad.corcoran@panolabearcats.org,Bobby Ketcher
PAOLI,GARVIN,25-I005,Paoli,410 Stewart St West,OK,73074.0,(405) 484-7336,(405) 484-7268,www.paoli.k12.ok.us/,David Morris,dmorris@paoli.k12.ok.us,Lindsey Meiwes
PAULS VALLEY,GARVIN,25-I018,Pauls Valley,301 North Chickasaw,OK,73075.0,(405) 238-6453,(405) 238-9178,www.paulsvalleyschools.com,Mike Martin,mmartin@paulsvalley.k12.ok.us,Brett Agee
PAWHUSKA,OSAGE,57-I002,Pawhuska,1801 Mckenzie Road,OK,74056.0,(918) 287-1265,(918) 287-4461,www.pawhuskadistrict.org,Landon Berry,lberry@ppshuskies.org,Justin Sellers
PAWNEE,PAWNEE,59-I001,Pawnee,615 Denver St,OK,74058.0,(918) 762-3676,(918) 762-2704,www.pawnee.k12.ok.us/,Ned Williams,ned.williams@pawnee.k12.ok.us,Suzanne Spears
PEAVINE,ADAIR,01-C019,Stilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,www.peavinepanthers.net/,Jack Ritchie,jritchie@peavinepanthers.net,Edward Gass
PECKHAM,KAY,36-C027,Newkirk,7175 West School St,OK,74647.0,(580) 362-2633,(580) 362-3970,www.peckham.k12.ok.us,Gary Young,gyoung@peckham.k12.ok.us,Kim Case
PEGGS,CHEROKEE,11-C031,Peggs,10821 W. Hickory Ave.,OK,74452.0,(918) 598-3412,(918) 598-3833,peggspanthers.com,John Cox,jcox@peggs.k12.ok.us,Timmy Applegate
PERKINS-TRYON,PAYNE,60-I056,Perkins,103 Sw 2Nd,OK,74059.0,(405) 547-5703,(405) 547-2020,www.p-t.k12.ok.us/,James Ramsey,jeramsey@p-t.k12.ok.us,Rick Lomenick
PERRY,NOBLE,52-I001,Perry,900 Fir St,OK,73077.0,(580) 336-4511,(580) 336-5185,www.perry.k12.ok.us,Scott Chenoweth,schenoweth@perry.k12.ok.us,Aaron Frable
PIEDMONT,CANADIAN,09-I022,Piedmont,713 Piedmont Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,www.piedmontschools.org/,James White,james.white@piedmontschools.org,Stanley Nance
PIONEER,GRADY,26-C131,Chickasha,3686 State Highway 92,OK,73018.0,(405) 224-2700,(405) 224-2755,pioneerk8.k12.ok.us,Tyler Locke,tlocke@pioneerk8.k12.ok.us,Monty Baker
PIONEER-PLEASANT VALE,GARFIELD,24-I056,Waukomis,6520 East Wood Road,OK,73773.0,(580) 758-3282,(580) 758-3504,www.ppv.k12.ok.us,Brent Koontz,bkoontz@ppv.k12.ok.us,Clee Jay Hedges
PITTSBURG,PITTSBURG,61-I063,Pittsburg,200 West Grand,OK,74560.0,(918) 432-5062,(918) 432-5312,www.pittsburg.k12.ok.us,Chad Graham,cgraham@pittsburg.k12.ok.us,Loraine Parent
PLAINVIEW,CARTER,10-I027,Ardmore,1140 South Plainview Road,OK,73401.0,(580) 223-6319,(580) 490-3190,www.plainview.k12.ok.us,Karl Stricker,kstricker@plainview.k12.ok.us,Mark Sheaman
PLEASANT GROVE,POTTAWATOMIE,63-C029,Shawnee,1927 East Walnut St,OK,74801.0,(405) 275-6092,(405) 275-6094,www.pleasantgroveschools.com,Scott Roper,sroper@pgs.k12.ok.us,Jerry Skaggs
