2432.namelsad,Census Tact 1104.01,Census Tract 1104.01
901.namelsad,Censu Tract 4062,Census Tract 4062
4294.mtfcc,G0520,G5020
3892.namelsad,Census Trvact 10.01,Census Tract 10.01
2437.funcstat,,S
3532.namelsad,Census rTact 113.04,Census Tract 113.04
2946.mtfcc,G50g20,G5020
2875.namelsad,Census Tarct 5046.01,Census Tract 5046.01
3901.funcstat,***,S
3554.namelsad,Censu Tract 120.03,Census Tract 120.03
2533.mtfcc,G0520,G5020
2945.mtfcc,G520,G5020
2898.namelsad,Censs Tract 5.07,Census Tract 5.07
408.li_cor_dac,Bth,Both
869.funcstat,,S
4329.mtfcc,5020,G5020
106.namelsad,Census pTract 28,Census Tract 28
1021.namelsad,Census Tract 3060.30,Census Tract 3060.03
2832.mtfcc,G520,G5020
222.namelsad,Censusy Tract 112.06,Census Tract 112.06
822.mtfcc,G50g20,G5020
2561.li_cor_dac,IC,LIC
3541.li_cor_dac,ILC,LIC
2589.namelsad,Cernsus Tract 882.03,Census Tract 882.03
876.funcstat,,S
3720.funcstat,***,S
1609.funcstat,,S
3093.funcstat,***,S
176.li_cor_dac,IC,LIC
3387.funcstat,gS,S
1870.funcstat,,S
1443.namelsad,Censu sTract 875.05,Census Tract 875.05
157.funcstat,dS,S
3972.mtfcc,G5002,G5020
240.li_cor_dac,oBth,Both
662.funcstat,fS,S
1010.namelsad,Census Trac t4067.01,Census Tract 4067.01
4598.li_cor_dac,oBth,Both
4304.funcstat,hS,S
614.li_cor_dac,Bwoth,Both
3166.namelsad,Census Trct 55.03,Census Tract 55.03
4470.li_cor_dac,IC,LIC
4702.mtfcc,G5002,G5020
915.li_cor_dac,Boh,Both
3540.mtfcc,Gu5020,G5020
1918.mtfcc,G5002,G5020
3771.li_cor_dac,sLIC,LIC
2249.mtfcc,iG5020,G5020
548.namelsad,Census Tract 33.f10,Census Tract 33.10
3586.funcstat,rS,S
2713.li_cor_dac,Bth,Both
3800.mtfcc,vG5020,G5020
4040.funcstat,***,S
4695.li_cor_dac,LCI,LIC
3695.mtfcc,G520,G5020
3157.li_cor_dac,LnIC,LIC
1078.namelsad,Census Tract 9104.02,Census Tract 1904.02
429.namelsad,Census Trac 2327,Census Tract 2327
23.mtfcc,5020,G5020
922.li_cor_dac,LIvC,LIC
4056.namelsad,CensusT ract 99.04,Census Tract 99.04
1474.li_cor_dac,Btoh,Both
134.funcstat,,S
1582.funcstat,***,S
1861.namelsad,Census Tratc 16.04,Census Tract 16.04
4224.mtfcc,fG5020,G5020
2187.li_cor_dac,Boht,Both
3144.namelsad,Census Tracts 1232.05,Census Tract 1232.05
4731.funcstat,***,S
4197.namelsad,Census Tract5429,Census Tract 5429
236.li_cor_dac,ADC,DAC
917.funcstat,gS,S
3516.funcstat,***,S
293.funcstat,,S
590.li_cor_dac,Botwh,Both
1468.mtfcc,G50y20,G5020
1852.li_cor_dac,oth,Both
439.li_cor_dac,Boh,Both
4247.li_cor_dac,oth,Both
3695.li_cor_dac,oBth,Both
352.namelsad,Census Tract8 ,Census Tract 8
4686.li_cor_dac,Bth,Both
432.li_cor_dac,zDAC,DAC
391.mtfcc,Gl5020,G5020
854.mtfcc,Gq5020,G5020
1307.li_cor_dac,LCI,LIC
1690.namelsad,Censusn Tract 2697,Census Tract 2697
3847.funcstat,,S
4344.funcstat,aS,S
2434.funcstat,,S
1389.funcstat,fS,S
4558.mtfcc,G5002,G5020
2658.namelsad,Census Tract 992h.48,Census Tract 992.48
4701.funcstat,***,S
1714.funcstat,***,S
4105.funcstat,yS,S
327.li_cor_dac,LiIC,LIC
953.funcstat,,S
2155.mtfcc,gG5020,G5020
1698.namelsad,Cnsus Tract 2407,Census Tract 2407
2371.funcstat,jS,S
4137.mtfcc,5G020,G5020
3017.funcstat,,S
2575.namelsad,Census Tratc 51.09,Census Tract 51.09
2881.namelsad,Census Tract 10g6.04,Census Tract 106.04
4571.namelsad,Censu Tract 6021.05,Census Tract 6021.05
1033.funcstat,,S
525.namelsad,Census Trac t4340,Census Tract 4340
4437.mtfcc,G5002,G5020
3758.namelsad,eCnsus Tract 5523.02,Census Tract 5523.02
2270.li_cor_dac,Baoth,Both
4092.namelsad,Cenus Tract 18.10,Census Tract 18.10
694.namelsad,Census ract 104,Census Tract 104
4096.li_cor_dac,Boteh,Both
2491.namelsad,eCnsus Tract 2020,Census Tract 2020
1841.mtfcc,5020,G5020
2398.namelsad,Census Tiract 444.02,Census Tract 444.02
3735.mtfcc,G5200,G5020
3436.namelsad,Census Tract 111.g02,Census Tract 111.02
2088.mtfcc,G5w020,G5020
2528.funcstat,***,S
1803.funcstat,pS,S
2166.namelsad,Census Tarct 11.01,Census Tract 11.01
3361.funcstat,***,S
2098.mtfcc,G5002,G5020
3831.mtfcc,5020,G5020
3145.li_cor_dac,Boxth,Both
4240.li_cor_dac,AC,DAC
1503.funcstat,kS,S
1547.li_cor_dac,Bth,Both
501.namelsad,Censu sTract 44.01,Census Tract 44.01
642.funcstat,aS,S
979.namelsad,Censs Tract 1232.04,Census Tract 1232.04
217.li_cor_dac,Bth,Both
785.mtfcc,5020,G5020
3759.mtfcc,G020,G5020
2197.namelsad,Census Tract 0456,Census Tract 4056
448.mtfcc,G5200,G5020
3939.namelsad,ensus Tract 5,Census Tract 5
3441.funcstat,***,S
2151.li_cor_dac,IC,LIC
4238.namelsad,Census Tract 602y8,Census Tract 6028
1257.namelsad,Cenuss Tract 2971.10,Census Tract 2971.10
3142.li_cor_dac,LCI,LIC
162.mtfcc,G520,G5020
1151.namelsad,Census Trasct 2398.01,Census Tract 2398.01
2518.mtfcc,G520,G5020
4261.mtfcc,G5002,G5020
2382.li_cor_dac,Bboth,Both
2253.funcstat,uS,S
2843.li_cor_dac,LrIC,LIC
3582.li_cor_dac,sBoth,Both
1697.mtfcc,G0520,G5020
122.li_cor_dac,Boht,Both
2721.funcstat,dS,S
848.li_cor_dac,IC,LIC
703.li_cor_dac,LIaC,LIC
3842.mtfcc,Gh5020,G5020
3561.funcstat,,S
1096.li_cor_dac,oBth,Both
3402.mtfcc,Gz5020,G5020
750.li_cor_dac,IC,LIC
1916.funcstat,,S
1108.li_cor_dac,oth,Both
1218.li_cor_dac,Boht,Both
4346.namelsad,Census ract 26,Census Tract 26
1069.funcstat,pS,S
1992.mtfcc,Gm5020,G5020
1360.mtfcc,G520,G5020
1157.mtfcc,G5002,G5020
2404.li_cor_dac,yLIC,LIC
1465.namelsad,Cenus Tract 74.06,Census Tract 74.06
521.mtfcc,Ga5020,G5020
3149.namelsad,Cnesus Tract 4357,Census Tract 4357
1308.li_cor_dac,IC,LIC
3183.funcstat,,S
357.li_cor_dac,Boht,Both
758.namelsad,CensusT ract 145,Census Tract 145
1051.namelsad,Census Trac t2003.01,Census Tract 2003.01
2530.namelsad,Censhus Tract 9006.06,Census Tract 9006.06
243.namelsad,Census Tract 03.10,Census Tract 30.10
726.funcstat,oS,S
3653.funcstat,sS,S
1843.namelsad,Censous Tract 9006.07,Census Tract 9006.07
732.funcstat,,S
720.funcstat,zS,S
810.funcstat,kS,S
3045.namelsad,eCensus Tract 185.17,Census Tract 185.17
3936.mtfcc,5020,G5020
2362.namelsad,Census Trct 28,Census Tract 28
1433.mtfcc,Go5020,G5020
3962.mtfcc,G500,G5020
2220.funcstat,,S
4064.li_cor_dac,LCI,LIC
2900.mtfcc,G502w0,G5020
4021.namelsad,Censsu Tract 6.03,Census Tract 6.03
558.funcstat,xS,S
4131.namelsad,Census Trajct 73.05,Census Tract 73.05
506.li_cor_dac,LCI,LIC
4427.funcstat,,S
4269.mtfcc,G5002,G5020
3596.li_cor_dac,ILC,LIC
2150.li_cor_dac,ILC,LIC
3471.funcstat,jS,S
3715.li_cor_dac,LIsC,LIC
1176.namelsad,Censvus Tract 29.28,Census Tract 29.28
3147.li_cor_dac,IC,LIC
748.li_cor_dac,LoIC,LIC
3876.li_cor_dac,oth,Both
2232.li_cor_dac,ILC,LIC
3436.funcstat,***,S
551.mtfcc,G502c0,G5020
223.namelsad,Cuensus Tract 104.24,Census Tract 104.24
554.funcstat,***,S
1926.mtfcc,G5002,G5020
370.mtfcc,G50b20,G5020
853.namelsad,Cenus Tract 9414,Census Tract 9414
676.funcstat,lS,S
3174.li_cor_dac,IC,LIC
4057.funcstat,,S
167.funcstat,***,S
1.funcstat,***,S
3253.funcstat,,S
1313.mtfcc,G5002,G5020
1052.namelsad,Census Tarct 2005.05,Census Tract 2005.05
2233.funcstat,***,S
3399.namelsad,Census Twract 4017.03,Census Tract 4017.03
3100.namelsad,Census Trac t53.04,Census Tract 53.04
2380.namelsad,Cqensus Tract 50.02,Census Tract 50.02
278.namelsad,Census Trcat 44.02,Census Tract 44.02
3053.li_cor_dac,IC,LIC
2393.li_cor_dac,IC,LIC
842.namelsad,ensus Tract 4371.01,Census Tract 4371.01
3254.funcstat,,S
2812.funcstat,,S
2544.namelsad,Census Tract 88.104,Census Tract 881.04
1632.funcstat,,S
765.namelsad,Census Tract 131.02,Census Tract 1031.02
1673.li_cor_dac,mLIC,LIC
2313.namelsad,CensusT ract 54.02,Census Tract 54.02
1222.li_cor_dac,LvIC,LIC
4653.mtfcc,G0520,G5020
1056.mtfcc,G502j0,G5020
2762.funcstat,***,S
3388.namelsad,eCensus Tract 4338.02,Census Tract 4338.02
4223.mtfcc,G5200,G5020
449.li_cor_dac,DApC,DAC
3411.funcstat,***,S
1770.funcstat,eS,S
1123.mtfcc,G50t20,G5020
1452.namelsad,Census Tract50.03,Census Tract 50.03
397.namelsad,eCnsus Tract 2172,Census Tract 2172
2072.mtfcc,Gn5020,G5020
1153.funcstat,dS,S
238.li_cor_dac,Botph,Both
4459.funcstat,rS,S
2352.li_cor_dac,LCI,LIC
1724.mtfcc,G500,G5020
2185.mtfcc,G5k020,G5020
132.funcstat,,S
3658.li_cor_dac,zLIC,LIC
832.li_cor_dac,LC,LIC
3182.mtfcc,Gp5020,G5020
3312.mtfcc,G502u0,G5020
4485.namelsad,Census Traczt 5022,Census Tract 5022
117.mtfcc,G0520,G5020
1184.mtfcc,G5002,G5020
693.funcstat,cS,S
1664.mtfcc,cG5020,G5020
1950.mtfcc,G5x020,G5020
1324.li_cor_dac,Btoh,Both
3046.namelsad,Cnesus Tract 185.18,Census Tract 185.18
3922.mtfcc,G500,G5020
4719.funcstat,,S
3439.mtfcc,G0520,G5020
3157.mtfcc,5G020,G5020
3915.funcstat,,S
2623.li_cor_dac,oth,Both
2920.li_cor_dac,IC,LIC
2076.mtfcc,G502g0,G5020
3714.mtfcc,G500,G5020
2561.namelsad,Census Tracty 7017.02,Census Tract 7017.02
1318.funcstat,,S
2402.li_cor_dac,Boh,Both
2116.funcstat,***,S
989.li_cor_dac,Btoh,Both
4479.funcstat,***,S
2688.li_cor_dac,Boht,Both
261.mtfcc,G0520,G5020
559.li_cor_dac,IC,LIC
2742.funcstat,,S
3539.funcstat,,S
2420.li_cor_dac,LiIC,LIC
2721.li_cor_dac,LC,LIC
412.funcstat,***,S
1373.li_cor_dac,oth,Both
3145.mtfcc,G520,G5020
1857.namelsad,Censu Tract 39.01,Census Tract 39.01
1193.funcstat,,S
401.mtfcc,G5200,G5020
1562.funcstat,,S
2736.namelsad,Cesnus Tract 998.03,Census Tract 998.03
2541.li_cor_dac,LCI,LIC
2728.funcstat,,S
2377.li_cor_dac,ILC,LIC
931.funcstat,***,S
2906.funcstat,***,S
14.funcstat,***,S
2917.namelsad,CensusT ract 112.03,Census Tract 112.03
4274.namelsad,Census Tarct 25.03,Census Tract 25.03
4055.li_cor_dac,oth,Both
852.li_cor_dac,LiIC,LIC
4215.mtfcc,Gk5020,G5020
3957.li_cor_dac,LCI,LIC
1589.li_cor_dac,DCA,DAC
716.funcstat,,S
2305.funcstat,kS,S
4249.namelsad,Census Tract 2218.0,Census Tract 2218.20
2360.funcstat,,S
3222.li_cor_dac,Btoh,Both
923.funcstat,nS,S
4139.funcstat,***,S
471.li_cor_dac,Boteh,Both
4383.mtfcc,qG5020,G5020
4461.namelsad,Census Trac t4811.01,Census Tract 4811.01
3158.li_cor_dac,AC,DAC
4327.li_cor_dac,LC,LIC
1682.namelsad,CensusT ract 2281,Census Tract 2281
521.li_cor_dac,LIlC,LIC
848.funcstat,yS,S
1217.li_cor_dac,LC,LIC
1167.mtfcc,G020,G5020
3562.mtfcc,G500,G5020
145.mtfcc,Gg5020,G5020
1797.mtfcc,G5200,G5020
4176.li_cor_dac,Boh,Both
1772.li_cor_dac,LIbC,LIC
2854.funcstat,,S
2634.namelsad,Cnsus Tract 1101.09,Census Tract 1101.09
3477.li_cor_dac,Boht,Both
2111.mtfcc,G500,G5020
589.funcstat,cS,S
4180.mtfcc,5G020,G5020
2982.mtfcc,rG5020,G5020
3524.mtfcc,G5w020,G5020
4060.namelsad,Cesus Tract 404.05,Census Tract 404.05
835.namelsad,Census Tract 432.201,Census Tract 4322.01
1710.namelsad,Census Tractq 6010,Census Tract 6010
3910.namelsad,Census Tract 6203,Census Tract 62.03
1011.namelsad,Census Tract 111h2.02,Census Tract 1112.02
1995.namelsad,Census Tzract 871.06,Census Tract 871.06
4612.li_cor_dac,oth,Both
2385.mtfcc,G020,G5020
3388.li_cor_dac,Btoh,Both
3241.li_cor_dac,ILC,LIC
3727.li_cor_dac,gLIC,LIC
576.namelsad,Census Tract 630.3,Census Tract 63.03
338.funcstat,rS,S
4318.namelsad,Census Tract c3381.01,Census Tract 3381.01
2196.funcstat,,S
656.funcstat,vS,S
3852.funcstat,,S
3189.funcstat,***,S
1177.mtfcc,G5002,G5020
4212.namelsad,Census Tract 633.02,Census Tract 6033.02
3127.namelsad,Censs Tract 13,Census Tract 13
4538.namelsad,CensusT ract 52.02,Census Tract 52.02
1921.li_cor_dac,LC,LIC
4672.mtfcc,G5002,G5020
2931.mtfcc,5G020,G5020
1602.namelsad,Census Tract l2222,Census Tract 2222
485.namelsad,Census Tract 1.08,Census Tract 71.08
2425.namelsad,Census Tract 4020.1,Census Tract 402.01
4332.li_cor_dac,oth,Both
203.li_cor_dac,pBoth,Both
720.mtfcc,G520,G5020
1810.namelsad,Census Tract 197.10,Census Tract 1957.10
953.mtfcc,G0520,G5020
3164.li_cor_dac,IC,LIC
4268.mtfcc,G5002,G5020
4415.funcstat,***,S
685.mtfcc,5020,G5020
3236.mtfcc,G50t20,G5020
1122.li_cor_dac,LC,LIC
579.mtfcc,Gn5020,G5020
865.funcstat,***,S
4474.namelsad,Censpus Tract 427,Census Tract 427
3234.namelsad,Census Tract 139.0c6,Census Tract 139.06
3732.namelsad,Census Tact 118.03,Census Tract 118.03
301.namelsad,Cenzsus Tract 17,Census Tract 17
705.funcstat,***,S
3933.mtfcc,5020,G5020
118.mtfcc,G5002,G5020
3293.funcstat,,S
2675.mtfcc,Gz5020,G5020
4713.mtfcc,G502h0,G5020
4365.li_cor_dac,LC,LIC
847.li_cor_dac,ILC,LIC
1828.namelsad,Census rTact 9200.36,Census Tract 9200.36
1807.namelsad,ensus Tract 1927,Census Tract 1927
4507.li_cor_dac,IC,LIC
3714.li_cor_dac,LIqC,LIC
3177.namelsad,Census rTact 146.01,Census Tract 146.01
3297.li_cor_dac,IC,LIC
2025.namelsad,Censusu Tract 91.07,Census Tract 91.07
3567.mtfcc,5G020,G5020
2560.namelsad,Cenus Tract 77.01,Census Tract 77.01
1044.li_cor_dac,DAbC,DAC
3159.mtfcc,5020,G5020
1348.namelsad,Census Trct 1241.02,Census Tract 1241.02
517.li_cor_dac,Bokth,Both
45.namelsad,Census Tract 6021d.03,Census Tract 6021.03
1171.mtfcc,G5200,G5020
4557.li_cor_dac,qDAC,DAC
2973.namelsad,Census Tratc 52.01,Census Tract 52.01
2300.namelsad,Cesnus Tract 992.42,Census Tract 992.42
2960.funcstat,xS,S
4705.mtfcc,5020,G5020
83.funcstat,,S
2052.funcstat,***,S
2302.namelsad,Census Tract 994.d11,Census Tract 994.11
2090.mtfcc,5020,G5020
3892.mtfcc,G5200,G5020
3276.mtfcc,Gs5020,G5020
544.funcstat,,S
2003.namelsad,Census Tract 5i1.10,Census Tract 51.10
3897.namelsad,CensusT ract 4086.30,Census Tract 4086.30
402.funcstat,***,S
3702.li_cor_dac,oBth,Both
1107.li_cor_dac,LCI,LIC
212.mtfcc,Gk5020,G5020
1166.namelsad,Census Tvract 1230.10,Census Tract 1230.10
4300.mtfcc,G0520,G5020
2388.funcstat,,S
3049.mtfcc,G5200,G5020
598.mtfcc,5020,G5020
3870.namelsad,Censubs Tract 3,Census Tract 3
582.mtfcc,G500,G5020
1018.namelsad,Census Turact 1285,Census Tract 1285
1327.funcstat,bS,S
1411.li_cor_dac,LCI,LIC
1705.namelsad,Census Trcat 2414,Census Tract 2414
4692.funcstat,***,S
3035.namelsad,Census Tarct 28.13,Census Tract 28.13
3931.funcstat,,S
3496.li_cor_dac,IC,LIC
155.namelsad,vCensus Tract 31,Census Tract 31
590.namelsad,Census Tratc 4081.33,Census Tract 4081.33
2113.mtfcc,5G020,G5020
1886.li_cor_dac,Bth,Both
3545.mtfcc,G0520,G5020
2841.mtfcc,5020,G5020
4426.li_cor_dac,LIiC,LIC
3705.funcstat,***,S
2007.namelsad,Census Tract 51.03,Census Tract 15.03
1019.li_cor_dac,oBth,Both
3101.namelsad,Census Trzact 54.03,Census Tract 54.03
248.namelsad,Census Tract 10.502,Census Tract 105.02
889.mtfcc,G5002,G5020
2227.namelsad,Censs Tract 1920.01,Census Tract 1920.01
563.funcstat,tS,S
2856.funcstat,***,S
1057.mtfcc,G500,G5020
731.namelsad,Census bTract 8.25,Census Tract 8.25
2234.namelsad,Censs Tract 4054.01,Census Tract 4054.01
3886.mtfcc,tG5020,G5020
1603.namelsad,Census Tract 2252,Census Tract 2225
4726.funcstat,***,S
1331.namelsad,Census Trct 4335.04,Census Tract 4335.04
2298.li_cor_dac,oth,Both
4679.mtfcc,G520,G5020
70.li_cor_dac,oth,Both
2390.mtfcc,G50d20,G5020
2051.mtfcc,G500,G5020
3370.mtfcc,G5z020,G5020
2452.namelsad,Census Tract 992.20,Census Tract 992.02
905.mtfcc,5G020,G5020
2862.mtfcc,Gl5020,G5020
495.namelsad,Census Tact 117.12,Census Tract 117.12
4392.namelsad,Census Trcat 442,Census Tract 442
910.funcstat,oS,S
1662.namelsad,Cnesus Tract 1.01,Census Tract 1.01
780.funcstat,***,S
2337.funcstat,nS,S
4357.mtfcc,G020,G5020
298.li_cor_dac,Boht,Both
449.namelsad,Census Tarct 420.07,Census Tract 420.07
1296.funcstat,***,S
2884.mtfcc,G5200,G5020
1383.li_cor_dac,LIoC,LIC
4424.funcstat,oS,S
63.funcstat,,S
59.namelsad,Censius Tract 20.09,Census Tract 20.09
1505.li_cor_dac,Buoth,Both
1687.li_cor_dac,Botsh,Both
1765.li_cor_dac,LCI,LIC
1485.funcstat,tS,S
287.mtfcc,G5a020,G5020
939.li_cor_dac,LaIC,LIC
1035.namelsad,Census Trac 1519,Census Tract 1519
3947.mtfcc,Gw5020,G5020
1704.namelsad,Census Trac 427.09,Census Tract 427.09
263.funcstat,***,S
4256.funcstat,***,S
1611.namelsad,Census Tract2347,Census Tract 2347
2789.funcstat,,S
1861.li_cor_dac,Boht,Both
3776.funcstat,***,S
3449.namelsad,Census Trac 104,Census Tract 104
3112.namelsad,Cesus Tract 2098.20,Census Tract 2098.20
3349.funcstat,,S
473.li_cor_dac,Baoth,Both
1239.namelsad,Census rTact 1320.02,Census Tract 1320.02
1204.mtfcc,G500,G5020
3387.mtfcc,5G020,G5020
4515.namelsad,Census Tract 5123.01,Census Tract 5123.10
1045.mtfcc,G5l020,G5020
2298.namelsad,Census Tract 1q345.20,Census Tract 1345.20
3653.mtfcc,G502m0,G5020
3354.li_cor_dac,yBoth,Both
2870.namelsad,Census Trat 4,Census Tract 4
4060.mtfcc,G020,G5020
628.mtfcc,G5j020,G5020
4474.funcstat,***,S
1120.namelsad,Censu sTract 2032,Census Tract 2032
430.mtfcc,mG5020,G5020
4159.namelsad,Census Tract3 3.01,Census Tract 33.01
1226.funcstat,,S
228.mtfcc,G020,G5020
2987.namelsad,Census Tract 03,Census Tract 30
3378.mtfcc,G50n20,G5020
3473.li_cor_dac,LtIC,LIC
1490.namelsad,Census Trasct 5401.02,Census Tract 5401.02
2079.li_cor_dac,LbIC,LIC
3560.li_cor_dac,Boht,Both
2934.namelsad,Census Tract31.14,Census Tract 31.14
1510.li_cor_dac,Botfh,Both
3656.mtfcc,5020,G5020
2985.funcstat,***,S
2419.mtfcc,G5002,G5020
322.mtfcc,G520,G5020
429.li_cor_dac,oBoth,Both
462.mtfcc,G50j20,G5020
3951.funcstat,aS,S
89.namelsad,Census nTract 29.01,Census Tract 29.01
3158.namelsad,Census Tact 4220,Census Tract 4220
4418.namelsad,Census Tract 451.80,Census Tract 451.08
4703.namelsad,Census Tract 63.904,Census Tract 639.04
569.funcstat,,S
557.mtfcc,G020,G5020
2093.namelsad,Census Trcat 114.01,Census Tract 114.01
3529.li_cor_dac,ILC,LIC
4671.mtfcc,G50r20,G5020
2937.li_cor_dac,oBth,Both
1165.namelsad,Census Tratc 1253.20,Census Tract 1253.20
4220.mtfcc,G020,G5020
4435.mtfcc,G5j020,G5020
200.mtfcc,Gc5020,G5020
1820.namelsad,Cnsus Tract 2517.01,Census Tract 2517.01
1551.funcstat,,S
253.namelsad,Census Tract 55u29,Census Tract 5529
3113.namelsad,Census rTact 2114.20,Census Tract 2114.20
2588.funcstat,***,S
1630.funcstat,***,S
3982.namelsad,Censsu Tract 2187.02,Census Tract 2187.02
3033.mtfcc,G0520,G5020
341.li_cor_dac,Boh,Both
3188.funcstat,,S
3004.namelsad,Census Trat 3020.02,Census Tract 3020.02
198.namelsad,Censbus Tract 2044.20,Census Tract 2044.20
3229.namelsad,Census Tryact 197.01,Census Tract 197.01
3959.mtfcc,G5v020,G5020
1992.funcstat,,S
2030.namelsad,Census Tract 47.07,Census Tract 74.07
4284.li_cor_dac,LiIC,LIC
2250.funcstat,,S
4190.funcstat,nS,S
1420.funcstat,***,S
2550.namelsad,Census Tract 929.23,Census Tract 992.23
4661.namelsad,Census ract 10.04,Census Tract 10.04
3182.funcstat,aS,S
2781.funcstat,,S
5.namelsad,Censuys Tract 2014.02,Census Tract 2014.02
2411.li_cor_dac,LC,LIC
2267.li_cor_dac,iLIC,LIC
2623.funcstat,***,S
1686.mtfcc,G020,G5020
4355.namelsad,Census Tract 23.50,Census Tract 23.05
488.namelsad,Cnsus Tract 16,Census Tract 16
3935.li_cor_dac,oBth,Both
3475.li_cor_dac,Bth,Both
2717.namelsad,eCnsus Tract 759.02,Census Tract 759.02
4451.mtfcc,Gd5020,G5020
2067.li_cor_dac,LeIC,LIC
2957.mtfcc,G0520,G5020
1417.mtfcc,G5002,G5020
4034.namelsad,Census Tract 423.03,Census Tract 4023.03
478.namelsad,Census Tracty 121,Census Tract 121
1114.namelsad,Census Trac t5359.02,Census Tract 5359.02
4672.li_cor_dac,Boht,Both
1385.funcstat,***,S
3924.funcstat,mS,S
69.funcstat,***,S
3690.funcstat,vS,S
1185.mtfcc,G020,G5020
3988.namelsad,Census Tract 1831.0x3,Census Tract 1831.03
4226.li_cor_dac,IC,LIC
74.namelsad,Census Tcract 51.22,Census Tract 51.22
64.mtfcc,5G020,G5020
225.li_cor_dac,Boht,Both
127.li_cor_dac,LIhC,LIC
2767.mtfcc,G5200,G5020
4076.mtfcc,G5g020,G5020
4502.li_cor_dac,ILC,LIC
2257.funcstat,zS,S
4364.mtfcc,5020,G5020
924.mtfcc,G502o0,G5020
568.mtfcc,G500,G5020
1571.funcstat,tS,S
50.namelsad,Cnesus Tract 5308.02,Census Tract 5308.02
2391.funcstat,,S
1231.li_cor_dac,oth,Both
2222.namelsad,Ceynsus Tract 9800.07,Census Tract 9800.07
301.funcstat,rS,S
1303.funcstat,***,S
4220.funcstat,,S
839.namelsad,Censu sTract 4610,Census Tract 4610
918.li_cor_dac,Boh,Both
1749.mtfcc,G5002,G5020
2787.li_cor_dac,Botzh,Both
2350.mtfcc,G502l0,G5020
187.li_cor_dac,Bth,Both
1735.li_cor_dac,LCI,LIC
3062.li_cor_dac,Btoh,Both
4108.namelsad,Census Tract 650p3,Census Tract 6503
1574.mtfcc,Gr5020,G5020
2506.funcstat,***,S
3506.mtfcc,G5002,G5020
3470.li_cor_dac,LC,LIC
2619.funcstat,,S
4379.mtfcc,G5002,G5020
1500.namelsad,Censu Tract 5,Census Tract 5
1989.funcstat,gS,S
4278.li_cor_dac,Boht,Both
597.li_cor_dac,Bofth,Both
2857.namelsad,ensus Tract 12,Census Tract 12
4730.li_cor_dac,mBoth,Both
2734.namelsad,Census Tarct 998.01,Census Tract 998.01
1937.namelsad,Census Tract n4089,Census Tract 4089
225.namelsad,Censues Tract 120.02,Census Tract 120.02
1661.namelsad,Census Tract p1.02,Census Tract 1.02
3604.funcstat,***,S
4457.namelsad,Census Trac t33.05,Census Tract 33.05
2907.mtfcc,G020,G5020
812.funcstat,,S
3946.mtfcc,G5200,G5020
2464.mtfcc,5G020,G5020
1037.funcstat,,S
1634.li_cor_dac,LC,LIC
4231.mtfcc,G0520,G5020
340.li_cor_dac,uDAC,DAC
2218.mtfcc,tG5020,G5020
976.li_cor_dac,Boht,Both
862.li_cor_dac,Bovth,Both
2324.funcstat,lS,S
837.li_cor_dac,LCI,LIC
1039.namelsad,Census Tarct 1238,Census Tract 1238
2620.li_cor_dac,oth,Both
3562.namelsad,Census Tract 75.20,Census Tract 75.02
3638.namelsad,Cencsus Tract 1014,Census Tract 1014
3481.li_cor_dac,LCI,LIC
1346.namelsad,Census Tsract 1212.10,Census Tract 1212.10
1566.mtfcc,5G020,G5020
267.mtfcc,G020,G5020
718.mtfcc,5020,G5020
899.namelsad,Cenuss Tract 4060,Census Tract 4060
914.mtfcc,G5002,G5020
940.li_cor_dac,LCI,LIC
2440.namelsad,Census Tract 55.06,Census Tract 755.06
931.mtfcc,G0520,G5020
794.mtfcc,Gp5020,G5020
2178.mtfcc,dG5020,G5020
4589.li_cor_dac,Bogth,Both
2885.funcstat,,S
3579.funcstat,hS,S
3171.mtfcc,Gt5020,G5020
1612.mtfcc,G5002,G5020
2979.mtfcc,G520,G5020
1944.funcstat,***,S
907.funcstat,***,S
720.li_cor_dac,AC,DAC
3371.li_cor_dac,Btoh,Both
3267.funcstat,***,S
2406.li_cor_dac,LIqC,LIC
710.li_cor_dac,Borth,Both
251.funcstat,wS,S
2111.funcstat,,S
507.mtfcc,G50u20,G5020
4168.li_cor_dac,Bth,Both
4555.funcstat,***,S
217.namelsad,Cesnus Tract 1200.10,Census Tract 1200.10
475.mtfcc,G020,G5020
2233.li_cor_dac,Bnoth,Both
2973.funcstat,cS,S
3235.namelsad,Census bTract 23.01,Census Tract 23.01
501.li_cor_dac,Boht,Both
1180.funcstat,***,S
3847.namelsad,CensusT ract 45.07,Census Tract 45.07
4235.li_cor_dac,LC,LIC
3757.mtfcc,G502y0,G5020
1746.funcstat,,S
372.funcstat,***,S
3539.mtfcc,G50p20,G5020
1716.li_cor_dac,Boh,Both
707.mtfcc,G0520,G5020
4662.li_cor_dac,LCI,LIC
2593.mtfcc,Gx5020,G5020
1019.mtfcc,G5002,G5020
620.mtfcc,G5002,G5020
4109.mtfcc,G50n20,G5020
3299.mtfcc,G5200,G5020
2696.namelsad,Cenysus Tract 23,Census Tract 23
3553.mtfcc,G520,G5020
4728.li_cor_dac,LItC,LIC
3023.mtfcc,G50l20,G5020
3733.mtfcc,qG5020,G5020
2812.li_cor_dac,Boht,Both
2221.namelsad,Census Tract i53.05,Census Tract 53.05
4729.li_cor_dac,Bloth,Both
2506.li_cor_dac,DAvC,DAC
